eRenyi2,MaxVanillaIw,VarVanillaIw,AvgVanillaIw,VarRet,VarDiscRet,ESSClassic,MaxNormIw,VanillaAvgRet,AvgDiscRet,VarJ,Bound,AvgRet,AvgNormIw,MinVanillaIw,MinNormIw,BatchSize,ESSRenyi,AvgEpLen,VarNormIw,J
nan,4.73437,1.5074911,1.1787399,35788.69869917752,35788.69869917752,48.213144918767014,0.04016467,354.30399264661827,1.7621459846850484e-14,253.37988,7.8535023,1.7621459846850484e-14,0.009999998,8.427861e-06,7.14989e-08,100,nan,36.45,0.000108497276,26.102068
nan,10.176797,2.2035425,0.79638135,49752.853102445704,49752.853102445704,22.524296434437684,0.12778798,370.9904203924784,-6.8212102632969615e-15,533.07574,22.751793,-6.8212102632969615e-15,0.009999998,0.000535918,6.729414e-06,100,nan,38.12,0.00034743955,78.20237
nan,5.314651,1.0788538,0.7746799,50456.37517494417,50456.37517494417,35.974767956424145,0.068604484,335.3005186010089,-3.012701199622825e-14,379.78964,15.484228,-3.012701199622825e-14,0.009999999,3.0100184e-05,3.8854998e-07,100,nan,34.55,0.00017977033,60.646133
nan,5.5235753,1.1386952,1.0080777,42196.14853481532,42196.14853481532,47.40876608921691,0.05479315,325.18312437049667,5.343281372915953e-14,234.98395,24.132736,5.343281372915953e-14,0.01,9.054887e-05,8.9823305e-07,100,nan,33.54,0.00011205196,48.82935
nan,6.186772,2.5254905,0.89981824,68555.70450531408,68555.70450531408,24.462095074091884,0.06875579,382.2787508175636,3.865352482534945e-14,454.34076,30.215439,3.865352482534945e-14,0.01,3.9863557e-11,4.4301786e-13,100,nan,39.25,0.00031191492,83.0597
nan,7.0073557,0.82920635,0.94136184,43392.36316875729,43392.36316875729,51.91109760161951,0.07443849,369.6854566378269,1.7621459846850484e-14,361.27957,2.409193,1.7621459846850484e-14,0.009999999,0.005147946,5.4686156e-05,100,nan,37.99,9.3572766e-05,28.38969
nan,11.239802,1.4938682,0.78752023,39641.670725287644,39641.670725287644,29.545177329879966,0.14272398,367.7724876573897,-3.637978807091713e-14,502.07663,12.190109,-3.637978807091713e-14,0.01,0.014806762,0.00018801756,100,nan,37.8,0.00024087341,54.597637
nan,157.07997,246.67128,1.5995076,57634.800557468574,57634.800557468574,1.0367942954008318,0.982052,435.7562628389612,1.1368683772161604e-14,47.832607,217.36534,1.1368683772161604e-14,0.01,,,100,nan,44.6,0.009641532,259.86664
nan,5.8810215,0.500266,0.7690377,61067.55288814467,61067.55288814467,54.424271762340474,0.076472476,412.4516688390776,-7.503331289626658e-14,530.6991,25.10422,-7.503331289626658e-14,0.01,0.40710795,0.005293732,100,nan,42.27,8.458741e-05,69.276726
nan,3.2867913,0.75684565,0.8756874,40956.52077703358,40956.52077703358,50.57883112472615,0.037533842,442.7456284952694,3.2969182939268646e-14,317.519,-6.2879543,3.2969182939268646e-14,0.01,0.00017273011,1.972509e-06,100,nan,45.3,9.869818e-05,20.149406
nan,4.882704,0.643611,0.74194264,67795.7508023531,67795.7508023531,46.35011719218029,0.06580972,412.7590719754828,-3.069544618483633e-14,362.23486,1.5220833,-3.069544618483633e-14,0.01,0.1669608,0.0022503196,100,nan,42.3,0.00011691837,45.404266
nan,4.5551405,0.67364424,0.7750816,43931.514883342104,43931.514883342104,47.39060355281865,0.058769822,380.87464959541035,1.7280399333685637e-13,227.23804,-0.5665684,1.7280399333685637e-13,0.010000002,0.059251286,0.00076445227,100,nan,39.11,0.00011213359,32.306435
