SamplesThisIter,Bound,MinVanillaIw,MaxVanillaIw,renyi2,J,AvgVanillaIw,AvgEpLen,AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgNormIw,MinNormIw,VarVanillaIw,VarNormIw,EpsThisIter,IterType,VarRet,VarDiscRet,MaxNormIw,ESSClassic,AvgRet,VarJ,BatchSize,delta
50000,1122.18,,18247.2,nan,231881.0,3.46407,62.0347394541,573.590331004,573.590331004,nan,6.89275e-06,,11879.1,4.70323e-08,806,1,86706.1633269,86706.1633269,0.036308,1.14183630774,573.590331004,28259.0,100,0.6
50000,1157.33,,4.70444e+12,nan,287107.0,6.38078e+07,60.9013398295,562.983022906,562.983022906,nan,6.76682e-06,,2.99521e+20,3.3686e-06,821,1,72071.4390654,72071.4390654,0.498906,1.99999499553,562.983022906,24995.2,100,0.6
50000,1072.16,,566391.0,nan,244211.0,19.8375,61.5763546798,569.551479356,569.551479356,nan,6.84182e-06,,5.09136e+06,6.05621e-07,812,1,78803.5298971,78803.5298971,0.195344,1.75928808041,569.551479356,33274.8,100,0.6
50000,1007.21,,48384.1,nan,221467.0,3.90481,62.1890547264,575.135643551,575.135643551,nan,6.9099e-06,,39571.3,1.23915e-07,804,1,79668.7140511,79668.7140511,0.0856197,1.70062974266,575.135643551,30096.3,100,0.6
50000,993.276,,82522.9,nan,205444.0,4.58126,65.1041666667,602.023567248,602.023567248,nan,7.2338e-06,,175618.0,4.37857e-07,768,1,81871.5454605,81871.5454605,0.130304,1.1746349137,602.023567248,25979.0,100,0.6
50000,1148.96,,923.359,nan,228231.0,1.86592,70.6214689266,653.268520712,653.268520712,nan,7.84683e-06,,296.017,5.23501e-09,708,1,99562.0683056,99562.0683056,0.00388303,1.30556527351,653.268520712,30553.5,100,0.6
50000,1116.53,,1108.44,nan,222668.0,1.8295,70.4225352113,651.249454374,651.249454374,nan,7.82473e-06,,295.816,5.41124e-09,710,1,94787.5556928,94787.5556928,0.0047408,1.80447808221,651.249454374,36515.0,100,0.6
50000,1196.64,,9084.86,nan,237882.0,3.24337,71.530758226,661.577798398,661.577798398,nan,7.94786e-06,,4132.08,2.48128e-08,699,1,94198.5922877,94198.5922877,0.0222624,1.35605453498,661.577798398,24734.8,100,0.6
50000,1155.26,,6710.83,nan,235548.0,3.01467,69.8324022346,646.066509557,646.066509557,nan,7.75916e-06,,2367.96,1.56864e-08,716,1,99755.5695265,99755.5695265,0.0172723,1.6831201573,646.066509557,24112.9,100,0.6
50000,1247.87,,9012.92,nan,266126.0,4.24616,73.3137829912,677.967235826,677.967235826,nan,8.14598e-06,,8495.53,3.12668e-08,682,1,103698.921094,103698.921094,0.0172907,1.64734005626,677.967235826,28930.8,100,0.6
