ESSClassic,VarRet,VarDiscRet,MinVanillaIw,EpsThisIter,MaxVanillaIw,AvgNormIw,J,AvgDiscRet,IterType,Delta,AvgVanillaIw,VarJ,VanillaAvgRet,AvgEpLen,ESSRenyi,Bound,VarNormIw,eRenyi2,MaxNormIw,MinNormIw,VarVanillaIw,AvgRet,BatchSize
100.0,2560.78454947,2560.78454947,1.0,100,1.0,0.01,-68.2699,-68.2698733637,2,1.0,1.0,50.3505,-68.2698733637,98.78,500.0,-68.2699,3.50449e-18,1.0,0.01,0.01,,-68.2698733637,500
200.000000102,2592.00766806,2592.00766806,1.0,100,1.0,0.005,-67.7566,-67.2433779088,2,1.0,1.0,50.5064,-67.2433779088,96.41,500.0,-67.7566,2.1793e-19,1.0,0.005,0.005,,-67.2433779088,500
299.999969474,66.7584586484,66.7584586484,1.0,100,1.0,0.00333333,-65.4007,-60.6887151535,2,1.0,1.0,41.6381,-60.6887151535,89.16,500.0,-65.4007,5.43914e-20,1.0,0.00333333,0.00333333,,-60.6887151535,500
400.0,38.8597259148,38.8597259148,1.0,100,1.0,0.0025,-64.0434,-59.9716190232,2,1.0,1.0,36.269,-59.9716190232,88.37,500.0,-64.0434,5.4346e-20,1.0,0.0025,0.0025,,-59.9716190232,500
1.0,4991.89120379,4991.89120379,,100,1.56603e-08,0.002,-41.6417,-74.3103718394,1,1.0,3.13206e-11,,-74.3103718394,104.6,0.0125942775145,-41.6417,0.002,39700.6,1.0,,4.9049e-19,-74.3103718394,500
100.0,54.0122449917,54.0122449917,1.0,100,1.0,0.01,-59.4138,-59.4137960064,2,1.0,1.0,7.31246,-59.4137960064,87.14,500.0,-59.4138,3.50449e-18,1.0,0.01,0.01,,-59.4137960064,500
200.000000102,3802.1666356,3802.1666356,1.0,100,1.0,0.005,-65.08,-70.7461576769,2,1.0,1.0,44.0558,-70.7461576769,100.73,500.0,-65.08,2.1793e-19,1.0,0.005,0.005,,-70.7461576769,500
299.999969474,47.09343766,47.09343766,1.0,100,1.0,0.00333333,-63.1452,-59.2756476983,2,1.0,1.0,36.2901,-59.2756476983,86.7,500.0,-63.1452,5.43914e-20,1.0,0.00333333,0.00333333,,-59.2756476983,500
400.0,3803.59078349,3803.59078349,1.0,100,1.0,0.0025,-64.9934,-70.5381599897,2,1.0,1.0,44.0382,-70.5381599897,100.12,500.0,-64.9934,5.4346e-20,1.0,0.0025,0.0025,,-70.5381599897,500
320.245775603,7284.76230077,7284.76230077,0.537164,100,7.39425,0.002,-66.2346,-82.0569721861,1,1.0,0.997618,43.8601,-82.0569721861,113.85,,-66.2346,2.2497e-06,inf,0.0148238,0.00107689,0.55975,-82.0569721861,500
100.0,1335.39138852,1335.39138852,1.0,100,1.0,0.01,-63.3643,-63.364305601,2,1.0,1.0,36.3598,-63.364305601,91.84,500.0,-63.3643,3.50449e-18,1.0,0.01,0.01,,-63.364305601,500
200.000000102,1323.53725164,1323.53725164,1.0,100,1.0,0.005,-63.5292,-63.694131573,2,1.0,1.0,36.2794,-63.694131573,92.97,500.0,-63.5292,2.1793e-19,1.0,0.005,0.005,,-63.694131573,500
299.999969474,51.5417208363,51.5417208363,1.0,100,1.0,0.00333333,-62.6784,-60.9767979932,2,1.0,1.0,29.9319,-60.9767979932,90.04,500.0,-62.6784,5.43914e-20,1.0,0.00333333,0.00333333,,-60.9767979932,500
400.0,4982.11759641,4982.11759641,1.0,100,1.0,0.0025,-65.5933,-74.3380192706,2,1.0,1.0,43.9375,-74.3380192706,105.01,500.0,-65.5933,5.4346e-20,1.0,0.0025,0.0025,,-74.3380192706,500
253.965153071,2590.91189553,2590.91189553,0.552033,100,17.7705,0.002,-63.8165,-66.6241274993,1,1.0,0.913582,35.7851,-66.6241274993,95.83,,-63.8165,3.88286e-06,inf,0.038903,0.0012085,0.810191,-66.6241274993,500
100.0,2593.61357758,2593.61357758,1.0,100,1.0,0.01,-65.7338,-65.7337794064,2,1.0,1.0,50.6723,-65.7337794064,94.48,500.0,-65.7338,3.50449e-18,1.0,0.01,0.01,,-65.7337794064,500
200.000000102,2568.64918242,2568.64918242,1.0,100,1.0,0.005,-66.5217,-67.3096626586,2,1.0,1.0,50.5563,-67.3096626586,97.22,500.0,-66.5217,2.1793e-19,1.0,0.005,0.005,,-67.3096626586,500
299.999969474,72.3058716958,72.3058716958,1.0,100,1.0,0.00333333,-64.3238,-59.927821449,2,1.0,1.0,41.6831,-59.927821449,88.51,500.0,-64.3238,5.43914e-20,1.0,0.00333333,0.00333333,,-59.927821449,500
400.0,2574.32288045,2574.32288045,1.0,100,1.0,0.0025,-65.3262,-68.3333668366,2,1.0,1.0,44.0826,-68.3333668366,98.3,500.0,-65.3262,5.4346e-20,1.0,0.0025,0.0025,,-68.3333668366,500
263.144329026,1321.47009599,1321.47009599,0.385662,100,12.5159,0.002,-63.013,-62.5627188262,1,1.0,0.889297,30.3576,-62.5627188262,90.86,,-63.013,3.60761e-06,inf,0.0281479,0.00086734,0.713269,-62.5627188262,500
100.0,44.8103608426,44.8103608426,1.0,100,1.0,0.01,-59.3996,-59.39957654,2,1.0,1.0,6.6605,-59.39957654,87.11,500.0,-59.3996,3.50449e-18,1.0,0.01,0.01,,-59.39957654,500
200.000000102,3798.48710055,3798.48710055,1.0,100,1.0,0.005,-65.0661,-70.7327021247,2,1.0,1.0,43.9834,-70.7327021247,100.91,500.0,-65.0661,2.1793e-19,1.0,0.005,0.005,,-70.7327021247,500
299.999969474,71.2925136308,71.2925136308,1.0,100,1.0,0.00333333,-63.7987,-61.2637833223,2,1.0,1.0,36.2827,-61.2637833223,90.63,500.0,-63.7987,5.43914e-20,1.0,0.00333333,0.00333333,,-61.2637833223,500
400.0,1331.01329163,1331.01329163,1.0,100,1.0,0.0025,-63.2702,-61.6845634557,2,1.0,1.0,36.2986,-61.6845634557,89.64,500.0,-63.2702,5.4346e-20,1.0,0.0025,0.0025,,-61.6845634557,500
329.374816568,2576.52952485,2576.52952485,0.461659,100,6.58045,0.002,-62.8971,-68.2342972237,1,1.0,0.992609,29.4264,-68.2342972237,98.16,,-62.8971,2.07626e-06,inf,0.0132589,0.000930194,0.51142,-68.2342972237,500
100.0,3812.61724057,3812.61724057,1.0,100,1.0,0.01,-70.0587,-70.0586965816,2,1.0,1.0,61.4369,-70.0586965816,99.54,500.0,-70.0587,3.50449e-18,1.0,0.01,0.01,,-70.0586965816,500
200.000000102,2571.87505769,2571.87505769,1.0,100,1.0,0.005,-68.7528,-67.4468211383,2,1.0,1.0,56.2319,-67.4468211383,97.0,500.0,-68.7528,2.1793e-19,1.0,0.005,0.005,,-67.4468211383,500
299.999969474,1318.45220871,1318.45220871,1.0,100,1.0,0.00333333,-67.4317,-64.7896287201,2,1.0,1.0,50.4638,-64.7896287201,94.09,500.0,-67.4317,5.43914e-20,1.0,0.00333333,0.00333333,,-64.7896287201,500
400.0,4994.84843562,4994.84843562,1.0,100,1.0,0.0025,-69.0822,-74.0335379651,2,1.0,1.0,56.1636,-74.0335379651,104.61,500.0,-69.0822,5.4346e-20,1.0,0.0025,0.0025,,-74.0335379651,500
348.394637286,3804.13060373,3804.13060373,0.0150746,100,6.63452,0.002,-66.6772,-70.6820395248,1,1.0,0.985681,48.8117,-70.6820395248,100.38,,-66.6772,1.74411e-06,inf,0.0134618,3.05872e-05,0.423629,-70.6820395248,500
100.0,2572.3276291,2572.3276291,1.0,100,1.0,0.01,-67.1252,-67.1251777838,2,1.0,1.0,50.4639,-67.1251777838,96.56,500.0,-67.1252,3.50449e-18,1.0,0.01,0.01,,-67.1251777838,500
200.000000102,1330.44503004,1330.44503004,1.0,100,1.0,0.005,-65.5863,-64.0474984175,2,1.0,1.0,43.98,-64.0474984175,93.19,500.0,-65.5863,2.1793e-19,1.0,0.005,0.005,,-64.0474984175,500
299.999969474,2572.19838485,2572.19838485,1.0,100,1.0,0.00333333,-65.9538,-66.6888201565,2,1.0,1.0,46.2449,-66.6888201565,95.68,500.0,-65.9538,5.43914e-20,1.0,0.00333333,0.00333333,,-66.6888201565,500
400.0,1329.15893501,1329.15893501,1.0,100,1.0,0.0025,-65.5517,-64.3452001049,2,1.0,1.0,43.9704,-64.3452001049,93.34,500.0,-65.5517,5.4346e-20,1.0,0.0025,0.0025,,-64.3452001049,500
1.00002165027,56.9202365887,56.9202365887,,100,1.15944e-05,0.002,-51.235,-60.8435771853,1,1.0,2.31891e-08,0.00630893,-60.8435771853,89.27,0.000122307843828,-51.235,0.00199996,4.08805e+06,0.999989,,2.6886e-13,-60.8435771853,500
100.0,3798.71241467,3798.71241467,1.0,100,1.0,0.01,-71.9882,-71.9882079355,2,1.0,1.0,61.3248,-71.9882079355,103.05,500.0,-71.9882,3.50449e-18,1.0,0.01,0.01,,-71.9882079355,500
200.000000102,1341.49708525,1341.49708525,1.0,100,1.0,0.005,-67.0575,-62.1267543337,2,1.0,1.0,50.6825,-62.1267543337,89.81,500.0,-67.0575,2.1793e-19,1.0,0.005,0.005,,-62.1267543337,500
299.999969474,2559.95472115,2559.95472115,1.0,100,1.0,0.00333333,-67.3417,-67.9101439749,2,1.0,1.0,50.571,-67.9101439749,97.99,500.0,-67.3417,5.43914e-20,1.0,0.00333333,0.00333333,,-67.9101439749,500
400.0,1329.63130312,1329.63130312,1.0,100,1.0,0.0025,-66.2897,-63.1338205531,2,1.0,1.0,47.4391,-63.1338205531,91.82,500.0,-66.2897,5.4346e-20,1.0,0.0025,0.0025,,-63.1338205531,500
1.0,2586.16310098,2586.16310098,,100,4.15993e-15,0.002,-62.8225,-67.1796969369,1,1.0,8.31987e-18,,-67.1796969369,96.5,0.00347062775196,-62.8225,0.002,144066.0,1.0,,3.46101e-32,-67.1796969369,500
100.0,2570.94181763,2570.94181763,1.0,100,1.0,0.01,-67.7784,-67.778358162,2,1.0,1.0,50.4503,-67.778358162,97.3,500.0,-67.7784,3.50449e-18,1.0,0.01,0.01,,-67.778358162,500
200.000000102,3807.22788748,3807.22788748,1.0,100,1.0,0.005,-69.1483,-70.5181417376,2,1.0,1.0,56.2056,-70.5181417376,100.1,500.0,-69.1483,2.1793e-19,1.0,0.005,0.005,,-70.5181417376,500
299.999969474,1318.27370309,1318.27370309,1.0,100,1.0,0.00333333,-67.4377,-64.0166498508,2,1.0,1.0,50.4671,-64.0166498508,93.2,500.0,-67.4377,5.43914e-20,1.0,0.00333333,0.00333333,,-64.0166498508,500
400.0,2554.51179567,2554.51179567,1.0,100,1.0,0.0025,-67.6942,-68.4636243053,2,1.0,1.0,50.4246,-68.4636243053,98.46,500.0,-67.6942,5.4346e-20,1.0,0.0025,0.0025,,-68.4636243053,500
9.95342479481,1327.5757315,1327.5757315,3.10868e-10,100,4.33227,0.002,-62.167,-63.6921159342,1,1.0,0.0377329,61.5797,-63.6921159342,92.29,,-62.167,0.000197331,inf,0.229628,1.64773e-11,0.0702386,-63.6921159342,500
100.0,1320.2529069,1320.2529069,1.0,100,1.0,0.01,-64.0987,-64.0987391108,2,1.0,1.0,36.1532,-64.0987391108,92.97,500.0,-64.0987,3.50449e-18,1.0,0.01,0.01,,-64.0987391108,500
200.000000102,3799.2259945,3799.2259945,1.0,100,1.0,0.005,-67.5262,-70.9536866753,2,1.0,1.0,50.4568,-70.9536866753,101.09,500.0,-67.5262,2.1793e-19,1.0,0.005,0.005,,-70.9536866753,500
299.999969474,1319.60124405,1319.60124405,1.0,100,1.0,0.00333333,-66.4139,-64.189368467,2,1.0,1.0,46.2083,-64.189368467,93.47,500.0,-66.4139,5.43914e-20,1.0,0.00333333,0.00333333,,-64.189368467,500
400.0,1325.48105617,1325.48105617,1.0,100,1.0,0.0025,-65.9732,-64.6508998586,2,1.0,1.0,43.9322,-64.6508998586,93.98,500.0,-65.9732,5.4346e-20,1.0,0.0025,0.0025,,-64.6508998586,500
1.00000020688,3806.4983108,3806.4983108,,100,1.0236e-15,0.002,-54.7148,-70.5077183205,1,1.0,2.0472e-18,8.60375e-05,-70.5077183205,100.18,0.00032564668751,-54.7148,0.002,1.53541e+06,1.0,,2.09552e-33,-70.5077183205,500
100.0,2577.95395674,2577.95395674,1.0,100,1.0,0.01,-67.0348,-67.0348227859,2,1.0,1.0,50.519,-67.0348227859,96.4,500.0,-67.0348,3.50449e-18,1.0,0.01,0.01,,-67.0348227859,500
200.000000102,2590.8793931,2590.8793931,1.0,100,1.0,0.005,-66.3926,-65.7503629579,2,1.0,1.0,50.5864,-65.7503629579,94.01,500.0,-66.3926,2.1793e-19,1.0,0.005,0.005,,-65.7503629579,500
299.999969474,1319.72131791,1319.72131791,1.0,100,1.0,0.00333333,-65.9177,-64.9678228562,2,1.0,1.0,46.2812,-64.9678228562,94.41,500.0,-65.9177,5.43914e-20,1.0,0.00333333,0.00333333,,-64.9678228562,500
400.0,1324.83834496,1324.83834496,1.0,100,1.0,0.0025,-65.3361,-63.5915172559,2,1.0,1.0,43.9929,-63.5915172559,92.1,500.0,-65.3361,5.4346e-20,1.0,0.0025,0.0025,,-63.5915172559,500
386.866006143,60.6458928447,60.6458928447,0.153955,100,5.85566,0.002,-62.9872,-60.9577059072,1,1.0,0.943493,31.1786,-60.9577059072,90.45,,-62.9872,1.17209e-06,inf,0.0124127,0.00032635,0.260843,-60.9577059072,500
100.0,1342.45943623,1342.45943623,1.0,100,1.0,0.01,-63.1574,-63.1574426639,2,1.0,1.0,36.4559,-63.1574426639,91.62,500.0,-63.1574,3.50449e-18,1.0,0.01,0.01,,-63.1574426639,500
200.000000102,2570.32787704,2570.32787704,1.0,100,1.0,0.005,-65.5607,-67.9640143807,2,1.0,1.0,44.075,-67.9640143807,97.81,500.0,-65.5607,2.1793e-19,1.0,0.005,0.005,,-67.9640143807,500
299.999969474,1348.69712519,1348.69712519,1.0,100,1.0,0.00333333,-65.0275,-63.9611448282,2,1.0,1.0,41.7218,-63.9611448282,93.05,500.0,-65.0275,5.43914e-20,1.0,0.00333333,0.00333333,,-63.9611448282,500
400.0,1318.41403882,1318.41403882,1.0,100,1.0,0.0025,-64.6598,-63.5565694764,2,1.0,1.0,40.4011,-63.5565694764,92.49,500.0,-64.6598,5.4346e-20,1.0,0.0025,0.0025,,-63.5565694764,500
1.36590206124,1337.44385436,1337.44385436,,100,1.98535e-21,0.002,-52.8941,-62.923834969,1,1.0,4.68837e-24,15.8835,-62.923834969,91.17,,-52.8941,0.00146307,inf,0.846926,,8.40779e-45,-62.923834969,500
100.0,1343.71800717,1343.71800717,1.0,100,1.0,0.01,-63.2422,-63.2422246474,2,1.0,1.0,36.473,-63.2422246474,92.16,500.0,-63.2422,3.50449e-18,1.0,0.01,0.01,,-63.2422246474,500
200.000000102,6162.18614396,6162.18614396,1.0,100,1.0,0.005,-70.7848,-78.3274555267,2,1.0,1.0,61.4192,-78.3274555267,109.81,500.0,-70.7848,2.1793e-19,1.0,0.005,0.005,,-78.3274555267,500
299.999969474,1316.66796077,1316.66796077,1.0,100,1.0,0.00333333,-68.4426,-63.7581686187,2,1.0,1.0,54.4091,-63.7581686187,92.69,500.0,-68.4426,5.43914e-20,1.0,0.00333333,0.00333333,,-63.7581686187,500
400.0,3784.83969071,3784.83969071,1.0,100,1.0,0.0025,-68.9946,-70.650550866,2,1.0,1.0,56.1954,-70.650550866,100.54,500.0,-68.9946,5.4346e-20,1.0,0.0025,0.0025,,-70.650550866,500
220.04902939,1328.10664099,1328.10664099,0.0866684,100,16.0378,0.002,-65.7135,-63.9954235248,1,1.0,0.976422,46.0726,-63.9954235248,92.76,,-65.7135,5.09908e-06,inf,0.0328502,0.000177523,1.21536,-63.9954235248,500
100.0,42.1454956623,42.1454956623,1.0,100,1.0,0.01,-59.4122,-59.4122146851,2,1.0,1.0,6.45941,-59.4122146851,87.17,500.0,-59.4122,3.50449e-18,1.0,0.01,0.01,,-59.4122146851,500
200.000000102,2579.37328793,2579.37328793,1.0,100,1.0,0.005,-62.8213,-66.2304270241,2,1.0,1.0,36.1839,-66.2304270241,94.94,500.0,-62.8213,2.1793e-19,1.0,0.005,0.005,,-66.2304270241,500
299.999969474,6199.9934452,6199.9934452,1.0,100,1.0,0.00333333,-67.4264,-76.6365527268,2,1.0,1.0,54.4175,-76.6365527268,106.8,500.0,-67.4264,5.43914e-20,1.0,0.00333333,0.00333333,,-76.6365527268,500
400.0,55.6580832671,55.6580832671,1.0,100,1.0,0.0025,-65.6643,-60.378094614,2,1.0,1.0,47.3713,-60.378094614,89.01,500.0,-65.6643,5.4346e-20,1.0,0.0025,0.0025,,-60.378094614,500
inf,2585.44750443,2585.44750443,,100,3.712e-33,0.002,-51.8419,-66.834044344,1,1.0,7.42401e-36,,-66.834044344,95.49,1.19252124914e-12,-51.8419,0.002,4.1928e+14,1.0,,,-66.834044344,500
100.0,3781.27336997,3781.27336997,1.0,100,1.0,0.01,-71.8681,-71.8681067091,2,1.0,1.0,61.1838,-71.8681067091,102.73,500.0,-71.8681,3.50449e-18,1.0,0.01,0.01,,-71.8681067091,500
200.000000102,1337.1501769,1337.1501769,1.0,100,1.0,0.005,-67.9536,-64.0391656148,2,1.0,1.0,50.4871,-64.0391656148,93.53,500.0,-67.9536,2.1793e-19,1.0,0.005,0.005,,-64.0391656148,500
299.999969474,46.6154174948,46.6154174948,1.0,100,1.0,0.00333333,-65.5054,-60.6089975375,2,1.0,1.0,41.5532,-60.6089975375,89.64,500.0,-65.5054,5.43914e-20,1.0,0.00333333,0.00333333,,-60.6089975375,500
400.0,2578.4190828,2578.4190828,1.0,100,1.0,0.0025,-65.9865,-67.4297946322,2,1.0,1.0,43.9756,-67.4297946322,96.86,500.0,-65.9865,5.4346e-20,1.0,0.0025,0.0025,,-67.4297946322,500
199.48678021,1326.16898687,1326.16898687,0.412937,100,10.9265,0.002,-62.6146,-63.8942363559,1,1.0,0.983106,29.4126,-63.8942363559,92.73,499.999046328,-62.6146,6.0378e-06,1.0,0.0222284,0.000840067,1.45888,-63.8942363559,500
100.0,2579.61938282,2579.61938282,1.0,100,1.0,0.01,-66.7785,-66.7784630206,2,1.0,1.0,50.5354,-66.7784630206,96.05,500.0,-66.7785,3.50449e-18,1.0,0.01,0.01,,-66.7784630206,500
200.000000102,3787.88701503,3787.88701503,1.0,100,1.0,0.005,-68.9948,-71.2110877825,2,1.0,1.0,56.1857,-71.2110877825,101.3,500.0,-68.9948,2.1793e-19,1.0,0.005,0.005,,-71.2110877825,500
299.999969474,2582.33952351,2582.33952351,1.0,100,1.0,0.00333333,-68.3998,-67.2097369729,2,1.0,1.0,54.3823,-67.2097369729,96.98,500.0,-68.3998,5.43914e-20,1.0,0.00333333,0.00333333,,-67.2097369729,500
400.0,50.5663018694,50.5663018694,1.0,100,1.0,0.0025,-66.4235,-60.494831931,2,1.0,1.0,47.353,-60.494831931,89.05,500.0,-66.4235,5.4346e-20,1.0,0.0025,0.0025,,-60.494831931,500
54.4264954628,63.9644064013,63.9644064013,1.1153e-07,100,65.529,0.002,-63.6164,-59.7336489673,1,1.0,1.08107,37.6575,-59.7336489673,87.45,1.87970194256e-35,-63.6164,3.28124e-05,2.66e+37,0.12123,2.06332e-10,9.58702,-59.7336489673,500
100.0,1323.30839589,1323.30839589,1.0,100,1.0,0.01,-64.4391,-64.4390744738,2,1.0,1.0,36.195,-64.4390744738,93.94,500.0,-64.4391,3.50449e-18,1.0,0.01,0.01,,-64.4390744738,500
200.000000102,56.3066983276,56.3066983276,1.0,100,1.0,0.005,-62.6298,-60.8205076206,2,1.0,1.0,26.1951,-60.8205076206,89.47,500.0,-62.6298,2.1793e-19,1.0,0.005,0.005,,-60.8205076206,500
299.999969474,3815.70125868,3815.70125868,1.0,100,1.0,0.00333333,-65.3481,-70.7846718657,2,1.0,1.0,41.6103,-70.7846718657,100.6,500.0,-65.3481,5.43914e-20,1.0,0.00333333,0.00333333,,-70.7846718657,500
400.0,41.6658968241,41.6658968241,1.0,100,1.0,0.0025,-64.2705,-61.0379256217,2,1.0,1.0,36.2265,-61.0379256217,89.93,500.0,-64.2705,5.4346e-20,1.0,0.0025,0.0025,,-61.0379256217,500
107.14683573,2576.84573205,2576.84573205,0.000158959,100,13.7688,0.002,-59.6159,-67.2195111535,1,1.0,1.01489,17.3089,-67.2195111535,96.63,,-59.6159,1.46954e-05,inf,0.0271336,3.13254e-07,3.78406,-67.2195111535,500
100.0,1336.31270036,1336.31270036,1.0,100,1.0,0.01,-63.2572,-63.2572025444,2,1.0,1.0,36.3724,-63.2572025444,92.01,500.0,-63.2572,3.50449e-18,1.0,0.01,0.01,,-63.2572025444,500
200.000000102,2558.7892751,2558.7892751,1.0,100,1.0,0.005,-65.337,-67.4168313071,2,1.0,1.0,43.9591,-67.4168313071,96.7,500.0,-65.337,2.1793e-19,1.0,0.005,0.005,,-67.4168313071,500
299.999969474,3779.3805882,3779.3805882,1.0,100,1.0,0.00333333,-67.4593,-71.7037814425,2,1.0,1.0,50.4428,-71.7037814425,102.54,500.0,-67.4593,5.43914e-20,1.0,0.00333333,0.00333333,,-71.7037814425,500
400.0,3779.5556507,3779.5556507,1.0,100,1.0,0.0025,-68.3286,-70.936705128,2,1.0,1.0,53.3485,-70.936705128,100.96,500.0,-68.3286,5.4346e-20,1.0,0.0025,0.0025,,-70.936705128,500
312.678594924,2555.62707476,2555.62707476,0.570942,100,8.10583,0.002,-66.6824,-68.3186172865,1,1.0,1.03111,43.2957,-68.3186172865,98.14,,-66.6824,2.40115e-06,inf,0.0157226,0.00110743,0.638215,-68.3186172865,500
100.0,2582.11928405,2582.11928405,1.0,100,1.0,0.01,-67.0722,-67.0722493023,2,1.0,1.0,50.5598,-67.0722493023,96.43,500.0,-67.0722,3.50449e-18,1.0,0.01,0.01,,-67.0722493023,500
200.000000102,1330.32933472,1330.32933472,1.0,100,1.0,0.005,-64.4781,-61.8838755612,2,1.0,1.0,44.0839,-61.8838755612,89.75,500.0,-64.4781,2.1793e-19,1.0,0.005,0.005,,-61.8838755612,500
299.999969474,3796.23588556,3796.23588556,1.0,100,1.0,0.00333333,-66.6911,-71.1171523884,2,1.0,1.0,50.5781,-71.1171523884,101.28,500.0,-66.6911,5.43914e-20,1.0,0.00333333,0.00333333,,-71.1171523884,500
400.0,1329.15210734,1329.15210734,1.0,100,1.0,0.0025,-66.1927,-64.6973895074,2,1.0,1.0,47.4165,-64.6973895074,94.08,500.0,-66.1927,5.4346e-20,1.0,0.0025,0.0025,,-64.6973895074,500
391.324600846,1324.06649363,1324.06649363,0.0712724,100,5.66938,0.002,-64.4885,-63.0486416358,1,1.0,0.904472,37.2514,-63.0486416358,91.34,,-64.4885,1.11307e-06,inf,0.0125363,0.0001576,0.227643,-63.0486416358,500
100.0,75.0571320938,75.0571320938,1.0,100,1.0,0.01,-59.814,-59.8140017933,2,1.0,1.0,8.62012,-59.8140017933,88.26,500.0,-59.814,3.50449e-18,1.0,0.01,0.01,,-59.8140017933,500
