Delta,eRenyi2,J,ESSClassic,VarJ,MinVanillaIw,MaxVanillaIw,VarRet,AvgRet,AvgDiscRet,Bound,VanillaAvgRet,EpsThisIter,MaxNormIw,VarDiscRet,VarVanillaIw,BatchSize,AvgNormIw,IterType,AvgEpLen,VarNormIw,MinNormIw,ESSRenyi,AvgVanillaIw
0.9,1.0,-97.8015,299.999969474,89.0104,1.0,1.0,10055.9364887,-103.255952541,-103.255952541,-105.829,-103.255952541,100,0.00333333,10055.9364887,,500,0.00333333,2,138.95,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-94.8579,400.0,84.6742,1.0,1.0,4854.91488757,-86.027061656,-86.027061656,-101.81,-86.027061656,100,0.0025,4854.91488757,,500,0.0025,2,120.2,5.4346e-20,0.0025,500.0,1.0
0.9,9.02285,-72.5121,50.6087703563,54.363,1.16734e-17,16.96,5911.60464453,-91.4263837916,-91.4263837916,-91.191,-91.4263837916,100,0.0391271,5911.60464453,6.68692,500,0.002,1,126.22,3.559e-05,2.69308e-20,55.4148514355,0.86692
0.9,1.0,-95.1215,100.0,82.7434,1.0,1.0,6915.63170821,-95.1215044324,-95.1215044324,-109.026,-95.1215044324,100,0.01,6915.63170821,,500,0.01,2,130.65,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-103.411,200.000000102,96.6275,1.0,1.0,11807.9118474,-111.700912183,-111.700912183,-113.243,-111.700912183,100,0.005,11807.9118474,,500,0.005,2,149.7,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-99.6838,299.999969474,92.5363,1.0,1.0,7001.80742892,-92.2289156996,-92.2289156996,-107.712,-92.2289156996,100,0.00333333,7001.80742892,,500,0.00333333,2,126.71,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-102.288,400.0,97.001,1.0,1.0,11986.2970138,-110.10178781,-110.10178781,-109.241,-110.10178781,100,0.0025,11986.2970138,,500,0.0025,2,147.43,5.4346e-20,0.0025,500.0,1.0
0.9,2.57817,-94.2758,169.067357029,106.961,0.0924272,15.4642,8090.76813976,-94.5619245562,-94.5619245562,-104.261,-94.5619245562,100,0.028194,8090.76813976,2.36023,500,0.002,1,129.1,7.8453e-06,0.000168511,193.936147753,1.09699
0.9,1.0,-91.1407,100.0,83.3935,1.0,1.0,7024.71712716,-91.1407315508,-91.1407315508,-105.045,-91.1407315508,100,0.01,7024.71712716,,500,0.01,2,125.88,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-93.0534,200.000000102,86.2854,1.0,1.0,8008.64581804,-94.9659872851,-94.9659872851,-102.886,-94.9659872851,100,0.005,8008.64581804,,500,0.005,2,130.3,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-89.0111,299.999969474,81.4576,1.0,1.0,4967.30008974,-80.9266533637,-80.9266533637,-97.039,-80.9266533637,100,0.00333333,4967.30008974,,500,0.00333333,2,112.76,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-90.0451,400.0,81.9304,1.0,1.0,7001.53291836,-93.146996875,-93.146996875,-96.9975,-93.146996875,100,0.0025,7001.53291836,,500,0.0025,2,128.47,5.4346e-20,0.0025,500.0,1.0
0.9,4.2441,-81.8399,119.45210487,105.549,1.04996e-07,16.8238,14159.5734015,-119.64203867,-119.64203867,-94.6505,-119.64203867,100,0.0335811,14159.5734015,3.20481,500,0.002,1,158.6,1.27686e-05,2.09578e-10,117.81072419,1.00198
0.9,1.0,-99.8161,100.0,94.6071,1.0,1.0,9040.91199306,-99.8161297569,-99.8161297569,-113.721,-99.8161297569,100,0.01,9040.91199306,,500,0.01,2,135.73,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-92.8134,200.000000102,83.1514,1.0,1.0,4828.00188659,-85.810762579,-85.810762579,-102.646,-85.810762579,100,0.005,4828.00188659,,500,0.005,2,119.75,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-100.356,299.999969474,94.5137,1.0,1.0,12756.4288296,-115.442027711,-115.442027711,-108.384,-115.442027711,100,0.00333333,12756.4288296,,500,0.00333333,2,153.92,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-100.471,400.0,94.4832,1.0,1.0,8999.58610827,-100.814850046,-100.814850046,-107.423,-100.814850046,100,0.0025,8999.58610827,,500,0.0025,2,137.1,5.4346e-20,0.0025,500.0,1.0
0.9,8.20911,-72.6676,52.1610200649,48.8305,,12.5916,3717.39109966,-83.2022433397,-83.2022433397,-90.4843,-83.2022433397,100,0.0282478,3717.39109966,6.8375,500,0.002,1,116.84,3.44116e-05,,60.9079476642,0.891509
0.9,1.0,-91.4674,100.0,83.7087,1.0,1.0,7077.929073,-91.467391765,-91.467391765,-105.372,-91.467391765,100,0.01,7077.929073,,500,0.01,2,125.56,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-85.7414,200.000000102,69.4153,1.0,1.0,2590.15693886,-80.0153646633,-80.0153646633,-95.5734,-80.0153646633,100,0.005,2590.15693886,,500,0.005,2,113.18,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-89.5179,299.999969474,79.1394,1.0,1.0,9158.17308198,-97.0708543588,-97.0708543588,-97.5458,-97.0708543588,100,0.00333333,9158.17308198,,500,0.00333333,2,131.75,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-86.8996,400.0,71.1223,1.0,1.0,1375.86701739,-79.0446762574,-79.0446762574,-93.8519,-79.0446762574,100,0.0025,1375.86701739,,500,0.0025,2,112.71,5.4346e-20,0.0025,500.0,1.0
0.9,4.93037,-73.777,109.035618452,32.3426,,9.27607,11019.0159745,-106.861706003,-106.861706003,-87.5846,-106.861706003,100,0.0167403,11019.0159745,4.41268,500,0.002,1,144.26,1.43714e-05,,101.412250621,1.10823
0.9,1.0,-86.9304,100.0,68.8974,1.0,1.0,4794.80056749,-86.9303697596,-86.9303697596,-100.834,-86.9303697596,100,0.01,4794.80056749,,500,0.01,2,120.72,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-87.5273,200.000000102,72.8541,1.0,1.0,5927.1561917,-88.1241868733,-88.1241868733,-97.3594,-88.1241868733,100,0.005,5927.1561917,,500,0.005,2,122.15,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-91.1841,299.999969474,81.02,1.0,1.0,9087.93098065,-98.4976304604,-98.4976304604,-99.2119,-98.4976304604,100,0.00333333,9087.93098065,,500,0.00333333,2,134.38,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-92.2692,400.0,83.2707,1.0,1.0,8110.27919096,-95.5247742847,-95.5247742847,-99.2216,-95.5247742847,100,0.0025,8110.27919096,,500,0.0025,2,130.95,5.4346e-20,0.0025,500.0,1.0
0.9,4.49947,-80.2117,121.291941812,97.1527,1.70195e-17,11.2923,9141.64168143,-98.4575970085,-98.4575970085,-93.4022,-98.4575970085,100,0.0204493,9141.64168143,3.81601,500,0.002,1,133.21,1.25142e-05,3.08207e-20,111.124228625,1.10442
0.9,1.0,-89.9587,100.0,83.7692,1.0,1.0,7088.15363369,-89.9587437345,-89.9587437345,-103.863,-89.9587437345,100,0.01,7088.15363369,,500,0.01,2,123.73,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-89.1273,200.000000102,76.6023,1.0,1.0,4764.82365676,-88.2957729778,-88.2957729778,-98.9594,-88.2957729778,100,0.005,4764.82365676,,500,0.005,2,122.9,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-97.0148,299.999969474,91.1093,1.0,1.0,12922.8503789,-112.790004143,-112.790004143,-105.043,-112.790004143,100,0.00333333,12922.8503789,,500,0.00333333,2,150.41,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-94.4984,400.0,87.8942,1.0,1.0,5982.67260576,-86.9490461852,-86.9490461852,-101.451,-86.9490461852,100,0.0025,5982.67260576,,500,0.0025,2,121.09,5.4346e-20,0.0025,500.0,1.0
0.9,1.88128,-88.5706,248.534692077,82.8569,0.0510011,15.0773,4812.97683305,-84.9303916712,-84.9303916712,-97.0998,-84.9303916712,100,0.0317935,4812.97683305,0.911996,500,0.002,1,119.44,4.05528e-06,0.000107546,265.776214018,0.948454
0.9,1.0,-108.312,100.0,109.312,1.0,1.0,12069.7067278,-108.311570416,-108.311570416,-122.216,-108.311570416,100,0.01,12069.7067278,,500,0.01,2,145.28,3.50449e-18,0.01,500.0,1.0
0.9,1.0,-104.586,200.000000102,104.91,1.0,1.0,10136.8763806,-100.860520188,-100.860520188,-114.418,-100.860520188,100,0.005,10136.8763806,,500,0.005,2,135.78,2.1793e-19,0.005,500.0,1.0
0.9,1.0,-98.8847,299.999969474,96.8714,1.0,1.0,6004.97798506,-87.4820604952,-87.4820604952,-106.913,-87.4820604952,100,0.00333333,6004.97798506,,500,0.00333333,2,122.0,5.43914e-20,0.00333333,500.0,1.0
0.9,1.0,-94.9268,400.0,89.5585,1.0,1.0,3780.48130262,-83.0529765795,-83.0529765795,-101.879,-83.0529765795,100,0.0025,3780.48130262,,500,0.0025,2,115.83,5.4346e-20,0.0025,500.0,1.0
