VarVanillaIw,VarRet,J,AvgEpLen,Delta,BatchSize,IterType,EpsThisIter,AvgVanillaIw,VanillaAvgRet,Bound,AvgDiscRet,ESSRenyi,MaxVanillaIw,VarJ,VarNormIw,AvgRet,ESSClassic,eRenyi2,AvgNormIw,MaxNormIw,VarDiscRet,MinNormIw,MinVanillaIw
,559.959532196,1.58435,42.96,0.7,500,2,100,1.0,-3.6136620553,-1.00275,-3.6136620553,500.0,1.0,22.097,2.1793e-19,-3.6136620553,200.000000102,1.0,0.005,0.005,559.959532196,0.005,1.0
,3611.37971803,-4.71886,121.58,0.7,500,2,100,1.0,-17.325282182,-11.355,-17.325282182,500.0,1.0,39.9592,5.43914e-20,-17.325282182,299.999969474,1.0,0.00333333,0.00333333,3611.37971803,0.00333333,1.0
,161.7017347,-3.83935,34.42,0.7,500,2,100,1.0,-1.20083479102,-9.58644,-1.20083479102,500.0,1.0,35.2121,5.4346e-20,-1.20083479102,400.0,1.0,0.0025,0.0025,161.7017347,0.0025,1.0
1.73447e+09,1471.58556552,71.0009,42.4,0.7,500,1,100,6525.06,-8.56850076229,65.6274,-8.56850076229,457.545545336,271844.0,0.053439,0.000162951,-8.56850076229,12.0029838538,1.09279,0.002,0.083323,1471.58556552,1.38003e-08,0.0450239
,272.581389978,1.8054,42.48,0.7,500,2,100,1.0,1.80540278108,-0.492628,1.80540278108,500.0,1.0,16.4273,3.50449e-18,1.80540278108,100.0,1.0,0.01,0.01,272.581389978,0.01,1.0
,29.8985457841,-3.12914,46.36,0.7,500,2,100,1.0,-8.0636743211,-4.75409,-8.0636743211,500.0,1.0,13.1938,2.1793e-19,-8.0636743211,200.000000102,1.0,0.005,0.005,29.8985457841,0.005,1.0
,351.364017999,-0.677442,30.96,0.7,500,2,100,1.0,4.22594336469,-2.15362,4.22594336469,500.0,1.0,15.6212,5.43914e-20,4.22594336469,299.999969474,1.0,0.00333333,0.00333333,351.364017999,0.00333333,1.0
,681.179110592,-3.36985,47.62,0.7,500,2,100,1.0,-11.4470640197,-5.4314,-11.4470640197,500.0,1.0,19.3224,5.4346e-20,-11.4470640197,400.0,1.0,0.0025,0.0025,681.179110592,0.0025,1.0
1.75153e+09,970.222032671,61.7899,47.08,0.7,500,1,100,6556.98,12.2847698615,59.8709,12.2847698615,461.633233335,273177.0,0.0428341,0.000162956,12.2847698615,12.0026540459,1.08311,0.002,0.0833241,970.222032671,5.11981e-08,0.167852
,732.690973409,-12.0876,41.12,0.7,500,2,100,1.0,-12.0876019091,-17.1223,-12.0876019091,500.0,1.0,26.9326,3.50449e-18,-12.0876019091,100.0,1.0,0.01,0.01,732.690973409,0.01,1.0
,1476.17133225,-6.63589,42.76,0.7,500,2,100,1.0,-1.18418126301,-10.3777,-1.18418126301,500.0,1.0,33.5128,2.1793e-19,-1.18418126301,200.000000102,1.0,0.005,0.005,1476.17133225,0.005,1.0
,748.009046689,-7.33397,42.56,0.7,500,2,100,1.0,-8.73011494851,-10.3892,-8.73011494851,500.0,1.0,31.5683,5.43914e-20,-8.73011494851,299.999969474,1.0,0.00333333,0.00333333,748.009046689,0.00333333,1.0
,239.125581916,-6.63117,28.24,0.7,500,2,100,1.0,-4.52279634864,-9.27705,-4.52279634864,500.0,1.0,28.4268,5.4346e-20,-4.52279634864,400.0,1.0,0.0025,0.0025,239.125581916,0.0025,1.0
3.54658e+09,485.843724798,80.8259,37.2,0.7,500,1,100,8499.86,-2.25997143634,78.3431,-2.25997143634,454.295341406,424955.0,0.0510538,0.000196357,-2.25997143634,10.0017741785,1.10061,0.002,0.0999911,485.843724798,3.02782e-08,0.12868
,105.999895014,1.72785,34.76,0.7,500,2,100,1.0,1.72784732297,0.505085,1.72784732297,500.0,1.0,10.244,3.50449e-18,1.72784732297,100.0,1.0,0.01,0.01,105.999895014,0.01,1.0
,5234.42774407,5.62959,55.04,0.7,500,2,100,1.0,9.53133799458,-3.29584,9.53133799458,500.0,1.0,51.5629,2.1793e-19,9.53133799458,200.000000102,1.0,0.005,0.005,5234.42774407,0.005,1.0
,428.76533844,3.83014,39.02,0.7,500,2,100,1.0,0.231248623996,-3.45744,0.231248623996,500.0,1.0,43.823,5.43914e-20,0.231248623996,299.999969474,1.0,0.00333333,0.00333333,428.76533844,0.00333333,1.0
,195.945072724,3.8517,33.28,0.7,500,2,100,1.0,3.91635790284,-2.45954,3.91635790284,500.0,1.0,38.5855,5.4346e-20,3.91635790284,400.0,1.0,0.0025,0.0025,195.945072724,0.0025,1.0
3.42707e+08,155.775960382,192.759,36.62,0.7,500,1,100,2642.72,-0.222700611149,186.905,-0.222700611149,464.943279147,132100.0,0.374453,0.000196282,-0.222700611149,10.0055146154,1.0754,0.002,0.0999724,155.775960382,1.15576e-07,0.152718
,772.700751565,8.39796,27.86,0.7,500,2,100,1.0,8.39795977169,3.20241,8.39795977169,500.0,1.0,27.6582,3.50449e-18,8.39795977169,100.0,1.0,0.01,0.01,772.700751565,0.01,1.0
,464.69707067,2.4398,32.4,0.7,500,2,100,1.0,-3.51835194456,-1.234,-3.51835194456,500.0,1.0,25.4561,2.1793e-19,-3.51835194456,200.000000102,1.0,0.005,0.005,464.69707067,0.005,1.0
,5416.4258018,10.0002,91.68,0.7,500,2,100,1.0,25.1208480915,2.20508,25.1208480915,500.0,1.0,48.3089,5.43914e-20,25.1208480915,299.999969474,1.0,0.00333333,0.00333333,5416.4258018,0.00333333,1.0
,1095.08114257,3.61717,79.56,0.7,500,2,100,1.0,-15.5317878333,-3.13357,-15.5317878333,500.0,1.0,46.2987,5.4346e-20,-15.5317878333,400.0,1.0,0.0025,0.0025,1095.08114257,0.0025,1.0
1.41792e+09,959.430756792,206.21,34.76,0.7,500,1,100,5374.74,6.7515212457,199.887,6.7515212457,455.906275768,268698.0,0.203691,0.000196334,6.7515212457,10.0029222024,1.09672,0.002,0.0999854,959.430756792,1.00144e-07,0.269124
,545.635215791,-6.28025,27.88,0.7,500,2,100,1.0,-6.28024916956,-9.95952,-6.28024916956,500.0,1.0,23.2417,3.50449e-18,-6.28024916956,100.0,1.0,0.01,0.01,545.635215791,0.01,1.0
,2091.4626823,-6.7514,49.44,0.7,500,2,100,1.0,-7.22255158036,-12.8217,-7.22255158036,500.0,1.0,36.1329,2.1793e-19,-7.22255158036,200.000000102,1.0,0.005,0.005,2091.4626823,0.005,1.0
,878.723445017,-5.20312,41.62,0.7,500,2,100,1.0,-2.10654821216,-10.1595,-2.10654821216,500.0,1.0,34.1345,5.43914e-20,-2.10654821216,299.999969474,1.0,0.00333333,0.00333333,878.723445017,0.00333333,1.0
,310.320637948,-0.933004,32.66,0.7,500,2,100,1.0,11.8773335835,-5.22538,11.8773335835,500.0,1.0,31.7077,5.4346e-20,11.8773335835,400.0,1.0,0.0025,0.0025,310.320637948,0.0025,1.0
2.01258e+07,2219.53425237,46.54,56.84,0.7,500,1,100,640.986,-9.46093710024,42.586,-9.46093710024,471.390396358,32012.8,0.36196,0.000195937,-9.46093710024,10.0227956201,1.06069,0.002,0.0998862,2219.53425237,1.26725e-06,0.406144
,917.907193532,6.46822,36.66,0.7,500,2,100,1.0,6.46822158571,1.65753,6.46822158571,500.0,1.0,30.1451,3.50449e-18,6.46822158571,100.0,1.0,0.01,0.01,917.907193532,0.01,1.0
,1695.36580902,6.04408,47.4,0.7,500,2,100,1.0,5.61993012117,2.40068,5.61993012117,500.0,1.0,35.9687,2.1793e-19,5.61993012117,200.000000102,1.0,0.005,0.005,1695.36580902,0.005,1.0
,694.017117681,11.1971,50.14,0.7,500,2,100,1.0,21.5032608983,8.22232,21.5032608983,500.0,1.0,33.8324,5.43914e-20,21.5032608983,299.999969474,1.0,0.00333333,0.00333333,694.017117681,0.00333333,1.0
,574.917374715,8.92343,41.34,0.7,500,2,100,1.0,2.10230304372,6.34716,2.10230304372,500.0,1.0,31.8791,5.4346e-20,2.10230304372,400.0,1.0,0.0025,0.0025,574.917374715,0.0025,1.0
2.95937e+09,197.172823005,78.7013,33.86,0.7,500,1,100,8522.8,5.16162411663,76.2914,5.16162411663,457.108978914,355087.0,0.0324007,0.000162965,5.16162411663,12.0019762908,1.09383,0.002,0.0833265,197.172823005,5.04835e-08,0.21513
,1518.35369616,-2.04434,42.48,0.7,500,2,100,1.0,-2.04434045916,-6.92724,-2.04434045916,500.0,1.0,38.7707,3.50449e-18,-2.04434045916,100.0,1.0,0.01,0.01,1518.35369616,0.01,1.0
,378.031585273,-3.26767,40.84,0.7,500,2,100,1.0,-4.49099631632,-6.7204,-4.49099631632,500.0,1.0,30.6628,2.1793e-19,-4.49099631632,200.000000102,1.0,0.005,0.005,378.031585273,0.005,1.0
,2698.66311741,6.49365,46.12,0.7,500,2,100,1.0,26.0162937835,0.360817,26.0162937835,500.0,1.0,41.3271,5.43914e-20,26.0162937835,299.999969474,1.0,0.00333333,0.00333333,2698.66311741,0.00333333,1.0
,669.285763657,5.77844,38.74,0.7,500,2,100,1.0,3.63278979947,0.467245,3.63278979947,500.0,1.0,38.0543,5.4346e-20,3.63278979947,400.0,1.0,0.0025,0.0025,669.285763657,0.0025,1.0
3.47639e+08,350.47773438,162.222,44.54,0.7,500,1,100,2921.59,13.2613872694,157.301,13.2613872694,465.995773234,121703.0,0.246817,0.000162911,13.2613872694,12.0058906774,1.07297,0.002,0.0833129,350.47773438,1.88954e-07,0.276023
,2138.50723688,-13.8097,38.56,0.7,500,2,100,1.0,-13.809703112,-21.4401,-13.809703112,500.0,1.0,46.0122,3.50449e-18,-13.809703112,100.0,1.0,0.01,0.01,2138.50723688,0.01,1.0
,206.913627998,-10.5828,39.96,0.7,500,2,100,1.0,-7.35585583187,-15.9783,-7.35585583187,500.0,1.0,34.2257,2.1793e-19,-7.35585583187,200.000000102,1.0,0.005,0.005,206.913627998,0.005,1.0
,828.964163367,-5.43249,90.14,0.7,500,2,100,1.0,4.86808787046,-9.8379,4.86808787046,500.0,1.0,33.2797,5.43914e-20,4.86808787046,299.999969474,1.0,0.00333333,0.00333333,828.964163367,0.00333333,1.0
,242.636257076,-6.23131,36.38,0.7,500,2,100,1.0,-8.62775492498,-10.0465,-8.62775492498,500.0,1.0,29.8768,5.4346e-20,-8.62775492498,400.0,1.0,0.0025,0.0025,242.636257076,0.0025,1.0
2.67603e+09,1395.41859799,74.4724,48.18,0.7,500,1,100,8104.69,6.11624872058,70.91,6.11624872058,458.78331913,337662.0,0.0451075,0.000162959,6.11624872058,12.0023967524,1.08984,0.002,0.083325,1395.41859799,1.09465e-08,0.0443591
,597.319541234,-14.8561,50.0,0.7,500,2,100,1.0,-14.8561211956,-19.7316,-14.8561211956,500.0,1.0,24.3176,3.50449e-18,-14.8561211956,100.0,1.0,0.01,0.01,597.319541234,0.01,1.0
,467.3985742,-8.19606,45.34,0.7,500,2,100,1.0,-1.53600689914,-11.6436,-1.53600689914,500.0,1.0,23.9038,2.1793e-19,-1.53600689914,200.000000102,1.0,0.005,0.005,467.3985742,0.005,1.0
,869.882826718,-1.03388,47.08,0.7,500,2,100,1.0,13.2904930839,-4.2072,13.2904930839,500.0,1.0,27.7594,5.43914e-20,13.2904930839,299.999969474,1.0,0.00333333,0.00333333,869.882826718,0.00333333,1.0
,717.924118462,-2.30599,38.82,0.7,500,2,100,1.0,-6.12232250773,-5.05417,-6.12232250773,500.0,1.0,27.5768,5.4346e-20,-6.12232250773,400.0,1.0,0.0025,0.0025,717.924118462,0.0025,1.0
1.76801e+09,1752.30469563,83.9464,52.02,0.7,500,1,100,6001.7,-22.6866136464,81.0652,-22.6866136464,461.102390182,300041.0,0.0849494,0.000196334,-22.6866136464,10.0029116585,1.08436,0.002,0.0999854,1752.30469563,6.16701e-08,0.185063
,126.228373521,-0.24077,33.66,0.7,500,2,100,1.0,-0.240770437236,-1.94845,-0.240770437236,500.0,1.0,11.1788,3.50449e-18,-0.240770437236,100.0,1.0,0.01,0.01,126.228373521,0.01,1.0
,1033.24940503,5.65,49.22,0.7,500,2,100,1.0,11.5407609057,1.98603,11.5407609057,500.0,1.0,24.6707,2.1793e-19,11.5407609057,200.000000102,1.0,0.005,0.005,1033.24940503,0.005,1.0
,118.979247614,3.97254,92.48,0.7,500,2,100,1.0,0.61764213162,0.98093,0.61764213162,500.0,1.0,21.2286,5.43914e-20,0.61764213162,299.999969474,1.0,0.00333333,0.00333333,118.979247614,0.00333333,1.0
,1932.70146104,3.29099,47.56,0.7,500,2,100,1.0,1.24632581467,0.598765,1.24632581467,500.0,1.0,28.5959,5.4346e-20,1.24632581467,400.0,1.0,0.0025,0.0025,1932.70146104,0.0025,1.0
6.36586e+09,3924.71564266,118.525,104.6,0.7,500,1,100,12499.8,-5.71602427372,114.889,-5.71602427372,455.36433835,520791.0,0.0434742,0.000162971,-5.71602427372,12.0015286597,1.09802,0.002,0.083328,3924.71564266,2.13722e-08,0.133574
,58.837193004,-9.84468,27.64,0.7,500,2,100,1.0,-9.84467966449,-11.41,-9.84467966449,500.0,1.0,7.63209,3.50449e-18,-9.84467966449,100.0,1.0,0.01,0.01,58.837193004,0.01,1.0
,330.685549082,-4.41976,47.6,0.7,500,2,100,1.0,1.00515642549,-6.55104,1.00515642549,500.0,1.0,14.9078,2.1793e-19,1.00515642549,200.000000102,1.0,0.005,0.005,330.685549082,0.005,1.0
,1278.24956783,-4.44822,34.26,0.7,500,2,100,1.0,-4.50514913528,-8.33579,-4.50514913528,500.0,1.0,23.8744,5.43914e-20,-4.50514913528,299.999969474,1.0,0.00333333,0.00333333,1278.24956783,0.00333333,1.0
,565.537698612,-1.65855,37.24,0.7,500,2,100,1.0,6.71048640996,-5.02527,6.71048640996,500.0,1.0,24.3065,5.4346e-20,6.71048640996,400.0,1.0,0.0025,0.0025,565.537698612,0.0025,1.0
6.88864e+07,265.132655435,53.5291,36.66,0.7,500,1,100,1185.36,11.1025067527,50.4079,11.1025067527,465.398457173,59225.7,0.229694,0.000196108,11.1025067527,10.0142132607,1.07435,0.002,0.099929,265.132655435,1.04e-07,0.0616384
,181.180537209,3.57632,33.76,0.7,500,2,100,1.0,3.57632185079,1.56365,3.57632185079,500.0,1.0,13.3929,3.50449e-18,3.57632185079,100.0,1.0,0.01,0.01,181.180537209,0.01,1.0
,3618.85513749,-14.2898,61.16,0.7,500,2,100,1.0,-32.1559638153,-22.9921,-32.1559638153,500.0,1.0,46.9065,2.1793e-19,-32.1559638153,200.000000102,1.0,0.005,0.005,3618.85513749,0.005,1.0
,8955.39375525,0.719342,135.78,0.7,500,2,100,1.0,30.7376652328,-9.99213,30.7376652328,500.0,1.0,69.8043,5.43914e-20,30.7376652328,299.999969474,1.0,0.00333333,0.00333333,8955.39375525,0.00333333,1.0
,1774.51091519,1.83459,41.72,0.7,500,2,100,1.0,5.18033209128,-7.44182,5.18033209128,500.0,1.0,64.011,5.4346e-20,5.18033209128,400.0,1.0,0.0025,0.0025,1774.51091519,0.0025,1.0
1.11443e+09,253.645246593,283.357,33.7,0.7,500,1,100,5230.44,0.434969010938,274.729,0.434969010938,462.396464434,217902.0,0.276904,0.000162943,0.434969010938,12.0035696916,1.08132,0.002,0.0833209,253.645246593,1.54436e-07,0.403884
,359.319002145,-0.696938,40.7,0.7,500,2,100,1.0,-0.696937762938,-3.45458,-0.696937762938,500.0,1.0,18.8607,3.50449e-18,-0.696937762938,100.0,1.0,0.01,0.01,359.319002145,0.01,1.0
