VarJ,MinVanillaIw,eRenyi2,IterType,AvgDiscRet,VarRet,ESSRenyi,MinNormIw,Bound,AvgRet,J,AvgEpLen,ESSClassic,VarVanillaIw,BatchSize,AvgNormIw,MaxVanillaIw,EpsThisIter,VarDiscRet,MaxNormIw,VanillaAvgRet,VarNormIw,AvgVanillaIw
81.010796,0.21557131,1.0380331,1,4972.479804521007,113001.26286352165,192.67207822819765,0.001085828,4689.0728,4972.479804521007,4992.2363,497.265,191.84970009353822,0.04207178,200,0.005,1.3160498,100,113001.26286352165,0.0066289133,4972.479804521007,1.0674091e-06,0.9926588
0.099039875,1.0,1.0,2,4999.934019366212,0.009913443103290868,200.0,0.01,4579.123,4999.934019366212,4999.9336,500.0,100.0,,200,0.009999998,1.0,100,0.009913443103290868,0.01,4999.934019366212,3.5044917e-18,1.0
85.973976,0.3501683,1.0256306,1,4982.627486486101,59891.75169006202,195.00198346903795,0.0017550961,4692.515,4982.627486486101,4993.8623,498.275,195.0003193808058,0.025643406,200,0.005,1.229232,100,59891.75169006202,0.006161095,4982.627486486101,6.4420465e-07,0.9975758
112.667984,1.0,1.0,2,4988.609658588137,12822.299807153322,200.0,0.01,4567.799,4988.609658588137,4988.6094,498.88,100.0,,200,0.009999998,1.0,100,12822.299807153322,0.01,4988.609658588137,3.5044917e-18,1.0
52.145706,0.6355152,1.0055662,1,4994.26828095418,6411.128238618157,198.892914431862,0.0032007163,4697.8604,4994.26828095418,4996.245,499.44,198.30901177356648,0.008446524,200,0.005,1.1125256,100,6411.128238618157,0.005603137,4994.26828095418,2.1424981e-07,0.9927703
0.05926819,1.0,1.0,2,4999.935823389358,0.003549350742365436,200.0,0.01,4579.1255,4999.935823389358,4999.936,500.0,100.0,,200,0.009999998,1.0,100,0.003549350742365436,0.01,4999.935823389358,3.5044917e-18,1.0
0.059369627,1.0,1.0,1,4999.942709270626,0.0035423537822731922,200.0,0.005,4702.3843,4999.942709270626,4999.9424,500.0,200.00000010221265,,200,0.0049999994,1.0,100,0.0035423537822731922,0.005,4999.942709270626,2.179301e-19,1.0
0.05841356,1.0,1.0,2,4999.948743064043,0.0034470527583810415,200.0,0.01,4579.138,4999.948743064043,4999.9487,500.0,100.0,,200,0.009999998,1.0,100,0.0034470527583810415,0.01,4999.948743064043,3.5044917e-18,1.0
0.0568323,0.9938215,1.0000029,1,4999.949230166426,0.0032540340134418126,199.99942779704725,0.0049686073,4702.3916,4999.949230166426,4999.95,500.0,199.99938726651183,3.2142618e-06,200,0.005,1.0047203,100,0.0032540340134418126,0.005023096,4999.949230166426,8.03403e-11,1.0001006
56.711315,1.0,1.0,2,4994.248568316833,3248.659068062779,200.0,0.01,4573.4375,4994.248568316833,4994.248,499.44,100.0,,200,0.009999998,1.0,100,3248.659068062779,0.01,4994.248568316833,3.5044917e-18,1.0
40.2021,1.0,1.0,,4997.098207008437,1624.3302057776987,300.0,0.005,4699.5405,4997.098207008437,4997.0986,499.72,200.00000010221265,,300,0.0049999994,1.0,100,1624.3302057776987,0.005,4997.098207008437,2.179301e-19,1.0
23.710966,0.72162795,1.0019121,1,4998.042539031388,1082.8748031234873,299.4274596627961,0.0024035657,4755.3857,4998.042539031388,4998.573,499.81333333333333,299.41124944701653,0.0019759403,300,0.0033333334,1.0630292,100,1082.8748031234873,0.0035406894,4998.042539031388,2.1920933e-08,1.0007743
