renyi2,VarNormIw,VarRet,ESSRenyi,AvgRet,AvgDiscRet,VarDiscRet,MaxVanillaIw,AvgNormIw,J,IterType,delta,VarJ,VarVanillaIw,Bound,AvgEpLen,SamplesThisIter,ESSClassic,AvgVanillaIw,MinNormIw,MaxNormIw,BatchSize,MinVanillaIw,EpsThisIter,VanillaAvgRet
nan,1.04095e-06,241373.228623,nan,794.493598996,794.493598996,241373.228623,7.5458e+06,9.57854e-06,439695.0,1,0.7,29009.2,1.6569e+09,2137.4,86.2068965517,50000,1.33875928869,382.149,,0.189135,100,,580,794.493598996
nan,4.91162e-06,225510.690329,nan,878.470103539,878.470103539,225510.690329,3.19594e+09,1.06022e-05,450938.0,1,0.7,34168.4,2.16689e+14,2031.54,95.4198473282,50000,1.99899129945,70421.1,,0.481163,100,,524,878.470103539
nan,2.28852e-06,305348.468363,nan,913.401539809,913.401539809,305348.468363,1.58119e+08,1.10229e-05,528397.0,1,0.7,31066.3,6.7306e+11,2433.68,99.2063492063,50000,1.64062222577,5977.88,,0.291565,100,,504,913.401539809
nan,4.03161e-06,285512.406626,nan,939.446874161,939.446874161,285512.406626,1.67454e+07,1.13379e-05,431692.0,1,0.7,26004.2,6.38304e+09,2093.98,102.040816327,50000,1.99529559066,451.135,,0.420845,100,,490,939.446874161
nan,3.84979e-06,254128.226716,nan,904.417176987,904.417176987,254128.226716,2.02451e+07,1.09361e-05,441744.0,1,0.7,33318.7,9.01779e+09,2047.41,98.4251968504,50000,1.98880084891,529.292,,0.418301,100,,508,904.417176987
nan,2.07693e-06,210247.008355,nan,796.639595492,796.639595492,210247.008355,1.87195e+06,9.61169e-06,373657.0,1,0.7,32592.1,6.98781e+07,1747.75,86.5051903114,50000,1.98703655067,55.7518,,0.322727,100,,578,796.639595492
nan,5.26086e-06,253281.794262,nan,871.45328074,871.45328074,253281.794262,8.55888e+24,1.05219e-05,528230.0,1,0.7,29675.0,inf,2210.17,94.696969697,50000,2.00000010275,1.80112e+20,,0.499999,100,,528,871.45328074
nan,3.66052e-07,351646.107608,nan,995.369315541,995.369315541,351646.107608,137131.0,1.2025e-05,464722.0,1,0.7,28281.3,1.43073e+06,2198.04,108.225108225,50000,1.19412475417,23.7735,,0.0693631,100,,462,995.369315541
nan,5.98652e-06,288490.353038,nan,993.284131645,993.284131645,288490.353038,2.82303e+25,1.19732e-05,531006.0,1,0.7,31367.5,inf,2128.68,107.75862069,50000,2.00000020885,6.76014e+20,,0.5,100,,464,993.284131645
nan,5.88017e-06,442687.344177,nan,986.726673108,986.726673108,442687.344177,8.57355e+09,1.19218e-05,639923.0,1,0.7,34185.1,1.75264e+15,3031.42,107.296137339,50000,1.99997852937,205823.0,,0.496603,100,,466,986.726673108
nan,2.15254e-06,335810.405187,nan,1030.84262854,1030.84262854,335810.405187,3.10128e+06,1.24564e-05,485734.0,1,0.7,33189.5,2.50336e+08,2317.25,112.107623318,50000,1.96700698403,134.332,,0.287578,100,,446,1030.84262854
nan,1.29403e-06,373214.590245,nan,1153.38046122,1153.38046122,373214.590245,2.4433e+07,1.39587e-05,nan,1,0.7,nan,3.03836e+10,nan,125.628140704,50000,1.11691711591,2138.91,,0.159452,100,,398,1153.38046122
nan,5.70009e-06,463413.659767,nan,1209.59429305,1209.59429305,463413.659767,1.14883e+09,1.46199e-05,638732.0,1,0.7,40405.1,3.90228e+13,2804.02,131.578947368,50000,1.97781681488,38252.7,,0.439073,100,,380,1209.59429305
nan,1.2668e-06,415186.549084,nan,1164.11179204,1164.11179204,415186.549084,823013.0,1.40292e-05,521697.0,1,0.7,32186.3,2.05622e+07,2485.28,126.262626263,50000,2.03562459655,56.5215,,0.20428,100,,396,1164.11179204
nan,8.59035e-07,524757.918016,nan,1278.12371993,1278.12371993,524757.918016,2.68935e+06,1.54321e-05,649526.0,1,0.7,41791.6,3.06118e+08,2945.41,138.888888889,50000,1.59384021222,291.316,,0.142465,100,,360,1278.12371993
nan,2.84946e-06,444991.347064,nan,1225.3914975,1225.3914975,444991.347064,7.13827e+09,1.47754e-05,656763.0,1,0.7,43122.1,2.03887e+15,2676.98,132.978723404,50000,1.47696118577,395233.0,,0.266857,100,,376,1225.3914975
nan,7.30983e-06,365734.375533,nan,1210.7914577,1210.7914577,365734.375533,6.45835e+27,1.46199e-05,621440.0,1,0.7,38136.9,inf,2499.03,131.578947368,50000,1.99999988795,1.88841e+23,,0.5,100,,380,1210.7914577
nan,6.4839e-06,430766.712017,nan,1198.129328,1198.129328,430766.712017,2.23286e+07,1.44676e-05,509657.0,1,0.7,36162.8,1.44305e+10,2433.1,130.208333333,50000,1.99986270058,682.525,,0.473303,100,,384,1198.129328
nan,4.53398e-06,440760.280381,nan,1343.94466435,1343.94466435,440760.280381,1.3539e+07,1.62443e-05,581499.0,1,0.7,31921.6,6.05493e+09,2726.86,146.198830409,50000,1.97030949045,593.63,,0.370485,100,,342,1343.94466435
nan,2.87063e-06,480460.292881,nan,1306.86044002,1306.86044002,480460.292881,3.92308e+06,1.57828e-05,595381.0,1,0.7,41274.7,5.06126e+08,2593.33,142.045454545,50000,1.92061341173,209.568,,0.295452,100,,352,1306.86044002
nan,2.1735e-06,480073.678699,nan,1293.5467077,1293.5467077,480073.678699,1.29396e+07,1.56055e-05,654381.0,1,0.7,41543.4,5.80176e+09,2999.46,140.449438202,50000,1.82140392638,806.265,,0.25045,100,,356,1293.5467077
nan,8.08515e-06,511210.974014,nan,1360.49372422,1360.49372422,511210.974014,1.63136e+09,1.64366e-05,609359.0,1,0.7,40038.1,8.74872e+13,2823.88,147.928994083,50000,1.9999513602,54067.8,,0.495932,100,,338,1360.49372422
nan,8.74247e-07,709387.616679,nan,1429.21403864,1429.21403864,709387.616679,2.02709e+06,1.72533e-05,673345.0,1,0.7,37952.5,1.93143e+08,3368.2,155.279503106,50000,1.93601328619,256.445,,0.13638,100,,322,1429.21403864
nan,8.89281e-06,546032.690079,nan,1473.00796238,1473.00796238,546032.690079,2.3716e+10,1.78063e-05,674975.0,1,0.7,44655.7,2.00299e+16,2929.63,160.256410256,50000,1.99999984391,845069.0,,0.499715,100,,312,1473.00796238
nan,1.53299e-07,443422.063904,nan,1490.81558735,1490.81558735,443422.063904,11863.2,1.80375e-05,505206.0,1,0.7,32465.4,20074.9,2437.64,162.337662338,50000,0.695936240211,6.52731,,0.0327826,100,,308,1490.81558735
nan,1.4375e-06,544619.094309,nan,1562.04469172,1562.04469172,544619.094309,212271.0,1.88964e-05,590482.0,1,0.7,37681.8,1.90831e+06,2767.11,170.068027211,50000,1.79113830241,21.7721,,0.184234,100,,294,1562.04469172
nan,1.95043e-06,524314.657683,nan,1451.50726541,1451.50726541,524314.657683,1.58924e+07,1.75809e-05,650791.0,1,0.7,37381.9,1.14685e+10,2927.39,158.227848101,50000,1.55030846586,1348.12,,0.207253,100,,316,1451.50726541
nan,6.92432e-07,625964.105658,nan,1532.30823011,1532.30823011,625964.105658,712835.0,1.85185e-05,649288.0,1,0.7,38038.7,3.65614e+07,3205.35,166.666666667,50000,1.58159154379,134.564,,0.0980993,100,,300,1532.30823011
nan,2.2779e-06,681594.279842,nan,1628.93255567,1628.93255567,681594.279842,2.64192e+06,1.97006e-05,707345.0,1,0.7,30877.8,5.65062e+08,3407.85,177.304964539,50000,3.96601939078,310.284,,0.167741,100,,282,1628.93255567
nan,1.52796e-06,551218.780639,nan,1542.00243742,1542.00243742,551218.780639,281258.0,1.86428e-05,575866.0,1,0.7,36960.5,3.06857e+06,2768.99,167.785234899,50000,1.96235554523,26.4194,,0.198469,100,,298,1542.00243742
nan,5.1384e-07,648939.882044,nan,1531.7709076,1531.7709076,648939.882044,243858.0,1.85185e-05,627160.0,1,0.7,40877.5,4.30774e+06,3034.88,166.666666667,50000,1.39590783267,53.6188,,0.0842222,100,,300,1531.7709076
nan,1.28826e-06,605620.702663,nan,1562.8862475,1562.8862475,605620.702663,2.20015e+06,1.88964e-05,685259.0,1,0.7,35121.9,2.18435e+08,3388.9,170.068027211,50000,1.87102191317,246.059,,0.168963,100,,294,1562.8862475
nan,2.03839e-07,762052.1073,nan,1596.2034645,1596.2034645,762052.1073,89286.4,1.92901e-05,701623.0,1,0.7,34259.8,1.99667e+06,3404.61,173.611111111,50000,1.03814423945,60.3732,,0.0285283,100,,288,1596.2034645
nan,3.18105e-06,873222.362868,nan,1619.87948391,1619.87948391,873222.362868,4.36102e+06,1.95618e-05,707252.0,1,0.7,33818.4,8.3838e+08,3723.72,176.056338028,50000,1.99931523565,317.574,,0.268629,100,,284,1619.87948391
nan,5.96148e-06,598243.415012,nan,1466.349576,1466.349576,598243.415012,3.55612e+07,1.76929e-05,655641.0,1,0.7,41295.6,4.5161e+10,3188.87,159.23566879,50000,1.981800692,1539.94,,0.408574,100,,314,1466.349576
nan,1.4169e-06,780463.527856,nan,1667.11310664,1667.11310664,780463.527856,144225.0,2.01288e-05,615570.0,1,0.7,34160.6,1.22022e+06,3127.01,181.15942029,50000,1.38698114384,18.6795,,0.155415,100,,276,1667.11310664
nan,5.88027e-07,794383.694621,nan,1622.03481822,1622.03481822,794383.694621,250230.0,1.95618e-05,654002.0,1,0.7,33773.6,5.13264e+06,3329.83,176.056338028,50000,2.8271263028,57.7938,,0.084697,100,,284,1622.03481822
nan,6.08222e-07,755293.225523,nan,1621.51860198,1621.51860198,755293.225523,240940.0,1.95618e-05,666642.0,1,0.7,40283.4,6.76243e+06,3229.86,176.056338028,50000,2.89046341955,65.2273,,0.0722585,100,,284,1621.51860198
nan,3.52388e-08,1040714.51151,nan,1855.63233357,1855.63233357,1040714.51151,2810.82,2.24014e-05,656810.0,1,0.7,31216.9,3928.95,3526.09,201.612903226,50000,1.00536409475,7.48003,,0.00841792,100,,248,1855.63233357
