AvgEpLen,J,IterType,BatchSize,VarDiscRet,MinVanillaIw,VarVanillaIw,Bound,VarRet,MinNormIw,VarNormIw,MaxVanillaIw,VanillaAvgRet,AvgRet,AvgDiscRet,ESSRenyi,AvgVanillaIw,VarJ,Delta,ESSClassic,eRenyi2,MaxNormIw,EpsThisIter,AvgNormIw
500.0,9.27291,2,500,544.53348052,1.0,,5.63912,544.53348052,0.005,2.1793e-19,1.0,9.53139975946,9.53139975946,9.53139975946,500.0,1.0,19.8839,0.6,200.000000102,1.0,0.005,100,0.005
500.0,9.68975,2,500,114.853509727,1.0,,6.72278,114.853509727,0.00333333,5.43914e-20,1.0,10.5234356181,10.5234356181,10.5234356181,500.0,1.0,17.3732,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,10.2845,2,500,723.874988599,1.0,,7.43469,723.874988599,0.0025,5.4346e-20,1.0,12.0685576106,12.0685576106,12.0685576106,500.0,1.0,20.1641,0.6,400.0,1.0,0.0025,100,0.0025
500.0,68.3376,1,500,364.434406228,0.00279332,32388.2,61.7148,364.434406228,1.8656e-07,0.000144471,1175.71,12.1875587097,12.1875587097,12.1875587097,74.0610885887,29.9456,9.19624,0.6,13.4969277283,6.75118,0.0785232,100,0.002
500.0,-3.45814,2,500,300.452020662,1.0,,-6.34753,300.452020662,0.01,3.50449e-18,1.0,-3.45813517523,-3.45813517523,-3.45813517523,500.0,1.0,17.2467,0.6,100.0,1.0,0.01,100,0.01
500.0,7.62939,2,500,281.488916735,1.0,,4.22111,281.488916735,0.005,2.1793e-19,1.0,18.7169119355,18.7169119355,18.7169119355,500.0,1.0,20.273,0.6,200.000000102,1.0,0.005,100,0.005
500.0,11.2,2,500,621.576228614,1.0,,8.41717,621.576228614,0.00333333,5.43914e-20,1.0,18.3412804673,18.3412804673,18.3412804673,500.0,1.0,22.4636,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,9.98726,2,500,136.071890934,1.0,,7.57725,136.071890934,0.0025,5.4346e-20,1.0,6.3490059836,6.3490059836,6.3490059836,500.0,1.0,20.4096,0.6,400.0,1.0,0.0025,100,0.0025
500.0,58.2889,1,500,433.418986252,0.000151217,18287.6,52.9595,433.418986252,1.38839e-08,0.000154162,883.24,7.88490986439,7.88490986439,7.88490986439,81.7980952761,21.7831,4.51019,0.6,12.6699854262,6.11261,0.081094,100,0.002
500.0,19.6281,2,500,395.647671871,1.0,,15.0116,395.647671871,0.01,3.50449e-18,1.0,19.6280968565,19.6280968565,19.6280968565,500.0,1.0,19.7912,0.6,100.0,1.0,0.01,100,0.01
500.0,19.1855,2,500,390.154350165,1.0,,15.9211,390.154350165,0.005,2.1793e-19,1.0,18.7428096691,18.7428096691,18.7428096691,500.0,1.0,19.7273,0.6,200.000000102,1.0,0.005,100,0.005
500.0,17.2817,2,500,596.226617046,1.0,,14.4648,596.226617046,0.00333333,5.43914e-20,1.0,13.4741049654,13.4741049654,13.4741049654,500.0,1.0,21.5279,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,18.2451,2,500,571.900854188,1.0,,15.6405,571.900854188,0.0025,5.4346e-20,1.0,21.1353124762,21.1353124762,21.1353124762,500.0,1.0,22.1792,0.6,400.0,1.0,0.0025,100,0.0025
500.0,61.7596,1,500,464.186322637,1.06912e-06,6059.81,56.2406,464.186322637,1.78954e-10,0.000169782,556.25,25.4080610707,25.4080610707,25.4080610707,89.0858954327,11.9485,13.7813,0.6,11.5312094374,5.61256,0.0931078,100,0.002
500.0,40.207,2,500,440.169256681,1.0,,34.5862,440.169256681,0.01,3.50449e-18,1.0,40.20698835,40.20698835,40.20698835,500.0,1.0,20.875,0.6,100.0,1.0,0.01,100,0.01
500.0,34.6579,2,500,526.02160602,1.0,,30.6834,526.02160602,0.005,2.1793e-19,1.0,29.1088272569,29.1088272569,29.1088272569,500.0,1.0,22.5623,0.6,200.000000102,1.0,0.005,100,0.005
500.0,29.0801,2,500,328.38011473,1.0,,25.8349,328.38011473,0.00333333,5.43914e-20,1.0,17.9243879032,17.9243879032,17.9243879032,500.0,1.0,22.5823,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,28.012,2,500,711.432600325,1.0,,25.2016,711.432600325,0.0025,5.4346e-20,1.0,24.8078292759,24.8078292759,24.8078292759,500.0,1.0,23.706,0.6,400.0,1.0,0.0025,100,0.0025
500.0,59.9223,1,500,319.940890418,0.0019332,2432.79,54.7364,319.940890418,4.56754e-07,0.000135804,322.559,38.5082426219,38.5082426219,38.5082426219,117.475779169,8.46498,4.81854,0.6,14.3336088106,4.2562,0.0762102,100,0.002
500.0,39.2766,2,500,498.764362298,1.0,,33.8745,498.764362298,0.01,3.50449e-18,1.0,39.2766226192,39.2766226192,39.2766226192,500.0,1.0,22.2211,0.6,100.0,1.0,0.01,100,0.01
500.0,44.2742,2,500,246.965752666,1.0,,39.9296,246.965752666,0.005,2.1793e-19,1.0,49.2718014792,49.2718014792,49.2718014792,500.0,1.0,19.8523,0.6,200.000000102,1.0,0.005,100,0.005
500.0,45.5819,2,500,215.832927218,1.0,,42.0345,215.832927218,0.00333333,5.43914e-20,1.0,48.197221461,48.197221461,48.197221461,500.0,1.0,18.3681,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,45.2336,2,500,696.070649207,1.0,,41.3837,696.070649207,0.0025,5.4346e-20,1.0,44.1886635191,44.1886635191,44.1886635191,500.0,1.0,20.632,0.6,400.0,1.0,0.0025,100,0.0025
500.0,93.223,1,500,544.426587332,0.0534053,24682.9,86.4405,544.426587332,4.22347e-06,0.000154371,1026.16,41.4346410826,41.4346410826,41.4346410826,128.875747834,25.2898,6.95717,0.6,12.653239124,3.87971,0.0811519,100,0.002
500.0,49.9704,2,500,802.281683678,1.0,,43.5572,802.281683678,0.01,3.50449e-18,1.0,49.9704152202,49.9704152202,49.9704152202,500.0,1.0,28.1826,0.6,100.0,1.0,0.01,100,0.01
500.0,53.1444,2,500,126.761897578,1.0,,48.6096,126.761897578,0.005,2.1793e-19,1.0,56.318382248,56.318382248,56.318382248,500.0,1.0,21.6783,0.6,200.000000102,1.0,0.005,100,0.005
500.0,51.497,2,500,333.713239666,1.0,,47.7944,333.713239666,0.00333333,5.43914e-20,1.0,48.2022907094,48.2022907094,48.2022907094,500.0,1.0,20.7088,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,51.8431,2,500,402.427709375,1.0,,48.5774,402.427709375,0.0025,5.4346e-20,1.0,52.8814080484,52.8814080484,52.8814080484,500.0,1.0,20.5329,0.6,400.0,1.0,0.0025,100,0.0025
500.0,77.7483,1,500,420.342442378,0.000687582,7242.64,72.0409,420.342442378,1.07769e-07,0.000177925,607.862,43.3721778657,43.3721778657,43.3721778657,130.957935638,12.7603,5.48768,0.6,11.0150902838,3.81802,0.0952742,100,0.002
500.0,54.4562,2,500,258.620235898,1.0,,47.8974,258.620235898,0.01,3.50449e-18,1.0,54.4561890546,54.4561890546,54.4561890546,500.0,1.0,16.0011,0.6,100.0,1.0,0.01,100,0.01
500.0,57.1925,2,500,421.826613434,1.0,,52.4764,421.826613434,0.005,2.1793e-19,1.0,59.9288913932,59.9288913932,59.9288913932,500.0,1.0,18.5556,0.6,200.000000102,1.0,0.005,100,0.005
500.0,56.1769,2,500,91.6652585429,1.0,,52.3262,91.6652585429,0.00333333,5.43914e-20,1.0,54.1454811559,54.1454811559,54.1454811559,500.0,1.0,16.1818,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,54.6856,2,500,680.835588084,1.0,,50.6413,680.835588084,0.0025,5.4346e-20,1.0,50.2120337629,50.2120337629,50.2120337629,500.0,1.0,19.2761,0.6,400.0,1.0,0.0025,100,0.0025
500.0,74.9977,1,500,369.040033275,0.00676168,1102.69,68.604,369.040033275,2.28609e-06,0.000126047,217.286,46.0320214999,46.0320214999,46.0320214999,160.050259924,5.9155,5.98883,0.6,15.4089462985,3.12402,0.0734634,100,0.002
500.0,56.1329,2,500,412.435369151,1.0,,48.8145,412.435369151,0.01,3.50449e-18,1.0,56.1329395885,56.1329395885,56.1329395885,500.0,1.0,20.2067,0.6,100.0,1.0,0.01,100,0.01
500.0,58.6139,2,500,318.748650434,1.0,,53.4389,318.748650434,0.005,2.1793e-19,1.0,61.0947938804,61.0947938804,61.0947938804,500.0,1.0,19.1857,0.6,200.000000102,1.0,0.005,100,0.005
500.0,56.5307,2,500,182.929514456,1.0,,52.3054,182.929514456,0.00333333,5.43914e-20,1.0,52.364399401,52.364399401,52.364399401,500.0,1.0,17.7325,0.6,299.999969474,1.0,0.00333333,100,0.00333333
500.0,55.8827,2,500,594.151371204,1.0,,52.2235,594.151371204,0.0025,5.4346e-20,1.0,53.9387997368,53.9387997368,53.9387997368,500.0,1.0,19.5995,0.6,400.0,1.0,0.0025,100,0.0025
500.0,85.2229,1,500,115.367604817,0.00152882,2109.85,77.7146,115.367604817,3.9109e-07,0.000138067,326.964,66.5108671325,66.5108671325,66.5108671325,95.0061982861,7.81826,8.47758,0.6,14.1052686237,5.26281,0.0836411,100,0.002
500.0,61.0265,2,500,389.357258775,1.0,,53.5407,389.357258775,0.01,3.50449e-18,1.0,61.0265270542,61.0265270542,61.0265270542,500.0,1.0,19.6332,0.6,100.0,1.0,0.01,100,0.01
500.0,61.0102,2,500,135.134784222,1.0,,55.7169,135.134784222,0.005,2.1793e-19,1.0,60.9938121288,60.9938121288,60.9938121288,500.0,1.0,16.1128,0.6,200.000000102,1.0,0.005,100,0.005
500.0,61.3762,2,500,168.206378834,1.0,,57.0543,168.206378834,0.00333333,5.43914e-20,1.0,62.1082850747,62.1082850747,62.1082850747,500.0,1.0,15.1281,0.6,299.999969474,1.0,0.00333333,100,0.00333333
