Bound,VarJ,AvgEpLen,AvgDiscRet,J,VarNormIw,MinVanillaIw,AvgNormIw,eRenyi2,MaxVanillaIw,ESSRenyi,AvgRet,VarDiscRet,VanillaAvgRet,VarVanillaIw,MinNormIw,BatchSize,MaxNormIw,ESSClassic,VarRet,AvgVanillaIw
-15.402675,53.582153,13.7,-9.663381206337363e-15,3.20971e-05,2.8308146e-15,0.9999771,0.009999999,1.0,1.00001,100.0,-9.663381206337363e-15,2900.043875358961,126.90586025493184,2.8353526e-11,0.009999774,100,0.010000103,100.00001525879547,2900.043875358961,0.9999997
-33.40228,64.290405,14.31,1.0800249583553523e-14,2.9802322e-08,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,1.0800249583553523e-14,4175.006627916271,133.00683210833523,,0.01,100,0.01,100.0,4175.006627916271,1.0
-22.19272,67.75997,14.63,-1.1368683772161604e-14,,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-1.1368683772161604e-14,4637.793010718677,136.20573273481364,,0.01,100,0.01,100.0,4637.793010718677,1.0
-22.712294,59.55367,14.01,1.1368683772161604e-14,-1.1920929e-06,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,1.1368683772161604e-14,3582.4644992046983,130.00624895763391,,0.01,100,0.01,100.0,3582.4644992046983,1.0
-19.929316,66.073235,14.32,-1.7053025658242404e-14,-4.7683716e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-1.7053025658242404e-14,4409.7699426145555,133.10592605811868,,0.01,100,0.01,100.0,4409.7699426145555,1.0
-21.736217,59.312183,14.17,3.694822225952521e-15,-4.7683716e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,3.694822225952521e-15,3553.469530980936,131.6062752473113,,0.01,100,0.01,100.0,3553.469530980936,1.0
-27.478647,68.28421,14.35,5.115907697472721e-15,-1.3113022e-06,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,5.115907697472721e-15,4709.831402210453,133.4065916936395,,0.01,100,0.01,100.0,4709.831402210453,1.0
-16.680952,55.63063,13.18,9.521272659185343e-15,-5.9604645e-08,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,9.521272659185343e-15,3126.0271618315337,121.70617036243493,,0.01,100,0.01,100.0,3126.0271618315337,1.0
-16.302,54.620014,13.63,-1.4921397450962105e-14,,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-1.4921397450962105e-14,3013.4807482866286,126.20675283567074,,0.01,100,0.01,100.0,3013.4807482866286,1.0
-19.355732,58.53163,14.0,-3.083755473198835e-14,1.1920929e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-3.083755473198835e-14,3460.5574060335593,129.9062088519139,,0.01,100,0.01,100.0,3460.5574060335593,1.0
-15.654986,52.538364,13.4,-1.3358203432289883e-14,-3.5762787e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-1.3358203432289883e-14,2788.1612947274557,123.90723810429803,,0.01,100,0.01,100.0,2788.1612947274557,1.0
-13.759979,53.48648,13.65,7.389644451905042e-15,-2.9802322e-08,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,7.389644451905042e-15,2889.7006021827215,126.40768897191751,,0.01,100,0.01,100.0,2889.7006021827215,1.0
-16.419987,58.232296,13.49,-1.5063505998114125e-14,-5.9604645e-08,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-1.5063505998114125e-14,3425.2529769308526,124.80582810017731,,0.01,100,0.01,100.0,3425.2529769308526,1.0
-14.232152,56.86983,14.09,3.140598892059643e-14,-6.556511e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,3.140598892059643e-14,3266.8460591199064,130.80698125572178,,0.01,100,0.01,100.0,3266.8460591199064,1.0
-20.112097,68.03567,15.1,1.5916157281026246e-14,7.1525574e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,1.5916157281026246e-14,4675.60834448045,140.90630970524072,,0.01,100,0.01,100.0,4675.60834448045,1.0
-28.84225,73.64467,13.73,-2.7711166694643907e-14,2.3841858e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-2.7711166694643907e-14,5478.320726890635,127.2055080435516,,0.01,100,0.01,100.0,5478.320726890635,1.0
-13.81847,52.004284,13.58,-1.0800249583553523e-14,-3.5762787e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-1.0800249583553523e-14,2731.763027913146,125.7067281694558,,0.01,100,0.01,100.0,2731.763027913146,1.0
-25.507616,57.35174,13.69,-1.0373923942097462e-14,-5.9604645e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-1.0373923942097462e-14,3322.4468293379764,126.80642834426912,,0.01,100,0.01,100.0,3322.4468293379764,1.0
-22.942347,65.67338,14.74,-6.679101716144941e-15,4.7683716e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-6.679101716144941e-15,4356.558001560326,137.3047407726872,,0.01,100,0.01,100.0,4356.558001560326,1.0
-32.78692,82.434395,15.04,-4.831690603168682e-15,5.9604645e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-4.831690603168682e-15,6864.070029450721,140.3049494583503,,0.01,100,0.01,100.0,6864.070029450721,1.0
-21.476936,67.32526,14.48,-1.9610979506978764e-14,-5.9604645e-07,3.5044917e-18,1.0,0.009999998,1.0,1.0,100.0,-1.9610979506978764e-14,4578.474792101496,134.70687261798554,,0.01,100,0.01,100.0,4578.474792101496,1.0
