J,IterType,MinNormIw,MaxVanillaIw,VarNormIw,Bound,Delta,VarVanillaIw,eRenyi2,VarDiscRet,MinVanillaIw,VarRet,BatchSize,AvgNormIw,AvgDiscRet,ESSClassic,VarJ,ESSRenyi,VanillaAvgRet,MaxNormIw,EpsThisIter,AvgEpLen,AvgRet,AvgVanillaIw
-107.265,1,0.00876914,1.11788,1.21905e-07,-124.811,0.3,0.00121996,1.00117,6.93192913096,0.877243,6.93192913096,100,0.01,-107.284841975,99.8794306376,2.58659,99.8833468974,-107.284841975,0.0111746,100,16.62,-107.284841975,1.00037
-107.122,1,0.00754141,1.24419,6.04839e-07,-125.098,0.3,0.00595427,1.00557,8.34068459898,0.74825,8.34068459898,100,0.01,-107.224711759,99.4047574456,2.83516,99.4458205968,-107.224711759,0.0125398,100,16.34,-107.224711759,0.992189
-106.867,1,0.00748361,1.20809,4.05736e-07,-124.361,0.3,0.00402518,1.00328,5.030906137,0.745388,5.030906137,100,0.01,-106.926359727,99.5999252736,2.17714,99.6730916773,-106.926359727,0.0121291,100,17.7,-106.926359727,0.996027
-106.882,1,0.00805156,1.14003,4.31788e-07,-124.225,0.3,0.00429747,1.0033,6.67950730985,0.80325,6.67950730985,100,0.01,-106.938115899,99.5743315514,2.54406,99.6709007491,-106.938115899,0.0114274,100,17.97,-106.938115899,0.997633
-106.642,1,0.00705365,1.10006,5.51231e-07,-123.845,0.3,0.00549113,1.00331,4.85925234591,0.704009,4.85925234591,100,0.01,-106.699686592,99.4572452757,2.16759,99.67053363,-106.699686592,0.0110218,100,17.61,-106.699686592,0.998077
-107.145,1,0.00837036,1.19376,2.74678e-07,-125.521,0.3,0.00275463,1.00251,7.77049513346,0.838231,7.77049513346,100,0.01,-107.191949173,99.7288193542,2.74401,99.7497162785,-107.191949173,0.0119205,100,16.24,-107.191949173,1.00143
-106.594,1,0.00946105,1.10962,1.13855e-07,-124.021,0.3,0.00114128,1.00106,4.79745344674,0.947239,4.79745344674,100,0.01,-106.612671149,99.8874447937,2.18616,99.8940756556,-106.612671149,0.0110829,100,16.0,-106.612671149,1.0012
-106.641,1,0.00858565,1.03723,1.53598e-07,-124.315,0.3,0.00153692,1.00109,5.46414719591,0.858828,5.46414719591,100,0.01,-106.660393632,99.8481545869,2.28704,99.8908877129,-106.660393632,0.0103692,100,18.09,-106.660393632,1.00031
-106.72,1,0.00938096,1.13045,1.49087e-07,-124.339,0.3,0.001505,1.00135,4.78468707263,0.94253,4.78468707263,100,0.01,-106.743683441,99.8526441978,2.164,99.8648564993,-106.743683441,0.0112513,100,17.29,-106.743683441,1.00473
-106.838,1,0.00850501,1.11399,2.91401e-07,-124.113,0.3,0.00288923,1.00255,5.71812271135,0.846877,5.71812271135,100,0.01,-106.882511829,99.712318687,2.31523,99.7459326574,-106.882511829,0.0111875,100,17.83,-106.882511829,0.995739
-106.702,1,0.00852247,1.08702,1.93713e-07,-124.109,0.3,0.00191934,1.00173,8.41018947047,0.848325,8.41018947047,100,0.01,-106.732624284,99.8085820525,2.90686,99.8271715626,-106.732624284,0.0109205,100,18.37,-106.732624284,0.995399
-106.729,1,0.00848022,1.15923,1.77539e-07,-123.973,0.3,0.00177849,1.00171,4.76526393306,0.848763,4.76526393306,100,0.01,-106.758920425,99.824561439,2.14825,99.829393127,-106.758920425,0.0115822,100,16.38,-106.758920425,1.00087
-107.056,1,0.00809506,1.07207,2.19137e-07,-124.387,0.3,0.00222144,1.00225,6.68014939299,0.815041,6.68014939299,100,0.01,-107.096360685,99.7835649407,2.51379,99.775640023,-107.096360685,0.0106479,100,17.48,-107.096360685,1.00684
-106.995,1,0.00909831,1.09091,8.04491e-08,-124.218,0.3,0.000803085,1.00079,3.53482361616,0.909036,3.53482361616,100,0.01,-107.008414436,99.920403359,1.85844,99.9207648125,-107.008414436,0.0109186,100,16.31,-107.008414436,0.999126
-106.638,1,0.00860243,1.30135,3.24051e-07,-123.989,0.3,0.00321831,1.00215,5.65946438314,0.857292,5.65946438314,100,0.01,-106.675297002,99.6802113118,2.34337,99.7855503676,-106.675297002,0.0130583,100,17.11,-106.675297002,0.996569
-106.615,1,0.00793493,1.08317,2.63294e-07,-124.074,0.3,0.00260686,1.00192,5.22406197229,0.789552,5.22406197229,100,0.01,-106.649333861,99.7399905562,2.26841,99.8081200657,-106.649333861,0.0108858,100,17.3,-106.649333861,0.995034
-106.829,1,0.00906795,1.04643,6.67618e-08,-124.222,0.3,0.000671383,1.00097,6.0496957319,0.909348,6.0496957319,100,0.01,-106.845393146,99.9339498915,2.44651,99.9029387294,-106.845393146,0.0104349,100,18.01,-106.845393146,1.00282
-106.334,1,0.00523161,1.12315,1.13997e-06,-124.027,0.3,0.0107665,1.00444,5.9211184879,0.508424,5.9211184879,100,0.01,-106.416197782,98.8840304422,2.43172,99.557908524,-106.416197782,0.011557,100,19.27,-106.416197782,0.971831
-106.617,1,0.00839973,1.16174,2.6177e-07,-123.923,0.3,0.00261615,1.00188,6.33847299401,0.839725,6.33847299401,100,0.01,-106.650090457,99.7415259747,2.5081,99.8123715773,-106.650090457,0.0116209,100,19.26,-106.650090457,0.999705
-106.842,1,0.00812059,1.32278,4.83249e-07,-123.979,0.3,0.00488797,1.00371,5.02219482638,0.816707,5.02219482638,100,0.01,-106.903366383,99.5238774516,2.28689,99.6299067112,-106.903366383,0.0131525,100,17.12,-106.903366383,1.00572
-106.695,1,0.00694864,1.11647,6.49192e-07,-123.937,0.3,0.00634443,1.00513,11.7777997014,0.686925,11.7777997014,100,0.01,-106.781298559,99.3614246828,3.55497,99.4900496406,-106.781298559,0.0112937,100,18.91,-106.781298559,0.988575
-107.045,1,0.00890724,1.04883,1.25932e-07,-124.3,0.3,0.00124677,1.00138,4.55748118946,0.886274,4.55748118946,100,0.01,-107.068249109,99.8754626296,2.09486,99.8625739153,-107.068249109,0.0105409,100,17.71,-107.068249109,0.995004
-106.799,1,0.00581443,1.11183,5.72927e-07,-124.451,0.3,0.00565645,1.0044,7.27053857573,0.577736,7.27053857573,100,0.01,-106.880986184,99.4360078222,2.56765,99.5619614943,-106.880986184,0.0111896,100,16.27,-106.880986184,0.993625
-106.742,1,0.00921709,1.1603,1.25718e-07,-124.115,0.3,0.00126546,1.00131,4.85338609694,0.924739,4.85338609694,100,0.01,-106.764285767,99.8756928438,2.17928,99.8695884381,-106.764285767,0.011565,100,17.08,-106.764285767,1.00329
-106.215,1,0.00959828,1.02664,1.63864e-08,-123.627,0.3,0.000163236,1.00028,4.37497056649,0.957986,4.37497056649,100,0.01,-106.221668649,99.9837927321,2.07804,99.9721842911,-106.221668649,0.0102861,100,18.17,-106.221668649,0.998081
-106.901,1,0.00859805,1.13015,2.12192e-07,-125.61,0.3,0.00211399,1.00189,7.14342100807,0.858196,7.14342100807,100,0.01,-106.93407587,99.7903770609,2.56273,99.8115046196,-106.93407587,0.0113227,100,16.01,-106.93407587,0.99813
-106.863,1,0.00906093,1.05117,1.04824e-07,-124.185,0.3,0.00103873,1.0011,4.74455717923,0.901973,4.74455717923,100,0.01,-106.881808513,99.8963489572,2.15898,99.8899718118,-106.881808513,0.0105597,100,17.78,-106.881808513,0.995453
-107.492,1,0.00613654,1.08838,5.02641e-07,-125.191,0.3,0.00495723,1.00348,6.62981599594,0.609416,6.62981599594,100,0.01,-107.559473154,99.5048157115,2.51003,99.6530098005,-107.559473154,0.0109595,100,16.75,-107.559473154,0.993095
-106.567,1,0.00847605,1.02971,7.67759e-08,-124.192,0.3,0.000763464,1.00057,5.09019803976,0.845231,5.09019803976,100,0.01,-106.577633553,99.9240400477,2.23497,99.9434314474,-106.577633553,0.010326,100,16.33,-106.577633553,0.997199
-106.348,1,0.00823097,1.22737,4.77441e-07,-123.628,0.3,0.00481697,1.00419,8.39695276589,0.826758,8.39695276589,100,0.01,-106.418951826,99.5295612554,3.11794,99.5830824547,-106.418951826,0.0122194,100,18.97,-106.418951826,1.00445
-100.546,1,0.0022441,22.8005,0.000467682,-122.625,0.3,4.96253,1.61141,13.0607619608,0.231163,13.0607619608,100,0.01,-106.487882489,17.7618214911,47.8204,62.0576401785,-106.487882489,0.221344,100,20.18,-106.487882489,1.03009
-106.325,1,0.00843509,2.35145,2.66874e-06,-124.234,0.3,0.0270299,1.01013,11.8880447645,0.848905,11.8880447645,100,0.01,-106.486500286,97.4259543829,3.7785,98.9967919245,-106.486500286,0.023365,100,19.49,-106.486500286,1.0064
-106.64,1,0.00939799,1.17849,1.05794e-07,-123.83,0.3,0.0010486,1.00114,4.06908052018,0.935643,4.06908052018,100,0.01,-106.659352079,99.8953940665,2.00744,99.8859515614,-106.659352079,0.0118372,100,15.78,-106.659352079,0.995578
-106.029,1,0.00870001,1.26665,9.23059e-07,-123.285,0.3,0.00935438,1.00805,11.1800436765,0.875816,11.1800436765,100,0.01,-106.166898484,99.0944511096,3.67226,99.2016783121,-106.166898484,0.0125824,100,20.58,-106.166898484,1.00668
-106.249,1,0.00610503,1.10945,6.56115e-07,-125.165,0.3,0.00654151,1.00673,20.9883996591,0.609589,20.9883996591,100,0.01,-106.38020475,99.354643768,4.62441,99.3310089099,-106.38020475,0.0111111,100,21.93,-106.38020475,0.998503
-106.801,1,0.00941182,1.09281,7.23572e-08,-124.142,0.3,0.000718351,1.00089,4.99847169817,0.93778,4.99847169817,100,0.01,-106.816816056,99.9284256658,2.22869,99.9113749813,-106.816816056,0.0109677,100,18.21,-106.816816056,0.996385
-106.36,1,0.00682173,1.19745,8.32916e-07,-123.625,0.3,0.00840855,1.00697,5.72869119745,0.685416,5.72869119745,100,0.01,-106.484027122,99.1821508026,2.37697,99.3079608124,-106.484027122,0.0119178,100,20.13,-106.484027122,1.00475
-105.649,1,0.0050153,1.25896,1.30404e-06,-123.422,0.3,0.0127861,1.01067,17.4454232711,0.496616,17.4454232711,100,0.01,-105.848782544,98.7254216881,4.45271,98.9447484116,-105.848782544,0.0127142,100,20.02,-105.848782544,0.990202
-105.905,1,0.00722889,1.46599,1.27469e-06,-123.524,0.3,0.0127171,1.01035,14.3149131789,0.722043,14.3149131789,100,0.01,-106.0824402,98.7537484332,4.17921,98.9760707177,-106.0824402,0.0146771,100,19.63,-106.0824402,0.998829
-106.757,1,0.00853524,1.2002,2.7477e-07,-124.135,0.3,0.00274156,1.00297,6.32196633915,0.852571,6.32196633915,100,0.01,-106.807700067,99.7287308767,2.5793,99.7036681349,-106.807700067,0.0120154,100,18.87,-106.807700067,0.998883
-106.108,1,0.00846148,1.20373,4.77524e-07,-123.386,0.3,0.00479072,1.00407,7.24501222708,0.847518,7.24501222708,100,0.01,-106.176184562,99.5294928642,2.72601,99.5948819445,-106.176184562,0.0120179,100,20.73,-106.176184562,1.00162
-105.896,1,0.00944378,1.04765,4.87126e-08,-123.366,0.3,0.000485624,1.00045,11.0337525634,0.942921,11.0337525634,100,0.01,-105.91182502,99.951816808,3.37084,99.9552569401,-105.91182502,0.0104927,100,20.95,-105.91182502,0.998457
-105.765,1,0.00815753,1.24179,4.11385e-07,-123.093,0.3,0.00418217,1.00458,16.088193867,0.822499,16.088193867,100,0.01,-105.840809493,99.5943587577,4.23732,99.544546694,-105.840809493,0.012316,100,21.56,-105.840809493,1.00827
-106.124,1,0.00810747,1.3809,8.30432e-07,-123.602,0.3,0.00827999,1.00639,10.6602104578,0.809559,10.6602104578,100,0.01,-106.234444219,99.1845735686,3.50391,99.3648949181,-106.234444219,0.0138293,100,20.15,-106.234444219,0.998534
-58.9389,1,7.80785e-06,37.2942,0.000783279,-102.6,0.3,17.3392,6.33762,339.475006655,0.00116168,339.475006655,100,0.01,-104.069223873,11.4227506488,340.758,15.7787968505,-104.069223873,0.25066,100,28.63,-104.069223873,1.48784
-71.9535,1,1.41363e-08,13.7958,0.000414504,-110.841,0.3,4.63782,4.56242,457.636800462,1.4953e-06,457.636800462,100,0.01,-101.074403174,19.594045674,192.094,21.9182022231,-101.074403174,0.130423,100,47.3,-101.074403174,1.05777
-102.069,1,0.00459684,1.53159,3.29837e-06,-139.74,0.3,0.034063,1.03602,479.778290644,0.467144,479.778290644,100,0.01,-103.170647269,96.8378560824,25.0947,96.5233404321,-103.170647269,0.0150714,100,92.39,-103.170647269,1.01623
-101.167,1,0.00333176,1.3081,4.74552e-06,-178.393,0.3,0.0468659,1.03799,2696.77391654,0.331101,2696.77391654,100,0.01,-105.553411664,95.5127715136,26.0222,96.3401327372,-105.553411664,0.013163,100,104.11,-105.553411664,0.993772
-103.81,1,0.0037233,1.32475,3.08307e-06,-161.94,0.3,0.030983,1.03127,1076.63860118,0.373248,1076.63860118,100,0.01,-106.030324436,97.0381699503,23.6331,96.9678810817,-106.030324436,0.013215,100,74.66,-106.030324436,1.00247
-98.9498,1,0.00193205,3.07907,2.12647e-05,-122.681,0.3,0.226533,1.20846,498.701677765,0.199413,498.701677765,100,0.01,-102.076340068,82.6090758555,50.944,82.7498255948,-102.076340068,0.0298321,100,57.06,-102.076340068,1.03213
-100.796,1,0.00482606,1.363,2.319e-06,-123.775,0.3,0.0239531,1.02729,254.272691601,0.490483,254.272691601,100,0.01,-101.426499129,97.7557577832,17.0084,97.3434633751,-101.426499129,0.0134112,100,88.29,-101.426499129,1.01632
30.8088,1,,44.0891,0.00368997,-80.315,0.3,22.4991,18.631,819.289782868,,819.289782868,100,0.01,-99.5575732622,2.66448793147,211.157,5.36740981178,-99.5575732622,0.564625,100,93.58,-99.5575732622,0.780856
33.2821,1,7.1393e-11,39.5921,0.00239831,-40.966,0.3,18.7292,11.3776,3731.61118488,6.30902e-09,3731.61118488,100,0.01,-77.2378055702,4.04150656559,188.411,8.78918015927,-77.2378055702,0.448025,100,160.03,-77.2378055702,0.883703
-61.6501,,1.38649e-10,1.58503e+08,0.00763684,-inf,0.3,2.53432e+14,1.38881e-05,5847.81021803,0.0252575,3731.61118488,200,0.01,-60.9686196547,1.30540336801,184.91,14400812.7208,-77.2378055702,0.87009,100,160.03,-77.2378055702,1.82169e+06
20.4318,1,1.71563e-27,49.3503,0.000400339,-53.1916,0.3,23.2157,16.3574,3143.10623853,4.13145e-25,3143.10623853,200,0.005,-83.8503564622,11.8109235819,234.562,12.2268742259,-83.8503564622,0.204933,100,143.65,-83.8503564622,1.20406
-55.9881,2,0.01,1.0,3.50449e-18,-77.6395,0.3,,1.0,6572.10665604,1.0,6572.10665604,200,0.01,-55.98807188,100.0,80.6622,200.0,-55.98807188,0.01,100,222.8,-55.98807188,1.0
41.5179,1,5.72242e-21,40.5095,0.000546829,-18.1734,0.3,21.4196,15.2013,7253.86032191,1.13255e-18,7253.86032191,200,0.005,-49.2759806081,8.78587485931,129.374,13.1567912354,-49.2759806081,0.204681,100,238.06,-49.2759806081,0.989577
-46.8694,2,0.01,1.0,3.50449e-18,-66.9464,0.3,,1.0,7162.43082802,1.0,7162.43082802,200,0.01,-46.8693894933,100.0,84.2069,200.0,-46.8693894933,0.01,100,235.61,-46.8693894933,1.0
67.1558,,2.79502e-20,8.8296e+17,0.00499728,-inf,0.3,3.89808e+33,0.000594016,7328.90081518,0.0246856,7253.86032191,300,0.005,-37.7337504155,1.00054160446,0.806786,505037.305844,-49.2759806081,0.999729,100,238.06,-49.2759806081,4.41599e+15
31.0597,1,2.55274e-19,42.4346,0.000271145,-27.833,0.3,18.3239,22.1959,6752.30819737,6.63612e-17,6752.30819737,300,0.00333333,-55.8008322568,11.8475312912,203.673,13.5160283193,-55.8008322568,0.163235,100,221.38,-55.8008322568,0.866535
-33.9013,2,0.01,1.0,3.50449e-18,-53.0712,0.3,,1.0,7350.12298851,1.0,7350.12298851,300,0.01,-33.9012685625,100.0,85.3031,300.0,-33.9012685625,0.01,100,256.85,-33.9012685625,1.0
-39.9779,2,0.005,1.0,2.1793e-19,-53.5331,0.3,,1.0,7379.77631011,1.0,7379.77631011,300,0.005,-46.0546030564,200.000000102,85.6051,300.0,-46.0546030564,0.005,100,232.89,-46.0546030564,1.0
53.8108,,1.44983e-18,1.5069e+16,0.00288066,-inf,0.3,7.61052e+29,8.81289e-08,6007.74069298,0.0235656,6752.30819737,400,0.00333333,-62.3682552894,1.15653742072,15.1731,4538804043.95,-55.8008322568,0.927096,100,221.38,-55.8008322568,5.41801e+13
46.422,1,3.57787e-36,93.3372,0.000321445,-15.1306,0.3,44.2094,32.3281,7556.02383855,1.32687e-33,7556.02383855,400,0.0025,-43.3267799968,7.64780740845,180.335,12.3731329546,-43.3267799968,0.251681,100,241.21,-43.3267799968,0.927138
-45.1824,2,0.01,1.0,3.50449e-18,-64.641,0.3,,1.0,7480.65970793,1.0,7480.65970793,400,0.01,-45.1824021178,100.0,86.0573,400.0,-45.1824021178,0.01,100,237.5,-45.1824021178,1.0
-48.3226,2,0.005,1.0,2.1793e-19,-62.4167,0.3,,1.0,6876.6733366,1.0,6876.6733366,400,0.005,-51.4628758578,200.000000102,84.3608,400.0,-51.4628758578,0.005,100,217.2,-51.4628758578,1.0
-52.586,2,0.00333333,1.0,5.43914e-20,-64.0937,0.3,,1.0,6253.07238114,1.0,6253.07238114,400,0.00333333,-61.1127478927,299.999969474,82.7307,400.0,-61.1127478927,0.00333333,100,189.22,-61.1127478927,1.0
-111.9,,1.31999e-35,7.53652e+32,0.00216727,-inf,0.3,inf,0.000195562,7528.00635447,0.0107138,7556.02383855,500,0.0025,-36.4301346483,,13.1775,2556730.75046,-43.3267799968,0.928529,100,241.21,-43.3267799968,2.02916e+30
-12.7705,1,3.4539e-15,28.0273,4.36272e-05,-47.234,0.3,7.96763,9.14664,6103.30814005,1.47603e-12,6103.30814005,500,0.002,-64.9436878984,42.0698968371,280.378,54.6648834573,-64.9436878984,0.0655837,100,209.0,-64.9436878984,0.854704
-56.8354,2,0.01,1.0,3.50449e-18,-76.6779,0.3,,1.0,6546.30279505,1.0,6546.30279505,500,0.01,-56.8354197506,100.0,80.5037,500.0,-56.8354197506,0.01,100,204.07,-56.8354197506,1.0
