Bound,AvgEpLen,VarVanillaIw,SamplesThisIter,EpsThisIter,MaxVanillaIw,AvgDiscRet,VarJ,MinNormIw,AvgNormIw,BatchSize,VanillaAvgRet,MaxNormIw,MinVanillaIw,ESSRenyi,IterType,AvgVanillaIw,VarNormIw,renyi2,VarDiscRet,AvgRet,J,delta,VarRet,ESSClassic
-100.801,299.401197605,278.82,50000,167,469.475,-232.99411595,1411.56,,3.32668e-05,100,-232.99411595,0.00305043,,nan,1,5.11992,1.17712e-08,nan,26096.3534602,-232.99411595,-14422.9,0.6,26096.3534602,3.52379096889
nan,297.619047619,43.9326,50000,168,89.2772,-224.76502365,nan,,3.30688e-05,100,-224.76502365,0.000999233,,nan,1,2.95455,5.50351e-09,nan,24239.5095093,-224.76502365,nan,0.6,24239.5095093,2.49345679998
nan,438.596491228,inf,50000,114,1.46306e+23,-346.02577684,nan,,4.87329e-05,100,-346.02577684,0.0995811,,nan,1,7.15992e+19,4.83045e-06,nan,14687.9165683,-346.02577684,nan,0.6,14687.9165683,9.99992420607
-99.5977,219.298245614,21.6059,50000,228,27.8551,-164.944702115,929.502,,2.43665e-05,100,-164.944702115,0.000271142,,nan,1,2.50323,2.04717e-09,nan,19340.4708173,-164.944702115,-14876.5,0.6,19340.4708173,2.92631159022
-103.311,268.817204301,160.461,50000,186,396.727,-203.264220773,1114.63,,2.98686e-05,100,-203.264220773,0.00253325,,nan,1,4.67766,6.54248e-09,nan,21035.6670988,-203.264220773,-15332.2,0.6,21035.6670988,3.72891991789
-442.16,500.0,0.00427222,50000,100,1.25913,-408.674469599,37.8815,4.32461e-05,5.55556e-05,100,-408.674469599,6.93356e-05,0.785347,3.78592001436e-10,1,1.00889,1.29546e-11,26.2997,7.05542274711,-408.674469599,-73537.9,0.6,7.05542274711,0.611084183449
-443.149,500.0,0.000580894,50000,100,1.19524,-409.624801384,14.7927,5.23278e-05,5.55556e-05,100,-409.624801384,6.6652e-05,0.938369,3.62400613957e-10,1,0.99625,1.8064e-12,26.3434,1.15265512572,-409.624801384,-73729.0,0.6,1.15265512572,0.574789311758
-440.661,500.0,0.0455444,50000,100,4.09035,-408.650762546,374.642,2.11847e-05,5.55556e-05,100,-408.650762546,0.000237535,0.3648,nan,1,0.956666,1.53592e-10,nan,101.746733047,-408.650762546,-73279.8,0.6,101.746733047,0.72338374913
-175.912,446.428571429,inf,50000,112,3.87894e+20,-363.051059938,1893.38,,4.96032e-05,100,-363.051059938,0.0366016,,nan,1,5.25682e+17,1.40288e-06,nan,11068.4061401,-363.051059938,-30391.2,0.6,11068.4061401,4.72877006437
nan,454.545454545,inf,50000,110,9.31614e+19,-367.609322633,nan,,5.0505e-05,100,-367.609322633,0.0971811,,nan,1,4.8416e+16,4.76854e-06,nan,9851.51018501,-367.609322633,nan,0.6,9851.51018501,9.99776000464
-179.335,454.545454545,inf,50000,110,1.45737e+21,-369.976385883,1844.45,,5.0505e-05,100,-369.976385883,0.0832865,,nan,1,8.8375e+17,3.59681e-06,nan,9616.35169482,-369.976385883,-32612.9,0.6,9616.35169482,9.73374470718
-177.417,454.545454545,inf,50000,110,2.68321e+19,-370.367560392,2041.05,,5.05051e-05,100,-370.367560392,0.0553884,,nan,1,2.44664e+16,1.82662e-06,nan,9741.38467514,-370.367560392,-34774.0,0.6,9741.38467514,8.47109909032
-154.331,409.836065574,981196.0,50000,122,18348.8,-330.878513604,1895.11,,4.55373e-05,100,-330.878513604,0.00653812,,nan,1,127.798,1.24579e-07,nan,17108.4911533,-330.878513604,-29617.1,0.6,17108.4911533,5.50181898591
-159.564,406.504065041,353648.0,50000,123,15863.4,-325.791309629,1685.1,,4.51671e-05,100,-325.791309629,0.00938081,,nan,1,76.3799,1.23668e-07,nan,18106.4286216,-325.791309629,-29161.0,0.6,18106.4286216,9.26872481882
nan,271.739130435,177011.0,50000,184,24216.5,-203.863496052,nan,,3.01932e-05,100,-203.863496052,0.0704319,,nan,1,10.3813,1.49732e-06,nan,23064.0896034,-203.863496052,nan,0.6,23064.0896034,10.0046297081
-443.379,500.0,0.00259802,50000,100,1.22264,-409.445748934,30.5004,4.33729e-05,5.55556e-05,100,-409.445748934,6.73058e-05,0.787891,9.811843871e-17,1,1.00919,7.87313e-12,41.4655,4.60976052454,-409.445748934,-73686.2,0.6,4.60976052454,0.595235385028
-246.888,450.45045045,2.63717e+21,50000,111,2.29596e+12,-366.541793092,1516.8,,5.00501e-05,100,-366.541793092,0.0999607,,nan,1,1.14958e+09,4.99882e-06,nan,8179.63574118,-366.541793092,-40871.6,0.6,8179.63574118,9.99999767343
-315.56,490.196078431,3.9015e+11,50000,102,6.62063e+07,-400.660397158,3123.88,,5.44662e-05,100,-400.660397158,0.424536,,nan,1,8493.99,1.60422e-05,nan,2423.80158435,-400.660397158,-46408.3,0.6,2423.80158435,1.89470285988
-109.298,306.748466258,172.182,50000,163,100.462,-243.961418011,1556.81,,3.40832e-05,100,-243.961418011,0.00062659,,nan,1,5.46458,6.69814e-09,nan,26398.8990869,-243.961418011,-19920.8,0.6,26398.8990869,2.59515451863
-130.012,403.225806452,7.80599e+18,50000,124,1.31344e+11,-316.381379952,2037.82,,4.48029e-05,100,-316.381379952,0.0907269,,nan,1,6.48607e+07,3.72457e-06,nan,18988.067276,-316.381379952,-26485.6,0.6,18988.067276,9.89662115854
-106.114,295.857988166,122.29,50000,169,76.3948,-225.256617608,1495.52,,3.28731e-05,100,-225.256617608,0.000523372,,nan,1,4.79837,5.73962e-09,nan,24205.2973118,-225.256617608,-20321.8,0.6,24205.2973118,3.12360303999
-88.0609,226.244343891,17.4094,50000,221,70.1821,-169.259110298,1218.13,,2.51383e-05,100,-169.259110298,0.000762015,,nan,1,2.31525,2.05238e-09,nan,22389.0855269,-169.259110298,-15328.2,0.6,22389.0855269,4.36964858749
-159.208,454.545454545,inf,50000,110,6.09504e+20,-371.302361335,1686.03,,5.05051e-05,100,-371.302361335,0.0991671,,nan,1,3.10416e+17,4.96478e-06,nan,10522.7300392,-371.302361335,-34706.7,0.6,10522.7300392,9.99929393912
-238.94,446.428571429,8.07999e+17,50000,112,4.01003e+10,-361.585464541,1608.45,,4.96032e-05,100,-361.585464541,0.0895589,,nan,1,2.221e+07,4.03026e-06,nan,9227.29315292,-361.585464541,-41400.5,0.6,9227.29315292,12.297772222
-134.806,384.615384615,1624.46,50000,130,327.723,-310.260949445,1740.36,,4.2735e-05,100,-310.260949445,0.00108235,,nan,1,12.9396,1.77188e-08,nan,22235.8074299,-310.260949445,-27870.0,0.6,22235.8074299,1.48906948248
-159.451,438.596491228,inf,50000,114,1.60799e+22,-356.199026424,2088.46,,4.87329e-05,100,-356.199026424,0.09476,,nan,1,8.26955e+18,4.38255e-06,nan,13804.551267,-356.199026424,-34425.0,0.6,13804.551267,9.98002421177
-124.495,349.65034965,1493.92,50000,143,402.691,-276.680027132,1665.5,,3.885e-05,100,-276.680027132,0.00134628,,nan,1,11.6206,1.66976e-08,nan,23128.5342704,-276.680027132,-23629.6,0.6,23128.5342704,2.7251926689
-437.248,500.0,0.0901638,50000,100,2.31392,-405.606197998,230.202,2.46954e-06,5.55556e-05,100,-405.606197998,0.000124376,0.0459437,nan,1,1.03357,2.60502e-10,nan,124.563277537,-405.606197998,-72568.8,0.6,124.563277537,0.775792007523
-167.284,446.428571429,inf,50000,112,2.50951e+21,-363.006695391,1818.55,,4.96032e-05,100,-363.006695391,0.0995791,,nan,1,1.25006e+18,4.91647e-06,nan,11296.7775998,-363.006695391,-34642.9,0.6,11296.7775998,9.99992167101
-166.001,450.45045045,inf,50000,111,1.98146e+22,-367.027640482,2042.03,,5.00501e-05,100,-367.027640482,0.09838,,nan,1,1.00805e+19,4.84242e-06,nan,10831.3833014,-367.027640482,-36037.1,0.6,10831.3833014,9.99890210904
-156.696,442.477876106,inf,50000,113,5.36099e+20,-359.965878328,2349.6,,4.91642e-05,100,-359.965878328,0.0625895,,nan,1,4.21107e+17,2.26089e-06,nan,13134.9229693,-359.965878328,-33985.3,0.6,13134.9229693,8.51001198085
-129.319,403.225806452,1.73206e+07,50000,124,138486.0,-326.65570116,1965.6,,4.48029e-05,100,-326.65570116,0.0205841,,nan,1,301.425,3.82663e-07,nan,19580.2663883,-326.65570116,-28778.1,0.6,19580.2663883,17.792803555
nan,490.196078431,4.57214e+10,50000,102,1.28613e+07,-397.022674523,nan,,5.44662e-05,100,-397.022674523,0.131536,,nan,1,5325.62,4.78227e-06,nan,2502.35581939,-397.022674523,nan,0.6,2502.35581939,0.756996664901
-195.524,438.596491228,inf,50000,114,2.90803e+20,-351.533159714,2013.18,,4.87329e-05,100,-351.533159714,0.0999999,,nan,1,1.41717e+17,4.87115e-06,nan,11461.7744153,-351.533159714,-39769.2,0.6,11461.7744153,10.000000844
nan,347.222222222,4.28604e+09,50000,144,3.33366e+06,-276.949675538,nan,,3.85802e-05,100,-276.949675538,0.0994911,,nan,1,1292.72,3.81751e-06,nan,24328.665164,-276.949675538,nan,0.6,24328.665164,10.0000049723
-115.473,349.65034965,2497.85,50000,143,2166.18,-280.155459524,1921.21,,3.885e-05,100,-280.155459524,0.00843936,,nan,1,9.97185,3.79138e-08,nan,26907.0327556,-280.155459524,-26608.5,0.6,26907.0327556,10.6800339937
-86.2509,264.55026455,200.203,50000,189,487.467,-200.478934673,1660.36,,2.93945e-05,100,-200.478934673,0.00322632,,nan,1,4.44123,8.76995e-09,nan,25927.3065031,-200.478934673,-16946.5,0.6,25927.3065031,3.78405091489
-90.7666,218.340611354,256.503,50000,229,761.249,-160.905794334,1291.49,4.4037e-32,2.42601e-05,100,-160.905794334,0.00823529,4.07066e-27,nan,1,2.24254,3.00191e-08,nan,21279.3944448,-160.905794334,-16967.4,0.6,21279.3944448,20.0388166235
-174.205,450.45045045,inf,50000,111,6.23789e+21,-359.643063994,1920.63,,5.005e-05,100,-359.643063994,0.0916627,,nan,1,3.40604e+18,4.23465e-06,nan,10166.5443208,-359.643063994,-36035.1,0.6,10166.5443208,9.92513981194
-249.971,485.436893204,1.81095e+06,50000,103,151494.0,-382.383810044,3092.15,,5.39374e-05,100,-382.383810044,0.176708,,nan,1,46.2411,2.46394e-06,nan,3867.57382214,-382.383810044,-41725.3,0.6,3867.57382214,0.767809072041
-154.918,413.223140496,9.68758e+24,50000,121,1.16231e+14,-299.488276773,1508.25,,4.59137e-05,100,-299.488276773,0.0571285,,nan,1,9.34135e+10,2.34035e-06,nan,12565.0024229,-299.488276773,-30607.4,0.6,12565.0024229,19.6015801484
-143.757,352.112676056,432.224,50000,142,432.617,-271.075633014,1639.97,,3.91236e-05,100,-271.075633014,0.00241601,,nan,1,7.00558,1.34803e-08,nan,20512.7409668,-271.075633014,-27384.7,0.6,20512.7409668,2.57399966527
-129.771,375.939849624,3.38299e+06,50000,133,89937.5,-282.228755121,1778.39,,4.17711e-05,100,-282.228755121,0.073346,,nan,1,51.2201,2.24994e-06,nan,19027.3218589,-282.228755121,-27784.8,0.6,19027.3218589,9.99813384892
-120.912,375.939849624,1224.14,50000,133,523.851,-296.988941413,1844.03,,4.17711e-05,100,-296.988941413,0.00206687,,nan,1,10.5869,1.90565e-08,nan,22233.4841072,-296.988941413,-28825.5,0.6,22233.4841072,1.33195838866
-110.854,271.739130435,1898.75,50000,184,2491.47,-192.694684701,1318.61,,3.01932e-05,100,-192.694684701,0.0234112,,nan,1,3.21323,1.6765e-07,nan,18064.8741799,-192.694684701,-20263.8,0.6,18064.8741799,10.0008046123
-85.221,176.67844523,2.26508,50000,283,17.1787,-125.377266656,1004.81,5.53306e-32,1.96309e-05,100,-125.377266656,0.00025086,3.789e-27,nan,1,1.34431,4.83021e-10,nan,14030.3160404,-125.377266656,-14988.8,0.6,14030.3160404,4.31780952378
-82.3813,169.491525424,1.96235,50000,295,14.3418,-120.297676095,954.143,,1.88324e-05,100,-120.297676095,0.000204179,,nan,1,1.32281,3.97734e-10,nan,12538.4657381,-120.297676095,-14656.4,0.6,12538.4657381,5.09490269859
-73.8021,122.549019608,1.04681,50000,408,9.60537,-86.5940807675,683.051,3.54529e-43,1.36166e-05,100,-86.5940807675,0.000117393,2.90365e-38,nan,1,1.11414,1.56359e-10,nan,7914.96259619,-86.5940807675,-11585.4,0.6,7914.96259619,4.88063465602
-73.3713,125.0,1.33577,50000,400,11.4994,-85.4701735992,698.086,9.8216e-28,1.38889e-05,100,-85.4701735992,0.00014073,8.02552e-23,nan,1,1.1349,2.00055e-10,nan,6272.62346371,-85.4701735992,-11499.5,0.6,6272.62346371,4.05235006288
-71.4526,99.0099009901,0.347984,50000,505,4.58099,-67.5609859761,281.731,3.21851e-14,1.10011e-05,100,-67.5609859761,5.08833e-05,2.8976e-09,nan,1,0.990421,4.29331e-11,nan,1812.47084499,-67.5609859761,-10887.8,0.6,1812.47084499,3.86337948313
-72.6629,112.107623318,0.596192,50000,446,12.7948,-76.7307891527,492.313,5.28831e-20,1.24564e-05,100,-76.7307891527,0.000152036,4.45046e-15,nan,1,1.04829,8.41801e-11,nan,3928.16748269,-76.7307891527,-11348.2,0.6,3928.16748269,4.32575181309
-68.2669,88.4955752212,0.217069,50000,565,5.31001,-60.4124462891,150.447,9.50554e-09,9.83284e-06,100,-60.4124462891,5.1703e-05,0.00097624,,1,1.00985,2.05797e-11,inf,212.430845161,-60.4124462891,-10397.0,0.6,212.430845161,4.46217861886
-68.8376,102.459016393,0.479777,50000,488,6.89801,-70.2809119492,435.98,4.6627e-17,1.13843e-05,100,-70.2809119492,7.6623e-05,4.19761e-12,nan,1,1.02488,5.91985e-11,nan,3483.29852633,-70.2809119492,-10644.6,0.6,3483.29852633,4.12382097531
-64.7715,85.6164383562,0.438726,50000,584,10.4787,-58.2591009811,255.782,1.33475e-07,9.51294e-06,100,-58.2591009811,9.3805e-05,0.01491,,1,1.06266,3.51587e-11,inf,229.697180289,-58.2591009811,-9884.08,0.6,229.697180289,4.63587919833
-58.3948,88.3392226148,4.09542,50000,566,67.8521,-59.9369943532,330.151,1.44539e-16,9.81547e-06,100,-59.9369943532,0.000505756,1.93913e-11,nan,1,1.31684,2.27537e-10,nan,116.613054313,-59.9369943532,-9736.6,0.6,116.613054313,3.75719311447
-56.215,84.1750841751,17.9576,50000,594,209.577,-57.3208564613,432.192,2.20878e-12,9.35279e-06,100,-57.3208564613,0.00128588,3.59994e-07,nan,1,1.52435,6.76026e-10,nan,131.673040661,-57.3208564613,-8993.06,0.6,131.673040661,4.86807023976
-67.7662,97.65625,0.689529,50000,512,8.81764,-66.0539953619,383.393,,1.08507e-05,100,-66.0539953619,8.78488e-05,,nan,1,1.08912,6.84415e-11,nan,1801.52516646,-66.0539953619,-10390.0,0.6,1801.52516646,9.48034179474
-25.641,83.3333333333,3.29114e+27,50000,600,5.66338e+15,-56.689297679,408.74,,9.25926e-06,100,-56.689297679,0.0670635,,nan,1,7.81926e+11,4.61497e-07,nan,99.0624988163,-56.689297679,-5789.62,0.6,99.0624988163,9.02201599084
-59.3078,91.5750915751,4.18084,50000,546,20.146,-62.0161706325,186.114,4.62994e-24,1.0175e-05,100,-62.0161706325,0.000145234,6.42238e-19,nan,1,1.41142,2.17281e-10,nan,332.564106202,-62.0161706325,-10020.0,0.6,332.564106202,5.15801250965
-65.9673,85.7632933105,0.226879,50000,583,4.61493,-58.1086337675,131.303,9.04232e-08,9.52926e-06,100,-58.1086337675,4.21119e-05,0.00990923,,1,1.04429,1.88918e-11,inf,152.372431493,-58.1086337675,-10103.9,0.6,152.372431493,4.68856723737
-65.3781,89.1265597148,0.92763,50000,561,13.8721,-60.3005457584,447.344,3.78441e-08,9.90295e-06,100,-60.3005457584,0.000123767,0.00424167,nan,1,1.10995,7.38412e-11,nan,306.085733669,-60.3005457584,-9887.95,0.6,306.085733669,4.55184714747
-67.0586,85.4700854701,0.300901,50000,585,4.93037,-58.2152419607,178.944,1.65714e-07,9.49668e-06,100,-58.2152419607,4.4714e-05,0.0182724,,1,1.04715,2.47487e-11,inf,249.37558435,-58.2152419607,-9940.88,0.6,249.37558435,5.22276351882
-56.4654,86.3557858377,4.17601,50000,579,31.6303,-58.8395520082,135.875,2.87556e-22,9.59509e-06,100,-58.8395520082,0.000214397,4.24235e-17,nan,1,1.41558,1.91864e-10,nan,99.0010361769,-58.8395520082,-9802.43,0.6,99.0010361769,6.64856049807
-28.8768,86.3557858377,1.98994e+26,50000,579,1.3873e+15,-58.439538076,412.9,,9.59509e-06,100,-58.439538076,0.0774787,,nan,1,1.71805e+11,6.20675e-07,nan,114.655759135,-58.439538076,-6045.27,0.6,114.655759135,9.27873688736
-58.6027,89.4454382826,3.02768,50000,559,27.9182,-60.8052951195,159.477,8.40014e-21,9.93838e-06,100,-60.8052951195,0.000209359,1.12016e-15,nan,1,1.32529,1.70263e-10,nan,176.13262945,-60.8052951195,-10051.1,0.6,176.13262945,11.59949864
-47.5132,88.0281690141,inf,50000,568,1.83902e+24,-59.5876266748,269.052,,9.78091e-06,100,-59.5876266748,0.0722457,,nan,1,2.48973e+20,5.73747e-07,nan,190.849846833,-59.5876266748,-6796.27,0.6,190.849846833,8.89639633306
-62.1764,88.6524822695,1.12883,50000,564,9.32569,-60.1583952844,106.265,1.16485e-14,9.85027e-06,100,-60.1583952844,7.69964e-05,1.41085e-09,nan,1,1.19305,7.69496e-11,nan,96.6062757604,-60.1583952844,-10236.8,0.6,96.6062757604,5.10502013477
-59.3419,88.3392226148,3.50405,50000,566,61.3929,-60.1633278284,365.75,5.65079e-12,9.81547e-06,100,-60.1633278284,0.000473414,7.328e-07,nan,1,1.27288,2.08361e-10,nan,78.8860950545,-60.1633278284,-10000.4,0.6,78.8860950545,4.82589725036
-65.5087,93.6329588015,0.891193,50000,534,12.2891,-64.4480021233,472.504,3.44874e-16,1.04037e-05,100,-64.4480021233,0.000115495,3.66958e-11,nan,1,1.10699,7.87154e-11,nan,1944.34504029,-64.4480021233,-10070.6,0.6,1944.34504029,4.28371026116
-71.0478,89.1265597148,0.148404,50000,561,6.25476,-60.4003343423,207.708,1.11704e-07,9.90295e-06,100,-60.4003343423,6.09156e-05,0.0114697,nan,1,1.01683,1.40761e-11,nan,353.561580642,-60.4003343423,-10435.4,0.6,353.561580642,5.00987807769
-68.942,107.296137339,1.32561,50000,466,13.1249,-72.6600185517,492.299,,1.19218e-05,100,-72.6600185517,0.000138895,,nan,1,1.12655,1.48455e-10,nan,3266.71133005,-72.6600185517,-10801.3,0.6,3266.71133005,63.7337257163
-71.1949,96.3391136802,0.266523,50000,519,5.82386,-65.4030586015,248.266,1.16162e-09,1.07043e-05,100,-65.4030586015,6.13485e-05,0.000110274,nan,1,1.01617,2.95747e-11,nan,731.708053351,-65.4030586015,-10917.2,0.6,731.708053351,4.43304826191
-71.8994,92.0810313076,0.212629,50000,543,4.39853,-62.5582809655,239.202,4.26755e-08,1.02312e-05,100,-62.5582809655,4.41363e-05,0.00425294,nan,1,1.01962,2.14092e-11,nan,547.94987625,-62.5582809655,-10599.9,0.6,547.94987625,3.96515349887
-58.8804,88.1834215168,2.26256,50000,567,23.0942,-59.8938753805,401.526,4.06315e-17,9.79816e-06,100,-59.8938753805,0.000194672,4.82016e-12,nan,1,1.16237,1.60769e-10,nan,585.517400559,-59.8938753805,-9662.46,0.6,585.517400559,4.20310289323
-57.6987,88.0281690141,2.3954,50000,568,46.2274,-60.0180749727,284.888,,9.78091e-06,100,-60.0180749727,0.000355824,,nan,1,1.2707,1.41923e-10,nan,254.240882916,-60.0180749727,-9803.84,0.6,254.240882916,7.37233893433
-66.9332,92.936802974,0.594153,50000,538,7.22836,-64.0924396853,348.735,2.87235e-17,1.03263e-05,100,-64.0924396853,6.83855e-05,3.03608e-12,nan,1,1.09149,5.31798e-11,nan,1966.37528135,-64.0924396853,-10088.8,0.6,1966.37528135,6.64905269954
-70.4536,97.0873786408,0.339855,50000,515,7.98399,-67.2359060036,396.8,5.28266e-13,1.07875e-05,100,-67.2359060036,8.34535e-05,5.05392e-08,nan,1,1.03204,3.71315e-11,nan,2609.27533248,-67.2359060036,-10677.3,0.6,2609.27533248,4.62442394327
-65.7643,92.5925925926,0.433588,50000,540,9.71444,-62.7556517598,295.803,1.3304e-10,1.02881e-05,100,-62.7556517598,9.85799e-05,1.31103e-05,nan,1,1.01383,4.46496e-11,nan,1223.13210417,-62.7556517598,-10214.1,0.6,1223.13210417,4.75967736676
-47.5801,86.3557858377,inf,50000,579,1.66235e+20,-58.6245145864,183.612,,9.59509e-06,100,-58.6245145864,0.0695692,,nan,1,2.29274e+16,4.90507e-07,nan,61.5301178066,-58.6245145864,-7965.88,0.6,61.5301178066,9.46586484727
-53.5005,87.7192982456,62.8224,50000,570,217.29,-59.2269500876,200.264,,9.74659e-06,100,-59.2269500876,0.000906527,,nan,1,2.33621,1.09344e-09,nan,56.89382953,-59.2269500876,-9530.7,0.6,56.89382953,3.08032451927
-54.3386,86.6551126516,23.0862,50000,577,141.461,-58.8583400075,234.174,1.898e-14,9.62834e-06,100,-58.8583400075,0.000751417,3.57316e-09,nan,1,1.81263,6.51387e-10,nan,61.3079528389,-58.8583400075,-9596.57,0.6,61.3079528389,2.59614477443
-54.3133,89.4454382826,7.14536e+11,50000,559,8.21581e+07,-60.8271487962,300.927,,9.93838e-06,100,-60.8271487962,0.0792235,,nan,1,10306.5,6.64403e-07,nan,93.7672057093,-60.8271487962,-8550.39,0.6,93.7672057093,9.3872779396
-33.4938,86.0585197935,1.20563e+27,50000,581,2.30585e+15,-58.2883697171,242.534,,9.56206e-06,100,-58.2883697171,0.0358313,,nan,1,6.15346e+11,2.91123e-07,nan,93.6240113782,-58.2883697171,-6578.28,0.6,93.6240113782,4.21568617775
-54.31,88.1834215168,284.057,50000,567,885.172,-59.8522144958,350.141,2.43193e-36,9.79816e-06,100,-59.8522144958,0.00297831,7.22783e-31,nan,1,2.91207,3.21582e-09,nan,134.697006835,-59.8522144958,-8946.43,0.6,134.697006835,3.18277505859
-41.126,83.6120401338,inf,50000,598,1.2561e+22,-57.3283337238,177.502,,9.29023e-06,100,-57.3283337238,0.0756922,,nan,1,1.54169e+18,5.45623e-07,nan,106.928189765,-57.3283337238,-7018.52,0.6,106.928189765,9.75372119127
-54.6962,86.5051903114,8.85205,50000,578,149.545,-58.5657268978,496.187,,9.61169e-06,100,-58.5657268978,0.000987818,,nan,1,1.45511,3.86236e-10,nan,57.7663495857,-58.5657268978,-9741.57,0.6,57.7663495857,4.37330235495
-64.0393,84.3170320405,0.354361,50000,593,9.64119,-57.3953013487,268.914,1.43095e-07,9.36856e-06,100,-57.3953013487,8.60823e-05,0.0160266,nan,1,1.04928,2.82496e-11,nan,203.023543702,-57.3953013487,-9921.93,0.6,203.023543702,5.53752979397
-54.2595,88.0281690141,625.266,50000,568,1390.93,-59.5762367861,309.87,2.1927e-22,9.78091e-06,100,-59.5762367861,0.00485846,6.27747e-17,nan,1,2.80017,7.62876e-09,nan,93.0902654707,-59.5762367861,-9363.56,0.6,93.0902654707,3.38884557207
