MaxVanillaIw,AvgDiscRet,VarRet,AvgEpLen,VarVanillaIw,VarNormIw,VarJ,ESSClassic,Bound,BatchSize,MinVanillaIw,VarDiscRet,AvgVanillaIw,VanillaAvgRet,eRenyi2,AvgNormIw,ESSRenyi,J,AvgRet,MaxNormIw,MinNormIw
1.2644211,-7.871189752634404,47.27811334078569,200.0,0.051977422,5.137428e-06,7.054299,95.1601213408291,-9.832344,100,0.31762904,47.27811334078569,1.0058529,-7.871189752634404,1.0615867,0.009999999,94.19861463509946,-7.7616177,-7.871189752634404,0.012570635,0.0031578077
1.1984704,-8.1443940060443,49.55210404128773,200.0,0.011392385,1.1117885e-06,7.008615,98.91130897102799,-10.200218,100,0.60789293,49.55210404128773,1.0122696,-8.1443940060443,1.014431,0.01,98.57742914408841,-8.118127,-8.1443940060443,0.011839437,0.006005247
2.0714703,-8.152155625874316,59.109272619895954,200.0,0.14400905,1.504965e-05,7.770686,87.03282342210086,-10.046672,100,0.25646695,59.109272619895954,0.97820914,-8.152155625874316,1.1638614,0.010000002,85.92088415481969,-7.836801,-8.152155625874316,0.021176148,0.0026218009
1.2537918,-8.195489311104469,46.32897069830298,200.0,0.06626962,6.617685e-06,6.811004,93.8513188197646,-10.216048,100,0.2717214,46.32897069830298,1.0007007,-8.195489311104469,1.0698535,0.01,93.47073769006735,-8.078615,-8.195489311104469,0.0125291385,0.0027153112
1.2655473,-9.308728173024233,67.50343687247897,200.0,0.06300305,5.793508e-06,8.214258,94.57555105050899,-11.294252,100,0.1759384,67.50343687247897,1.0428215,-9.308728173024233,1.0789667,0.01,92.68126309174349,-9.120959,-9.308728173024233,0.0121358,0.0016871382
1.8919202,-8.984204225489753,59.881246170584866,200.0,0.018284274,1.8776159e-06,7.6153092,98.17506563350898,-11.012954,100,0.89952636,59.881246170584866,0.98681444,-8.984204225489753,1.0290344,0.01,97.17848336095483,-8.917568,-8.984204225489753,0.019171996,0.009115456
2.311077,-8.640585810824314,58.1524750507714,200.0,0.12955028,1.27231015e-05,7.85153,88.81318965921895,-10.458976,100,0.67226934,58.1524750507714,1.0090733,-8.640585810824314,1.1677759,0.010000002,85.6328706757667,-8.268678,-8.640585810824314,0.022902967,0.0066622454
4.0154605,-7.341822891530726,60.28954093418753,200.0,1.9552349,0.00017972842,9.1029415,35.98013465766066,-8.721527,100,1.9414144e-17,60.28954093418753,1.0430163,-7.341822891530726,2.8649852,0.01,34.90419393341838,-5.223845,-7.341822891530726,0.03849854,1.8613462e-19
1.198219,-8.190141811066752,52.984646538975284,200.0,0.04113469,3.934443e-06,7.275221,96.25092974749634,-10.112672,100,0.33770928,52.984646538975284,1.022498,-8.190141811066752,1.0495011,0.01,95.28337195089468,-8.061145,-8.190141811066752,0.011718545,0.0033027867
8.949357,-8.974136661260582,56.255285424152625,200.0,2.7763093,0.0012807493,20.233114,7.310251787014673,-9.064467,100,,56.255285424152625,0.46558806,-8.974136661260582,6.5826135,0.01,15.191534560481793,-3.7485664,-8.974136661260582,0.1922162,
1.3466048,-8.499912351295668,60.5022340509287,200.0,0.084946275,8.8001825e-06,8.053238,91.9859952394659,-10.370857,100,0.33993483,60.5022340509287,0.9824859,-8.499912351295668,1.0655836,0.010000002,93.84528933142091,-8.243139,-8.499912351295668,0.013706098,0.0034599463
4.4478154,-7.673070962389928,51.73252874378094,200.0,0.57004327,7.094025e-05,7.963612,58.74375945284268,-9.294949,100,0.060782395,51.73252874378094,0.8964117,-7.673070962389928,1.6558979,0.010000002,60.39019837620597,-6.674878,-7.673070962389928,0.049617995,0.00067806337
1.2489705,-7.566632465278559,42.93933705143877,200.0,0.06323375,6.2690738e-06,6.7139506,94.15631463604191,-9.385203,100,0.28251898,42.93933705143877,1.0043215,-7.566632465278559,1.0713468,0.009999999,93.34046057975492,-7.369647,-7.566632465278559,0.012435963,0.0028130335
2.5829132,-7.063228354902365,48.297325604571824,200.0,0.068826504,6.9390435e-06,6.849975,93.57194165542147,-9.006693,100,0.80995446,48.297325604571824,0.9959283,-7.063228354902365,1.1017113,0.01,90.76788304992607,-6.829374,-7.063228354902365,0.025934732,0.008132659
1.3545924,-7.483739397109861,49.995468211275536,200.0,0.13456921,1.52046005e-05,7.200063,86.91681118801654,-9.168771,100,0.006006578,49.995468211275536,0.9407741,-7.483739397109861,1.1229414,0.009999998,89.05184388606479,-7.0590925,-7.483739397109861,0.014398701,6.384719e-05
2.2794662,-8.62272419788891,59.75495960102242,200.0,0.60316837,6.875337e-05,9.215493,59.50048449585756,-9.775375,100,2.0984936e-09,59.75495960102242,0.9366391,-8.62272419788891,1.6955413,0.01,58.97821669352062,-7.1197634,-8.62272419788891,0.024336655,2.2404505e-11
1.2973182,-7.148301135711131,51.51772714278588,200.0,0.00903883,9.2675697e-07,7.167644,99.09083403116323,-9.1960125,100,0.91030806,51.51772714278588,0.987582,-7.148301135711131,1.0193325,0.010000002,98.10341300987594,-7.1086864,-7.148301135711131,0.013136309,0.0092175435
5.3865886,-9.31021199293247,53.27884327178801,200.0,3.5879095,0.00021304582,9.813805,32.16309461211674,-9.440146,100,1.1223541e-31,53.27884327178801,1.2977296,-9.31021199293247,3.8363936,0.01,26.06614715889956,-5.427862,-9.31021199293247,0.041507788,8.648598e-34
1.825997,-7.117956346875721,44.350344925257495,200.0,0.4462421,4.029408e-05,6.6649075,71.48415702841055,-8.813154,100,0.016238661,44.350344925257495,1.0523607,-7.117956346875721,1.3632435,0.01,73.3544688723005,-6.4021015,-7.117956346875721,0.017351437,0.000154307
