Bound,eRenyi2,MaxVanillaIw,ESSClassic,VarDiscRet,VarJ,IterType,Delta,AvgVanillaIw,VanillaAvgRet,AvgRet,MinNormIw,BatchSize,AvgNormIw,MinVanillaIw,EpsThisIter,VarRet,AvgEpLen,ESSRenyi,AvgDiscRet,VarNormIw,J,MaxNormIw,VarVanillaIw
-151.41,1.08099,4.39387,85.3328825742,8246.54758009,75.9707,1,0.3,1.05454,-90.456220533,-90.456220533,0.00617432,100,0.01,0.651109,100,8246.54758009,123.19,92.5074608234,-90.456220533,1.73617e-05,-85.16,0.041666,0.193074
-150.47,1.10344,1.49395,88.6479437137,7094.59468249,72.1982,1,0.3,0.945224,-88.6178365451,-88.6178365451,0.00101804,100,0.01,0.096228,100,7094.59468249,122.29,90.625871703,-88.6178365451,1.29352e-05,-83.5294,0.0158053,0.115569
-173.225,1.04311,1.58805,96.0225991091,13075.5726194,108.216,1,0.3,0.978955,-110.804059009,-110.804059009,0.00362143,100,0.01,0.354522,100,13075.5726194,147.76,95.8668365814,-110.804059009,4.18397e-06,-108.146,0.0162219,0.0400972
-150.694,1.05403,1.37857,93.7208132818,7037.22490488,73.1085,1,0.3,0.928656,-88.9012561175,-88.9012561175,0.00356074,100,0.01,0.33067,100,7037.22490488,122.75,94.8737076826,-88.9012561175,6.76753e-06,-85.2762,0.0148448,0.0583633
-141.638,1.01122,1.84346,98.3563262655,3776.00174492,57.2892,1,0.3,1.00069,-78.2899893747,-78.2899893747,0.00864889,100,0.01,0.865488,100,3776.00174492,110.07,98.8906727792,-78.2899893747,1.68798e-06,-77.562,0.0184218,0.0169032
-135.022,1.00296,1.15343,99.8020534708,1410.23515033,35.8964,1,0.3,0.995773,-71.3954269646,-71.3954269646,0.00884455,100,0.01,0.880717,100,1410.23515033,102.27,99.7053035146,-71.3954269646,2.00347e-07,-71.2091,0.0115832,0.00198657
-140.885,1.03427,1.29889,96.2607245967,3788.6303106,53.2118,1,0.3,0.968424,-78.0373551901,-78.0373551901,0.00477733,100,0.01,0.462649,100,3788.6303106,109.1,96.6864470709,-78.0373551901,3.92379e-06,-76.0838,0.0134124,0.0367991
-154.785,1.02461,1.58247,97.8365519546,8167.54089069,84.2273,1,0.3,1.00145,-92.0076216485,-92.0076216485,0.00849314,100,0.01,0.850542,100,8167.54089069,126.09,97.5977657921,-92.0076216485,2.23363e-06,-90.2858,0.0158019,0.0224009
-144.501,1.01845,1.95198,97.8152032192,4884.17699715,64.3766,1,0.3,1.00862,-81.4341415633,-81.4341415633,0.00863777,100,0.01,0.871222,100,4884.17699715,113.59,98.1888812078,-81.4341415633,2.25617e-06,-80.197,0.019353,0.0229523
-152.016,1.05659,1.31141,95.6354204704,8252.71603195,81.3879,1,0.3,1.01978,-90.1315290968,-90.1315290968,0.00431365,100,0.01,0.439896,100,8252.71603195,123.16,94.6436672598,-90.1315290968,4.60986e-06,-86.5182,0.0128598,0.0479401
