MaxNormIw,AvgDiscRet,eRenyi2,AvgVanillaIw,BatchSize,AvgEpLen,IterType,MaxVanillaIw,VarDiscRet,Delta,VarJ,VarNormIw,MinVanillaIw,VarVanillaIw,ESSRenyi,MinNormIw,J,VanillaAvgRet,AvgNormIw,AvgRet,EpsThisIter,ESSClassic,VarRet,Bound
0.005,30.5084812779,1.0,1.0,500,500.0,2,1.0,448.341000605,1.0,21.8372,2.1793e-19,1.0,,500.0,0.005,37.7799,30.5084812779,0.005,30.5084812779,100,200.000000102,448.341000605,37.7799
0.00333333,8.28161482869,1.0,1.0,500,500.0,2,1.0,23.0788569296,1.0,22.7792,5.43914e-20,1.0,,500.0,0.00333333,27.9471,8.28161482869,0.00333333,8.28161482869,100,299.999969474,23.0788569296,27.9471
0.0025,41.0046498437,1.0,1.0,500,500.0,2,1.0,688.730892306,1.0,24.3228,5.4346e-20,1.0,,500.0,0.0025,31.2115,41.0046498437,0.0025,41.0046498437,100,400.0,688.730892306,31.2115
0.0778318,29.130806508,inf,28.2723,500,500.0,1,1100.24,250.587421702,1.0,4.39195,0.000141748,5.29346e-06,28325.7,,3.74462e-10,67.0363,29.130806508,0.002,29.130806508,100,13.7490438558,250.587421702,67.0363
0.01,51.3885758321,1.0,1.0,500,500.0,2,1.0,502.532463275,1.0,22.3049,3.50449e-18,1.0,,500.0,0.01,51.3886,51.3885758321,0.01,51.3885758321,100,100.0,502.532463275,51.3886
0.005,36.0911757857,1.0,1.0,500,500.0,2,1.0,242.826294673,1.0,20.675,2.1793e-19,1.0,,500.0,0.005,43.7399,36.0911757857,0.005,36.0911757857,100,200.000000102,242.826294673,43.7399
0.00333333,36.9894513301,1.0,1.0,500,500.0,2,1.0,166.7780587,1.0,18.7118,5.43914e-20,1.0,,500.0,0.00333333,41.4897,36.9894513301,0.00333333,36.9894513301,100,299.999969474,166.7780587,41.4897
0.0025,42.3440078138,1.0,1.0,500,500.0,2,1.0,209.405252923,1.0,17.736,5.4346e-20,1.0,,500.0,0.0025,41.7033,42.3440078138,0.0025,42.3440078138,100,400.0,209.405252923,41.7033
0.0999997,36.1006197067,inf,59982.7,500,500.0,1,2.99913e+06,630.883145888,1.0,0.000119283,0.000196392,9.77584e-10,1.76651e+11,,3.25955e-17,67.9783,36.1006197067,0.002,36.1006197067,100,10.0000518076,630.883145888,67.9783
0.01,43.1717298083,1.0,1.0,500,500.0,2,1.0,131.849236083,1.0,11.425,3.50449e-18,1.0,,500.0,0.01,43.1717,43.1717298083,0.01,43.1717298083,100,100.0,131.849236083,43.1717
0.005,46.855510148,1.0,1.0,500,500.0,2,1.0,248.367215599,1.0,13.842,2.1793e-19,1.0,,500.0,0.005,45.0136,46.855510148,0.005,46.855510148,100,200.000000102,248.367215599,45.0136
0.00333333,50.7635115378,1.0,1.0,500,500.0,2,1.0,178.093484698,1.0,13.923,5.43914e-20,1.0,,500.0,0.00333333,46.9303,50.7635115378,0.00333333,50.7635115378,100,299.999969474,178.093484698,46.9303
0.0025,40.4722176965,1.0,1.0,500,500.0,2,1.0,306.946532088,1.0,15.1386,5.4346e-20,1.0,,500.0,0.0025,45.3157,40.4722176965,0.0025,40.4722176965,100,400.0,306.946532088,45.3157
0.0669347,42.578093294,inf,30.6686,500,500.0,1,1026.4,110.735821791,1.0,2.62541,0.000107908,2.33351e-07,25373.7,,1.52176e-11,65.5687,42.578093294,0.002,42.578093294,100,17.90630557,110.735821791,65.5687
0.01,52.4915477625,1.0,1.0,500,500.0,2,1.0,163.163111969,1.0,12.7095,3.50449e-18,1.0,,500.0,0.01,52.4915,52.4915477625,0.01,52.4915477625,100,100.0,163.163111969,52.4915
0.005,61.3331895777,1.0,1.0,500,500.0,2,1.0,151.772264269,1.0,13.2453,2.1793e-19,1.0,,500.0,0.005,56.9124,61.3331895777,0.005,61.3331895777,100,200.000000102,151.772264269,56.9124
0.00333333,51.0295332816,1.0,1.0,500,500.0,2,1.0,105.824344813,1.0,12.6321,5.43914e-20,1.0,,500.0,0.00333333,54.9514,51.0295332816,0.00333333,51.0295332816,100,299.999969474,105.824344813,54.9514
0.0025,50.6073601937,1.0,1.0,500,500.0,2,1.0,65.9938926516,1.0,11.8131,5.4346e-20,1.0,,500.0,0.0025,53.8654,50.6073601937,0.0025,50.6073601937,100,400.0,65.9938926516,53.8654
0.0798746,55.408156581,inf,9.79203,500,500.0,1,391.067,119.669905684,1.0,9.31441,0.000124622,0.000965926,2987.32,,1.97288e-07,72.8754,55.408156581,0.002,55.408156581,100,15.5796253637,119.669905684,72.8754
0.01,54.2995995652,1.0,1.0,500,500.0,2,1.0,303.503977298,1.0,17.334,3.50449e-18,1.0,,500.0,0.01,54.2996,54.2995995652,0.01,54.2995995652,100,100.0,303.503977298,54.2996
0.005,68.6084571319,1.0,1.0,500,500.0,2,1.0,346.808809024,1.0,19.3156,2.1793e-19,1.0,,500.0,0.005,61.454,68.6084571319,0.005,68.6084571319,100,200.000000102,346.808809024,61.454
0.00333333,51.7024460652,1.0,1.0,500,500.0,2,1.0,278.139879401,1.0,19.017,5.43914e-20,1.0,,500.0,0.00333333,58.2035,51.7024460652,0.00333333,51.7024460652,100,299.999969474,278.139879401,58.2035
0.0025,59.9158538366,1.0,1.0,500,500.0,2,1.0,182.715629322,1.0,17.8047,5.4346e-20,1.0,,500.0,0.0025,58.6316,59.9158538366,0.0025,59.9158538366,100,400.0,182.715629322,58.6316
0.0833332,60.2408373349,62425.8,6.36538e-24,500,500.0,1,2.65224e-22,145.944744708,1.0,3.31311e-05,0.000162992,,1.4013e-45,0.00800950277445,,88.4949,60.2408373349,0.002,60.2408373349,100,12.0477604377,145.944744708,88.4949
0.01,47.0350756685,1.0,1.0,500,500.0,2,1.0,530.59917534,1.0,22.9193,3.50449e-18,1.0,,500.0,0.01,47.0351,47.0350756685,0.01,47.0350756685,100,100.0,530.59917534,47.0351
0.005,66.716821274,1.0,1.0,500,500.0,2,1.0,235.846666746,1.0,21.8228,2.1793e-19,1.0,,500.0,0.005,56.8759,66.716821274,0.005,66.716821274,100,200.000000102,235.846666746,56.8759
0.00333333,57.8726703806,1.0,1.0,500,500.0,2,1.0,672.28294999,1.0,23.2285,5.43914e-20,1.0,,500.0,0.00333333,57.2082,57.8726703806,0.00333333,57.8726703806,100,299.999969474,672.28294999,57.2082
0.0025,46.3990450461,1.0,1.0,500,500.0,2,1.0,374.098747177,1.0,22.7853,5.4346e-20,1.0,,500.0,0.0025,54.5059,46.3990450461,0.0025,46.3990450461,100,400.0,374.098747177,54.5059
0.0833333,54.7961610054,1.48205e+08,0.198574,500,500.0,1,8.27391,427.499506322,1.0,4.0883e-08,0.000162993,,1.60677,3.37369605298e-06,,88.1236,54.7961610054,0.002,54.7961610054,100,12.0000014274,427.499506322,88.1236
0.01,68.5497639845,1.0,1.0,500,500.0,2,1.0,193.804308677,1.0,13.8516,3.50449e-18,1.0,,500.0,0.01,68.5498,68.5497639845,0.01,68.5497639845,100,100.0,193.804308677,68.5498
0.005,62.9753255229,1.0,1.0,500,500.0,2,1.0,402.264948321,1.0,17.4018,2.1793e-19,1.0,,500.0,0.005,65.7625,62.9753255229,0.005,62.9753255229,100,200.000000102,402.264948321,65.7625
0.00333333,72.4565345741,1.0,1.0,500,500.0,2,1.0,199.338981979,1.0,16.662,5.43914e-20,1.0,,500.0,0.00333333,67.9939,72.4565345741,0.00333333,72.4565345741,100,299.999969474,199.338981979,67.9939
0.0025,62.6790589232,1.0,1.0,500,500.0,2,1.0,459.802741681,1.0,18.0918,5.4346e-20,1.0,,500.0,0.0025,66.6652,62.6790589232,0.0025,62.6790589232,100,400.0,459.802741681,66.6652
0.0924263,75.1341870722,inf,11.182,500,500.0,1,516.755,60.6770970441,1.0,2.57174,0.000167464,9.20595e-09,5234.82,,1.64657e-12,87.9525,75.1341870722,0.002,75.1341870722,100,11.6870380271,60.6770970441,87.9525
0.01,77.7151294161,1.0,1.0,500,500.0,2,1.0,49.965357803,1.0,7.03319,3.50449e-18,1.0,,500.0,0.01,77.7151,77.7151294161,0.01,77.7151294161,100,100.0,49.965357803,77.7151
0.005,77.8817985032,1.0,1.0,500,500.0,2,1.0,106.488266733,1.0,8.80065,2.1793e-19,1.0,,500.0,0.005,77.7985,77.8817985032,0.005,77.8817985032,100,200.000000102,106.488266733,77.7985
0.00333333,79.6227111401,1.0,1.0,500,500.0,2,1.0,51.1682296763,1.0,8.32222,5.43914e-20,1.0,,500.0,0.00333333,78.4065,79.6227111401,0.00333333,79.6227111401,100,299.999969474,51.1682296763,78.4065
0.0025,68.867117765,1.0,1.0,500,500.0,2,1.0,308.268934671,1.0,12.0542,5.4346e-20,1.0,,500.0,0.0025,76.0217,68.867117765,0.0025,68.867117765,100,400.0,308.268934671,76.0217
0.0833333,67.5816648041,323.59,1.87539,500,500.0,1,78.1412,341.027179707,1.0,4.96586e-05,0.000162993,,143.315,1.54516621571,,86.2461,67.5816648041,0.002,67.5816648041,100,12.000003949,341.027179707,86.2461
0.01,75.3216600945,1.0,1.0,500,500.0,2,1.0,202.58650293,1.0,14.1619,3.50449e-18,1.0,,500.0,0.01,75.3217,75.3216600945,0.01,75.3216600945,100,100.0,202.58650293,75.3217
0.005,78.9197368567,1.0,1.0,500,500.0,2,1.0,229.506639407,1.0,14.7351,2.1793e-19,1.0,,500.0,0.005,77.1207,78.9197368567,0.005,78.9197368567,100,200.000000102,229.506639407,77.1207
0.00333333,81.6197911557,1.0,1.0,500,500.0,2,1.0,113.806425777,1.0,13.6676,5.43914e-20,1.0,,500.0,0.00333333,78.6204,81.6197911557,0.00333333,81.6197911557,100,299.999969474,113.806425777,78.6204
0.0025,74.7702383523,1.0,1.0,500,500.0,2,1.0,493.931083186,1.0,16.2828,5.4346e-20,1.0,,500.0,0.0025,77.6578,74.7702383523,0.0025,74.7702383523,100,400.0,493.931083186,77.6578
0.0748506,86.4111168549,inf,6.97551,500,500.0,1,261.061,25.6871505159,1.0,1.8249,0.000131285,5.90821e-10,1597.01,,1.69399e-13,91.3449,86.4111168549,0.002,86.4111168549,100,14.8123492106,25.6871505159,91.3449
0.01,79.4720408563,1.0,1.0,500,500.0,2,1.0,56.3900087335,1.0,7.47169,3.50449e-18,1.0,,500.0,0.01,79.472,79.4720408563,0.01,79.4720408563,100,100.0,56.3900087335,79.472
0.005,84.1335105413,1.0,1.0,500,500.0,2,1.0,38.3726236377,1.0,7.23463,2.1793e-19,1.0,,500.0,0.005,81.8028,84.1335105413,0.005,84.1335105413,100,200.000000102,38.3726236377,81.8028
0.00333333,85.6102733541,1.0,1.0,500,500.0,2,1.0,76.2043629316,1.0,7.95376,5.43914e-20,1.0,,500.0,0.00333333,83.0719,85.6102733541,0.00333333,85.6102733541,100,299.999969474,76.2043629316,83.0719
0.0025,80.6212679121,1.0,1.0,500,500.0,2,1.0,29.0291789494,1.0,7.46709,5.4346e-20,1.0,,500.0,0.0025,82.4593,80.6212679121,0.0025,80.6212679121,100,400.0,29.0291789494,82.4593
0.0433461,87.1379855041,inf,3.82439,500,500.0,1,82.8862,27.2984781079,1.0,5.6421,5.03181e-05,1.4801e-08,183.988,,7.74032e-12,91.6944,87.1379855041,0.002,87.1379855041,100,36.8885344751,27.2984781079,91.6944
0.01,88.3801224893,1.0,1.0,500,500.0,2,1.0,16.7034437562,1.0,4.0665,3.50449e-18,1.0,,500.0,0.01,88.3801,88.3801224893,0.01,88.3801224893,100,100.0,16.7034437562,88.3801
0.005,86.8571383016,1.0,1.0,500,500.0,2,1.0,183.748026552,1.0,9.99016,2.1793e-19,1.0,,500.0,0.005,87.6186,86.8571383016,0.005,86.8571383016,100,200.000000102,183.748026552,87.6186
0.00333333,89.2555801588,1.0,1.0,500,500.0,2,1.0,17.1137608413,1.0,8.53104,5.43914e-20,1.0,,500.0,0.00333333,88.1643,89.2555801588,0.00333333,89.2555801588,100,299.999969474,17.1137608413,88.1643
0.0025,88.1538488418,1.0,1.0,500,500.0,2,1.0,10.3104610619,1.0,7.55882,5.4346e-20,1.0,,500.0,0.0025,88.1617,88.1538488418,0.0025,88.1538488418,100,400.0,10.3104610619,88.1617
0.0833333,83.3209737258,32.3005,1681.55,500,500.0,1,70064.6,43.4753774446,1.0,4.92475e-05,0.000162993,,1.1522e+08,15.4796516606,,98.3022,83.3209737258,0.002,83.3209737258,100,11.9999976063,43.4753774446,98.3022
0.01,90.4543878574,1.0,1.0,500,500.0,2,1.0,16.6238785312,1.0,4.0568,3.50449e-18,1.0,,500.0,0.01,90.4544,90.4543878574,0.01,90.4543878574,100,100.0,16.6238785312,90.4544
0.005,90.3069395967,1.0,1.0,500,500.0,2,1.0,28.68964301,1.0,4.73663,2.1793e-19,1.0,,500.0,0.005,90.3807,90.3069395967,0.005,90.3069395967,100,200.000000102,28.68964301,90.3807
0.00333333,88.8430377074,1.0,1.0,500,500.0,2,1.0,8.45663083282,1.0,4.27471,5.43914e-20,1.0,,500.0,0.00333333,89.8681,88.8430377074,0.00333333,88.8430377074,100,299.999969474,8.45663083282,89.8681
0.0025,88.6393071407,1.0,1.0,500,500.0,2,1.0,6.20966206371,1.0,3.94016,5.4346e-20,1.0,,500.0,0.0025,89.5609,88.6393071407,0.0025,88.6393071407,100,400.0,6.20966206371,89.5609
0.0237873,87.5433844319,inf,1.71642,500,500.0,1,20.4145,12.3081276356,1.0,8.65799,2.14193e-05,0.00347081,15.7758,,4.04425e-06,94.0841,87.5433844319,0.002,87.5433844319,100,78.8133384146,12.3081276356,94.0841
0.01,87.406713944,1.0,1.0,500,500.0,2,1.0,47.9255444863,1.0,6.88813,3.50449e-18,1.0,,500.0,0.01,87.4067,87.406713944,0.01,87.406713944,100,100.0,47.9255444863,87.4067
0.005,87.6287323397,1.0,1.0,500,500.0,2,1.0,19.6953798464,1.0,5.78659,2.1793e-19,1.0,,500.0,0.005,87.5177,87.6287323397,0.005,87.6287323397,100,200.000000102,19.6953798464,87.5177
0.00333333,88.4925186483,1.0,1.0,500,500.0,2,1.0,22.3120378069,1.0,5.46784,5.43914e-20,1.0,,500.0,0.00333333,87.8426,88.4925186483,0.00333333,88.4925186483,100,299.999969474,22.3120378069,87.8426
0.0025,91.4194380216,1.0,1.0,500,500.0,2,1.0,5.39247631269,1.0,5.11433,5.4346e-20,1.0,,500.0,0.0025,88.7368,91.4194380216,0.0025,91.4194380216,100,400.0,5.39247631269,88.7368
0.0782727,91.3378336921,4.09047e+10,21.6027,500,500.0,1,845.453,10.0834692679,1.0,0.270474,0.000143447,2.62555e-07,16735.9,1.22235293476e-08,2.43076e-11,93.8335,91.3378336921,0.002,91.3378336921,100,13.5906388736,10.0834692679,93.8335
0.01,91.7427761152,1.0,1.0,500,500.0,2,1.0,7.07191198052,1.0,2.64598,3.50449e-18,1.0,,500.0,0.01,91.7428,91.7427761152,0.01,91.7427761152,100,100.0,7.07191198052,91.7428
0.005,88.4239206532,1.0,1.0,500,500.0,2,1.0,25.7031542597,1.0,4.3563,2.1793e-19,1.0,,500.0,0.005,90.0833,88.4239206532,0.005,88.4239206532,100,200.000000102,25.7031542597,90.0833
0.00333333,89.4370747704,1.0,1.0,500,500.0,2,1.0,8.41558298695,1.0,3.93974,5.43914e-20,1.0,,500.0,0.00333333,89.8679,89.4370747704,0.00333333,89.4370747704,100,299.999969474,8.41558298695,89.8679
0.0025,90.5027771058,1.0,1.0,500,500.0,2,1.0,13.278760662,1.0,3.8734,5.4346e-20,1.0,,500.0,0.0025,90.0266,90.5027771058,0.0025,90.5027771058,100,400.0,13.278760662,90.0266
0.0790278,89.7387088553,1.0002,19.9969,500,500.0,1,790.156,22.9515571419,1.0,0.885648,0.000146548,2.59988e-15,14650.2,499.899765086,2.60028e-19,94.9044,89.7387088553,0.002,89.7387088553,100,13.3107497942,22.9515571419,94.9044
0.01,93.1484247162,1.0,1.0,500,500.0,2,1.0,5.4411628695,1.0,2.32094,3.50449e-18,1.0,,500.0,0.01,93.1484,93.1484247162,0.01,93.1484247162,100,100.0,5.4411628695,93.1484
0.005,90.1939176934,1.0,1.0,500,500.0,2,1.0,14.0172830096,1.0,3.43718,2.1793e-19,1.0,,500.0,0.005,91.6712,90.1939176934,0.005,90.1939176934,100,200.000000102,14.0172830096,91.6712
0.00333333,89.5596980892,1.0,1.0,500,500.0,2,1.0,7.71670370188,1.0,3.37837,5.43914e-20,1.0,,500.0,0.00333333,90.9674,89.5596980892,0.00333333,89.5596980892,100,299.999969474,7.71670370188,90.9674
0.0025,92.5534372015,1.0,1.0,500,500.0,2,1.0,8.56253196039,1.0,3.3393,5.4346e-20,1.0,,500.0,0.0025,91.3639,92.5534372015,0.0025,92.5534372015,100,400.0,8.56253196039,91.3639
0.0290362,92.6839727057,2483.39,0.755308,500,500.0,1,10.9656,4.30769866165,1.0,2.46108,2.68114e-05,1.01026e-08,3.82391,0.201337755686,2.6751e-11,94.3556,92.6839727057,0.002,92.6839727057,100,65.0243136281,4.30769866165,94.3556
0.01,90.3204462606,1.0,1.0,500,500.0,2,1.0,2.35315059,1.0,1.52631,3.50449e-18,1.0,,500.0,0.01,90.3204,90.3204462606,0.01,90.3204462606,100,100.0,2.35315059,90.3204
0.005,91.7939648689,1.0,1.0,500,500.0,2,1.0,4.55618580834,1.0,1.99071,2.1793e-19,1.0,,500.0,0.005,91.0572,91.7939648689,0.005,91.7939648689,100,200.000000102,4.55618580834,91.0572
0.00333333,91.1980941864,1.0,1.0,500,500.0,2,1.0,18.9409150588,1.0,2.98276,5.43914e-20,1.0,,500.0,0.00333333,91.1042,91.1980941864,0.00333333,91.1980941864,100,299.999969474,18.9409150588,91.1042
0.0025,90.4427630109,1.0,1.0,500,500.0,2,1.0,22.4328310904,1.0,3.50811,5.4346e-20,1.0,,500.0,0.0025,90.9388,90.4427630109,0.0025,90.4427630109,100,400.0,22.4328310904,90.9388
0.0733421,91.3380029087,1.37239e+09,4.79021,500,500.0,1,175.662,4.91329023509,1.0,2.09956,0.000114496,,656.807,3.64328565654e-07,,96.4976,91.3380029087,0.002,91.3380029087,100,16.9109330132,4.91329023509,96.4976
0.01,90.8190508969,1.0,1.0,500,500.0,2,1.0,14.7408418776,1.0,3.82014,3.50449e-18,1.0,,500.0,0.01,90.8191,90.8190508969,0.01,90.8190508969,100,100.0,14.7408418776,90.8191
0.005,91.1136767905,1.0,1.0,500,500.0,2,1.0,10.7610793855,1.0,3.556,2.1793e-19,1.0,,500.0,0.005,90.9664,91.1136767905,0.005,91.1136767905,100,200.000000102,10.7610793855,90.9664
0.00333333,89.1226903069,1.0,1.0,500,500.0,2,1.0,31.2290259836,1.0,4.41487,5.43914e-20,1.0,,500.0,0.00333333,90.3518,89.1226903069,0.00333333,89.1226903069,100,299.999969474,31.2290259836,90.3518
0.0025,93.9471948327,1.0,1.0,500,500.0,2,1.0,12.5828148896,1.0,4.48958,5.4346e-20,1.0,,500.0,0.0025,91.2507,93.9471948327,0.0025,93.9471948327,100,400.0,12.5828148896,91.2507
0.002,90.9086545035,1.0,1.0,500,500.0,1,1.0,28.129886102,1.0,4.65977,5.43187e-20,1.0,,500.0,0.002,91.1823,90.9086545035,0.002,90.9086545035,100,500.000006643,28.129886102,91.1823
0.01,92.1783041638,1.0,1.0,500,500.0,2,1.0,5.999530931,1.0,2.43712,3.50449e-18,1.0,,500.0,0.01,92.1783,92.1783041638,0.01,92.1783041638,100,100.0,5.999530931,92.1783
0.005,89.8389644999,1.0,1.0,500,500.0,2,1.0,18.169092294,1.0,3.65125,2.1793e-19,1.0,,500.0,0.005,91.0086,89.8389644999,0.005,89.8389644999,100,200.000000102,18.169092294,91.0086
0.00333333,92.1967743166,1.0,1.0,500,500.0,2,1.0,4.28688981015,1.0,3.25824,5.43914e-20,1.0,,500.0,0.00333333,91.4047,92.1967743166,0.00333333,92.1967743166,100,299.999969474,4.28688981015,91.4047
0.0025,89.1680301347,1.0,1.0,500,500.0,2,1.0,19.1342443456,1.0,3.69267,5.4346e-20,1.0,,500.0,0.0025,90.8455,89.1680301347,0.0025,89.1680301347,100,400.0,19.1342443456,90.8455
0.002,91.7800973016,1.0,1.0,500,500.0,1,1.0,9.14354859515,1.0,3.58592,5.43187e-20,1.0,,500.0,0.002,91.0324,91.7800973016,0.002,91.7800973016,100,500.000006643,9.14354859515,91.0324
0.01,90.47407273,1.0,1.0,500,500.0,2,1.0,2.45972574494,1.0,1.56049,3.50449e-18,1.0,,500.0,0.01,90.4741,90.47407273,0.01,90.47407273,100,100.0,2.45972574494,90.4741
0.005,89.5766382035,1.0,1.0,500,500.0,2,1.0,19.1648420349,1.0,3.30235,2.1793e-19,1.0,,500.0,0.005,90.0254,89.5766382035,0.005,89.5766382035,100,200.000000102,19.1648420349,90.0254
0.00333333,87.5183826108,1.0,1.0,500,500.0,2,1.0,46.1403959758,1.0,4.88808,5.43914e-20,1.0,,500.0,0.00333333,89.1897,87.5183826108,0.00333333,87.5183826108,100,299.999969474,46.1403959758,89.1897
0.0025,92.239469828,1.0,1.0,500,500.0,2,1.0,5.70907527269,1.0,4.59096,5.4346e-20,1.0,,500.0,0.0025,89.9521,92.239469828,0.0025,92.239469828,100,400.0,5.70907527269,89.9521
0.002,92.3613000406,1.0,1.0,500,500.0,1,1.0,11.0711772902,1.0,4.47015,2.91768e-18,0.999998,7.49801e-13,500.0,0.002,90.434,92.3613000406,0.002,92.3613000406,100,500.000067678,11.0711772902,90.434
