AvgDiscRet,MinNormIw,ESSClassic,AvgNormIw,VanillaAvgRet,VarRet,eRenyi2,AvgRet,VarNormIw,VarDiscRet,ESSRenyi,AvgEpLen,MinVanillaIw,BatchSize,Bound,VarJ,MaxVanillaIw,VarVanillaIw,Delta,IterType,J,MaxNormIw,EpsThisIter,AvgVanillaIw
-7.750099487775924,0.0033333334,299.999969473632,0.0033333336,-7.750099487775924,46.0814047219834,1.0,-7.750099487775924,5.4391416e-20,46.0814047219834,500.0,200.0,1.0,500,-7.545558,7.026232,1.0,,1.0,2,-7.545558,0.0033333334,100,1.0
-7.516922391493086,0.0025,400.0,0.0024999997,-7.516922391493086,48.630433764222566,1.0,-7.516922391493086,5.434597e-20,48.630433764222566,500.0,200.0,1.0,500,-7.5383987,7.004437,1.0,,1.0,2,-7.5383987,0.0025,100,1.0
-8.099079686336632,0.00025640623,9.169627088805228,0.0020000003,-8.099079686336632,52.64193238981745,425.1575,-8.099079686336632,0.00021454041,52.64193238981745,1.1760347602110057,200.0,0.7071073,500,-5.974858,43.593575,344.1655,1631.6333,1.0,1,-5.974858,0.12479885,100,5.5155234
-7.668146642155867,0.01,100.0,0.009999998,-7.668146642155867,45.91297640938767,1.0,-7.668146642155867,3.5044917e-18,45.91297640938767,500.0,200.0,1.0,500,-7.668146,6.7419467,1.0,,1.0,2,-7.668146,0.01,100,1.0
-8.362489487143819,0.005,200.00000010221265,0.0049999994,-8.362489487143819,58.87268491284107,1.0,-8.362489487143819,2.179301e-19,58.87268491284107,500.0,200.0,1.0,500,-8.015317,7.2103696,1.0,,1.0,2,-8.015317,0.005,100,1.0
-7.3287368851568315,0.0033333334,299.999969473632,0.0033333336,-7.3287368851568315,43.954994550115295,1.0,-7.3287368851568315,5.4391416e-20,43.954994550115295,500.0,200.0,1.0,500,-7.7864575,7.019225,1.0,,1.0,2,-7.7864575,0.0033333334,100,1.0
-8.911757971820094,0.0025,400.0,0.0024999997,-8.911757971820094,51.8575045817262,1.0,-8.911757971820094,5.434597e-20,51.8575045817262,500.0,200.0,1.0,500,-8.067781,7.0727854,1.0,,1.0,2,-8.067781,0.0025,100,1.0
-7.522046230276236,0.0007947682,88.01971324718608,0.002,-7.522046230276236,43.97439092223628,425.1575,-7.522046230276236,1.8759698e-05,43.97439092223628,1.1760347602110057,200.0,0.7071073,500,-6.9766746,14.548815,15.600129,14.849629,1.0,1,-6.9766746,0.017534096,100,1.779405
-6.969488490405763,0.01,100.0,0.009999998,-6.969488490405763,45.36760136207341,1.0,-6.969488490405763,3.5044917e-18,45.36760136207341,500.0,200.0,1.0,500,-6.9694886,6.701785,1.0,,1.0,2,-6.9694886,0.01,100,1.0
-8.533702634062733,0.005,200.00000010221265,0.0049999994,-8.533702634062733,55.09936175465931,1.0,-8.533702634062733,2.179301e-19,55.09936175465931,500.0,200.0,1.0,500,-7.7515955,7.0952682,1.0,,1.0,2,-7.7515955,0.005,100,1.0
-7.582109956583245,0.0033333334,299.999969473632,0.0033333336,-7.582109956583245,48.51858061848992,1.0,-7.582109956583245,5.4391416e-20,48.51858061848992,500.0,200.0,1.0,500,-7.6951013,7.0412645,1.0,,1.0,2,-7.6951013,0.0033333334,100,1.0
-7.439382684863398,0.0025,400.0,0.0024999997,-7.439382684863398,40.83105559996863,1.0,-7.439382684863398,5.434597e-20,40.83105559996863,500.0,200.0,1.0,500,-7.6311703,6.8776813,1.0,,1.0,2,-7.6311703,0.0025,100,1.0
-8.709778051474203,,64.0,0.002,-8.709778051474203,58.36396330301898,95.49017,-8.709778051474203,2.7304606e-05,58.36396330301898,5.23614087724535,200.0,,500,-7.398707,19.594637,127.91916,1830.0675,1.0,1,-7.398707,0.015625,100,16.373652
-8.921388487939977,0.01,100.0,0.009999998,-8.921388487939977,65.2673466146166,1.0,-8.921388487939977,3.5044917e-18,65.2673466146166,500.0,200.0,1.0,500,-8.921389,8.038325,1.0,,1.0,2,-8.921389,0.01,100,1.0
-7.489509273899893,0.005,200.00000010221265,0.0049999994,-7.489509273899893,54.751748429509156,1.0,-7.489509273899893,2.179301e-19,54.751748429509156,500.0,200.0,1.0,500,-8.205448,7.7409315,1.0,,1.0,2,-8.205448,0.005,100,1.0
-8.785993298604758,0.0033333334,299.999969473632,0.0033333336,-8.785993298604758,55.66591042745535,1.0,-8.785993298604758,5.4391416e-20,55.66591042745535,500.0,200.0,1.0,500,-8.398964,7.641509,1.0,,1.0,2,-8.398964,0.0033333334,100,1.0
-8.458250246399992,0.0025,400.0,0.0024999997,-8.458250246399992,54.76555645235457,1.0,-8.458250246399992,5.434597e-20,54.76555645235457,500.0,200.0,1.0,500,-8.413784,7.572954,1.0,,1.0,2,-8.413784,0.0025,100,1.0
-8.408485801969187,0.002,500.00000664260017,0.0020000003,-8.408485801969187,53.88988876995527,1.0,-8.408485801969187,5.431875e-20,53.88988876995527,500.0,200.0,1.0,500,-8.412725,7.519968,1.0,,1.0,1,-8.412725,0.002,100,1.0
-8.610104840681785,0.01,100.0,0.009999998,-8.610104840681785,60.15812127128965,1.0,-8.610104840681785,3.5044917e-18,60.15812127128965,500.0,200.0,1.0,500,-8.6101055,7.7172885,1.0,,1.0,2,-8.6101055,0.01,100,1.0
-7.81691506704183,0.005,200.00000010221265,0.0049999994,-7.81691506704183,49.432844573020255,1.0,-7.81691506704183,2.179301e-19,49.432844573020255,500.0,200.0,1.0,500,-8.2135105,7.375962,1.0,,1.0,2,-8.2135105,0.005,100,1.0
-7.992401716015503,0.0033333334,299.999969473632,0.0033333336,-7.992401716015503,46.68777789703036,1.0,-7.992401716015503,5.4391416e-20,46.68777789703036,500.0,200.0,1.0,500,-8.139808,7.189417,1.0,,1.0,2,-8.139808,0.0033333334,100,1.0
-7.474338889000992,0.0025,400.0,0.0024999997,-7.474338889000992,50.09163005001807,1.0,-7.474338889000992,5.434597e-20,50.09163005001807,500.0,200.0,1.0,500,-7.97344,7.1586657,1.0,,1.0,2,-7.97344,0.0025,100,1.0
-8.826802579951364,0.002,500.00000664260017,0.0020000003,-8.826802579951364,53.35825998951011,1.0,-8.826802579951364,5.431875e-20,53.35825998951011,500.0,200.0,1.0,500,-8.1441145,7.1887865,1.0,,1.0,1,-8.1441145,0.002,100,1.0
-7.347924566432682,0.01,100.0,0.009999998,-7.347924566432682,39.81910557090132,1.0,-7.347924566432682,3.5044917e-18,39.81910557090132,500.0,200.0,1.0,500,-7.3479247,6.278608,1.0,,1.0,2,-7.3479247,0.01,100,1.0
-7.893962439074995,0.005,200.00000010221265,0.0049999994,-7.893962439074995,54.412552364565215,1.0,-7.893962439074995,2.179301e-19,54.412552364565215,500.0,200.0,1.0,500,-7.620943,6.835145,1.0,,1.0,2,-7.620943,0.005,100,1.0
-7.495803248095293,0.0033333334,299.999969473632,0.0033333336,-7.495803248095293,60.51926137096065,1.0,-7.495803248095293,5.4391416e-20,60.51926137096065,500.0,200.0,1.0,500,-7.5792303,7.1498933,1.0,,1.0,2,-7.5792303,0.0033333334,100,1.0
-7.538335608216592,0.0025,400.0,0.0024999997,-7.538335608216592,53.80985094941813,1.0,-7.538335608216592,5.434597e-20,53.80985094941813,500.0,200.0,1.0,500,-7.569007,7.1874185,1.0,,1.0,2,-7.569007,0.0025,100,1.0
-7.9324023440083,0.002,500.00000664260017,0.0020000003,-7.9324023440083,55.45530209312631,1.0,-7.9324023440083,5.431875e-20,55.45530209312631,500.0,200.0,1.0,500,-7.641686,7.2338424,1.0,,1.0,1,-7.641686,0.002,100,1.0
-8.260780743745388,0.01,100.0,0.009999998,-8.260780743745388,53.395262896097684,1.0,-8.260780743745388,3.5044917e-18,53.395262896097684,500.0,200.0,1.0,500,-8.260781,7.2705784,1.0,,1.0,2,-8.260781,0.01,100,1.0
-8.687769666664286,0.005,200.00000010221265,0.0049999994,-8.687769666664286,44.85589062973305,1.0,-8.687769666664286,2.179301e-19,44.85589062973305,500.0,200.0,1.0,500,-8.474276,6.9770985,1.0,,1.0,2,-8.474276,0.005,100,1.0
-7.894516799702003,0.0033333334,299.999969473632,0.0033333336,-7.894516799702003,51.819768784760065,1.0,-7.894516799702003,5.4391416e-20,51.819768784760065,500.0,200.0,1.0,500,-8.281023,7.044749,1.0,,1.0,2,-8.281023,0.0033333334,100,1.0
