AvgEpLen,BatchSize,GradInftyNorm,AvgRet,J,VarJ,StepSize,Grad2Norm
53.89,100,67.57357497142381,533.5026861601882,353.9325124104919,754.8788244376578,0.01,110.41931410841084
56.96,100,589.264909114963,564.6096730184369,371.9769472687642,760.2458666616911,0.01,605.266323147381
58.04,100,185.10445727303852,575.6214959552884,378.0740373079968,766.5509091063263,0.01,270.26018063047326
56.49,100,574.7113503363037,560.0249807601795,368.25365873457486,772.566143226321,0.01,594.1767661690468
57.25,100,318.29195225085243,567.7237104013376,372.4307572006926,779.0985940890173,0.01,346.0073614513449
58.3,100,152.42256045682018,578.3225395389646,379.29456462036296,769.0047104253872,0.01,173.18154132819308
56.43,100,110.778019204703,559.4277679144404,367.70277993004225,775.7461473253674,0.01,200.9095313706736
59.11,100,180.24026300269324,586.5312744563818,383.9411621574704,771.7673294568432,0.01,197.438798298894
49.14,100,115.21171752990445,485.7308147767186,323.0697155954287,767.1722430772883,0.01,176.20032975256478
47.37,100,455.06023094339594,467.835793354027,312.40214465880666,756.4080474631737,0.01,497.229285541919
49.16,100,117.40281987802103,485.9276263448782,323.24952696920985,766.3301305959827,0.01,185.20343493094956
51.94,100,167.24027286888995,514.0304219346866,340.4211162316318,771.8648539235421,0.01,231.32128447917594
53.63,100,291.10431936695414,531.1351958981156,350.3558448527461,780.6243757438443,0.01,314.3403609456963
55.54,100,753.8258754217138,550.429907801114,362.3211612327694,775.7512014325685,0.01,756.9914155475054
43.76,100,566.2049077656173,431.3256490362063,290.4002089311227,730.8647094816283,0.01,578.8529925565234
51.97,100,1105.842521930543,514.3319977045618,340.7001446247974,770.3879917319413,0.01,1110.6299287269808
59.2,100,214.4841179577032,587.424738790486,384.7750901952854,766.4925658068611,0.01,227.2466020246116
52.75,100,490.3220209449524,522.2245887986385,345.056891917758,778.2815465857014,0.01,503.7745102100446
57.27,100,83.66636949606664,567.9238054189831,372.61883791539833,777.928704491856,0.01,124.62998602139128
53.71,100,901.8540277385833,531.9283948883228,351.0893555259917,776.6169630933681,0.01,910.0425360111198
58.26,100,2307.2893253087764,577.9241165354102,378.9253275430406,771.2508995513215,0.01,2319.8983454877934
51.89,100,185.29744025292314,513.5309094845503,339.9555527722452,774.3776418391906,0.01,271.33538969350593
51.94,100,106.31817389637229,514.0319339161739,340.4201871079478,771.9102006450385,0.01,183.75197344772366
60.97,100,795.9206504159399,605.3385059067607,395.451793049048,761.7469558033129,0.01,805.1520668227462
53.75,100,284.8517545629567,532.3413345362619,351.47013506207054,774.5500492521006,0.01,413.4979633412979
50.08,100,2945.948459593055,495.22464735768733,328.9118851404735,769.0749076464521,0.01,2951.2705825877456
50.06,100,1451.826583106759,495.0269224347919,328.72789337809263,770.024464029295,0.01,1457.450050455051
60.2,100,298.1499604106154,597.5346317963861,391.17876028199686,757.735891737184,0.01,367.4797977695461
51.05,100,197.1928713572521,505.03090528734026,335.038866761846,768.8953699831711,0.01,229.60741314647478
51.01,100,4758.433802689047,504.62870122034104,334.6639045760044,770.8865521303888,0.01,4759.092162621327
53.74,100,1974.090460046111,532.2233537951112,351.36540275982884,775.045883403732,0.01,1975.3358137820414
52.86,100,370.5868272130264,523.3271485541015,346.0797802654915,772.728110144384,0.01,381.1189209065647
54.62,100,1315.3613737728954,541.1284477790817,356.65928550667707,776.7479570760565,0.01,1319.3829351275165
54.64,100,178.06287603673456,541.3329653175175,356.84517757074605,775.7628452956939,0.01,240.47119461294423
60.03,100,209.42284569986003,595.8244552445784,389.59804313350656,767.6403125509885,0.01,236.9301741458702
56.42,100,431.39753899312666,559.3283326690085,367.6086777305516,776.3261288997237,0.01,454.7442352203413
53.6,100,451.4167825793398,530.8335527351871,350.0762032067715,782.168980764578,0.01,463.86640951047445
53.67,100,614.5815288872651,531.5276091666706,350.7186762255771,778.6496720565467,0.01,645.0498356791328
50.96,100,229.47779293623725,504.11916118102147,334.1994375921017,773.1563432046008,0.01,285.67245989082113
61.02,100,278.1928021984926,605.81377160348,395.9012181089785,758.7089550280555,0.01,415.8312506630118
58.24,100,313.5888060997093,577.7218609215505,378.7412980165507,772.3185220901962,0.01,338.8464574394047
61.92,100,160.82225122361396,614.9302439197712,401.38610271101703,754.4847677147895,0.01,181.2594636952823
51.03,100,159.0488856197561,504.8342750579305,334.8559452684723,769.8605435698382,0.01,218.11380040603896
62.8,100,157.49836592844042,623.8281469935923,406.67379461205803,750.8652851820921,0.01,242.02735642662495
60.0,100,122.97046505263486,595.5285150527582,389.32366140588476,769.3602297477264,0.01,131.0503871052049
51.04,100,171.1838356703668,504.925000997819,334.94192961757113,769.3830527983718,0.01,233.98214834493865
48.17,100,283.2476495196699,475.9302542852238,316.9451634149823,765.9118318835979,0.01,329.0942570310202
49.1,100,67.93800085309375,485.32892278335987,322.69302059167364,769.1200398281958,0.01,109.58038642524407
