ESSRenyi,ESSClassic,delta,IterType,VanillaAvgRet,MinNormIw,renyi2,J,AvgRet,AvgEpLen,MinVanillaIw,AvgDiscRet,VarDiscRet,EpsThisIter,AvgVanillaIw,VarVanillaIw,Bound,BatchSize,VarRet,VarNormIw,MaxNormIw,SamplesThisIter,MaxVanillaIw,AvgNormIw,VarJ
nan,0.849184501842,0.6,1,87.8284835321,2.51677e-07,nan,16296.3,87.8284835321,500.0,0.00446811,87.8284835321,31.3728695795,100,0.980847,0.280515,81.3855,100,31.3728695795,8.90015e-10,0.000212255,50000,3.76824,5.52486e-05,73.3075
nan,0.823071260764,0.6,1,88.1495633457,6.7662e-07,nan,16288.0,88.1495633457,500.0,0.0123424,88.1495633457,33.7119167462,100,1.0078,0.242689,81.9398,100,33.7119167462,7.29358e-10,0.000151864,50000,2.77018,5.52486e-05,54.3855
nan,0.800717673357,0.6,1,88.5014501813,9.61676e-07,nan,16355.4,88.5014501813,500.0,0.0174346,88.5014501813,25.9868516871,100,1.00162,0.247615,82.2247,100,25.9868516871,7.53378e-10,0.000152835,50000,2.7708,5.52486e-05,57.4968
nan,0.731848672736,0.6,1,88.4126463213,1.16079e-06,nan,16280.5,88.4126463213,500.0,0.0212076,88.4126463213,20.6682744613,100,1.00939,0.213797,81.9216,100,20.6682744613,6.40513e-10,0.000134096,50000,2.44992,5.52486e-05,51.2707
nan,0.739452193341,0.6,1,87.0708315241,5.98705e-07,nan,16046.5,87.0708315241,500.0,0.0105953,87.0708315241,25.9367678013,100,0.97774,0.183162,80.9118,100,25.9367678013,5.84832e-10,0.000138088,50000,2.44376,5.52486e-05,49.3889
nan,0.810718624522,0.6,1,87.5428067668,5.82581e-07,nan,16205.4,87.5428067668,500.0,0.0106158,87.5428067668,26.9564185122,100,1.00674,0.290477,81.5801,100,26.9564185122,8.74816e-10,0.000139786,50000,2.54719,5.52486e-05,54.1963
nan,0.715550222007,0.6,1,88.5617181567,9.34321e-07,nan,16263.1,88.5617181567,500.0,0.0166962,88.5617181567,20.3827450614,100,0.987285,0.166051,81.8273,100,20.3827450614,5.19995e-10,0.000135327,50000,2.41828,5.52486e-05,48.6491
nan,0.771301048344,0.6,1,87.1185811156,2.22977e-07,nan,16155.9,87.1185811156,500.0,0.00399521,87.1185811156,36.2637170678,100,0.98992,0.265884,81.3222,100,36.2637170678,8.28201e-10,0.000144054,50000,2.58109,5.52486e-05,54.2675
nan,0.859603618301,0.6,1,87.0056522588,1.92024e-07,nan,16078.0,87.0056522588,500.0,0.00338224,87.0056522588,30.1029326537,100,0.973131,0.218703,81.0323,100,30.1029326537,7.04944e-10,0.000143684,50000,2.5308,5.52486e-05,49.5593
nan,0.873573495919,0.6,1,87.6159306566,7.65684e-07,nan,16191.3,87.6159306566,500.0,0.0137294,87.6159306566,24.9977509759,100,0.990657,0.240108,81.067,100,24.9977509759,7.46797e-10,0.000189451,50000,3.39703,5.52486e-05,66.6095
nan,0.855906823692,0.6,1,86.9758752183,5.96206e-07,nan,16100.6,86.9758752183,500.0,0.0106226,86.9758752183,27.7243124851,100,0.984367,0.252172,80.694,100,27.7243124851,7.94376e-10,0.000185822,50000,3.3108,5.52486e-05,65.2397
nan,0.801472043461,0.6,1,87.7067176249,1.18292e-06,nan,16125.3,87.7067176249,500.0,0.0205767,87.7067176249,18.6094782535,100,0.961034,0.171892,81.1926,100,18.6094782535,5.68095e-10,0.00015143,50000,2.63409,5.52486e-05,49.2165
nan,0.744825769564,0.6,1,88.2617619597,7.00454e-07,nan,16234.2,88.2617619597,500.0,0.0127895,88.2617619597,23.6796230283,100,1.00878,0.177899,81.7353,100,23.6796230283,5.33612e-10,0.000148532,50000,2.71203,5.52486e-05,48.5014
nan,0.752763943553,0.6,1,87.9477993109,2.28183e-07,nan,16232.0,87.9477993109,500.0,0.00405738,87.9477993109,28.8371549513,100,0.982392,0.200557,81.6678,100,28.8371549513,6.34325e-10,0.000145977,50000,2.59566,5.52486e-05,53.0168
nan,0.872586240289,0.6,1,87.1970286198,3.61188e-07,nan,16149.3,87.1970286198,500.0,0.00631611,87.1970286198,52.5975598444,100,0.966136,0.205268,81.2028,100,52.5975598444,6.71255e-10,0.000162024,50000,2.83332,5.52486e-05,53.7074
nan,0.786323506147,0.6,1,87.9881309719,4.70984e-07,nan,16293.9,87.9881309719,500.0,0.00831201,87.9881309719,29.3277127643,100,0.975038,0.250636,81.7338,100,29.3277127643,8.04718e-10,0.000167788,50000,2.96115,5.52486e-05,61.3609
nan,0.750411445822,0.6,1,87.8822649608,3.85716e-07,nan,16320.1,87.8822649608,500.0,0.00674906,87.8822649608,52.593913243,100,0.966712,0.230512,82.0602,100,52.593913243,7.52907e-10,0.000153076,50000,2.67845,5.52486e-05,57.1344
nan,0.751265867308,0.6,1,88.2328168641,2.46002e-07,nan,16319.6,88.2328168641,500.0,0.00436597,88.2328168641,28.348534328,100,0.980535,0.239155,82.1299,100,28.348534328,7.59268e-10,0.000143224,50000,2.54189,5.52486e-05,52.2142
nan,0.782515967179,0.6,1,88.4114342611,1.38447e-06,nan,16334.6,88.4114342611,500.0,0.024967,88.4114342611,24.956075509,100,0.996333,0.238042,82.0705,100,24.956075509,7.31961e-10,0.000156639,50000,2.82478,5.52486e-05,57.8707
nan,0.759594827669,0.6,1,87.5130794352,6.89631e-09,nan,16176.6,87.5130794352,500.0,0.000119354,87.5130794352,26.5205168162,100,0.95618,0.220695,81.164,100,26.5205168162,7.3681e-10,0.000162583,50000,2.81381,5.52486e-05,57.0268
nan,0.848211649209,0.6,1,88.993318642,6.10082e-07,nan,16395.1,88.993318642,500.0,0.0108867,88.993318642,23.4883548099,100,0.985895,0.196377,82.6184,100,23.4883548099,6.16697e-10,0.00013736,50000,2.45114,5.52486e-05,49.8492
nan,0.748097364446,0.6,1,88.3411831421,1.86462e-06,nan,16234.0,88.3411831421,500.0,0.032735,88.3411831421,17.9714755792,100,0.969936,0.167564,81.7425,100,17.9714755792,5.43672e-10,0.000136483,50000,2.39608,5.52486e-05,48.1425
nan,0.767625993736,0.6,1,89.2415094939,1.51997e-06,nan,16367.2,89.2415094939,500.0,0.0271476,89.2415094939,16.5870752952,100,0.98677,0.150088,82.427,100,16.5870752952,4.70497e-10,0.000137018,50000,2.44722,5.52486e-05,46.3929
