MaxVanillaIw,VarRet,Delta,BatchSize,AvgRet,ESSClassic,MinVanillaIw,AvgVanillaIw,VarJ,AvgNormIw,AvgDiscRet,VarDiscRet,ESSRenyi,MaxNormIw,Bound,eRenyi2,EpsThisIter,MinNormIw,VarNormIw,IterType,VanillaAvgRet,VarVanillaIw,AvgEpLen,J
2.36312,4949.42388898,0.2,100,-77.9052691124,97.0410709456,0.708961,1.0117,65.538,0.01,-77.9052691124,4949.42388898,98.3461851351,0.0233579,-160.695,1.01682,100,0.00700761,3.07997e-06,1,-77.9052691124,0.0315248,109.22,-76.5675
1.42229,7263.95119138,0.2,100,-84.2225081266,99.5071752337,0.883834,0.995176,82.6496,0.01,-84.2225081266,7263.95119138,99.3139569919,0.0142918,-167.322,1.00691,100,0.00888118,5.00287e-07,1,-84.2225081266,0.00495472,116.25,-83.6058
1.1291,2578.83358625,0.2,100,-69.9390210702,98.2958843928,0.520165,0.992147,42.8017,0.01,-69.9390210702,2578.83358625,98.6051115075,0.0113804,-152.801,1.01415,100,0.00524282,1.75119e-06,1,-69.9390210702,0.017238,99.53,-68.7862
1.44472,3788.8277483,0.2,100,-73.4924356587,97.1559777572,0.30321,1.02242,48.8254,0.01,-73.4924356587,3788.8277483,96.9571552789,0.0141304,-155.122,1.03138,100,0.00296561,2.95685e-06,1,-73.4924356587,0.0309092,103.71,-70.3959
1.19312,7185.4473828,0.2,100,-86.0236536673,99.1624415921,0.490301,0.990184,81.9419,0.01,-86.0236536673,7185.4473828,99.1413689145,0.0120495,-168.685,1.00866,100,0.00495161,8.53162e-07,1,-86.0236536673,0.00836495,118.82,-84.8967
1.17666,116.030131503,0.2,100,-62.6538304184,97.2952839271,0.371091,1.02014,9.80817,0.01,-62.6538304184,116.030131503,97.1957219834,0.0115344,-82.1672,1.02885,100,0.00363766,2.80797e-06,1,-62.6538304184,0.0292219,91.24,-62.0438
2.69476,116.030131503,0.2,200,-62.6538304184,92.8372427397,0.849861,1.02496,83.9133,0.01,-86.7765199441,7114.79124627,191.479746059,0.0262913,-171.461,1.0445,100,0.00829164,7.79333e-06,,-62.6538304184,0.0818724,91.24,-86.1971
1.2089,10400.9052611,0.2,200,-95.8436116922,197.338994574,0.464498,1.01879,71.0042,0.005,-95.8436116922,10400.9052611,196.237234275,0.00593302,-137.716,1.01917,100,0.00227966,3.38809e-07,1,-95.8436116922,0.0140665,129.98,-78.1542
1.0,4950.57076617,0.2,200,-77.6532354456,100.0,1.0,1.0,70.0076,0.01,-77.6532354456,4950.57076617,200.0,0.01,-161.082,1.0,100,0.01,3.50449e-18,2,-77.6532354456,,109.01,-77.6532
1.36391,2586.12108279,0.2,200,-70.2092774868,198.508613104,0.720999,0.99683,58.1851,0.005,-70.2092774868,2586.12108279,197.839558983,0.00684123,-132.55,1.01092,100,0.00361646,1.8877e-07,1,-70.2092774868,0.00750299,100.23,-73.2357
1.0,2595.53391129,0.2,200,-72.7912554777,100.0,1.0,1.0,50.691,0.01,-72.7912554777,2595.53391129,200.0,0.01,-156.099,1.0,100,0.01,3.50449e-18,2,-72.7912554777,,103.53,-72.7913
1.67663,6077.32160701,0.2,200,-82.4711507462,197.315017804,0.890597,1.00267,60.1492,0.005,-82.4711507462,6077.32160701,197.055701316,0.00836079,-136.074,1.01494,100,0.00444111,3.41902e-07,1,-82.4711507462,0.0137493,114.52,-76.6425
1.0,6070.56942461,0.2,200,-82.8634994747,100.0,1.0,1.0,77.5233,0.01,-82.8634994747,6070.56942461,200.0,0.01,-166.292,1.0,100,0.01,3.50449e-18,2,-82.8634994747,,115.66,-82.8635
1.64003,8250.38372504,0.2,200,-89.6261590843,196.879528287,0.782029,0.993396,80.4534,0.005,-89.6261590843,8250.38372504,196.72456699,0.00825466,-144.715,1.01665,100,0.00393614,3.98235e-07,1,-89.6261590843,0.0157197,123.38,-85.2334
1.0,4964.67230006,0.2,200,-76.9739352334,100.0,1.0,1.0,70.1072,0.01,-76.9739352334,4964.67230006,200.0,0.01,-160.402,1.0,100,0.01,3.50449e-18,2,-76.9739352334,,107.79,-76.9739
