Bound,VarVanillaIw,Delta,MinVanillaIw,J,AvgRet,MinNormIw,VarDiscRet,AvgVanillaIw,IterType,MaxNormIw,VanillaAvgRet,AvgNormIw,ESSRenyi,VarJ,BatchSize,ESSClassic,AvgEpLen,AvgDiscRet,MaxVanillaIw,EpsThisIter,VarNormIw,eRenyi2,VarRet
-82.671,0.978895,0.9,3.41457e-08,-68.7723,-72.6049093534,1.74794e-10,2563.17121181,0.976742,1,0.0185686,-72.6049093534,0.005,100.08803601,25.4057,200,98.9639066202,103.38,-72.6049093534,3.62735,100,2.56517e-05,1.99824,2563.17121181
-96.6857,,0.9,1.0,-82.781,-82.7809864345,0.01,4857.17862608,1.0,2,0.01,-82.7809864345,0.01,200.0,69.3441,200,100.0,116.05,-82.7809864345,1.0,100,3.50449e-18,1.0,4857.17862608
-inf,4.35477e+12,0.9,0.275683,-54.8313,-72.6049093534,8.22506e-09,8279.6489017,167587.0,,0.873762,-72.6049093534,0.005,nan,51.0205,300,1.28800457361,103.38,-89.4896552934,2.92863e+07,100,0.00387636,nan,2563.17121181
-86.8443,0.961394,0.9,2.9455e-06,-75.4165,-86.9816963273,9.82151e-09,7157.20998555,0.999675,1,0.0140546,-86.9816963273,0.00333333,148.049168246,70.9967,300,153.154033636,119.72,-86.9816963273,4.21501,100,1.06891e-05,2.02635,7157.20998555
-97.8114,,0.9,1.0,-83.9066,-83.9066386272,0.01,6041.69859051,1.0,2,0.01,-83.9066386272,0.01,300.0,77.3388,300,100.0,116.59,-83.9066386272,1.0,100,3.50449e-18,1.0,6041.69859051
-98.0389,,0.9,1.0,-88.2068,-92.5069987524,0.005,9345.84827522,1.0,2,0.005,-92.5069987524,0.005,300.0,87.3804,300,200.000000102,126.27,-92.5069987524,1.0,100,2.1793e-19,1.0,9345.84827522
-inf,4.35343e+08,0.9,0.237247,-74.0588,-86.9816963273,4.3525e-07,9413.21945206,1816.94,,0.622844,-86.9816963273,0.00333333,nan,57.0257,400,2.26532274279,119.72,-91.6237595621,339501.0,100,0.00146523,nan,7157.20998555
-82.3201,1.56314,0.9,4.65353e-17,-71.2038,-83.0572367126,1.18094e-19,6065.93413173,0.985132,1,0.0157296,-83.0572367126,0.0025,156.4616272,73.5096,400,153.453734976,115.0,-83.0572367126,6.19828,100,1.00667e-05,2.55654,6065.93413173
-127.078,,0.9,1.0,-113.173,-113.173424247,0.01,14057.5289954,1.0,2,0.01,-113.173424247,0.01,400.0,117.97,400,100.0,150.37,-113.173424247,1.0,100,3.50449e-18,1.0,14057.5289954
-109.85,,0.9,1.0,-100.017,-86.8600780071,0.005,7132.7098278,1.0,2,0.005,-86.8600780071,0.005,400.0,103.258,400,200.000000102,119.5,-86.8600780071,1.0,100,2.1793e-19,1.0,7132.7098278
-103.664,,0.9,1.0,-95.6352,-86.8721180107,0.00333333,7170.71379485,1.0,2,0.00333333,-86.8721180107,0.00333333,400.0,97.5341,400,299.999969474,119.86,-86.8721180107,1.0,100,5.43914e-20,1.0,7170.71379485
-inf,1.15457e+30,0.9,0.161335,-82.712,-83.0572367126,7.39289e-18,3758.24037036,5.45575e+13,,0.984697,-83.0572367126,0.0025,nan,3.07025,500,1.03113745067,115.0,-77.9330389799,2.1489e+16,100,0.00242432,nan,6065.93413173
-85.0353,0.754586,0.9,0.000871019,-76.6347,-76.9138098784,1.85153e-06,3783.46216552,0.940866,1,0.0104214,-76.9138098784,0.002,273.971324976,65.915,500,270.165839998,108.49,-76.9138098784,4.90255,100,3.40968e-06,1.82501,3783.46216552
-85.7727,,0.9,1.0,-71.868,-71.868028754,0.01,2598.65178381,1.0,2,0.01,-71.868028754,0.01,500.0,50.7214,500,100.0,102.34,-71.868028754,1.0,100,3.50449e-18,1.0,2598.65178381
-90.4775,,0.9,1.0,-80.6453,-89.4226350404,0.005,8245.64644319,1.0,2,0.005,-89.4226350404,0.005,500.0,73.79,500,200.000000102,122.22,-89.4226350404,1.0,100,2.1793e-19,1.0,8245.64644319
-88.0459,,0.9,1.0,-80.018,-78.7633793302,0.00333333,4927.17770677,1.0,2,0.00333333,-78.7633793302,0.00333333,500.0,72.5033,500,299.999969474,110.5,-78.7633793302,1.0,100,5.43914e-20,1.0,4927.17770677
-86.9025,,0.9,1.0,-79.9501,-79.7465461203,0.0025,4917.69575203,1.0,2,0.0025,-79.7465461203,0.0025,500.0,71.831,500,400.0,111.35,-79.7465461203,1.0,100,5.4346e-20,1.0,4917.69575203
-83.5975,1.25549,0.9,3.05447e-09,-73.7466,-79.328184796,6.79954e-12,4956.58013026,0.898435,1,0.0148089,-79.328184796,0.002,199.240130229,63.5626,500,195.903200728,111.04,-79.328184796,6.6524,100,6.22156e-06,2.50953,4956.58013026
-115.679,,0.9,1.0,-101.774,-101.774011652,0.01,11335.3020785,1.0,2,0.01,-101.774011652,0.01,500.0,105.934,500,100.0,137.01,-101.774011652,1.0,100,3.50449e-18,1.0,11335.3020785
-96.5616,,0.9,1.0,-86.7294,-71.684797473,0.005,2564.24013593,1.0,2,0.005,-71.684797473,0.005,500.0,84.3007,500,200.000000102,102.1,-71.684797473,1.0,100,2.1793e-19,1.0,2564.24013593
-93.771,,0.9,1.0,-85.7431,-83.7704161321,0.00333333,6018.30107382,1.0,2,0.00333333,-83.7704161321,0.00333333,500.0,82.0105,500,299.999969474,117.06,-83.7704161321,1.0,100,5.43914e-20,1.0,6018.30107382
-94.6665,,0.9,1.0,-87.7141,-93.6273500666,0.0025,9323.66538521,1.0,2,0.0025,-93.6273500666,0.0025,500.0,85.8112,500,400.0,127.6,-93.6273500666,1.0,100,5.4346e-20,1.0,9323.66538521
-85.9994,3.08057,0.9,4.42588e-20,-74.0363,-79.4842017561,8.0455e-23,4963.00820177,1.10021,1,0.0123661,-79.4842017561,0.002,135.093610123,73.5602,500,141.249247859,111.67,-79.4842017561,6.8027,100,1.01797e-05,3.70114,4963.00820177
-109.827,,0.9,1.0,-95.9222,-95.9221811412,0.01,10412.9016339,1.0,2,0.01,-95.9221811412,0.01,500.0,101.532,500,100.0,130.3,-95.9221811412,1.0,100,3.50449e-18,1.0,10412.9016339
-110.663,,0.9,1.0,-100.831,-105.739622628,0.005,12209.8250596,1.0,2,0.005,-105.739622628,0.005,500.0,105.936,500,200.000000102,142.26,-105.739622628,1.0,100,2.1793e-19,1.0,12209.8250596
-104.16,,0.9,1.0,-96.1322,-86.7346550767,0.00333333,7191.59565988,1.0,2,0.00333333,-86.7346550767,0.00333333,500.0,99.4934,500,299.999969474,119.58,-86.7346550767,1.0,100,5.43914e-20,1.0,7191.59565988
-98.7135,,0.9,1.0,-91.7612,-78.6482701859,0.0025,4944.02236928,1.0,2,0.0025,-78.6482701859,0.0025,500.0,93.3015,500,400.0,109.95,-78.6482701859,1.0,100,5.4346e-20,1.0,4944.02236928
-95.5145,0.434796,0.9,0.194722,-88.0087,-86.5275195763,0.000371354,7161.71633247,1.04871,1,0.00757029,-86.5275195763,0.002,343.190045101,94.7115,500,358.537971342,119.52,-86.5275195763,3.96952,100,1.58137e-06,1.45692,7161.71633247
-109.0,,0.9,1.0,-95.0955,-95.095511363,0.01,9285.03468196,1.0,2,0.01,-95.095511363,0.01,500.0,95.8759,500,100.0,129.14,-95.095511363,1.0,100,3.50449e-18,1.0,9285.03468196
-97.4605,,0.9,1.0,-87.6283,-80.1610881095,0.005,4914.2215712,1.0,2,0.005,-80.1610881095,0.005,500.0,84.1688,500,200.000000102,112.48,-80.1610881095,1.0,100,2.1793e-19,1.0,4914.2215712
-92.1333,,0.9,1.0,-84.1054,-77.0594634196,0.00333333,3736.89555669,1.0,2,0.00333333,-77.0594634196,0.00333333,500.0,77.3364,500,299.999969474,109.15,-77.0594634196,1.0,100,5.43914e-20,1.0,3736.89555669
-95.4051,,0.9,1.0,-88.452,-101.492105327,0.0025,11282.7269153,1.0,2,0.0025,-101.492105327,0.0025,500.0,85.6437,500,400.0,137.13,-101.492105327,1.0,100,5.4346e-20,1.0,11282.7269153
-86.4071,4.58324,0.9,2.27228e-23,-70.9606,-89.4058879718,4.89185e-26,8256.75117832,0.929007,1,0.0242076,-89.4058879718,0.002,81.049628304,76.6463,500,79.3668376119,122.95,-89.4058879718,11.2445,100,2.12419e-05,6.16906,8256.75117832
-86.4846,,0.9,1.0,-72.5801,-72.5800612193,0.01,2572.37532227,1.0,2,0.01,-72.5800612193,0.01,500.0,50.4644,500,100.0,103.21,-72.5800612193,1.0,100,3.50449e-18,1.0,2572.37532227
-87.1252,,0.9,1.0,-77.2932,-82.0063441963,0.005,4890.32213373,1.0,2,0.005,-82.0063441963,0.005,500.0,60.961,500,200.000000102,114.63,-82.0063441963,1.0,100,2.1793e-19,1.0,4890.32213373
-90.2861,,0.9,1.0,-82.2582,-92.1883143117,0.00333333,9353.363162,1.0,2,0.00333333,-92.1883143117,0.00333333,500.0,74.9227,500,299.999969474,125.65,-92.1883143117,1.0,100,5.43914e-20,1.0,9353.363162
-92.2368,,0.9,1.0,-85.2844,-94.3630720259,0.0025,9257.91402094,1.0,2,0.0025,-94.3630720259,0.0025,500.0,80.8014,500,400.0,128.44,-94.3630720259,1.0,100,5.4346e-20,1.0,9257.91402094
-87.8369,1.19942,0.9,0.00568752,-78.5721,-83.8054730371,1.11518e-05,6031.32974628,1.02002,1,0.016472,-83.8054730371,0.002,225.244090725,75.5219,500,232.504264108,116.69,-83.8054730371,8.40089,100,4.61122e-06,2.21981,6031.32974628
-110.959,,0.9,1.0,-97.054,-97.053997509,0.01,10373.764413,1.0,2,0.01,-97.053997509,0.01,500.0,101.341,500,100.0,131.69,-97.053997509,1.0,100,3.50449e-18,1.0,10373.764413
-97.7191,,0.9,1.0,-87.887,-78.7199223283,0.005,4940.19219629,1.0,2,0.005,-78.7199223283,0.005,500.0,87.5468,500,200.000000102,110.82,-78.7199223283,1.0,100,2.1793e-19,1.0,4940.19219629
-99.0971,,0.9,1.0,-91.0692,-97.4336233039,0.00333333,10337.7717923,1.0,2,0.00333333,-97.4336233039,0.00333333,500.0,92.4194,500,299.999969474,132.34,-97.4336233039,1.0,100,5.43914e-20,1.0,10337.7717923
-93.8929,,0.9,1.0,-86.9405,-74.554429062,0.0025,3775.52193493,1.0,2,0.0025,-74.554429062,0.0025,500.0,85.9743,500,400.0,105.35,-74.554429062,1.0,100,5.4346e-20,1.0,3775.52193493
-92.459,0.267926,0.9,0.150701,-85.4611,-90.3759331203,0.000308817,8291.51865254,0.975987,1,0.0136112,-90.3759331203,0.002,394.804991389,86.2728,500,390.408717598,123.46,-90.3759331203,6.64219,100,1.12509e-06,1.26645,8291.51865254
-86.0249,,0.9,1.0,-72.1396,-72.1395860942,0.01,2572.72299974,1.0,2,0.01,-72.1395860942,0.01,500.0,50.4678,500,100.0,103.0,-72.1395860942,1.0,100,3.50449e-18,1.0,2572.72299974
-83.1302,,0.9,1.0,-73.3009,-74.4621584265,0.005,3747.31906568,1.0,2,0.005,-74.4621584265,0.005,500.0,55.9443,500,200.000000102,105.45,-74.4621584265,1.0,100,2.1793e-19,1.0,3747.31906568
-84.327,,0.9,1.0,-76.2991,-82.2955451089,0.00333333,4828.54519127,1.0,2,0.00333333,-82.2955451089,0.00333333,500.0,60.8105,500,299.999969474,115.61,-82.2955451089,1.0,100,5.43914e-20,1.0,4828.54519127
-83.2689,,0.9,1.0,-76.3165,-76.3687531821,0.0025,3774.78972145,1.0,2,0.0025,-76.3687531821,0.0025,500.0,60.8908,500,400.0,108.14,-76.3687531821,1.0,100,5.4346e-20,1.0,3774.78972145
-81.5932,1.53847,0.9,1.25016e-17,-71.5823,-80.8522002076,2.46275e-20,4886.78047192,1.01526,1,0.00951906,-80.8522002076,0.002,192.921694464,61.7512,500,200.835498451,113.63,-80.8522002076,4.83214,100,5.97034e-06,2.59173,4886.78047192
-99.4572,,0.9,1.0,-85.5545,-85.5544732411,0.01,7221.30794579,1.0,2,0.01,-85.5544732411,0.01,500.0,84.5523,500,100.0,117.99,-85.5544732411,1.0,100,3.50449e-18,1.0,7221.30794579
-93.4431,,0.9,1.0,-83.611,-81.6674930781,0.005,4859.24964679,1.0,2,0.005,-81.6674930781,0.005,500.0,77.3541,500,200.000000102,114.51,-81.6674930781,1.0,100,2.1793e-19,1.0,4859.24964679
-88.4339,,0.9,1.0,-80.406,-73.9961514108,0.00333333,2582.80556307,1.0,2,0.00333333,-73.9961514108,0.00333333,500.0,69.7278,500,299.999969474,104.51,-73.9961514108,1.0,100,5.43914e-20,1.0,2582.80556307
-89.6582,,0.9,1.0,-82.7059,-89.6054442792,0.0025,8269.36816034,1.0,2,0.0025,-89.6054442792,0.0025,500.0,75.558,500,400.0,123.28,-89.6054442792,1.0,100,5.4346e-20,1.0,8269.36816034
-78.9901,2.46045,0.9,,-67.1121,-78.9186387803,,4935.51044999,0.899003,1,0.0135406,-78.9186387803,0.002,137.037696292,32.4431,500,123.816273391,110.91,-78.9186387803,6.08651,100,1.21773e-05,3.64863,4935.51044999
-93.4382,,0.9,1.0,-79.5336,-79.5336053702,0.01,4915.06250547,1.0,2,0.01,-79.5336053702,0.01,500.0,69.7561,500,100.0,111.92,-79.5336053702,1.0,100,3.50449e-18,1.0,4915.06250547
-90.6767,,0.9,1.0,-80.8447,-82.1557209329,0.005,6069.22065962,1.0,2,0.005,-82.1557209329,0.005,500.0,73.7492,500,200.000000102,114.55,-82.1557209329,1.0,100,2.1793e-19,1.0,6069.22065962
-89.5634,,0.9,1.0,-81.5355,-82.9171375662,0.00333333,4844.33086249,1.0,2,0.00333333,-82.9171375662,0.00333333,500.0,72.2879,500,299.999969474,116.62,-82.9171375662,1.0,100,5.43914e-20,1.0,4844.33086249
-86.8478,,0.9,1.0,-79.8954,-74.9751342659,0.0025,3774.71675808,1.0,2,0.0025,-74.9751342659,0.0025,500.0,69.7242,500,400.0,106.02,-74.9751342659,1.0,100,5.4346e-20,1.0,3774.71675808
-83.5035,9.03592,0.9,0.474229,-75.3497,-81.7440921424,0.000794065,6063.07352457,1.19443,1,0.105312,-81.7440921424,0.002,290.805398382,79.3109,500,68.2976300646,113.74,-81.7440921424,62.894,100,2.53343e-05,1.71936,6063.07352457
-92.2076,,0.9,1.0,-78.3031,-78.3031454825,0.01,3686.32677056,1.0,2,0.01,-78.3031454825,0.01,500.0,60.4108,500,100.0,111.08,-78.3031454825,1.0,100,3.50449e-18,1.0,3686.32677056
-94.7721,,0.9,1.0,-84.9402,-91.577267087,0.005,8156.82236966,1.0,2,0.005,-91.577267087,0.005,500.0,76.8532,500,200.000000102,125.58,-91.577267087,1.0,100,2.1793e-19,1.0,8156.82236966
-93.83,,0.9,1.0,-85.8021,-87.5258616219,0.00333333,7161.35133103,1.0,2,0.00333333,-87.5258616219,0.00333333,500.0,79.3873,500,299.999969474,120.86,-87.5258616219,1.0,100,5.43914e-20,1.0,7161.35133103
-91.2605,,0.9,1.0,-84.3081,-79.8262156878,0.0025,4921.95021016,1.0,2,0.0025,-79.8262156878,0.0025,500.0,77.1468,500,400.0,111.8,-79.8262156878,1.0,100,5.4346e-20,1.0,4921.95021016
-82.3906,8.55665,0.9,,-63.5247,-67.1042150284,,175.180164265,1.06886,1,0.0261178,-67.1042150284,0.002,54.3208157406,32.2344,500,58.9988300006,97.22,-67.1042150284,13.9581,100,2.99589e-05,9.20457,175.180164265
-107.843,,0.9,1.0,-93.9382,-93.9381611688,0.01,9288.55448759,1.0,2,0.01,-93.9381611688,0.01,500.0,95.8941,500,100.0,127.9,-93.9381611688,1.0,100,3.50449e-18,1.0,9288.55448759
-96.1891,,0.9,1.0,-86.357,-78.7757710993,0.005,4949.19137494,1.0,2,0.005,-78.7757710993,0.005,500.0,84.2921,500,200.000000102,109.95,-78.7757710993,1.0,100,2.1793e-19,1.0,4949.19137494
-92.3764,,0.9,1.0,-84.3485,-80.3314925408,0.00333333,4879.49070526,1.0,2,0.00333333,-80.3314925408,0.00333333,500.0,79.7187,500,299.999969474,112.91,-80.3314925408,1.0,100,5.43914e-20,1.0,4879.49070526
-90.0781,,0.9,1.0,-83.1257,-79.4574265017,0.0025,4969.50256926,1.0,2,0.0025,-79.4574265017,0.0025,500.0,77.4645,500,400.0,110.84,-79.4574265017,1.0,100,5.4346e-20,1.0,4969.50256926
-84.8233,2.88595,0.9,2.53712e-07,-73.143,-82.6202526236,4.58195e-10,6038.24321485,1.10744,1,0.0140154,-82.6202526236,0.002,141.717432677,76.0212,500,149.323227219,114.86,-82.6202526236,7.76059,100,9.4126e-06,3.52815,6038.24321485
-101.192,,0.9,1.0,-87.2869,-87.2869148333,0.01,7151.82896098,1.0,2,0.01,-87.2869148333,0.01,500.0,84.1446,500,100.0,120.3,-87.2869148333,1.0,100,3.50449e-18,1.0,7151.82896098
-98.1453,,0.9,1.0,-88.3131,-89.3393199746,0.005,8307.59943946,1.0,2,0.005,-89.3393199746,0.005,500.0,87.4841,500,200.000000102,122.33,-89.3393199746,1.0,100,2.1793e-19,1.0,8307.59943946
-95.1999,,0.9,1.0,-87.172,-84.8897236775,0.00333333,5967.91990146,1.0,2,0.00333333,-84.8897236775,0.00333333,500.0,84.109,500,299.999969474,118.24,-84.8897236775,1.0,100,5.43914e-20,1.0,5967.91990146
-92.8132,,0.9,1.0,-85.8608,-81.9272413978,0.0025,6097.53556105,1.0,2,0.0025,-81.9272413978,0.0025,500.0,82.5836,500,400.0,114.11,-81.9272413978,1.0,100,5.4346e-20,1.0,6097.53556105
-84.7508,4.41373,0.9,9.51305e-33,-70.0629,-86.3987452699,1.90584e-35,7164.23789176,0.998305,1,0.0208929,-86.3987452699,0.002,89.6205934821,93.2902,500,92.2530878633,119.42,-86.3987452699,10.4287,100,1.77149e-05,5.57907,7164.23789176
-113.233,,0.9,1.0,-99.3283,-99.3282654764,0.01,10219.1883026,1.0,2,0.01,-99.3282654764,0.01,500.0,100.583,500,100.0,134.5,-99.3282654764,1.0,100,3.50449e-18,1.0,10219.1883026
-99.1722,,0.9,1.0,-89.3401,-79.3519355139,0.005,4913.79194543,1.0,2,0.005,-79.3519355139,0.005,500.0,87.124,500,200.000000102,111.58,-79.3519355139,1.0,100,2.1793e-19,1.0,4913.79194543
-102.178,,0.9,1.0,-94.1501,-103.77023324,0.00333333,11161.7422925,1.0,2,0.00333333,-103.77023324,0.00333333,500.0,93.7552,500,299.999969474,139.78,-103.77023324,1.0,100,5.43914e-20,1.0,11161.7422925
-99.2926,,0.9,1.0,-92.3402,-86.9103530255,0.0025,7103.5870012,1.0,2,0.0025,-86.9103530255,0.0025,500.0,91.4357,500,400.0,120.91,-86.9103530255,1.0,100,5.4346e-20,1.0,7103.5870012
-89.8389,10.7953,0.9,,-66.6254,-87.1095931214,,7158.1560451,0.86364,1,0.0533859,-87.1095931214,0.002,35.8794207616,87.6325,500,32.3741104082,120.62,-87.1095931214,23.0531,100,5.78936e-05,13.9356,7158.1560451
-101.306,,0.9,1.0,-87.4012,-87.4011561127,0.01,7122.60584562,1.0,2,0.01,-87.4011561127,0.01,500.0,83.9725,500,100.0,120.79,-87.4011561127,1.0,100,3.50449e-18,1.0,7122.60584562
-96.972,,0.9,1.0,-87.1399,-86.8786601575,0.005,7169.71868229,1.0,2,0.005,-86.8786601575,0.005,500.0,84.1116,500,200.000000102,120.25,-86.8786601575,1.0,100,2.1793e-19,1.0,7169.71868229
-92.1103,,0.9,1.0,-84.0824,-77.9674880408,0.00333333,4937.58167219,1.0,2,0.00333333,-77.9674880408,0.00333333,500.0,79.7785,500,299.999969474,109.77,-77.9674880408,1.0,100,5.43914e-20,1.0,4937.58167219
-88.5493,,0.9,1.0,-81.5969,-74.1404729722,0.0025,3767.3993707,1.0,2,0.0025,-74.1404729722,0.0025,500.0,75.6599,500,400.0,105.44,-74.1404729722,1.0,100,5.4346e-20,1.0,3767.3993707
-87.251,0.186214,0.9,0.00267169,-80.4866,-84.1177349122,5.44734e-06,6052.64352352,0.980915,1,0.00327089,-84.1177349122,0.002,422.535784495,80.2705,500,419.060788654,116.67,-84.1177349122,1.60423,100,7.74124e-07,1.18333,6052.64352352
-101.743,,0.9,1.0,-87.8391,-87.8390573965,0.01,7107.89922923,1.0,2,0.01,-87.8390573965,0.01,500.0,83.8858,500,100.0,121.42,-87.8390573965,1.0,100,3.50449e-18,1.0,7107.89922923
-104.306,,0.9,1.0,-94.4741,-101.1091673,0.005,11306.7073936,1.0,2,0.005,-101.1091673,0.005,500.0,95.704,500,200.000000102,136.73,-101.1091673,1.0,100,2.1793e-19,1.0,11306.7073936
-101.067,,0.9,1.0,-93.0396,-90.1704536566,0.00333333,8300.94116684,1.0,2,0.00333333,-90.1704536566,0.00333333,500.0,94.0723,500,299.999969474,123.41,-90.1704536566,1.0,100,5.43914e-20,1.0,8300.94116684
-99.4135,,0.9,1.0,-92.4612,-90.7259392503,0.0025,8244.31497851,1.0,2,0.0025,-90.7259392503,0.0025,500.0,93.1594,500,400.0,124.94,-90.7259392503,1.0,100,5.4346e-20,1.0,8244.31497851
-90.4585,3.12649,0.9,1.0074e-06,-76.954,-87.1645495017,2.01663e-09,7096.39665179,0.999089,1,0.0202686,-87.1645495017,0.002,106.015587054,88.8162,500,121.184733853,120.62,-87.1645495017,10.125,100,1.25288e-05,4.71629,7096.39665179
-99.6127,,0.9,1.0,-85.7081,-85.708129883,0.01,7193.43610264,1.0,2,0.01,-85.708129883,0.01,500.0,84.389,500,100.0,118.15,-85.708129883,1.0,100,3.50449e-18,1.0,7193.43610264
-96.0666,,0.9,1.0,-86.2345,-86.760837301,0.005,7141.34867829,1.0,2,0.005,-86.760837301,0.005,500.0,84.2377,500,200.000000102,120.23,-86.760837301,1.0,100,2.1793e-19,1.0,7141.34867829
-92.2446,,0.9,1.0,-84.2167,-80.1812534168,0.00333333,4921.45253976,1.0,2,0.00333333,-80.1812534168,0.00333333,500.0,79.7677,500,299.999969474,111.4,-80.1812534168,1.0,100,5.43914e-20,1.0,4921.45253976
-92.3842,,0.9,1.0,-85.4318,-89.0771611859,0.0025,8299.62240989,1.0,2,0.0025,-89.0771611859,0.0025,500.0,82.6484,500,400.0,122.02,-89.0771611859,1.0,100,5.4346e-20,1.0,8299.62240989
-86.9146,0.329907,0.9,0.00686623,-79.5135,-76.4229947014,1.41012e-05,3772.39831271,0.973851,1,0.0101614,-76.4229947014,0.002,352.972551515,77.9214,500,371.149466927,107.74,-76.4229947014,4.94783,100,1.39144e-06,1.41654,3772.39831271
-91.0238,,0.9,1.0,-77.1192,-77.1191910438,0.01,3735.3640098,1.0,2,0.01,-77.1191910438,0.01,500.0,60.8113,500,100.0,108.96,-77.1191910438,1.0,100,3.50449e-18,1.0,3735.3640098
-93.8908,,0.9,1.0,-84.0587,-90.9981787483,0.005,8180.69277462,1.0,2,0.005,-90.9981787483,0.005,500.0,77.1142,500,200.000000102,125.1,-90.9981787483,1.0,100,2.1793e-19,1.0,8180.69277462
-92.6714,,0.9,1.0,-84.6435,-85.8129866591,0.00333333,7178.84127202,1.0,2,0.00333333,-85.8129866591,0.00333333,500.0,79.5871,500,299.999969474,118.35,-85.8129866591,1.0,100,5.43914e-20,1.0,7178.84127202
-91.6341,,0.9,1.0,-84.6817,-84.7964385107,0.0025,7234.93555832,1.0,2,0.0025,-84.7964385107,0.0025,500.0,80.8779,500,400.0,117.02,-84.7964385107,1.0,100,5.4346e-20,1.0,7234.93555832
-83.5159,4.39095,0.9,0.412696,-77.2974,-90.8361240424,0.000822582,8217.72808625,1.00342,1,0.0801094,-90.8361240424,0.002,499.99409921,54.2577,500,93.4164315817,124.47,-90.8361240424,40.1916,100,1.74444e-05,1.00001,8217.72808625
-113.633,,0.9,1.0,-99.7288,-99.7287858915,0.01,11407.3636824,1.0,2,0.01,-99.7287858915,0.01,500.0,106.27,500,100.0,134.47,-99.7287858915,1.0,100,3.50449e-18,1.0,11407.3636824
