AvgEpLen,MaxVanillaIw,VarNormIw,EpsThisIter,Bound,eRenyi2,VarRet,MaxNormIw,VarDiscRet,MinVanillaIw,AvgNormIw,VarJ,VanillaAvgRet,AvgRet,AvgDiscRet,Delta,VarVanillaIw,AvgVanillaIw,J,ESSClassic,IterType,MinNormIw,BatchSize,ESSRenyi
30.24,0.00022302494,0.0014772008,100,4894.7563,38114.11,266058.4722793251,0.85341424,266058.4722793251,,0.0020000006,2464.5469,292.29343000597584,292.29343000597584,292.29343000597584,1.0,1.0088501e-10,5.226652e-07,4894.7563,1.3529545204363553,1,,500,0.013118501473576674
477.89,1.0,3.5044917e-18,100,4777.749,1.0,658025.0106354193,0.01,658025.0106354193,1.0,0.009999998,807.1212,4777.749478229411,4777.749478229411,4777.749478229411,1.0,,1.0,4777.749,100.0,2,0.01,500,500.0
480.56,1.0,2.179301e-19,100,4791.325,1.0,760485.9567147179,0.005,760485.9567147179,1.0,0.0049999994,838.0616,4804.900998454038,4804.900998454038,4804.900998454038,1.0,,1.0,4791.325,200.00000010221265,2,0.005,500,500.0
483.18,1.0,5.4391416e-20,100,4804.532,1.0,567083.2734835967,0.0033333334,567083.2734835967,1.0,0.0033333336,809.76404,4830.947160162374,4830.947160162374,4830.947160162374,1.0,,1.0,4804.532,299.999969473632,2,0.0033333334,500,500.0
473.61,1.0,5.434597e-20,100,4787.125,1.0,876668.059410254,0.0025,876668.059410254,1.0,0.0024999997,842.4208,4734.903644840087,4734.903644840087,4734.903644840087,1.0,,1.0,4787.125,400.0,2,0.0025,500,500.0
484.37,6.6286044e-25,0.0019999999,100,4999.979,1263909200000.0,528432.3264903442,1.0,528432.3264903442,,0.002,,4843.009079800985,4843.009079800985,4843.009079800985,1.0,,1.3257209e-27,4999.979,inf,1,,500,3.9559803568950797e-10
18.2,1.0,3.5044917e-18,100,171.92365,1.0,49631.12348993033,0.01,49631.12348993033,1.0,0.009999998,221.66374,171.92364638904652,171.92364638904652,171.92364638904652,1.0,,1.0,171.92365,100.0,2,0.01,500,500.0
19.39,1.0,2.179301e-19,100,177.87173,1.0,29300.08279685699,0.005,29300.08279685699,1.0,0.0049999994,197.75319,183.81981527335157,183.81981527335157,183.81981527335157,1.0,,1.0,177.87173,200.00000010221265,2,0.005,500,500.0
21.2,1.0,5.4391416e-20,100,185.9223,1.0,245476.01635335208,0.0033333334,245476.01635335208,1.0,0.0033333336,327.4257,202.0234804786474,202.0234804786474,202.0234804786474,1.0,,1.0,185.9223,299.999969473632,2,0.0033333334,500,500.0
17.24,1.0,5.434597e-20,100,180.0225,1.0,23159.416522545132,0.0025,23159.416522545132,1.0,0.0024999997,293.66998,162.32311977281222,162.32311977281222,162.32311977281222,1.0,,1.0,180.0225,400.0,2,0.0025,500,500.0
18.52,4.5299525e-06,0.0019999305,100,4999.765,1588113.0,15510.531467585517,0.9999827,15510.531467585517,,0.0020000003,2.0387602,175.12345802447592,175.12345802447592,175.12345802447592,1.0,4.1040925e-14,9.060061e-09,4999.765,1.0000345333505305,1,,500,0.0003148390574222363
490.11,1.0,3.5044917e-18,100,4900.8545,1.0,486121.78616205964,0.01,486121.78616205964,1.0,0.009999998,693.7295,4900.854394309133,4900.854394309133,4900.854394309133,1.0,,1.0,4900.8545,100.0,2,0.01,500,500.0
495.02,1.0,2.179301e-19,100,4925.451,1.0,248997.86625091406,0.005,248997.86625091406,1.0,0.0049999994,603.72943,4950.0492046034815,4950.0492046034815,4950.0492046034815,1.0,,1.0,4925.451,200.00000010221265,2,0.005,500,500.0
495.11,1.0,5.4391416e-20,100,4933.953,1.0,240106.54715584478,0.0033333334,240106.54715584478,1.0,0.0033333336,567.7786,4950.955711944625,4950.955711944625,4950.955711944625,1.0,,1.0,4933.953,299.999969473632,2,0.0033333334,500,500.0
495.01,1.0,5.434597e-20,100,4937.953,1.0,249995.16688871002,0.0025,249995.16688871002,1.0,0.0024999997,551.0909,4949.952125990626,4949.952125990626,4949.952125990626,1.0,,1.0,4937.953,400.0,2,0.0025,500,500.0
485.03,117.73703,9.459454e-05,100,4976.8726,inf,734835.479390024,0.20803742,734835.479390024,4.980714e-12,0.002,299.62912,4849.957073619617,4849.957073619617,4849.957073619617,1.0,30.297682,1.1318831,4976.8726,20.3240950990808,1,8.800757e-15,500,
490.02,1.0,3.5044917e-18,100,4899.955,1.0,494940.43626990134,0.01,494940.43626990134,1.0,0.009999998,699.9936,4899.95515007242,4899.95515007242,4899.95515007242,1.0,,1.0,4899.955,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4949.957,1.0,0.001927584030080692,0.005,0.001927584030080692,1.0,0.0049999994,497.48944,4999.959160260875,4999.959160260875,4999.959160260875,1.0,,1.0,4949.957,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4949.9575,1.0,249995.5929023676,0.0033333334,249995.5929023676,1.0,0.0033333336,497.48944,4949.95635261216,4949.95635261216,4949.95635261216,1.0,,1.0,4949.9575,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4962.456,1.0,0.002095708788181659,0.0025,0.002095708788181659,1.0,0.0024999997,431.38196,4999.953193375209,4999.953193375209,4999.953193375209,1.0,,1.0,4962.456,400.0,2,0.0025,500,500.0
485.15,806.328,0.0018519518,100,4999.9966,7930.503,723195.8130831874,0.9618089,723195.8130831874,,0.0020000003,0.017940644,4851.159969140247,4851.159969140247,4851.159969140247,1.0,1301.594,1.6766907,4999.9966,1.0797692663498328,1,,500,0.06304770383833683
495.01,1.0,3.5044917e-18,100,4949.964,1.0,249996.39651454162,0.01,249996.39651454162,1.0,0.009999998,497.4901,4949.96431342696,4949.96431342696,4949.96431342696,1.0,,1.0,4949.964,100.0,2,0.01,500,500.0
485.03,1.0,2.179301e-19,100,4899.9653,1.0,734838.378799965,0.005,734838.378799965,1.0,0.0049999994,699.99506,4849.966644878958,4849.966644878958,4849.966644878958,1.0,,1.0,4899.9653,200.00000010221265,2,0.005,500,500.0
495.02,1.0,5.4391416e-20,100,4916.665,1.0,248999.15111161102,0.0033333334,248999.15111161102,1.0,0.0033333336,639.8355,4950.062935701556,4950.062935701556,4950.062935701556,1.0,,1.0,4916.665,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4937.4893,1.0,0.0014323871679531338,0.0025,0.0014323871679531338,1.0,0.0024999997,555.28644,4999.963358256304,4999.963358256304,4999.963358256304,1.0,,1.0,4937.4893,400.0,2,0.0025,500,500.0
500.0,4.805218e-07,0.0011445534,100,4999.978,inf,0.0016167729221735212,0.6912323,0.0016167729221735212,,0.002,0.16418593,4999.959288071849,4999.959288071849,4999.959288071849,1.0,5.531133e-16,1.3903337e-09,4999.978,1.7447978889751834,1,,500,
490.02,1.0,3.5044917e-18,100,4899.9688,1.0,494943.1389882679,0.01,494943.1389882679,1.0,0.009999998,699.9955,4899.968533806571,4899.968533806571,4899.968533806571,1.0,,1.0,4899.9688,100.0,2,0.01,500,500.0
495.01,1.0,2.179301e-19,100,4924.968,1.0,249996.62181264063,0.005,249996.62181264063,1.0,0.0049999994,607.7583,4949.966543823874,4949.966543823874,4949.966543823874,1.0,,1.0,4924.968,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4933.2983,1.0,249996.01389988215,0.0033333334,249996.01389988215,1.0,0.0033333336,573.4843,4949.960520121214,4949.960520121214,4949.960520121214,1.0,,1.0,4933.2983,299.999969473632,2,0.0033333334,500,500.0
490.02,1.0,5.434597e-20,100,4924.967,1.0,494943.2618313488,0.0025,494943.2618313488,1.0,0.0024999997,607.7582,4899.969138891122,4899.969138891122,4899.969138891122,1.0,,1.0,4924.967,400.0,2,0.0025,500,500.0
495.01,35.157555,0.0019973519,100,4999.997,5189420.0,249996.50230177786,0.9993388,249996.50230177786,,0.0020000003,0.010927512,4949.965359686474,4949.965359686474,4949.965359686474,1.0,2.4721026,0.07036164,4999.997,1.0013233047832737,1,,500,9.634988110424672e-05
490.03,1.0,3.5044917e-18,100,4900.0635,1.0,493955.214051616,0.01,493955.214051616,1.0,0.009999998,699.2965,4900.063469727025,4900.063469727025,4900.063469727025,1.0,,1.0,4900.0635,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4950.0146,1.0,0.0013228027602743189,0.005,0.0013228027602743189,1.0,0.0049999994,496.99393,4999.966007210476,4999.966007210476,4999.966007210476,1.0,,1.0,4950.0146,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4966.666,1.0,0.001072761301641466,0.0033333334,0.001072761301641466,1.0,0.0033333336,406.47644,4999.966680056345,4999.966680056345,4999.966680056345,1.0,,1.0,4966.666,299.999969473632,2,0.0033333334,500,500.0
495.01,1.0,5.434597e-20,100,4962.49,1.0,249996.52772920323,0.0025,249996.52772920323,1.0,0.0024999997,431.096,4949.965610688131,4949.965610688131,4949.965610688131,1.0,,1.0,4962.49,400.0,2,0.0025,500,500.0
500.0,31.907871,2.3041304e-05,100,4999.8794,245.50209,0.001305007476391027,0.06358497,0.001305007476391027,5.2888836e-08,0.002,1.6192496,4999.966907246014,4999.966907246014,4999.966907246014,1.0,5.802215,1.0036294,4999.8794,74.08718943950448,1,1.0539515e-10,500,2.0366425356100124
480.05,1.0,3.5044917e-18,100,4800.0635,1.0,968715.5132629981,0.01,968715.5132629981,1.0,0.009999998,979.2999,4800.0632831499815,4800.0632831499815,4800.0632831499815,1.0,,1.0,4800.0635,100.0,2,0.01,500,500.0
490.04,1.0,2.179301e-19,100,4850.115,1.0,492968.7803976882,0.005,492968.7803976882,1.0,0.0049999994,852.07916,4900.166194539105,4900.166194539105,4900.166194539105,1.0,,1.0,4850.115,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4900.064,1.0,0.0014529027903856036,0.0033333334,0.0014529027903856036,1.0,0.0033333336,699.29663,4999.963242182208,4999.963242182208,4999.963242182208,1.0,,1.0,4900.064,299.999969473632,2,0.0033333334,500,500.0
495.02,1.0,5.434597e-20,100,4912.5635,1.0,248999.0363481236,0.0025,248999.0363481236,1.0,0.0024999997,654.8723,4950.062484547214,4950.062484547214,4950.062484547214,1.0,,1.0,4912.5635,400.0,2,0.0025,500,500.0
480.05,2.4342256e-07,0.0019999947,100,4999.9976,8.166255e+16,968717.8423349516,0.9999987,968717.8423349516,,0.002,0.010918287,4800.069336501783,4800.069336501783,4800.069336501783,1.0,1.185091e-16,4.8684573e-10,4999.9976,1.00000256869373,1,,500,6.122757641970104e-15
495.01,1.0,3.5044917e-18,100,4949.966,1.0,249996.55085454753,0.01,249996.55085454753,1.0,0.009999998,497.49026,4949.965841878504,4949.965841878504,4949.965841878504,1.0,,1.0,4949.966,100.0,2,0.01,500,500.0
480.07,1.0,2.179301e-19,100,4875.1113,1.0,966779.598070365,0.005,966779.598070365,1.0,0.0049999994,779.68414,4800.257298963118,4800.257298963118,4800.257298963118,1.0,,1.0,4875.1113,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4916.7305,1.0,0.001047479655416553,0.0033333334,0.001047479655416553,1.0,0.0033333336,639.32446,4999.967279896032,4999.967279896032,4999.967279896032,1.0,,1.0,4916.7305,299.999969473632,2,0.0033333334,500,500.0
495.02,1.0,5.434597e-20,100,4925.0625,1.0,248999.0239033039,0.0025,248999.0239033039,1.0,0.0024999997,606.9492,4950.060255061984,4950.060255061984,4950.060255061984,1.0,,1.0,4925.0625,400.0,2,0.0025,500,500.0
495.01,11.134108,7.80836e-06,100,4983.4355,inf,249995.69913597044,0.023599641,249995.69913597044,3.9338874e-09,0.0020000003,228.34047,4949.957401307235,4949.957401307235,4949.957401307235,1.0,1.7380403,0.9435828,4983.4355,169.59580850443797,1,8.338193e-12,500,
495.01,1.0,3.5044917e-18,100,4949.9595,1.0,249995.92892971417,0.01,249995.92892971417,1.0,0.009999998,497.48962,4949.959681244845,4949.959681244845,4949.959681244845,1.0,,1.0,4949.9595,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4974.96,1.0,0.0018737728952786898,0.005,0.0018737728952786898,1.0,0.0049999994,352.66565,4999.961360114626,4999.961360114626,4999.961360114626,1.0,,1.0,4974.96,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4966.6274,1.0,249996.1202169944,0.0033333334,249996.1202169944,1.0,0.0033333336,406.88193,4949.961575505971,4949.961575505971,4949.961575505971,1.0,,1.0,4966.6274,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4974.9614,1.0,0.0014016481063640152,0.0025,0.0014016481063640152,1.0,0.0024999997,352.66568,4999.9619891168295,4999.9619891168295,4999.9619891168295,1.0,,1.0,4974.9614,400.0,2,0.0025,500,500.0
495.01,213.88683,0.00028090444,100,4999.9536,1.002832,249996.24333373483,0.33683872,249996.24333373483,4.8254054e-07,0.002,0.50274485,4949.962794746003,4949.962794746003,4949.962794746003,1.0,113.26161,1.2699658,4999.9536,7.033768327624586,1,7.5992684e-10,500,498.5879713968664
490.03,1.0,3.5044917e-18,100,4900.0664,1.0,493955.7074720534,0.01,493955.7074720534,1.0,0.009999998,699.2968,4900.0662449010915,4900.0662449010915,4900.0662449010915,1.0,,1.0,4900.0664,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4950.0166,1.0,0.0011357244680071038,0.005,0.0011357244680071038,1.0,0.0049999994,496.99408,4999.967794396196,4999.967794396196,4999.967794396196,1.0,,1.0,4950.0166,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4966.668,1.0,0.0008707310583045353,0.0033333334,0.0008707310583045353,1.0,0.0033333336,406.47656,4999.970423904604,4999.970423904604,4999.970423904604,1.0,,1.0,4966.668,299.999969473632,2,0.0033333334,500,500.0
490.03,1.0,5.434597e-20,100,4950.0186,1.0,493956.6157055146,0.0025,493956.6157055146,1.0,0.0024999997,496.99435,4900.070018611921,4900.070018611921,4900.070018611921,1.0,,1.0,4950.0186,400.0,2,0.0025,500,500.0
495.01,14.3492985,1.2863336e-05,100,4982.2515,inf,249996.70156484607,0.031718504,249996.70156484607,5.757941e-11,0.002,361.3643,4949.967331253614,4949.967331253614,4949.967331253614,1.0,2.632629,0.9047904,4982.2515,118.78170308927429,1,1.272768e-13,500,
500.0,1.0,3.5044917e-18,100,4999.9736,1.0,0.0007626167212236633,0.01,0.0007626167212236633,1.0,0.009999998,0.027476875,4999.973783890493,4999.973783890493,4999.973783890493,1.0,,1.0,4999.9736,100.0,2,0.01,500,500.0
490.02,1.0,2.179301e-19,100,4949.9707,1.0,494943.0313665578,0.005,494943.0313665578,1.0,0.0049999994,497.49075,4899.967999794949,4899.967999794949,4899.967999794949,1.0,,1.0,4949.9707,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4966.637,1.0,0.001225793694005943,0.0033333334,0.001225793694005943,1.0,0.0033333336,406.88275,4999.96954904414,4999.96954904414,4999.96954904414,1.0,,1.0,4966.637,299.999969473632,2,0.0033333334,500,500.0
495.01,1.0,5.434597e-20,100,4962.4697,1.0,249996.7378592991,0.0025,249996.7378592991,1.0,0.0024999997,431.38312,4949.967690654939,4949.967690654939,4949.967690654939,1.0,,1.0,4962.4697,400.0,2,0.0025,500,500.0
500.0,20.566004,3.2793178e-05,100,4999.9717,269.82394,0.0005237776807254695,0.051863898,0.0005237776807254695,7.701763e-25,0.002,0.07154494,4999.97789784407,4999.97789784407,4999.97789784407,1.0,5.156477,0.7930759,4999.9717,54.454976889834356,1,1.942251e-27,500,1.8530601562546831
500.0,1.0,3.5044917e-18,100,4999.9727,1.0,0.0008697879364122789,0.01,0.0008697879364122789,1.0,0.009999998,0.029320385,4999.972438916328,4999.972438916328,4999.972438916328,1.0,,1.0,4999.9727,100.0,2,0.01,500,500.0
485.04,1.0,2.179301e-19,100,4925.0254,1.0,733864.7380338521,0.005,733864.7380338521,1.0,0.0049999994,607.3551,4850.077245503461,4850.077245503461,4850.077245503461,1.0,,1.0,4925.0254,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4950.0063,1.0,0.0009288526584408229,0.0033333334,0.0009288526584408229,1.0,0.0033333336,497.1602,4999.969596867979,4999.969596867979,4999.969596867979,1.0,,1.0,4950.0063,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4962.4976,1.0,0.0010553326720635274,0.0025,0.0010553326720635274,1.0,0.0024999997,431.0966,4999.968450961375,4999.968450961375,4999.968450961375,1.0,,1.0,4962.4976,400.0,2,0.0025,500,500.0
500.0,32.95286,1.13789e-05,100,4987.9033,inf,0.001253532169549558,0.061576888,0.001253532169549558,0.3407043,0.002,158.38966,4999.967844750778,4999.967844750778,4999.967844750778,1.0,3.2587504,1.0702996,4987.9033,130.24104739886167,1,0.0006366521,500,
495.01,1.0,3.5044917e-18,100,4949.972,1.0,249997.15563128045,0.01,249997.15563128045,1.0,0.009999998,497.49084,4949.971832343488,4949.971832343488,4949.971832343488,1.0,,1.0,4949.972,100.0,2,0.01,500,500.0
500.0,1.0,2.179301e-19,100,4974.972,1.0,0.0009357711641675674,0.005,0.0009357711641675674,1.0,0.0049999994,352.66644,4999.972337509357,4999.972337509357,4999.972337509357,1.0,,1.0,4974.972,200.00000010221265,2,0.005,500,500.0
500.0,1.0,5.4391416e-20,100,4983.306,1.0,0.0009067415195870646,0.0033333334,0.0009067415195870646,1.0,0.0033333336,288.1919,4999.972096947311,4999.972096947311,4999.972096947311,1.0,,1.0,4983.306,299.999969473632,2,0.0033333334,500,500.0
490.02,1.0,5.434597e-20,100,4962.4717,1.0,494943.1686970761,0.0025,494943.1686970761,1.0,0.0024999997,431.3834,4899.968678840133,4899.968678840133,4899.968678840133,1.0,,1.0,4962.4717,400.0,2,0.0025,500,500.0
495.01,179.6249,0.00016887883,100,4993.465,inf,249997.13114750158,0.2150547,249997.13114750158,4.7068716e-06,0.002,143.73955,4949.971589057232,4949.971589057232,4949.971589057232,1.0,117.817665,1.6705041,4993.465,11.591442256771794,1,5.635271e-09,500,
490.03,1.0,3.5044917e-18,100,4900.077,1.0,493958.0108993023,0.01,493958.0108993023,1.0,0.009999998,699.2985,4900.077371992686,4900.077371992686,4900.077371992686,1.0,,1.0,4900.077,100.0,2,0.01,500,500.0
495.01,1.0,2.179301e-19,100,4925.0225,1.0,249996.80931095252,0.005,249996.80931095252,1.0,0.0049999994,607.3549,4949.968402888068,4949.968402888068,4949.968402888068,1.0,,1.0,4925.0225,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4933.338,1.0,249996.85669252923,0.0033333334,249996.85669252923,1.0,0.0033333336,573.1991,4949.968870251362,4949.968870251362,4949.968870251362,1.0,,1.0,4933.338,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4949.996,1.0,0.0011951411059300378,0.0025,0.0011951411059300378,1.0,0.0024999997,497.2427,4999.96839014214,4999.96839014214,4999.96839014214,1.0,,1.0,4949.996,400.0,2,0.0025,500,500.0
495.02,67.52219,0.00015133563,100,4999.9707,7.2213187e+34,249000.16457066793,0.16325562,249000.16457066793,,0.002,0.1922738,4950.072885243232,4950.072885243232,4950.072885243232,1.0,25.887966,0.8271959,4999.9707,12.900483036614947,1,,500,6.923943118662726e-33
495.01,1.0,3.5044917e-18,100,4949.9756,1.0,249997.48512973037,0.01,249997.48512973037,1.0,0.009999998,497.49118,4949.975096553313,4949.975096553313,4949.975096553313,1.0,,1.0,4949.9756,100.0,2,0.01,500,500.0
485.03,1.0,2.179301e-19,100,4899.9736,1.0,734840.2083254663,0.005,734840.2083254663,1.0,0.0049999994,699.9963,4849.9726851225105,4849.9726851225105,4849.9726851225105,1.0,,1.0,4899.9736,200.00000010221265,2,0.005,500,500.0
495.02,1.0,5.4391416e-20,100,4916.6724,1.0,248999.74427296297,0.0033333334,248999.74427296297,1.0,0.0033333336,639.83655,4950.067757925938,4950.067757925938,4950.067757925938,1.0,,1.0,4916.6724,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4937.497,1.0,0.0007762071897660793,0.0025,0.0007762071897660793,1.0,0.0024999997,555.2874,4999.971966277789,4999.971966277789,4999.971966277789,1.0,,1.0,4937.497,400.0,2,0.0025,500,500.0
500.0,8.658378,4.731158e-06,100,4977.4297,6.038848e+36,0.0010182153183144222,0.01791497,0.0010182153183144222,2.7521879e-05,0.002,340.52417,4999.968629252861,4999.968629252861,4999.968629252861,1.0,1.1051172,0.96660817,4977.4297,229.3131869216825,1,5.6945265e-08,500,8.279725048086625e-35
490.02,1.0,3.5044917e-18,100,4899.9727,1.0,494943.93193584017,0.01,494943.93193584017,1.0,0.009999998,699.9961,4899.972458406632,4899.972458406632,4899.972458406632,1.0,,1.0,4899.9727,100.0,2,0.01,500,500.0
495.01,1.0,2.179301e-19,100,4924.9736,1.0,249997.46479490952,0.005,249997.46479490952,1.0,0.0049999994,607.75903,4949.97489557263,4949.97489557263,4949.97489557263,1.0,,1.0,4924.9736,200.00000010221265,2,0.005,500,500.0
495.01,1.0,5.4391416e-20,100,4933.3066,1.0,249997.20544360188,0.0033333334,249997.20544360188,1.0,0.0033333336,573.4852,4949.972324188322,4949.972324188322,4949.972324188322,1.0,,1.0,4933.3066,299.999969473632,2,0.0033333334,500,500.0
500.0,1.0,5.434597e-20,100,4949.9736,1.0,0.0006350066303741918,0.0025,0.0006350066303741918,1.0,0.0024999997,497.49103,4999.974417091675,4999.974417091675,4999.974417091675,1.0,,1.0,4949.9736,400.0,2,0.0025,500,500.0
495.01,20.935833,1.1252149e-05,100,4987.183,inf,249997.53488989166,0.045830466,249997.53488989166,0.002102766,0.002,197.2688,4949.975588246222,4949.975588246222,4949.975588246222,1.0,2.348051,0.91362077,4987.183,131.32280900750231,1,4.603148e-06,500,
495.02,1.0,3.5044917e-18,100,4950.073,1.0,249000.19371052168,0.01,249000.19371052168,1.0,0.009999998,496.49796,4950.073091427284,4950.073091427284,4950.073091427284,1.0,,1.0,4950.073,100.0,2,0.01,500,500.0
495.01,1.0,2.179301e-19,100,4950.0234,1.0,249997.31445661432,0.005,249997.31445661432,1.0,0.0049999994,496.99475,4949.973407243806,4949.973407243806,4949.973407243806,1.0,,1.0,4950.0234,200.00000010221265,2,0.005,500,500.0
490.04,1.0,5.4391416e-20,100,4933.406,1.0,492969.6284518567,0.0033333334,492969.6284518567,1.0,0.0033333336,572.62683,4900.17033804812,4900.17033804812,4900.17033804812,1.0,,1.0,4933.406,299.999969473632,2,0.0033333334,500,500.0
495.02,1.0,5.434597e-20,100,4937.5723,1.0,248999.98878568105,0.0025,248999.98878568105,1.0,0.0024999997,554.62213,4950.071238439394,4950.071238439394,4950.071238439394,1.0,,1.0,4937.5723,400.0,2,0.0025,500,500.0
