renyi2,J,delta,Bound,VarRet,SamplesThisIter,AvgRet,VarDiscRet,MinNormIw,ESSRenyi,VarNormIw,EpsThisIter,AvgDiscRet,AvgVanillaIw,IterType,AvgNormIw,ESSClassic,AvgEpLen,MaxNormIw,VarJ,BatchSize,VarVanillaIw,MaxVanillaIw,MinVanillaIw,VanillaAvgRet
nan,nan,0.5,nan,19599.9828359,50000,-234.921288351,19599.9828359,,nan,1.2365e-08,153,-234.921288351,3.05683,1,3.63108e-05,7.47736074902,326.797385621,0.00437059,nan,100,87.6327,367.938,,-234.921288351
nan,-20171.0,0.5,-146.732,19836.2076313,50000,-301.744191663,19836.2076313,,nan,1.3887e-07,128,-301.744191663,28.1326,1,4.34028e-05,16.4225088858,390.625,0.0120267,1885.26,100,58343.3,7795.4,,-301.744191663
nan,nan,0.5,nan,18166.326803,50000,-315.977242614,18166.326803,,nan,7.29545e-08,125,-315.977242614,44.4714,1,4.44444e-05,1.92502584122,400.0,0.00342198,nan,100,73042.9,3424.05,,-315.977242614
nan,-16057.6,0.5,-114.125,24189.7733254,50000,-209.573175563,24189.7733254,,nan,3.55014e-09,181,-209.573175563,3.33203,1,3.06937e-05,3.95906706581,276.243093923,0.000881359,1230.63,100,41.8375,95.6782,,-209.573175563
nan,-19493.4,0.5,-133.914,21160.4868712,50000,-239.974148488,21160.4868712,,nan,7.58412e-08,157,-239.974148488,4.38115,1,3.53857e-05,9.91353952875,318.47133758,0.0140375,1380.34,100,1162.59,1738.0,,-239.974148488
nan,-23231.3,0.5,-162.427,17673.4972116,50000,-304.166390921,17673.4972116,,nan,1.13876e-07,127,-304.166390921,28.0212,1,4.37445e-05,13.8739603577,393.700787402,0.00981486,1648.75,100,46725.7,6287.04,,-304.166390921
nan,-17035.9,0.5,-117.49,24572.9493115,50000,-230.705918839,24572.9493115,,nan,7.41139e-09,165,-230.705918839,4.88509,1,3.367e-05,3.46612198566,303.03030303,0.00179683,1418.2,100,156.012,260.697,,-230.705918839
nan,-16809.3,0.5,-107.006,24953.3525546,50000,-227.113768797,24953.3525546,,nan,5.49141e-09,167,-227.113768797,5.12445,1,3.32668e-05,2.5447821226,299.401197605,0.000422566,1410.96,100,130.303,65.0925,,-227.113768797
nan,-22904.6,0.5,-151.234,20337.1990494,50000,-261.75044652,20337.1990494,,nan,2.17917e-08,148,-261.75044652,4.84527,1,3.75375e-05,3.74719647288,337.837837838,0.00443309,1626.88,100,363.074,572.215,,-261.75044652
nan,-18323.1,0.5,-117.817,23200.1053464,50000,-211.966645584,23200.1053464,,nan,6.05863e-09,176,-211.966645584,3.35063,1,3.15657e-05,5.55180108996,284.090909091,0.00285107,1273.11,100,68.2649,302.636,,-211.966645584
nan,-14981.7,0.5,-99.3551,19520.940915,50000,-162.014944211,19520.940915,,nan,1.92215e-09,229,-162.014944211,2.13268,1,2.42601e-05,5.4634726804,218.340611354,0.00109757,1053.54,100,14.8543,96.4865,,-162.014944211
nan,-15812.6,0.5,-101.065,20589.8082467,50000,-171.943392002,20589.8082467,,nan,2.05095e-09,213,-171.943392002,2.25406,1,2.60824e-05,3.23444788347,234.741784038,0.000313342,1256.75,100,15.3176,27.0792,,-171.943392002
nan,-13797.8,0.5,-92.6653,17565.7207451,50000,-142.303635771,17565.7207451,,nan,9.26058e-10,259,-142.303635771,1.56718,1,2.145e-05,4.92814188388,193.05019305,0.000285614,928.929,100,4.94336,20.8675,,-142.303635771
nan,-14475.7,0.5,-93.5909,13880.4242083,50000,-140.707265811,13880.4242083,,nan,1.10532e-09,248,-140.707265811,1.53179,1,2.24014e-05,6.31964361087,201.612903226,0.000406376,978.613,100,5.16816,27.7877,,-140.707265811
nan,-13298.3,0.5,-89.0852,9691.70440259,50000,-108.32472446,9691.70440259,6.18161e-38,nan,3.00513e-10,328,-108.32472446,1.28208,1,1.69377e-05,4.90657766589,152.43902439,0.000215135,672.341,100,1.72181,16.2844,4.67911e-33,-108.32472446
nan,-13349.9,0.5,-88.5873,9682.15054741,50000,-110.64259963,9682.15054741,,nan,3.12886e-10,319,-110.64259963,1.10738,1,1.74155e-05,4.12335856537,156.739811912,0.000145828,671.634,100,1.26505,9.27258,,-110.64259963
nan,-12361.5,0.5,-83.84,8387.49942288,50000,-96.4276975944,8387.49942288,3.0982e-30,nan,1.99517e-10,367,-96.4276975944,1.14256,1,1.51378e-05,4.81161278028,136.239782016,0.000112122,650.887,100,1.13662,8.46268,2.33844e-25,-96.4276975944
nan,-13069.3,0.5,-87.6608,9709.17245181,50000,-105.04130178,9709.17245181,,nan,2.43533e-10,334,-105.04130178,1.07919,1,1.66334e-05,4.19184938973,149.700598802,0.000136489,687.882,100,1.02516,8.85553,,-105.04130178
nan,-11226.7,0.5,-78.5203,3607.85532089,50000,-75.2367859387,3607.85532089,1.75763e-15,nan,6.29127e-11,451,-75.2367859387,1.08781,1,1.23183e-05,4.59340249709,110.864745011,6.14664e-05,406.828,100,0.490621,5.42803,1.55215e-10,-75.2367859387
nan,-10979.3,0.5,-75.0886,2873.99396681,50000,-73.7500489507,2873.99396681,2.01991e-19,nan,8.45044e-11,466,-73.7500489507,1.08966,1,1.19218e-05,5.00366333459,107.296137339,0.000103479,489.144,100,0.705951,9.45803,1.8462e-14,-73.7500489507
nan,-11263.5,0.5,-77.4651,2399.29552253,50000,-71.4432298942,2399.29552253,1.49729e-14,nan,4.40703e-11,482,-71.4432298942,1.00201,1,1.1526e-05,5.39074118699,103.734439834,6.09779e-05,331.356,100,0.333064,5.30106,1.30166e-09,-71.4432298942
nan,-10859.9,0.5,-74.7148,2409.73762387,50000,-70.5986492226,2409.73762387,3.08644e-14,nan,6.4468e-11,484,-70.5986492226,1.11604,1,1.14784e-05,4.39752862473,103.305785124,6.77524e-05,369.248,100,0.609451,6.58752,3.00093e-09,-70.5986492226
nan,-10821.5,0.5,-75.5735,368.287747522,50000,-63.064888976,368.287747522,1.38642e-08,nan,1.67209e-11,538,-63.064888976,1.02585,1,1.03263e-05,4.50402194971,92.936802974,6.59415e-05,218.154,100,0.16502,6.55084,0.00137732,-63.064888976
nan,-11301.0,0.5,-75.5301,1861.59841536,50000,-71.1649087856,1861.59841536,5.42536e-14,nan,4.40723e-11,477,-71.1649087856,0.956424,1,1.16469e-05,3.8588141179,104.821802935,6.35627e-05,283.36,100,0.297199,5.21968,4.45523e-09,-71.1649087856
nan,-10510.4,0.5,-74.3469,731.797332103,50000,-63.6091537287,731.797332103,2.78166e-08,nan,2.98676e-11,538,-63.6091537287,1.03617,1,1.03263e-05,4.58816245838,92.936802974,0.000109935,353.611,100,0.300726,11.0312,0.00279119,-63.6091537287
nan,-10347.2,0.5,-70.3958,204.439423141,50000,-60.4723077381,204.439423141,1.30408e-07,nan,2.37814e-11,563,-60.4723077381,1.02801,1,9.86777e-06,3.98147496306,88.809946714,6.55556e-05,200.491,100,0.258104,6.82949,0.0135857,-60.4723077381
nan,-11102.5,0.5,-77.2659,4728.34950713,50000,-74.0511019838,4728.34950713,1.8188e-18,nan,4.66692e-11,476,-74.0511019838,0.974912,1,1.16713e-05,5.24069026797,105.042016807,6.90239e-05,399.936,100,0.325627,5.7656,1.51925e-13,-74.0511019838
nan,-9718.03,0.5,-55.9061,69.0999817497,50000,-58.5622137244,69.0999817497,,nan,2.36332e-10,587,-58.5622137244,1.31899,1,9.46432e-06,6.58691661853,85.1788756388,0.000865146,370.139,100,4.59015,120.571,,-58.5622137244
nan,-10722.0,0.5,-75.3899,993.356922423,50000,-64.6873528153,993.356922423,3.64275e-09,nan,2.20309e-11,531,-64.6873528153,1.00079,1,1.04624e-05,4.40900876777,94.1619585687,6.04529e-05,283.167,100,0.201584,5.78268,0.00034845,-64.6873528153
nan,-10133.9,0.5,-58.6091,78.6010563337,50000,-60.9109917549,78.6010563337,2.74082e-26,nan,2.07629e-10,555,-60.9109917549,1.54884,1,1.001e-05,7.78997416679,90.0900900901,0.000185707,99.2952,100,4.97089,28.7344,4.24085e-21,-60.9109917549
nan,-8703.99,0.5,-55.7838,77.0554364477,50000,-58.0929112013,77.0554364477,,nan,9.06101e-09,586,-58.0929112013,2.64858,1,9.48047e-06,3.56178864851,85.3242320819,0.00477059,478.609,100,707.201,1332.77,,-58.0929112013
nan,-10446.0,0.5,-62.4381,175.964644539,50000,-63.103635934,175.964644539,4.07197e-19,nan,1.32624e-10,536,-63.103635934,1.1552,1,1.03648e-05,5.45701321142,93.2835820896,0.000261459,194.489,100,1.64744,29.1406,4.53836e-14,-63.103635934
nan,-10044.6,0.5,-60.9393,93.1898879413,50000,-59.3168874464,93.1898879413,1.20966e-11,nan,6.74486e-11,575,-59.3168874464,1.20484,1,9.66184e-06,8.07908729648,86.9565217391,8.18048e-05,116.172,100,1.04884,10.2011,1.50845e-06,-59.3168874464
nan,-10106.6,0.5,-59.1392,59.8349539145,50000,-60.0097457637,59.8349539145,4.88697e-14,nan,1.89571e-10,566,-60.0097457637,1.44027,1,9.81547e-06,6.90530516476,88.3392226148,0.00017651,92.1582,100,4.08168,25.9002,7.1709e-09,-60.0097457637
nan,-5670.68,0.5,-35.764,111.936973079,50000,-59.2210805981,111.936973079,,nan,5.20718e-07,576,-59.2210805981,1.53738e+11,1,9.64506e-06,7.62995652838,86.8055555556,0.0641869,492.701,100,1.32298e+26,1.02311e+15,,-59.2210805981
nan,-10618.2,0.5,-73.2593,2095.40017274,50000,-66.9082839939,2095.40017274,2.44011e-13,nan,4.41172e-11,511,-66.9082839939,1.04537,1,1.08719e-05,4.45742381638,97.8473581213,7.21902e-05,399.912,100,0.407884,6.94134,2.34625e-08,-66.9082839939
nan,-6029.29,0.5,-49.04,191.761039657,50000,-59.8662367586,191.761039657,,nan,7.4273e-07,567,-59.8662367586,3.72466e+16,1,9.79816e-06,9.7387118676,88.1834215168,0.0859251,329.55,100,inf,3.26635e+20,,-59.8662367586
nan,-10936.3,0.5,-76.5029,2451.98585367,50000,-67.8278812794,2451.98585367,4.03599e-12,nan,2.41156e-11,516,-67.8278812794,0.993623,1,1.07666e-05,4.12059284105,96.8992248062,4.87693e-05,305.68,100,0.205393,4.50081,3.72472e-07,-67.8278812794
nan,-9467.07,0.5,-56.4115,141.573402372,50000,-61.3464383002,141.573402372,,nan,6.04246e-10,556,-61.3464383002,1.68988,1,9.99201e-06,3.6757425134,89.928057554,0.000412564,306.459,100,17.283,69.774,,-61.3464383002
nan,-10206.3,0.5,-69.1163,210.781341721,50000,-59.4370272758,210.781341721,9.60442e-08,nan,2.11479e-11,572,-59.4370272758,1.02901,1,9.71251e-06,4.11679740739,87.4125874126,6.13996e-05,203.137,100,0.237381,6.50512,0.0101756,-59.4370272758
nan,-8781.94,0.5,-53.0042,99.8332871782,50000,-59.0214700859,99.8332871782,,nan,2.27852e-09,579,-59.0214700859,2.9164,1,9.59509e-06,2.18218438822,86.3557858377,0.00155279,281.37,100,210.498,471.966,,-59.0214700859
nan,-9174.53,0.5,-53.9898,115.656938705,50000,-60.6485840714,115.656938705,,nan,1.69244e-09,557,-60.6485840714,3.06061,1,9.97406e-06,3.59205201563,89.7666068223,0.000713527,179.529,100,159.362,218.951,,-60.6485840714
nan,-9514.28,0.5,-54.3607,65.3744047872,50000,-58.9336088759,65.3744047872,,nan,8.89407e-10,579,-58.9336088759,1.76348,1,9.59509e-06,13.5559577898,86.3557858377,0.00345596,290.584,100,30.0431,635.172,,-58.9336088759
nan,-9989.66,0.5,-58.7054,90.0595623945,50000,-61.9517703943,90.0595623945,4.67079e-19,nan,5.24751e-10,547,-61.9517703943,1.56679,1,1.01564e-05,3.4098664581,91.407678245,0.000586264,303.758,100,12.488,90.4405,7.20543e-14,-61.9517703943
nan,-9730.8,0.5,-55.7905,64.471371269,50000,-58.857759403,64.471371269,6.07989e-34,nan,2.93627e-10,579,-58.857759403,1.52217,1,9.59509e-06,4.5313327367,86.3557858377,0.000244371,167.192,100,7.3897,38.7673,9.64521e-29,-58.857759403
nan,-6306.19,0.5,-37.7964,106.752493188,50000,-59.0709786507,106.752493188,,nan,8.11321e-07,577,-59.0709786507,1.91076e+15,1,9.62835e-06,9.91222535896,86.6551126516,0.0913963,348.063,100,inf,1.81378e+19,,-59.0709786507
nan,-10434.5,0.5,-71.5165,211.60594187,50000,-60.1062205245,211.60594187,2.08739e-07,nan,1.35328e-11,563,-60.1062205245,1.00913,1,9.86777e-06,4.18992465848,88.809946714,5.03727e-05,168.746,100,0.14153,5.15139,0.0213468,-60.1062205245
nan,-10031.5,0.5,-65.8653,164.77402169,50000,-59.3103735477,164.77402169,8.97108e-08,nan,3.80547e-11,577,-59.3103735477,1.05047,1,9.62835e-06,4.2074165387,86.6551126516,9.75357e-05,242.971,100,0.452974,10.6413,0.00978762,-59.3103735477
nan,-9923.34,0.5,-58.2631,78.5249903657,50000,-59.3894883966,78.5249903657,5.09735e-17,nan,2.00284e-10,575,-59.3894883966,1.45859,1,9.66183e-06,7.42484667641,86.9565217391,0.000196736,142.221,100,4.56452,29.7001,7.69519e-12,-59.3894883966
nan,-10683.7,0.5,-75.0343,256.371326743,50000,-61.3464333836,256.371326743,1.2242e-07,nan,1.12327e-11,553,-61.3464333836,0.999782,1,1.00462e-05,3.60022670278,90.4159132007,4.39007e-05,174.404,100,0.111248,4.36893,0.012183,-61.3464333836
nan,-10924.4,0.5,-76.4746,2549.65866602,50000,-66.8702031676,2549.65866602,6.58677e-17,nan,2.03548e-11,522,-66.8702031676,0.999629,1,1.06428e-05,5.8344671199,95.785440613,3.9953e-05,336.979,100,0.179569,3.75259,6.18663e-12,-66.8702031676
nan,-10221.0,0.5,-70.9414,288.406980118,50000,-59.4393944431,288.406980118,3.38514e-08,nan,1.55665e-11,573,-59.4393944431,1.03507,1,9.69556e-06,5.2318539793,87.260034904,3.40236e-05,183.384,100,0.177413,3.63226,0.00361388,-59.4393944431
nan,-9991.82,0.5,-58.0926,47.187303732,50000,-58.7174817269,47.187303732,2.6598e-12,nan,1.27065e-10,578,-58.7174817269,1.30709,1,9.61169e-06,5.85880265722,86.5051903114,0.000185558,80.4901,100,2.34982,25.2339,3.61704e-07,-58.7174817269
nan,-10903.5,0.5,-75.3485,1992.78255153,50000,-66.459726839,1992.78255153,5.36568e-10,nan,2.2876e-11,518,-66.459726839,0.968248,1,1.0725e-05,3.92428183301,96.5250965251,4.97624e-05,296.914,100,0.186448,4.49252,4.84411e-05,-66.459726839
nan,-8029.5,0.5,-52.7478,98.7715570426,50000,-58.9610969071,98.7715570426,,nan,6.80866e-07,579,-58.9610969071,141.466,1,9.59509e-06,9.95576841341,86.3557858377,0.0840499,346.285,100,1.48002e+08,1.23919e+06,,-58.9610969071
nan,-10936.0,0.5,-70.7221,1512.16882314,50000,-67.9443665662,1512.16882314,1.52566e-14,nan,4.01717e-11,502,-67.9443665662,1.03293,1,1.10668e-05,5.28156052723,99.6015936255,5.84708e-05,287.518,100,0.349957,5.45741,1.42399e-09,-67.9443665662
nan,-6121.58,0.5,-37.9063,155.325970846,50000,-60.9785813367,155.325970846,,nan,9.48662e-07,556,-60.9785813367,1.61278e+18,1,9.99201e-06,9.99295833243,89.928057554,0.0974085,398.485,100,inf,1.57224e+22,,-60.9785813367
nan,-10162.7,0.5,-60.3819,58.8795147396,50000,-60.0087484459,58.8795147396,2.30523e-11,nan,1.25905e-10,568,-60.0087484459,1.24923,1,9.78091e-06,6.26301485225,88.0281690141,0.000130104,92.703,100,2.05386,16.6171,2.94428e-06,-60.0087484459
nan,-10361.9,0.5,-60.8337,133.591851015,50000,-62.2044058969,133.591851015,7.93562e-24,nan,1.34297e-10,547,-62.2044058969,1.21247,1,1.01564e-05,8.02562093885,91.407678245,0.000205285,130.699,100,1.91393,24.5068,9.4735e-19,-62.2044058969
nan,-10231.9,0.5,-71.5649,314.480929855,50000,-58.8111946482,314.480929855,2.66528e-07,nan,1.41212e-11,581,-58.8111946482,1.02794,1,9.56206e-06,4.74553208563,86.0585197935,6.12711e-05,294.95,100,0.163194,6.58677,0.0286523,-58.8111946482
nan,-9450.54,0.5,-56.196,68.2293581176,50000,-57.0906685745,68.2293581176,3.50567e-10,nan,2.2032e-10,598,-57.0906685745,1.46768,1,9.29023e-06,5.67323267143,83.6120401338,0.000193152,139.521,100,5.49875,30.5144,5.5383e-05,-57.0906685745
nan,-10850.6,0.5,-75.9531,2373.78738417,50000,-66.3287859253,2373.78738417,4.26078e-09,nan,1.86345e-11,528,-66.3287859253,0.980724,1,1.05219e-05,4.18016968264,94.696969697,4.5945e-05,322.973,100,0.161891,4.28244,0.000397139,-66.3287859253
nan,-7182.86,0.5,-49.4477,98.5875217963,50000,-59.8001881679,98.5875217963,,nan,9.27511e-07,567,-59.8001881679,6.18755e+07,1,9.79816e-06,9.9950827789,88.1834215168,0.0972749,271.08,100,3.69886e+19,6.14293e+11,,-59.8001881679
nan,-9961.9,0.5,-61.3964,128.198324694,50000,-60.1388116044,128.198324694,1.59678e-09,nan,1.19815e-10,566,-60.1388116044,1.16803,1,9.81547e-06,5.04310566993,88.3392226148,0.000218239,300.195,100,1.69666,25.9702,0.000190015,-60.1388116044
nan,-9737.29,0.5,-57.0951,122.325287307,50000,-59.6269627239,122.325287307,4.58677e-18,nan,2.71104e-10,576,-59.6269627239,1.47949,1,9.64506e-06,5.61458968595,86.8055555556,0.000230652,174.63,100,6.37898,35.3805,7.03582e-13,-59.6269627239
nan,nan,0.5,nan,133.071221182,50000,-58.6869555479,133.071221182,,nan,1.11779e-07,579,-58.6869555479,8.26078e+06,1,9.59509e-06,6.40772471916,86.3557858377,0.0273328,nan,100,8.28524e+16,2.35319e+10,,-58.6869555479
nan,-7331.03,0.5,-50.7333,89.8070952489,50000,-58.9909839226,89.8070952489,,nan,9.22396e-07,579,-58.9909839226,1.14057e+20,1,9.59509e-06,9.99656354764,86.3557858377,0.0980346,173.071,100,inf,1.16534e+24,,-58.9909839226
nan,-11630.1,0.5,-79.8681,2931.94620826,50000,-72.6238814151,2931.94620826,6.42565e-20,nan,3.30689e-11,478,-72.6238814151,1.02006,1,1.16225e-05,23.3222722787,104.60251046,4.89956e-05,387.452,100,0.254725,4.30014,5.63953e-15,-72.6238814151
nan,-10889.5,0.5,-70.2107,1307.80084675,50000,-67.503652556,1307.80084675,8.16664e-21,nan,4.07847e-11,505,-67.503652556,1.02925,1,1.10011e-05,6.59762004983,99.0099009901,7.01703e-05,267.757,100,0.356999,6.56505,7.64061e-16,-67.503652556
nan,-5860.05,0.5,-32.7499,169.557698597,50000,-59.6344226667,169.557698597,,nan,9.5624e-07,577,-59.6344226667,3.48173e+16,1,9.62835e-06,9.99993297202,86.6551126516,0.099661,254.562,100,inf,3.60387e+20,,-59.6344226667
nan,-9901.6,0.5,-56.8878,133.627901764,50000,-60.2562124158,133.627901764,,nan,1.91544e-10,567,-60.2562124158,1.36586,1,9.79816e-06,5.0606261681,88.1834215168,0.000367944,240.286,100,3.72214,51.2914,,-60.2562124158
nan,-9976.06,0.5,-68.5519,306.022734159,50000,-59.9978528537,306.022734159,1.53081e-08,nan,4.01487e-11,573,-59.9978528537,1.08195,1,9.69556e-06,5.13276088135,87.260034904,8.03632e-05,338.101,100,0.499961,8.96788,0.00170826,-59.9978528537
nan,-10608.5,0.5,-67.8973,384.844213404,50000,-63.6979338578,384.844213404,1.06422e-09,nan,4.97876e-11,532,-63.6979338578,1.08638,1,1.04428e-05,4.4452997379,93.984962406,6.67657e-05,209.248,100,0.538835,6.94577,0.000110713,-63.6979338578
nan,-9803.76,0.5,-57.2277,77.2151076617,50000,-59.005876706,77.2151076617,4.28168e-15,nan,2.32202e-10,577,-59.005876706,1.44076,1,9.62835e-06,8.7722969368,86.6551126516,0.000226212,158.028,100,5.19932,33.8498,6.40699e-10,-59.005876706
nan,-9077.93,0.5,-56.7279,288.359487712,50000,-59.441280818,288.359487712,1.19129e-19,nan,4.10138e-10,574,-59.441280818,1.44118,1,9.67867e-06,2.66672247225,87.1080139373,0.000481679,464.332,100,9.09356,71.7232,1.77386e-14,-59.441280818
nan,-10685.5,0.5,-74.846,2466.95340387,50000,-67.2362223033,2466.95340387,2.29917e-11,nan,3.74935e-11,516,-67.2362223033,1.03205,1,1.07666e-05,4.788845452,96.8992248062,6.60744e-05,436.799,100,0.344507,6.33366,2.2039e-06,-67.2362223033
nan,nan,0.5,nan,75.3755783795,50000,-58.8841548828,75.3755783795,,nan,5.06242e-07,578,-58.8841548828,5.23862e+14,1,9.61169e-06,7.19766949136,86.5051903114,0.0615762,nan,100,1.50381e+33,3.35606e+18,,-58.8841548828
nan,-9627.31,0.5,-56.4782,196.864166348,50000,-60.8399424271,196.864166348,1.78183e-26,nan,3.75697e-10,558,-60.8399424271,1.61221,1,9.95619e-06,5.77610223226,89.605734767,0.000317857,203.533,100,9.85126,51.4705,2.88531e-21,-60.8399424271
nan,-10063.8,0.5,-62.0303,403.140684444,50000,-61.3037995983,403.140684444,1.32732e-11,nan,8.91685e-11,555,-61.3037995983,1.20126,1,1.001e-05,6.74879769261,90.0900900901,0.000112157,226.943,100,1.28414,13.4595,1.59285e-06,-61.3037995983
nan,-10730.7,0.5,-72.544,925.97231885,50000,-63.9359928161,925.97231885,5.92065e-10,nan,2.09391e-11,532,-63.9359928161,1.0275,1,1.04428e-05,5.3016659907,93.984962406,4.44361e-05,246.23,100,0.202717,4.37222,5.82553e-05,-63.9359928161
nan,-9766.25,0.5,-56.6352,83.1516458249,50000,-59.7765976055,83.1516458249,9.71688e-19,nan,3.45185e-10,568,-59.7765976055,1.52888,1,9.78091e-06,5.310374171,88.0281690141,0.00029119,180.504,100,8.4341,45.5166,1.51887e-13,-59.7765976055
nan,-9019.85,0.5,-52.5862,71.6763876238,50000,-58.1794528053,71.6763876238,2.93916e-28,nan,1.83717e-09,588,-58.1794528053,3.59292,1,9.44822e-06,1.7716115243,85.0340136054,0.000511667,146.305,100,265.672,194.574,1.11769e-22,-58.1794528053
nan,-10064.0,0.5,-58.1204,49.8354825042,50000,-59.2093860018,49.8354825042,2.65424e-11,nan,1.41686e-10,577,-59.2093860018,1.38255,1,9.62834e-06,7.36715981323,86.6551126516,0.000236442,84.836,100,2.92135,33.951,3.81126e-06,-59.2093860018
nan,-6401.06,0.5,-41.9569,115.575561991,50000,-58.8488047577,115.575561991,,nan,4.62175e-07,576,-58.8488047577,1.82715e+14,1,9.64506e-06,5.32001022063,86.8055555556,0.050495,252.026,100,1.6586e+32,9.5657e+17,,-58.8488047577
nan,-8426.48,0.5,-52.0625,75.3100786708,50000,-58.619540865,75.3100786708,,nan,6.66744e-08,578,-58.619540865,15.1817,1,9.61169e-06,8.37637644176,86.5051903114,0.0238683,323.158,100,166342.0,37700.3,,-58.619540865
