MaxVanillaIw,MaxNormIw,BatchSize,VarNormIw,ESSClassic,eRenyi2,VarDiscRet,AvgNormIw,VarVanillaIw,VarJ,J,Bound,AvgDiscRet,AvgRet,MinVanillaIw,AvgVanillaIw,VarRet,MinNormIw,ESSRenyi,AvgEpLen
1.2544844,0.012751904,100,3.0326992e-06,97.08513158909413,1.0283942,73.06481610014325,0.010000002,0.029350117,2.4684222,865.75195,1924.6128,865.1423268851527,1995.0300237957388,0.2834179,0.98376244,2406.8732262954286,0.0028809588,97.23897493345154,199.52
1.0021585,0.010022109,100,1.5141091e-10,99.99984740430915,1.0000015,0.000315802320774533,0.010000002,1.5139561e-06,0.017661637,866.0024,1927.0693,866.0022458656392,1999.9552184200286,0.995729,0.9999477,0.0025705543195542273,0.009957811,99.99984502816375,200.0
1.003707,0.0100398585,100,5.581103e-10,99.99944671753971,1.0000049,0.0006792488653500503,0.01,5.5780165e-06,0.025840739,865.99927,1927.0579,865.9992158371136,1999.9438773250579,0.992075,0.9997223,0.007588772235680739,0.0099235065,99.99951124430167,200.0
1.0005714,0.010005581,100,4.3518344e-12,99.99998474141525,1.0,0.0002989659636919562,0.01,4.352033e-08,0.01720308,866.00116,1927.0682,866.0010582720715,1999.9540973567962,0.9995089,1.0000132,0.002226839916268757,0.009994957,100.0,200.0
1.0026699,0.010028114,100,5.273173e-10,99.9994773148293,1.0000035,0.0006319210512212541,0.01,5.2717014e-06,0.024922589,865.9986,1927.0568,865.9985958990062,1999.9427528858184,0.99071735,0.99985904,0.006403454924623594,0.009908571,99.99965429425544,200.0
1.0005666,0.01000591,100,9.62632e-12,99.99997711126328,1.0,0.0009125424233222116,0.010000002,9.6258226e-08,0.030041523,865.9974,1927.0526,865.9972975190788,1999.938470106125,0.9989449,0.9999757,0.010443036799975524,0.009989692,100.0,200.0
1.0025027,0.010028399,100,3.1391226e-10,99.99968327438724,1.0000035,0.000599617273343407,0.01,3.1370157e-06,0.02431696,865.997,1927.0505,865.9969808674416,1999.936430978775,0.9927442,0.9996638,0.0072756263663349184,0.009930781,99.99965429425544,200.0
1.0040029,0.010039226,100,3.9898676e-10,99.99958423256948,1.000001,0.00041909362259036034,0.010000002,3.9905185e-06,0.020324722,865.99976,1927.0621,865.9998121773228,1999.9481485939025,0.99056435,1.00008,0.0034187359380321316,0.009904851,99.99990463265931,200.0
1.0,0.01,100,3.5044917e-18,100.0,1.0,0.0005494633612646981,0.009999998,,0.023326116,866.0021,1927.0663,866.0020325672209,1999.9523746871948,1.0,1.0,0.006289166357853146,0.01,100.0,200.0
1.1562563,0.011437664,100,1.0902676e-06,98.93214289931856,1.0104991,10.0167075134386,0.01,0.011142091,1.7154882,865.83105,1925.5463,865.6851494510681,1997.8459690589457,0.5480907,1.01092,443.4800724732345,0.005421702,98.96099664479529,199.8
