AvgRet,J,Bound,Delta,ESSClassic,VarJ,AvgNormIw,VarNormIw,AvgDiscRet,MinVanillaIw,VanillaAvgRet,AvgEpLen,EpsThisIter,eRenyi2,ESSRenyi,MaxNormIw,VarVanillaIw,VarRet,BatchSize,MaxVanillaIw,IterType,VarDiscRet,AvgVanillaIw,MinNormIw
-64.9445588894,-63.2897,-63.2897,1.0,200.000000102,44.2797,0.005,2.1793e-19,-64.9445588894,1.0,-64.9445588894,92.56,100,1.0,500.0,0.005,,2609.27320289,500,1.0,2,2609.27320289,1.0,0.005
-59.0494887692,-61.8763,-61.8763,1.0,299.999969474,36.5114,0.00333333,5.43914e-20,-59.0494887692,1.0,-59.0494887692,86.25,100,1.0,500.0,0.00333333,,66.5461321061,500,1.0,2,66.5461321061,1.0,0.00333333
-65.2868522365,-62.7289,-62.7289,1.0,400.0,40.5667,0.0025,5.4346e-20,-65.2868522365,1.0,-65.2868522365,92.85,100,1.0,500.0,0.0025,,2600.65596152,500,1.0,2,2600.65596152,1.0,0.0025
-57.7220354971,-49.789,-49.789,1.0,1.0,4.81534e-13,0.002,0.002,-57.7220354971,,-57.7220354971,84.16,100,36200.3,0.0138120444049,1.0,2.60793e-07,47.8267632676,500,0.0114191,1,47.8267632676,2.28383e-05,
-59.4260180271,-59.426,-59.426,1.0,100.0,6.77142,0.01,3.50449e-18,-59.4260180271,1.0,-59.4260180271,87.04,100,1.0,500.0,0.01,,46.3152650193,500,1.0,2,46.3152650193,1.0,0.01
-57.5925038594,-58.5093,-58.5093,1.0,200.000000102,6.77878,0.005,2.1793e-19,-57.5925038594,1.0,-57.5925038594,84.2,100,1.0,500.0,0.005,,44.8190343229,500,1.0,2,44.8190343229,1.0,0.005
-64.9741405408,-60.6642,-60.6642,1.0,299.999969474,29.9329,0.00333333,5.43914e-20,-64.9741405408,1.0,-64.9741405408,92.64,100,1.0,500.0,0.00333333,,2594.10123586,500,1.0,2,2594.10123586,1.0,0.00333333
-62.2481295861,-61.0602,-61.0602,1.0,400.0,31.6846,0.0025,5.4346e-20,-62.2481295861,1.0,-62.2481295861,89.9,100,1.0,500.0,0.0025,,1339.24953697,500,1.0,2,1339.24953697,1.0,0.0025
-58.1622570163,-49.8472,-49.8472,1.0,1.0,8.53609e-08,0.002,0.002,-58.1622570163,,-58.1622570163,85.02,100,5.99578e+12,8.33919695495e-11,1.0,9.57377e-33,51.0369886489,500,2.18789e-15,1,51.0369886489,4.37579e-18,
-58.6122826096,-58.6123,-58.6123,1.0,100.0,7.0705,0.01,3.50449e-18,-58.6122826096,1.0,-58.6122826096,85.65,100,1.0,500.0,0.01,,50.4969415598,500,1.0,2,50.4969415598,1.0,0.01
-68.2235891366,-63.4179,-63.4179,1.0,200.000000102,44.2112,0.005,2.1793e-19,-68.2235891366,1.0,-68.2235891366,96.67,100,1.0,500.0,0.005,,3851.5880226,500,1.0,2,3851.5880226,1.0,0.005
-57.7445176952,-61.5268,-61.5268,1.0,299.999969474,36.3852,0.00333333,5.43914e-20,-57.7445176952,1.0,-57.7445176952,84.57,100,1.0,500.0,0.00333333,,41.3460958857,500,1.0,2,41.3460958857,1.0,0.00333333
-68.6438997126,-63.3061,-63.3061,1.0,400.0,44.1777,0.0025,5.4346e-20,-68.6438997126,1.0,-68.6438997126,96.74,100,1.0,500.0,0.0025,,3835.39294772,500,1.0,2,3835.39294772,1.0,0.0025
-64.8581036067,-49.3858,-49.3858,1.0,1.0,,0.002,0.002,-64.8581036067,,-64.8581036067,92.71,100,2940.23,0.170054696499,1.0,3.84133e-05,2599.80347466,500,0.138588,1,2599.80347466,0.000277176,
-58.6732216299,-58.6732,-58.6732,1.0,100.0,8.1895,0.01,3.50449e-18,-58.6732216299,1.0,-58.6732216299,85.61,100,1.0,500.0,0.01,,67.7453375903,500,1.0,2,67.7453375903,1.0,0.01
-57.4081228369,-58.0407,-58.0407,1.0,200.000000102,7.74139,0.005,2.1793e-19,-57.4081228369,1.0,-57.4081228369,83.91,100,1.0,500.0,0.005,,52.5153751147,500,1.0,2,52.5153751147,1.0,0.005
-58.2588923228,-58.1134,-58.1134,1.0,299.999969474,7.75798,0.00333333,5.43914e-20,-58.2588923228,1.0,-58.2588923228,84.74,100,1.0,500.0,0.00333333,,61.2816766997,500,1.0,2,61.2816766997,1.0,0.00333333
-58.4089447574,-58.1873,-58.1873,1.0,400.0,7.61733,0.0025,5.4346e-20,-58.4089447574,1.0,-58.4089447574,85.13,100,1.0,500.0,0.0025,,51.9904001212,500,1.0,2,51.9904001212,1.0,0.0025
-57.6497629009,-51.855,-51.855,1.0,1.02089041124,1.43438,0.002,0.00195899,-57.6497629009,0.636397,-57.6497629009,83.74,100,226.086,2.21155171318,0.989716,2.4016e+06,83.291743156,500,34653.3,1,83.291743156,70.0268,1.81758e-05
-58.2447562613,-58.2448,-58.2448,1.0,100.0,6.9225,0.01,3.50449e-18,-58.2447562613,1.0,-58.2447562613,85.48,100,1.0,500.0,0.01,,48.4050533563,500,1.0,2,48.4050533563,1.0,0.01
-57.5333247386,-57.889,-57.889,1.0,200.000000102,6.84344,0.005,2.1793e-19,-57.5333247386,1.0,-57.5333247386,83.63,100,1.0,500.0,0.005,,45.9508498057,500,1.0,2,45.9508498057,1.0,0.005
-58.0829401861,-57.9537,-57.9537,1.0,299.999969474,7.29772,0.00333333,5.43914e-20,-58.0829401861,1.0,-58.0829401861,84.68,100,1.0,500.0,0.00333333,,66.7473164598,500,1.0,2,66.7473164598,1.0,0.00333333
-62.1146744268,-58.9939,-58.9939,1.0,400.0,19.3579,0.0025,5.4346e-20,-62.1146744268,1.0,-62.1146744268,89.54,100,1.0,500.0,0.0025,,1339.56031374,500,1.0,2,1339.56031374,1.0,0.0025
-62.5679997236,-58.1832,-58.1832,1.0,18.7741820702,35.0973,0.002,0.000102735,-62.5679997236,0.322432,-62.5679997236,90.57,100,425.722,1.1744745617,0.0680921,602.062,1359.41448238,500,164.839,1,1359.41448238,4.84164,0.000133191
-62.4302617809,-62.4303,-62.4303,1.0,100.0,36.2932,0.01,3.50449e-18,-62.4302617809,1.0,-62.4302617809,90.22,100,1.0,500.0,0.01,,1330.50174447,500,1.0,2,1330.50174447,1.0,0.01
-58.1792376442,-60.3047,-60.3047,1.0,200.000000102,26.2599,0.005,2.1793e-19,-58.1792376442,1.0,-58.1792376442,84.98,100,1.0,500.0,0.005,,53.4651781715,500,1.0,2,53.4651781715,1.0,0.005
-65.7352325889,-62.1149,-62.1149,1.0,299.999969474,36.3279,0.00333333,5.43914e-20,-65.7352325889,1.0,-65.7352325889,93.71,100,1.0,500.0,0.00333333,,2586.18266364,500,1.0,2,2586.18266364,1.0,0.00333333
-58.3391803454,-61.171,-61.171,1.0,400.0,31.7353,0.0025,5.4346e-20,-58.3391803454,1.0,-58.3391803454,85.22,100,1.0,500.0,0.0025,,59.2776503934,500,1.0,2,59.2776503934,1.0,0.0025
-68.8055269995,-60.4128,-60.4128,1.0,132.243835307,20.0845,0.002,1.11459e-05,-68.8055269995,0.706253,-68.8055269995,97.13,100,417.639,1.19720504065,0.0110534,9.73768,3839.65726018,500,10.3316,1,3839.65726018,1.8694,0.000755595
-60.9731988443,-60.9732,-60.9732,1.0,100.0,36.6918,0.01,3.50449e-18,-60.9731988443,1.0,-60.9731988443,87.83,100,1.0,500.0,0.01,,1359.88600932,500,1.0,2,1359.88600932,1.0,0.01
-58.965743553,-59.9695,-59.9695,1.0,200.000000102,26.4774,0.005,2.1793e-19,-58.965743553,1.0,-58.965743553,86.5,100,1.0,500.0,0.005,,54.3464670442,500,1.0,2,54.3464670442,1.0,0.005
-57.1242220017,-59.0211,-59.0211,1.0,299.999969474,22.0549,0.00333333,5.43914e-20,-57.1242220017,1.0,-57.1242220017,83.13,100,1.0,500.0,0.00333333,,52.2725332526,500,1.0,2,52.2725332526,1.0,0.00333333
-67.5201146418,-61.1458,-61.1458,1.0,400.0,31.9006,0.0025,5.4346e-20,-67.5201146418,1.0,-67.5201146418,96.5,100,1.0,500.0,0.0025,,2582.99339827,500,1.0,2,2582.99339827,1.0,0.0025
-58.7211402425,-60.0094,-60.0094,1.0,321.782599455,19.2608,0.002,2.2198e-06,-58.7211402425,0.623313,-58.7211402425,86.07,100,288.871,1.73087457023,0.0110852,0.787622,52.7327020362,500,6.60306,1,52.7327020362,1.19133,0.00104642
-61.8856870924,-61.8857,-61.8857,1.0,100.0,36.3532,0.01,3.50449e-18,-61.8856870924,1.0,-61.8856870924,89.08,100,1.0,500.0,0.01,,1334.90260243,500,1.0,2,1334.90260243,1.0,0.01
-61.9594813226,-61.9226,-61.9226,1.0,200.000000102,36.4033,0.005,2.1793e-19,-61.9594813226,1.0,-61.9594813226,89.39,100,1.0,500.0,0.005,,1342.26486104,500,1.0,2,1342.26486104,1.0,0.005
-57.9469756216,-60.5974,-60.5974,1.0,299.999969474,30.1186,0.00333333,5.43914e-20,-57.9469756216,1.0,-57.9469756216,84.56,100,1.0,500.0,0.00333333,,61.056981646,500,1.0,2,61.056981646,1.0,0.00333333
-58.0042632397,-59.9491,-59.9491,1.0,400.0,26.3345,0.0025,5.4346e-20,-58.0042632397,1.0,-58.0042632397,84.31,100,1.0,500.0,0.0025,,48.0894379145,500,1.0,2,48.0894379145,1.0,0.0025
-62.1637314601,-48.8412,-48.8412,1.0,1.0,1.07369e-08,0.002,0.002,-62.1637314601,,-62.1637314601,89.99,100,82728.7,0.0060438492596,1.0,5.37761e+07,1340.21005592,500,163976.0,1,1340.21005592,327.952,
-60.6904091492,-60.6904,-60.6904,1.0,100.0,36.4525,0.01,3.50449e-18,-60.6904091492,1.0,-60.6904091492,87.42,100,1.0,500.0,0.01,,1342.21045979,500,1.0,2,1342.21045979,1.0,0.01
-59.3422958946,-60.0164,-60.0164,1.0,200.000000102,26.3947,0.005,2.1793e-19,-59.3422958946,1.0,-59.3422958946,86.8,100,1.0,500.0,0.005,,64.3031007764,500,1.0,2,64.3031007764,1.0,0.005
-61.6718349665,-60.5682,-60.5682,1.0,299.999969474,30.1148,0.00333333,5.43914e-20,-61.6718349665,1.0,-61.6718349665,89.03,100,1.0,500.0,0.00333333,,1338.9158978,500,1.0,2,1338.9158978,1.0,0.00333333
-59.563822712,-60.3171,-60.3171,1.0,400.0,26.337,0.0025,5.4346e-20,-59.563822712,1.0,-59.563822712,87.0,100,1.0,500.0,0.0025,,53.6188542852,500,1.0,2,53.6188542852,1.0,0.0025
-60.9699062666,-60.4477,-60.4477,1.0,500.000006643,28.6519,0.002,5.43187e-20,-60.9699062666,1.0,-60.9699062666,87.46,100,1.0,500.0,0.002,,1343.2019355,500,1.0,1,1343.2019355,1.0,0.002
-65.6153278644,-65.6153,-65.6153,1.0,100.0,50.7731,0.01,3.50449e-18,-65.6153278644,1.0,-65.6153278644,94.12,100,1.0,500.0,0.01,,2603.94492726,500,1.0,2,2603.94492726,1.0,0.01
-58.2620544183,-61.9387,-61.9387,1.0,200.000000102,36.4542,0.005,2.1793e-19,-58.2620544183,1.0,-58.2620544183,84.9,100,1.0,500.0,0.005,,53.411383607,500,1.0,2,53.411383607,1.0,0.005
-57.9052526793,-60.5942,-60.5942,1.0,299.999969474,30.0657,0.00333333,5.43914e-20,-57.9052526793,1.0,-57.9052526793,84.35,100,1.0,500.0,0.00333333,,43.6199598208,500,1.0,2,43.6199598208,1.0,0.00333333
-60.1157629406,-60.4746,-60.4746,1.0,400.0,31.7906,0.0025,5.4346e-20,-60.1157629406,1.0,-60.1157629406,86.5,100,1.0,500.0,0.0025,,1344.00050906,500,1.0,2,1344.00050906,1.0,0.0025
-64.2550971995,-61.2307,-61.2307,1.0,500.000006643,36.4524,0.002,5.43187e-20,-64.2550971995,1.0,-64.2550971995,91.37,100,1.0,500.0,0.002,,2616.03251225,500,1.0,1,2616.03251225,1.0,0.002
-58.309990378,-58.31,-58.31,1.0,100.0,8.19925,0.01,3.50449e-18,-58.309990378,1.0,-58.309990378,85.13,100,1.0,500.0,0.01,,67.906765447,500,1.0,2,67.906765447,1.0,0.01
-59.0442747641,-58.6771,-58.6771,1.0,200.000000102,8.15404,0.005,2.1793e-19,-59.0442747641,1.0,-59.0442747641,86.35,100,1.0,500.0,0.005,,66.140708446,500,1.0,2,66.140708446,1.0,0.005
-58.7215589717,-58.6919,-58.6919,1.0,299.999969474,8.07234,0.00333333,5.43914e-20,-58.7215589717,1.0,-58.7215589717,85.38,100,1.0,500.0,0.00333333,,63.1417848519,500,1.0,2,63.1417848519,1.0,0.00333333
-62.0885184437,-59.5411,-59.5411,1.0,400.0,19.5424,0.0025,5.4346e-20,-62.0885184437,1.0,-62.0885184437,89.03,100,1.0,500.0,0.0025,,1336.84794068,500,1.0,2,1336.84794068,1.0,0.0025
-64.3957294813,-60.512,-60.512,1.0,500.000006643,28.7623,0.002,5.43187e-20,-64.3957294813,1.0,-64.3957294813,91.73,100,1.0,500.0,0.002,,2616.02618765,500,1.0,1,2616.02618765,1.0,0.002
-63.4747794445,-63.4748,-63.4748,1.0,100.0,36.24,0.01,3.50449e-18,-63.4747794445,1.0,-63.4747794445,91.96,100,1.0,500.0,0.01,,1326.60594199,500,1.0,2,1326.60594199,1.0,0.01
-58.6534181079,-61.0641,-61.0641,1.0,200.000000102,26.2495,0.005,2.1793e-19,-58.6534181079,1.0,-58.6534181079,85.67,100,1.0,500.0,0.005,,53.650898559,500,1.0,2,53.650898559,1.0,0.005
-59.2475256293,-60.4586,-60.4586,1.0,299.999969474,21.8756,0.00333333,5.43914e-20,-59.2475256293,1.0,-59.2475256293,86.69,100,1.0,500.0,0.00333333,,55.9028148727,500,1.0,2,55.9028148727,1.0,0.00333333
-62.1789402427,-60.8887,-60.8887,1.0,400.0,26.2598,0.0025,5.4346e-20,-62.1789402427,1.0,-62.1789402427,89.61,100,1.0,500.0,0.0025,,1333.80139314,500,1.0,2,1333.80139314,1.0,0.0025
-64.9953382225,-61.71,-61.71,1.0,500.000006643,32.7153,0.002,5.43187e-20,-64.9953382225,1.0,-64.9953382225,92.67,100,1.0,500.0,0.002,,2605.71797096,500,1.0,1,2605.71797096,1.0,0.002
-56.7642960435,-56.7643,-56.7643,1.0,100.0,6.70334,0.01,3.50449e-18,-56.7642960435,1.0,-56.7642960435,82.39,100,1.0,500.0,0.01,,45.3886245021,500,1.0,2,45.3886245021,1.0,0.01
-61.6857201956,-59.225,-59.225,1.0,200.000000102,26.3255,0.005,2.1793e-19,-61.6857201956,1.0,-61.6857201956,88.73,100,1.0,500.0,0.005,,1342.44094166,500,1.0,2,1342.44094166,1.0,0.005
-62.0339321557,-60.1613,-60.1613,1.0,299.999969474,30.0759,0.00333333,5.43914e-20,-62.0339321557,1.0,-62.0339321557,89.41,100,1.0,500.0,0.00333333,,1335.72163656,500,1.0,2,1335.72163656,1.0,0.00333333
-62.2249018978,-60.6772,-60.6772,1.0,400.0,31.8324,0.0025,5.4346e-20,-62.2249018978,1.0,-62.2249018978,90.06,100,1.0,500.0,0.0025,,1349.83030068,500,1.0,2,1349.83030068,1.0,0.0025
-65.2427326308,-61.5903,-61.5903,1.0,500.000006643,36.4962,0.002,5.43187e-20,-65.2427326308,1.0,-65.2427326308,92.94,100,1.0,500.0,0.002,,2616.14546478,500,1.0,1,2616.14546478,1.0,0.002
-60.7288584201,-60.7289,-60.7289,1.0,100.0,36.4128,0.01,3.50449e-18,-60.7288584201,1.0,-60.7288584201,87.39,100,1.0,500.0,0.01,,1339.28528118,500,1.0,2,1339.28528118,1.0,0.01
-61.6809300169,-61.2049,-61.2049,1.0,200.000000102,36.4254,0.005,2.1793e-19,-61.6809300169,1.0,-61.6809300169,89.0,100,1.0,500.0,0.005,,1340.67405927,500,1.0,2,1340.67405927,1.0,0.005
-65.3564981434,-62.5888,-62.5888,1.0,299.999969474,41.8142,0.00333333,5.43914e-20,-65.3564981434,1.0,-65.3564981434,93.18,100,1.0,500.0,0.00333333,,2606.23536223,500,1.0,2,2606.23536223,1.0,0.00333333
-73.3485501902,-65.2787,-65.2787,1.0,400.0,50.7833,0.0025,5.4346e-20,-73.3485501902,1.0,-73.3485501902,102.51,100,1.0,500.0,0.0025,,5034.0273194,500,1.0,2,5034.0273194,1.0,0.0025
-58.5478333007,-63.9325,-63.9325,1.0,500.000006643,45.6198,0.002,5.43187e-20,-58.5478333007,1.0,-58.5478333007,85.69,100,1.0,500.0,0.002,,54.3433167427,500,1.0,1,54.3433167427,1.0,0.002
-58.6352457525,-58.6352,-58.6352,1.0,100.0,6.92469,0.01,3.50449e-18,-58.6352457525,1.0,-58.6352457525,85.51,100,1.0,500.0,0.01,,48.4356602541,500,1.0,2,48.4356602541,1.0,0.01
-62.1652476935,-60.4002,-60.4002,1.0,200.000000102,26.2686,0.005,2.1793e-19,-62.1652476935,1.0,-62.1652476935,89.79,100,1.0,500.0,0.005,,1339.29238056,500,1.0,2,1339.29238056,1.0,0.005
-59.9770168008,-60.2592,-60.2592,1.0,299.999969474,30.0515,0.00333333,5.43914e-20,-59.9770168008,1.0,-59.9770168008,86.07,100,1.0,500.0,0.00333333,,1342.50661542,500,1.0,2,1342.50661542,1.0,0.00333333
-57.8595147003,-59.6593,-59.6593,1.0,400.0,26.2623,0.0025,5.4346e-20,-57.8595147003,1.0,-57.8595147003,84.25,100,1.0,500.0,0.0025,,45.6923379327,500,1.0,2,45.6923379327,1.0,0.0025
-57.868803644,-59.3012,-59.3012,1.0,500.000006643,23.7169,0.002,5.43187e-20,-57.868803644,1.0,-57.868803644,84.6,100,1.0,500.0,0.002,,51.577392731,500,1.0,1,51.577392731,1.0,0.002
-61.1870028457,-61.187,-61.187,1.0,100.0,36.3926,0.01,3.50449e-18,-61.1870028457,1.0,-61.1870028457,88.03,100,1.0,500.0,0.01,,1337.80086983,500,1.0,2,1337.80086983,1.0,0.01
-61.8168392864,-61.5019,-61.5019,1.0,200.000000102,36.423,0.005,2.1793e-19,-61.8168392864,1.0,-61.8168392864,88.97,100,1.0,500.0,0.005,,1342.07466297,500,1.0,2,1342.07466297,1.0,0.005
-57.9129453984,-60.3056,-60.3056,1.0,299.999969474,30.0421,0.00333333,5.43914e-20,-57.9129453984,1.0,-57.9129453984,84.66,100,1.0,500.0,0.00333333,,46.1868500767,500,1.0,2,46.1868500767,1.0,0.00333333
-61.8035682394,-60.6801,-60.6801,1.0,400.0,31.7956,0.0025,5.4346e-20,-61.8035682394,1.0,-61.8035682394,89.29,100,1.0,500.0,0.0025,,1348.04919737,500,1.0,2,1348.04919737,1.0,0.0025
-57.5518502018,-60.0544,-60.0544,1.0,500.000006643,28.6318,0.002,5.43187e-20,-57.5518502018,1.0,-57.5518502018,84.22,100,1.0,500.0,0.002,,47.7025185535,500,1.0,1,47.7025185535,1.0,0.002
-59.2689799382,-59.269,-59.269,1.0,100.0,7.24722,0.01,3.50449e-18,-59.2689799382,1.0,-59.2689799382,86.48,100,1.0,500.0,0.01,,53.0527888533,500,1.0,2,53.0527888533,1.0,0.01
-63.0822363421,-61.1756,-61.1756,1.0,200.000000102,26.2397,0.005,2.1793e-19,-63.0822363421,1.0,-63.0822363421,90.96,100,1.0,500.0,0.005,,1330.55418011,500,1.0,2,1330.55418011,1.0,0.005
-60.7200035661,-61.0237,-61.0237,1.0,299.999969474,30.0706,0.00333333,5.43914e-20,-60.7200035661,1.0,-60.7200035661,87.13,100,1.0,500.0,0.00333333,,1349.02528569,500,1.0,2,1349.02528569,1.0,0.00333333
-62.4044352633,-61.3689,-61.3689,1.0,400.0,31.7628,0.0025,5.4346e-20,-62.4044352633,1.0,-62.4044352633,90.12,100,1.0,500.0,0.0025,,1334.70467795,500,1.0,2,1334.70467795,1.0,0.0025
-57.6174081458,-60.6186,-60.6186,1.0,500.000006643,28.6275,0.002,5.43187e-20,-57.6174081458,1.0,-57.6174081458,83.8,100,1.0,500.0,0.002,,51.434579807,500,1.0,1,51.434579807,1.0,0.002
-62.1612760836,-62.1613,-62.1613,1.0,100.0,36.3824,0.01,3.50449e-18,-62.1612760836,1.0,-62.1612760836,89.28,100,1.0,500.0,0.01,,1337.04786006,500,1.0,2,1337.04786006,1.0,0.01
-56.8648708048,-59.5131,-59.5131,1.0,200.000000102,26.3668,0.005,2.1793e-19,-56.8648708048,1.0,-56.8648708048,82.77,100,1.0,500.0,0.005,,53.2505204589,500,1.0,2,53.2505204589,1.0,0.005
-58.4299145091,-59.152,-59.152,1.0,299.999969474,21.8665,0.00333333,5.43914e-20,-58.4299145091,1.0,-58.4299145091,85.47,100,1.0,500.0,0.00333333,,43.6607238589,500,1.0,2,43.6607238589,1.0,0.00333333
-63.0027834949,-60.1147,-60.1147,1.0,400.0,26.3216,0.0025,5.4346e-20,-63.0027834949,1.0,-63.0027834949,91.12,100,1.0,500.0,0.0025,,1339.14920335,500,1.0,2,1339.14920335,1.0,0.0025
-60.9452176867,-58.2218,-58.2218,1.0,1.00304676111,0.0826035,0.002,0.00199391,-60.9452176867,0.707115,-60.9452176867,87.94,100,122.175,4.0924753556,0.99848,1.07448e+08,1337.46919216,500,231785.0,1,1337.46919216,464.276,3.0461e-06
-66.3685770504,-66.3686,-66.3686,1.0,100.0,50.7337,0.01,3.50449e-18,-66.3685770504,1.0,-66.3685770504,94.98,100,1.0,500.0,0.01,,2599.90644744,500,1.0,2,2599.90644744,1.0,0.01
-66.2351504552,-66.3019,-66.3019,1.0,200.000000102,50.7408,0.005,2.1793e-19,-66.2351504552,1.0,-66.2351504552,94.12,100,1.0,500.0,0.005,,2601.36297986,500,1.0,2,2601.36297986,1.0,0.005
-62.313971612,-64.9726,-64.9726,1.0,299.999969474,46.4804,0.00333333,5.43914e-20,-62.313971612,1.0,-62.313971612,89.82,100,1.0,500.0,0.00333333,,1334.77713726,500,1.0,2,1334.77713726,1.0,0.00333333
-57.6899553938,-63.1519,-63.1519,1.0,400.0,40.5022,0.0025,5.4346e-20,-57.6899553938,1.0,-57.6899553938,84.02,100,1.0,500.0,0.0025,,41.0598186269,500,1.0,2,41.0598186269,1.0,0.0025
-58.5950920416,-61.5575,-61.5575,1.0,495.997178252,33.0547,0.002,3.23227e-08,-58.5950920416,,-58.5950920416,85.7,100,2.14611,232.979741563,0.00201613,0.0690309,61.483084049,500,2.94636,1,61.483084049,2.92279,
