eRenyi2,VarVanillaIw,VarJ,EpsThisIter,VarNormIw,MaxVanillaIw,IterType,BatchSize,VarDiscRet,Bound,MaxNormIw,AvgRet,AvgEpLen,VanillaAvgRet,J,MinVanillaIw,AvgNormIw,AvgVanillaIw,ESSClassic,MinNormIw,VarRet,ESSRenyi,AvgDiscRet,Delta
144.69,1243.33,132.522,100,0.00440023,498.667,1,200,262.233435046,-8.9988,0.938113,-103.625865143,32.33,-103.625865143,40.7879,,0.005,2.65782,1.13553088314,,262.233435046,1.38226536411,-103.625865143,0.8
1.0,,59.9262,100,3.50449e-18,1.0,2,200,3627.42112492,-132.187,0.01,-110.112778042,154.7,-110.112778042,-110.113,1.0,0.01,1.0,100.0,0.01,3627.42112492,200.0,-110.112778042,0.8
nan,nan,nan,100,nan,inf,,300,7216.61107177,nan,nan,-103.625865143,32.33,-103.625865143,nan,0.00200535,nan,inf,nan,nan,262.233435046,nan,-119.922396627,0.8
1.08293,0.0919588,15.309,100,9.91944e-07,2.14718,1,300,1594.60978169,-118.738,0.00705204,-108.729641561,39.89,-108.729641561,-103.863,0.135736,0.00333333,1.01492,275.487800012,0.000445801,1594.60978169,277.027352212,-108.729641561,0.8
1.0,,25.2907,100,3.50449e-18,1.0,2,300,646.081425735,-123.332,0.01,-106.071636277,44.4,-106.071636277,-106.072,1.0,0.01,1.0,100.0,0.01,646.081425735,300.0,-106.071636277,0.8
1.0,,19.358,100,2.1793e-19,1.0,2,300,107.987802623,-117.066,0.005,-103.649420427,38.03,-103.649420427,-104.861,1.0,0.005,1.0,200.000000102,0.005,107.987802623,300.0,-103.649420427,0.8
1.1071,0.109511,11.4478,100,1.26499e-06,2.07699,1,300,37.0491800772,-114.124,0.0070591,-104.471965577,31.37,-104.471965577,-103.638,0.109715,0.00333333,0.980762,269.428108616,0.000372892,37.0491800772,270.977149401,-104.471965577,0.8
1.0,,12.5881,100,3.50449e-18,1.0,2,300,160.060295731,-109.083,0.01,-103.111820673,38.92,-103.111820673,-103.112,1.0,0.01,1.0,100.0,0.01,160.060295731,300.0,-103.111820673,0.8
1.0,,10.382,100,2.1793e-19,1.0,2,300,57.4487086856,-108.176,0.005,-103.800247829,40.87,-103.800247829,-103.456,1.0,0.005,1.0,200.000000102,0.005,57.4487086856,300.0,-103.800247829,0.8
104.293,203.238,223.266,100,0.00235618,246.369,1,300,55.9626518195,-64.0587,0.838858,-103.997084522,34.42,-103.997084522,-24.7019,,0.00333333,0.978986,1.41276525416,,55.9626518195,2.87651917303,-103.997084522,0.8
