InitialReturnMin,OptimizationReturnMin,VarianceInit,ReturnStepMaxmin,MaxIWNorm,MeanIWNorm,OptimizationReturnMax,LearnableVariance,TimeElapsed,MeanEntropy,EpisodesSoFar,MeanIW,StdIWNorm,ReturnStepMax,EmpiricalD2,MinIWNorm,InitialReturnStd,InitialReturnMean,InitialReturnMax,MaxIW,MinIW,ESSRenyi,OptimizationReturnMean,J_sample_variance,EpRewMean,InitialBound,EpThisIter,EpLenMean,Iteration,StdIW,TimestepsSoFar,ReturnMeanIW,ESSClassic,Bound
1.3787326,,-0.6,0.013710558,52.427273,0.5294961,28.068655,,1676.4710266590118,1.6378663,2700,52.949604,5.2160244,0.24250351,42032.945,9.032277e-08,5.748962,18.919157,29.447388,5242.7275,9.032277e-06,0.002379086,17.540422,180185360.0,18.91915642271372,17.446787,100,500.0,27,521.6025,1350000,1427.2582,1.0199846,1125.3939
3.765846,,-0.6,0.0056236237,8.145352,0.089318,28.20289,,1752.0057790279388,1.6378663,2800,8.931799,0.8105742,0.21240176,2215.232,1.1021956e-06,4.5888853,21.107412,31.968737,814.5352,0.00011021956,0.045142,17.341564,4156761.8,21.107412217026628,19.508976,100,500.0,28,81.05741,1400000,249.88803,1.1996399,174.65561
8.84884,,-0.6,0.17745896,12.641632,0.13485096,26.571934,,1833.5185923576355,1.6378663,2900,13.485098,1.2576741,0.3591177,7995.946,9.611197e-08,5.2783785,23.696392,35.420773,1264.1632,9.611197e-06,0.012506338,14.84755,11293410.0,23.696389808009744,21.925352,100,500.0,29,125.76741,1450000,464.7005,1.1365997,306.33414
11.51008,,-0.6,0.09448387,8.20271,0.09078315,26.482306,,1908.622774362564,1.6378663,3000,9.078314,0.8156207,0.2931608,1760.6228,1.201052e-06,5.1360364,25.03199,37.992386,820.271,0.0001201052,0.05679808,13.521909,4014515.0,25.031988956739415,23.132368,100,500.0,30,81.56207,1500000,316.22318,1.2237325,236.51556
12.03373,,-0.6,0.0305323,85.979195,0.86469024,21.961456,,1987.3487792015076,1.6378663,3100,86.469025,8.554368,0.29219574,192612.2,1.2384432e-07,5.200575,24.23003,33.995186,8597.92,1.2384432e-05,0.0005191779,12.1963005,177326700.0,24.2300299620675,22.530272,100,500.0,31,855.4369,1550000,2373.6304,1.0114172,1627.6467
6.678711,,-0.6,0.10056931,4.1555934,0.07506732,32.017548,,2066.5257766246796,1.6378663,3200,7.506732,0.46283078,0.32861283,484.21725,1.6252417e-06,5.5074034,23.701693,38.69626,415.55933,0.00016252417,0.20651887,17.022978,871754.56,23.701690496622323,21.766878,100,500.0,32,46.283073,1600000,201.29543,2.563188,158.71999
7.474636,,-0.6,0.009911746,34.598022,0.34779635,31.064964,,2145.360734939575,1.6378663,3300,34.779633,3.4422824,0.20484039,12756.99,1.7584738e-06,5.666273,24.776499,38.5396,3459.8025,0.00017584738,0.00783884,17.301867,65442856.0,24.776502070184087,22.849522,100,500.0,33,344.2283,1650000,1072.042,1.0105225,854.3957
11.7182,,-0.6,0.017647475,946.09375,9.463609,24.102055,,2219.390678882599,1.6378663,3400,946.36096,94.13487,0.23229952,5967542.0,1.8204794e-08,5.7543116,25.174177,35.820255,94609.375,1.8204795e-06,1.6757318e-05,13.45598,25727975000.0,25.174178749473473,23.383167,100,500.0,34,9413.487,1700000,27093.805,1.0005649,22718.62
8.860727,,-0.6,0.048918918,91.811386,0.95826375,30.979025,,2288.8189923763275,1.6378663,3500,95.826385,9.138908,0.28905222,36778.58,4.1813227e-08,6.4145374,25.884089,39.839752,9181.139,4.1813228e-06,0.0027189741,17.023363,108963230.0,25.884089265414385,23.892101,100,500.0,35,913.89105,1750000,1964.5759,1.0875083,1582.5576
8.2750225,,-0.6,0.014525324,5.6401086,0.06504695,32.059586,,2353.302025079727,1.6378663,3600,6.5046954,0.5608515,0.22508807,709.6716,6.137229e-07,5.94151,27.557013,40.33461,564.01086,6.137229e-05,0.14091025,19.281986,2391518.5,27.55700948544209,25.540277,100,500.0,36,56.08515,1800000,224.75064,1.327258,171.02562
