EpThisIter,OptimizationReturnMean,ReturnStepMaxmin,MeanEntropy,StdIWNorm,TimestepsSoFar,EpisodesSoFar,ESSRenyi,MinIWNorm,Bound,InitialReturnMin,EpRewMean,InitialReturnMax,OptimizationReturnMin,ESSClassic,ReturnStepMax,EpLenMean,InitialReturnStd,MeanIW,VarianceInit,InitialBound,EmpiricalD2,TimeElapsed,OptimizationReturnMax,StdIW,MaxIWNorm,MaxIW,MinIW,ReturnMeanIW,Iteration,LearnableVariance,MeanIWNorm,J_sample_variance,InitialReturnMean
100,9.613066,0.001076147,1.6378663,87.39379,1250000,2500,4.209297e-05,1.4975441e-08,16430.668,6.1544785,15.767544154203929,22.387968,,1.0003272,0.21149588,500.0,2.911954,878.4858,-0.6,14.648146,2375693.8,1951.5761785507202,16.23349,8739.379,878.3421,87834.21,1.4975442e-06,18156.03,25,,8.784857,16280479000.0,15.767544
100,14.372339,0.03648205,1.6378663,137.74777,1300000,2600,4.6540376e-06,1.2992808e-12,26526.203,2.7367349,17.10907398950711,26.011824,,1.0001187,0.24656428,500.0,3.4743512,1384.5004,-0.6,15.808484,21486720.0,2035.7508418560028,23.27509,13774.778,1384.4181,138441.81,1.2992808e-10,32554.934,26,,13.845002,82754510000.0,17.109076
100,10.186859,0.034559205,1.6378663,11.504752,1350000,2700,0.00034706047,3.0687342e-08,1349.4479,8.10831,18.295169158816563,26.222673,,1.003951,0.22508992,500.0,3.1509032,115.85762,-0.6,16.984034,288134.22,2113.422794342041,18.114365,1150.4753,115.62938,11562.938,3.0687343e-06,2053.24,27,,1.1585761,124404024.0,18.295168
100,6.3956885,0.057861432,1.6378663,1.6243402,1400000,2800,0.019879313,4.5740518e-07,302.35434,12.672851,19.06853951715924,28.589756,,1.2509906,0.29544932,500.0,2.9967544,18.282587,-0.6,17.63905,5030.355,2193.197006225586,15.916905,162.43404,16.284544,1628.4545,4.574052e-05,403.74075,28,,0.18282586,2536158.5,19.068539
100,10.82815,0.0064679384,1.6378663,196.97331,1450000,2900,1.7128945e-05,2.8999645e-09,43800.06,8.701688,19.529837910146863,29.003836,,1.0001302,0.27719423,500.0,3.889832,1979.7866,-0.6,18.079647,5838071.0,2269.0948190689087,20.302147,19697.334,1979.6576,197965.77,2.8999645e-07,47304.027,29,,19.797867,90751435000.0,19.529839
100,6.9899364,0.03001368,1.6378663,51.799084,1500000,3000,2.9260544e-05,3.7541605e-09,5675.093,12.124218,19.114155427662112,27.316914,,1.0009722,0.23817782,500.0,3.2770848,520.85596,-0.6,17.74831,3417571.5,2345.47106051445,15.192696,5179.9097,520.60297,52060.3,3.7541608e-07,8200.087,30,,5.208559,394914240.0,19.114155
100,8.425021,0.03997937,1.6378663,12.558824,1550000,3100,0.0007557341,1.956125e-07,2278.8132,11.025773,19.450793774878147,27.816717,,1.0080562,0.30366784,500.0,3.0437148,126.73349,-0.6,18.059956,132321.67,2434.388336420059,16.790943,1255.8824,126.225975,12622.598,1.956125e-05,2784.7444,31,,1.2673347,193510740.0,19.450794
100,8.56772,0.055591002,1.6378663,76.06318,1600000,3200,2.0009831e-05,3.28604e-11,15892.308,10.059634,18.627354189085192,25.42076,,1.0014973,0.29669547,500.0,3.492653,765.04175,-0.6,17.356316,4997543.5,2520.7538311481476,15.361125,7606.3193,764.46954,76446.95,3.2860399e-09,18733.736,32,,7.6504173,12229479000.0,18.627354
100,12.491244,0.053741366,1.6378663,1.4351442,1650000,3300,0.010450289,8.899735e-08,262.89398,6.3780003,18.869243423927248,26.48467,,1.2142813,0.23769356,500.0,4.18252,15.911389,-0.6,17.54501,9569.113,2609.822215795517,20.10667,143.51442,14.41205,1441.2051,8.899736e-06,392.43295,33,,0.1591139,7179384.0,18.869244
100,11.167943,0.058533624,1.6378663,4.5382214,1700000,3400,0.0019594762,1.468796e-08,902.92834,9.270094,20.43803745753225,28.327366,,1.0623193,0.22897547,500.0,4.4081144,47.02539,-0.6,19.02167,51034.047,2693.6578226089478,19.057272,453.82224,45.614594,4561.4595,1.4687961e-06,1222.8961,34,,0.4702538,59547064.0,20.438038
100,10.260387,0.034022167,1.6378663,69.70395,1750000,3500,0.00051894505,3.0460017e-09,9287.677,9.566621,19.827008197516324,29.06768,,1.0013999,0.27316433,500.0,4.083417,701.0461,-0.6,18.373623,192698.64,2767.906591653824,19.50106,6970.395,700.5559,70055.59,3.0460018e-07,9925.676,35,,7.0104613,1078508800.0,19.827007
100,8.055602,0.009584218,1.6378663,8.489771,1800000,3600,0.0019498119,5.5841138e-08,1254.996,12.259047,20.314649045025774,27.023832,,1.0118618,0.2204737,500.0,3.2788446,85.83511,-0.6,18.963457,51286.996,2842.843742609024,14.764786,848.9771,85.3302,8533.0205,5.5841138e-06,1560.9954,36,,0.858351,26637128.0,20.31465
100,11.248935,0.021898985,1.6378663,73.71065,1850000,3700,1.9637106e-05,9.324774e-11,9365.315,7.268344,18.517278584053376,25.199886,,1.0016061,0.24577199,500.0,3.4132562,741.4205,-0.6,17.257282,5092400.0,2920.421221971512,17.931541,7371.065,740.8256,74082.56,9.324775e-09,12208.662,37,,7.4142056,4668505000.0,18.517279
100,9.940253,0.046654448,1.6378663,2.0213766,1900000,3800,0.03293215,6.1778115e-07,351.68723,8.953214,18.893467500980726,24.770494,,1.0698588,0.23506284,500.0,3.1088872,21.020653,-0.6,17.654943,3036.5461,3001.452917575836,15.817281,202.13768,20.321136,2032.1138,6.177812e-05,419.93597,38,,0.21020646,5061576.0,18.893467
100,8.434146,0.04364948,1.6378663,2.08404,1950000,3900,0.009209013,2.7869822e-08,339.89398,9.849045,18.28319114576276,26.879564,,1.0685754,0.24782276,500.0,3.7343726,21.659155,-0.6,16.939213,10858.928,3093.269183397293,17.03052,208.404,20.950668,2095.067,2.7869823e-06,479.94482,39,,0.21659157,6892491.5,18.283192
100,12.388605,0.006991878,1.6378663,1.7542646,2000000,4000,0.012853167,8.016484e-08,287.98846,7.4775124,19.86611688733296,27.731504,,1.0990391,0.2363948,500.0,3.7943711,18.492746,-0.6,18.47954,7780.1836,3168.463948726654,20.253992,175.42647,17.636143,1763.6143,8.016484e-06,410.2918,40,,0.18492742,6865167.0,19.866117
100,8.845548,0.017255247,1.6378663,1.7506508,2050000,4100,0.01860063,7.856191e-08,240.68243,11.22824,20.073787449813103,28.239355,,1.0235348,0.2819931,500.0,3.6727488,17.80266,-0.6,18.66182,5376.162,3241.8925943374634,17.011116,175.0651,17.596727,1759.6729,7.856192e-06,344.21118,41,,0.17802656,2073672.9,20.073786
100,8.249609,0.12753703,1.6378663,21.715837,2100000,4200,0.00028060767,1.7748349e-08,3554.0464,12.317727,20.567336203412502,28.025206,,1.0109454,0.28050557,500.0,3.336647,219.45569,-0.6,19.166075,356369.47,3325.5460007190704,15.707479,2171.5837,218.26288,21826.29,1.7748349e-06,4390.5522,42,,2.1945567,288052350.0,20.567333
100,8.561071,0.13082509,1.6378663,0.6449697,2150000,4300,0.2988455,8.2939755e-07,161.79965,12.872691,21.4337618182476,30.949516,,1.3433477,0.315017,500.0,3.366813,7.5261073,-0.6,19.886284,334.62106,3414.466987133026,18.076824,64.49698,6.4861865,648.61865,8.2939754e-05,190.10709,43,,0.075261064,682275.94,21.43376
100,10.424641,0.022229716,1.6378663,3.9605105,2200000,4400,0.0070953933,8.3794134e-08,874.6391,11.244053,21.668693842765098,28.47266,,1.011955,0.20923401,500.0,3.5506744,40.044277,-0.6,20.245058,14093.651,3492.8467774391174,17.228607,396.0511,39.80697,3980.697,8.379414e-06,1043.6481,44,,0.40044272,35092184.0,21.668694
100,9.696819,0.032758087,1.6378663,419.72604,2250000,4500,7.023132e-07,2.0134541e-10,58991.703,12.255054,21.951873636589365,30.640036,,1.000074,0.26863787,500.0,3.6763089,4218.563,-0.6,20.41987,142386620.0,3572.7451677322388,18.384981,41972.598,4218.4067,421840.7,2.0134541e-08,77272.445,45,,42.185635,68092730000.0,21.951872
100,10.492023,0.05868061,1.6378663,24.982176,2300000,4600,0.000120588775,1.543515e-09,3935.184,8.363075,18.855099308930104,27.003744,,1.0042477,0.28237748,500.0,3.6424572,251.6184,-0.6,17.504911,829264.56,3655.2949810028076,18.640669,2498.2175,251.0854,25108.541,1.543515e-07,5164.7183,46,,2.5161843,936693250.0,18.855099
100,6.435527,0.07382116,1.6378663,2450.9314,2350000,4700,1.4110796e-06,1.4017079e-11,358755.28,13.4349785,19.870505784684156,27.475657,,1.0000011,0.3193354,500.0,3.1702569,24632.8,-0.6,18.496721,70867730.0,3741.0969083309174,14.040678,245093.12,24632.787,2463278.8,1.401708e-09,370320.2,47,,246.32799,265698820000.0,19.870506
100,9.318262,0.0998704,1.6378663,22.595743,2400000,4800,0.00017147712,1.297178e-09,3544.7134,8.990467,18.308728590274857,24.770664,,1.0018582,0.2691299,500.0,2.844374,227.30875,-0.6,17.070196,583168.2,3823.189883708954,15.780197,2259.5742,227.09781,22709.781,1.297178e-07,4490.525,48,,2.2730877,601979970.0,18.30873
100,8.310731,0.053952634,1.6378663,15.803876,2450000,4900,0.0017468716,9.868646e-08,3032.7983,11.061938,19.372668867266164,26.395075,,1.0193704,0.23012812,500.0,2.8953264,160.38159,-0.6,18.052914,57245.19,3906.0226233005524,15.333137,1580.3877,158.84628,15884.628,9.868647e-06,3348.5623,49,,1.6038159,246726780.0,19.37267
100,10.754458,0.031839192,1.6378663,2.9905968,2500000,5000,0.02577183,3.7258022e-07,530.81775,8.517449,19.271907830805038,27.36227,,1.0402901,0.28689766,500.0,3.8567073,30.662382,-0.6,17.903793,3880.2056,3979.701413154602,18.844822,299.05966,30.061806,3006.1807,3.725802e-05,616.0393,50,,0.30662385,12185250.0,19.27191
100,7.0572267,0.028954014,1.6378663,0.4340674,2550000,5100,0.2710246,3.751543e-06,105.87291,11.721309,18.778535118379747,25.690338,,1.6541634,0.2115683,500.0,3.4684534,5.629482,-0.6,17.494017,368.97018,4059.9587602615356,13.969029,43.406742,4.345385,434.5385,0.0003751543,130.54668,51,,0.056294817,295758.62,18.778536
100,7.483965,0.033744022,1.6378663,5.349762,2600000,5200,0.004660334,1.015104e-07,842.3578,11.196849,18.680813488275895,24.961739,,1.0456176,0.25863427,500.0,3.244421,54.99249,-0.6,17.432726,21457.69,4145.976898193359,13.76489,534.9762,53.77491,5377.491,1.015104e-05,1025.1831,52,,0.54992497,16503923.0,18.680813
100,9.522382,0.032331347,1.6378663,47.01179,2650000,5300,3.1061576e-05,9.903879e-10,6835.64,9.297409,18.81979048319572,26.29523,,1.0007206,0.2394071,500.0,3.2767906,472.65823,-0.6,17.505028,3219411.5,4226.950482368469,16.997822,4701.1797,472.48804,47248.805,9.903879e-08,9194.68,53,,4.7265825,2322526200.0,18.81979
