OptimizationReturnMin,StdIWNorm,TimestepsSoFar,Bound,MinIW,InitialReturnMax,MinIWNorm,ESSRenyi,InitialReturnMin,InitialReturnMean,OptimizationReturnMean,EpRewMean,ESSClassic,StdIW,MeanEntropy,EpThisIter,OptimizationReturnMax,InitialReturnStd,Iteration,ReturnStepMax,MaxIW,ReturnMeanIW,LearnableVariance,MeanIW,InitialBound,EpLenMean,TimeElapsed,VarianceInit,MaxIWNorm,MeanIWNorm,EpisodesSoFar,EmpiricalD2,ReturnStepMaxmin,J_sample_variance
,11.702755,1550000,4976.5527,4.6194655e-06,47.86537,4.6194653e-08,0.0013118865,18.230654,35.87497,17.644314,35.874967626529624,1.004141,1170.2754,1.6378663,100,29.634718,5.9535513,31,0.23568909,11761.954,5637.312,,117.86286,33.4817,500.0,2489.8941102027893,-0.6,117.61954,1.1786286,3100,76226.11,0.01289019,1219598800.0
,42.003395,1600000,10118.717,2.4719047e-06,47.014988,2.4719046e-08,6.617522e-05,23.488209,36.570248,13.082039,36.57024700844538,1.0027825,4200.34,1.6378663,100,23.52678,5.589479,32,0.3153711,42215.562,13008.456,,422.74286,34.219498,500.0,2573.922165632248,-0.6,422.1556,4.2274284,3200,1511139.6,0.0055812,1041597000.0
,21.146053,1650000,6776.496,4.3682715e-07,45.149384,4.3682715e-09,0.004103689,15.378998,34.17344,18.79444,34.173438009540675,1.0043592,2114.6052,1.6378663,100,29.770386,5.0094914,33,0.20993458,21253.043,7128.895,,212.99324,31.915966,500.0,2664.6023058891296,-0.6,212.53043,2.1299326,3300,24368.318,0.013778806,1488283100.0
,126.395905,1700000,33644.094,3.206153e-07,44.47853,3.206153e-09,3.7184593e-05,24.311367,33.60885,9.297479,33.60884681022589,1.0002835,12639.591,1.6378663,100,20.167164,4.437632,34,0.3032524,127032.86,37291.12,,1270.5085,31.384922,500.0,2738.0654621124268,-0.6,1270.3286,12.705087,3400,2689286.0,0.021851152,5062412000.0
,562.8358,1750000,130585.84,2.6113285e-09,39.751606,2.6113285e-11,1.3954741e-07,13.1502,29.297478,16.147278,29.297477104979336,1.00019,56283.59,1.6378663,100,26.601406,5.0137205,35,0.31474015,565671.9,183792.23,,5657.2563,27.309898,500.0,2817.7262468338013,-0.6,5656.7188,56.57256,3500,716602300.0,0.101077005,1202236600000.0
,66.909065,1800000,20470.27,1.0064386e-08,39.995106,1.00643854e-10,1.6679409e-05,17.364609,29.465588,12.100979,29.465587913135064,1.000112,6690.9067,1.6378663,100,22.630497,3.702326,36,0.31553987,67246.19,25366.777,,672.4995,27.465832,500.0,2895.3177156448364,-0.6,672.46185,6.724995,3600,5995416.5,0.039295852,18875540000.0
,2.9583337,1850000,704.5797,1.9257706e-05,38.39939,1.9257706e-07,0.0042537795,11.521286,28.334435,16.813148,28.334433651995386,1.023248,295.8334,1.6378663,100,26.878105,4.5671515,37,0.25349656,2973.553,998.95874,,30.079527,26.414463,500.0,2975.0129330158234,-0.6,29.735529,0.30079532,3700,23508.506,0.03866446,42093700.0
,2.130715,1900000,528.3938,3.729437e-06,37.326653,3.7294367e-08,0.0051479037,13.806996,27.574474,13.767479,27.57447542063464,1.0487007,213.0715,1.6378663,100,23.519657,4.57385,38,0.27424192,2141.8127,788.51385,,21.935139,25.708141,500.0,3056.518159866333,-0.6,21.418127,0.21935144,3800,19425.383,0.030024797,22964680.0
,28.525053,1950000,8831.217,2.4968438e-06,39.933846,2.4968436e-08,0.00038868023,10.523262,30.559538,20.036278,30.559539574044255,1.009587,2852.5054,1.6378663,100,29.410583,4.6438823,39,0.21731442,28669.932,9843.996,,288.0725,28.562847,500.0,3135.7395825386047,-0.6,286.6993,2.8807251,3900,257280.9,0.006612614,4610015000.0
,6.217661,2000000,1173.4766,2.911723e-05,41.845295,2.9117228e-07,0.0011930455,20.282194,31.393684,11.111492,31.39368623317336,1.0085334,621.7661,1.6378663,100,21.5631,4.3142695,40,0.266192,6249.241,1779.2192,,62.758602,29.301422,500.0,3216.755688428879,-0.6,62.492413,0.627586,4000,83819.1,0.015832752,26914674.0
,15.221173,2050000,5325.746,3.5595753e-05,40.331028,3.5595752e-07,0.0013851421,11.8115425,30.015827,18.204287,30.015827207033276,1.0187919,1522.1173,1.6378663,100,28.519485,4.5237546,41,0.32287452,15299.133,5867.575,,154.4239,27.999273,500.0,3291.7520818710327,-0.6,152.99132,1.544239,4100,72194.76,0.09663159,1617598600.0
,0.31541425,2100000,116.54491,0.00054286205,42.675102,5.42862e-06,0.547816,16.62037,31.687204,15.066834,31.687205190833584,1.6160556,31.541422,1.6378663,100,26.054731,5.121987,42,0.28049096,316.0084,145.37375,,4.0424747,29.55345,500.0,3372.7598192691803,-0.6,3.1600838,0.04042475,4200,182.54306,0.0607699,446593.22
,2.8875163,2150000,974.71906,5.434386e-05,39.43221,5.4343855e-07,0.010982924,17.848478,30.00906,12.160583,30.00906017540348,1.0480088,288.75165,1.6378663,100,21.58373,4.760434,43,0.24743553,2902.5884,1162.8508,,29.716291,28.037449,500.0,3445.2372443675995,-0.6,29.025883,0.29716292,4300,9105.043,0.03118302,39525750.0
,2.0924637,2200000,506.0879,7.036626e-06,42.748466,7.0366255e-08,0.007572077,17.320374,30.160374,12.839997,30.160371434618547,1.0403802,209.24638,1.6378663,100,25.428093,5.0850763,44,0.28119463,2103.351,751.7188,,21.454824,28.02295,500.0,3521.0258173942566,-0.6,21.03351,0.2145482,4400,13206.416,0.05026765,14106303.0
,18.256826,2250000,5781.8584,1.7997181e-06,39.796684,1.799718e-08,0.00036131786,12.011027,27.723038,15.712011,27.723037874758994,1.0049001,1825.6825,1.6378663,100,27.785656,4.9919405,45,0.21568832,18349.229,6828.6787,,183.94159,25.733204,500.0,3600.36572098732,-0.6,183.49228,1.8394159,4500,276764.62,0.019324899,2131253200.0
,1.4993911,2300000,315.497,2.944829e-05,44.1062,2.944829e-07,0.040045172,19.6756,32.148323,12.472721,32.14832061882393,1.0598562,149.9391,1.6378663,100,24.430601,4.673347,46,0.25402078,1507.3114,425.7003,,15.518586,29.943008,500.0,3675.226287126541,-0.6,15.073113,0.1551859,4600,2497.18,0.019888073,1413479.9
,8.092929,2350000,1709.9517,3.837976e-07,41.24525,3.837976e-09,0.00082601066,16.0073,30.911644,14.904341,30.91164143198106,1.0111456,809.29297,1.6378663,100,25.237951,5.4912043,47,0.27998188,8134.1,2427.5,,81.793625,28.849377,500.0,3743.207751274109,-0.6,81.340996,0.8179362,4700,121063.81,0.08885312,125517680.0
,12.138479,2400000,3745.676,1.4503487e-06,42.693794,1.4503486e-08,0.0006171443,16.948925,31.874327,14.925401,31.87432610042513,1.0125536,1213.848,1.6378663,100,25.74487,4.866951,48,0.22755665,12200.371,4604.969,,122.76745,29.739637,500.0,3822.3088586330414,-0.6,122.00371,1.2276744,4800,162036.66,0.038719922,637182700.0
,46.71816,2450000,14775.7295,2.18021e-05,44.93889,2.1802099e-07,0.00045771676,15.31152,32.013424,16.701904,32.013422973528314,1.001519,4671.816,1.6378663,100,29.627369,5.3423033,49,0.2515746,46953.867,15825.982,,469.8952,29.76648,500.0,3903.0557396411896,-0.6,469.53867,4.6989512,4900,218475.72,0.05867189,7494116000.0
,1.6323812,2500000,590.244,3.7571176e-06,42.83677,3.7571176e-08,0.014103817,19.030746,31.876137,12.845389,31.876136513169808,1.2325262,163.23813,1.6378663,100,23.806023,4.471065,50,0.3160427,1639.9484,770.595,,18.23529,29.734297,500.0,3988.3759100437164,-0.6,16.399483,0.1823529,5000,7090.2793,0.06687169,15366624.0
,871.3923,2550000,222448.11,2.3107394e-09,48.212975,2.3107393e-11,1.7921506e-07,21.365051,35.292423,13.927372,35.29242395446932,1.0000176,87139.23,1.6378663,100,26.847923,6.149592,51,0.27430546,875782.25,279391.94,,8757.9,32.881775,500.0,4061.6435861587524,-0.6,8757.822,87.578995,5100,557988800.0,0.031369492,886886100000.0
,12.617934,2600000,3151.0786,1.602407e-06,44.545704,1.602407e-08,0.00021776161,17.23021,31.983242,14.753031,31.98324070936587,1.0102057,1261.7933,1.6378663,100,27.315495,4.8411636,52,0.24606669,12682.108,4660.412,,127.467064,29.755955,500.0,4136.5318903923035,-0.6,126.82108,1.2746707,5200,459217.75,0.008308455,607318100.0
,1.6392353,2650000,655.18054,7.7483426e-05,46.169228,7.7483423e-07,0.02002337,19.391714,33.116947,13.725231,33.11694555018296,1.6509837,163.92354,1.6378663,100,26.777514,5.016769,53,0.24718115,1573.0912,818.3181,,21.238686,30.808485,500.0,4204.856497526169,-0.6,15.730911,0.21238688,5300,4994.164,0.008504763,11159327.0
,0.76939917,2700000,231.82834,7.974458e-05,48.596737,7.974458e-07,0.119588606,18.962679,34.468475,15.5057955,34.46847402231757,1.232279,76.93992,1.6378663,100,29.634058,5.0658374,54,0.26555237,773.5811,302.09222,,8.594067,32.038635,500.0,4277.330085515976,-0.6,7.7358108,0.08594066,5400,836.2001,0.096618995,1574969.4
