VarRet,VarNormIw,VarVanillaIw,AvgVanillaIw,VanillaAvgRet,MaxVanillaIw,MaxNormIw,Delta,VarDiscRet,AvgEpLen,AvgNormIw,EpsThisIter,IterType,VarJ,Bound,MinNormIw,AvgRet,ESSRenyi,BatchSize,MinVanillaIw,ESSClassic,J,eRenyi2,AvgDiscRet
7186.36055282,3.50449e-18,,1.0,-85.7877297005,1.0,0.01,0.3,7186.36055282,118.42,0.01,100,2,84.3475,-149.507,0.01,-85.7877297005,200.0,200,1.0,100.0,-85.7877,1.0,-85.7877297005
2562.34323585,2.10053e-06,0.0872642,1.01911,-71.8397969165,3.4099,0.0167297,0.3,2562.34323585,102.7,0.005,100,1,63.9549,-123.169,0.00413087,-71.8397969165,193.901558404,200,0.841967,184.569649082,-77.4093,1.03145,-71.8397969165
6071.82653606,3.50449e-18,,1.0,-82.581236541,1.0,0.01,0.3,6071.82653606,114.79,0.01,100,2,77.5313,-146.299,0.01,-82.581236541,200.0,200,1.0,100.0,-82.5812,1.0,-82.581236541
4966.57863162,2.21869e-07,0.00889305,1.00103,-78.4687053932,1.25581,0.00627258,0.3,4966.57863162,109.39,0.005,100,1,72.284,-125.35,0.00334516,-78.4687053932,198.27036535,200,0.66972,198.249345768,-80.0979,1.00872,-78.4687053932
9343.7020439,3.50449e-18,,1.0,-93.0389651133,1.0,0.01,0.3,9343.7020439,126.45,0.01,100,2,96.1783,-156.759,0.01,-93.0389651133,200.0,200,1.0,100.0,-93.039,1.0,-93.0389651133
170.352429601,1.01396e-06,0.0396242,0.988417,-66.9584423944,1.54462,0.00781362,0.3,170.352429601,96.9,0.005,100,1,64.0878,-124.08,0.00249853,-66.9584423944,192.298728222,200,0.493918,192.242007171,-78.1302,1.04005,-66.9584423944
9294.75270973,3.50449e-18,,1.0,-93.5394627109,1.0,0.01,0.3,9294.75270973,127.14,0.01,100,2,95.926,-157.259,0.01,-93.5394627109,200.0,200,1.0,100.0,-93.5395,1.0,-93.5394627109
4906.45703023,9.05285e-07,0.0355369,0.990643,-79.511639435,1.58861,0.00801808,0.3,4906.45703023,111.39,0.005,100,1,80.8042,-130.866,0.00118022,-79.511639435,193.432131526,200,0.233836,193.044502962,-85.0515,1.03395,-79.511639435
7216.56628464,3.50449e-18,,1.0,-85.640150478,1.0,0.01,0.3,7216.56628464,118.36,0.01,100,2,84.5246,-149.36,0.01,-85.640150478,200.0,200,1.0,100.0,-85.6401,1.0,-85.640150478
6148.77941639,1.04293e-06,0.0415386,0.997857,-80.1122580163,1.68748,0.00845553,0.3,6148.77941639,110.5,0.005,100,1,73.7155,-126.375,0.00143092,-80.1122580163,188.303893902,200,0.285571,192.029098305,-79.9399,1.06211,-80.1122580163
4976.62889682,3.50449e-18,,1.0,-77.7616875874,1.0,0.01,0.3,4976.62889682,108.24,0.01,100,2,70.1916,-141.481,0.01,-77.7616875874,200.0,200,1.0,100.0,-77.7617,1.0,-77.7616875874
6137.52709314,1.46993e-06,0.0602584,1.01235,-80.6248834878,1.43792,0.00710188,0.3,6137.52709314,111.84,0.005,100,1,65.7539,-122.997,0.00152067,-80.6248834878,188.272471658,200,0.307889,188.94599416,-76.5581,1.06229,-80.6248834878
7294.09153979,3.50449e-18,,1.0,-83.8566955924,1.0,0.01,0.3,7294.09153979,115.26,0.01,100,2,84.9774,-147.576,0.01,-83.8566955924,200.0,200,1.0,100.0,-83.8567,1.0,-83.8566955924
10516.5079697,6.44984e-06,0.24163,0.967767,-94.5081128038,1.87126,0.00966795,0.3,10516.5079697,127.35,0.005,100,1,66.3639,-126.638,1.34718e-05,-94.5081128038,160.629127276,200,0.00260751,159.146530076,-76.362,1.2451,-94.5081128038
2594.33571336,3.50449e-18,,1.0,-70.370909802,1.0,0.01,0.3,2594.33571336,100.49,0.01,100,2,50.6793,-134.09,0.01,-70.370909802,200.0,200,1.0,100.0,-70.3709,1.0,-70.370909802
3766.62190655,8.05556e-05,3.78334,1.08358,-73.4606347162,19.9386,0.0920035,0.3,3766.62190655,104.29,0.005,100,1,45.5474,-114.356,0.00194402,-73.4606347162,199.999666215,200,0.421298,47.5498372332,-69.2992,1.0,-73.4606347162
3787.87891861,3.50449e-18,,1.0,-75.2506163035,1.0,0.01,0.3,3787.87891861,106.01,0.01,100,2,61.2372,-138.97,0.01,-75.2506163035,200.0,200,1.0,100.0,-75.2506,1.0,-75.2506163035
