VarVanillaIw,MaxVanillaIw,AvgRet,EpsThisIter,MaxNormIw,MinVanillaIw,MinNormIw,VarDiscRet,Bound,IterType,VarNormIw,VarRet,VanillaAvgRet,AvgEpLen,ESSRenyi,eRenyi2,ESSClassic,AvgNormIw,Delta,BatchSize,AvgVanillaIw,AvgDiscRet,J,VarJ
,1.0,-8.121736024209584,100,0.01,1.0,0.01,56.82074404926335,-9.33484,2,3.5044917e-18,56.82074404926335,-8.121736024209584,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.121736024209584,-8.121736,7.500169
,1.0,-9.144556843528704,100,0.005,1.0,0.005,49.137626736263165,-9.49094,2,2.179301e-19,49.137626736263165,-9.144556843528704,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-9.144556843528704,-8.633146,7.2602296
,1.0,-8.025540607780485,100,0.0033333334,1.0,0.0033333334,62.48858318492226,-9.130998,2,5.4391416e-20,62.48858318492226,-8.025540607780485,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-8.025540607780485,-8.430612,7.4728775
,1.0,-6.91286991587003,100,0.0025,1.0,0.0025,45.116854030776835,-8.662244,2,5.434597e-20,45.116854030776835,-6.91286991587003,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-6.91286991587003,-8.051176,7.313088
5.200564,42.711937,-8.576842948915482,100,0.08666514,0.03178527,6.4494256e-05,65.00572092188234,-8.476596,1,2.1411182e-05,65.00572092188234,-8.576842948915482,200.0,102.11714349043334,4.8963375,78.83834811334785,0.0020000003,0.8,500,0.9856775,-8.576842948915482,-7.267195,17.756084
,1.0,-8.454165944850418,100,0.01,1.0,0.01,52.049280324024124,-9.632104,2,3.5044917e-18,52.049280324024124,-8.454165944850418,200.0,500.0,1.0,100.0,0.009999998,0.8,500,1.0,-8.454165944850418,-8.454165,7.178355
,1.0,-8.848466268645875,100,0.005,1.0,0.005,54.91649504659428,-9.511544,2,2.179301e-19,54.91649504659428,-8.848466268645875,200.0,500.0,1.0,200.00000010221265,0.0049999994,0.8,500,1.0,-8.848466268645875,-8.651316,7.2792125
,1.0,-8.318673693877212,100,0.0033333334,1.0,0.0033333334,40.70248082874771,-9.242808,2,5.4391416e-20,40.70248082874771,-8.318673693877212,200.0,500.0,1.0,299.999969473632,0.0033333336,0.8,500,1.0,-8.318673693877212,-8.540435,6.984342
,1.0,-8.695136402301024,100,0.0025,1.0,0.0025,50.5260541192287,-9.187385,2,5.434597e-20,50.5260541192287,-8.695136402301024,200.0,500.0,1.0,400.0,0.0024999997,0.8,500,1.0,-8.695136402301024,-8.579111,7.0068145
0.36582175,7.3701878,-8.431502202582475,100,0.01399062,0.78020877,0.0014810484,57.34389647363874,-8.983109,1,1.3182153e-06,57.34389647363874,-8.431502202582475,200.0,383.0270845541779,1.3053907,376.2524410393683,0.0020000006,0.8,500,1.0535898,-8.431502202582475,-8.3615055,8.146557
