Delta,IterType,MinNormIw,VarJ,MinVanillaIw,AvgEpLen,Bound,ESSClassic,VarNormIw,ESSRenyi,MaxNormIw,VarDiscRet,AvgRet,AvgDiscRet,EpsThisIter,MaxVanillaIw,VarRet,eRenyi2,AvgNormIw,J,VanillaAvgRet,VarVanillaIw,BatchSize,AvgVanillaIw
0.9,,nan,nan,0.000340082,17.27,nan,nan,nan,nan,nan,19683.9563039,158.403158868,308.485061239,100,inf,7284.85612471,nan,nan,nan,158.403158868,nan,500,inf
0.9,1,1.52575e-24,1122.84,6.05514e-21,14.14,735.835,1.20559275711,0.00165825,6.76469571204,0.910549,6262.52879837,129.235518539,129.235518539,100,3613.63,6262.52879837,73.9132,0.002,851.934,129.235518539,26117.4,500,7.93725
0.9,2,0.01,148.029,1.0,31.02,257.549,100.0,3.50449e-18,500.0,0.01,22133.9592144,286.436580745,286.436580745,100,1.0,22133.9592144,1.0,0.01,286.437,286.436580745,,500,1.0
0.9,2,0.005,155.796,1.0,32.44,270.194,200.000000102,2.1793e-19,500.0,0.005,26809.6700139,299.918376752,299.918376752,100,1.0,26809.6700139,1.0,0.005,293.177,299.918376752,,500,1.0
0.9,2,0.00333333,157.065,1.0,34.7,283.578,299.999969474,5.43914e-20,500.0,0.00333333,25211.6073559,320.674795173,320.674795173,100,1.0,25211.6073559,1.0,0.00333333,302.343,320.674795173,,500,1.0
0.9,2,0.0025,163.433,1.0,34.24,289.021,400.0,5.4346e-20,500.0,0.0025,33006.4606546,316.769286373,316.769286373,100,1.0,33006.4606546,1.0,0.0025,305.95,316.769286373,,500,1.0
0.9,1,4.55507e-36,952.703,6.21629e-33,32.98,677.908,1.43303235589,0.00139443,7.21962323913,0.83332,25236.6204351,305.080088235,305.080088235,100,1137.23,25236.6204351,69.2557,0.002,814.261,305.080088235,2596.99,500,2.7294
0.9,2,0.01,192.355,1.0,48.65,413.145,100.0,3.50449e-18,500.0,0.01,37374.3822191,450.309636187,450.309636187,100,1.0,37374.3822191,1.0,0.01,450.31,450.309636187,,500,1.0
0.9,2,0.005,182.769,1.0,46.57,414.604,200.000000102,2.1793e-19,500.0,0.005,29930.1116836,431.458545002,431.458545002,100,1.0,29930.1116836,1.0,0.005,440.884,431.458545002,,500,1.0
0.9,2,0.00333333,192.067,1.0,51.99,429.617,299.999969474,5.43914e-20,500.0,0.00333333,43187.8361271,481.577002248,481.577002248,100,1.0,43187.8361271,1.0,0.00333333,454.448,481.577002248,,500,1.0
0.9,2,0.0025,190.416,1.0,44.9,423.316,400.0,5.4346e-20,500.0,0.0025,33587.256503,415.937752503,415.937752503,100,1.0,33587.256503,1.0,0.0025,444.821,415.937752503,,500,1.0
0.9,1,6.37458e-25,673.087,1.69166e-21,44.13,782.401,1.41741497129,0.00140984,15.3152537343,0.839061,22482.1969565,408.670479486,408.670479486,100,2226.66,22482.1969565,32.6472,0.002,892.301,408.670479486,9928.66,500,5.30751
0.9,2,0.01,189.724,1.0,62.01,538.124,100.0,3.50449e-18,500.0,0.01,36358.8516171,573.636736459,573.636736459,100,1.0,36358.8516171,1.0,0.01,573.637,573.636736459,,500,1.0
0.9,2,0.005,222.151,1.0,64.12,548.883,200.000000102,2.1793e-19,500.0,0.005,63149.2493912,593.096654444,593.096654444,100,1.0,63149.2493912,1.0,0.005,583.367,593.096654444,,500,1.0
0.9,2,0.00333333,234.205,1.0,67.09,560.95,299.999969474,5.43914e-20,500.0,0.00333333,65561.0646094,621.068595307,621.068595307,100,1.0,65561.0646094,1.0,0.00333333,595.934,621.068595307,,500,1.0
0.9,2,0.0025,237.823,1.0,68.3,574.767,400.0,5.4346e-20,500.0,0.0025,61297.2306177,632.45338825,632.45338825,100,1.0,61297.2306177,1.0,0.0025,605.064,632.45338825,,500,1.0
0.9,1,3.68451e-14,1943.96,5.63719e-11,62.97,1039.58,1.65787981163,0.00120477,11.4583472659,0.775576,48806.2208316,582.901186227,582.901186227,100,1186.61,48806.2208316,43.6363,0.002,1218.59,582.901186227,2820.13,500,3.05994
0.9,2,0.01,285.021,1.0,92.29,792.243,100.0,3.50449e-18,500.0,0.01,82057.4056956,852.510583704,852.510583704,100,1.0,82057.4056956,1.0,0.01,852.511,852.510583704,,500,1.0
0.9,2,0.005,305.253,1.0,87.42,772.752,200.000000102,2.1793e-19,500.0,0.005,105212.097754,808.640651165,808.640651165,100,1.0,105212.097754,1.0,0.005,830.576,808.640651165,,500,1.0
0.9,2,0.00333333,303.801,1.0,84.48,767.351,299.999969474,5.43914e-20,500.0,0.00333333,89885.8200249,782.53926339,782.53926339,100,1.0,89885.8200249,1.0,0.00333333,814.563,782.53926339,,500,1.0
0.9,2,0.0025,307.534,1.0,83.26,762.384,400.0,5.4346e-20,500.0,0.0025,100903.605253,769.393965874,769.393965874,100,1.0,100903.605253,1.0,0.0025,803.271,769.393965874,,500,1.0
0.9,1,2.63244e-27,2939.67,9.16165e-24,85.85,1940.12,1.22076740235,0.00163759,4.81961805762,0.904725,88298.7131549,793.964642422,793.964642422,100,3148.7,88298.7131549,103.743,0.002,2312.61,793.964642422,19835.1,500,6.96057
0.9,2,0.01,338.606,1.0,120.4,1029.66,100.0,3.50449e-18,500.0,0.01,115812.440595,1106.54935878,1106.54935878,100,1.0,115812.440595,1.0,0.01,1106.55,1106.54935878,,500,1.0
0.9,2,0.005,319.672,1.0,116.69,1036.17,200.000000102,2.1793e-19,500.0,0.005,90114.8474454,1074.54276469,1074.54276469,100,1.0,90114.8474454,1.0,0.005,1090.55,1074.54276469,,500,1.0
0.9,2,0.00333333,327.689,1.0,121.06,1054.66,299.999969474,5.43914e-20,500.0,0.00333333,118510.60576,1116.07484656,1116.07484656,100,1.0,118510.60576,1.0,0.00333333,1099.06,1116.07484656,,500,1.0
0.9,2,0.0025,323.197,1.0,110.16,1038.85,400.0,5.4346e-20,500.0,0.0025,90911.6865502,1012.00470391,1012.00470391,100,1.0,90911.6865502,1.0,0.0025,1077.29,1012.00470391,,500,1.0
0.9,1,8.76432e-19,1947.11,1.86402e-15,114.1,1784.34,1.33235359304,0.0015001,8.83470728561,0.865945,161718.644897,1051.79337624,1051.79337624,100,1841.71,161718.644897,56.595,0.002,2043.03,1051.79337624,6785.54,500,4.25365
0.9,2,0.01,387.873,1.0,141.73,1209.7,100.0,3.50449e-18,500.0,0.01,151965.422199,1304.74122555,1304.74122555,100,1.0,151965.422199,1.0,0.01,1304.74,1304.74122555,,500,1.0
0.9,2,0.005,356.633,1.0,129.46,1179.93,200.000000102,2.1793e-19,500.0,0.005,98274.9150335,1189.53223906,1189.53223906,100,1.0,98274.9150335,1.0,0.005,1247.14,1189.53223906,,500,1.0
0.9,2,0.00333333,368.85,1.0,138.15,1199.34,299.999969474,5.43914e-20,500.0,0.00333333,155025.923603,1268.37494312,1268.37494312,100,1.0,155025.923603,1.0,0.00333333,1254.22,1268.37494312,,500,1.0
0.9,2,0.0025,382.176,1.0,131.94,1196.78,400.0,5.4346e-20,500.0,0.0025,176670.098036,1214.55733803,1214.55733803,100,1.0,176670.098036,1.0,0.0025,1244.3,1214.55733803,,500,1.0
0.9,1,1.42658e-22,4223.61,5.01132e-19,136.52,2184.86,1.3162206572,0.00151854,4.50307982323,0.870896,135180.136173,1255.12866019,1255.12866019,100,3059.31,135180.136173,111.035,0.002,2645.74,1255.12866019,18738.8,500,7.02567
0.9,2,0.01,429.929,1.0,145.42,1243.44,100.0,3.50449e-18,500.0,0.01,186705.836617,1332.04337791,1332.04337791,100,1.0,186705.836617,1.0,0.01,1332.04,1332.04337791,,500,1.0
0.9,2,0.005,446.372,1.0,146.76,1269.98,200.000000102,2.1793e-19,500.0,0.005,215723.951022,1345.4371657,1345.4371657,100,1.0,215723.951022,1.0,0.005,1338.74,1345.4371657,,500,1.0
0.9,2,0.00333333,437.107,1.0,140.15,1264.17,299.999969474,5.43914e-20,500.0,0.00333333,174400.543204,1283.46249245,1283.46249245,100,1.0,174400.543204,1.0,0.00333333,1320.31,1283.46249245,,500,1.0
0.9,2,0.0025,431.196,1.0,137.86,1257.49,400.0,5.4346e-20,500.0,0.0025,169809.020682,1263.50419873,1263.50419873,100,1.0,169809.020682,1.0,0.0025,1306.11,1263.50419873,,500,1.0
0.9,1,2.23257e-14,2823.29,5.12069e-11,144.7,2157.39,1.31413304502,0.00152096,7.3842157206,0.872009,190614.095828,1325.59028744,1325.59028744,100,2000.07,190614.095828,67.712,0.002,2515.25,1325.59028744,8001.37,500,4.58726
0.9,2,0.01,420.688,1.0,158.94,1360.9,100.0,3.50449e-18,500.0,0.01,178765.679239,1456.08542642,1456.08542642,100,1.0,178765.679239,1.0,0.01,1456.09,1456.08542642,,500,1.0
0.9,2,0.005,440.83,1.0,153.36,1344.82,200.000000102,2.1793e-19,500.0,0.005,212496.536117,1404.83293331,1404.83293331,100,1.0,212496.536117,1.0,0.005,1430.46,1404.83293331,,500,1.0
0.9,2,0.00333333,441.385,1.0,156.35,1360.88,299.999969474,5.43914e-20,500.0,0.00333333,197775.161131,1431.50496754,1431.50496754,100,1.0,197775.161131,1.0,0.00333333,1430.81,1431.50496754,,500,1.0
0.9,2,0.0025,426.263,1.0,155.62,1368.55,400.0,5.4346e-20,500.0,0.0025,143743.664088,1424.00973103,1424.00973103,100,1.0,143743.664088,1.0,0.0025,1429.11,1424.00973103,,500,1.0
0.9,1,1.24055e-18,4478.08,3.47034e-15,165.97,2421.72,1.39481269467,0.00143275,7.0152587444,0.846098,336210.627007,1521.63464369,1521.63464369,100,2366.89,336210.627007,71.2732,0.002,2879.0,1521.63464369,11212.1,500,5.59484
0.9,2,0.01,447.351,1.0,158.44,1345.16,100.0,3.50449e-18,500.0,0.01,202144.697026,1449.3063997,1449.3063997,100,1.0,202144.697026,1.0,0.01,1449.31,1449.3063997,,500,1.0
0.9,2,0.005,422.688,1.0,152.31,1346.6,200.000000102,2.1793e-19,500.0,0.005,157088.995124,1391.17823644,1391.17823644,100,1.0,157088.995124,1.0,0.005,1420.24,1391.17823644,,500,1.0
0.9,2,0.00333333,449.735,1.0,164.49,1384.83,299.999969474,5.43914e-20,500.0,0.00333333,247096.88399,1505.34639546,1505.34639546,100,1.0,247096.88399,1.0,0.00333333,1448.61,1505.34639546,,500,1.0
0.9,2,0.0025,423.369,1.0,155.21,1385.71,400.0,5.4346e-20,500.0,0.0025,110582.625703,1417.95161918,1417.95161918,100,1.0,110582.625703,1.0,0.0025,1440.95,1417.95161918,,500,1.0
0.9,1,4.63445e-12,2641.33,1.6778e-08,154.46,2287.15,1.2688372884,0.0015754,12.3562116944,0.887582,127669.2498,1413.32591934,1413.32591934,100,3213.3,127669.2498,40.4655,0.002,2601.43,1413.32591934,20647.9,500,7.24057
0.9,2,0.01,490.226,1.0,167.21,1410.85,100.0,3.50449e-18,500.0,0.01,242749.106699,1533.47771316,1533.47771316,100,1.0,242749.106699,1.0,0.01,1533.48,1533.47771316,,500,1.0
0.9,2,0.005,541.356,1.0,174.41,1479.21,200.000000102,2.1793e-19,500.0,0.005,347093.278512,1599.6263971,1599.6263971,100,1.0,347093.278512,1.0,0.005,1566.55,1599.6263971,,500,1.0
0.9,2,0.00333333,515.783,1.0,162.12,1468.06,299.999969474,5.43914e-20,500.0,0.00333333,209628.070838,1485.0210593,1485.0210593,100,1.0,209628.070838,1.0,0.00333333,1539.38,1485.0210593,,500,1.0
0.9,2,0.0025,533.449,1.0,168.51,1477.14,400.0,5.4346e-20,500.0,0.0025,343597.884401,1543.88407775,1543.88407775,100,1.0,343597.884401,1.0,0.0025,1540.5,1543.88407775,,500,1.0
0.9,1,4.11409e-16,2591.67,1.1712e-12,167.85,2319.65,1.64932112415,0.00121104,11.6964637722,0.774368,240675.856178,1537.0620719,1537.0620719,100,2204.48,240675.856178,42.748,0.002,2690.16,1537.0620719,9814.68,500,5.69362
0.9,2,0.01,622.379,1.0,172.71,1463.2,100.0,3.50449e-18,500.0,0.01,391268.581426,1587.31905339,1587.31905339,100,1.0,391268.581426,1.0,0.01,1587.32,1587.31905339,,500,1.0
0.9,2,0.005,550.978,1.0,162.53,1452.29,200.000000102,2.1793e-19,500.0,0.005,217504.788829,1492.79115874,1492.79115874,100,1.0,217504.788829,1.0,0.005,1540.05,1492.79115874,,500,1.0
0.9,2,0.00333333,576.841,1.0,178.08,1500.46,299.999969474,5.43914e-20,500.0,0.00333333,388348.485734,1639.69045624,1639.69045624,100,1.0,388348.485734,1.0,0.00333333,1573.27,1639.69045624,,500,1.0
0.9,2,0.0025,552.364,1.0,165.37,1496.88,400.0,5.4346e-20,500.0,0.0025,222277.443251,1519.95833587,1519.95833587,100,1.0,222277.443251,1.0,0.0025,1559.94,1519.95833587,,500,1.0
0.9,1,8.04357e-08,2855.51,0.000314902,182.04,2522.1,1.28706671493,0.00155303,18.8402221321,0.881352,417529.163823,1676.60861706,1676.60861706,100,3450.45,417529.163823,26.539,0.002,2812.64,1676.60861706,23803.1,500,7.82992
0.9,2,0.01,573.11,1.0,176.18,1507.85,100.0,3.50449e-18,500.0,0.01,331773.266022,1618.62068436,1618.62068436,100,1.0,331773.266022,1.0,0.01,1618.62,1618.62068436,,500,1.0
0.9,2,0.005,560.013,1.0,174.44,1532.12,200.000000102,2.1793e-19,500.0,0.005,301656.625862,1602.26684145,1602.26684145,100,1.0,301656.625862,1.0,0.005,1610.44,1602.26684145,,500,1.0
0.9,2,0.00333333,611.828,1.0,186.79,1556.64,299.999969474,5.43914e-20,500.0,0.00333333,492922.677927,1718.45167735,1718.45167735,100,1.0,492922.677927,1.0,0.00333333,1646.45,1718.45167735,,500,1.0
0.9,2,0.0025,607.836,1.0,181.94,1575.59,400.0,5.4346e-20,500.0,0.0025,357863.703169,1674.14274213,1674.14274213,100,1.0,357863.703169,1.0,0.0025,1653.37,1674.14274213,,500,1.0
0.9,1,1.70288e-05,985.961,0.00901661,177.55,1638.42,162.481292943,8.32576e-06,207.717394868,0.0539541,401982.221525,1632.11390011,1632.11390011,100,28.5682,401982.221525,2.40712,0.002,1746.35,1632.11390011,2.33421,500,1.05898
0.9,2,0.01,553.96,1.0,178.47,1518.2,100.0,3.50449e-18,500.0,0.01,309971.324042,1642.80662022,1642.80662022,100,1.0,309971.324042,1.0,0.01,1642.81,1642.80662022,,500,1.0
0.9,2,0.005,576.389,1.0,176.21,1543.12,200.000000102,2.1793e-19,500.0,0.005,360917.701461,1619.65943243,1619.65943243,100,1.0,360917.701461,1.0,0.005,1631.23,1619.65943243,,500,1.0
0.9,2,0.00333333,585.168,1.0,182.39,1574.62,299.999969474,5.43914e-20,500.0,0.00333333,365057.251972,1677.2289808,1677.2289808,100,1.0,365057.251972,1.0,0.00333333,1646.57,1677.2289808,,500,1.0
0.9,2,0.0025,568.078,1.0,166.41,1542.9,400.0,5.4346e-20,500.0,0.0025,255636.593426,1528.22394661,1528.22394661,100,1.0,255636.593426,1.0,0.0025,1616.98,1528.22394661,,500,1.0
0.9,1,0.00011039,820.547,0.0537946,175.96,1591.33,326.961089879,2.12118e-06,294.180742518,0.0111982,334859.331588,1616.63713482,1616.63713482,100,5.45707,334859.331588,1.69964,0.002,1677.72,1616.63713482,0.503728,500,0.97463
0.9,2,0.01,545.169,1.0,171.19,1447.37,100.0,3.50449e-18,500.0,0.01,300211.76493,1571.2396678,1571.2396678,100,1.0,300211.76493,1.0,0.01,1571.24,1571.2396678,,500,1.0
0.9,2,0.005,577.974,1.0,174.96,1494.28,200.000000102,2.1793e-19,500.0,0.005,373940.629061,1608.60997588,1608.60997588,100,1.0,373940.629061,1.0,0.005,1589.92,1608.60997588,,500,1.0
0.9,2,0.00333333,614.142,1.0,191.19,1568.83,299.999969474,5.43914e-20,500.0,0.00333333,448393.871513,1760.92332057,1760.92332057,100,1.0,448393.871513,1.0,0.00333333,1646.92,1760.92332057,,500,1.0
0.9,2,0.0025,624.021,1.0,178.12,1576.48,400.0,5.4346e-20,500.0,0.0025,430306.36866,1635.65276226,1635.65276226,100,1.0,430306.36866,1.0,0.0025,1644.11,1635.65276226,,500,1.0
0.9,1,3.31523e-06,1074.94,0.00172445,186.15,1674.9,234.882258582,4.52395e-06,194.652502709,0.0189822,349032.084654,1712.26797047,1712.26797047,100,9.87377,349032.084654,2.56868,0.002,1771.85,1712.26797047,1.22403,500,1.04032
0.9,2,0.01,570.452,1.0,176.37,1492.03,100.0,3.50449e-18,500.0,0.01,328702.743489,1620.74385566,1620.74385566,100,1.0,328702.743489,1.0,0.01,1620.74,1620.74385566,,500,1.0
0.9,2,0.005,574.656,1.0,178.06,1538.31,200.000000102,2.1793e-19,500.0,0.005,338278.361583,1637.88987063,1637.88987063,100,1.0,338278.361583,1.0,0.005,1629.32,1637.88987063,,500,1.0
0.9,2,0.00333333,572.191,1.0,183.59,1574.99,299.999969474,5.43914e-20,500.0,0.00333333,322580.78625,1689.26137158,1689.26137158,100,1.0,322580.78625,1.0,0.00333333,1649.3,1689.26137158,,500,1.0
0.9,2,0.0025,561.585,1.0,180.86,1587.92,400.0,5.4346e-20,500.0,0.0025,282017.451529,1661.20937792,1661.20937792,100,1.0,282017.451529,1.0,0.0025,1652.28,1661.20937792,,500,1.0
0.9,1,3.65063e-06,4189.14,0.00222422,171.41,1921.26,33.6139944633,5.56103e-05,63.5187824177,0.15224,305531.759566,1572.39008038,1572.39008038,100,92.7553,305531.759566,7.87169,0.002,2082.75,1572.39008038,20.643,500,1.21854
0.9,2,0.01,596.0,1.0,173.49,1456.99,100.0,3.50449e-18,500.0,0.01,358803.705461,1595.89198061,1595.89198061,100,1.0,358803.705461,1.0,0.01,1595.89,1595.89198061,,500,1.0
0.9,2,0.005,581.63,1.0,173.89,1499.5,200.000000102,2.1793e-19,500.0,0.005,324610.156352,1599.53992874,1599.53992874,100,1.0,324610.156352,1.0,0.005,1597.72,1599.53992874,,500,1.0
0.9,2,0.00333333,592.54,1.0,178.61,1532.3,299.999969474,5.43914e-20,500.0,0.00333333,379207.587322,1642.04486805,1642.04486805,100,1.0,379207.587322,1.0,0.00333333,1612.49,1642.04486805,,500,1.0
0.9,2,0.0025,577.208,1.0,171.42,1533.49,400.0,5.4346e-20,500.0,0.0025,281082.409439,1574.29125581,1574.29125581,100,1.0,281082.409439,1.0,0.0025,1602.94,1574.29125581,,500,1.0
0.9,1,7.27911e-07,2383.09,0.000341227,171.33,1657.43,87.8597985014,1.88011e-05,79.2967639283,0.052249,308291.448677,1574.93571761,1574.93571761,100,24.4931,308291.448677,6.30543,0.002,1813.41,1574.93571761,4.13156,500,0.937551
0.9,2,0.01,594.536,1.0,184.95,1569.87,100.0,3.50449e-18,500.0,0.01,357043.813436,1701.14589588,1701.14589588,100,1.0,357043.813436,1.0,0.01,1701.15,1701.14589588,,500,1.0
0.9,2,0.005,595.283,1.0,187.5,1619.67,200.000000102,2.1793e-19,500.0,0.005,358579.007705,1723.84212002,1723.84212002,100,1.0,358579.007705,1.0,0.005,1712.49,1723.84212002,,500,1.0
0.9,2,0.00333333,594.066,1.0,190.29,1649.29,299.999969474,5.43914e-20,500.0,0.00333333,352596.131859,1750.23887772,1750.23887772,100,1.0,352596.131859,1.0,0.00333333,1725.08,1750.23887772,,500,1.0
0.9,2,0.0025,624.356,1.0,188.75,1661.68,400.0,5.4346e-20,500.0,0.0025,505532.815138,1734.02214677,1734.02214677,100,1.0,505532.815138,1.0,0.0025,1727.31,1734.02214677,,500,1.0
0.9,1,0.002,609.58,1.0,176.38,1646.54,500.000006643,5.43187e-20,500.0,0.002,291839.127846,1616.99811384,1616.99811384,100,1.0,291839.127846,1.0,0.002,1705.25,1616.99811384,,500,1.0
0.9,2,0.01,654.595,1.0,183.64,1558.66,100.0,3.50449e-18,500.0,0.01,432822.520765,1686.32643588,1686.32643588,100,1.0,432822.520765,1.0,0.01,1686.33,1686.32643588,,500,1.0
0.9,2,0.005,637.741,1.0,183.99,1588.62,200.000000102,2.1793e-19,500.0,0.005,388818.30602,1688.91753217,1688.91753217,100,1.0,388818.30602,1.0,0.005,1687.62,1688.91753217,,500,1.0
0.9,2,0.00333333,637.589,1.0,195.27,1642.72,299.999969474,5.43914e-20,500.0,0.00333333,402410.568685,1795.41752637,1795.41752637,100,1.0,402410.568685,1.0,0.00333333,1723.55,1795.41752637,,500,1.0
0.9,2,0.0025,631.009,1.0,189.28,1657.59,400.0,5.4346e-20,500.0,0.0025,376697.645639,1739.7182033,1739.7182033,100,1.0,376697.645639,1.0,0.0025,1727.59,1739.7182033,,500,1.0
0.9,1,0.002,603.598,1.0,169.19,1629.6,500.000006643,5.43187e-20,500.0,0.002,205991.212925,1550.7063854,1550.7063854,100,1.0,205991.212925,1.0,0.002,1692.22,1550.7063854,,500,1.0
0.9,2,0.01,632.932,1.0,187.26,1590.23,100.0,3.50449e-18,500.0,0.01,404649.336717,1719.97286775,1719.97286775,100,1.0,404649.336717,1.0,0.01,1719.97,1719.97286775,,500,1.0
0.9,2,0.005,617.236,1.0,186.16,1622.75,200.000000102,2.1793e-19,500.0,0.005,364947.469561,1709.01596608,1709.01596608,100,1.0,364947.469561,1.0,0.005,1714.49,1709.01596608,,500,1.0
0.9,2,0.00333333,594.861,1.0,180.05,1618.89,299.999969474,5.43914e-20,500.0,0.00333333,300264.435531,1655.04950338,1655.04950338,100,1.0,300264.435531,1.0,0.00333333,1694.68,1655.04950338,,500,1.0
0.9,2,0.0025,574.99,1.0,171.23,1597.44,400.0,5.4346e-20,500.0,0.0025,251404.082032,1568.2576128,1568.2576128,100,1.0,251404.082032,1.0,0.0025,1663.07,1568.2576128,,500,1.0
0.9,1,0.002,582.629,1.0,187.73,1616.51,500.000006643,5.43187e-20,500.0,0.002,375634.078586,1723.77912411,1723.77912411,100,1.0,375634.078586,1.0,0.002,1675.22,1723.77912411,,500,1.0
0.9,2,0.01,578.054,1.0,185.39,1589.55,100.0,3.50449e-18,500.0,0.01,337521.550835,1702.90087932,1702.90087932,100,1.0,337521.550835,1.0,0.01,1702.9,1702.90087932,,500,1.0
0.9,2,0.005,634.904,1.0,197.19,1669.83,200.000000102,2.1793e-19,500.0,0.005,470533.394558,1814.53743485,1814.53743485,100,1.0,470533.394558,1.0,0.005,1758.72,1814.53743485,,500,1.0
0.9,2,0.00333333,640.696,1.0,185.91,1657.26,299.999969474,5.43914e-20,500.0,0.00333333,427925.381548,1709.3646341,1709.3646341,100,1.0,427925.381548,1.0,0.00333333,1742.27,1709.3646341,,500,1.0
0.9,2,0.0025,618.437,1.0,180.85,1648.5,400.0,5.4346e-20,500.0,0.0025,296476.090628,1661.69949835,1661.69949835,100,1.0,296476.090628,1.0,0.0025,1722.13,1661.69949835,,500,1.0
0.9,1,0.002,599.693,1.0,178.53,1639.87,500.000006643,5.43187e-20,500.0,0.002,265575.161636,1640.08195611,1640.08195611,100,1.0,265575.161636,1.0,0.002,1705.72,1640.08195611,,500,1.0
0.9,2,0.01,588.476,1.0,176.55,1503.48,100.0,3.50449e-18,500.0,0.01,349802.560316,1619.50469877,1619.50469877,100,1.0,349802.560316,1.0,0.01,1619.5,1619.50469877,,500,1.0
0.9,2,0.005,564.402,1.0,177.74,1543.75,200.000000102,2.1793e-19,500.0,0.005,293653.192141,1632.08499425,1632.08499425,100,1.0,293653.192141,1.0,0.005,1625.79,1632.08499425,,500,1.0
0.9,2,0.00333333,598.037,1.0,182.66,1564.58,299.999969474,5.43914e-20,500.0,0.00333333,438507.684152,1676.60677786,1676.60677786,100,1.0,438507.684152,1.0,0.00333333,1642.73,1676.60677786,,500,1.0
0.9,2,0.0025,608.314,1.0,188.71,1598.33,400.0,5.4346e-20,500.0,0.0025,404781.648748,1735.85990646,1735.85990646,100,1.0,404781.648748,1.0,0.0025,1666.01,1735.85990646,,500,1.0
0.9,1,0.002,597.582,1.0,180.38,1603.68,500.000006643,5.43187e-20,500.0,0.002,308358.144945,1657.02779244,1657.02779244,100,1.0,308358.144945,1.0,0.002,1664.22,1657.02779244,,500,1.0
0.9,2,0.01,609.513,1.0,184.76,1581.65,100.0,3.50449e-18,500.0,0.01,375258.136023,1699.21086647,1699.21086647,100,1.0,375258.136023,1.0,0.01,1699.21,1699.21086647,,500,1.0
0.9,2,0.005,635.751,1.0,186.86,1617.86,200.000000102,2.1793e-19,500.0,0.005,441126.118874,1715.77808229,1715.77808229,100,1.0,441126.118874,1.0,0.005,1707.49,1715.77808229,,500,1.0
