MaxNormIw,VarDiscRet,J,ESSRenyi,VarVanillaIw,VarRet,Bound,MaxVanillaIw,VanillaAvgRet,BatchSize,AvgDiscRet,VarJ,VarNormIw,AvgEpLen,MinVanillaIw,AvgNormIw,AvgVanillaIw,eRenyi2,MinNormIw,AvgRet,ESSClassic
0.01,59.749720250685726,2.9802322e-08,nan,,59.749720250685726,-0.71877205,1.0,-8.54934918028043,100,3.2862601528904633e-16,7.6910477,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,3.2862601528904633e-16,100.0
0.01,58.11038223902085,1.4901161e-07,nan,,58.11038223902085,-0.74002206,1.0,-8.797906360572762,100,-1.4210854715202005e-15,7.5848055,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.4210854715202005e-15,100.0
0.01,67.95585436075014,-5.9604645e-08,nan,,67.95585436075014,-0.7441965,1.0,-8.842815925392749,100,1.8918200339612667e-15,8.202212,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.8918200339612667e-15,100.0
0.01,51.60198321877874,-8.940697e-08,nan,,51.60198321877874,-0.65045875,1.0,-7.730185488087236,100,1.2967404927621828e-15,7.1474442,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.2967404927621828e-15,100.0
0.01,55.73699225239615,9.685755e-08,nan,,55.73699225239615,-0.75925994,1.0,-9.022208998314003,100,1.2434497875801754e-16,7.4282985,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.2434497875801754e-16,100.0
0.01,70.65139324679348,-8.940697e-08,nan,,70.65139324679348,-0.83366,1.0,-9.929400658160368,100,7.105427357601002e-17,8.363306,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,7.105427357601002e-17,100.0
0.01,59.27310547151295,-3.7252903e-08,nan,,59.27310547151295,-0.763992,1.0,-9.083237657009375,100,-6.394884621840901e-16,7.6603117,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-6.394884621840901e-16,100.0
0.01,66.75259411838702,4.0978193e-08,nan,,66.75259411838702,-0.792261,1.0,-9.41351602253566,100,9.769962616701378e-16,8.129272,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,9.769962616701378e-16,100.0
0.01,57.2502333459366,-2.2351742e-08,nan,,57.2502333459366,-0.67606676,1.0,-8.032912286917279,100,-7.904787935331115e-16,7.5284615,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-7.904787935331115e-16,100.0
0.01,65.70615113828121,5.9604645e-08,nan,,65.70615113828121,-0.70311475,1.0,-8.354444542727817,100,-6.217248937900876e-16,8.065302,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-6.217248937900876e-16,100.0
0.01,72.39221872542771,,nan,,72.39221872542771,-0.79639196,1.0,-9.466090400876087,100,3.641531520770513e-16,8.465713,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,3.641531520770513e-16,100.0
0.01,61.51096631737076,1.4901161e-08,nan,,61.51096631737076,-0.77491516,1.0,-9.207514782182312,100,-1.7408297026122454e-15,7.80358,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.7408297026122454e-15,100.0
0.01,73.81811809891441,4.4703484e-08,nan,,73.81811809891441,-0.7785159,1.0,-9.263968305654299,100,6.217248937900876e-16,8.54868,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,6.217248937900876e-16,100.0
0.01,64.0607862863657,1.4901161e-08,nan,,64.0607862863657,-0.7531775,1.0,-8.949187930375764,100,-4.263256414560601e-16,7.963679,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-4.263256414560601e-16,100.0
0.01,66.17808661143866,-5.9604645e-08,nan,,66.17808661143866,-0.81374824,1.0,-9.669003230263252,100,-2.1316282072803005e-16,8.0942135,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-2.1316282072803005e-16,100.0
0.01,66.82613845749117,-2.2351742e-08,nan,,66.82613845749117,-0.70003814,1.0,-8.31777858926251,100,7.815970093361102e-16,8.133749,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,7.815970093361102e-16,100.0
0.01,56.58931220999016,1.4901161e-08,nan,,56.58931220999016,-0.666772,1.0,-7.922547611848244,100,1.2212453270876722e-15,7.4848795,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,1.2212453270876722e-15,100.0
0.01,69.87499945916274,-2.9802322e-08,nan,,69.87499945916274,-0.8395495,1.0,-10.008676960046998,100,-5.684341886080802e-16,8.317226,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-5.684341886080802e-16,100.0
0.01,71.74710507717441,2.9802322e-08,nan,,71.74710507717441,-0.65270805,1.0,-7.769187458128296,100,7.904787935331115e-16,8.427908,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,7.904787935331115e-16,100.0
0.01,80.23233781642993,3.7252903e-08,nan,,80.23233781642993,-0.89827424,1.0,-10.673431446586017,100,7.371880883511039e-16,8.912352,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,7.371880883511039e-16,100.0
0.01,62.21637294952865,2.9802322e-08,nan,,62.21637294952865,-0.8256407,1.0,-9.817296243464135,100,-1.4210854715202005e-15,7.848198,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-1.4210854715202005e-15,100.0
0.01,71.03623067734574,1.4901161e-08,nan,,71.03623067734574,-0.76463515,1.0,-9.085861076982738,100,9.414691248821328e-16,8.386052,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,9.414691248821328e-16,100.0
0.01,66.71266962693548,-2.9802322e-08,nan,,66.71266962693548,-0.73793536,1.0,-8.768109699518853,100,-2.460254222569347e-15,8.126841,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-2.460254222569347e-15,100.0
0.01,60.82713523638958,-1.1175871e-08,nan,,60.82713523638958,-0.610371,1.0,-7.252363588784343,100,-3.2862601528904633e-16,7.7600813,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-3.2862601528904633e-16,100.0
0.01,72.53058201499638,-2.9802322e-08,nan,,72.53058201499638,-0.7647041,1.0,-9.086241038279152,100,-5.329070518200751e-16,8.4738,3.5044917e-18,200.0,1.0,0.009999998,1.0,nan,0.01,-5.329070518200751e-16,100.0
