AvgEpLen,MaxVanillaIw,BatchSize,eRenyi2,VarJ,VarNormIw,VanillaAvgRet,AvgNormIw,VarDiscRet,ESSClassic,IterType,Bound,MinNormIw,AvgVanillaIw,MinVanillaIw,Delta,ESSRenyi,EpsThisIter,VarRet,AvgDiscRet,VarVanillaIw,MaxNormIw,J,AvgRet
25.29,625.253,400,35.2413,2933.93,0.00122491,233.316616578,0.0025,11713.1476666,2.0356727735,1,491.826,4.06638e-13,2.24031,3.64399e-10,0.5,11.3503195124,100,11713.1476666,233.316616578,983.648,0.69773,814.235,233.316616578
34.72,1.0,400,1.0,99.1331,3.50449e-18,321.479048137,0.01,9926.62944197,100.0,2,246.031,0.01,1.0,1.0,0.5,400.0,100,9926.62944197,321.479048137,,0.01,321.479,321.479048137
34.3,1.0,400,1.0,102.643,2.1793e-19,317.727820322,0.005,11350.2487489,200.000000102,2,266.253,0.005,1.0,1.0,0.5,400.0,100,11350.2487489,317.727820322,,0.005,319.603,317.727820322
33.5,1.0,400,1.0,99.105,5.43914e-20,310.160149685,0.00333333,8419.01047098,299.999969474,2,272.896,0.00333333,1.0,1.0,0.5,400.0,100,8419.01047098,310.160149685,,0.00333333,316.456,310.160149685
25.29,2.74425e+09,500,0.00254319,561.919,0.000966645,233.316616578,0.0025,19472.041311,2.57605100411,,-inf,3.15045e-13,1.26915e+07,0.00159935,0.5,196603.764091,100,11713.1476666,296.586695733,2.49121e+16,0.540569,247.522,233.316616578
24.72,861.388,500,47.8282,3261.09,0.000959849,227.866169988,0.002,10006.0347039,2.07915670929,1,476.723,5.30197e-17,2.495,6.61421e-14,0.5,10.4540907955,100,10006.0347039,227.866169988,1493.77,0.690492,812.667,227.866169988
37.88,1.0,500,1.0,143.875,3.50449e-18,350.703269172,0.01,20909.2384805,100.0,2,226.949,0.01,1.0,1.0,0.5,500.0,100,20909.2384805,350.703269172,,0.01,350.703,350.703269172
36.17,1.0,500,1.0,146.685,2.1793e-19,334.919615734,0.005,22432.3596544,200.000000102,2,255.304,0.005,1.0,1.0,0.5,500.0,100,22432.3596544,334.919615734,,0.005,342.811,334.919615734
35.78,1.0,500,1.0,139.438,5.43914e-20,331.371540626,0.00333333,15362.9185399,299.999969474,2,267.549,0.00333333,1.0,1.0,0.5,500.0,100,15362.9185399,331.371540626,,0.00333333,338.998,331.371540626
37.11,1.0,500,1.0,136.534,5.4346e-20,343.718339318,0.0025,16384.237659,400.0,2,278.301,0.0025,1.0,1.0,0.5,500.0,100,16384.237659,343.718339318,,0.0025,340.178,343.718339318
35.65,1367.01,500,19.3054,3548.68,0.00114918,330.16187563,0.002,10779.7905788,1.73780103246,1,785.88,2.70836e-07,3.6057,0.000488276,0.5,25.8994830062,100,10779.7905788,330.16187563,3735.13,0.75825,1029.05,330.16187563
38.51,1.0,500,1.0,140.569,3.50449e-18,356.894507218,0.01,19959.1770042,100.0,2,265.933,0.01,1.0,1.0,0.5,500.0,100,19959.1770042,356.894507218,,0.01,356.894,356.894507218
40.15,1.0,500,1.0,149.737,2.1793e-19,372.211080273,0.005,25217.6935406,200.000000102,2,283.119,0.005,1.0,1.0,0.5,500.0,100,25217.6935406,372.211080273,,0.005,364.553,372.211080273
39.82,1.0,500,1.0,143.046,5.43914e-20,368.852484868,0.00333333,16699.1746349,299.999969474,2,299.495,0.00333333,1.0,1.0,0.5,500.0,100,16699.1746349,368.852484868,,0.00333333,365.986,368.852484868
37.53,1.0,500,1.0,139.737,5.4346e-20,347.529256558,0.0025,16629.8589988,400.0,2,303.789,0.0025,1.0,1.0,0.5,500.0,100,16629.8589988,347.529256558,,0.0025,361.372,347.529256558
39.87,544.334,500,7.61863,1551.71,0.0006207,369.322675371,0.002,20780.8037281,3.20791181185,1,431.034,3.99024e-09,1.95385,3.89817e-06,0.5,65.628556774,100,20780.8037281,369.322675371,592.386,0.557191,573.194,369.322675371
41.18,1.0,500,1.0,115.952,3.50449e-18,381.492710417,0.01,13580.7725506,100.0,2,293.486,0.01,1.0,1.0,0.5,500.0,100,13580.7725506,381.492710417,,0.01,381.493,381.492710417
48.21,1.0,500,1.0,147.751,2.1793e-19,447.031777697,0.005,28351.3246028,200.000000102,2,350.377,0.005,1.0,1.0,0.5,500.0,100,28351.3246028,447.031777697,,0.005,414.262,447.031777697
43.19,1.0,500,1.0,144.383,5.43914e-20,400.5585085,0.00333333,18943.2209341,299.999969474,2,349.886,0.00333333,1.0,1.0,0.5,500.0,100,18943.2209341,400.5585085,,0.00333333,409.694,400.5585085
44.91,1.0,500,1.0,150.338,5.4346e-20,415.912574948,0.0025,28118.3633707,400.0,2,349.413,0.0025,1.0,1.0,0.5,500.0,100,28118.3633707,415.912574948,,0.0025,411.249,415.912574948
45.84,1429.6,500,51.9358,3048.31,0.00115161,424.901492738,0.002,20600.0321679,1.73414870948,1,661.379,4.44504e-25,3.77257,8.3846e-22,0.5,9.62726801444,100,20600.0321679,424.901492738,4097.49,0.757894,1059.96,424.901492738
47.8,1.0,500,1.0,162.447,3.50449e-18,443.188832917,0.01,26655.4938987,100.0,2,341.911,0.01,1.0,1.0,0.5,500.0,100,26655.4938987,443.188832917,,0.01,443.189,443.188832917
46.97,1.0,500,1.0,154.919,2.1793e-19,435.565627535,0.005,21799.9618622,200.000000102,2,367.763,0.005,1.0,1.0,0.5,500.0,100,21799.9618622,435.565627535,,0.005,439.377,435.565627535
47.78,1.0,500,1.0,159.397,5.43914e-20,442.747131015,0.00333333,28499.8978611,299.999969474,2,378.431,0.00333333,1.0,1.0,0.5,500.0,100,28499.8978611,442.747131015,,0.00333333,440.501,442.747131015
45.63,1.0,500,1.0,158.186,5.4346e-20,423.008522499,0.0025,23877.6947743,400.0,2,380.735,0.0025,1.0,1.0,0.5,500.0,100,23877.6947743,423.008522499,,0.0025,436.128,423.008522499
44.8,630.702,500,34.8631,3228.26,0.000660286,415.367964176,0.002,20934.2025282,3.01675075154,1,566.8,9.15493e-15,2.2073,1.01039e-11,0.5,14.3418198657,100,20934.2025282,415.367964176,804.259,0.571468,859.335,415.367964176
55.34,1.0,500,1.0,209.526,3.50449e-18,512.912774247,0.01,44344.5018481,100.0,2,364.928,0.01,1.0,1.0,0.5,500.0,100,44344.5018481,512.912774247,,0.01,512.913,512.912774247
57.36,1.0,500,1.0,202.016,2.1793e-19,531.501330444,0.005,37926.4546939,200.000000102,2,417.566,0.005,1.0,1.0,0.5,500.0,100,37926.4546939,531.501330444,,0.005,522.207,531.501330444
58.16,1.0,500,1.0,202.852,5.43914e-20,539.013648854,0.00333333,42057.6696881,299.999969474,2,442.37,0.00333333,1.0,1.0,0.5,500.0,100,42057.6696881,539.013648854,,0.00333333,527.809,539.013648854
55.29,1.0,500,1.0,196.198,5.4346e-20,513.078010384,0.0025,30672.5011747,400.0,2,450.134,0.0025,1.0,1.0,0.5,500.0,100,30672.5011747,513.078010384,,0.0025,524.126,513.078010384
56.91,1122.19,500,34.9095,3543.1,0.000934496,527.496170271,0.002,36565.8103903,2.13532240817,1,858.542,1.93783e-13,3.33619,3.23248e-10,0.5,14.3227393813,100,36565.8103903,527.496170271,2600.28,0.672734,1249.57,527.496170271
60.81,1.0,500,1.0,206.931,3.50449e-18,563.346704264,0.01,43252.8059771,100.0,2,425.805,0.01,1.0,1.0,0.5,500.0,100,43252.8059771,563.346704264,,0.01,563.347,563.346704264
62.8,1.0,500,1.0,210.442,2.1793e-19,582.385339449,0.005,46030.883916,200.000000102,2,475.609,0.005,1.0,1.0,0.5,500.0,100,46030.883916,582.385339449,,0.005,572.866,582.385339449
59.12,1.0,500,1.0,206.445,5.43914e-20,548.315860815,0.00333333,39277.4919202,299.999969474,2,485.273,0.00333333,1.0,1.0,0.5,500.0,100,39277.4919202,548.315860815,,0.00333333,564.683,548.315860815
63.36,1.0,500,1.0,211.636,5.4346e-20,587.720093985,0.0025,51416.1764876,400.0,2,501.671,0.0025,1.0,1.0,0.5,500.0,100,51416.1764876,587.720093985,,0.0025,570.442,587.720093985
59.95,1147.44,500,21.8076,2603.87,0.00105042,556.045276006,0.002,31584.4444369,1.90055984085,1,836.023,3.24023e-13,3.16942,5.13483e-10,0.5,22.9278367539,100,31584.4444369,556.045276006,2637.93,0.724072,1123.27,556.045276006
66.39,1.0,500,1.0,206.386,3.50449e-18,615.788059061,0.01,43025.2496241,100.0,2,491.726,0.01,1.0,1.0,0.5,500.0,100,43025.2496241,615.788059061,,0.01,615.788,615.788059061
64.89,1.0,500,1.0,194.646,2.1793e-19,601.855444802,0.005,33416.0244936,200.000000102,2,521.096,0.005,1.0,1.0,0.5,500.0,100,33416.0244936,601.855444802,,0.005,608.822,601.855444802
67.4,1.0,500,1.0,205.716,5.43914e-20,625.346652121,0.00333333,51516.7843614,299.999969474,2,521.354,0.00333333,1.0,1.0,0.5,500.0,100,51516.7843614,625.346652121,,0.00333333,614.33,625.346652121
68.54,1.0,500,1.0,209.259,5.4346e-20,634.937351318,0.0025,48364.390946,400.0,2,538.962,0.0025,1.0,1.0,0.5,500.0,100,48364.390946,634.937351318,,0.0025,619.482,634.937351318
66.96,1325.37,500,14.9641,2477.63,0.00109054,620.759937601,0.002,38151.0597553,1.83090257199,1,797.113,8.07055e-10,3.59102,1.44907e-06,0.5,33.4132261027,100,38151.0597553,620.759937601,3515.73,0.738156,1075.71,620.759937601
75.06,1.0,500,1.0,228.843,3.50449e-18,695.471005163,0.01,52898.0127193,100.0,2,556.429,0.01,1.0,1.0,0.5,500.0,100,52898.0127193,695.471005163,,0.01,695.471,695.471005163
72.29,1.0,500,1.0,234.84,2.1793e-19,670.008604695,0.005,58188.5082511,200.000000102,2,576.92,0.005,1.0,1.0,0.5,500.0,100,58188.5082511,670.008604695,,0.005,682.74,670.008604695
73.17,1.0,500,1.0,237.02,5.43914e-20,677.746148063,0.00333333,58807.1504882,299.999969474,2,594.673,0.00333333,1.0,1.0,0.5,500.0,100,58807.1504882,677.746148063,,0.00333333,681.075,677.746148063
78.32,1.0,500,1.0,248.734,5.4346e-20,725.729983408,0.0025,78226.5769584,400.0,2,617.005,0.0025,1.0,1.0,0.5,500.0,100,78226.5769584,725.729983408,,0.0025,692.239,725.729983408
74.12,19.5479,500,2.72416,448.976,8.73782e-06,686.831393713,0.002,54880.4148389,157.228478154,1,666.179,2.20741e-06,1.09268,0.00120599,0.5,183.54257888,100,54880.4148389,686.831393713,2.60812,0.0357799,777.243,686.831393713
79.21,1.0,500,1.0,252.296,3.50449e-18,734.09267453,0.01,64296.239295,100.0,2,561.952,0.01,1.0,1.0,0.5,500.0,100,64296.239295,734.09267453,,0.01,734.093,734.09267453
74.35,1.0,500,1.0,235.299,2.1793e-19,688.72750301,0.005,46514.4403303,200.000000102,2,589.688,0.005,1.0,1.0,0.5,500.0,100,46514.4403303,688.72750301,,0.005,711.41,688.72750301
76.08,1.0,500,1.0,236.546,5.43914e-20,705.229393903,0.00333333,57682.3696982,299.999969474,2,609.965,0.00333333,1.0,1.0,0.5,500.0,100,57682.3696982,705.229393903,,0.00333333,709.35,705.229393903
74.83,1.0,500,1.0,235.778,5.4346e-20,693.874697226,0.0025,54871.6304562,400.0,2,619.411,0.0025,1.0,1.0,0.5,500.0,100,54871.6304562,693.874697226,,0.0025,705.481,693.874697226
70.65,68.0075,500,5.08091,1148.14,5.13616e-05,654.597582225,0.002,44399.4540308,36.1932957984,1,666.583,8.11265e-08,1.17741,4.77597e-05,0.5,98.407583207,100,44399.4540308,654.597582225,17.8007,0.11552,840.111,654.597582225
75.69,1.0,500,1.0,232.248,3.50449e-18,700.524168169,0.01,54484.147543,100.0,2,564.596,0.01,1.0,1.0,0.5,500.0,100,54484.147543,700.524168169,,0.01,700.524,700.524168169
79.42,1.0,500,1.0,232.439,2.1793e-19,736.372569012,0.005,54013.6483061,200.000000102,2,616.034,0.005,1.0,1.0,0.5,500.0,100,54013.6483061,736.372569012,,0.005,718.448,736.372569012
73.71,1.0,500,1.0,228.224,5.43914e-20,683.606178584,0.00333333,47872.436792,299.999969474,2,623.213,0.00333333,1.0,1.0,0.5,500.0,100,47872.436792,683.606178584,,0.00333333,706.834,683.606178584
78.85,1.0,500,1.0,225.626,5.4346e-20,730.29871096,0.0025,47431.6342655,400.0,2,640.282,0.0025,1.0,1.0,0.5,500.0,100,47431.6342655,730.29871096,,0.0025,712.7,730.29871096
79.48,255.023,500,10.4089,2321.1,0.000253072,736.608121182,0.002,63723.5019126,7.79526621175,1,765.134,7.17765e-09,1.46968,5.27443e-06,0.5,48.0360343555,100,63723.5019126,736.608121182,136.657,0.347046,974.108,736.608121182
80.49,1.0,500,1.0,198.671,3.50449e-18,745.389905029,0.01,39868.8375215,100.0,2,607.256,0.01,1.0,1.0,0.5,500.0,100,39868.8375215,745.389905029,,0.01,745.39,745.389905029
71.72,1.0,500,1.0,211.507,2.1793e-19,665.353744469,0.005,47269.9443251,200.000000102,2,606.34,0.005,1.0,1.0,0.5,500.0,100,47269.9443251,665.353744469,,0.005,705.372,665.353744469
80.69,1.0,500,1.0,214.056,5.43914e-20,748.139039436,0.00333333,47242.935975,299.999969474,2,638.769,0.00333333,1.0,1.0,0.5,500.0,100,47242.935975,748.139039436,,0.00333333,719.628,748.139039436
76.07,1.0,500,1.0,216.246,5.4346e-20,704.790199133,0.0025,49923.848022,400.0,2,645.892,0.0025,1.0,1.0,0.5,500.0,100,49923.848022,704.790199133,,0.0025,715.918,704.790199133
81.57,996.139,500,9.04038,1504.95,0.000952119,755.929184834,0.002,52995.9368726,2.09596509187,1,833.686,4.0552e-09,2.88782,5.85534e-06,0.5,55.307412555,100,52995.9368726,755.929184834,1985.05,0.689891,1022.01,755.929184834
81.66,1.0,500,1.0,275.754,3.50449e-18,757.445498803,0.01,76808.2041023,100.0,2,604.044,0.01,1.0,1.0,0.5,500.0,100,76808.2041023,757.445498803,,0.01,757.445,757.445498803
78.62,1.0,500,1.0,256.138,2.1793e-19,727.520964287,0.005,55277.8326092,200.000000102,2,634.012,0.005,1.0,1.0,0.5,500.0,100,55277.8326092,727.520964287,,0.005,742.483,727.520964287
76.06,1.0,500,1.0,244.947,5.43914e-20,705.164292035,0.00333333,48338.4066069,299.999969474,2,641.477,0.00333333,1.0,1.0,0.5,500.0,100,48338.4066069,705.164292035,,0.00333333,730.044,705.164292035
82.91,1.0,500,1.0,247.86,5.4346e-20,767.990593502,0.0025,65315.2536495,400.0,2,662.702,0.0025,1.0,1.0,0.5,500.0,100,65315.2536495,767.990593502,,0.0025,739.53,767.990593502
81.01,29.1029,500,3.39181,795.211,1.49274e-05,750.17365802,0.002,60197.460436,105.833640582,1,718.192,6.4246e-08,0.973098,3.12588e-05,0.5,147.413816615,100,60197.460436,750.17365802,3.53377,0.0598149,845.414,750.17365802
83.83,1.0,500,1.0,257.296,3.50449e-18,776.15732172,0.01,66870.0923063,100.0,2,629.872,0.01,1.0,1.0,0.5,500.0,100,66870.0923063,776.15732172,,0.01,776.157,776.15732172
74.87,1.0,500,1.0,245.51,2.1793e-19,693.55586177,0.005,51452.2229832,200.000000102,2,631.417,0.005,1.0,1.0,0.5,500.0,100,51452.2229832,693.55586177,,0.005,734.857,693.55586177
83.65,1.0,500,1.0,241.542,5.43914e-20,775.640107435,0.00333333,53907.7128608,299.999969474,2,663.993,0.00333333,1.0,1.0,0.5,500.0,100,53907.7128608,775.640107435,,0.00333333,748.451,775.640107435
81.16,1.0,500,1.0,237.734,5.4346e-20,751.893343494,0.0025,51549.1404534,400.0,2,676.169,0.0025,1.0,1.0,0.5,500.0,100,51549.1404534,751.893343494,,0.0025,749.312,751.893343494
82.14,1093.52,500,8.35302,1427.1,0.000985173,761.429161064,0.002,51438.8090987,2.02592922743,1,844.006,3.52745e-08,3.11559,5.49504e-05,0.5,59.8585716114,100,51438.8090987,761.429161064,2390.74,0.701969,1042.79,761.429161064
84.68,1.0,500,1.0,234.416,3.50449e-18,783.684675036,0.01,55505.8717722,100.0,2,645.406,0.01,1.0,1.0,0.5,500.0,100,55505.8717722,783.684675036,,0.01,783.685,783.684675036
84.33,1.0,500,1.0,229.032,2.1793e-19,781.442671665,0.005,50462.7764742,200.000000102,2,683.724,0.005,1.0,1.0,0.5,500.0,100,50462.7764742,781.442671665,,0.005,782.564,781.442671665
83.32,1.0,500,1.0,233.591,5.43914e-20,771.885109254,0.00333333,59299.1239614,299.999969474,2,698.302,0.00333333,1.0,1.0,0.5,500.0,100,59299.1239614,771.885109254,,0.00333333,779.004,771.885109254
81.75,1.0,500,1.0,231.135,5.4346e-20,756.864584552,0.0025,50133.2892158,400.0,2,703.579,0.0025,1.0,1.0,0.5,500.0,100,50133.2892158,756.864584552,,0.0025,773.469,756.864584552
85.88,545.629,500,17.4093,2940.72,0.000658887,794.726137428,0.002,56634.7535746,3.02311400952,1,940.441,9.65343e-12,1.90581,9.1988e-09,0.5,28.7203071078,100,56634.7535746,794.726137428,598.288,0.572596,1208.45,794.726137428
86.25,1.0,500,1.0,240.914,3.50449e-18,799.64254212,0.01,58626.0464802,100.0,2,655.952,0.01,1.0,1.0,0.5,500.0,100,58626.0464802,799.64254212,,0.01,799.643,799.64254212
86.06,1.0,500,1.0,242.509,2.1793e-19,797.582831707,0.005,60180.8767199,200.000000102,2,694.589,0.005,1.0,1.0,0.5,500.0,100,60180.8767199,797.582831707,,0.005,798.613,797.582831707
81.38,1.0,500,1.0,240.953,5.43914e-20,752.50297423,0.00333333,55693.2645939,299.999969474,2,698.308,0.00333333,1.0,1.0,0.5,500.0,100,55693.2645939,752.50297423,,0.00333333,783.243,752.50297423
85.73,1.0,500,1.0,238.872,5.4346e-20,793.796641364,0.0025,54525.5830584,400.0,2,712.326,0.0025,1.0,1.0,0.5,500.0,100,54525.5830584,793.796641364,,0.0025,785.881,793.796641364
82.14,770.813,500,21.8471,2652.48,0.000935953,760.634427041,0.002,55420.1838826,2.13201224645,1,957.495,1.15778e-16,2.25612,1.30604e-13,0.5,22.8863194822,100,55420.1838826,760.634427041,1191.02,0.683309,1265.0,760.634427041
82.83,1.0,500,1.0,238.802,3.50449e-18,766.980505222,0.01,57602.5782612,100.0,2,633.033,0.01,1.0,1.0,0.5,500.0,100,57602.5782612,766.980505222,,0.01,766.981,766.980505222
80.87,1.0,500,1.0,246.683,2.1793e-19,748.696742624,0.005,65163.2478982,200.000000102,2,657.127,0.005,1.0,1.0,0.5,500.0,100,65163.2478982,748.696742624,,0.005,757.839,748.696742624
83.15,1.0,500,1.0,249.823,5.43914e-20,770.782956893,0.00333333,66077.827185,299.999969474,2,674.446,0.00333333,1.0,1.0,0.5,500.0,100,66077.827185,770.782956893,,0.00333333,762.153,770.782956893
84.84,1.0,500,1.0,245.838,5.4346e-20,786.11600278,0.0025,54627.4747493,400.0,2,692.187,0.0025,1.0,1.0,0.5,500.0,100,54627.4747493,786.11600278,,0.0025,768.144,786.11600278
82.43,77.2164,500,2.80518,598.634,3.77532e-05,763.861550123,0.002,50132.2885707,47.9872575147,1,740.784,2.79312e-06,1.24654,0.00174087,0.5,178.241510195,100,50132.2885707,763.861550123,14.6659,0.123889,854.571,763.861550123
82.94,1.0,500,1.0,246.566,3.50449e-18,767.926421238,0.01,61409.0678902,100.0,2,619.811,0.01,1.0,1.0,0.5,500.0,100,61409.0678902,767.926421238,,0.01,767.926,767.926421238
82.23,1.0,500,1.0,248.183,2.1793e-19,761.969066778,0.005,63006.7843812,200.000000102,2,660.215,0.005,1.0,1.0,0.5,500.0,100,63006.7843812,761.969066778,,0.005,764.948,761.969066778
77.26,1.0,500,1.0,245.373,5.43914e-20,715.23852961,0.00333333,56349.8629591,299.999969474,2,661.382,0.00333333,1.0,1.0,0.5,500.0,100,56349.8629591,715.23852961,,0.00333333,748.378,715.23852961
80.87,1.0,500,1.0,242.55,5.4346e-20,749.463904491,0.0025,55251.2086031,400.0,2,673.308,0.0025,1.0,1.0,0.5,500.0,100,55251.2086031,749.463904491,,0.0025,748.649,749.463904491
87.11,28.5682,500,2.73909,824.483,1.19018e-05,805.740419089,0.002,70462.8014609,125.960713062,1,719.727,1.79479e-05,1.09315,0.00980986,0.5,182.542427158,100,70462.8014609,805.740419089,3.55558,0.0522677,831.254,805.740419089
86.26,1.0,500,1.0,253.298,3.50449e-18,798.63995794,0.01,64808.0161018,100.0,2,656.127,0.01,1.0,1.0,0.5,500.0,100,64808.0161018,798.63995794,,0.01,798.64,798.63995794
84.1,1.0,500,1.0,236.674,2.1793e-19,778.360330351,0.005,48145.2968521,200.000000102,2,687.728,0.005,1.0,1.0,0.5,500.0,100,48145.2968521,778.360330351,,0.005,788.5,778.360330351
79.61,1.0,500,1.0,228.046,5.43914e-20,737.838985255,0.00333333,42701.0101469,299.999969474,2,689.01,0.00333333,1.0,1.0,0.5,500.0,100,42701.0101469,737.838985255,,0.00333333,771.613,737.838985255
86.74,1.0,500,1.0,238.624,5.4346e-20,802.698224104,0.0025,71744.392307,400.0,2,707.848,0.0025,1.0,1.0,0.5,500.0,100,71744.392307,802.698224104,,0.0025,779.384,802.698224104
82.67,1.0,500,1.0,238.327,5.43187e-20,765.983005041,0.002,56656.7374265,500.000006643,1,712.72,0.002,1.0,1.0,0.5,500.0,100,56656.7374265,765.983005041,,0.002,776.704,765.983005041
86.31,1.0,500,1.0,233.036,3.50449e-18,800.028271081,0.01,54854.497077,100.0,2,652.39,0.01,1.0,1.0,0.5,500.0,100,54854.497077,800.028271081,,0.01,800.028,800.028271081
81.1,1.0,500,1.0,230.923,2.1793e-19,751.913152027,0.005,51704.6705734,200.000000102,2,671.574,0.005,1.0,1.0,0.5,500.0,100,51704.6705734,751.913152027,,0.005,775.971,751.913152027
84.54,1.0,500,1.0,236.374,5.43914e-20,782.750865769,0.00333333,61551.6621746,299.999969474,2,692.992,0.00333333,1.0,1.0,0.5,500.0,100,61551.6621746,782.750865769,,0.00333333,778.231,782.750865769
89.99,1.0,500,1.0,248.561,5.4346e-20,831.908273964,0.0025,78133.4484965,400.0,2,717.831,0.0025,1.0,1.0,0.5,500.0,100,78133.4484965,831.908273964,,0.0025,791.65,831.908273964
88.14,1.0,500,1.0,246.568,5.43187e-20,815.973507034,0.002,56943.4815692,500.000006643,1,730.489,0.002,1.0,1.0,0.5,500.0,100,56943.4815692,815.973507034,,0.002,796.515,815.973507034
79.17,1.0,500,1.0,239.391,3.50449e-18,733.312050019,0.01,57886.9895624,100.0,2,592.805,0.01,1.0,1.0,0.5,500.0,100,57886.9895624,733.312050019,,0.01,733.312,733.312050019
85.67,1.0,500,1.0,250.512,2.1793e-19,792.476024653,0.005,67125.0716154,200.000000102,2,663.54,0.005,1.0,1.0,0.5,500.0,100,67125.0716154,792.476024653,,0.005,762.894,792.476024653
87.07,1.0,500,1.0,243.897,5.43914e-20,805.832686503,0.00333333,52238.5052523,299.999969474,2,692.141,0.00333333,1.0,1.0,0.5,500.0,100,52238.5052523,805.832686503,,0.00333333,777.207,805.832686503
78.65,1.0,500,1.0,237.147,5.4346e-20,728.887868744,0.0025,45198.0575519,400.0,2,691.458,0.0025,1.0,1.0,0.5,500.0,100,45198.0575519,728.887868744,,0.0025,765.127,728.887868744
84.4,1.0,500,1.0,235.165,5.43187e-20,782.087372218,0.002,51846.9797031,500.000006643,1,702.628,0.002,1.0,1.0,0.5,500.0,100,51846.9797031,782.087372218,,0.002,768.519,782.087372218
84.32,1.0,500,1.0,249.339,3.50449e-18,781.120434938,0.01,62798.1328229,100.0,2,644.27,0.01,1.0,1.0,0.5,500.0,100,62798.1328229,781.120434938,,0.01,781.12,781.120434938
83.44,1.0,500,1.0,240.797,2.1793e-19,773.642893892,0.005,54310.9730483,200.000000102,2,678.793,0.005,1.0,1.0,0.5,500.0,100,54310.9730483,773.642893892,,0.005,777.382,773.642893892
84.04,1.0,500,1.0,238.74,5.43914e-20,777.993950721,0.00333333,55580.3859027,299.999969474,2,691.059,0.00333333,1.0,1.0,0.5,500.0,100,55580.3859027,777.993950721,,0.00333333,777.586,777.993950721
86.87,1.0,500,1.0,238.524,5.4346e-20,803.872502298,0.0025,56631.7581236,400.0,2,709.223,0.0025,1.0,1.0,0.5,500.0,100,56631.7581236,803.872502298,,0.0025,784.157,803.872502298
84.57,1.0,500,1.0,243.385,5.43187e-20,782.907387905,0.002,69297.691262,500.000006643,1,716.884,0.002,1.0,1.0,0.5,500.0,100,69297.691262,782.907387905,,0.002,783.908,782.907387905
87.06,1.0,500,1.0,253.937,3.50449e-18,806.930028546,0.01,65135.4196592,100.0,2,664.543,0.01,1.0,1.0,0.5,500.0,100,65135.4196592,806.930028546,,0.01,806.93,806.930028546
84.4,1.0,500,1.0,243.136,2.1793e-19,781.490837111,0.005,53961.8253219,200.000000102,2,693.488,0.005,1.0,1.0,0.5,500.0,100,53961.8253219,781.490837111,,0.005,794.21,781.490837111
88.21,1.0,500,1.0,249.783,5.43914e-20,817.030491738,0.00333333,69291.0964997,299.999969474,2,715.63,0.00333333,1.0,1.0,0.5,500.0,100,69291.0964997,817.030491738,,0.00333333,801.817,817.030491738
