VanillaAvgRet,VarDiscRet,AvgDiscRet,MaxVanillaIw,VarRet,J,MaxNormIw,BatchSize,VarNormIw,ESSClassic,AvgVanillaIw,AvgRet,eRenyi2,IterType,Delta,VarJ,MinVanillaIw,AvgNormIw,AvgEpLen,MinNormIw,ESSRenyi,VarVanillaIw,EpsThisIter,Bound
-106.688161903,6.42746415284,-106.688161903,1.60424,6.42746415284,-106.546,0.0163405,100,1.48619e-06,98.550044024,0.981757,-106.688161903,1.01298,1,0.5,2.97025,0.763939,0.01,16.96,0.00778134,98.7181457585,0.0143246,100,-118.325
-106.811912792,3.84983102961,-106.811912792,1.34025,3.84983102961,-106.753,0.0133698,100,7.26496e-07,99.2859078748,1.00245,-106.811912792,1.00515,1,0.5,1.95394,0.756271,0.01,16.12,0.00754425,99.4874773818,0.00730056,100,-118.117
-106.725055855,4.70550963925,-106.725055855,1.05906,4.70550963925,-106.7,0.0106375,100,3.08477e-07,99.6955522596,0.995589,-106.725055855,1.00228,1,0.5,2.15549,0.785733,0.01,16.4,0.00789215,99.7721629675,0.00305762,100,-117.961
-106.550056266,3.90586298998,-106.550056266,1.16505,3.90586298998,-106.533,0.0117018,100,2.19995e-07,99.7826924555,0.995621,-106.550056266,1.0016,1,0.5,1.94198,0.828266,0.01,15.71,0.00831909,99.840538081,0.00218072,100,-117.87
-107.077141431,5.16788748641,-107.077141431,1.12255,5.16788748641,-107.046,0.011258,100,2.55462e-07,99.7477409728,0.997109,-107.077141431,1.00285,1,0.5,2.24406,0.844218,0.01,16.91,0.00846666,99.7157925506,0.00253987,100,-118.475
-106.870148941,6.13266749963,-106.870148941,1.26137,6.13266749963,-106.824,0.0126458,100,5.63608e-07,99.4451144724,0.99746,-106.870148941,1.00458,1,0.5,2.45587,0.853605,0.01,16.95,0.00855779,99.5436489454,0.00560748,100,-118.078
-106.508582958,5.21497848145,-106.508582958,1.19329,5.21497848145,-106.455,0.0119478,100,5.25315e-07,99.4826555836,0.99875,-106.508582958,1.00461,1,0.5,2.27184,0.647185,0.01,16.92,0.00647996,99.5408731148,0.00524002,100,-117.828
-106.937167253,5.14893647509,-106.937167253,1.22382,5.14893647509,-106.888,0.012084,100,5.60989e-07,99.4476890575,1.01276,-106.937167253,1.00439,1,0.5,2.23147,0.751851,0.01,15.31,0.00742376,99.5629422919,0.00575399,100,-118.195
-106.485691306,3.78244383103,-106.485691306,1.3258,3.78244383103,-106.438,0.0132056,100,4.67668e-07,99.5391390832,1.00397,-106.485691306,1.0043,1,0.5,1.97363,0.758874,0.01,16.18,0.00755875,99.5722194651,0.00471385,100,-117.621
-107.07033791,5.0883337569,-107.07033791,1.09682,5.0883337569,-107.017,0.0110085,100,5.90486e-07,99.4188220651,0.996336,-107.07033791,1.00451,1,0.5,2.16218,0.705752,0.01,16.35,0.00708347,99.5509495283,0.00586167,100,-118.464
-106.661160789,4.90713622102,-106.661160789,1.16756,4.90713622102,-106.601,0.0117743,100,5.84756e-07,99.4244319541,0.991618,-106.661160789,1.0053,1,0.5,2.2031,0.790388,0.01,16.65,0.00797069,99.4725420306,0.00574995,100,-117.997
-106.596386721,7.82679305383,-106.596386721,1.09742,7.82679305383,-106.579,0.0109437,100,1.06314e-07,99.8948736351,1.00279,-106.596386721,1.00149,1,0.5,2.79246,0.905242,0.01,18.33,0.00902722,99.8509010807,0.00106908,100,-118.126
-106.730765445,3.18429964582,-106.730765445,1.23032,3.18429964582,-106.701,0.0122944,100,3.57166e-07,99.6476184202,1.00072,-106.730765445,1.00268,1,0.5,1.7817,0.858223,0.01,16.6,0.00857608,99.7323068831,0.00357679,100,-117.805
-106.697933705,4.48370421454,-106.697933705,1.18558,4.48370421454,-106.613,0.0118825,100,1.00324e-06,99.0165289634,0.997754,-106.697933705,1.00757,1,0.5,2.01063,0.675176,0.01,16.59,0.00676695,99.248919498,0.0099874,100,-117.993
-106.655747878,4.67321342362,-106.655747878,1.17827,4.67321342362,-106.613,0.0118459,100,3.88007e-07,99.6173360038,0.994663,-106.655747878,1.00371,1,0.5,2.14865,0.819461,0.01,16.68,0.00823857,99.630735018,0.00383877,100,-118.111
-106.697471476,4.57774227259,-106.697471476,1.14279,4.57774227259,-106.678,0.0114226,100,1.87458e-07,99.8147637674,1.00047,-106.697471476,1.00165,1,0.5,2.11123,0.906832,0.01,16.97,0.00906406,99.8352742159,0.00187635,100,-118.16
-107.03804022,6.72521459604,-107.03804022,1.12088,6.72521459604,-106.966,0.0113664,100,6.47389e-07,99.3631564171,0.986132,-107.03804022,1.00633,1,0.5,2.52494,0.688336,0.01,17.06,0.00698016,99.3714630061,0.00629557,100,-118.387
-106.611802775,5.85433034929,-106.611802775,1.11471,5.85433034929,-106.562,0.0111531,100,5.09319e-07,99.4982925373,0.999458,-106.611802775,1.0041,1,0.5,2.32759,0.705003,0.01,16.08,0.00705386,99.5919613695,0.00508767,100,-118.087
