AvgEpLen,VarJ,MinVanillaIw,BatchSize,eRenyi2,MinNormIw,VarDiscRet,AvgNormIw,EpsThisIter,Bound,Delta,ESSClassic,J,IterType,AvgDiscRet,AvgRet,AvgVanillaIw,MaxNormIw,MaxVanillaIw,VarNormIw,ESSRenyi,VarRet,VanillaAvgRet,VarVanillaIw
84.13,19.1693,1.0,300,1.0,0.005,335.775494972,0.005,100,-106.46,0.8,200.000000102,-100.029,2,-99.9809437129,-99.9809437129,1.0,0.005,1.0,2.1793e-19,300.0,335.775494972,-99.9809437129,
29.62,149.489,0.00447631,400,3.24912e-13,1.5695e-08,647.846667761,0.00333333,100,-inf,0.8,4.68727119687,-87.7378,,-100.103930825,-105.517167864,950.684,0.444739,126842.0,0.000702376,1.23110298843e+15,37.809264071,-105.517167864,5.71327e+07
34.77,324.034,5.8312e-05,400,16.8739,1.21452e-07,29.89843228,0.0025,100,-87.5571,0.8,6.39620314717,-73.9896,1,-105.306619277,-105.306619277,1.20031,0.378827,181.884,0.000385571,23.7052496936,29.89843228,-105.306619277,88.8813
65.11,15.2613,1.0,400,1.0,0.01,235.260415685,0.01,100,-108.939,0.8,100.0,-102.267,2,-102.266881308,-102.266881308,1.0,0.01,1.0,3.50449e-18,400.0,235.260415685,-102.266881308,
83.87,17.0922,1.0,400,1.0,0.005,353.378400725,0.005,100,-107.39,0.8,200.000000102,-101.391,2,-100.516056935,-100.516056935,1.0,0.005,1.0,2.1793e-19,400.0,353.378400725,-100.516056935,
86.66,19.8464,1.0,400,1.0,0.00333333,593.135001135,0.00333333,100,-104.988,0.8,299.999969474,-100.091,2,-97.4895381642,-97.4895381642,1.0,0.00333333,1.0,5.43914e-20,400.0,593.135001135,-97.4895381642,
34.77,45.0975,0.00549802,500,nan,7.8992e-08,276.778247163,0.0025,100,-inf,0.8,10.9430146158,-97.5997,,-99.8044007693,-105.306619277,174.006,0.246387,17149.1,0.000222763,nan,29.89843228,-105.306619277,1.07917e+06
36.16,362.624,2.09572e-06,500,28.0625,3.24695e-09,160.11190198,0.002,100,-83.7606,0.8,4.95758831266,-68.1111,1,-103.185170255,-103.185170255,1.29089,0.433486,279.792,0.000400223,17.8173440845,160.11190198,-103.185170255,166.732
115.53,28.7875,1.0,500,1.0,0.01,837.092618136,0.01,100,-109.352,0.8,100.0,-98.9184,2,-98.9184393709,-98.9184393709,1.0,0.01,1.0,3.50449e-18,500.0,837.092618136,-98.9184393709,
75.41,26.4122,1.0,500,1.0,0.005,571.436771811,0.005,100,-109.058,0.8,200.000000102,-99.5365,2,-100.154569845,-100.154569845,1.0,0.005,1.0,2.1793e-19,500.0,571.436771811,-100.154569845,
93.69,26.2996,1.0,500,1.0,0.00333333,686.113754299,0.00333333,100,-107.007,0.8,299.999969474,-99.2333,2,-98.6267557742,-98.6267557742,1.0,0.00333333,1.0,5.43914e-20,500.0,686.113754299,-98.6267557742,
108.12,27.6611,1.0,500,1.0,0.0025,994.459605302,0.0025,100,-106.294,0.8,400.0,-98.9427,2,-98.0709589196,-98.0709589196,1.0,0.0025,1.0,5.4346e-20,500.0,994.459605302,-98.0709589196,
120.01,377.837,,500,69.7753,,584.412124928,0.002,100,-60.8205,0.8,6.1818187638,-5.89934,1,-95.9528258069,-95.9528258069,1.58927,0.340764,270.784,0.00032017,7.16586199789,584.412124928,-95.9528258069,202.17
406.43,58.8058,1.0,500,1.0,0.01,3493.05636042,0.01,100,-66.9528,0.8,100.0,-57.4772,2,-57.4772164786,-57.4772164786,1.0,0.01,1.0,3.50449e-18,500.0,3493.05636042,-57.4772164786,
422.56,59.7489,1.0,500,1.0,0.005,3711.50499226,0.005,100,-62.262,0.8,200.000000102,-55.5618,2,-53.6463797504,-53.6463797504,1.0,0.005,1.0,2.1793e-19,500.0,3711.50499226,-53.6463797504,
396.06,63.657,1.0,500,1.0,0.00333333,5067.24336637,0.00333333,100,-63.7128,0.8,299.999969474,-55.3764,2,-55.0055284649,-55.0055284649,1.0,0.00333333,1.0,5.43914e-20,500.0,5067.24336637,-55.0055284649,
402.48,64.5928,1.0,500,1.0,0.0025,4513.76633536,0.0025,100,-64.8994,0.8,400.0,-57.6798,2,-64.5899844358,-64.5899844358,1.0,0.0025,1.0,5.4346e-20,500.0,4513.76633536,-64.5899844358,
388.11,290.868,,500,34.7931,,4291.44947469,0.002,100,6.08462,0.8,12.1319713788,44.174,1,-59.347115102,-59.347115102,1.31746,0.147608,97.2336,0.000161176,14.3706818443,4291.44947469,-59.347115102,69.9381
462.71,72.9923,1.0,500,1.0,0.01,5381.68736852,0.01,100,-15.3231,0.8,100.0,-6.33455,2,-6.33455214952,-6.33455214952,1.0,0.01,1.0,3.50449e-18,500.0,5381.68736852,-6.33455214952,
481.8,70.8913,1.0,500,1.0,0.005,4765.97760044,0.005,100,-11.3384,0.8,200.000000102,-4.75877,2,-3.18299296598,-3.18299296598,1.0,0.005,1.0,2.1793e-19,500.0,4765.97760044,-3.18299296598,
477.83,68.6125,1.0,500,1.0,0.00333333,4106.29856469,0.00333333,100,-9.07792,0.8,299.999969474,-3.70566,2,-1.59943660627,-1.59943660627,1.0,0.00333333,1.0,5.43914e-20,500.0,4106.29856469,-1.59943660627,
466.57,68.8052,1.0,500,1.0,0.0025,4861.56519099,0.0025,100,-8.5918,0.8,400.0,-3.9393,2,-4.64019833199,-4.64019833199,1.0,0.0025,1.0,5.4346e-20,500.0,4861.56519099,-4.64019833199,
478.0,219.45,2.26072e-26,500,21.9747,4.1336e-29,4527.84660868,0.002,100,41.0734,0.8,18.2061481323,60.5806,1,3.60141604539,3.60141604539,1.09383,0.123187,67.3725,0.000106065,22.7533927982,4527.84660868,3.60141604539,31.7256
500.0,33.3693,1.0,500,1.0,0.01,1124.75756483,0.01,100,44.1801,0.8,100.0,50.2865,2,50.2864657744,50.2864657744,1.0,0.01,1.0,3.50449e-18,500.0,1124.75756483,50.2864657744,
498.26,38.7551,1.0,500,1.0,0.005,1908.96157855,0.005,100,45.2671,0.8,200.000000102,50.8003,2,51.3141861781,51.3141861781,1.0,0.005,1.0,2.1793e-19,500.0,1908.96157855,51.3141861781,
500.0,38.1026,1.0,500,1.0,0.00333333,1363.73266807,0.00333333,100,46.7695,0.8,299.999969474,51.2873,2,52.2613372074,52.2613372074,1.0,0.00333333,1.0,5.43914e-20,500.0,1363.73266807,52.2613372074,
497.74,40.6048,1.0,500,1.0,0.0025,2226.09244008,0.0025,100,45.6492,0.8,400.0,49.5618,2,44.3850989944,44.3850989944,1.0,0.0025,1.0,5.4346e-20,500.0,2226.09244008,44.3850989944,
500.0,150.352,,500,29.4028,,1091.91151759,0.002,100,76.0374,0.8,16.7089001663,95.0132,1,55.3338488331,55.3338488331,1.21372,0.170255,103.321,0.000115929,17.0052109856,1091.91151759,55.3338488331,42.6941
500.0,23.268,1.0,500,1.0,0.01,546.869965851,0.01,100,57.6148,0.8,100.0,63.791,2,63.7910157089,63.7910157089,1.0,0.01,1.0,3.50449e-18,500.0,546.869965851,63.7910157089,
498.22,28.6214,1.0,500,1.0,0.005,1095.14014601,0.005,100,61.185,0.8,200.000000102,66.3185,2,68.8460850474,68.8460850474,1.0,0.005,1.0,2.1793e-19,500.0,1095.14014601,68.8460850474,
500.0,27.4467,1.0,500,1.0,0.00333333,627.462137816,0.00333333,100,61.8651,0.8,299.999969474,66.0566,2,65.53270949,65.53270949,1.0,0.00333333,1.0,5.43914e-20,500.0,627.462137816,65.53270949,
500.0,26.8509,1.0,500,1.0,0.0025,624.096585602,0.0025,100,61.716,0.8,400.0,65.346,2,63.2140706407,63.2140706407,1.0,0.0025,1.0,5.4346e-20,500.0,624.096585602,63.2140706407,
500.0,77.8688,5.99634e-23,500,15.7682,1.51053e-25,654.286641149,0.002,100,74.6725,0.8,23.4421787988,87.565,1,67.462515247,67.462515247,0.79394,0.110832,43.9972,8.14793e-05,31.7093554235,654.286641149,67.462515247,12.8399
500.0,24.2876,1.0,500,1.0,0.01,595.846581176,0.01,100,68.8579,0.8,100.0,76.0402,2,76.0401986945,76.0401986945,1.0,0.01,1.0,3.50449e-18,500.0,595.846581176,76.0401986945,
500.0,23.9192,1.0,500,1.0,0.005,559.737672759,0.005,100,70.6229,0.8,200.000000102,75.7015,2,75.3628186548,75.3628186548,1.0,0.005,1.0,2.1793e-19,500.0,559.737672759,75.3628186548,
500.0,23.8552,1.0,500,1.0,0.00333333,567.602484587,0.00333333,100,71.1408,0.8,299.999969474,75.2875,2,74.459338338,74.459338338,1.0,0.00333333,1.0,5.43914e-20,500.0,567.602484587,74.459338338,
500.0,23.9446,1.0,500,1.0,0.0025,591.67975752,0.0025,100,71.515,0.8,400.0,75.1061,2,74.5621456022,74.5621456022,1.0,0.0025,1.0,5.4346e-20,500.0,591.67975752,74.5621456022,
500.0,82.4228,0.000878681,500,3.88864,1.76172e-06,865.165848871,0.002,100,75.0559,0.8,102.98256971,83.4094,1,70.2460825789,70.2460825789,0.997524,0.0407035,20.3013,1.54517e-05,128.579778338,865.165848871,70.2460825789,3.84381
500.0,23.1661,1.0,500,1.0,0.01,542.090578529,0.01,100,70.0694,0.8,100.0,77.132,2,77.131967372,77.131967372,1.0,0.01,1.0,3.50449e-18,500.0,542.090578529,77.131967372,
500.0,22.7427,1.0,500,1.0,0.005,499.748945061,0.005,100,73.2876,0.8,200.000000102,78.3649,2,79.5978460148,79.5978460148,1.0,0.005,1.0,2.1793e-19,500.0,499.748945061,79.5978460148,
500.0,23.1602,1.0,500,1.0,0.00333333,574.590515199,0.00333333,100,72.5797,0.8,299.999969474,77.3754,2,75.3963397359,75.3963397359,1.0,0.00333333,1.0,5.43914e-20,500.0,574.590515199,75.3963397359,
500.0,23.4399,1.0,500,1.0,0.0025,594.432782451,0.0025,100,73.2881,0.8,400.0,77.4413,2,77.6390353902,77.6390353902,1.0,0.0025,1.0,5.4346e-20,500.0,594.432782451,77.6390353902,
500.0,82.039,1.91816e-32,500,7.29329,3.61957e-35,425.670458608,0.002,100,77.5371,0.8,72.4208965281,87.569,1,74.7963965903,74.7963965903,1.05988,0.0295344,15.6515,2.36637e-05,68.5561378173,425.670458608,74.7963965903,6.64566
500.0,24.6158,1.0,500,1.0,0.01,612.058261748,0.01,100,70.1734,0.8,100.0,77.2677,2,77.2676931587,77.2676931587,1.0,0.01,1.0,3.50449e-18,500.0,612.058261748,77.2676931587,
496.71,27.5468,1.0,500,1.0,0.005,918.108797769,0.005,100,71.0702,0.8,200.000000102,76.0866,2,74.9056038871,74.9056038871,1.0,0.005,1.0,2.1793e-19,500.0,918.108797769,74.9056038871,
500.0,26.2253,1.0,500,1.0,0.00333333,547.927476431,0.00333333,100,71.2613,0.8,299.999969474,75.3571,2,73.8981003241,73.8981003241,1.0,0.00333333,1.0,5.43914e-20,500.0,547.927476431,73.8981003241,
500.0,25.2195,1.0,500,1.0,0.0025,485.648286497,0.0025,100,71.8104,0.8,400.0,75.3576,2,75.3588697715,75.3588697715,1.0,0.0025,1.0,5.4346e-20,500.0,485.648286497,75.3588697715,
500.0,43.7023,5.94983e-06,500,3.07631,1.1506e-08,517.351794001,0.002,100,74.8338,0.8,157.780367795,80.3985,1,79.5358602581,79.5358602581,1.03421,0.0211372,10.9302,8.69323e-06,162.53227547,517.351794001,79.5358602581,2.32456
500.0,20.6736,1.0,500,1.0,0.01,431.714110936,0.01,100,72.1909,0.8,100.0,78.427,2,78.4269762111,78.4269762111,1.0,0.01,1.0,3.50449e-18,500.0,431.714110936,78.4269762111,
500.0,22.6144,1.0,500,1.0,0.005,600.178851417,0.005,100,72.6293,0.8,200.000000102,77.6375,2,76.8480339012,76.8480339012,1.0,0.005,1.0,2.1793e-19,500.0,600.178851417,76.8480339012,
500.0,23.2074,1.0,500,1.0,0.00333333,598.834250854,0.00333333,100,73.4262,0.8,299.999969474,77.5154,2,77.2710717585,77.2710717585,1.0,0.00333333,1.0,5.43914e-20,500.0,598.834250854,77.2710717585,
500.0,22.7871,1.0,500,1.0,0.0025,465.08462666,0.0025,100,73.7119,0.8,400.0,77.2533,2,76.4670446006,76.4670446006,1.0,0.0025,1.0,5.4346e-20,500.0,465.08462666,76.4670446006,
500.0,134.055,3.02359e-09,500,25.1115,3.52273e-12,564.073612564,0.002,100,81.8233,0.8,12.1344047691,97.696,1,78.6662674379,78.6662674379,1.71662,0.204987,175.942,0.000161143,19.9111992596,564.073612564,78.6662674379,118.713
500.0,23.8804,1.0,500,1.0,0.01,576.035194965,0.01,100,67.7976,0.8,100.0,75.4285,2,75.4284759807,75.4284759807,1.0,0.01,1.0,3.50449e-18,500.0,576.035194965,75.4284759807,
500.0,24.9758,1.0,500,1.0,0.005,679.500523356,0.005,100,71.5498,0.8,200.000000102,76.9456,2,78.4627438754,78.4627438754,1.0,0.005,1.0,2.1793e-19,500.0,679.500523356,78.4627438754,
500.0,24.5793,1.0,500,1.0,0.00333333,566.408655972,0.00333333,100,71.7132,0.8,299.999969474,76.1189,2,74.4654464291,74.4654464291,1.0,0.00333333,1.0,5.43914e-20,500.0,566.408655972,74.4654464291,
500.0,24.4724,1.0,500,1.0,0.0025,583.576766926,0.0025,100,72.9752,0.8,400.0,76.7906,2,78.8058545853,78.8058545853,1.0,0.0025,1.0,5.4346e-20,500.0,583.576766926,78.8058545853,
500.0,37.9147,7.38971e-05,500,3.22131,1.28638e-07,378.48277267,0.002,100,75.8333,0.8,158.476319245,81.9583,1,78.0961036395,78.0961036395,1.14891,0.0248129,14.2539,8.63745e-06,155.216464276,378.48277267,78.0961036395,2.85036
500.0,21.7861,1.0,500,1.0,0.01,479.430483146,0.01,100,69.9221,0.8,100.0,76.3286,2,76.3285663317,76.3285663317,1.0,0.01,1.0,3.50449e-18,500.0,479.430483146,76.3285663317,
500.0,21.9302,1.0,500,1.0,0.005,487.318067817,0.005,100,70.2514,0.8,200.000000102,74.7815,2,73.2343535426,73.2343535426,1.0,0.005,1.0,2.1793e-19,500.0,487.318067817,73.2343535426,
500.0,22.3035,1.0,500,1.0,0.00333333,520.765157992,0.00333333,100,71.5961,0.8,299.999969474,76.3582,2,79.5116610915,79.5116610915,1.0,0.00333333,1.0,5.43914e-20,500.0,520.765157992,79.5116610915,
500.0,22.9165,1.0,500,1.0,0.0025,587.67983536,0.0025,100,73.7208,0.8,400.0,77.8449,2,82.3050615436,82.3050615436,1.0,0.0025,1.0,5.4346e-20,500.0,587.67983536,82.3050615436,
500.0,46.5625,0.000416776,500,3.29662,7.89952e-07,425.707423245,0.002,100,77.8473,0.8,126.822432478,84.5447,1,79.6031999334,79.6031999334,1.05519,0.0348112,18.3663,1.17937e-05,151.670503838,425.707423245,79.6031999334,3.28287
497.07,32.6147,1.0,500,1.0,0.01,1074.46360217,0.01,100,71.6115,0.8,100.0,78.5842,2,78.5842139693,78.5842139693,1.0,0.01,1.0,3.50449e-18,500.0,1074.46360217,78.5842139693,
500.0,28.1308,1.0,500,1.0,0.005,523.821165899,0.005,100,73.2141,0.8,200.000000102,78.1445,2,77.7047496142,77.7047496142,1.0,0.005,1.0,2.1793e-19,500.0,523.821165899,77.7047496142,
500.0,26.6774,1.0,500,1.0,0.00333333,524.071208366,0.00333333,100,71.7545,0.8,299.999969474,75.7802,2,71.0516861058,71.0516861058,1.0,0.00333333,1.0,5.43914e-20,500.0,524.071208366,71.0516861058,
500.0,25.5593,1.0,500,1.0,0.0025,481.822811068,0.0025,100,71.9968,0.8,400.0,75.4832,2,74.5920235147,74.5920235147,1.0,0.0025,1.0,5.4346e-20,500.0,481.822811068,74.5920235147,
500.0,42.1316,3.81511e-05,500,3.53283,9.31804e-08,535.073331078,0.002,100,74.6498,0.8,125.243656277,80.5108,1,76.4153834021,76.4153834021,0.818865,0.0289758,11.8636,1.19929e-05,141.529662116,535.073331078,76.4153834021,2.01042
500.0,24.2384,1.0,500,1.0,0.01,593.434070268,0.01,100,73.2003,0.8,100.0,80.4016,2,80.401582791,80.401582791,1.0,0.01,1.0,3.50449e-18,500.0,593.434070268,80.401582791,
500.0,24.9985,1.0,500,1.0,0.005,649.304184598,0.005,100,72.184,0.8,200.000000102,77.2761,2,74.1505416095,74.1505416095,1.0,0.005,1.0,2.1793e-19,500.0,649.304184598,74.1505416095,
496.86,27.8168,1.0,500,1.0,0.00333333,1067.88348072,0.00333333,100,71.5761,0.8,299.999969474,75.7337,2,72.6489400084,72.6489400084,1.0,0.00333333,1.0,5.43914e-20,500.0,1067.88348072,72.6489400084,
500.0,27.1211,1.0,500,1.0,0.0025,627.026181646,0.0025,100,72.0281,0.8,400.0,75.6287,2,75.3138634914,75.3138634914,1.0,0.0025,1.0,5.4346e-20,500.0,627.026181646,75.3138634914,
500.0,115.808,0.000106296,500,7.70381,1.11798e-07,656.143701911,0.002,100,82.2066,0.8,3.74340184936,91.1453,1,77.6503854726,77.6503854726,1.90157,0.51473,489.398,0.000531336,64.9029126514,656.143701911,77.6503854726,480.326
500.0,22.5752,1.0,500,1.0,0.01,514.788387634,0.01,100,71.5824,0.8,100.0,78.6628,2,78.6628389228,78.6628389228,1.0,0.01,1.0,3.50449e-18,500.0,514.788387634,78.6628389228,
500.0,24.668,1.0,500,1.0,0.005,714.47594223,0.005,100,72.963,0.8,200.000000102,78.8255,2,78.9882456585,78.9882456585,1.0,0.005,1.0,2.1793e-19,500.0,714.47594223,78.9882456585,
500.0,23.6527,1.0,500,1.0,0.00333333,464.980218063,0.00333333,100,73.6308,0.8,299.999969474,78.4175,2,77.6015716004,77.6015716004,1.0,0.00333333,1.0,5.43914e-20,500.0,464.980218063,77.6015716004,
500.0,23.5447,1.0,500,1.0,0.0025,544.369058631,0.0025,100,74.1682,0.8,400.0,78.3136,2,78.0017574643,78.0017574643,1.0,0.0025,1.0,5.4346e-20,500.0,544.369058631,78.0017574643,
496.79,68.884,4.50455e-16,500,10.0624,8.64521e-19,757.111780539,0.002,100,78.1981,0.8,21.9548816301,89.9597,1,74.4564658813,74.4564658813,1.04209,0.183941,95.8415,8.72706e-05,49.6897941954,757.111780539,74.4564658813,23.693
500.0,26.498,1.0,500,1.0,0.01,709.236071403,0.01,100,69.0798,0.8,100.0,75.5344,2,75.5344523779,75.5344523779,1.0,0.01,1.0,3.50449e-18,500.0,709.236071403,75.5344523779,
500.0,23.4259,1.0,500,1.0,0.005,394.122397184,0.005,100,72.536,0.8,200.000000102,77.1505,2,78.7665080927,78.7665080927,1.0,0.005,1.0,2.1793e-19,500.0,394.122397184,78.7665080927,
500.0,23.2646,1.0,500,1.0,0.00333333,527.707028187,0.00333333,100,73.9932,0.8,299.999969474,77.9409,2,79.5218156019,79.5218156019,1.0,0.00333333,1.0,5.43914e-20,500.0,527.707028187,79.5218156019,
500.0,23.8835,1.0,500,1.0,0.0025,664.599473446,0.0025,100,74.3573,0.8,400.0,77.9245,2,77.8752064515,77.8752064515,1.0,0.0025,1.0,5.4346e-20,500.0,664.599473446,77.8752064515,
500.0,71.2473,4.47444e-07,500,6.66812,9.16268e-10,473.485527686,0.002,100,78.6488,0.8,53.8116511489,86.8877,1,76.3593280943,76.3593280943,0.976666,0.0745815,36.4206,3.32331e-05,74.9836760534,473.485527686,76.3593280943,7.92507
500.0,22.2057,1.0,500,1.0,0.01,498.075359219,0.01,100,70.98,0.8,100.0,77.6278,2,77.627842341,77.627842341,1.0,0.01,1.0,3.50449e-18,500.0,498.075359219,77.627842341,
500.0,23.1202,1.0,500,1.0,0.005,578.420504813,0.005,100,71.2375,0.8,200.000000102,76.3319,2,75.0359094564,75.0359094564,1.0,0.005,1.0,2.1793e-19,500.0,578.420504813,75.0359094564,
