Bound,EpsThisIter,J,AvgNormIw,AvgVanillaIw,AvgRet,eRenyi2,MinNormIw,VarJ,VanillaAvgRet,VarDiscRet,VarRet,AvgEpLen,BatchSize,ESSClassic,ESSRenyi,VarNormIw,MaxVanillaIw,MinVanillaIw,IterType,Delta,VarVanillaIw,MaxNormIw,AvgDiscRet
4219.95,100,4625.219,0.0049999994,1.0,4627.620361036905,1.0,0.005,185.32558,4627.620361036905,31841.289242806182,31841.289242806182,497.95,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4627.620361036905
4287.111,100,4618.0117,0.0033333336,1.0,4603.595047349615,1.0,0.0033333334,205.00305,4603.595047349615,57652.36649314196,57652.36649314196,495.66,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4603.595047349615
4334.297,100,4620.865,0.0024999997,1.0,4629.429042531167,1.0,0.0025,191.33676,4629.429042531167,20467.169797858172,20467.169797858172,498.17,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4629.429042531167
4368.224,100,4631.404,0.0019999999,0.9885827,4589.46542816663,1.0542845,0.00059664325,121.87862,4589.46542816663,75971.85382800814,75971.85382800814,494.21,500,471.8189038155318,474.25530974236824,2.3939327e-07,1.5631073,0.2949156,1,0.4,0.058489494,0.0031623198,4589.46542816663
4073.5217,100,4646.5703,0.009999998,1.0,4646.570140360444,1.0,0.01,27.816257,4646.570140360444,781.5596306603172,781.5596306603172,500.0,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4646.570140360444
4235.804,100,4641.0947,0.0049999994,1.0,4635.619336016321,1.0,0.005,63.825584,4635.619336016321,7387.5831449723,7387.5831449723,499.03,500,200.00000010221265,500.0,2.179301e-19,1.0,1.0,2,0.4,,0.005,4635.619336016321
4309.1533,100,4640.072,0.0033333336,1.0,4638.027077616728,1.0,0.0033333334,81.98956,4638.027077616728,12134.523436465486,12134.523436465486,498.89,500,299.999969473632,500.0,5.4391416e-20,1.0,1.0,2,0.4,,0.0033333334,4638.027077616728
4353.976,100,4640.5605,0.0024999997,1.0,4642.024914969665,1.0,0.0025,73.7571,4642.024914969665,1606.788101005213,1606.788101005213,499.89,500,400.0,500.0,5.434597e-20,1.0,1.0,2,0.4,,0.0025,4642.024914969665
4383.268,100,4641.4824,0.002,0.99754846,4623.479671558519,1.0147665,0.0010686925,80.92531,4623.479671558519,59946.85496850681,59946.85496850681,497.22,500,492.5846967225562,492.72421027108675,6.0336596e-08,1.3704021,0.5330363,1,0.4,0.01501028,0.00274754,4623.479671558519
4063.4397,100,4636.5605,0.009999998,1.0,4636.5604325032655,1.0,0.01,124.36009,4636.5604325032655,15621.651113442771,15621.651113442771,498.78,500,100.0,500.0,3.5044917e-18,1.0,1.0,2,0.4,,0.01,4636.5604325032655
