EpsThisIter,Bound,VarDiscRet,J,MinNormIw,AvgRet,VarVanillaIw,VanillaAvgRet,ESSClassic,Delta,IterType,MinVanillaIw,VarNormIw,ESSRenyi,BatchSize,AvgDiscRet,AvgNormIw,AvgEpLen,MaxVanillaIw,VarJ,eRenyi2,AvgVanillaIw,MaxNormIw,VarRet
100,4764.205,0.012641858239773953,4999.907,0.0033333334,4999.903430305458,,4999.903430305458,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.903430305458,0.0033333336,500.0,1.0,0.103377685,1.0,1.0,0.0033333334,0.012641858239773953
100,4786.034,152147.21562272223,4990.158,0.0025,4960.910339011342,,4960.910339011342,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4960.910339011342,0.0024999997,496.11,1.0,194.78603,1.0,1.0,0.0025,152147.21562272223
100,4802.9272,249989.40550426583,4987.307,0.00075833284,4949.894765311216,0.020067627,4949.894765311216,490.1832324705304,0.6,1,0.37917337,8.026756e-08,490.25361363428095,500,4949.894765311216,0.002,495.01,1.5035106,225.28262,1.0198803,1.0000184,0.003006966,249989.40550426583
100,4591.6616,0.01251145340458651,4999.91,0.01,4999.910309570869,,4999.910309570869,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4999.910309570869,0.009999998,500.0,1.0,0.11129012,1.0,1.0,0.01,0.01251145340458651
100,4711.2256,0.013626532916115337,4999.901,0.005,4999.891722939178,,4999.891722939178,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4999.891722939178,0.0049999994,500.0,1.0,0.114126004,1.0,1.0,0.005,0.013626532916115337
100,4735.667,373155.45269569603,4971.369,0.0033333334,4914.303945839045,,4914.303945839045,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4914.303945839045,0.0033333336,491.46,1.0,353.22726,1.0,1.0,0.0033333334,373155.45269569603
100,4774.3726,0.025323824800398867,4978.4966,0.0025,4999.880592461304,,4999.880592461304,400.0,0.6,2,1.0,5.434597e-20,500.0,500,4999.880592461304,0.0024999997,500.0,1.0,306.15283,1.0,1.0,0.0025,0.025323824800398867
100,4804.384,60021.41234780989,4991.14,0.00025667998,4975.392561184815,0.05116268,4975.392561184815,475.1256546771808,0.6,1,0.12674531,2.0983283e-07,477.856804647977,500,4975.392561184815,0.002,497.56,1.3843671,148.01176,1.0463386,0.9875746,0.0028035697,60021.41234780989
100,4591.6616,0.011243380393085641,4999.9097,0.01,4999.909576331481,,4999.909576331481,100.0,0.6,2,1.0,3.5044917e-18,500.0,500,4999.909576331481,0.009999998,500.0,1.0,0.1055014,1.0,1.0,0.01,0.011243380393085641
100,4711.2246,0.014253522757825913,4999.9,0.005,4999.890894949276,,4999.890894949276,200.00000010221265,0.6,2,1.0,2.179301e-19,500.0,500,4999.890894949276,0.0049999994,500.0,1.0,0.112736665,1.0,1.0,0.005,0.014253522757825913
100,4764.2036,0.00986397258180416,4999.906,0.0033333334,4999.917732898379,,4999.917732898379,299.999969473632,0.6,2,1.0,5.4391416e-20,500.0,500,4999.917732898379,0.0033333336,500.0,1.0,0.10860683,1.0,1.0,0.0033333334,0.00986397258180416
