Delta,MinVanillaIw,VarNormIw,MaxVanillaIw,ESSRenyi,AvgVanillaIw,MaxNormIw,VarRet,ESSClassic,AvgEpLen,J,IterType,AvgRet,AvgDiscRet,Bound,eRenyi2,VanillaAvgRet,VarJ,VarVanillaIw,EpsThisIter,AvgNormIw,BatchSize,VarDiscRet,MinNormIw
0.2,0.939561,5.16538e-07,1.51887,99.4645924957,0.987469,0.0153814,6060.64385516,99.4912122109,114.15,-81.9238,1,-82.3607963701,-82.3607963701,-165.576,1.00538,-82.3607963701,75.4612,0.00503673,100,0.01,100,6060.64385516,0.00951485
0.2,0.710793,1.08233e-06,1.29164,98.6849083266,1.00614,0.0128376,3772.32394467,98.9398527514,105.92,-73.9909,1,-75.1325916108,-75.1325916108,-157.973,1.01333,-75.1325916108,54.4458,0.0109566,100,0.01,100,3772.32394467,0.00706457
0.2,0.308727,6.62704e-06,1.40527,93.4511094398,1.0159,0.0138328,8345.22836522,93.843159915,120.82,-82.4707,1,-88.7241936481,-88.7241936481,-168.773,1.07008,-88.7241936481,72.0508,0.068394,100,0.01,100,8345.22836522,0.00303896
0.2,0.536395,1.07864e-06,1.15678,99.0279952204,1.01262,0.0114237,6014.1804685,98.9434602478,117.73,-84.13,1,-84.9987752025,-84.9987752025,-167.967,1.00982,-84.9987752025,74.1108,0.0110604,100,0.01,100,6014.1804685,0.0052971
0.2,0.280366,8.88482e-06,1.43149,91.0660457805,0.99562,0.0143779,6077.00753355,91.9151628374,116.49,-75.1658,1,-83.6019120534,-83.6019120534,-162.59,1.0981,-83.6019120534,45.1994,0.0880716,100,0.01,100,6077.00753355,0.002816
0.2,0.38653,2.13506e-06,1.15845,98.0844746851,0.993477,0.0116605,7084.92240164,97.9300139643,122.78,-88.0478,1,-89.4794360438,-89.4794360438,-172.287,1.01953,-89.4794360438,80.3821,0.021073,100,0.01,100,7084.92240164,0.00389068
0.2,0.457033,2.40053e-06,1.28836,98.2791384492,0.983072,0.0131054,1423.07012859,97.6786749446,97.5,-66.4542,1,-68.0219596471,-68.0219596471,-150.593,1.01751,-68.0219596471,24.3978,0.0231995,100,0.01,100,1423.07012859,0.00464903
0.2,0.505248,2.47426e-06,1.31759,97.5730180143,0.993654,0.0132601,3741.70595447,97.609075504,108.83,-75.6011,1,-77.493951828,-77.493951828,-160.061,1.02487,-77.493951828,51.7094,0.0244296,100,0.01,100,3741.70595447,0.00508475
0.2,0.193534,4.50568e-06,1.34714,93.776070077,1.03061,0.0130713,8304.31924911,95.7298735698,120.96,-83.7791,1,-88.7237391238,-88.7237391238,-169.932,1.06637,-88.7237391238,76.2351,0.0478574,100,0.01,100,8304.31924911,0.00187786
0.2,0.726129,8.05985e-07,1.16305,99.1691931029,1.00032,0.0116268,2582.39628152,99.2084253745,103.37,-71.9687,1,-72.6524549514,-72.6524549514,-155.742,1.00838,-72.6524549514,47.5047,0.00806505,100,0.01,100,2582.39628152,0.00725895
0.2,0.149438,7.76231e-06,1.33996,93.4381395351,0.978993,0.0136871,5996.97203316,92.8636752074,117.64,-78.5082,1,-84.7072772303,-84.7072772303,-164.816,1.07023,-84.7072772303,58.9398,0.0743961,100,0.01,100,5996.97203316,0.00152644
0.2,0.435141,3.22718e-06,1.28987,96.4005042617,0.995816,0.0129529,6089.69368736,96.9040023095,112.96,-78.6757,1,-81.6181710246,-81.6181710246,-163.648,1.03734,-81.6181710246,67.5962,0.0320023,100,0.01,100,6089.69368736,0.00436969
0.2,0.738755,1.39886e-06,1.28279,98.516927406,0.992986,0.0129185,6079.3573,98.6340191539,114.88,-81.6496,1,-82.8786326718,-82.8786326718,-165.703,1.01505,-82.8786326718,73.2728,0.013793,100,0.01,100,6079.3573,0.00743973
0.2,0.775544,9.02944e-07,1.33522,99.146559859,1.0085,0.0132397,2576.62645317,99.1140118482,103.23,-72.0485,1,-72.7891311184,-72.7891311184,-155.83,1.00861,-72.7891311184,46.4787,0.00918354,100,0.01,100,2576.62645317,0.00769009
0.2,0.789353,9.41776e-07,1.22207,98.6854888025,0.985286,0.0124033,4938.77518812,99.0762620845,111.74,-78.9867,1,-80.1619077663,-80.1619077663,-162.968,1.01332,-80.1619077663,64.5603,0.00914264,100,0.01,100,4938.77518812,0.00801141
0.2,0.349868,5.97709e-06,1.47101,94.275642313,1.02026,0.0144179,7207.77302523,94.413279433,117.88,-80.6513,1,-85.5320088312,-85.5320088312,-166.575,1.06072,-85.5320088312,68.8703,0.0622177,100,0.01,100,7207.77302523,0.0034292
0.2,0.926776,6.67306e-07,1.45576,99.3599635375,0.999802,0.0145605,3756.18215687,99.3437313753,106.19,-74.8368,1,-75.4194487855,-75.4194487855,-158.533,1.00644,-75.4194487855,57.7577,0.00667041,100,0.01,100,3756.18215687,0.0092696
0.2,0.653646,1.67299e-06,1.37359,98.0377165412,1.00241,0.0137028,8264.17917492,98.3707369872,122.13,-88.2276,1,-89.776479132,-89.776479132,-172.486,1.02002,-89.776479132,86.25,0.0168108,100,0.01,100,8264.17917492,0.00652072
0.2,0.213223,8.97676e-06,1.34354,93.5450456222,0.942072,0.0142615,8272.3020937,91.8383215373,122.15,-84.0789,1,-89.2376971173,-89.2376971173,-170.333,1.069,-89.2376971173,76.3251,0.0796688,100,0.01,100,8272.3020937,0.00226334
0.2,0.89223,1.37586e-06,1.57161,98.250890788,0.994385,0.0158049,10399.7580226,98.6561829866,130.25,-94.715,1,-96.3322983173,-96.3322983173,-178.883,1.0178,-96.3322983173,97.1177,0.0136045,100,0.01,100,10399.7580226,0.00897268
0.2,0.74656,9.84646e-07,1.30494,99.0116431755,1.02004,0.012793,2626.33951022,99.0346086945,100.16,-69.7584,1,-70.5677941974,-70.5677941974,-153.596,1.00998,-70.5677941974,46.2223,0.0102451,100,0.01,100,2626.33951022,0.00731891
0.2,0.492391,3.54716e-06,1.2609,96.72971631,0.989271,0.0127457,7137.92088008,96.6074356599,120.79,-85.1761,1,-87.8635643274,-87.8635643274,-170.003,1.03381,-87.8635643274,75.9891,0.0347145,100,0.01,100,7137.92088008,0.00497731
0.2,0.807877,2.16015e-06,1.54772,98.4871090798,1.00498,0.0154004,6031.49186085,97.9062204911,117.23,-83.2273,1,-84.5480378215,-84.5480378215,-167.294,1.01536,-84.5480378215,70.6825,0.0218173,100,0.01,100,6031.49186085,0.00803871
0.2,0.922799,6.99419e-07,1.57778,99.0277146537,0.990947,0.015922,7166.55249714,99.3122891413,118.68,-85.2791,1,-86.169329697,-86.169329697,-169.116,1.00982,-86.169329697,81.1749,0.00686813,100,0.01,100,7166.55249714,0.00931229
0.2,0.597203,1.98296e-06,1.26397,98.20835427,0.981622,0.0128763,7139.86518139,98.074654266,120.28,-85.7907,1,-87.3873031265,-87.3873031265,-169.976,1.01824,-87.3873031265,79.269,0.0191075,100,0.01,100,7139.86518139,0.00608384
0.2,0.450883,3.78669e-06,1.63221,96.799166212,0.983132,0.0166022,8263.31341587,96.3866443795,122.84,-86.9855,1,-89.890680344,-89.890680344,-171.782,1.03307,-89.890680344,83.3603,0.0366002,100,0.01,100,8263.31341587,0.00458619
0.2,0.345758,6.04983e-06,1.38195,93.9022477705,1.00976,0.013686,9272.21375208,94.3491189474,128.25,-89.6656,1,-94.7030740376,-94.7030740376,-175.76,1.06494,-94.7030740376,82.7274,0.0616845,100,0.01,100,9272.21375208,0.00342417
0.2,0.804139,2.32088e-06,1.57395,97.4706638981,0.991718,0.0158709,7162.30563824,97.7539241907,121.09,-86.0599,1,-88.3860804935,-88.3860804935,-170.564,1.02595,-88.3860804935,76.5942,0.022826,100,0.01,100,7162.30563824,0.00810855
0.2,0.599999,1.45321e-06,1.17442,98.848372661,0.992923,0.0118279,3763.74978829,98.5817548534,106.69,-75.2266,1,-76.1799744673,-76.1799744673,-159.14,1.01165,-76.1799744673,57.2797,0.0143271,100,0.01,100,3763.74978829,0.00604276
0.2,0.386624,5.00178e-06,1.50147,95.9994323764,0.994331,0.0151003,9297.7048657,95.2818799232,127.55,-90.7754,1,-93.7726505753,-93.7726505753,-175.924,1.04167,-93.7726505753,89.0964,0.0494523,100,0.01,100,9297.7048657,0.00388828
0.2,0.345237,5.72117e-06,1.29462,95.1748228422,0.979722,0.0132142,6034.12353252,94.6396573066,116.3,-79.1252,1,-83.9894664916,-83.9894664916,-164.642,1.0507,-83.9894664916,60.9167,0.054915,100,0.01,100,6034.12353252,0.00352382
0.2,0.676272,5.15057e-06,1.97287,96.0478729823,0.990106,0.0199258,9364.50824894,95.1483339356,125.92,-89.8283,1,-93.1214093591,-93.1214093591,-174.955,1.04115,-93.1214093591,86.6034,0.0504916,100,0.01,100,9364.50824894,0.00683029
0.2,0.85229,6.73194e-06,2.9565,96.7740848832,1.04945,0.028172,7276.65244103,93.7518188782,114.83,-80.5215,1,-83.5673392442,-83.5673392442,-165.329,1.03333,-83.5673392442,74.5891,0.0741415,100,0.01,100,7276.65244103,0.00812132
0.2,0.860471,2.59727e-06,2.0472,98.1032982797,0.986022,0.0207622,7184.5931061,97.4931372222,117.91,-84.3564,1,-85.973063674,-85.973063674,-168.587,1.01933,-85.973063674,79.2891,0.0252517,100,0.01,100,7184.5931061,0.00872669
0.2,0.565555,4.09426e-06,1.45302,95.3971265802,1.01261,0.0143493,6060.35344262,96.1045766884,116.0,-79.4438,1,-83.4807069954,-83.4807069954,-164.86,1.04825,-83.4807069954,63.7459,0.0419813,100,0.01,100,6060.35344262,0.00558514
0.2,0.743803,8.23561e-07,1.30482,98.5694251297,1.00705,0.0129569,6083.29755174,99.1912784551,113.68,-80.9254,1,-82.1786908326,-82.1786908326,-164.957,1.01451,-82.1786908326,73.119,0.00835207,100,0.01,100,6083.29755174,0.00738599
0.2,0.893567,1.0727e-06,1.3788,98.5598243441,0.993017,0.013885,6064.29879872,98.9491624049,113.69,-80.6664,1,-82.0151847358,-82.0151847358,-164.702,1.01461,-82.0151847358,72.1208,0.0105777,100,0.01,100,6064.29879872,0.00899851
0.2,0.598634,1.79291e-06,1.32049,98.012573396,1.01745,0.0129785,3813.0797807,98.2559841691,107.22,-75.1445,1,-76.7712909201,-76.7712909201,-159.414,1.02028,-76.7712909201,54.1123,0.0185602,100,0.01,100,3813.0797807,0.00588369
0.2,0.911802,3.17259e-07,1.31631,99.7771234822,0.999423,0.0131707,1374.42458732,99.6869115683,97.75,-68.0773,1,-68.2680014586,-68.2680014586,-151.598,1.00223,-68.2680014586,34.9194,0.00316893,100,0.01,100,1374.42458732,0.00912329
0.2,0.958158,1.36162e-07,1.15548,99.8009241981,0.995128,0.0116114,3788.65753656,99.86538532,106.45,-75.5519,1,-75.7218396537,-75.7218396537,-159.063,1.00199,-75.7218396537,60.2336,0.00134839,100,0.01,100,3788.65753656,0.00962849
0.2,0.776745,1.2881e-06,1.33127,98.6094466128,1.01339,0.0131368,6058.2363112,98.7408458925,113.29,-80.6015,1,-81.8022598439,-81.8022598439,-164.615,1.0141,-81.8022598439,73.192,0.0132282,100,0.01,100,6058.2363112,0.00766484
0.2,0.444977,2.82051e-06,1.2898,97.4337793343,0.986437,0.0130754,2607.46733187,97.2835351308,104.32,-71.5507,1,-74.0571423902,-74.0571423902,-156.07,1.02634,-74.0571423902,37.0654,0.0274453,100,0.01,100,2607.46733187,0.00451095
0.2,0.917919,7.27414e-07,1.51254,99.3972847123,1.00983,0.0149782,4943.1306198,99.2849751342,109.86,-78.424,1,-78.9585135695,-78.9585135695,-162.105,1.00606,-78.9585135695,67.0621,0.00741783,100,0.01,100,4943.1306198,0.00908984
0.2,0.261793,5.26312e-06,1.28596,95.4792682274,1.01866,0.012624,4946.12713958,95.0475220765,108.99,-74.0885,1,-78.3022272202,-78.3022272202,-159.464,1.04735,-78.3022272202,51.328,0.0546137,100,0.01,100,4946.12713958,0.00256997
0.2,0.873407,1.7137e-06,1.60187,98.8051544096,1.01626,0.0157623,6061.06604819,98.3317419247,114.08,-81.3769,1,-82.4000050846,-82.4000050846,-165.308,1.01209,-82.4000050846,73.4172,0.0176989,100,0.01,100,6061.06604819,0.00859431
0.2,0.290651,8.02486e-06,1.62236,94.54840797,0.923389,0.0175696,6071.96998878,92.6401202951,113.28,-77.5826,1,-82.340224463,-82.340224463,-163.382,1.05766,-82.340224463,62.5349,0.0684237,100,0.01,100,6071.96998878,0.00314765
0.2,0.180729,5.95698e-06,1.59919,94.8490886023,0.989053,0.0161689,7257.96051566,94.4310203815,115.1,-77.859,1,-84.0699666038,-84.0699666038,-163.523,1.05431,-84.0699666038,68.1052,0.0582727,100,0.01,100,7257.96051566,0.00182729
0.2,0.651278,2.51756e-06,1.54254,96.5961647147,0.98884,0.0155995,8234.15425319,97.5682537686,123.9,-87.5238,1,-90.444146917,-90.444146917,-172.409,1.03524,-90.444146917,80.7099,0.0246168,100,0.01,100,8234.15425319,0.00658628
0.2,0.592371,1.7453e-06,1.48015,98.0464251472,0.99388,0.0148927,8213.05551902,98.30152263,125.32,-89.8661,1,-91.7116017728,-91.7116017728,-174.129,1.01992,-91.7116017728,84.2098,0.01724,100,0.01,100,8213.05551902,0.00596018
0.2,0.685041,1.20087e-06,1.36851,98.5874620599,1.0032,0.0136414,9296.3785534,98.8250986395,127.88,-92.995,1,-94.1848797275,-94.1848797275,-177.019,1.01433,-94.1848797275,92.4405,0.0120857,100,0.01,100,9296.3785534,0.00682854
0.2,0.718385,1.09947e-06,1.42526,99.0210633511,0.99566,0.0143148,1392.71842279,98.9232068195,98.43,-67.8093,1,-68.6577513729,-68.6577513729,-151.648,1.00989,-68.6577513729,30.4046,0.0108994,100,0.01,100,1392.71842279,0.00721517
0.2,0.852651,3.38683e-06,2.08227,96.8891907313,1.00955,0.0206257,7206.88565426,96.7558186256,118.64,-82.9914,1,-86.0976023383,-86.0976023383,-167.749,1.03211,-86.0976023383,74.9099,0.0345185,100,0.01,100,7206.88565426,0.00844583
0.2,0.894174,1.67149e-06,1.81235,99.0316894965,1.01834,0.0177971,3775.29180013,98.3721522924,108.23,-76.1174,1,-77.0175231145,-77.0175231145,-159.952,1.00978,-77.0175231145,56.2914,0.0173336,100,0.01,100,3775.29180013,0.0087807
0.2,0.812277,2.48803e-06,1.70766,98.192823477,1.00289,0.0170274,6050.41005253,97.5960672289,114.68,-81.2429,1,-82.7334174523,-82.7334174523,-165.435,1.0184,-82.7334174523,72.6253,0.0250241,100,0.01,100,6050.41005253,0.00809939
0.2,0.728959,6.99362e-07,1.13219,99.1288097807,1.01071,0.011202,1386.70842254,99.3123563858,97.93,-67.582,1,-68.3142845798,-68.3142845798,-151.371,1.00879,-68.3142845798,30.0908,0.00714421,100,0.01,100,1386.70842254,0.00721236
0.2,0.639438,1.68704e-06,1.31408,98.2430432618,1.02251,0.0128515,2581.37034173,98.3572750933,104.77,-72.5538,1,-74.1239592789,-74.1239592789,-156.724,1.01788,-74.1239592789,41.4145,0.0176384,100,0.01,100,2581.37034173,0.00625362
0.2,0.378787,3.44053e-06,1.52486,97.105644279,1.0337,0.0147514,7203.63262646,96.7060928527,116.65,-82.5774,1,-85.0055252722,-85.0055252722,-167.24,1.02981,-85.0055252722,77.5719,0.0367635,100,0.01,100,7203.63262646,0.00366438
0.2,0.83314,3.20851e-06,1.99428,97.4595095428,1.00686,0.0198071,7155.25889493,96.9213590775,118.52,-84.1189,1,-86.3858428511,-86.3858428511,-168.628,1.02607,-86.3858428511,77.4609,0.0325265,100,0.01,100,7155.25889493,0.00827467
0.2,0.80372,1.25912e-06,1.33455,98.6242398413,0.999122,0.0133572,5026.17574062,98.7688036556,105.78,-74.9894,1,-76.2142167746,-76.2142167746,-158.997,1.01395,-76.2142167746,64.8116,0.0125692,100,0.01,100,5026.17574062,0.00804427
0.2,0.411613,9.10936e-06,2.11931,93.7580319483,0.992421,0.0213549,11265.4000491,91.7277632486,137.06,-96.3223,1,-101.967734502,-101.967734502,-182.483,1.06658,-101.967734502,95.1426,0.089718,100,0.01,100,11265.4000491,0.00414757
