MinNormIw,EpsThisIter,Bound,IterType,BatchSize,VarJ,VanillaAvgRet,J,AvgNormIw,VarRet,AvgEpLen,AvgVanillaIw,MaxVanillaIw,VarVanillaIw,renyi2,ESSClassic,VarDiscRet,AvgDiscRet,ESSRenyi,MinVanillaIw,AvgRet,MaxNormIw,SamplesThisIter,VarNormIw,delta
,100,1.01992,1,100,41.9649,-2.14007616499,527.764,5.52486e-05,7.82879811656,500.0,854540.0,7.7272e+09,6.59739e+15,nan,1.99999892599,7.82879811656,-2.14007616499,nan,,-2.14007616499,0.499587,50000,2.75772e-05,0.8
2.95774e-26,100,0.669343,1,100,37.0875,-2.21763379848,364.872,5.52486e-05,12.2273998925,500.0,5.2848,1631.2,675.487,nan,1.12006299063,12.2273998925,-2.21763379848,nan,2.82922e-21,-2.21763379848,0.017053,50000,7.3825e-08,0.8
,100,2.75184,1,100,15.056,-2.89963750296,1109.74,5.52486e-05,19.2697575808,500.0,2.61034e+19,1.57142e+23,inf,nan,2.99998634312,19.2697575808,-2.89963750296,nan,,-2.89963750296,0.332596,50000,1.83329e-05,0.8
,100,1.82924,1,100,86.587,-3.74729148628,794.585,5.52486e-05,18.3561299628,500.0,100.666,437096.0,2.30265e+07,nan,2.45361425746,18.3561299628,-3.74729148628,nan,,-3.74729148628,0.239891,50000,6.93588e-06,0.8
,100,3.45528,1,100,44.5247,-2.36230740313,1058.51,5.52486e-05,17.2997609844,500.0,12568.7,1.13308e+08,1.41855e+12,nan,2.00007411275,17.2997609844,-2.36230740313,nan,,-2.36230740313,0.498069,50000,2.74098e-05,0.8
,100,1.58548,1,100,44.2619,-2.09380362491,581.619,5.52486e-05,9.36902071531,500.0,22.6044,59553.4,665275.0,nan,3.85709047454,9.36902071531,-2.09380362491,nan,,-2.09380362491,0.145558,50000,3.97428e-06,0.8
,100,2.86924,1,100,39.8431,-1.42242434591,831.611,5.52486e-05,13.7313899109,500.0,16.2157,10325.7,45977.4,nan,0.551064387848,13.7313899109,-1.42242434591,nan,,-1.42242434591,0.0351806,50000,5.33721e-07,0.8
,100,4.01082,1,100,19.7084,-1.78326475978,1249.3,5.52486e-05,11.3950457385,500.0,7.71671e+17,6.63908e+21,inf,nan,1.99592110046,11.3950457385,-1.78326475978,nan,,-1.78326475978,0.475333,50000,2.50152e-05,0.8
,100,2.06107,1,100,34.3383,-1.97907738354,730.281,5.52486e-05,13.3393960018,500.0,53.0848,220093.0,8.05699e+06,nan,2.99121420986,13.3393960018,-1.97907738354,nan,,-1.97907738354,0.229065,50000,8.7272e-06,0.8
,100,3.25792,1,100,43.0262,-1.66744417188,889.104,5.52486e-05,12.7960773107,500.0,26.8295,58216.0,437660.0,nan,1.93398250264,12.7960773107,-1.66744417188,nan,,-1.66744417188,0.119881,50000,1.8559e-06,0.8
