ESSRenyi,Bound,AvgEpLen,VarDiscRet,eRenyi2,MaxVanillaIw,VarVanillaIw,VanillaAvgRet,MaxNormIw,AvgNormIw,VarRet,IterType,VarNormIw,Delta,J,BatchSize,VarJ,AvgVanillaIw,EpsThisIter,AvgRet,MinVanillaIw,AvgDiscRet,MinNormIw,ESSClassic
96.7793100186,-114.06,16.48,5.13440396953,1.03328,2.1791,0.048148,-106.787513705,0.0210094,0.01,5.13440396953,1,4.47559e-06,0.7,-106.571,100,3.33615,1.0372,100,-106.787513705,0.704823,-106.787513705,0.00679541,95.7571393192
97.9762731934,-114.045,17.63,4.39488883343,1.02066,1.22662,0.0277747,-106.745176643,0.0123841,0.01,4.39488883343,1,2.83108e-06,0.7,-106.588,100,2.01062,0.990486,100,-106.745176643,0.478697,-106.745176643,0.00483294,97.2736154768
99.4931648477,-113.946,17.02,4.56093334315,1.00509,1.21846,0.00618982,-106.637573971,0.0121923,0.01,4.56093334315,1,6.19764e-07,0.7,-106.599,100,2.12204,0.999369,100,-106.637573971,0.665228,-106.637573971,0.00665648,99.3901615988
95.3408654887,-113.544,18.73,7.24130982251,1.04887,3.86537,0.127595,-106.343085666,0.0380464,0.01,7.24130982251,1,1.23618e-05,0.7,-106.052,100,3.69065,1.01596,100,-106.343085666,0.604584,-106.343085666,0.00595086,89.0962613748
99.2725041011,-114.759,15.95,5.12132735717,1.00733,1.11982,0.00658675,-106.882920453,0.0111281,0.01,5.12132735717,1,6.50455e-07,0.7,-106.822,100,2.02689,1.0063,100,-106.882920453,0.71483,-106.882920453,0.00710356,99.3602165068
98.4838946829,-114.779,17.96,6.58373065226,1.01539,1.27597,0.0135867,-107.142521463,0.0126885,0.01,6.58373065226,1,1.34356e-06,0.7,-107.026,100,2.41397,1.00561,100,-107.142521463,0.711269,-107.142521463,0.00707301,98.6873418027
99.2940900743,-113.95,16.14,5.7950417024,1.00711,1.43129,0.00852289,-106.376936847,0.0141161,0.01,5.7950417024,1,8.29013e-07,0.7,-106.321,100,2.29976,1.01394,100,-106.376936847,0.742844,-106.376936847,0.00732631,99.1859331492
98.9060636176,-114.179,16.98,6.1496904953,1.01106,1.29282,0.0108729,-106.626271365,0.0127337,0.01,6.1496904953,1,1.05483e-06,0.7,-106.54,100,2.41814,1.01527,100,-106.626271365,0.713114,-106.626271365,0.00702387,98.9665443701
98.964814353,-114.063,17.84,8.56479319425,1.01046,1.20764,0.0129413,-106.552830084,0.0122254,0.01,8.56479319425,1,1.32626e-06,0.7,-106.476,100,3.08945,0.987814,100,-106.552830084,0.669041,-106.552830084,0.00677295,98.7040350529
98.0832475596,-113.772,21.74,8.91316432327,1.01954,1.62261,0.0232055,-106.449822399,0.0159513,0.01,8.91316432327,1,2.24262e-06,0.7,-106.305,100,3.61553,1.01722,100,-106.449822399,0.776495,-106.449822399,0.00763347,97.8280263218
95.7823646253,-113.757,18.57,11.8523914838,1.04403,1.86458,0.0623471,-106.511944149,0.0185509,0.01,11.8523914838,1,6.17141e-06,0.7,-106.211,100,4.46973,1.00512,100,-106.511944149,0.508986,-106.511944149,0.00506396,94.2420801184
94.9003042065,-113.873,18.11,13.1004904403,1.05374,3.35122,0.103321,-106.490734697,0.0329411,0.01,13.1004904403,1,9.98298e-06,0.7,-106.153,100,5.33866,1.01734,100,-106.490734697,0.672513,-106.490734697,0.00661054,91.0057923096
99.5729286195,-114.335,17.86,6.72754671613,1.00429,1.12606,0.00419327,-106.598703562,0.011339,0.01,6.72754671613,1,4.25182e-07,0.7,-106.566,100,2.53757,0.993091,100,-106.598703562,0.742621,-106.598703562,0.00747788,99.5808107086
99.6815128437,-114.307,18.01,8.98157598464,1.0032,1.16223,0.0029327,-106.311237643,0.0117242,0.01,8.98157598464,1,2.98435e-07,0.7,-106.286,100,2.94028,0.991309,100,-106.311237643,0.75844,-106.311237643,0.0076509,99.7054152682
87.973588023,-113.028,20.04,17.142587514,1.1367,3.18694,0.172807,-105.972781658,0.0305686,0.01,17.142587514,1,1.58988e-05,0.7,-105.166,100,7.24748,1.04255,100,-105.972781658,0.457673,-105.972781658,0.00438993,86.4006495144
