AvgEpLen,EpsThisIter,VarDiscRet,eRenyi2,Delta,MinVanillaIw,AvgDiscRet,AvgRet,MaxNormIw,VanillaAvgRet,Bound,AvgNormIw,AvgVanillaIw,MaxVanillaIw,J,IterType,MinNormIw,VarNormIw,VarVanillaIw,ESSClassic,ESSRenyi,VarRet,VarJ,BatchSize
49.96,100,1910.82794555,1.0,0.5,1.0,17.8385938467,17.8385938467,0.00333333,17.8385938467,3.45534,0.00333333,1.0,1.0,10.2226,2,0.00333333,5.43914e-20,,299.999969474,500.0,1910.82794555,34.9849,500
51.8,100,4036.5894664,1.0,0.5,1.0,-4.06594813834,-4.06594813834,0.0025,-4.06594813834,-1.26504,0.0025,1.0,1.0,6.65045,2,0.0025,5.4346e-20,,400.0,500.0,4036.5894664,44.2187,500
47.52,100,922.88703861,1.07232,0.5,0.239835,-13.9788914266,-13.9788914266,0.0833104,-13.9788914266,109.849,0.002,2548.72,106168.0,117.18,1,1.882e-07,0.000162901,2.64551e+08,12.0065981122,466.277589148,922.88703861,0.207231,500
36.12,100,1829.66446003,1.0,0.5,1.0,14.3408261986,14.3408261986,0.01,14.3408261986,1.95504,0.01,1.0,1.0,14.3408,2,0.01,3.50449e-18,,100.0,500.0,1829.66446003,42.5602,500
55.42,100,816.720634761,1.0,0.5,1.0,-12.5219425638,-12.5219425638,0.005,-12.5219425638,-7.84863,0.005,1.0,1.0,0.909443,2,0.005,2.1793e-19,,200.000000102,500.0,816.720634761,38.6052,500
44.02,100,586.634709681,1.0,0.5,1.0,-7.63743659094,-7.63743659094,0.00333333,-7.63743659094,-9.09045,0.00333333,1.0,1.0,-1.93952,2,0.00333333,5.43914e-20,,299.999969474,500.0,586.634709681,34.69,500
44.96,100,627.731242075,1.0,0.5,1.0,7.53326399173,7.53326399173,0.0025,7.53326399173,-5.76421,0.0025,1.0,1.0,0.428677,2,0.0025,5.4346e-20,,400.0,500.0,627.731242075,32.7832,500
84.18,100,333.732931828,1.0843,0.5,0.149565,-7.68334195745,-7.68334195745,0.0999776,-7.68334195745,118.063,0.002,3266.15,163271.0,123.83,1,9.1585e-08,0.000196303,5.23526e+08,10.0044786695,461.125912222,333.732931828,0.195928,500
32.04,100,361.037501629,1.0,0.5,1.0,-2.82821393834,-2.82821393834,0.01,-2.82821393834,-7.70237,0.01,1.0,1.0,-2.82821,2,0.01,3.50449e-18,,100.0,500.0,361.037501629,18.9057,500
39.38,100,966.476877697,1.0,0.5,1.0,1.38033434063,1.38033434063,0.005,1.38033434063,-6.02648,0.005,1.0,1.0,-0.72394,2,0.005,2.1793e-19,,200.000000102,500.0,966.476877697,25.7206,500
35.14,100,829.466622181,1.0,0.5,1.0,1.7761353155,1.7761353155,0.00333333,1.7761353155,-4.22009,0.00333333,1.0,1.0,0.109418,2,0.00333333,5.43914e-20,,299.999969474,500.0,829.466622181,26.7609,500
43.8,100,884.447174648,1.0,0.5,1.0,-18.2810015081,-18.2810015081,0.0025,-18.2810015081,-9.08139,0.0025,1.0,1.0,-4.48819,2,0.0025,5.4346e-20,,400.0,500.0,884.447174648,28.6256,500
44.94,100,792.054467002,1.08199,0.5,0.239229,-1.33068264268,-1.33068264268,0.0833065,-1.33068264268,70.6917,0.002,2345.71,97706.3,74.9651,1,2.03972e-07,0.000162885,2.24062e+08,12.0077256654,462.110918193,792.054467002,0.158306,500
33.06,100,271.492991462,1.0,0.5,1.0,-3.86635163816,-3.86635163816,0.01,-3.86635163816,-6.95381,0.01,1.0,1.0,-3.86635,2,0.01,3.50449e-18,,100.0,500.0,271.492991462,16.3945,500
41.48,100,542.486422153,1.0,0.5,1.0,-7.9809863294,-7.9809863294,0.005,-7.9809863294,-8.96925,0.005,1.0,1.0,-5.92367,2,0.005,2.1793e-19,,200.000000102,500.0,542.486422153,20.178,500
33.16,100,97.9045339373,1.0,0.5,1.0,-7.07425431002,-7.07425431002,0.00333333,-7.07425431002,-8.79391,0.00333333,1.0,1.0,-6.3072,2,0.00333333,5.43914e-20,,299.999969474,500.0,97.9045339373,17.4367,500
43.06,100,1450.35607981,1.0,0.5,1.0,8.96427366431,8.96427366431,0.0025,8.96427366431,-7.00164,0.0025,1.0,1.0,-2.48933,2,0.0025,5.4346e-20,,400.0,500.0,1450.35607981,25.1141,500
36.08,100,692.732710498,1.06768,0.5,0.409139,-10.9416059707,-10.9416059707,0.0833179,-10.9416059707,86.0587,0.002,3955.46,164780.0,90.229,1,2.06873e-07,0.000162931,6.37289e+08,12.0044562917,468.304429857,692.732710498,0.112776,500
38.38,100,2477.7206925,1.0,0.5,1.0,-6.59406234638,-6.59406234638,0.01,-6.59406234638,-19.9425,0.01,1.0,1.0,-6.59406,2,0.01,3.50449e-18,,100.0,500.0,2477.7206925,49.5272,500
36.7,100,629.996768935,1.0,0.5,1.0,-2.69519230603,-2.69519230603,0.005,-2.69519230603,-14.0834,0.005,1.0,1.0,-4.64463,2,0.005,2.1793e-19,,200.000000102,500.0,629.996768935,39.2698,500
39.9,100,650.056821489,1.0,0.5,1.0,-14.6733979841,-14.6733979841,0.00333333,-14.6733979841,-15.6943,0.00333333,1.0,1.0,-7.98755,2,0.00333333,5.43914e-20,,299.999969474,500.0,650.056821489,35.5661,500
32.88,100,795.511862355,1.0,0.5,1.0,-6.62656804388,-6.62656804388,0.0025,-6.62656804388,-14.3215,0.0025,1.0,1.0,-7.6473,2,0.0025,5.4346e-20,,400.0,500.0,795.511862355,33.8519,500
40.7,100,826.240043727,1.08936,0.5,0.0541192,18.0536676681,18.0536676681,0.0833205,18.0536676681,73.3144,0.002,5500.65,229158.0,79.5451,1,1.96774e-08,0.000162941,1.23253e+09,12.0036867555,458.983485452,826.240043727,0.0723437,500
43.7,100,952.250308077,1.0,0.5,1.0,-7.55873083453,-7.55873083453,0.01,-7.55873083453,-14.5969,0.01,1.0,1.0,-7.55873,2,0.01,3.50449e-18,,100.0,500.0,952.250308077,30.7039,500
49.3,100,1037.55332855,1.0,0.5,1.0,7.33426166163,7.33426166163,0.005,7.33426166163,-5.089,0.005,1.0,1.0,-0.112235,2,0.005,2.1793e-19,,200.000000102,500.0,1037.55332855,32.2553,500
41.16,100,1278.49871234,1.0,0.5,1.0,7.0461355058,7.0461355058,0.00333333,7.0461355058,-2.99237,0.00333333,1.0,1.0,2.27389,2,0.00333333,5.43914e-20,,299.999969474,500.0,1278.49871234,33.5692,500
130.02,100,4840.75681322,1.0,0.5,1.0,-28.9883789255,-28.9883789255,0.0025,-28.9883789255,-16.2023,0.0025,1.0,1.0,-5.54168,2,0.0025,5.4346e-20,,400.0,500.0,4840.75681322,47.1859,500
34.4,100,377.56025558,1.10362,0.5,0.0307475,-8.50275158774,-8.50275158774,0.0833244,-8.50275158774,81.188,0.002,6977.8,290711.0,91.205,1,8.81296e-09,0.000162957,1.98358e+09,12.0025610249,453.056184725,377.56025558,0.0607791,500
35.62,100,1016.43835925,1.0,0.5,1.0,4.7148097896,4.7148097896,0.01,4.7148097896,-3.78971,0.01,1.0,1.0,4.71481,2,0.01,3.50449e-18,,100.0,500.0,1016.43835925,31.7218,500
79.08,100,1002.08189783,1.0,0.5,1.0,-18.0795266883,-18.0795266883,0.005,-18.0795266883,-13.2137,0.005,1.0,1.0,-6.68236,2,0.005,2.1793e-19,,200.000000102,500.0,1002.08189783,33.6015,500
51.6,100,4640.1428859,1.0,0.5,1.0,17.0855396791,17.0855396791,0.00333333,17.0855396791,-8.8049,0.00333333,1.0,1.0,1.24027,2,0.00333333,5.43914e-20,,299.999969474,500.0,4640.1428859,49.0866,500
38.6,100,235.74447587,1.0,0.5,1.0,10.1100134174,10.1100134174,0.0025,10.1100134174,-5.24166,0.0025,1.0,1.0,3.45771,2,0.0025,5.4346e-20,,400.0,500.0,235.74447587,43.3615,500
43.22,100,1877.38695977,1.09079,0.5,0.159096,0.0610612663028,0.0610612663028,0.0999874,0.0610612663028,165.84,0.002,5938.61,296893.0,173.967,1,5.35803e-08,0.000196342,1.7311e+09,10.0025270716,458.382057031,1877.38695977,0.146696,500
100.3,100,1975.48825692,1.0,0.5,1.0,18.4168168901,18.4168168901,0.01,18.4168168901,4.50594,0.01,1.0,1.0,18.4168,2,0.01,3.50449e-18,,100.0,500.0,1975.48825692,44.2237,500
43.26,100,676.08048882,1.0,0.5,1.0,-2.52790079062,-2.52790079062,0.005,-2.52790079062,-1.89202,0.005,1.0,1.0,7.94446,2,0.005,2.1793e-19,,200.000000102,500.0,676.08048882,37.712,500
59.56,100,3878.76934404,1.0,0.5,1.0,14.2404468853,14.2404468853,0.00333333,14.2404468853,-0.0752344,0.00333333,1.0,1.0,10.0431,2,0.00333333,5.43914e-20,,299.999969474,500.0,3878.76934404,47.2962,500
33.2,100,560.661913872,1.0,0.5,1.0,-13.3194562443,-13.3194562443,0.0025,-13.3194562443,-4.56028,0.0025,1.0,1.0,4.20248,2,0.0025,5.4346e-20,,400.0,500.0,560.661913872,43.8042,500
28.42,100,158.300165518,1.07871,0.5,0.35584,3.12988438968,3.12988438968,0.0833117,3.12988438968,167.071,0.002,2987.45,124445.0,175.211,1,2.38223e-07,0.000162906,3.63478e+08,12.0062324802,463.517854366,158.300165518,0.288446,500
69.84,100,2824.81521521,1.0,0.5,1.0,-0.572854270364,-0.572854270364,0.01,-0.572854270364,-10.8787,0.01,1.0,1.0,-0.572854,2,0.01,3.50449e-18,,100.0,500.0,2824.81521521,52.8826,500
44.74,100,1027.91935325,1.0,0.5,1.0,5.34431176527,5.34431176527,0.005,5.34431176527,-4.90163,0.005,1.0,1.0,2.38573,2,0.005,2.1793e-19,,200.000000102,500.0,1027.91935325,43.7705,500
36.06,100,2413.3826225,1.0,0.5,1.0,15.4923963867,15.4923963867,0.00333333,15.4923963867,-0.813431,0.00333333,1.0,1.0,6.75462,2,0.00333333,5.43914e-20,,299.999969474,500.0,2413.3826225,45.9546,500
52.5,100,83.4804360268,1.0,0.5,1.0,-9.45650656002,-9.45650656002,0.0025,-9.45650656002,-3.85229,0.0025,1.0,1.0,2.70184,2,0.0025,5.4346e-20,,400.0,500.0,83.4804360268,40.667,500
78.3,100,212.097859278,1.08535,0.5,0.234117,4.76202935228,4.76202935228,0.0833196,4.76202935228,124.955,0.002,4630.99,192926.0,131.062,1,1.01109e-07,0.000162938,8.73595e+08,12.0039475964,460.681174399,212.097859278,0.134178,500
68.42,100,3445.79210487,1.0,0.5,1.0,-4.50746210825,-4.50746210825,0.01,-4.50746210825,-16.4918,0.01,1.0,1.0,-4.50746,2,0.01,3.50449e-18,,100.0,500.0,3445.79210487,58.4066,500
56.88,100,227.685056719,1.0,0.5,1.0,-3.07802236304,-3.07802236304,0.005,-3.07802236304,-12.267,0.005,1.0,1.0,-3.79274,2,0.005,2.1793e-19,,200.000000102,500.0,227.685056719,42.6483,500
30.56,100,195.981285681,1.0,0.5,1.0,-2.4605581394,-2.4605581394,0.00333333,-2.4605581394,-10.2679,0.00333333,1.0,1.0,-3.34868,2,0.00333333,5.43914e-20,,299.999969474,500.0,195.981285681,35.7443,500
29.84,100,144.981841775,1.0,0.5,1.0,-8.56584574566,-8.56584574566,0.0025,-8.56584574566,-10.6452,0.0025,1.0,1.0,-4.65297,2,0.0025,5.4346e-20,,400.0,500.0,144.981841775,31.6106,500
52.2,100,351.141815462,1.06611,0.5,0.14764,-3.00610484872,-3.00610484872,0.0833046,-3.00610484872,102.367,0.002,2171.38,90443.0,107.901,1,1.35987e-07,0.000162878,1.91987e+08,12.0082717904,468.994540311,351.141815462,0.248412,500
51.8,100,571.727855069,1.0,0.5,1.0,-8.02198275595,-8.02198275595,0.01,-8.02198275595,-15.1682,0.01,1.0,1.0,-8.02198,2,0.01,3.50449e-18,,100.0,500.0,571.727855069,23.791,500
44.16,100,761.228288399,1.0,0.5,1.0,5.59977600933,5.59977600933,0.005,5.59977600933,-6.26426,0.005,1.0,1.0,-1.2111,2,0.005,2.1793e-19,,200.000000102,500.0,761.228288399,26.5744,500
35.74,100,1059.69368874,1.0,0.5,1.0,2.24709138103,2.24709138103,0.00333333,2.24709138103,-4.18426,0.00333333,1.0,1.0,-0.0583716,2,0.00333333,5.43914e-20,,299.999969474,500.0,1059.69368874,28.6907,500
27.26,100,162.884021149,1.0,0.5,1.0,6.95503060834,6.95503060834,0.0025,6.95503060834,-1.87814,0.0025,1.0,1.0,1.69498,2,0.0025,5.4346e-20,,400.0,500.0,162.884021149,25.8245,500
40.44,100,343.741252047,1.07868,0.5,0.187737,-3.06536171211,-3.06536171211,0.0833207,-3.06536171211,64.551,0.002,5326.55,221906.0,67.8702,1,7.04912e-08,0.000162942,1.15575e+09,12.003636207,463.531172975,343.741252047,0.0620496,500
31.4,100,89.7828879379,1.0,0.5,1.0,3.15223044607,3.15223044607,0.01,3.15223044607,0.848516,0.01,1.0,1.0,3.15223,2,0.01,3.50449e-18,,100.0,500.0,89.7828879379,9.42789,500
43.56,100,934.693695812,1.0,0.5,1.0,-11.8293166069,-11.8293166069,0.005,-11.8293166069,-8.9422,0.005,1.0,1.0,-4.33854,2,0.005,2.1793e-19,,200.000000102,500.0,934.693695812,23.7324,500
42.62,100,274.422891867,1.0,0.5,1.0,-1.50996793508,-1.50996793508,0.00333333,-1.50996793508,-7.15455,0.00333333,1.0,1.0,-3.39568,2,0.00333333,5.43914e-20,,299.999969474,500.0,274.422891867,21.6292,500
37.92,100,889.791943794,1.0,0.5,1.0,-14.0265607092,-14.0265607092,0.0025,-14.0265607092,-9.30868,0.0025,1.0,1.0,-6.0534,2,0.0025,5.4346e-20,,400.0,500.0,889.791943794,24.3368,500
34.24,100,184.083070457,1.0985,0.5,0.0700538,-5.45000516645,-5.45000516645,0.099987,-5.45000516645,33.322,0.002,6986.65,349287.0,36.3737,1,2.00536e-08,0.000196341,2.39601e+09,10.002597205,455.167710742,184.083070457,0.0276365,500
42.6,100,408.143070644,1.0,0.5,1.0,-10.9233820231,-10.9233820231,0.01,-10.9233820231,-15.993,0.01,1.0,1.0,-10.9234,2,0.01,3.50449e-18,,100.0,500.0,408.143070644,20.1013,500
80.22,100,798.935232936,1.0,0.5,1.0,6.25365614912,6.25365614912,0.005,6.25365614912,-6.52649,0.005,1.0,1.0,-2.33486,2,0.005,2.1793e-19,,200.000000102,500.0,798.935232936,25.9088,500
53.1,100,1065.64850128,1.0,0.5,1.0,-9.50461259351,-9.50461259351,0.00333333,-9.50461259351,-9.76553,0.00333333,1.0,1.0,-4.72478,2,0.00333333,5.43914e-20,,299.999969474,500.0,1065.64850128,28.471,500
41.36,100,1163.39938205,1.0,0.5,1.0,9.69213575445,9.69213575445,0.0025,9.69213575445,-5.66042,0.0025,1.0,1.0,-1.12055,2,0.0025,5.4346e-20,,400.0,500.0,1163.39938205,30.5755,500
46.32,100,813.555055983,1.10652,0.5,0.0991611,-21.8996114884,-21.8996114884,0.0833244,-21.8996114884,86.517,0.002,7421.9,309213.0,90.7884,1,2.67212e-08,0.000162957,2.2441e+09,12.0025758637,451.868795604,813.555055983,0.0594178,500
34.22,100,288.536054436,1.0,0.5,1.0,-10.3732553675,-10.3732553675,0.01,-10.3732553675,-14.2691,0.01,1.0,1.0,-10.3733,2,0.01,3.50449e-18,,100.0,500.0,288.536054436,16.9012,500
58.38,100,1403.90075751,1.0,0.5,1.0,6.27804989602,6.27804989602,0.005,6.27804989602,-7.79833,0.005,1.0,1.0,-2.0476,2,0.005,2.1793e-19,,200.000000102,500.0,1403.90075751,30.1176,500
27.82,100,150.086607407,1.0,0.5,1.0,1.09855169889,1.09855169889,0.00333333,1.09855169889,-5.69433,0.00333333,1.0,1.0,-0.998885,2,0.00333333,5.43914e-20,,299.999969474,500.0,150.086607407,25.6212,500
28.7,100,104.578648558,1.0,0.5,1.0,4.73208499453,4.73208499453,0.0025,4.73208499453,-3.63252,0.0025,1.0,1.0,0.433858,2,0.0025,5.4346e-20,,400.0,500.0,104.578648558,22.8992,500
32.36,100,239.631494744,1.07033,0.5,0.41251,0.790965101778,0.790965101778,0.0833152,0.790965101778,77.547,0.002,3476.55,144825.0,81.3098,1,2.3731e-07,0.00016292,4.92279e+08,12.0052240735,467.143763264,239.631494744,0.116311,500
52.18,100,1624.35877665,1.0,0.5,1.0,11.908327804,11.908327804,0.01,11.908327804,3.90793,0.01,1.0,1.0,11.9083,2,0.01,3.50449e-18,,100.0,500.0,1624.35877665,40.1013,500
44.2,100,357.774449052,1.0,0.5,1.0,10.6144624011,10.6144624011,0.005,10.6144624011,5.60426,0.005,1.0,1.0,11.2614,2,0.005,2.1793e-19,,200.000000102,500.0,357.774449052,31.3301,500
33.3,100,375.332479665,1.0,0.5,1.0,-4.98143513523,-4.98143513523,0.00333333,-4.98143513523,1.22809,0.00333333,1.0,1.0,5.84712,2,0.00333333,5.43914e-20,,299.999969474,500.0,375.332479665,28.9287,500
39.72,100,1167.0359282,1.0,0.5,1.0,17.7820133697,17.7820133697,0.0025,17.7820133697,3.01834,0.0025,1.0,1.0,8.83084,2,0.0025,5.4346e-20,,400.0,500.0,1167.0359282,30.7116,500
40.72,100,177.807807771,1.0942,0.5,0.165226,0.968394418802,0.968394418802,0.0999825,0.968394418802,110.794,0.002,4287.25,214325.0,116.232,1,7.70776e-08,0.000196322,9.02127e+08,10.003510885,456.953104147,177.807807771,0.1256,500
35.16,100,114.51301678,1.0,0.5,1.0,-1.73849408851,-1.73849408851,0.01,-1.73849408851,-3.48999,0.01,1.0,1.0,-1.73849,2,0.01,3.50449e-18,,100.0,500.0,114.51301678,10.6474,500
32.4,100,231.375243738,1.0,0.5,1.0,-1.48635693502,-1.48635693502,0.005,-1.48635693502,-4.1495,0.005,1.0,1.0,-1.61243,2,0.005,2.1793e-19,,200.000000102,500.0,231.375243738,13.0855,500
46.84,100,275.980541009,1.0,0.5,1.0,-10.7864242972,-10.7864242972,0.00333333,-10.7864242972,-7.62923,0.00333333,1.0,1.0,-4.67043,2,0.00333333,5.43914e-20,,299.999969474,500.0,275.980541009,14.9643,500
35.86,100,262.334666809,1.0,0.5,1.0,7.92933239857,7.92933239857,0.0025,7.92933239857,-4.08289,0.0025,1.0,1.0,-1.52049,2,0.0025,5.4346e-20,,400.0,500.0,262.334666809,16.2062,500
36.14,100,128.188330964,1.07095,0.5,0.433482,-0.18186842705,-0.18186842705,0.0832986,-0.18186842705,28.1179,0.002,1721.46,71697.7,30.4897,1,5.03621e-07,0.000162853,1.20651e+08,12.0100093203,466.874982747,128.188330964,0.0818995,500
29.9,100,161.421647754,1.0,0.5,1.0,6.29166185777,6.29166185777,0.01,6.29166185777,3.30495,0.01,1.0,1.0,6.29166,2,0.01,3.50449e-18,,100.0,500.0,161.421647754,12.6415,500
34.02,100,207.781715503,1.0,0.5,1.0,7.69210241531,7.69210241531,0.005,7.69210241531,4.87996,0.005,1.0,1.0,6.99188,2,0.005,2.1793e-19,,200.000000102,500.0,207.781715503,13.5368,500
42.58,100,579.974379703,1.0,0.5,1.0,5.82098446516,5.82098446516,0.00333333,5.82098446516,3.62177,0.00333333,1.0,1.0,6.60158,2,0.00333333,5.43914e-20,,299.999969474,500.0,579.974379703,17.7161,500
51.24,100,621.719276294,1.0,0.5,1.0,4.27323587763,4.27323587763,0.0025,4.27323587763,3.09334,0.0025,1.0,1.0,6.0195,2,0.0025,5.4346e-20,,400.0,500.0,621.719276294,19.7557,500
30.82,100,274.053975906,1.09523,0.5,0.193506,-1.02882121805,-1.02882121805,0.099975,-1.02882121805,55.7729,0.002,3151.8,157551.0,58.512,1,1.22791e-07,0.000196293,4.87486e+08,10.0050019353,456.524225976,274.053975906,0.0803251,500
32.8,100,182.458314405,1.0,0.5,1.0,0.291389849237,0.291389849237,0.01,0.291389849237,-2.49468,0.01,1.0,1.0,0.29139,2,0.01,3.50449e-18,,100.0,500.0,182.458314405,13.44,500
50.56,100,3381.76040617,1.0,0.5,1.0,10.5032159673,10.5032159673,0.005,10.5032159673,-6.66049,0.005,1.0,1.0,5.3973,2,0.005,2.1793e-19,,200.000000102,500.0,3381.76040617,42.3126,500
37.96,100,88.7491383799,1.0,0.5,1.0,-4.97708513676,-4.97708513676,0.00333333,-4.97708513676,-7.90598,0.00333333,1.0,1.0,1.93917,2,0.00333333,5.43914e-20,,299.999969474,500.0,88.7491383799,35.3097,500
61.74,100,2845.35228099,1.0,0.5,1.0,8.08736597165,8.08736597165,0.0025,8.08736597165,-5.04993,0.0025,1.0,1.0,3.47622,2,0.0025,5.4346e-20,,400.0,500.0,2845.35228099,40.5758,500
35.52,100,1445.21464072,1.08527,0.5,0.410186,9.36963036359,9.36963036359,0.0999779,9.36963036359,162.543,0.002,3356.03,167764.0,170.487,1,2.44447e-07,0.000196304,5.52741e+08,10.0044218447,460.713458756,1445.21464072,0.256767,500
48.3,100,1112.3208194,1.0,0.5,1.0,-20.6809337572,-20.6809337572,0.01,-20.6809337572,-30.2186,0.01,1.0,1.0,-20.6809,2,0.01,3.50449e-18,,100.0,500.0,1112.3208194,33.1843,500
59.7,100,2344.14649897,1.0,0.5,1.0,22.4637692181,22.4637692181,0.005,22.4637692181,-8.71295,0.005,1.0,1.0,0.891419,2,0.005,2.1793e-19,,200.000000102,500.0,2344.14649897,46.651,500
34.16,100,478.997469451,1.0,0.5,1.0,17.85181348,17.85181348,0.00333333,17.85181348,-1.29705,0.00333333,1.0,1.0,6.54488,2,0.00333333,5.43914e-20,,299.999969474,500.0,478.997469451,40.9007,500
40.32,100,310.250209212,1.0,0.5,1.0,3.94254872928,3.94254872928,0.0025,3.94254872928,-0.897016,0.0025,1.0,1.0,5.8943,2,0.0025,5.4346e-20,,400.0,500.0,310.250209212,36.5063,500
104.06,100,3411.6846592,1.08886,0.5,0.217078,38.6439966564,38.6439966564,0.0999841,38.6439966564,138.739,0.002,5210.75,260496.0,145.532,1,8.33192e-08,0.000196329,1.33268e+09,10.0031826733,459.19448411,3411.6846592,0.135259,500
38.56,100,82.7969797517,1.0,0.5,1.0,-5.53835502845,-5.53835502845,0.01,-5.53835502845,-7.35893,0.01,1.0,1.0,-5.53835,2,0.01,3.50449e-18,,100.0,500.0,82.7969797517,9.05367,500
32.22,100,301.155074946,1.0,0.5,1.0,-8.09216777509,-8.09216777509,0.005,-8.09216777509,-10.2127,0.005,1.0,1.0,-6.81526,2,0.005,2.1793e-19,,200.000000102,500.0,301.155074946,13.8451,500
37.0,100,287.120368124,1.0,0.5,1.0,9.79033834928,9.79033834928,0.00333333,9.79033834928,-4.05402,0.00333333,1.0,1.0,-1.28006,2,0.00333333,5.43914e-20,,299.999969474,500.0,287.120368124,16.8469,500
32.04,100,314.478519758,1.0,0.5,1.0,-7.1759162531,-7.1759162531,0.0025,-7.1759162531,-5.15634,0.0025,1.0,1.0,-2.75402,2,0.0025,5.4346e-20,,400.0,500.0,314.478519758,17.2399,500
63.7,100,8029.47056861,1.07053,0.5,0.532204,27.501733422,27.501733422,0.083308,27.501733422,249.41,0.002,2501.45,104195.0,261.515,1,4.25517e-07,0.000162891,2.54812e+08,12.0073020619,467.059700357,8029.47056861,0.521865,500
51.02,100,803.219763503,1.0,0.5,1.0,-0.552186011894,-0.552186011894,0.01,-0.552186011894,-7.47933,0.01,1.0,1.0,-0.552187,2,0.01,3.50449e-18,,100.0,500.0,803.219763503,28.1991,500
