AvgDiscRet,MaxNormIw,J,eRenyi2,VanillaAvgRet,AvgRet,AvgVanillaIw,MinVanillaIw,VarRet,MaxVanillaIw,VarDiscRet,ESSRenyi,VarJ,Bound,AvgNormIw,ESSClassic,VarVanillaIw,BatchSize,MinNormIw,AvgEpLen,VarNormIw
-7.641321454635078,0.013185206,-7.355192,1.3382504,-7.641321454635078,-7.641321454635078,1.0180933,0.3886592,45.86345127729923,6.7118855,45.86345127729923,373.6221565931692,7.6383915,-8.370612,0.0020000003,351.85294898986325,0.4372969,500,0.00076350407,200.0,1.6875674e-06
-8.002281465468856,0.009131081,-6.7754207,3.2484396,-8.002281465468856,-8.002281465468856,0.9971427,3.8432194e-36,51.467792040767314,4.5524955,51.467792040767314,153.92005676647602,12.073299,-8.337892,0.002,147.8990272379287,2.3718429,500,7.708464e-39,200.0,9.541822e-06
-8.008893708814883,0.010391181,-7.673329,1.4517531,-8.008893708814883,-8.008893708814883,0.9994433,0.11510763,49.54726635275166,5.1926985,49.54726635275166,344.4111718426419,7.8185983,-8.732962,0.002,341.4843096990903,0.46460873,500,0.0002303435,200.0,1.8605058e-06
-7.567290306786796,0.005979196,-7.5229816,1.0584868,-7.567290306786796,-7.567290306786796,1.0000887,0.84116924,48.393249332712436,2.9898634,48.393249332712436,472.37243855915,7.065874,-8.422712,0.002,476.8964939007864,0.048551224,500,0.0016821892,200.0,1.9417041e-07
-7.816087163886207,0.006318547,-7.7050877,1.1402909,-7.816087163886207,-7.816087163886207,0.9997921,0.7595521,48.491153400973865,3.1586165,48.491153400973865,438.4846175084442,7.352346,-8.6366415,0.0019999999,449.55035273874404,0.11240057,500,0.0015194201,200.0,4.4978927e-07
-7.834704051592202,0.016836492,-5.8188086,5.830111,-7.834704051592202,-7.834704051592202,0.9856344,,50.9964943393385,8.297313,50.9964943393385,85.7616600618208,15.93881,-7.9450374,0.0019999999,81.74137287961486,4.9808574,500,,200.0,2.050843e-05
-7.499907718092516,0.005184743,-7.0142074,1.8116012,-7.499907718092516,-7.499907718092516,0.9475643,8.260827e-11,48.223988985126574,2.4564388,48.223988985126574,275.9989397776323,9.062533,-8.201344,0.002,260.27569077716356,0.8286389,500,1.7435917e-13,200.0,3.6915428e-06
-7.709560748603725,0.008004104,-7.056254,1.8608338,-7.709560748603725,-7.709560748603725,1.0238205,0.002409214,48.71175681235341,4.0973825,48.71175681235341,268.69675822343714,8.721071,-8.25961,0.0019999999,277.75925248563107,0.84037346,500,4.706321e-06,200.0,3.2068945e-06
-7.861082963253677,0.009170595,-7.64795,1.2708929,-7.861082963253677,-7.861082963253677,0.9958064,0.39256716,50.79451284337831,4.566068,50.79451284337831,393.42419516627956,7.7401686,-8.637592,0.002,378.54947404153006,0.31878376,500,0.0007884407,200.0,1.2858974e-06
-7.90999672943252,0.0051881988,-7.29244,1.8475897,-7.90999672943252,-7.90999672943252,0.96654075,9.6506706e-14,51.32893066220228,2.5073028,51.32893066220228,270.6228507076655,9.558719,-8.489628,0.0019999999,266.8246410703352,0.8180251,500,1.9969506e-16,200.0,3.5025653e-06
-7.863677251776118,0.019085452,-7.6234164,1.2386163,-7.863677251776118,-7.863677251776118,1.0097109,0.7920147,47.844620967278225,9.635395,47.844620967278225,403.67624816571123,7.731522,-8.602873,0.002,399.9911263595075,0.25541836,500,0.001568795,200.0,1.0021162e-06
-7.976537063450702,0.009473266,-6.8691373,3.152151,-7.976537063450702,-7.976537063450702,0.96862566,5.8345315e-15,50.48493129645357,4.588024,50.48493129645357,158.62183724778913,12.263239,-8.435263,0.0019999999,156.79673530669186,2.0577655,500,1.204703e-17,200.0,8.772915e-06
-7.625447701203399,0.0033053295,-7.4003077,1.2114798,-7.625447701203399,-7.625447701203399,1.0059427,0.037467882,48.70010291343955,1.6624861,48.70010291343955,412.71840190171264,7.510955,-8.362863,0.002,409.8900486927038,0.22290564,500,7.449307e-05,200.0,8.8111886e-07
-7.053094270529138,0.0058553647,-6.491684,1.9561213,-7.053094270529138,-7.053094270529138,0.9139612,1.3120488e-10,45.14349961463164,2.675788,45.14349961463164,255.6078672032377,9.048272,-7.7123203,0.002,236.3329301768286,0.93380606,500,2.871126e-13,200.0,4.471582e-06
-7.648026345363539,0.004017738,-7.3896737,1.2843076,-7.648026345363539,-7.648026345363539,0.94212514,0.012058109,45.53866253865115,1.892606,45.53866253865115,389.3148342055773,7.6879935,-8.385871,0.002,380.8828795710561,0.27814382,500,2.5597681e-05,200.0,1.253465e-06
-8.058658172903446,0.008329151,-7.2327313,2.9374442,-8.058658172903446,-8.058658172903446,1.0546135,2.8623843e-11,47.08112567413544,4.392018,47.08112567413544,170.21599875459944,12.042465,-8.743287,0.0020000006,176.45723405740262,2.043376,500,5.4283096e-14,200.0,7.348888e-06
-8.009370156371313,0.021598214,-7.80166,1.2635423,-8.009370156371313,-8.009370156371313,1.0217195,0.73112595,50.31615246457146,11.033658,50.31615246457146,395.71291137267616,7.4703875,-8.789394,0.002,362.1160245886314,0.39828935,500,0.0014311677,200.0,1.5261435e-06
-7.890977360134209,0.0069795633,-7.7989874,1.0965197,-7.890977360134209,-7.890977360134209,0.9900167,0.83889985,52.41135074913458,3.4549422,52.41135074913458,455.98815603883946,7.4061704,-8.719296,0.002,468.1223802407121,0.06687779,500,0.0016947185,200.0,2.7293348e-07
-7.740617069964222,0.010510872,-7.6402674,1.0886183,-7.740617069964222,-7.740617069964222,0.9912487,0.8466058,50.40012063619694,5.209444,50.40012063619694,459.29781804451864,7.1632905,-8.558168,0.002,461.00141594218593,0.083287805,500,0.0017081602,200.0,3.390597e-07
-7.622632676591707,0.0025314393,-7.6202884,1.002067,-7.622632676591707,-7.622632676591707,0.9987454,0.9389715,46.88056665745554,1.2641317,46.88056665745554,498.9686468401478,6.840354,-8.50203,0.002,499.0842857390479,0.0018337911,500,0.0018803021,200.0,7.353605e-09
-7.839324657984865,0.0060182232,-7.275856,2.241904,-7.839324657984865,-7.839324657984865,1.0277393,1.5339841e-14,47.543006282427896,3.0925822,47.543006282427896,223.0247126864001,9.655663,-8.577673,0.002,226.90991440737344,1.2737606,500,2.985162e-17,200.0,4.823718e-06
