AvgVanillaIw,MaxNormIw,ESSClassic,MaxVanillaIw,VarDiscRet,Bound,VarVanillaIw,VanillaAvgRet,VarNormIw,IterType,VarRet,VarJ,AvgNormIw,AvgDiscRet,BatchSize,MinNormIw,EpsThisIter,AvgRet,J,Delta,AvgEpLen,ESSRenyi,MinVanillaIw,eRenyi2
1.0,0.01,100.0,1.0,44.3672598934869,-8.549286,,-7.383970653389597,3.5044917e-18,2,44.3672598934869,6.627487,0.009999998,-7.383970653389597,500,0.01,100,-7.383970653389597,-7.3839703,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,53.91219071890475,-8.615124,,-8.198271611518093,2.179301e-19,2,53.91219071890475,6.9867086,0.0049999994,-8.198271611518093,500,0.005,100,-8.198271611518093,-7.791121,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,45.68075611308104,-8.248987,,-7.127482848386226,5.4391416e-20,2,45.68075611308104,6.907623,0.0033333336,-7.127482848386226,500,0.0033333334,100,-7.127482848386226,-7.569908,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,35.10831114164533,-7.907085,,-6.566215637568625,5.434597e-20,2,35.10831114164533,6.6831603,0.0024999997,-6.566215637568625,500,0.0025,100,-6.566215637568625,-7.318985,0.8,200.0,500.0,1.0,1.0
1.0537236,0.0042376975,309.1651514511935,2.232681,46.76551201064061,-7.7676125,0.6867364,-7.860591972666897,2.4739827e-06,1,46.76551201064061,8.468041,0.002,-7.860591972666897,500,1.5717099e-12,100,-7.860591972666897,-7.0891957,0.8,200.0,300.5860214267757,8.2807394e-10,1.6634173
1.0,0.01,100.0,1.0,53.41103393745138,-9.264457,,-8.110440919714963,3.5044917e-18,2,53.41103393745138,7.271652,0.009999998,-8.110440919714963,500,0.01,100,-8.110440919714963,-8.11044,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,45.31352594414838,-8.880998,,-8.019528336692517,2.179301e-19,2,45.31352594414838,6.99076,0.0049999994,-8.019528336692517,500,0.005,100,-8.019528336692517,-8.064984,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,44.13450583434991,-8.182495,,-6.382620824216913,5.4391416e-20,2,44.13450583434991,6.911862,0.0033333336,-6.382620824216913,500,0.0033333334,100,-6.382620824216913,-7.5041966,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,50.07653601781743,-8.024805,,-7.236934084401518,5.434597e-20,2,50.07653601781743,6.9453373,0.0024999997,-7.236934084401518,500,0.0025,100,-7.236934084401518,-7.437381,0.8,200.0,500.0,1.0,1.0
1.0130281,0.026530052,48.862324302324446,13.437844,47.93531344144259,-7.545898,9.493961,-7.326341774037018,3.7005342e-05,1,47.93531344144259,17.218855,0.002,-7.326341774037018,500,,100,-7.326341774037018,-5.9252157,0.8,200.0,52.549353471799655,,9.514865
1.0,0.01,100.0,1.0,46.113888575838615,-9.40547,,-8.230498214330446,3.5044917e-18,2,46.113888575838615,6.756682,0.009999998,-8.230498214330446,500,0.01,100,-8.230498214330446,-8.230498,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,47.03005817829408,-8.380215,,-6.863775692274828,2.179301e-19,2,47.03005817829408,6.8244586,0.0049999994,-6.863775692274828,500,0.005,100,-6.863775692274828,-7.5471373,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,47.11459262249053,-8.468238,,-8.269822356124427,5.4391416e-20,2,47.11459262249053,6.834669,0.0033333336,-8.269822356124427,500,0.0033333334,100,-8.269822356124427,-7.7880325,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,50.96046579804978,-8.508814,,-8.314860668044815,5.434597e-20,2,50.96046579804978,6.9064665,0.0024999997,-8.314860668044815,500,0.0025,100,-8.314860668044815,-7.919739,0.8,200.0,500.0,1.0,1.0
0.99154675,0.0027409894,444.89502747898104,1.3589096,44.56531698520993,-8.307832,0.12201954,-7.448630395396337,4.9643563e-07,1,44.56531698520993,7.256985,0.002,-7.448630395396337,500,5.9993363e-05,100,-7.448630395396337,-7.7503066,0.8,200.0,446.5527645723859,0.029743113,1.1196885
1.0,0.01,100.0,1.0,48.24137384894726,-9.408361,,-8.28616720544383,3.5044917e-18,2,48.24137384894726,6.9107857,0.009999998,-8.28616720544383,500,0.01,100,-8.28616720544383,-8.286167,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,41.67387860110572,-8.469733,,-7.0265057043943235,2.179301e-19,2,41.67387860110572,6.7010994,0.0049999994,-7.0265057043943235,500,0.005,100,-7.0265057043943235,-7.656337,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,47.737810096992135,-8.253691,,-7.4559946215892685,5.4391416e-20,2,47.737810096992135,6.760095,0.0033333336,-7.4559946215892685,500,0.0033333334,100,-7.4559946215892685,-7.5895557,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,47.676522354845225,-8.449118,,-8.699296458311029,5.434597e-20,2,47.676522354845225,6.8047786,0.0024999997,-8.699296458311029,500,0.0025,100,-8.699296458311029,-7.866991,0.8,200.0,500.0,1.0,1.0
0.9429442,0.008458036,166.09693259832642,3.9877279,40.98740182115234,-8.014219,1.7910193,-8.091759781074865,8.057276e-06,1,40.98740182115234,11.6377,0.002,-8.091759781074865,500,2.2086259e-38,100,-8.091759781074865,-7.1328917,0.8,200.0,174.5102811725209,1.0413055e-35,2.8651607
1.0,0.01,100.0,1.0,47.242988493157725,-8.21078,,-7.040876218384496,3.5044917e-18,2,47.242988493157725,6.8389,0.009999998,-7.040876218384496,500,0.01,100,-7.040876218384496,-7.040876,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,45.10228207675636,-7.792072,,-6.881932112985951,2.179301e-19,2,45.10228207675636,6.7614517,0.0049999994,-6.881932112985951,500,0.005,100,-6.881932112985951,-6.961404,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,53.10568510816456,-8.07476,,-8.266762147944672,5.4391416e-20,2,53.10568510816456,6.955694,0.0033333336,-8.266762147944672,500,0.0033333334,100,-8.266762147944672,-7.3965235,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,48.193855541008126,-7.851589,,-6.867303079502834,5.434597e-20,2,48.193855541008126,6.947428,0.0024999997,-6.867303079502834,500,0.0025,100,-6.867303079502834,-7.2642183,0.8,200.0,500.0,1.0,1.0
1.0263325,0.007565452,421.450635617193,3.8823347,47.92912133991117,-7.7295218,0.1967171,-7.186425438797121,7.470091e-07,1,47.92912133991117,7.1944013,0.0019999999,-7.186425438797121,500,0.001336884,100,-7.186425438797121,-7.151739,0.8,200.0,413.3862384687249,0.68604374,1.2095226
1.0,0.01,100.0,1.0,51.271488707068414,-10.059112,,-8.882773306218217,3.5044917e-18,2,51.271488707068414,7.1245193,0.009999998,-8.882773306218217,500,0.01,100,-8.882773306218217,-8.882772,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,52.804844757633035,-9.3186655,,-8.090962153577557,2.179301e-19,2,52.804844757633035,7.1884995,0.0049999994,-8.090962153577557,500,0.005,100,-8.090962153577557,-8.486868,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,50.61207251531813,-8.858332,,-7.5577158839948115,5.4391416e-20,2,50.61207251531813,7.165439,0.0033333336,-7.5577158839948115,500,0.0033333334,100,-7.5577158839948115,-8.177151,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,56.29032697657596,-8.815699,,-8.371664963180432,5.434597e-20,2,56.29032697657596,7.242002,0.0024999997,-8.371664963180432,500,0.0025,100,-8.371664963180432,-8.225779,0.8,200.0,500.0,1.0,1.0
0.46088234,0.4442818,3.7600640616648944,102.38081,54.441733300963634,-5.4820027,28.089632,-8.190857290815394,0.0005289637,1,54.441733300963634,8.295188,0.002,-8.190857290815394,500,,100,-8.190857290815394,-0.9920049,0.8,200.0,6.904854069424043,,72.41283
1.0,0.01,100.0,1.0,44.58086171227761,-9.785328,,-8.633637574455722,3.5044917e-18,2,44.58086171227761,6.643421,0.009999998,-8.633637574455722,500,0.01,100,-8.633637574455722,-8.633637,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,47.54100439393426,-9.073732,,-7.8681510818054745,2.179301e-19,2,47.54100439393426,6.763639,0.0049999994,-7.8681510818054745,500,0.005,100,-7.8681510818054745,-8.250895,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,37.62940813867905,-8.269118,,-6.290034632050365,5.4391416e-20,2,37.62940813867905,6.6158915,0.0033333336,-6.290034632050365,500,0.0033333334,100,-6.290034632050365,-7.5972743,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,53.37244623605311,-8.465054,,-8.724573513494606,5.434597e-20,2,53.37244623605311,6.802608,0.0024999997,-8.724573513494606,500,0.0025,100,-8.724573513494606,-7.8790994,0.8,200.0,500.0,1.0,1.0
1.0611694,0.010862316,364.0271563182069,5.763379,45.40264462105499,-8.004466,0.42146096,-6.905996854257203,1.4970898e-06,1,45.40264462105499,7.1319213,0.002,-6.905996854257203,500,0.0014455683,100,-6.905996854257203,-7.38435,0.8,200.0,357.1417380387477,0.76699644,1.4000044
1.0,0.01,100.0,1.0,40.1451985019969,-9.205834,,-8.038738458339242,3.5044917e-18,2,40.1451985019969,6.304264,0.009999998,-8.038738458339242,500,0.01,100,-8.038738458339242,-8.038737,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,61.290936535391566,-8.628048,,-7.547088822358551,2.179301e-19,2,61.290936535391566,7.0902267,0.0049999994,-7.547088822358551,500,0.005,100,-7.547088822358551,-7.792913,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,48.71743299934952,-8.255641,,-7.135441234085006,5.4391416e-20,2,48.71743299934952,7.048902,0.0033333336,-7.135441234085006,500,0.0033333334,100,-7.135441234085006,-7.573756,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,51.10669922289919,-8.302378,,-8.126128110001419,5.434597e-20,2,51.10669922289919,7.069044,0.0024999997,-8.126128110001419,500,0.0025,100,-8.126128110001419,-7.7118487,0.8,200.0,500.0,1.0,1.0
1.0034128,0.002546345,499.36841269470517,1.2775176,44.0550767561584,-8.202462,0.0012760449,-7.5284776592261595,5.069516e-09,1,44.0550767561584,6.9848766,0.002,-7.5284776592261595,500,0.0019519073,100,-7.5284776592261595,-7.6740346,0.8,200.0,499.5424170574344,0.9792844,1.000916
1.0,0.01,100.0,1.0,54.107587536430515,-9.808622,,-8.650894820910043,3.5044917e-18,2,54.107587536430515,7.3189144,0.009999998,-8.650894820910043,500,0.01,100,-8.650894820910043,-8.650895,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,50.19279600969084,-8.972649,,-7.639514579656103,2.179301e-19,2,50.19279600969084,7.2030835,0.0049999994,-7.639514579656103,500,0.005,100,-7.639514579656103,-8.145205,0.8,200.0,500.0,1.0,1.0
1.0,0.0033333334,299.999969473632,1.0,48.37771850668038,-8.637945,,-7.585747115717189,5.4391416e-20,2,48.37771850668038,7.115041,0.0033333336,-7.585747115717189,500,0.0033333334,100,-7.585747115717189,-7.9587193,0.8,200.0,500.0,1.0,1.0
1.0,0.0025,400.0,1.0,63.34968347453394,-8.736562,,-8.717184096051554,5.434597e-20,2,63.34968347453394,7.331764,0.0024999997,-8.717184096051554,500,0.0025,100,-8.717184096051554,-8.1483345,0.8,200.0,500.0,1.0,1.0
1.0662187,0.06274635,99.2290865240097,33.45067,43.31953978699789,-7.5954785,4.6006503,-6.940965319665418,1.6187756e-05,1,43.31953978699789,14.683366,0.0020000003,-6.940965319665418,500,1.9305644e-05,100,-6.940965319665418,-6.5264616,0.8,200.0,121.11028541609831,0.01029202,4.1284685
1.0,0.01,100.0,1.0,49.36775649484985,-9.327003,,-8.1938789559081,3.5044917e-18,2,49.36775649484985,6.9909997,0.009999998,-8.1938789559081,500,0.01,100,-8.1938789559081,-8.193879,0.8,200.0,500.0,1.0,1.0
1.0,0.005,200.00000010221265,1.0,43.43101538690118,-8.861605,,-7.926852263362886,2.179301e-19,2,43.43101538690118,6.7788806,0.0049999994,-7.926852263362886,500,0.005,100,-7.926852263362886,-8.060366,0.8,200.0,500.0,1.0,1.0
