AvgEpLen,VarJ,VarVanillaIw,eRenyi2,IterType,VarDiscRet,EpsThisIter,MinNormIw,BatchSize,AvgDiscRet,VarRet,AvgNormIw,ESSRenyi,AvgVanillaIw,VarNormIw,AvgRet,Bound,MaxNormIw,ESSClassic,VanillaAvgRet,MaxVanillaIw,Delta,MinVanillaIw,J
189.88,83.975,,1.0,2,7123.0292664,100,0.01,500,-45.78733094,7123.0292664,0.01,500.0,1.0,3.50449e-18,-45.78733094,-53.322,0.01,100.0,-45.78733094,1.0,0.8,1.0,-45.7873
195.8,81.3643,,1.0,2,6250.68644902,100,0.005,500,-46.5705223466,6250.68644902,0.005,500.0,1.0,2.1793e-19,-46.5705223466,-51.5067,0.005,200.000000102,-46.5705223466,1.0,0.8,1.0,-46.1789
220.46,82.5289,,1.0,2,7168.18265618,100,0.00333333,500,-34.1615762615,7168.18265618,0.00333333,500.0,1.0,5.43914e-20,-34.1615762615,-46.5233,0.00333333,299.999969474,-34.1615762615,1.0,0.8,1.0,-42.1731
191.1,81.8863,,1.0,2,6423.9263641,100,0.0025,500,-48.3573195011,6423.9263641,0.0025,500.0,1.0,5.4346e-20,-48.3573195011,-47.4865,0.0025,400.0,-48.3573195011,1.0,0.8,1.0,-43.7192
206.93,185.934,2.58766,4.51342,1,7157.96179356,100,1.46251e-07,500,-41.315352933,7157.96179356,0.002,110.780829386,0.960492,1.12196e-05,-41.315352933,-40.6005,0.0324688,131.603072056,-41.315352933,15.593,0.8,7.02366e-05,-33.4419
172.8,80.5913,,1.0,2,6560.56564299,100,0.01,500,-52.1648154135,6560.56564299,0.01,500.0,1.0,3.50449e-18,-52.1648154135,-58.8073,0.01,100.0,-52.1648154135,1.0,0.8,1.0,-52.1648
199.39,82.0092,,1.0,2,6969.65256875,100,0.005,500,-41.5707608786,6969.65256875,0.005,500.0,1.0,2.1793e-19,-41.5707608786,-51.5647,0.005,200.000000102,-41.5707608786,1.0,0.8,1.0,-46.8678
190.36,83.4955,,1.0,2,7530.17106309,100,0.00333333,500,-43.2740267242,7530.17106309,0.00333333,500.0,1.0,5.43914e-20,-43.2740267242,-50.5562,0.00333333,299.999969474,-43.2740267242,1.0,0.8,1.0,-45.6699
185.24,83.9358,,1.0,2,7336.71862454,100,0.0025,500,-43.6590158347,7336.71862454,0.0025,500.0,1.0,5.4346e-20,-43.6590158347,-49.3989,0.0025,400.0,-43.6590158347,1.0,0.8,1.0,-45.1672
151.3,706.114,456.11,44.2667,1,6356.96226307,100,4.18214e-13,500,-56.553858384,6356.96226307,0.002,11.2951778677,1.8189,0.000551455,-56.553858384,-0.864286,0.523482,3.60781538694,-56.553858384,476.082,0.8,3.80345e-10,24.3182
193.94,79.2488,,1.0,2,6343.81128082,100,0.01,500,-47.9514655178,6343.81128082,0.01,500.0,1.0,3.50449e-18,-47.9514655178,-54.78,0.01,100.0,-47.9514655178,1.0,0.8,1.0,-47.9515
190.52,77.828,,1.0,2,5892.94012467,100,0.005,500,-47.9298042764,5892.94012467,0.005,500.0,1.0,2.1793e-19,-47.9298042764,-52.7691,0.005,200.000000102,-47.9298042764,1.0,0.8,1.0,-47.9406
167.88,76.1066,,1.0,2,5265.88813457,100,0.00333333,500,-56.5175552634,5265.88813457,0.00333333,500.0,1.0,5.43914e-20,-56.5175552634,-54.7421,0.00333333,299.999969474,-56.5175552634,1.0,0.8,1.0,-50.7996
183.54,76.4113,,1.0,2,6037.96733041,100,0.0025,500,-49.965462581,6037.96733041,0.0025,500.0,1.0,5.4346e-20,-49.965462581,-54.0053,0.0025,400.0,-49.965462581,1.0,0.8,1.0,-50.5911
201.07,95.6506,1934.07,262.126,1,6353.83456284,100,,500,-42.51099624,6353.83456284,0.002,1.90747689262,2.14233,0.00168562,-42.51099624,29.5748,0.917229,1.18606791206,-42.51099624,982.504,0.8,,79.0168
184.09,79.3321,,1.0,2,6357.14846616,100,0.01,500,-48.5526784337,6357.14846616,0.01,500.0,1.0,3.50449e-18,-48.5526784337,-54.2752,0.01,100.0,-48.5526784337,1.0,0.8,1.0,-48.5527
182.82,79.0599,,1.0,2,6270.02969782,100,0.005,500,-48.7334305535,6270.02969782,0.005,500.0,1.0,2.1793e-19,-48.7334305535,-52.803,0.005,200.000000102,-48.7334305535,1.0,0.8,1.0,-48.6431
195.17,79.2856,,1.0,2,6411.99954526,100,0.00333333,500,-44.8037368164,6411.99954526,0.00333333,500.0,1.0,5.43914e-20,-44.8037368164,-50.7599,0.00333333,299.999969474,-44.8037368164,1.0,0.8,1.0,-47.3633
193.47,80.4399,,1.0,2,7085.43498196,100,0.0025,500,-43.8741279854,7085.43498196,0.0025,500.0,1.0,5.4346e-20,-43.8741279854,-49.4896,0.0025,400.0,-43.8741279854,1.0,0.8,1.0,-46.491
207.88,341.58,28.6618,13.9796,1,7067.13934208,100,1.096e-15,500,-39.3586795999,7067.13934208,0.002,35.766527031,1.24191,7.43334e-05,-39.3586795999,-22.7075,0.168849,25.5804536555,-39.3586795999,104.848,0.8,6.8057e-13,-12.6794
196.13,80.0406,,1.0,2,6471.21482951,100,0.01,500,-44.3632732011,6471.21482951,0.01,500.0,1.0,3.50449e-18,-44.3632732011,-49.956,0.01,100.0,-44.3632732011,1.0,0.8,1.0,-44.3633
231.62,82.4272,,1.0,2,7176.84719479,100,0.005,500,-31.9607935005,7176.84719479,0.005,500.0,1.0,2.1793e-19,-31.9607935005,-42.2328,0.005,200.000000102,-31.9607935005,1.0,0.8,1.0,-38.162
222.18,83.0885,,1.0,2,7187.65485167,100,0.00333333,500,-34.9577327867,7187.65485167,0.00333333,500.0,1.0,5.43914e-20,-34.9577327867,-40.494,0.00333333,299.999969474,-34.9577327867,1.0,0.8,1.0,-37.0939
204.53,83.1089,,1.0,2,6967.12796105,100,0.0025,500,-42.2312143452,6967.12796105,0.0025,500.0,1.0,5.4346e-20,-42.2312143452,-41.3228,0.0025,400.0,-42.2312143452,1.0,0.8,1.0,-38.3783
219.41,457.567,955.419,34.651,1,6923.74576176,100,7.73485e-08,500,-35.9939608022,6923.74576176,0.002,14.429586465,2.48747,0.000617646,-35.9939608022,8.23715,0.552708,3.22367430443,-35.9939608022,687.421,0.8,9.62009e-05,24.1067
190.72,77.1379,,1.0,2,6010.36345705,100,0.01,500,-45.5204520211,6010.36345705,0.01,500.0,1.0,3.50449e-18,-45.5204520211,-51.3417,0.01,100.0,-45.5204520211,1.0,0.8,1.0,-45.5205
187.99,76.3611,,1.0,2,5758.5354172,100,0.005,500,-50.1743719558,5758.5354172,0.005,500.0,1.0,2.1793e-19,-50.1743719558,-52.186,0.005,200.000000102,-50.1743719558,1.0,0.8,1.0,-47.8474
227.37,78.3963,,1.0,2,6695.80024343,100,0.00333333,500,-32.9962019366,6695.80024343,0.00333333,500.0,1.0,5.43914e-20,-32.9962019366,-46.4394,0.00333333,299.999969474,-32.9962019366,1.0,0.8,1.0,-42.897
188.58,78.2993,,1.0,2,6117.75771694,100,0.0025,500,-49.073334994,6117.75771694,0.0025,500.0,1.0,5.4346e-20,-49.073334994,-47.5089,0.0025,400.0,-49.073334994,1.0,0.8,1.0,-44.4411
225.9,305.761,184.766,1.0,1,6967.09257284,100,1.65764e-21,500,-33.5437615345,6967.09257284,0.002,500.0,0.780425,0.00121345,-33.5437615345,32.1197,0.778509,1.64606651817,-33.5437615345,303.784,0.8,6.46831e-19,34.8637
227.99,76.1115,,1.0,2,5851.47055797,100,0.01,500,-40.2769650418,5851.47055797,0.01,500.0,1.0,3.50449e-18,-40.2769650418,-46.1467,0.01,100.0,-40.2769650418,1.0,0.8,1.0,-40.277
230.65,75.6635,,1.0,2,5712.58700315,100,0.005,500,-38.5416644711,5712.58700315,0.005,500.0,1.0,2.1793e-19,-38.5416644711,-43.5696,0.005,200.000000102,-38.5416644711,1.0,0.8,1.0,-39.4093
195.32,74.3162,,1.0,2,5078.97285213,100,0.00333333,500,-51.0656872233,5078.97285213,0.00333333,500.0,1.0,5.43914e-20,-51.0656872233,-46.6916,0.00333333,299.999969474,-51.0656872233,1.0,0.8,1.0,-43.2948
204.75,74.3403,,1.0,2,5575.50358609,100,0.0025,500,-48.1269284443,5575.50358609,0.0025,500.0,1.0,5.4346e-20,-48.1269284443,-47.4445,0.0025,400.0,-48.1269284443,1.0,0.8,1.0,-44.5028
199.81,241.13,1401.14,49.6648,1,5346.75573173,100,2.2702e-13,500,-48.9134305088,5346.75573173,0.002,10.0674865394,2.72161,0.000756641,-48.9134305088,-2.4669,0.596683,2.63460666844,-48.9134305088,811.97,0.8,3.0893e-10,16.0759
182.36,65.7568,,1.0,2,4367.63205128,100,0.01,500,-56.7675172128,4367.63205128,0.01,500.0,1.0,3.50449e-18,-56.7675172128,-62.4537,0.01,100.0,-56.7675172128,1.0,0.8,1.0,-56.7675
214.23,67.6019,,1.0,2,4823.15761689,100,0.005,500,-47.6953489016,4823.15761689,0.005,500.0,1.0,2.1793e-19,-47.6953489016,-56.2522,0.005,200.000000102,-47.6953489016,1.0,0.8,1.0,-52.2314
222.32,68.2321,,1.0,2,4845.77602876,100,0.00333333,500,-45.5803797206,4845.77602876,0.00333333,500.0,1.0,5.43914e-20,-45.5803797206,-53.2973,0.00333333,299.999969474,-45.5803797206,1.0,0.8,1.0,-50.0144
204.98,67.7773,,1.0,2,4443.45699201,100,0.0025,500,-53.5170873104,4443.45699201,0.0025,500.0,1.0,5.4346e-20,-53.5170873104,-53.7969,0.0025,400.0,-53.5170873104,1.0,0.8,1.0,-50.8901
250.06,269.284,86.9406,1.00006,1,5232.39215495,100,1.87099e-36,500,-37.5166168984,5232.39215495,0.002,499.972464171,0.789944,0.000557302,-37.5166168984,23.491,0.510006,3.57023461608,-37.5166168984,201.438,0.8,7.38989e-34,26.0911
245.15,72.1937,,1.0,2,5264.57399566,100,0.01,500,-38.7154085721,5264.57399566,0.01,500.0,1.0,3.50449e-18,-38.7154085721,-44.4327,0.01,100.0,-38.7154085721,1.0,0.8,1.0,-38.7154
246.38,70.6576,,1.0,2,4821.281154,100,0.005,500,-38.7442619397,4821.281154,0.005,500.0,1.0,2.1793e-19,-38.7442619397,-42.7772,0.005,200.000000102,-38.7442619397,1.0,0.8,1.0,-38.7298
258.61,70.0465,,1.0,2,4778.28999039,100,0.00333333,500,-36.2697893406,4778.28999039,0.00333333,500.0,1.0,5.43914e-20,-36.2697893406,-41.2826,0.00333333,299.999969474,-36.2697893406,1.0,0.8,1.0,-37.9098
205.72,69.6728,,1.0,2,4616.69221876,100,0.0025,500,-50.9299087438,4616.69221876,0.0025,500.0,1.0,5.4346e-20,-50.9299087438,-44.2887,0.0025,400.0,-50.9299087438,1.0,0.8,1.0,-41.1648
224.34,166.147,132.916,92.2264,1,4504.00775794,100,,500,-47.5233931486,4504.00775794,0.002,5.42143966953,0.920179,0.000627905,-47.5233931486,16.7164,0.497971,3.1713341143,-47.5233931486,229.111,0.8,,43.5492
250.51,72.7474,,1.0,2,5345.63465736,100,0.01,500,-36.1290996481,5345.63465736,0.01,500.0,1.0,3.50449e-18,-36.1290996481,-41.6143,0.01,100.0,-36.1290996481,1.0,0.8,1.0,-36.1291
238.21,72.4751,,1.0,2,5257.8027416,100,0.005,500,-40.0965274548,5257.8027416,0.005,500.0,1.0,2.1793e-19,-40.0965274548,-42.2072,0.005,200.000000102,-40.0965274548,1.0,0.8,1.0,-38.1128
236.5,72.0863,,1.0,2,5122.20168826,100,0.00333333,500,-42.5351508302,5122.20168826,0.00333333,500.0,1.0,5.43914e-20,-42.5351508302,-42.93,0.00333333,299.999969474,-42.5351508302,1.0,0.8,1.0,-39.5869
231.61,71.2804,,1.0,2,4775.47124354,100,0.0025,500,-42.5508070613,4775.47124354,0.0025,500.0,1.0,5.4346e-20,-42.5508070613,-43.2231,0.0025,400.0,-42.5508070613,1.0,0.8,1.0,-40.3279
209.06,86.9692,199.565,94.2595,1,4777.69149921,100,,500,-48.277758208,4777.69149921,0.002,5.30450304845,0.94416,0.000895475,-48.277758208,4.5376,0.63903,2.2279558382,-48.277758208,301.673,0.8,,29.6788
202.56,66.0209,,1.0,2,4402.78203747,100,0.01,500,-51.1306392651,4402.78203747,0.01,500.0,1.0,3.50449e-18,-51.1306392651,-57.1562,0.01,100.0,-51.1306392651,1.0,0.8,1.0,-51.1306
240.27,68.0837,,1.0,2,4921.4323476,100,0.005,500,-42.2063990681,4921.4323476,0.005,500.0,1.0,2.1793e-19,-42.2063990681,-50.9292,0.005,200.000000102,-42.2063990681,1.0,0.8,1.0,-46.6685
237.46,68.8488,,1.0,2,4987.57967622,100,0.00333333,500,-42.4278500851,4987.57967622,0.00333333,500.0,1.0,5.43914e-20,-42.4278500851,-48.7338,0.00333333,299.999969474,-42.4278500851,1.0,0.8,1.0,-45.255
209.63,68.5842,,1.0,2,4624.15946435,100,0.0025,500,-49.9858195358,4624.15946435,0.0025,500.0,1.0,5.4346e-20,-49.9858195358,-49.4504,0.0025,400.0,-49.9858195358,1.0,0.8,1.0,-46.4377
227.57,120.49,184.525,135.737,1,4927.76891125,100,,500,-45.7379714463,4927.76891125,0.002,3.68359485043,0.877192,0.000959236,-45.7379714463,11.1292,0.651307,2.080477048,-45.7379714463,285.661,0.8,,44.1784
209.19,70.431,,1.0,2,5010.63295226,100,0.01,500,-48.6564702865,5010.63295226,0.01,500.0,1.0,3.50449e-18,-48.6564702865,-54.117,0.01,100.0,-48.6564702865,1.0,0.8,1.0,-48.6565
230.57,71.3475,,1.0,2,5250.93854747,100,0.005,500,-42.0269266262,5250.93854747,0.005,500.0,1.0,2.1793e-19,-42.0269266262,-49.3432,0.005,200.000000102,-42.0269266262,1.0,0.8,1.0,-45.3417
263.22,72.8113,,1.0,2,5661.8059999,100,0.00333333,500,-32.0195730102,5661.8059999,0.00333333,500.0,1.0,5.43914e-20,-32.0195730102,-44.2711,0.00333333,299.999969474,-32.0195730102,1.0,0.8,1.0,-40.901
239.98,72.932,,1.0,2,5419.28955811,100,0.0025,500,-37.8903429163,5419.28955811,0.0025,500.0,1.0,5.4346e-20,-37.8903429163,-43.067,0.0025,400.0,-37.8903429163,1.0,0.8,1.0,-40.1483
200.53,363.766,99.1399,53.0329,1,5072.93088635,100,,500,-52.6276989845,5072.93088635,0.002,9.42811008515,1.71871,0.000134247,-52.6276989845,-11.2265,0.154147,14.495002733,-52.6276989845,132.466,0.8,,8.18915
178.99,67.9841,,1.0,2,4668.52210918,100,0.01,500,-58.9086757556,4668.52210918,0.01,500.0,1.0,3.50449e-18,-58.9086757556,-64.5334,0.01,100.0,-58.9086757556,1.0,0.8,1.0,-58.9087
236.39,71.165,,1.0,2,5375.25118029,100,0.005,500,-39.6439272351,5375.25118029,0.005,500.0,1.0,2.1793e-19,-39.6439272351,-53.31,0.005,200.000000102,-39.6439272351,1.0,0.8,1.0,-49.2763
197.08,70.6906,,1.0,2,4898.40888313,100,0.00333333,500,-53.7206043707,4898.40888313,0.00333333,500.0,1.0,5.43914e-20,-53.7206043707,-54.1327,0.00333333,299.999969474,-53.7206043707,1.0,0.8,1.0,-50.7577
275.77,72.5844,,1.0,2,5645.13357453,100,0.0025,500,-25.0981495718,5645.13357453,0.0025,500.0,1.0,5.4346e-20,-25.0981495718,-47.269,0.0025,400.0,-25.0981495718,1.0,0.8,1.0,-44.3428
269.23,104.488,438.035,150.427,1,5595.13906741,100,,500,-26.2246370907,5595.13906741,0.002,3.32386391877,1.23284,0.0011528,-26.2246370907,5.64304,0.74116,1.73236733308,-26.2246370907,456.867,0.8,,37.7428
222.75,74.3224,,1.0,2,5579.61980294,100,0.01,500,-42.8609997439,5579.61980294,0.01,500.0,1.0,3.50449e-18,-42.8609997439,-48.5471,0.01,100.0,-42.8609997439,1.0,0.8,1.0,-42.861
