MaxVanillaIw,AvgDiscRet,VanillaAvgRet,MinNormIw,AvgRet,VarDiscRet,AvgNormIw,MinVanillaIw,BatchSize,VarRet,eRenyi2,IterType,MaxNormIw,VarNormIw,VarVanillaIw,EpsThisIter,Bound,J,Delta,VarJ,ESSClassic,ESSRenyi,AvgEpLen,AvgVanillaIw
1.0,-7.81863496018,-7.81863496018,0.01,-7.81863496018,47.127677234,0.01,1.0,300,47.127677234,1.0,2,0.01,3.50449e-18,,100,-9.29493,-7.81863,0.7,6.83055,100.0,300.0,500.0,1.0
1.0,-7.72671425448,-7.72671425448,0.005,-7.72671425448,47.9546974167,0.005,1.0,300,47.9546974167,1.0,2,0.005,2.1793e-19,,100,-8.81791,-7.77267,0.7,6.8606,200.000000102,300.0,500.0,1.0
inf,-5.83663587634,-6.89937157603,nan,-6.89937157603,29.2847074971,nan,0.0604241,400,35.3564327896,nan,,nan,nan,nan,100,nan,nan,0.7,nan,nan,nan,500.0,inf
3.88676,-7.87530777155,-7.87530777155,3.6835e-34,-7.87530777155,50.6051420958,0.0025,1.41585e-31,400,50.6051420958,2.7951,1,0.0101119,1.20341e-05,1.77797,100,-7.789,-6.52308,0.7,10.5508,136.956253646,143.107387162,500.0,0.960939
1.0,-8.86924818248,-8.86924818248,0.01,-8.86924818248,51.5848585126,0.01,1.0,400,51.5848585126,1.0,2,0.01,3.50449e-18,,100,-10.3059,-8.86925,0.7,7.14626,100.0,400.0,500.0,1.0
1.0,-7.66060907735,-7.66060907735,0.005,-7.66060907735,48.5887213599,0.005,1.0,400,48.5887213599,1.0,2,0.005,2.1793e-19,,100,-9.31451,-8.26493,0.7,7.06761,200.000000102,400.0,500.0,1.0
1.0,-8.13717284978,-8.13717284978,0.00333333,-8.13717284978,53.7229455125,0.00333333,1.0,400,53.7229455125,1.0,2,0.00333333,5.43914e-20,,100,-9.09925,-8.22234,0.7,7.14374,299.999969474,400.0,500.0,1.0
7.06291e+30,-7.55944271889,-7.87530777155,3.64274e-32,-7.87530777155,50.8568357963,0.0025,0.257284,500,50.6051420958,nan,,1.0,0.0025,inf,100,-inf,-0.344563,0.7,1.16301e-09,,nan,500.0,1.76573e+28
3.86779,-7.08451328328,-7.08451328328,3.79788e-34,-7.08451328328,50.4184920266,0.002,1.90986e-31,500,50.4184920266,2.78203,1,0.00769135,7.20281e-06,1.82147,100,-7.50378,-6.36494,0.7,10.3394,178.756483082,179.72476252,500.0,1.00575
1.0,-7.84307116129,-7.84307116129,0.01,-7.84307116129,48.4769886795,0.01,1.0,500,48.4769886795,1.0,2,0.01,3.50449e-18,,100,-9.34498,-7.84307,0.7,6.92764,100.0,500.0,500.0,1.0
1.0,-8.16366847626,-8.16366847626,0.005,-8.16366847626,44.3767950173,0.005,1.0,500,44.3767950173,1.0,2,0.005,2.1793e-19,,100,-9.06538,-8.00337,0.7,6.78147,200.000000102,500.0,500.0,1.0
1.0,-7.22532290202,-7.22532290202,0.00333333,-7.22532290202,50.241822213,0.00333333,1.0,500,50.241822213,1.0,2,0.00333333,5.43914e-20,,100,-8.62321,-7.74402,0.7,6.88282,299.999969474,500.0,500.0,1.0
1.0,-7.15980550018,-7.15980550018,0.0025,-7.15980550018,41.2030005995,0.0025,1.0,500,41.2030005995,1.0,2,0.0025,5.4346e-20,,100,-8.35937,-7.59797,0.7,6.76695,400.0,500.0,500.0,1.0
1.55402,-7.83562078527,-7.83562078527,3.12807e-05,-7.83562078527,46.2577316736,0.002,0.015622,500,46.2577316736,1.2196,1,0.00311168,8.68888e-07,0.216713,100,-8.24094,-7.48886,0.7,7.35279,410.918063556,409.970254386,500.0,0.998829
1.0,-7.58798222675,-7.58798222675,0.01,-7.58798222675,44.9572469414,0.01,1.0,500,44.9572469414,1.0,2,0.01,3.50449e-18,,100,-9.09635,-7.58798,0.7,6.67141,100.0,500.0,500.0,1.0
1.0,-8.03552745764,-8.03552745764,0.005,-8.03552745764,53.9533840058,0.005,1.0,500,53.9533840058,1.0,2,0.005,2.1793e-19,,100,-8.88912,-7.81175,0.7,7.00077,200.000000102,500.0,500.0,1.0
1.0,-7.73730075086,-7.73730075086,0.00333333,-7.73730075086,48.6954520394,0.00333333,1.0,500,48.6954520394,1.0,2,0.00333333,5.43914e-20,,100,-8.6666,-7.78694,0.7,6.98174,299.999969474,500.0,500.0,1.0
1.0,-7.42527893684,-7.42527893684,0.0025,-7.42527893684,49.300374433,0.0025,1.0,500,49.300374433,1.0,2,0.0025,5.4346e-20,,100,-8.45834,-7.69652,0.7,6.98461,400.0,500.0,500.0,1.0
2.81527,-6.91032519036,-6.91032519036,0.00168921,-6.91032519036,40.9069602315,0.002,0.8488,500,40.9069602315,1.08283,1,0.0056027,2.51879e-07,0.063597,100,-8.16548,-7.45604,0.7,7.02226,470.436046581,461.755002011,500.0,1.00497
1.0,-7.83387953578,-7.83387953578,0.01,-7.83387953578,52.3712858045,0.01,1.0,500,52.3712858045,1.0,2,0.01,3.50449e-18,,100,-9.33325,-7.83388,0.7,7.20053,100.0,500.0,500.0,1.0
1.0,-7.5956523452,-7.5956523452,0.005,-7.5956523452,47.2901399975,0.005,1.0,500,47.2901399975,1.0,2,0.005,2.1793e-19,,100,-8.77498,-7.71477,0.7,7.02471,200.000000102,500.0,500.0,1.0
1.0,-8.23352992824,-8.23352992824,0.00333333,-8.23352992824,61.2177916479,0.00333333,1.0,500,61.2177916479,1.0,2,0.00333333,5.43914e-20,,100,-8.76827,-7.88769,0.7,7.29105,299.999969474,500.0,500.0,1.0
1.0,-8.78793537109,-8.78793537109,0.0025,-8.78793537109,53.3820764559,0.0025,1.0,500,53.3820764559,1.0,2,0.0025,5.4346e-20,,100,-8.87536,-8.11275,0.7,7.29613,400.0,500.0,500.0,1.0
