AvgDiscRet,VanillaAvgRet,ESSRenyi,AvgRet,VarRet,MaxNormIw,VarJ,ESSClassic,VarVanillaIw,EpsThisIter,MinVanillaIw,AvgNormIw,MaxVanillaIw,IterType,AvgVanillaIw,eRenyi2,J,VarDiscRet,BatchSize,Delta,AvgEpLen,VarNormIw,Bound,MinNormIw
1186.98679981,1186.98679981,89.89388618,1186.98679981,161095.026513,0.0248022,529.638,86.9010393972,0.152567,100,0.182164,0.01,2.48274,1,1.00102,1.11242,1265.35,161095.026513,100,0.1,128.66,1.52257e-05,412.595,0.00181978
1179.44713231,1179.44713231,90.7912738896,1179.44713231,163405.571941,0.0211135,518.636,88.7897496831,0.139135,100,0.369324,0.01,2.20532,1,1.0445,1.10143,1261.76,163405.571941,100,0.1,128.01,1.27531e-05,357.713,0.00353587
1239.65799076,1239.65799076,93.3525411073,1239.65799076,172757.792037,0.0173097,470.891,91.9117814874,0.0829578,100,0.381378,0.01,1.67223,1,0.966063,1.07121,1293.36,172757.792037,100,0.1,134.67,8.88886e-06,465.15,0.00394775
1240.39240878,1240.39240878,90.7483328042,1240.39240878,183335.329808,0.0165524,502.329,90.6507274305,0.104549,100,0.308961,0.01,1.6582,1,1.00179,1.10195,1314.65,183335.329808,100,0.1,134.67,1.04177e-05,502.366,0.0030841
1261.59043864,1261.59043864,94.8649634958,1261.59043864,138480.109045,0.016514,419.825,94.6197097333,0.0582314,100,0.446918,0.01,1.66278,1,1.00689,1.05413,1302.78,138480.109045,100,0.1,136.81,5.74369e-06,451.243,0.00443859
1292.04887284,1292.04887284,95.2404459627,1292.04887284,154578.266519,0.0175166,443.173,95.1793996463,0.0524293,100,0.529467,0.01,1.77327,1,1.01234,1.04997,1328.52,154578.266519,100,0.1,140.33,5.1159e-06,510.026,0.00523014
1379.80013094,1379.80013094,87.3301724073,1379.80013094,197722.981836,0.0208811,509.096,82.1133547894,0.203061,100,0.0837193,0.01,2.00598,1,0.960668,1.14508,1491.36,197722.981836,100,0.1,149.77,2.20029e-05,658.823,0.000871469
1392.74027892,1392.74027892,38.4392486689,1392.74027892,205099.8779,0.545479,3154.4,3.32020839899,64.6278,100,0.0185485,0.01,80.8575,1,1.48232,2.60151,2135.82,205099.8779,100,0.1,151.35,0.00294127,825.454,0.000125132
1404.00717988,1404.00717988,29.5723641258,1404.00717988,243888.846041,0.598033,5524.25,2.76644752893,163.21,100,0.0272681,0.01,128.224,1,2.1441,3.38154,2822.43,243888.846041,100,0.1,152.39,0.00355025,762.026,0.000127178
1441.74985536,1441.74985536,90.7880214386,1441.74985536,192287.254536,0.0254117,528.292,86.270718237,0.171561,100,0.364013,0.01,2.62523,1,1.03308,1.10147,1521.89,192287.254536,100,0.1,156.55,1.60749e-05,576.496,0.00352357
