Delta,AvgDiscRet,AvgVanillaIw,AvgEpLen,AvgRet,ESSClassic,MaxVanillaIw,VanillaAvgRet,MinVanillaIw,AvgNormIw,VarVanillaIw,BatchSize,Bound,VarDiscRet,VarNormIw,EpsThisIter,J,IterType,eRenyi2,MaxNormIw,VarRet,ESSRenyi,MinNormIw,VarJ
1.0,-107.638599465,1.0,16.11,-107.638599465,299.999969474,1.0,-107.638599465,1.0,0.00333333,,500,-107.445,7.97168343525,5.43914e-20,100,-107.445,2,1.0,0.00333333,7.97168343525,500.0,0.00333333,2.60631
1.0,-107.330758136,1.0,16.19,-107.330758136,400.0,1.0,-107.330758136,1.0,0.0025,,500,-107.417,6.32534149559,5.4346e-20,100,-107.417,2,1.0,0.0025,6.32534149559,500.0,0.0025,2.58121
1.0,-107.043127997,0.226955,16.45,-107.043127997,1.21896755968,102.541,-107.043127997,4.01646e-27,0.002,21.1187,500,-105.03,7.17839698685,0.00164001,100,-105.03,1,1.00004,0.903622,7.17839698685,499.981225242,3.53943e-29,3.76504
1.0,-107.298296903,1.0,18.04,-107.298296903,100.0,1.0,-107.298296903,1.0,0.01,,500,-107.298,8.98575666299,3.50449e-18,100,-107.298,2,1.0,0.01,8.98575666299,500.0,0.01,2.9826
1.0,-107.188971675,1.0,19.77,-107.188971675,200.000000102,1.0,-107.188971675,1.0,0.005,,500,-107.244,22.2231598261,2.1793e-19,100,-107.244,2,1.0,0.005,22.2231598261,500.0,0.005,3.93083
1.0,-107.529377438,1.0,18.17,-107.529377438,299.999969474,1.0,-107.529377438,1.0,0.00333333,,500,-107.339,6.6325480088,5.43914e-20,100,-107.339,2,1.0,0.00333333,6.6325480088,500.0,0.00333333,3.53664
1.0,-107.19107093,1.0,17.52,-107.19107093,400.0,1.0,-107.19107093,1.0,0.0025,,500,-107.302,15.2306775861,5.4346e-20,100,-107.302,2,1.0,0.0025,15.2306775861,500.0,0.0025,3.62692
1.0,-107.532418159,1.1018,17.82,-107.532418159,125.114841069,31.5842,-107.532418159,0.113387,0.002,3.64473,500,-105.907,14.5214464484,1.20093e-05,100,-105.907,1,inf,0.057332,14.5214464484,,0.00020582,11.8467
1.0,-106.685790259,1.0,27.86,-106.685790259,100.0,1.0,-106.685790259,1.0,0.01,,500,-106.686,14.2753885549,3.50449e-18,100,-106.686,2,1.0,0.01,14.2753885549,500.0,0.01,3.75934
1.0,-108.175160163,1.0,22.95,-108.175160163,200.000000102,1.0,-108.175160163,1.0,0.005,,500,-107.43,12.9540385748,2.1793e-19,100,-107.43,2,1.0,0.005,12.9540385748,500.0,0.005,3.74608
1.0,-106.773922557,1.0,21.96,-106.773922557,299.999969474,1.0,-106.773922557,1.0,0.00333333,,500,-107.212,24.0005102047,5.43914e-20,100,-107.212,2,1.0,0.00333333,24.0005102047,500.0,0.00333333,4.1679
1.0,-106.768015163,1.0,21.86,-106.768015163,400.0,1.0,-106.768015163,1.0,0.0025,,500,-107.101,9.09033766675,5.4346e-20,100,-107.101,2,1.0,0.0025,9.09033766675,500.0,0.0025,3.91348
1.0,-107.038567942,1.00187,26.04,-107.038567942,93.7539366305,34.6187,-107.038567942,6.81801e-05,0.002,4.35801,500,-104.934,36.8901561701,1.73672e-05,100,-104.934,1,inf,0.0691085,36.8901561701,,1.36106e-07,15.5253
1.0,-106.977239396,1.0,32.11,-106.977239396,100.0,1.0,-106.977239396,1.0,0.01,,500,-106.977,17.9183058364,3.50449e-18,100,-106.977,2,1.0,0.01,17.9183058364,500.0,0.01,4.21178
1.0,-105.843644339,1.0,35.3,-105.843644339,200.000000102,1.0,-105.843644339,1.0,0.005,,500,-106.41,31.9317029201,2.1793e-19,100,-106.41,2,1.0,0.005,31.9317029201,500.0,0.005,4.9997
1.0,-105.817288438,1.0,34.69,-105.817288438,299.999969474,1.0,-105.817288438,1.0,0.00333333,,500,-106.213,39.9874603308,5.43914e-20,100,-106.213,2,1.0,0.00333333,39.9874603308,500.0,0.00333333,5.47163
1.0,-105.026151052,1.0,40.52,-105.026151052,400.0,1.0,-105.026151052,1.0,0.0025,,500,-105.916,31.6597505522,5.4346e-20,100,-105.916,2,1.0,0.0025,31.6597505522,500.0,0.0025,5.52755
1.0,-104.940091372,0.947268,30.4,-104.940091372,100.65092646,20.0766,-104.940091372,0.00204089,0.002,3.56738,500,-103.002,36.2847759403,1.59025e-05,100,-103.002,1,inf,0.0423885,36.2847759403,,4.309e-06,21.6611
1.0,-104.568830667,1.0,75.79,-104.568830667,100.0,1.0,-104.568830667,1.0,0.01,,500,-104.569,277.001254036,3.50449e-18,100,-104.569,2,1.0,0.01,277.001254036,500.0,0.01,16.5599
1.0,-104.271106341,1.0,73.37,-104.271106341,200.000000102,1.0,-104.271106341,1.0,0.005,,500,-104.42,91.1370708255,2.1793e-19,100,-104.42,2,1.0,0.005,91.1370708255,500.0,0.005,13.5
1.0,-103.170488279,1.0,80.64,-103.170488279,299.999969474,1.0,-103.170488279,1.0,0.00333333,,500,-104.003,156.532012149,5.43914e-20,100,-104.003,2,1.0,0.00333333,156.532012149,500.0,0.00333333,13.1721
1.0,-105.761876632,1.0,79.86,-105.761876632,400.0,1.0,-105.761876632,1.0,0.0025,,500,-104.443,173.160699436,5.4346e-20,100,-104.443,2,1.0,0.0025,173.160699436,500.0,0.0025,13.1744
1.0,-103.315013497,0.186844,94.38,-103.315013497,5.62585179073,28.7355,-103.315013497,8.9501e-16,0.002,3.07395,500,-60.7006,416.442303534,0.000352206,100,-60.7006,1,inf,0.307588,416.442303534,,9.58028e-18,372.26
1.0,-94.784722545,1.0,373.34,-94.784722545,100.0,1.0,-94.784722545,1.0,0.01,,500,-94.7847,1512.53209242,3.50449e-18,100,-94.7847,2,1.0,0.01,1512.53209242,500.0,0.01,38.6963
1.0,-98.8386630448,1.0,370.47,-98.8386630448,200.000000102,1.0,-98.8386630448,1.0,0.005,,500,-96.8117,1836.4045025,2.1793e-19,100,-96.8117,2,1.0,0.005,1836.4045025,500.0,0.005,40.7656
1.0,-100.836809784,1.0,391.54,-100.836809784,299.999969474,1.0,-100.836809784,1.0,0.00333333,,500,-98.1534,1442.16688902,5.43914e-20,100,-98.1534,2,1.0,0.00333333,1442.16688902,500.0,0.00333333,39.8422
1.0,-101.284208912,1.0,408.52,-101.284208912,400.0,1.0,-101.284208912,1.0,0.0025,,500,-98.9361,1390.11186858,5.4346e-20,100,-98.9361,2,1.0,0.0025,1390.11186858,500.0,0.0025,39.1975
1.0,-92.4921627443,1.58965e-24,406.29,-92.4921627443,0.999623561426,7.94826e-22,-92.4921627443,,0.002,1.4013e-45,500,-38.6775,1404.59742603,0.002,100,-38.6775,1,1.40098e+07,1.0,1404.59742603,3.56892598954e-05,,
1.0,-84.5294973468,1.0,495.78,-84.5294973468,100.0,1.0,-84.5294973468,1.0,0.01,,500,-84.5295,714.504996986,3.50449e-18,100,-84.5295,2,1.0,0.01,714.504996986,500.0,0.01,26.5962
1.0,-88.8426504262,1.0,496.38,-88.8426504262,200.000000102,1.0,-88.8426504262,1.0,0.005,,500,-86.6861,719.763820167,2.1793e-19,100,-86.6861,2,1.0,0.005,719.763820167,500.0,0.005,26.7323
1.0,-85.587525393,1.0,496.01,-85.587525393,299.999969474,1.0,-85.587525393,1.0,0.00333333,,500,-86.3199,539.595481777,5.43914e-20,100,-86.3199,2,1.0,0.00333333,539.595481777,500.0,0.00333333,25.588
1.0,-88.3551443991,1.0,495.46,-88.3551443991,400.0,1.0,-88.3551443991,1.0,0.0025,,500,-86.8287,645.67209423,5.4346e-20,100,-86.8287,2,1.0,0.0025,645.67209423,500.0,0.0025,25.5272
1.0,-91.7885934824,1.12236,495.06,-91.7885934824,34.2300638887,59.4235,-91.7885934824,0.0041042,0.002,17.175,500,-78.9516,693.878019565,5.45373e-05,100,-78.9516,1,inf,0.10589,693.878019565,,7.31353e-06,71.7586
1.0,-80.1197080375,1.0,488.67,-80.1197080375,100.0,1.0,-80.1197080375,1.0,0.01,,500,-80.1197,747.820184404,3.50449e-18,100,-80.1197,2,1.0,0.01,747.820184404,500.0,0.01,27.2092
1.0,-75.0945984358,1.0,491.79,-75.0945984358,200.000000102,1.0,-75.0945984358,1.0,0.005,,500,-77.6071,938.042843603,2.1793e-19,100,-77.6071,2,1.0,0.005,938.042843603,500.0,0.005,28.9968
1.0,-75.5059158983,1.0,495.48,-75.5059158983,299.999969474,1.0,-75.5059158983,1.0,0.00333333,,500,-76.9067,649.934578291,5.43914e-20,100,-76.9067,2,1.0,0.00333333,649.934578291,500.0,0.00333333,27.8568
1.0,-74.0731829679,1.0,500.0,-74.0731829679,400.0,1.0,-74.0731829679,1.0,0.0025,,500,-76.1983,538.22112125,5.4346e-20,100,-76.1983,2,1.0,0.0025,538.22112125,500.0,0.0025,26.7716
1.0,-81.6455933342,4.54866e-05,496.76,-81.6455933342,1.0,0.0227433,-81.6455933342,,0.002,1.03451e-06,500,1.37241,668.67235049,0.002,100,1.37241,1,1.09853e+06,1.0,668.67235049,0.000455151789139,,4.49135e-09
1.0,-76.2587345174,1.0,429.65,-76.2587345174,100.0,1.0,-76.2587345174,1.0,0.01,,500,-76.2587,1359.35744472,3.50449e-18,100,-76.2587,2,1.0,0.01,1359.35744472,500.0,0.01,36.6847
1.0,-75.7642400945,1.0,473.85,-75.7642400945,200.000000102,1.0,-75.7642400945,1.0,0.005,,500,-76.0115,886.523498643,2.1793e-19,100,-76.0115,2,1.0,0.005,886.523498643,500.0,0.005,33.3433
1.0,-78.166096573,1.0,464.2,-78.166096573,299.999969474,1.0,-78.166096573,1.0,0.00333333,,500,-76.7297,1405.24625461,5.43914e-20,100,-76.7297,2,1.0,0.00333333,1405.24625461,500.0,0.00333333,34.7267
1.0,-75.2290587623,1.0,468.51,-75.2290587623,400.0,1.0,-75.2290587623,1.0,0.0025,,500,-76.3545,1314.30861246,5.4346e-20,100,-76.3545,2,1.0,0.0025,1314.30861246,500.0,0.0025,35.0738
1.0,-76.5542438898,1.74512e-24,459.25,-76.5542438898,1.00060433991,8.72562e-22,-76.5542438898,,0.002,1.4013e-45,500,-50.5795,1018.73613074,0.002,100,-50.5795,1,1.0472e+18,1.0,1018.73613074,4.77463105765e-16,,4.60527e-09
1.0,-74.3593575939,1.0,468.04,-74.3593575939,100.0,1.0,-74.3593575939,1.0,0.01,,500,-74.3594,1762.41706917,3.50449e-18,100,-74.3594,2,1.0,0.01,1762.41706917,500.0,0.01,41.7707
1.0,-72.750044036,1.0,446.65,-72.750044036,200.000000102,1.0,-72.750044036,1.0,0.005,,500,-73.5547,1548.15044803,2.1793e-19,100,-73.5547,2,1.0,0.005,1548.15044803,500.0,0.005,40.4892
1.0,-86.4945892338,1.0,448.63,-86.4945892338,299.999969474,1.0,-86.4945892338,1.0,0.00333333,,500,-77.868,1890.94772469,5.43914e-20,100,-77.868,2,1.0,0.00333333,1890.94772469,500.0,0.00333333,41.8825
1.0,-76.7059309578,1.0,464.04,-76.7059309578,400.0,1.0,-76.7059309578,1.0,0.0025,,500,-77.5775,1270.41121673,5.4346e-20,100,-77.5775,2,1.0,0.0025,1270.41121673,500.0,0.0025,40.3768
1.0,-85.4930658904,0.98356,450.72,-85.4930658904,51.3093540141,55.1224,-85.4930658904,3.28514e-07,0.002,8.47659,500,-69.761,2087.92042737,3.50493e-05,100,-69.761,1,inf,0.112088,2087.92042737,,6.6801e-10,150.66
1.0,-77.9810347288,1.0,450.13,-77.9810347288,100.0,1.0,-77.9810347288,1.0,0.01,,500,-77.981,1709.19086414,3.50449e-18,100,-77.981,2,1.0,0.01,1709.19086414,500.0,0.01,41.1351
1.0,-78.7279681213,1.0,445.25,-78.7279681213,200.000000102,1.0,-78.7279681213,1.0,0.005,,500,-78.3545,1391.5739659,2.1793e-19,100,-78.3545,2,1.0,0.005,1391.5739659,500.0,0.005,39.1793
1.0,-77.8211793501,1.0,470.06,-77.8211793501,299.999969474,1.0,-77.8211793501,1.0,0.00333333,,500,-78.1767,1625.13951247,5.43914e-20,100,-78.1767,2,1.0,0.00333333,1625.13951247,500.0,0.00333333,39.4931
1.0,-82.1456294103,1.0,430.75,-82.1456294103,400.0,1.0,-82.1456294103,1.0,0.0025,,500,-79.1689,1868.45077158,5.4346e-20,100,-79.1689,2,1.0,0.0025,1868.45077158,500.0,0.0025,40.4373
1.0,-82.6308673498,1.02494,439.67,-82.6308673498,267.421348797,10.0409,-82.6308673498,0.0778192,0.002,0.91546,500,-76.6427,1390.01897965,3.48581e-06,100,-76.6427,1,inf,0.0195932,1390.01897965,,0.000151851,45.965
1.0,-80.6394130026,1.0,440.13,-80.6394130026,100.0,1.0,-80.6394130026,1.0,0.01,,500,-80.6394,1530.92571943,3.50449e-18,100,-80.6394,2,1.0,0.01,1530.92571943,500.0,0.01,38.9309
1.0,-82.1626326028,1.0,432.7,-82.1626326028,200.000000102,1.0,-82.1626326028,1.0,0.005,,500,-81.401,1684.08596928,2.1793e-19,100,-81.401,2,1.0,0.005,1684.08596928,500.0,0.005,39.9
1.0,-83.1717958924,1.0,446.02,-83.1717958924,299.999969474,1.0,-83.1717958924,1.0,0.00333333,,500,-81.9913,1717.27369078,5.43914e-20,100,-81.9913,2,1.0,0.00333333,1717.27369078,500.0,0.00333333,40.3576
1.0,-80.8863369712,1.0,438.92,-80.8863369712,400.0,1.0,-80.8863369712,1.0,0.0025,,500,-81.715,1342.88211559,5.4346e-20,100,-81.715,2,1.0,0.0025,1342.88211559,500.0,0.0025,39.4226
1.0,-75.3799682862,1.00091,449.74,-75.3799682862,167.848904899,17.624,-75.3799682862,0.0336371,0.002,1.98643,500,-77.6062,1798.52329145,7.93134e-06,100,-77.6062,1,inf,0.0352161,1798.52329145,,6.72133e-05,58.1427
1.0,-79.3552478858,1.0,429.73,-79.3552478858,100.0,1.0,-79.3552478858,1.0,0.01,,500,-79.3552,1654.4112246,3.50449e-18,100,-79.3552,2,1.0,0.01,1654.4112246,500.0,0.01,40.4706
1.0,-77.2638502962,1.0,429.17,-77.2638502962,200.000000102,1.0,-77.2638502962,1.0,0.005,,500,-78.3095,1654.81791676,2.1793e-19,100,-78.3095,2,1.0,0.005,1654.81791676,500.0,0.005,40.4866
1.0,-79.2877059812,1.0,442.49,-79.2877059812,299.999969474,1.0,-79.2877059812,1.0,0.00333333,,500,-78.6356,1419.95682079,5.43914e-20,100,-78.6356,2,1.0,0.00333333,1419.95682079,500.0,0.00333333,39.5167
1.0,-76.4904998346,1.0,448.85,-76.4904998346,400.0,1.0,-76.4904998346,1.0,0.0025,,500,-78.0993,1533.12660158,5.4346e-20,100,-78.0993,2,1.0,0.0025,1533.12660158,500.0,0.0025,39.389
1.0,-76.8998150102,1.01646,447.41,-76.8998150102,261.023304965,8.65577,-76.8998150102,0.169151,0.002,0.947812,500,-75.5201,1251.39125901,3.66949e-06,100,-75.5201,1,inf,0.0170313,1251.39125901,,0.000332825,52.4579
1.0,-79.544294193,1.0,440.28,-79.544294193,100.0,1.0,-79.544294193,1.0,0.01,,500,-79.5443,1586.24868064,3.50449e-18,100,-79.5443,2,1.0,0.01,1586.24868064,500.0,0.01,39.6281
1.0,-83.1182793613,1.0,445.6,-83.1182793613,200.000000102,1.0,-83.1182793613,1.0,0.005,,500,-81.3313,1731.55356231,2.1793e-19,100,-81.3313,2,1.0,0.005,1731.55356231,500.0,0.005,40.5648
1.0,-85.3913137703,1.0,440.51,-85.3913137703,299.999969474,1.0,-85.3913137703,1.0,0.00333333,,500,-82.6846,1641.37913218,5.43914e-20,100,-82.6846,2,1.0,0.00333333,1641.37913218,500.0,0.00333333,40.5256
1.0,-80.7948017399,1.0,449.0,-80.7948017399,400.0,1.0,-80.7948017399,1.0,0.0025,,500,-82.2122,2246.99094199,5.4346e-20,100,-82.2122,2,1.0,0.0025,2246.99094199,500.0,0.0025,42.2911
1.0,-75.2643334828,0.951252,461.44,-75.2643334828,215.323946638,11.4985,-75.2643334828,0.19598,0.002,1.19872,500,-74.3136,1492.0835667,5.29892e-06,100,-74.3136,1,inf,0.0241756,1492.0835667,,0.000412047,46.8225
1.0,-74.177728451,1.0,440.19,-74.177728451,100.0,1.0,-74.177728451,1.0,0.01,,500,-74.1777,1125.56130822,3.50449e-18,100,-74.1777,2,1.0,0.01,1125.56130822,500.0,0.01,33.3812
1.0,-79.6440971793,1.0,431.08,-79.6440971793,200.000000102,1.0,-79.6440971793,1.0,0.005,,500,-76.9109,1559.98139571,2.1793e-19,100,-76.9109,2,1.0,0.005,1559.98139571,500.0,0.005,36.5625
1.0,-80.1183775031,1.0,420.63,-80.1183775031,299.999969474,1.0,-80.1183775031,1.0,0.00333333,,500,-77.9801,1453.44980478,5.43914e-20,100,-77.9801,2,1.0,0.00333333,1453.44980478,500.0,0.00333333,37.0558
1.0,-79.2567473483,1.0,415.56,-79.2567473483,400.0,1.0,-79.2567473483,1.0,0.0025,,500,-78.2992,1379.55493198,5.4346e-20,100,-78.2992,2,1.0,0.0025,1379.55493198,500.0,0.0025,37.0351
1.0,-76.9021246827,0.964314,420.01,-76.9021246827,272.537311426,14.0102,-76.9021246827,0.0121936,0.002,0.777662,500,-73.4278,1186.01852074,3.34514e-06,100,-73.4278,1,inf,0.0290574,1186.01852074,,2.52897e-05,46.7457
1.0,-79.4107405097,1.0,428.87,-79.4107405097,100.0,1.0,-79.4107405097,1.0,0.01,,500,-79.4107,1441.63426927,3.50449e-18,100,-79.4107,2,1.0,0.01,1441.63426927,500.0,0.01,37.7785
1.0,-73.9223434204,1.0,439.22,-73.9223434204,200.000000102,1.0,-73.9223434204,1.0,0.005,,500,-76.6665,1584.82816001,2.1793e-19,100,-76.6665,2,1.0,0.005,1584.82816001,500.0,0.005,38.8024
1.0,-77.3689805594,1.0,448.9,-77.3689805594,299.999969474,1.0,-77.3689805594,1.0,0.00333333,,500,-76.9007,1659.49438273,5.43914e-20,100,-76.9007,2,1.0,0.00333333,1659.49438273,500.0,0.00333333,39.389
1.0,-79.1312352324,1.0,434.2,-79.1312352324,400.0,1.0,-79.1312352324,1.0,0.0025,,500,-77.4583,1665.31995564,5.4346e-20,100,-77.4583,2,1.0,0.0025,1665.31995564,500.0,0.0025,39.708
1.0,-82.1749831541,1.15512e-21,429.02,-82.1749831541,1.0,5.77559e-19,-82.1749831541,,0.002,6.6715e-40,500,-18.5311,1718.77873913,0.002,100,-18.5311,1,3.00551e+07,1.0,1718.77873913,1.66360939623e-05,,9.67847e-13
1.0,-81.4368245499,1.0,450.61,-81.4368245499,100.0,1.0,-81.4368245499,1.0,0.01,,500,-81.4368,1605.32427533,3.50449e-18,100,-81.4368,2,1.0,0.01,1605.32427533,500.0,0.01,39.8657
1.0,-85.3968082563,1.0,428.78,-85.3968082563,200.000000102,1.0,-85.3968082563,1.0,0.005,,500,-83.4168,1702.42094633,2.1793e-19,100,-83.4168,2,1.0,0.005,1702.42094633,500.0,0.005,40.5124
1.0,-80.3819204162,1.0,440.28,-80.3819204162,299.999969474,1.0,-80.3819204162,1.0,0.00333333,,500,-82.4052,1602.85869226,5.43914e-20,100,-82.4052,2,1.0,0.00333333,1602.85869226,500.0,0.00333333,40.3133
1.0,-72.0293574265,1.0,470.74,-72.0293574265,400.0,1.0,-72.0293574265,1.0,0.0025,,500,-79.8112,1196.87206722,5.4346e-20,100,-79.8112,2,1.0,0.0025,1196.87206722,500.0,0.0025,39.1827
1.0,-75.2039293461,0.991008,464.08,-75.2039293461,174.983314372,19.3144,-75.2039293461,0.212288,0.002,1.82782,500,-75.5611,1453.83454114,7.44455e-06,100,-75.5611,1,inf,0.0389794,1453.83454114,,0.000428428,44.0423
1.0,-81.8268734124,1.0,434.01,-81.8268734124,100.0,1.0,-81.8268734124,1.0,0.01,,500,-81.8269,1533.26305997,3.50449e-18,100,-81.8269,2,1.0,0.01,1533.26305997,500.0,0.01,38.9606
1.0,-81.7587831263,1.0,447.78,-81.7587831263,200.000000102,1.0,-81.7587831263,1.0,0.005,,500,-81.7928,1577.27751216,2.1793e-19,100,-81.7928,2,1.0,0.005,1577.27751216,500.0,0.005,39.2393
1.0,-75.0572188671,1.0,455.22,-75.0572188671,299.999969474,1.0,-75.0572188671,1.0,0.00333333,,500,-79.5476,1105.83369341,5.43914e-20,100,-79.5476,2,1.0,0.00333333,1105.83369341,500.0,0.00333333,37.4364
1.0,-80.3821423653,1.0,443.61,-80.3821423653,400.0,1.0,-80.3821423653,1.0,0.0025,,500,-79.7562,1647.37743312,5.4346e-20,100,-79.7562,2,1.0,0.0025,1647.37743312,500.0,0.0025,38.1965
1.0,-79.6199442782,1.09707,461.41,-79.6199442782,127.416558344,27.5264,-79.6199442782,0.234541,0.002,3.52643,500,-75.2318,1411.47871675,1.172e-05,100,-75.2318,1,inf,0.0501816,1411.47871675,,0.000427578,46.5479
1.0,-70.6931519713,1.0,460.98,-70.6931519713,100.0,1.0,-70.6931519713,1.0,0.01,,500,-70.6931,1188.11035685,3.50449e-18,100,-70.6931,2,1.0,0.01,1188.11035685,500.0,0.01,34.2962
1.0,-79.9828330814,1.0,445.35,-79.9828330814,200.000000102,1.0,-79.9828330814,1.0,0.005,,500,-75.338,1646.05883833,2.1793e-19,100,-75.338,2,1.0,0.005,1646.05883833,500.0,0.005,37.7424
1.0,-79.8465953526,1.0,454.72,-79.8465953526,299.999969474,1.0,-79.8465953526,1.0,0.00333333,,500,-76.8409,1870.47408236,5.43914e-20,100,-76.8409,2,1.0,0.00333333,1870.47408236,500.0,0.00333333,39.6413
1.0,-68.1774096252,1.0,446.38,-68.1774096252,400.0,1.0,-68.1774096252,1.0,0.0025,,500,-74.675,1647.90477503,5.4346e-20,100,-74.675,2,1.0,0.0025,1647.90477503,500.0,0.0025,40.0063
1.0,-82.9652337999,1.04558,435.39,-82.9652337999,61.6786796797,49.0315,-82.9652337999,8.83858e-08,0.002,7.78463,500,-69.2779,1876.80668942,2.84831e-05,100,-69.2779,1,inf,0.0937884,1876.80668942,,1.69066e-10,99.1284
1.0,-74.1828758591,1.0,441.88,-74.1828758591,100.0,1.0,-74.1828758591,1.0,0.01,,500,-74.1829,1746.6677205,3.50449e-18,100,-74.1829,2,1.0,0.01,1746.6677205,500.0,0.01,41.5837
1.0,-81.7467590374,1.0,453.69,-81.7467590374,200.000000102,1.0,-81.7467590374,1.0,0.005,,500,-77.9648,1495.27417196,2.1793e-19,100,-77.9648,2,1.0,0.005,1495.27417196,500.0,0.005,40.2376
1.0,-81.8100227335,1.0,440.94,-81.8100227335,299.999969474,1.0,-81.8100227335,1.0,0.00333333,,500,-79.2466,1389.8206251,5.43914e-20,100,-79.2466,2,1.0,0.00333333,1389.8206251,500.0,0.00333333,39.2594
1.0,-78.8148514792,1.0,445.66,-78.8148514792,400.0,1.0,-78.8148514792,1.0,0.0025,,500,-79.1386,1023.75455843,5.4346e-20,100,-79.1386,2,1.0,0.0025,1023.75455843,500.0,0.0025,37.5419
1.0,-78.744273834,0.979141,454.03,-78.744273834,147.10913661,21.5616,-78.744273834,0.000100199,0.002,2.30442,500,-72.2777,1341.86988008,9.61458e-06,100,-72.2777,1,inf,0.0440419,1341.86988008,,2.04667e-07,58.2735
1.0,-79.1504448753,1.0,447.04,-79.1504448753,100.0,1.0,-79.1504448753,1.0,0.01,,500,-79.1504,1580.18781454,3.50449e-18,100,-79.1504,2,1.0,0.01,1580.18781454,500.0,0.01,39.5523
