AvgNormIw,Bound,VarRet,VarNormIw,AvgRet,MinNormIw,VarJ,VarVanillaIw,MaxNormIw,AvgEpLen,J,MinVanillaIw,VanillaAvgRet,BatchSize,VarDiscRet,AvgVanillaIw,AvgDiscRet,eRenyi2,ESSRenyi,ESSClassic,MaxVanillaIw
0.010000002,-9.256866,50.19771653773001,3.0638184e-06,-7.363557620147173,0.008911277,7.1531234,0.029420558,0.017289275,200.0,-7.2481422,0.8732405,-7.363557620147173,100,50.19771653773001,0.9799274,-7.363557620147173,1.0508885,95.15757033186577,97.05609174087928,1.6942235
0.01,-10.528095,49.48522251857397,1.1363797e-05,-8.748816886122201,0.003215422,7.609718,0.11545253,0.020369418,200.0,-8.499376,0.32409918,-8.748816886122201,100,49.48522251857397,1.0079522,-8.748816886122201,1.1367413,87.97076494935808,89.88752005080556,2.0531402
0.010000002,-10.186499,47.09287709336584,4.0879302e-05,-8.644377453520178,6.2679356e-07,7.8712144,0.38074902,0.018384553,200.0,-7.9606457,6.04912e-05,-8.644377453520178,100,47.09287709336584,0.9650896,-8.644377453520178,1.3615314,73.44670986003148,71.18931243613906,1.7742742
0.01,-10.498114,56.45242497692551,6.1040333e-07,-8.556466528479447,0.0062211235,7.556006,0.0063591492,0.010589114,200.0,-8.534839,0.6349798,-8.556466528479447,100,56.45242497692551,1.0206834,-8.556466528479447,1.0105247,98.95848669135495,99.39932844177412,1.0808134
0.01,-8.230116,43.1524288939516,0.0003566764,-7.322755583467694,1.2541676e-07,9.963757,2.4201798,0.083191656,200.0,-4.6008406,1.0330996e-05,-7.322755583467694,100,43.1524288939516,0.82373327,-7.322755583467694,3.614789,27.664131917081686,22.069716631010238,6.8527737
0.01,-7.256406,57.27001578280523,0.000418127,-7.429026618073767,,6.5596795,4.0290437,0.07102413,200.0,-2.9387646,,-7.429026618073767,100,57.27001578280523,0.98162806,-7.429026618073767,4.95583,20.178254306282543,19.457310701681077,6.971927
0.01,-8.909834,47.49561035940557,1.6034342e-05,-7.026430451277579,0.0010709898,7.0026307,0.16804753,0.014060466,200.0,-6.803909,0.10964171,-7.026430451277579,100,47.49561035940557,1.023742,-7.026430451277579,1.1582836,86.3346427020661,86.30063366573322,1.4394288
0.01,-8.806938,50.78166186460622,8.1097205e-05,-7.611603887678176,6.5962263e-10,8.870701,0.7802786,0.024090346,200.0,-6.30414,6.470196e-08,-7.611603887678176,100,50.78166186460622,0.98089355,-7.611603887678176,1.7495198,57.158540630453615,55.46735101311132,2.3630066
0.01,-8.6078205,42.07314649232552,1.5583875e-05,-6.766980185142412,0.004865522,6.3001547,0.16058096,0.033046648,200.0,-6.5390544,0.49389967,-6.766980185142412,100,42.07314649232552,1.0151011,-6.766980185142412,1.1232598,89.02660055318147,86.63405719440642,3.354569
0.01,-9.989565,52.43505263076134,5.7586163e-05,-8.373347677362739,1.9053536e-08,8.343719,0.570707,0.020598387,200.0,-7.5749764,1.8968068e-06,-8.373347677362739,100,52.43505263076134,0.9955144,-8.373347677362739,1.5424323,64.83266686555075,63.69009618053058,2.050599
