Delta,ESSClassic,MaxVanillaIw,J,VarVanillaIw,VarRet,MinVanillaIw,MinNormIw,IterType,VarDiscRet,VarNormIw,EpsThisIter,AvgVanillaIw,Bound,BatchSize,ESSRenyi,eRenyi2,AvgEpLen,AvgNormIw,MaxNormIw,VarJ,VanillaAvgRet,AvgDiscRet,AvgRet
0.3,1.90818040674,948.755,1484.44,2253.09,109783.768866,0.000176183,1.34197e-07,1,109783.768866,0.00130717,100,3.28219,952.854,400,42.9487186051,9.31343,56.98,0.0025,0.722654,3894.91,528.008447478,528.008447478,528.008447478
0.3,100.0,1.0,646.234,,139036.353089,1.0,0.01,2,139036.353089,3.50449e-18,100,1.0,311.811,400,400.0,1.0,69.97,0.01,0.01,371.007,646.233932501,646.233932501,646.233932501
0.3,200.000000102,1.0,680.895,,179417.281308,1.0,0.005,2,179417.281308,2.1793e-19,100,1.0,357.268,400,400.0,1.0,77.39,0.005,0.005,398.542,715.555636048,715.555636048,715.555636048
0.3,299.999969474,1.0,702.47,,306319.600184,1.0,0.00333333,2,306319.600184,5.43914e-20,100,1.0,368.706,400,400.0,1.0,80.83,0.00333333,0.00333333,455.968,745.619652033,745.619652033,745.619652033
0.3,8.44063258322,5675.91,678.065,85124.5,109783.768866,0.00105401,6.15905e-08,,175443.755972,0.000290663,100,42.7831,-5558.8,500,1.07393094252,465.579,56.98,0.0025,0.331668,1102.81,528.008447478,705.708473637,528.008447478
0.3,3.29183003321,540.891,1315.16,588.031,276953.972661,0.00185484,1.88106e-06,1,276953.972661,0.000604775,100,1.97212,495.017,500,75.9657895457,6.58191,61.53,0.002,0.548538,5404.19,569.372026451,569.372026451,569.372026451
0.3,100.0,1.0,759.113,,237739.885965,1.0,0.01,2,237739.885965,3.50449e-18,100,1.0,330.059,500,500.0,1.0,82.25,0.01,0.01,485.142,759.113443817,759.113443817,759.113443817
0.3,200.000000102,1.0,710.599,,155574.386455,1.0,0.005,2,155574.386455,2.1793e-19,100,1.0,407.212,500,500.0,1.0,71.74,0.005,0.005,443.897,662.085078267,662.085078267,662.085078267
0.3,299.999969474,1.0,679.42,,119547.22362,1.0,0.00333333,2,119547.22362,5.43914e-20,100,1.0,431.705,500,500.0,1.0,66.69,0.00333333,0.00333333,415.641,617.060281666,617.060281666,617.060281666
0.3,400.0,1.0,676.287,,178283.57462,1.0,0.0025,2,178283.57462,5.4346e-20,100,1.0,461.76,500,500.0,1.0,72.16,0.0025,0.0025,416.801,666.888056876,666.888056876,666.888056876
0.3,15.2588594213,126.367,1429.16,61.8563,191564.555823,2.08945e-10,2.99777e-13,1,191564.555823,0.000127326,100,1.394,811.567,500,48.2632873676,10.3598,74.14,0.002,0.181301,3043.47,683.925621708,683.925621708,683.925621708
0.3,100.0,1.0,1075.22,,422684.63938,1.0,0.01,2,422684.63938,3.50449e-18,100,1.0,538.161,500,500.0,1.0,116.41,0.01,0.01,646.883,1075.21938492,1075.21938492,1075.21938492
0.3,200.000000102,1.0,1039.15,,289226.906406,1.0,0.005,2,289226.906406,2.1793e-19,100,1.0,659.388,500,500.0,1.0,108.82,0.005,0.005,594.725,1003.07144168,1003.07144168,1003.07144168
0.3,299.999969474,1.0,1090.04,,347105.282536,1.0,0.00333333,2,347105.282536,5.43914e-20,100,1.0,759.008,500,500.0,1.0,129.3,0.00333333,0.00333333,596.258,1191.83604566,1191.83604566,1191.83604566
0.3,400.0,1.0,1099.82,,474703.705422,1.0,0.0025,2,474703.705422,5.4346e-20,100,1.0,748.166,500,500.0,1.0,122.42,0.0025,0.0025,620.015,1129.1349388,1129.1349388,1129.1349388
0.3,2.3361886208,1265.8,3731.25,3278.92,412910.392046,1.01913e-09,5.20047e-13,1,412910.392046,0.000853803,100,3.91937,2313.62,500,24.612086703,20.3152,126.42,0.002,0.645919,12786.7,1166.2651077,1166.2651077,1166.2651077
0.3,100.0,1.0,1750.41,,1536591.05627,1.0,0.01,2,1536591.05627,3.50449e-18,100,1.0,1037.23,500,500.0,1.0,189.95,0.01,0.01,1233.38,1750.41409344,1750.41409344,1750.41409344
0.3,200.000000102,1.0,1769.64,,1460409.89001,1.0,0.005,2,1460409.89001,2.1793e-19,100,1.0,1264.62,500,500.0,1.0,194.26,0.005,0.005,1218.15,1788.85937553,1788.85937553,1788.85937553
0.3,299.999969474,1.0,1793.38,,1878341.941,1.0,0.00333333,2,1878341.941,5.43914e-20,100,1.0,1381.03,500,500.0,1.0,199.62,0.00333333,0.00333333,1268.95,1840.86334049,1840.86334049,1840.86334049
0.3,400.0,1.0,1768.56,,1213370.11223,1.0,0.0025,2,1213370.11223,5.4346e-20,100,1.0,1411.46,500,500.0,1.0,183.75,0.0025,0.0025,1228.75,1694.11962796,1694.11962796,1694.11962796
0.3,19.2169785351,124.023,3977.45,51.7232,1149661.09987,1.15296e-17,1.60535e-20,1,1149661.09987,0.000100275,100,1.4364,2843.84,500,39.6931917842,12.5966,172.11,0.002,0.172685,3847.53,1586.35573291,1586.35573291,1586.35573291
0.3,100.0,1.0,3249.81,,1908628.98644,1.0,0.01,2,1908628.98644,3.50449e-18,100,1.0,2535.52,500,500.0,1.0,352.34,0.01,0.01,1374.61,3249.81147839,3249.81147839,3249.81147839
0.3,200.000000102,1.0,3346.13,,1589203.74997,1.0,0.005,2,1589203.74997,2.1793e-19,100,1.0,2840.91,500,500.0,1.0,373.19,0.005,0.005,1319.36,3442.45105554,3442.45105554,3442.45105554
0.3,299.999969474,1.0,3377.09,,1852039.05691,1.0,0.00333333,2,1852039.05691,5.43914e-20,100,1.0,2964.41,500,500.0,1.0,372.82,0.00333333,0.00333333,1331.75,3439.01631687,3439.01631687,3439.01631687
0.3,400.0,1.0,3336.54,,1809444.66303,1.0,0.0025,2,1809444.66303,5.4346e-20,100,1.0,2979.1,500,500.0,1.0,348.64,0.0025,0.0025,1335.27,3214.86904079,3214.86904079,3214.86904079
0.3,143.423324907,11.7684,4229.48,2.48696,1848081.281,2.23937e-05,4.48253e-08,1,1848081.281,9.96466e-06,100,0.999156,3623.05,500,138.955298862,3.59828,367.14,0.002,0.0235567,1026.81,3382.20819534,3382.20819534,3382.20819534
0.3,100.0,1.0,4217.35,,636307.463508,1.0,0.01,2,636307.463508,3.50449e-18,100,1.0,3502.66,500,500.0,1.0,456.05,0.01,0.01,793.69,4217.34879102,4217.34879102,4217.34879102
0.3,200.000000102,1.0,4241.38,,572919.620507,1.0,0.005,2,572919.620507,2.1793e-19,100,1.0,3735.89,500,500.0,1.0,461.18,0.005,0.005,774.045,4265.41124395,4265.41124395,4265.41124395
0.3,299.999969474,1.0,4255.83,,674943.42029,1.0,0.00333333,2,674943.42029,5.43914e-20,100,1.0,3843.1,500,500.0,1.0,462.41,0.00333333,0.00333333,789.037,4284.73474825,4284.73474825,4284.73474825
0.3,400.0,1.0,4180.01,,1115437.59127,1.0,0.0025,2,1115437.59127,5.4346e-20,100,1.0,3822.58,500,500.0,1.0,428.09,0.0025,0.0025,871.923,3952.56319779,3952.56319779,3952.56319779
0.3,266.573603198,6.55877,4483.62,0.97181,879889.548234,0.000798472,1.5174e-06,1,879889.548234,3.50964e-06,100,1.05242,4061.82,500,287.247216458,1.74066,450.74,0.002,0.0124642,427.273,4166.86026698,4166.86026698,4166.86026698
0.3,100.0,1.0,4425.72,,375597.117454,1.0,0.01,2,375597.117454,3.50449e-18,100,1.0,3711.28,500,500.0,1.0,477.46,0.01,0.01,609.788,4425.71733547,4425.71733547,4425.71733547
0.3,200.000000102,1.0,4397.4,,439923.077414,1.0,0.005,2,439923.077414,2.1793e-19,100,1.0,3892.0,500,500.0,1.0,471.67,0.005,0.005,635.991,4369.08578519,4369.08578519,4369.08578519
0.3,299.999969474,1.0,4421.28,,340048.333138,1.0,0.00333333,2,340048.333138,5.43914e-20,100,1.0,4008.63,500,500.0,1.0,481.49,0.00333333,0.00333333,618.88,4469.04263394,4469.04263394,4469.04263394
0.3,400.0,1.0,4424.54,,321990.847782,1.0,0.0025,2,321990.847782,5.4346e-20,100,1.0,4067.14,500,500.0,1.0,478.72,0.0025,0.0025,605.792,4434.30163822,4434.30163822,4434.30163822
0.3,381.885342309,2.68003,4565.85,0.293823,297344.617927,0.0329631,6.77071e-05,1,297344.617927,1.23965e-06,100,0.973696,4202.96,500,387.973400311,1.28875,483.62,0.002,0.00550485,270.174,4486.96489646,4486.96489646,4486.96489646
0.3,100.0,1.0,4560.21,,130008.230267,1.0,0.01,2,130008.230267,3.50449e-18,100,1.0,3845.55,500,500.0,1.0,491.6,0.01,0.01,358.759,4560.21131851,4560.21131851,4560.21131851
0.3,200.000000102,1.0,4566.71,,127472.070569,1.0,0.005,2,127472.070569,2.1793e-19,100,1.0,4061.37,500,500.0,1.0,492.8,0.005,0.005,357.064,4573.20528957,4573.20528957,4573.20528957
0.3,299.999969474,1.0,4563.72,,103172.620359,1.0,0.00333333,2,103172.620359,5.43914e-20,100,1.0,4151.06,500,500.0,1.0,491.4,0.00333333,0.00333333,345.053,4557.73722368,4557.73722368,4557.73722368
0.3,400.0,1.0,4551.07,,270602.73514,1.0,0.0025,2,270602.73514,5.4346e-20,100,1.0,4193.67,500,500.0,1.0,486.03,0.0025,0.0025,395.917,4513.13528585,4513.13528585,4513.13528585
0.3,421.094602664,2.04523,4603.14,0.191984,296207.481451,0.0229247,4.53419e-05,1,296207.481451,7.51029e-07,100,1.01119,4257.25,500,427.137063176,1.17058,483.95,0.002,0.00404519,191.534,4487.15085869,4487.15085869,4487.15085869
0.3,100.0,1.0,4577.57,,126440.678061,1.0,0.01,2,126440.678061,3.50449e-18,100,1.0,3863.09,500,500.0,1.0,493.58,0.01,0.01,353.803,4577.57354352,4577.57354352,4577.57354352
0.3,200.000000102,1.0,4593.73,,69092.7157977,1.0,0.005,2,69092.7157977,2.1793e-19,100,1.0,4088.37,500,500.0,1.0,496.09,0.005,0.005,311.528,4609.88254802,4609.88254802,4609.88254802
0.3,299.999969474,1.0,4579.38,,196401.794003,1.0,0.00333333,2,196401.794003,5.43914e-20,100,1.0,4166.76,500,500.0,1.0,490.2,0.00333333,0.00333333,360.45,4550.68162191,4550.68162191,4550.68162191
0.3,400.0,1.0,4580.06,,141802.521252,1.0,0.0025,2,141802.521252,5.4346e-20,100,1.0,4222.65,500,500.0,1.0,493.48,0.0025,0.0025,364.061,4582.08878266,4582.08878266,4582.08878266
0.3,456.395262737,1.73544,4618.8,0.0956005,186528.662264,0.145474,0.00029115,1,186528.662264,3.82931e-07,100,0.999309,4284.78,500,458.079331973,1.09151,491.09,0.002,0.00347328,149.244,4558.84402026,4558.84402026,4558.84402026
0.3,100.0,1.0,4593.05,,70997.119287,1.0,0.01,2,70997.119287,3.50449e-18,100,1.0,3878.45,500,500.0,1.0,494.34,0.01,0.01,265.117,4593.05068175,4593.05068175,4593.05068175
0.3,200.000000102,1.0,4578.17,,107846.910941,1.0,0.005,2,107846.910941,2.1793e-19,100,1.0,4072.81,500,500.0,1.0,491.22,0.005,0.005,297.908,4563.29927265,4563.29927265,4563.29927265
0.3,299.999969474,1.0,4593.48,,20065.8761547,1.0,0.00333333,2,20065.8761547,5.43914e-20,100,1.0,4180.86,500,500.0,1.0,497.45,0.00333333,0.00333333,257.403,4624.10340001,4624.10340001,4624.10340001
0.3,400.0,1.0,4600.33,,34614.1557051,1.0,0.0025,2,34614.1557051,5.4346e-20,100,1.0,4242.98,500,500.0,1.0,497.79,0.0025,0.0025,241.661,4620.8654493,4620.8654493,4620.8654493
0.3,471.260567516,1.54493,4620.57,0.0600556,79724.5808072,0.221089,0.00044603,1,79724.5808072,2.44426e-07,100,0.991364,4292.11,500,473.469671578,1.05603,495.12,0.002,0.00311677,147.147,4594.57013717,4594.57013717,4594.57013717
0.3,100.0,1.0,4647.43,,1778.89012904,1.0,0.01,2,1778.89012904,3.50449e-18,100,1.0,3932.56,500,500.0,1.0,499.77,0.01,0.01,41.9655,4647.43245532,4647.43245532,4647.43245532
0.3,200.000000102,1.0,4639.69,,23898.986085,1.0,0.005,2,23898.986085,2.1793e-19,100,1.0,4134.2,500,500.0,1.0,498.14,0.005,0.005,113.007,4631.94892794,4631.94892794,4631.94892794
0.3,299.999969474,1.0,4622.29,,94767.3911176,1.0,0.00333333,2,94767.3911176,5.43914e-20,100,1.0,4209.56,500,500.0,1.0,493.61,0.00333333,0.00333333,200.979,4587.48872038,4587.48872038,4587.48872038
0.3,400.0,1.0,4618.14,,62234.1540118,1.0,0.0025,2,62234.1540118,5.4346e-20,100,1.0,4260.71,500,500.0,1.0,495.42,0.0025,0.0025,213.89,4605.70974791,4605.70974791,4605.70974791
0.3,481.864321033,1.54108,4631.41,0.0376667,43963.0796022,0.35072,0.000701861,1,43963.0796022,1.50848e-07,100,0.9994,4306.45,500,483.961485735,1.03314,496.86,0.002,0.00308402,136.466,4616.96215061,4616.96215061,4616.96215061
0.3,100.0,1.0,4610.48,,41428.9713642,1.0,0.01,2,41428.9713642,3.50449e-18,100,1.0,3895.64,500,500.0,1.0,496.21,0.01,0.01,202.521,4610.47749333,4610.47749333,4610.47749333
0.3,200.000000102,1.0,4627.74,,1526.84914307,1.0,0.005,2,1526.84914307,2.1793e-19,100,1.0,4122.28,500,500.0,1.0,499.85,0.005,0.005,146.837,4645.00832476,4645.00832476,4645.00832476
0.3,299.999969474,1.0,4626.84,,82580.2101702,1.0,0.00333333,2,82580.2101702,5.43914e-20,100,1.0,4214.13,500,500.0,1.0,496.93,0.00333333,0.00333333,204.028,4625.041256,4625.041256,4625.041256
0.3,400.0,1.0,4633.11,,581.312720419,1.0,0.0025,2,581.312720419,5.4346e-20,100,1.0,4275.69,500,500.0,1.0,500.0,0.0025,0.0025,177.432,4651.89861396,4651.89861396,4651.89861396
0.3,491.883449055,1.25926,4639.3,0.0166456,12733.2049201,0.569625,0.00113543,1,12733.2049201,6.61359e-08,100,1.00337,4316.95,500,491.84181056,1.01659,498.15,0.002,0.00251007,109.94,4634.40767484,4634.40767484,4634.40767484
0.3,100.0,1.0,4619.28,,48019.940579,1.0,0.01,2,48019.940579,3.50449e-18,100,1.0,3904.43,500,500.0,1.0,496.76,0.01,0.01,218.036,4619.28380202,4619.28380202,4619.28380202
0.3,200.000000102,1.0,4634.83,,1206.57017178,1.0,0.005,2,1206.57017178,2.1793e-19,100,1.0,4129.35,500,500.0,1.0,499.88,0.005,0.005,156.871,4650.3662943,4650.3662943,4650.3662943
0.3,299.999969474,1.0,4635.99,,7196.99316598,1.0,0.00333333,2,7196.99316598,5.43914e-20,100,1.0,4223.27,500,500.0,1.0,498.99,0.00333333,0.00333333,137.053,4638.31624034,4638.31624034,4638.31624034
0.3,400.0,1.0,4626.06,,100205.485782,1.0,0.0025,2,100205.485782,5.4346e-20,100,1.0,4268.62,500,500.0,1.0,494.54,0.0025,0.0025,197.95,4596.26958551,4596.26958551,4596.26958551
0.3,481.40906162,1.56643,4636.04,0.0402659,103030.469209,0.248681,0.000487568,1,103030.469209,1.54783e-07,100,1.02009,4310.73,500,482.940560935,1.03532,494.51,0.002,0.00307118,109.146,4597.48505153,4597.48505153,4597.48505153
0.3,100.0,1.0,4630.35,,46767.3158274,1.0,0.01,2,46767.3158274,3.50449e-18,100,1.0,3915.58,500,500.0,1.0,497.69,0.01,0.01,215.174,4630.34876883,4630.34876883,4630.34876883
0.3,200.000000102,1.0,4642.83,,473.643212702,1.0,0.005,2,473.643212702,2.1793e-19,100,1.0,4137.41,500,500.0,1.0,500.0,0.005,0.005,153.428,4655.30863549,4655.30863549,4655.30863549
0.3,299.999969474,1.0,4643.52,,776.405585716,1.0,0.00333333,2,776.405585716,5.43914e-20,100,1.0,4230.85,500,500.0,1.0,500.0,0.00333333,0.00333333,126.295,4644.90464631,4644.90464631,4644.90464631
0.3,400.0,1.0,4638.24,,33240.3619452,1.0,0.0025,2,33240.3619452,5.4346e-20,100,1.0,4280.85,500,500.0,1.0,497.2,0.0025,0.0025,142.385,4622.40315309,4622.40315309,4622.40315309
0.3,491.903181913,1.30902,4645.98,0.0164372,1366.82036705,0.43952,0.000880528,1,1366.82036705,6.59716e-08,100,0.998309,4324.12,500,493.193273773,1.0138,499.87,0.002,0.00262247,73.288,4649.79706243,4649.79706243,4649.79706243
0.3,100.0,1.0,4642.61,,9131.01856075,1.0,0.01,2,9131.01856075,3.50449e-18,100,1.0,3928.0,500,500.0,1.0,499.05,0.01,0.01,95.0774,4642.60890359,4642.60890359,4642.60890359
0.3,200.000000102,1.0,4646.08,,474.321732151,1.0,0.005,2,474.321732151,2.1793e-19,100,1.0,4140.6,500,500.0,1.0,499.98,0.005,0.005,69.0411,4649.54756699,4649.54756699,4649.54756699
0.3,299.999969474,1.0,4645.87,,2133.02129456,1.0,0.00333333,2,2133.02129456,5.43914e-20,100,1.0,4233.15,500,500.0,1.0,499.62,0.00333333,0.00333333,62.3039,4645.44916691,4645.44916691,4645.44916691
0.3,400.0,1.0,4638.78,,75975.4833752,1.0,0.0025,2,75975.4833752,5.4346e-20,100,1.0,4281.35,500,500.0,1.0,496.21,0.0025,0.0025,147.871,4617.53342562,4617.53342562,4617.53342562
0.3,495.68774264,1.21538,4644.2,0.00878356,2161.20308886,0.537306,0.00107056,1,2161.20308886,3.48696e-08,100,1.00379,4322.98,500,495.276088731,1.00954,499.49,0.002,0.00242159,86.3263,4647.74164551,4647.74164551,4647.74164551
0.3,100.0,1.0,4638.93,,10814.3596403,1.0,0.01,2,10814.3596403,3.50449e-18,100,1.0,3924.17,500,500.0,1.0,498.95,0.01,0.01,103.471,4638.92972326,4638.92972326,4638.92972326
0.3,200.000000102,1.0,4643.8,,1209.98859233,1.0,0.005,2,1209.98859233,2.1793e-19,100,1.0,4138.36,500,500.0,1.0,499.87,0.005,0.005,77.3033,4648.67632183,4648.67632183,4648.67632183
0.3,299.999969474,1.0,4646.33,,640.133941762,1.0,0.00333333,2,640.133941762,5.43914e-20,100,1.0,4233.64,500,500.0,1.0,500.0,0.00333333,0.00333333,64.868,4651.37819773,4651.37819773,4651.37819773
0.3,400.0,1.0,4645.34,,5458.98460932,1.0,0.0025,2,5458.98460932,5.4346e-20,100,1.0,4287.93,500,500.0,1.0,499.06,0.0025,0.0025,67.1558,4642.39551259,4642.39551259,4642.39551259
0.3,497.330472731,1.17419,4647.12,0.005351,8046.12497309,0.642779,0.00128885,1,8046.12497309,2.15138e-08,100,0.997445,4326.62,500,497.440867652,1.00514,499.11,0.002,0.00235439,57.6725,4645.47713021,4645.47713021,4645.47713021
0.3,100.0,1.0,4638.18,,10310.2101227,1.0,0.01,2,10310.2101227,3.50449e-18,100,1.0,3923.34,500,500.0,1.0,498.87,0.01,0.01,101.03,4638.17724142,4638.17724142,4638.17724142
0.3,200.000000102,1.0,4646.59,,317.541063692,1.0,0.005,2,317.541063692,2.1793e-19,100,1.0,4141.12,500,500.0,1.0,500.0,0.005,0.005,73.0168,4654.99590782,4654.99590782,4654.99590782
0.3,299.999969474,1.0,4645.46,,7521.20503459,1.0,0.00333333,2,7521.20503459,5.43914e-20,100,1.0,4232.74,500,500.0,1.0,499.25,0.00333333,0.00333333,77.7099,4643.21205787,4643.21205787,4643.21205787
0.3,400.0,1.0,4643.33,,31876.5453385,1.0,0.0025,2,31876.5453385,5.4346e-20,100,1.0,4285.89,500,500.0,1.0,498.13,0.0025,0.0025,111.5,4636.92345289,4636.92345289,4636.92345289
0.3,496.253990917,1.16405,4647.92,0.00764599,760.146685096,0.607754,0.00120896,1,760.146685096,3.02554e-08,100,1.00542,4326.93,500,495.998126838,1.00807,500.0,0.002,0.00231556,67.9862,4652.00341361,4652.00341361,4652.00341361
0.3,100.0,1.0,4650.88,,1718.19935989,1.0,0.01,2,1718.19935989,3.50449e-18,100,1.0,3936.02,500,500.0,1.0,499.78,0.01,0.01,41.2434,4650.87517657,4650.87517657,4650.87517657
0.3,200.000000102,1.0,4644.75,,8009.83451024,1.0,0.005,2,8009.83451024,2.1793e-19,100,1.0,4139.27,500,500.0,1.0,498.94,0.005,0.005,69.6629,4638.62127181,4638.62127181,4638.62127181
0.3,299.999969474,1.0,4641.08,,19555.7315439,1.0,0.00333333,2,19555.7315439,5.43914e-20,100,1.0,4228.35,500,500.0,1.0,498.13,0.00333333,0.00333333,98.5677,4633.74079766,4633.74079766,4633.74079766
0.3,400.0,1.0,4643.0,,4287.47803785,1.0,0.0025,2,4287.47803785,5.4346e-20,100,1.0,4285.57,500,500.0,1.0,499.46,0.0025,0.0025,91.4269,4648.74698296,4648.74698296,4648.74698296
0.3,495.944896545,1.18649,4647.67,0.00814965,571.028136306,0.555644,0.00111424,1,571.028136306,3.2772e-08,100,0.997351,4326.73,500,496.131484003,1.0078,500.0,0.002,0.00237928,61.8344,4652.55731176,4652.55731176,4652.55731176
0.3,100.0,1.0,4654.63,,1710.68352514,1.0,0.01,2,1710.68352514,3.50449e-18,100,1.0,3939.77,500,500.0,1.0,499.63,0.01,0.01,41.1531,4654.63529644,4654.63529644,4654.63529644
0.3,200.000000102,1.0,4654.1,,493.890430227,1.0,0.005,2,493.890430227,2.1793e-19,100,1.0,4148.62,500,500.0,1.0,500.0,0.005,0.005,33.0386,4653.5611859,4653.5611859,4653.5611859
0.3,299.999969474,1.0,4654.12,,479.801858521,1.0,0.00333333,2,479.801858521,5.43914e-20,100,1.0,4241.4,500,500.0,1.0,500.0,0.00333333,0.00333333,29.7664,4654.1716656,4654.1716656,4654.1716656
0.3,400.0,1.0,4650.95,,8135.73717118,1.0,0.0025,2,8135.73717118,5.4346e-20,100,1.0,4293.52,500,500.0,1.0,498.9,0.0025,0.0025,52.0422,4641.41663446,4641.41663446,4641.41663446
0.3,499.016795438,1.1041,4651.25,0.00198798,836.765872937,0.804434,0.0016034,1,836.765872937,7.8979e-09,100,1.00341,4331.24,500,499.026291092,1.00195,500.0,0.002,0.00220068,42.9764,4649.24018743,4649.24018743,4649.24018743
0.3,100.0,1.0,4650.53,,1119.37756505,1.0,0.01,2,1119.37756505,3.50449e-18,100,1.0,3935.65,500,500.0,1.0,499.83,0.01,0.01,33.2894,4650.52541003,4650.52541003,4650.52541003
0.3,200.000000102,1.0,4645.18,,14760.9779015,1.0,0.005,2,14760.9779015,2.1793e-19,100,1.0,4139.69,500,500.0,1.0,498.76,0.005,0.005,88.8221,4639.83132781,4639.83132781,4639.83132781
0.3,299.999969474,1.0,4643.52,,8993.40583753,1.0,0.00333333,2,8993.40583753,5.43914e-20,100,1.0,4230.79,500,500.0,1.0,498.85,0.00333333,0.00333333,90.7353,4640.20294998,4640.20294998,4640.20294998
0.3,400.0,1.0,4645.12,,1088.61266771,1.0,0.0025,2,1088.61266771,5.4346e-20,100,1.0,4287.68,500,500.0,1.0,499.92,0.0025,0.0025,80.323,4649.9191467,4649.9191467,4649.9191467
0.3,496.708032717,1.17043,4649.15,0.0066387,575.165070994,0.681416,0.001363,1,575.165070994,2.65613e-08,100,0.999877,4328.52,500,497.113183543,1.00581,500.0,0.002,0.00234114,56.7018,4655.41151093,4655.41151093,4655.41151093
