MinVanillaIw,MaxVanillaIw,ESSClassic,IterType,Bound,VarRet,VanillaAvgRet,MinNormIw,AvgRet,BatchSize,ESSRenyi,AvgEpLen,AvgNormIw,delta,SamplesThisIter,AvgDiscRet,renyi2,VarNormIw,VarVanillaIw,VarDiscRet,J,AvgVanillaIw,MaxNormIw,VarJ,EpsThisIter
0.946531,1.06535,0.566227886952,1,-443.109,0.624718188354,-409.568602332,5.25221e-05,-409.568602332,100,1.75559696589e-13,500.0,5.55556e-05,0.6,50000,-409.568602332,33.976,1.04435e-12,0.000339181,0.624718188354,-73720.4,1.0012,5.91152e-05,10.6172,100
0.884108,1.23313,0.592813649222,1,-442.72,4.28029699746,-409.231745819,4.9165e-05,-409.231745819,100,1.7517839405e-13,500.0,5.55556e-05,0.6,50000,-409.231745819,33.9781,7.35324e-12,0.00237781,4.28029699746,-73647.8,0.999026,6.85739e-05,29.9252,100
0.84092,1.21034,0.582465952544,1,-442.433,4.33346264905,-408.948864074,4.64909e-05,-408.948864074,100,1.70014254914e-13,500.0,5.55556e-05,0.6,50000,-408.948864074,34.0081,7.69818e-12,0.00251861,4.33346264905,-73596.3,1.00488,6.69146e-05,29.6986,100
0.957591,1.06533,0.567305997087,1,-443.354,0.393076712186,-409.82130308,5.33518e-05,-409.82130308,100,1.72545407967e-13,500.0,5.55556e-05,0.6,50000,-409.82130308,33.9933,6.36313e-13,0.00020499,0.393076712186,-73766.7,0.997145,5.93542e-05,8.36876,100
0.820912,1.18997,0.596130684375,1,-442.414,3.81413198394,-408.898218031,4.54607e-05,-408.898218031,100,1.73340385766e-13,500.0,5.55556e-05,0.6,50000,-408.898218031,33.9887,7.03336e-12,0.00229342,3.81413198394,-73588.5,1.0032,6.58983e-05,27.8979,100
0.933426,1.1914,0.580763194344,1,-442.845,1.24932525734,-409.353116566,5.2272e-05,-409.353116566,100,1.727937316e-13,500.0,5.55556e-05,0.6,50000,-409.353116566,33.9918,1.96192e-12,0.000625609,1.24932525734,-73680.0,0.992061,6.67183e-05,15.617,100
0.87262,1.2407,0.586272906281,1,-442.636,4.65835314481,-409.153020435,4.87738e-05,-409.153020435,100,1.74317797219e-13,500.0,5.55556e-05,0.6,50000,-409.153020435,33.9831,8.14867e-12,0.00260833,4.65835314481,-73632.2,0.993953,6.93468e-05,31.1497,100
0.915941,1.074,0.568826329622,1,-443.093,0.802269001041,-409.530843782,5.06984e-05,-409.530843782,100,1.71579240735e-13,500.0,5.55556e-05,0.6,50000,-409.530843782,33.9989,1.40492e-12,0.000458562,0.802269001041,-73712.9,1.00369,5.94472e-05,11.9683,100
0.951023,1.06604,0.568272973032,1,-443.254,0.498214929332,-409.701627797,5.28887e-05,-409.701627797,100,1.72534879363e-13,500.0,5.55556e-05,0.6,50000,-409.701627797,33.9933,7.90355e-13,0.000255551,0.498214929332,-73744.8,0.998977,5.92853e-05,9.46033,100
0.854049,1.19141,0.586887133562,1,-442.487,3.76546130979,-409.036798092,4.71768e-05,-409.036798092,100,1.72984334574e-13,500.0,5.55556e-05,0.6,50000,-409.036798092,33.9907,6.68992e-12,0.00219245,3.76546130979,-73614.0,1.00573,6.58121e-05,28.0006,100
0.946268,1.05831,0.565433788206,1,-443.216,0.407298399817,-409.65310023,5.24602e-05,-409.65310023,100,1.72784515004e-13,500.0,5.55556e-05,0.6,50000,-409.65310023,33.9919,6.90544e-13,0.000224678,0.407298399817,-73736.3,1.0021,5.86715e-05,8.59906,100
0.938366,1.19657,0.573142746687,1,-443.133,0.840986890031,-409.615420802,5.23944e-05,-409.615420802,100,1.73622961955e-13,500.0,5.55556e-05,0.6,50000,-409.615420802,33.9871,1.30155e-12,0.000417481,0.840986890031,-73728.4,0.994981,6.68114e-05,12.7503,100
0.943219,1.05464,0.564195224477,1,-443.201,0.412277056287,-409.644109018,5.2269e-05,-409.644109018,100,1.75484708628e-13,500.0,5.55556e-05,0.6,50000,-409.644109018,33.9764,6.8723e-13,0.00022379,0.412277056287,-73734.6,1.00253,5.84436e-05,8.63292,100
0.843502,1.20067,0.602318046209,1,-442.453,4.4059199232,-408.95438493,4.67219e-05,-408.95438493,100,1.75134292781e-13,500.0,5.55556e-05,0.6,50000,-408.95438493,33.9784,7.61689e-12,0.00248261,4.4059199232,-73597.4,1.00298,6.65054e-05,30.16,100
0.966355,1.07727,0.562849484617,1,-443.357,0.337498338577,-409.857411222,5.37553e-05,-409.857411222,100,1.78906933728e-13,500.0,5.55556e-05,0.6,50000,-409.857411222,33.9571,5.58014e-13,0.000180333,0.337498338577,-73773.3,0.998718,5.99249e-05,7.88095,100
0.947329,1.04511,0.562537693042,1,-443.053,0.346623820866,-409.526684193,5.26185e-05,-409.526684193,100,1.80310809757e-13,500.0,5.55556e-05,0.6,50000,-409.526684193,33.9493,5.57825e-13,0.00018081,0.346623820866,-73713.7,1.00021,5.80496e-05,7.84806,100
0.919254,1.22501,0.566046987645,1,-443.03,0.783595225998,-409.506701547,5.12128e-05,-409.506701547,100,1.80272973638e-13,500.0,5.55556e-05,0.6,50000,-409.506701547,33.9495,1.17028e-12,0.000377055,0.783595225998,-73709.0,0.997206,6.82468e-05,12.2957,100
0.893181,1.17527,0.583062417554,1,-441.982,3.06717789254,-408.462782899,4.92022e-05,-408.462782899,100,1.7683205022e-13,500.0,5.55556e-05,0.6,50000,-408.462782899,33.9687,5.28353e-12,0.00174114,3.06717789254,-73513.5,1.00852,6.47415e-05,24.902,100
0.781344,1.28108,0.593644190343,1,-442.033,5.90693467249,-408.566693586,4.34773e-05,-408.566693586,100,1.74791219289e-13,500.0,5.55556e-05,0.6,50000,-408.566693586,33.9804,1.08708e-11,0.00351093,5.90693467249,-73521.6,0.998405,7.12849e-05,35.2116,100
0.942618,1.08602,0.565406560168,1,-442.691,0.683345769539,-409.150281913,5.23217e-05,-409.150281913,100,1.73948463598e-13,500.0,5.55556e-05,0.6,50000,-409.150281913,33.9852,1.16628e-12,0.00037854,0.683345769539,-73644.8,1.00088,6.02814e-05,10.9163,100
0.874825,1.1831,0.616958057895,1,-442.265,3.22192715638,-408.75508044,4.82389e-05,-408.75508044,100,1.72090536057e-13,500.0,5.55556e-05,0.6,50000,-408.75508044,33.9959,5.58689e-12,0.00183746,3.22192715638,-73565.7,1.00752,6.52374e-05,25.7423,100
0.839557,1.27796,0.578683198864,1,-442.089,3.98308943436,-408.645044429,4.67961e-05,-408.645044429,100,1.70953355442e-13,500.0,5.55556e-05,0.6,50000,-408.645044429,34.0026,6.49334e-12,0.00209001,3.98308943436,-73543.8,0.996708,7.12326e-05,28.5187,100
0.790771,1.2058,0.581126462176,1,-441.96,6.48784297762,-408.512035634,4.35557e-05,-408.512035634,100,1.68730447549e-13,500.0,5.55556e-05,0.6,50000,-408.512035634,34.0156,1.20021e-11,0.0039561,6.48784297762,-73510.2,1.00863,6.64155e-05,36.1345,100
0.941566,1.20003,0.567795864225,1,-443.403,0.902871628463,-409.861609154,5.24643e-05,-409.861609154,100,1.6969806e-13,500.0,5.55556e-05,0.6,50000,-409.861609154,34.0099,1.34402e-12,0.000432893,0.902871628463,-73772.5,0.997044,6.68657e-05,13.15,100
0.956014,1.05957,0.561490346071,1,-443.218,0.282284509123,-409.672853078,5.30175e-05,-409.672853078,100,1.68007250964e-13,500.0,5.55556e-05,0.6,50000,-409.672853078,34.0199,4.41814e-13,0.000143658,0.282284509123,-73740.3,1.00178,5.87606e-05,7.0992,100
0.775698,1.19883,0.598812505972,1,-442.238,4.35444030415,-408.790702946,4.30416e-05,-408.790702946,100,1.67556025906e-13,500.0,5.55555e-05,0.6,50000,-408.790702946,34.0226,7.52032e-12,0.00244256,4.35444030415,-73568.2,1.00123,6.65202e-05,29.885,100
0.945081,1.19087,0.565512445943,1,-443.26,0.690497671965,-409.731782278,5.26542e-05,-409.731782278,100,1.6502439063e-13,500.0,5.55556e-05,0.6,50000,-409.731782278,34.0379,9.91923e-13,0.000319558,0.690497671965,-73749.8,0.997157,6.6348e-05,11.5717,100
0.942263,1.18039,0.569942021968,1,-443.106,0.571995238326,-409.554451518,5.25536e-05,-409.554451518,100,1.64411766131e-13,500.0,5.55556e-05,0.6,50000,-409.554451518,34.0416,8.06208e-13,0.000259171,0.571995238326,-73718.3,0.996087,6.5835e-05,10.5789,100
0.834315,1.18586,0.579362790791,1,-442.909,3.88551445648,-409.393951205,4.62347e-05,-409.393951205,100,1.6156852372e-13,500.0,5.55556e-05,0.6,50000,-409.393951205,34.059,6.81362e-12,0.00221872,3.88551445648,-73678.1,1.00251,6.57162e-05,28.3601,100
0.948681,1.0459,0.563184062486,1,-443.19,0.22002890407,-409.659547939,5.27135e-05,-409.659547939,100,1.60885839596e-13,500.0,5.55556e-05,0.6,50000,-409.659547939,34.0633,3.22836e-13,0.000104563,0.22002890407,-73738.1,0.999829,5.81155e-05,6.28427,100
0.958058,1.04371,0.562674866081,1,-443.247,0.269909476107,-409.710423926,5.32242e-05,-409.710423926,100,1.60322819743e-13,500.0,5.55556e-05,0.6,50000,-409.710423926,34.0668,4.05768e-13,0.000131475,0.269909476107,-73747.1,1.00002,5.79828e-05,6.93592,100
0.958773,1.04601,0.56462549767,1,-442.966,0.330158295398,-409.444133687,5.32148e-05,-409.444133687,100,1.6063011679e-13,500.0,5.55556e-05,0.6,50000,-409.444133687,34.0648,5.26902e-13,0.000171039,0.330158295398,-73698.9,1.00095,5.80567e-05,7.68455,100
0.932547,1.0481,0.567159651763,1,-442.706,0.486836565023,-409.176364078,5.16214e-05,-409.176364078,100,1.61311727984e-13,500.0,5.55556e-05,0.6,50000,-409.176364078,34.0606,8.37651e-13,0.000273366,0.486836565023,-73650.2,1.00362,5.80178e-05,9.18486,100
0.803005,1.24366,0.619259476248,1,-442.256,5.38015651879,-408.772865769,4.44677e-05,-408.772865769,100,1.60360121329e-13,500.0,5.55556e-05,0.6,50000,-408.772865769,34.0665,9.7307e-12,0.00317316,5.38015651879,-73561.0,1.00323,6.88698e-05,34.0823,100
0.924696,1.11151,0.569939602048,1,-443.188,0.988722778685,-409.633153694,5.14843e-05,-409.633153694,100,1.62741333349e-13,500.0,5.55556e-05,0.6,50000,-409.633153694,34.0518,1.64067e-12,0.000529261,0.988722778685,-73730.8,0.997819,6.18855e-05,13.2493,100
0.869478,1.18166,0.575626202099,1,-442.282,3.20551151251,-408.796734838,4.81012e-05,-408.796734838,100,1.63820132847e-13,500.0,5.55556e-05,0.6,50000,-408.796734838,34.0452,6.0657e-12,0.00198192,3.20551151251,-73572.1,1.00422,6.53716e-05,25.8142,100
0.861921,1.19856,0.585797898249,1,-442.708,4.16862496956,-409.229648463,4.77662e-05,-409.229648463,100,1.60836140215e-13,500.0,5.55555e-05,0.6,50000,-409.229648463,34.0636,7.85529e-12,0.00255774,4.16862496956,-73646.7,1.00248,6.64221e-05,29.8175,100
0.937987,1.18669,0.570042162446,1,-443.12,0.611377568823,-409.579025828,5.22976e-05,-409.579025828,100,1.60652179706e-13,500.0,5.55556e-05,0.6,50000,-409.579025828,34.0647,8.90167e-13,0.000286353,0.611377568823,-73722.6,0.996421,6.61639e-05,10.8197,100
0.885592,1.19692,0.59547348708,1,-442.384,3.24506618999,-408.920954596,4.90257e-05,-408.920954596,100,1.59609473486e-13,500.0,5.55556e-05,0.6,50000,-408.920954596,34.0712,5.6636e-12,0.00184804,3.24506618999,-73595.2,1.00355,6.62605e-05,25.623,100
0.877642,1.1807,0.580601772998,1,-442.392,3.53440766931,-408.940718883,4.86501e-05,-408.940718883,100,1.60221940565e-13,500.0,5.55556e-05,0.6,50000,-408.940718883,34.0674,6.13049e-12,0.00199509,3.53440766931,-73597.9,1.00222,6.54494e-05,27.1272,100
0.865808,1.22619,0.583024794057,1,-442.432,3.71540562586,-408.931173014,4.78111e-05,-408.931173014,100,1.59211156241e-13,500.0,5.55556e-05,0.6,50000,-408.931173014,34.0737,6.86476e-12,0.00225118,3.71540562586,-73595.0,1.00605,6.77117e-05,27.5744,100
0.944691,1.0633,0.571671311679,1,-443.281,0.48869591047,-409.740860962,5.25556e-05,-409.740860962,100,1.60497209546e-13,500.0,5.55556e-05,0.6,50000,-409.740860962,34.0657,8.06476e-13,0.000260575,0.48869591047,-73751.8,0.998616,5.91543e-05,9.35237,100
0.84746,1.18412,0.591276048813,1,-442.744,3.69056128441,-409.271151899,4.71238e-05,-409.271151899,100,1.61180096759e-13,500.0,5.55556e-05,0.6,50000,-409.271151899,34.0614,6.71446e-12,0.00217155,3.69056128441,-73656.3,0.999095,6.5844e-05,27.89,100
0.769686,1.35455,0.599579235457,1,-441.753,6.73609497587,-408.34481479,4.25034e-05,-408.34481479,100,1.60785846961e-13,500.0,5.55556e-05,0.6,50000,-408.34481479,34.0639,1.23021e-11,0.00403421,6.73609497587,-73479.4,1.00605,7.48005e-05,36.8003,100
0.946172,1.06766,0.574952373706,1,-443.132,0.604676265097,-409.587683269,5.26375e-05,-409.587683269,100,1.60104018608e-13,500.0,5.55556e-05,0.6,50000,-409.587683269,34.0681,1.02381e-12,0.000330801,0.604676265097,-73723.8,0.998624,5.93963e-05,10.3826,100
0.809776,1.19842,0.588512562069,1,-441.921,5.85551765849,-408.476946088,4.48115e-05,-408.476946088,100,1.6004967806e-13,500.0,5.55556e-05,0.6,50000,-408.476946088,34.0685,1.02051e-11,0.00333248,5.85551765849,-73506.6,1.00393,6.63185e-05,34.1595,100
0.801466,1.23645,0.588952525471,1,-441.829,5.93725382431,-408.415459858,4.42467e-05,-408.415459858,100,1.60895046555e-13,500.0,5.55556e-05,0.6,50000,-408.415459858,34.0632,1.09429e-11,0.00359039,5.93725382431,-73494.7,1.00631,6.8261e-05,34.4977,100
0.909548,1.09455,0.56327780096,1,-442.968,0.531715863716,-409.411374549,5.04203e-05,-409.411374549,100,1.60735550475e-13,500.0,5.55556e-05,0.6,50000,-409.411374549,34.0642,8.28996e-13,0.000269769,0.531715863716,-73692.4,1.00218,6.06756e-05,9.72949,100
0.850634,1.25904,0.583518870645,1,-442.672,4.31119531692,-409.180648704,4.72983e-05,-409.180648704,100,1.58778709603e-13,500.0,5.55556e-05,0.6,50000,-409.180648704,34.0764,7.21237e-12,0.00233277,4.31119531692,-73638.6,0.999136,7.00074e-05,29.8848,100
0.972433,1.05544,0.561718301384,1,-443.739,0.160444019734,-410.203584512,5.41694e-05,-410.203584512,100,1.57879999931e-13,500.0,5.55556e-05,0.6,50000,-410.203584512,34.0821,2.45125e-13,7.89949e-05,0.160444019734,-73836.2,0.997318,5.87931e-05,5.36868,100
0.936793,1.09102,0.57646337002,1,-443.371,0.694377209213,-409.835688239,5.22202e-05,-409.835688239,100,1.56872624658e-13,500.0,5.55556e-05,0.6,50000,-409.835688239,34.0885,1.16399e-12,0.000374593,0.694377209213,-73768.2,0.996627,6.08173e-05,11.2247,100
0.828375,1.26854,0.582262732978,1,-442.377,4.04259536885,-408.924330274,4.62669e-05,-408.924330274,100,1.56760156755e-13,500.0,5.55556e-05,0.6,50000,-408.924330274,34.0892,7.09045e-12,0.00227293,4.04259536885,-73593.0,0.994681,7.08511e-05,28.9154,100
0.885475,1.17608,0.585037020788,1,-442.38,3.36687745499,-408.909184346,4.89281e-05,-408.909184346,100,1.55484477377e-13,500.0,5.55556e-05,0.6,50000,-408.909184346,34.0974,5.94049e-12,0.00194562,3.36687745499,-73592.5,1.00542,6.49858e-05,26.4166,100
0.939031,1.07209,0.563135525978,1,-443.15,0.580087717726,-409.629085431,5.2159e-05,-409.629085431,100,1.56601770911e-13,500.0,5.55556e-05,0.6,50000,-409.629085431,34.0902,9.54439e-13,0.00030935,0.580087717726,-73731.4,1.00018,5.95499e-05,10.2301,100
0.936743,1.04829,0.561919063067,1,-442.566,0.230307391547,-409.037160399,5.20111e-05,-409.037160399,100,1.5819287319e-13,500.0,5.55556e-05,0.6,50000,-409.037160399,34.0801,3.29599e-13,0.000106914,0.230307391547,-73626.0,1.00058,5.82048e-05,6.3751,100
0.960023,1.06401,0.565268409764,1,-443.34,0.385331767153,-409.787628068,5.32671e-05,-409.787628068,100,1.58031228502e-13,500.0,5.55556e-05,0.6,50000,-409.787628068,34.0812,6.22392e-13,0.000202166,0.385331767153,-73760.6,1.00127,5.9037e-05,8.28811,100
0.842443,1.18099,0.575712390286,1,-442.31,3.71923874506,-408.821893205,4.66557e-05,-408.821893205,100,1.5710798333e-13,500.0,5.55556e-05,0.6,50000,-408.821893205,34.087,6.59567e-12,0.00215045,3.71923874506,-73575.5,1.00314,6.54048e-05,27.776,100
0.926853,1.20814,0.565467708264,1,-443.163,0.595417209588,-409.616863981,5.15753e-05,-409.616863981,100,1.54482373471e-13,500.0,5.55555e-05,0.6,50000,-409.616863981,34.1039,7.778e-13,0.000251193,0.595417209588,-73729.5,0.998383,6.72277e-05,10.9179,100
0.948693,1.08511,0.56897090548,1,-443.111,0.477326437705,-409.582425953,5.2686e-05,-409.582425953,100,1.54823950769e-13,500.0,5.55556e-05,0.6,50000,-409.582425953,34.1017,7.92432e-13,0.000256936,0.477326437705,-73723.3,1.00037,6.02618e-05,9.20515,100
0.864946,1.20187,0.610552924812,1,-442.322,4.06507800862,-408.839264915,4.82431e-05,-408.839264915,100,1.54165647016e-13,500.0,5.55556e-05,0.6,50000,-408.839264915,34.1059,6.89389e-12,0.00221601,4.06507800862,-73578.0,0.99605,6.70353e-05,28.8446,100
0.827342,1.21085,0.593587378796,1,-441.757,6.57587350188,-408.311672067,4.55682e-05,-408.311672067,100,1.57795704308e-13,500.0,5.55556e-05,0.6,50000,-408.311672067,34.0826,1.16689e-11,0.0038466,6.57587350188,-73474.5,1.00867,6.66911e-05,36.2661,100
0.866225,1.20937,0.608072834506,1,-442.578,4.07004686179,-409.095560277,4.8058e-05,-409.095560277,100,1.60798113671e-13,500.0,5.55556e-05,0.6,50000,-409.095560277,34.0638,7.48104e-12,0.00243048,4.07004686179,-73623.5,1.00136,6.70958e-05,29.0567,100
0.955759,1.0731,0.562418712122,1,-443.205,0.24162577154,-409.669873888,5.32116e-05,-409.669873888,100,1.6273326453e-13,500.0,5.55556e-05,0.6,50000,-409.669873888,34.0518,3.60834e-13,0.00011641,0.24162577154,-73739.9,0.997859,5.97448e-05,6.58575,100
0.928581,1.17685,0.57176574527,1,-443.001,0.834832236901,-409.445002852,5.17334e-05,-409.445002852,100,1.61694315801e-13,500.0,5.55556e-05,0.6,50000,-409.445002852,34.0582,1.27362e-12,0.000410332,0.834832236901,-73697.7,0.997185,6.55651e-05,12.4243,100
0.929024,1.19161,0.571996676264,1,-443.025,0.985336238969,-409.488814765,5.18648e-05,-409.488814765,100,1.61475484772e-13,500.0,5.55556e-05,0.6,50000,-409.488814765,34.0596,1.54955e-12,0.000497181,0.985336238969,-73705.1,0.995134,6.65245e-05,13.6137,100
0.897119,1.23651,0.568269640888,1,-442.804,0.948596733277,-409.267859519,5.00167e-05,-409.267859519,100,1.61189319994e-13,500.0,5.55556e-05,0.6,50000,-409.267859519,34.0614,1.37558e-12,0.000442544,0.948596733277,-73665.6,0.996466,6.89388e-05,13.7269,100
0.935607,1.06343,0.567620744864,1,-443.099,0.628160362141,-409.559754308,5.20672e-05,-409.559754308,100,1.63287942025e-13,500.0,5.55556e-05,0.6,50000,-409.559754308,34.0484,1.03755e-12,0.000335016,0.628160362141,-73718.8,0.998289,5.91806e-05,10.503,100
0.861831,1.20463,0.603715267221,1,-442.991,3.71406246471,-409.491138801,4.78149e-05,-409.491138801,100,1.63345256175e-13,500.0,5.55555e-05,0.6,50000,-409.491138801,34.0481,6.5432e-12,0.00212573,3.71406246471,-73696.2,1.00135,6.68335e-05,27.7817,100
