EpisodesSoFar,InitialReturnStd,StdD2w0t,EpThisIter,MaxIW,J_sample_variance,MeanD2w0t,EmpiricalD2,StdIW,InitialBound,TimeElapsed,MeanEntropy,InitialReturnMin,EpLenMean,MinIW,Iteration,ReturnStepMax,InitialReturnMean,ReturnMeanIW,ReturnStepMaxmin,MaxD2w0t,TimestepsSoFar,Bound,Weights,InitialReturnMax,EpRewMean,MinD2w0t,MeanIW
2100,26.1138,2.8157747,100,7.6659884,676012.0,0.103116736,37.346954,1.0302169,-857.407,100.04151225090027,-0.30761528,-51.81296,7.39,0.00019683008,21,8.642054,-1.5258789e-07,-427.1465,7.284108,296.9805,12083,-630.78735,[-1.427  1.453 -0.152 -0.506 -1.564],111.93695,63.864779683476016,,0.5483177
2200,32.497242,1.3600055,100,10.886515,485530.47,0.07163629,14.2101345,0.8579922,-861.549,105.91917061805725,-0.47355235,-63.968338,8.71,4.3337775e-05,22,8.846922,2.670288e-06,-414.83948,7.6938457,137.32953,12954,-594.1564,[-1.231  1.616 -0.11  -0.803 -1.727],65.93713,77.0566754246712,,0.5277814
2300,31.9016,0.19565806,100,4.13946,391187.12,0.026839087,1.6685466,0.75560075,-878.2733,111.99928426742554,-0.6562643,-73.401825,9.73,0.031606164,23,8.967374,-4.043579e-06,-713.32605,7.9347486,3.8902328,13927,-814.46423,[-1.498  1.74  -0.455 -0.953 -1.892],146.51309,87.252539729111,,0.88453406
2400,32.83467,0.4142667,100,9.122361,454527.97,0.04148885,3.94357,0.829908,-874.61206,117.2227189540863,-0.8743743,-71.074036,9.48,0.00021374976,24,8.940506,5.340576e-07,-587.3825,7.881013,23.759422,14875,-714.96594,[-1.489  1.723 -0.45  -0.946 -2.075],125.30527,84.75600699501535,,0.73590523
2500,32.642044,0.9069984,100,7.3627553,548124.06,0.050784066,11.616261,0.9021341,-877.699,123.44095206260681,-0.9412468,-75.20361,9.93,0.0010163765,25,8.988207,3.0517579e-06,-514.5682,7.9764137,126.964355,15868,-689.944,[-1.431  1.571 -0.369 -0.84  -2.293],136.89926,89.25288708064383,,0.6459427
2600,30.393734,0.23917747,100,6.3388004,623588.7,0.029663524,3.1842556,0.9685421,-873.59314,129.06683135032654,-0.99755096,-77.771385,10.2,0.0020640397,26,9.015049,3.2043456e-06,-680.1008,8.030098,12.874631,16888,-778.1602,[-1.442  1.613 -0.411 -0.929 -2.36 ],102.452866,91.95349496668588,,0.846035
2700,31.179049,0.6519381,100,6.861225,426818.78,0.04322881,8.527195,0.77778316,-877.1428,135.15379166603088,-1.0224925,-79.12137,10.35,0.004828649,27,9.029331,-6.3323973e-06,-559.31635,8.058662,60.298836,17923,-700.07245,[-1.475  1.655 -0.463 -0.997 -2.416],125.176735,93.45356699034728,,0.6933961
2800,34.0474,2.1443894,100,11.19428,654407.56,0.06898056,19.457108,0.9893806,-876.2699,139.93709921836853,-1.0390258,-81.20096,10.59,0.0020212722,28,9.050794,2.1362305e-06,-561.7813,8.101588,378.19666,18982,-722.30884,[-1.48   1.668 -0.461 -0.962 -2.441],115.15561,95.84789861698026,,0.7062679
2900,32.352398,0.8606643,100,12.455431,582083.44,0.05260156,11.514499,0.95030373,-876.2296,144.68013215065002,-1.0503024,-86.2629,11.14,0.0057901833,29,9.097781,2.1362305e-06,-583.6809,8.195562,118.3377,20096,-737.39734,[-1.475  1.624 -0.45  -0.972 -2.458],110.066864,101.34928466752721,,0.7389506
3000,34.27824,0.17430645,100,7.2718105,567516.75,0.02560399,1.7521096,0.92347306,-876.29126,149.22492027282715,-1.0546948,-86.27999,11.15,0.106723696,30,9.098485,2.4414062e-06,-737.28723,8.196973,4.1236973,21211,-816.3043,[-1.489  1.632 -0.465 -1.024 -2.469],110.09699,101.44811271313638,,0.919555
3100,35.042355,1.170287,100,10.774298,606773.8,0.06041259,13.787423,0.94730127,-878.289,153.9649612903595,-1.0840956,-88.86153,11.44,0.00044862856,31,9.121217,2.0599366e-06,-500.43292,8.242434,135.46849,22355,-645.027,[-1.496  1.629 -0.475 -1.044 -2.474],123.304665,104.3467131959628,,0.63022256
3200,39.94392,0.4288077,100,7.386538,686035.1,0.043723945,5.783972,1.0651388,-883.5087,160.27153968811035,-1.1567037,-88.11748,12.48,0.00317459,32,9.194234,-9.9182125e-06,-641.0939,8.38847,28.545568,23603,-778.52985,[-1.492  1.59  -0.459 -1.054 -2.503],166.9563,114.74406258171256,,0.8158712
3300,30.53954,0.17976324,100,4.051147,243622.73,0.02757187,1.442415,0.59477496,-871.95544,166.91912722587585,-1.1846735,-82.77,11.84,0.041574877,33,9.1508045,-2.2125244e-06,-765.1197,8.301611,2.6400156,24787,-838.68494,[-1.494  1.559 -0.46  -1.064 -2.576],79.43091,108.34552461116508,,0.9486716
3400,40.766964,0.95104504,100,9.095488,774528.25,0.059598595,11.130973,1.0573672,-880.7348,172.44180297851562,-1.1645765,-98.70693,12.56,0.0008621336,34,9.199345,5.1879883e-06,-560.0915,8.39869,98.758606,26043,-706.90625,[-1.471  1.498 -0.458 -0.999 -2.604],144.09503,115.54377373155141,,0.70161146
3500,41.360504,0.1902644,100,6.9208245,464355.88,0.031486932,1.683984,0.79960006,-876.28455,179.24092364311218,-1.1507468,-52.4718,13.88,0.06632296,35,9.275258,-1.9836425e-06,-755.8887,8.550517,3.4168196,27431,-840.8252,[-1.488  1.522 -0.492 -1.054 -2.584],124.862946,128.7405657355975,,0.9383798
3600,44.427402,0.9333017,100,9.886256,260726.58,0.072774835,9.248713,0.6493736,-876.4908,183.96039867401123,-1.0816891,-52.218025,13.87,0.021008704,36,9.274849,1.0681152e-06,-564.05817,8.549698,87.66282,28818,-712.2801,[-1.484  1.532 -0.49  -1.045 -2.57 ],125.110245,128.642143341879,,0.72271055
3700,31.773693,0.8963735,100,4.520647,305310.8,0.064320765,9.1621685,0.6532529,-872.13635,189.2297477722168,-1.047737,-92.93858,12.98,0.0142180845,37,9.225128,2.2125244e-06,-559.4917,8.450256,77.74985,30116,-694.4781,[-1.461  1.468 -0.394 -1.017 -2.501],85.51895,119.74216574615268,,0.69643766
3800,40.34557,0.2998998,100,4.976619,280244.0,0.041713398,2.8836648,0.63763493,-878.89386,194.83259320259094,-0.9848232,-102.37389,12.97,0.095762804,38,9.225025,-1.2130738e-05,-611.27057,8.450051,13.488023,31413,-735.3978,[-1.483  1.552 -0.458 -1.059 -2.467],132.81798,119.64857566233762,,0.76166826
3900,35.411533,0.1704357,100,2.7920613,204198.42,0.027297305,1.3498645,0.5454805,-882.08905,201.1356339454651,-0.99312377,-41.896828,12.66,0.17743511,39,9.205661,-8.163453e-06,-787.2996,8.411324,2.1054833,32679,-869.756,[-1.431  1.489 -0.369 -0.996 -2.404],157.83221,116.54366105103146,,0.97843796
4000,36.0517,0.37681168,100,8.519347,976219.7,0.040640067,5.41631,1.2314205,-879.9765,206.04374313354492,-0.9775366,-48.780724,12.38,0.011543682,40,9.187645,6.408691e-06,-656.7681,8.375291,22.165245,33917,-774.3425,[-1.43   1.494 -0.348 -1.02  -2.412],137.92577,113.7430433335341,,0.82922876
4100,49.845345,0.16507705,100,1.0773605,2638.0503,0.028028842,1.0004928,0.021060245,-879.9155,211.88356351852417,-0.9750976,-111.05156,14.01,0.9503802,41,9.281933,-5.569458e-06,-799.7034,8.5638685,1.0010448,35318,-878.5724,[-1.445  1.482 -0.367 -1.049 -2.396],153.91061,130.03988724928888,,0.99843085
4200,42.962437,0.6854358,100,14.094859,584983.9,0.06205041,8.742094,0.9438543,-880.7522,216.84973812103271,-0.89741904,-54.656235,14.14,0.05397445,42,9.28872,9.918213e-07,-664.4042,8.57744,73.44963,36732,-809.0917,[-1.442  1.486 -0.362 -1.053 -2.394],166.83008,131.34250399910493,,0.8434641
4300,35.076797,0.3142722,100,4.942311,269298.72,0.04376163,3.6056678,0.632624,-873.6485,222.4180977344513,-0.8116811,-98.842026,13.66,0.06789068,43,9.26329,1.3732911e-06,-610.68695,8.526584,15.188566,38098,-728.09644,[-1.446  1.497 -0.31  -1.108 -2.316],103.35749,126.5365665270819,,0.7679225
4400,49.84372,0.93122953,100,5.9696026,631886.06,0.07247272,12.366942,0.9684621,-878.1024,229.37000370025635,-0.81253755,-49.451767,15.71,0.0015622891,44,9.359349,1.2207031e-06,-624.7655,8.718699,95.499695,39669,-788.0198,[-1.436  1.461 -0.29  -1.107 -2.231],181.56691,147.0353884625347,,0.7929119
4500,53.620003,0.19762315,100,3.608768,95815.93,0.03713665,1.2194564,0.38805777,-870.6843,235.66337060928345,-0.81982344,-128.68001,17.21,0.3223967,45,9.414761,2.2888183e-07,-740.98444,8.829521,1.658104,41390,-829.7062,[-1.45   1.443 -0.312 -1.148 -2.232],161.95868,162.02801716324578,,0.94584554
4600,56.252983,0.68540996,100,6.4231963,515714.44,0.07212483,9.309338,0.8806165,-869.95087,241.9307382106781,-0.77519697,-135.9011,16.92,0.0128705045,46,9.404639,4.119873e-06,-541.47815,8.8092785,41.675423,43082,-695.0315,[-1.42   1.412 -0.255 -1.134 -2.239],143.50528,159.12650028315883,,0.7043938
4700,63.116222,0.22121425,100,2.4884498,195341.1,0.043357592,1.4657831,0.5420556,-868.69855,248.46084260940552,-0.8367611,-151.11467,18.78,0.06399282,47,9.463509,-5.7983398e-06,-673.7618,8.927017,1.9930317,44960,-774.6258,[-1.417  1.396 -0.256 -1.171 -2.194],202.65886,177.72470262799058,,0.8629341
4800,53.607018,0.40653878,100,12.766807,1043069.06,0.05769408,5.1922436,1.3370188,-868.2855,255.66306400299072,-0.82955295,-57.11705,17.7,0.015544377,48,9.430615,-1.0681152e-06,-577.0095,8.861233,20.082697,46730,-700.1697,[-1.36   1.406 -0.221 -1.17  -2.256],157.85191,166.9218769040303,,0.7573942
4900,60.58851,0.6290823,100,11.209342,872524.94,0.0774305,7.5295954,1.1458626,-866.5516,262.02134013175964,-0.8985799,-151.41301,18.79,0.0025352144,49,9.4634905,7.705688e-06,-629.22473,8.926981,53.992767,48609,-787.97534,[-1.375  1.384 -0.229 -1.194 -2.248],182.8941,177.8189560756217,,0.8180911
5000,86.237656,0.22205642,100,1.9400556,90363.92,0.04800677,1.1354822,0.34076476,-858.52747,269.2860338687897,-0.94528013,-168.53171,22.39,0.26081812,50,9.5490885,-6.4849855e-06,-697.5967,9.098178,1.3496491,50848,-801.9461,[-1.355  1.309 -0.256 -1.172 -2.318],269.8101,213.80409186270404,,0.9092719
5100,80.04061,1.0030453,100,6.5000334,678332.7,0.10908312,13.578944,0.971614,-856.65643,276.6462597846985,-0.95621943,-172.91481,21.59,0.0006152997,51,9.532399,1.0375977e-05,-497.69437,9.064799,57.125572,53007,-664.94666,[-1.347  1.299 -0.247 -1.157 -2.364],205.94678,205.80444144734324,,0.63506263
5200,61.446686,0.2167155,100,2.8004425,146207.56,0.043605216,1.3417615,0.48250198,-861.14075,283.6926507949829,-0.94335085,-73.27605,19.69,0.18879938,52,9.487964,1.7852783e-05,-706.2116,8.975927,1.7981946,54976,-800.22504,[-1.335  1.315 -0.236 -1.122 -2.375],168.84563,186.81802349611772,,0.9190856
5300,69.825516,0.3081517,100,12.488824,867607.94,0.057504047,3.0898974,1.3576244,-862.9453,291.2784812450409,-0.99173,-144.70035,20.45,0.008902415,53,9.506873,4.4250487e-06,-617.1438,9.013747,9.062968,57021,-741.5655,[-1.363  1.344 -0.281 -1.158 -2.362],220.53592,194.41554293717476,,0.8337525
5400,75.716194,0.5582914,100,6.7769766,419732.88,0.07115996,4.859763,0.8708968,-857.9686,299.1155083179474,-0.9921553,-158.71385,21.02,0.022815907,54,9.520149,-3.1280517e-06,-602.36084,9.040298,41.96804,59123,-747.6344,[-1.369  1.324 -0.285 -1.173 -2.411],191.47649,200.11352498614596,,0.8099825
5500,83.62427,1.68224,100,7.4041286,631189.7,0.16676396,22.796423,1.0142707,-846.13464,306.585294008255,-1.0538609,-101.30288,24.53,0.0007174672,55,9.588336,1.3732911e-06,-414.36807,9.176672,109.14138,61576,-655.634,[-1.396  1.234 -0.245 -1.113 -2.411],263.1634,235.20183235747197,,0.56202227
5600,64.76165,0.20091279,100,2.4317853,86824.17,0.04040814,1.1291922,0.37408862,-870.36035,313.64224338531494,-1.0662862,-146.78618,19.47,0.14866753,56,9.481945,-1.1444092e-06,-730.4138,8.96389,1.2439846,63523,-827.91095,[-1.338  1.25  -0.215 -1.08  -2.473],257.94214,184.6134684488681,,0.9480287
5700,66.56621,1.5416273,100,8.053154,504174.03,0.11781357,17.809406,0.88252753,-861.1907,320.90356731414795,-1.0506598,-164.39467,20.41,0.007853103,57,9.505923,-2.7465821e-06,-547.0771,9.011847,142.28218,65564,-721.7717,[-1.36   1.258 -0.234 -1.093 -2.485],202.04102,194.01589335316004,,0.7077909
5800,65.57066,0.55224824,100,8.739443,709715.3,0.07256878,6.158949,1.0281535,-865.10376,327.36032032966614,-1.0506363,-84.55371,20.0,0.005756556,58,9.495943,-8.544922e-06,-628.18085,8.991887,27.714493,67564,-767.45996,[-1.373  1.255 -0.233 -1.039 -2.47 ],223.94383,189.91885997321128,,0.81880045
5900,73.4822,0.21140037,100,5.8727508,262283.97,0.043558322,1.2824643,0.6194591,-862.93353,334.6806480884552,-1.0390987,-154.61382,20.5,0.2326727,59,9.507936,1.663208e-05,-731.929,9.015871,1.713649,69614,-829.3004,[-1.331  1.222 -0.196 -1.049 -2.47 ],220.45786,194.91265754237347,,0.94542825
6000,51.853355,1.1488078,100,6.258716,412231.12,0.10421184,15.158504,0.7689195,-859.4714,341.1362910270691,-1.0011264,-71.136665,19.35,0.003171877,60,9.478836,-1.6784668e-06,-557.778,8.957672,101.953514,71549,-733.92773,[-1.321  1.236 -0.188 -1.05  -2.458],143.7908,183.41547862154508,,0.7160097
6100,60.546375,0.66172934,100,5.3696227,585765.1,0.07206123,8.010412,0.91818976,-867.4884,347.86846113204956,-0.9531565,-115.02603,17.96,0.06830146,61,9.43902,7.095337e-06,-643.3871,8.878042,58.796867,73345,-783.5099,[-1.314  1.262 -0.195 -1.029 -2.42 ],156.13425,169.52478000379207,,0.8123715
6200,51.862545,0.78533816,100,10.46833,340558.53,0.07698108,9.310047,0.7050487,-870.47253,353.3301115036011,-0.9995198,-124.854774,16.75,0.0012053591,62,9.398741,-4.119873e-06,-524.3073,8.797482,50.356464,75020,-705.87427,[-1.334  1.276 -0.201 -0.998 -2.372],144.61577,157.42888246529867,,0.6681584
6300,48.881153,0.433713,100,9.981992,822485.56,0.051876504,5.8378515,1.1968198,-875.41534,359.70604252815247,-0.9960957,-119.70583,14.99,0.018325992,63,9.328413,-2.1362305e-06,-678.61975,8.656827,29.586245,76519,-810.49194,[-1.388  1.284 -0.282 -0.948 -2.418],137.91628,139.83291494912555,,0.8726761
6400,55.460484,1.0976654,100,5.6900687,577569.3,0.082416445,13.613142,0.93531054,-876.0398,365.83611822128296,-1.0312592,-121.64995,16.41,0.0006409066,64,9.386174,5.7983398e-06,-491.8644,8.772349,101.914,78160,-664.78467,[-1.388  1.253 -0.271 -0.961 -2.415],182.68906,154.02710919396952,,0.6278762
6500,46.09798,0.51724195,100,5.315427,531151.7,0.053103708,6.8735676,0.88852763,-878.74164,372.10010719299316,-1.0132211,-117.587875,14.73,0.016926859,65,9.316484,-4.577637e-06,-594.7133,8.63297,41.238018,79633,-740.58264,[-1.388  1.269 -0.269 -0.924 -2.45 ],161.77066,137.23180788968236,,0.7547038
6600,48.938225,0.41424188,100,3.661211,266557.53,0.0631421,4.290429,0.63284105,-873.1106,378.4027900695801,-0.90234107,-53.19307,16.14,0.06433845,66,9.375936,3.967285e-06,-612.8237,8.751873,19.15774,81247,-760.638,[-1.392  1.248 -0.271 -0.944 -2.432],149.7319,151.32757804286436,,0.7728622
6700,60.314743,1.0053071,100,43.013424,659749.7,0.09140414,11.811894,1.0460612,-878.0866,385.0295100212097,-1.0594552,-109.61113,16.19,8.8062825e-06,67,9.3779335,-5.4931643e-06,-524.9213,8.755867,90.345535,82866,-738.79065,[-1.377  1.214 -0.22  -0.892 -2.321],191.70673,151.82877153696197,,0.6685411
6800,49.02434,0.36797723,100,6.661271,788683.7,0.047533993,4.6901555,1.0737052,-884.6435,390.8105299472809,-1.1333295,-114.247086,14.37,0.0056626173,68,9.299823,-5.1879883e-06,-661.6943,8.599647,21.004192,84303,-801.5021,[-1.391  1.26  -0.199 -0.886 -2.478],206.69963,133.63846398531572,,0.82904494
6900,51.03416,1.6848532,100,9.954309,941523.06,0.09206203,19.095549,1.2016228,-876.6368,397.9259543418884,-1.1561116,-112.80733,15.35,0.007125264,69,9.344217,-2.9754638e-06,-542.4294,8.688435,220.90521,85838,-704.6531,[-1.368  1.247 -0.183 -0.917 -2.552],156.7452,143.4337167152881,,0.6967972
7000,54.521088,0.18184315,100,1.5129536,29915.027,0.03326425,1.0608062,0.2018529,-874.77844,404.3920798301697,-1.1771373,-110.13052,16.2,0.49150494,70,9.378526,-1.0299683e-05,-758.72095,8.757053,1.149006,87458,-843.3746,[-1.376  1.205 -0.173 -0.922 -2.575],163.73311,151.93209088599878,,0.9575133
7100,50.48875,0.99607134,100,5.8532476,399681.9,0.07316614,12.639865,0.77765715,-880.2222,410.29909563064575,-1.1689539,-114.382774,15.53,0.0023505357,71,9.351414,1.1444092e-06,-512.9257,8.702827,120.86243,89011,-683.04083,[-1.361  1.194 -0.152 -0.912 -2.596],196.71573,145.22745297028027,,0.6565633
7200,57.43899,1.4352766,100,10.686317,649722.7,0.1200794,19.091284,1.0112026,-874.2992,417.1573700904846,-1.3037357,-131.75914,17.61,4.18907e-06,72,9.427957,3.8146973e-07,-422.66443,8.855913,119.34667,90772,-648.70386,[-1.388  1.192 -0.185 -0.947 -2.588],212.13045,166.02629055910384,,0.5589393
7300,62.346855,1.2195902,100,8.545928,656026.0,0.10271959,15.804516,1.0789222,-872.4088,424.16628193855286,-1.321874,-147.77705,18.38,0.0041678804,73,9.451284,7.476807e-06,-560.13336,8.902569,82.344925,92610,-758.0696,[-1.473  1.154 -0.199 -0.945 -2.723],224.84607,173.7145563174234,,0.7467595
7400,59.063766,0.20435092,100,1.6949936,18150.438,0.04283831,1.032384,0.1578994,-853.2426,430.8443009853363,-1.300318,-75.6882,21.05,0.6983425,74,9.5204735,-1.1901855e-05,-748.41266,9.040947,1.1128674,94715,-837.36096,[-1.473  1.126 -0.185 -0.955 -2.741],157.36353,200.40594876092476,,0.9778536
7500,70.690994,0.5903601,100,8.71647,776569.9,0.079935625,7.350354,1.1072627,-852.92035,437.63728976249695,-1.3008116,-166.43068,21.91,0.0019620038,75,9.539424,-2.1438598e-05,-610.6072,9.078848,44.42991,96906,-756.5443,[-1.468  1.138 -0.186 -0.969 -2.719],190.12476,209.00876407990572,,0.80322576
7600,63.017967,0.3575776,100,11.019767,944639.2,0.06063502,4.1622014,1.2381213,-856.3157,444.81745409965515,-1.30313,-165.02596,20.45,0.011522779,76,9.506772,-1.411438e-05,-644.3544,9.013544,13.122633,98951,-766.76843,[-1.463  1.133 -0.168 -0.932 -2.72 ],155.90482,194.41346034210423,,0.84757936
7700,69.1836,0.44148645,100,15.050289,1627723.6,0.07155607,5.2109284,1.6292584,-859.45996,451.2968578338623,-1.3111554,-173.50922,21.56,0.013939419,77,9.532075,-1.6174316e-05,-664.46173,9.06415,21.948124,101107,-803.1529,[-1.461  1.126 -0.169 -0.953 -2.722],246.82321,205.5115011822778,,0.8817026
7800,78.97927,0.20857099,100,1.4448252,27368.059,0.044391386,1.0483668,0.19833675,-866.8439,458.0822992324829,-1.3194568,-164.01485,21.75,0.17784059,78,9.535574,1.3656616e-05,-738.75543,9.071148,2.3300128,103282,-846.9225,[-1.439  1.144 -0.183 -1.005 -2.73 ],354.80212,207.3986812401212,,0.9667335
7900,69.558655,1.4922776,100,12.528835,496000.38,0.1256397,18.873865,0.8873078,-857.22076,464.86227107048035,-1.3325576,-76.43622,21.26,0.004794967,79,9.52522,7.3242186e-06,-414.39847,9.05044,123.61325,105408,-600.3584,[-1.441  1.135 -0.164 -0.994 -2.739],201.65219,202.5061476691752,,0.5544546
8000,63.67296,1.1576983,100,14.308618,1813412.0,0.10186688,14.955231,1.6071633,-862.3943,471.2557852268219,-1.3441964,-147.0479,19.48,0.0005497894,80,9.481993,-5.645752e-06,-573.4347,8.963985,88.02019,107356,-734.7704,[-1.428  1.148 -0.153 -0.971 -2.752],170.74762,184.7092020567933,,0.73542625
8100,68.50184,0.99314255,100,7.074844,532140.06,0.093678944,12.911361,0.9069611,-862.5087,477.8454113006592,-1.336297,-144.51491,20.41,0.0068845595,81,9.506005,-1.15966795e-05,-492.29437,9.012011,97.33256,109397,-658.37317,[-1.416  1.167 -0.149 -0.955 -2.763],214.65527,194.0175536311851,,0.6564409
