Iteration,InitialReturnMean,InitialReturnStd,TimestepsSoFar,MeanD2w0t,EpThisIter,StdIW,EntropyCoefficient,EmpiricalD2,MaxIW,TimeElapsed,ReturnStepMaxmin,MinD2w0t,Weights,ReturnStepMax,EpisodesSoFar,EpLenMean,J_sample_variance,InitialReturnMin,MeanEntropy,MeanIW,EpRewMean,StdD2w0t,MaxD2w0t,InitialReturnMax,ReturnMeanIW,MinIW,Bound,InitialBound
33,-8.201599e-07,13.8628435,15819,0.02547206,100,0.76631397,10.0,7.4803343,5.7279263,226.19612646102905,6.0614557,,[-1.512  0.611 -1.231  1.765 -2.192],9.999974,3300,5.09,350253.56,-30.16511,-0.78046864,0.7820825,40.87633915988845,0.5375641,43.216793,37.08283,-591.3862,0.005158576,-710.3064,-815.02893
34,-1.4495849e-06,15.523046,16306,0.019230071,100,0.6751652,10.0,4.8897743,3.4618506,232.4210910797119,5.8833256,,[-1.518  0.633 -1.229  1.806 -2.199],9.999998,3400,4.87,270287.84,-28.017311,-0.780324,0.8222326,38.675891877107304,0.3396864,27.008913,57.5191,-617.09467,0.011525203,-726.0917,-813.1144
35,1.6784668e-06,11.779199,16777,0.013742175,100,1.164571,10.0,2.7361915,10.977465,239.286856174469,5.744275,,[-1.517  0.618 -1.228  1.765 -2.199],9.999991,3500,4.71,766029.8,-26.522655,-0.7990258,0.84080094,37.07774798606727,0.17058046,8.942176,40.7188,-624.3251,0.013038708,-703.25433,-802.98926
36,1.4877319e-06,11.828815,17257,0.04613114,100,1.2277331,10.0,9.831097,9.465885,246.1349802017212,5.823838,,[-1.536  0.624 -1.271  1.719 -2.218],9.999972,3600,4.8,875340.2,-27.393448,-1.4325056,0.5258181,37.977143967996156,0.7128329,66.88673,39.848827,-389.70813,4.2332353e-11,-604.1902,-806.25745
37,-4.959106e-07,11.663474,17758,0.017860977,100,1.0267998,10.0,4.1495676,5.909348,254.31488585472107,5.9995213,,[-1.753  0.401 -1.506  1.874 -2.851],9.999998,3700,5.01,615285.06,-29.42159,-1.4584247,0.8722936,40.07879853369364,0.26239324,18.283329,37.77007,-657.18414,0.017552823,-758.3349,-819.28754
38,-1.7738342e-06,12.249184,18257,0.010323283,100,0.3414668,10.0,1.1103016,1.8569633,261.1789963245392,5.983386,,[-1.758  0.401 -1.508  1.901 -2.877],9.999991,3800,4.99,68313.84,-19.336044,-1.4927421,0.9608314,39.87852993531795,0.10291931,1.219528,47.259296,-724.4809,0.31909585,-793.0289,-821.3767
39,-1.0681152e-06,10.885525,18768,0.028276078,100,0.79253113,10.0,8.792222,5.308549,267.66833996772766,6.0772514,,[-1.759  0.413 -1.523  1.886 -2.912],10.0,3900,5.11,373304.88,-30.39978,-1.4911053,0.7591869,41.07737881248453,0.6761143,94.19852,27.505493,-572.74567,0.0017506864,-698.9259,-820.16846
40,-1.7738342e-06,12.500736,19266,0.027965639,100,0.93598175,10.0,8.716266,5.6802397,273.997921705246,5.9744873,,[-1.758  0.404 -1.523  1.863 -2.91 ],9.999993,4000,4.98,517303.47,-29.122246,-1.5058392,0.7627072,39.776458387153454,0.62927014,58.82376,47.29035,-572.9443,0.0047210036,-712.4914,-821.3636
41,-1.9073487e-07,14.178555,19782,0.047999892,100,0.64644164,10.0,18.297642,6.1511807,281.41007828712463,6.115382,,[-1.745  0.409 -1.521  1.83  -2.925],9.999988,4100,5.16,250896.77,-30.832798,-1.5053076,0.6111966,41.57765126533084,1.4930015,151.56061,45.624924,-459.80753,0.00042647132,-616.55646,-826.79504
42,-1.9073486e-08,13.194888,20309,0.015844801,100,0.9676504,10.0,2.4409616,6.4664865,287.449312210083,6.196045,,[-1.743  0.434 -1.539  1.78  -2.924],9.999983,4200,5.27,565111.75,-22.025845,-1.5621731,0.7537382,42.67653197613387,0.16989364,5.6577086,44.502174,-573.73553,0.018225051,-668.5974,-829.723
43,-2.8419495e-06,14.3326645,20828,0.013892581,100,0.7459558,10.0,2.3356144,3.753366,295.5713014602661,6.1366453,,[-1.742  0.32  -1.522  1.877 -2.981],9.999972,4300,5.19,335933.5,-21.235434,-1.587588,0.8769333,41.874523767242316,0.15945564,9.284306,54.50357,-666.5104,0.028909905,-759.7173,-830.40704
44,4.5776366e-07,10.895055,21332,0.01535196,100,0.7913789,10.0,2.8534439,5.038577,303.0610980987549,6.022278,,[-1.738  0.314 -1.531  1.862 -3.007],9.999996,4400,5.04,365850.88,-19.83806,-1.5817038,0.8927522,40.37613219233533,0.19338064,8.261383,28.210213,-674.3246,0.030261686,-755.69226,-819.0627
45,1.1825562e-06,13.287143,21854,0.02935988,100,0.9692378,10.0,9.276041,8.215404,311.94454050064087,6.1599474,,[-1.764  0.317 -1.56   1.881 -3.001],9.999993,4500,5.22,567283.4,-31.428099,-1.5996106,0.7303817,42.177447591042494,0.66181004,61.89785,45.063316,-552.9827,0.00735299,-674.5236,-829.1762
46,-2.670288e-06,11.831152,22346,0.019835407,100,0.896838,10.0,5.163616,6.113967,320.76337790489197,5.9261284,,[-1.764  0.323 -1.568  1.849 -3.019],9.999994,4600,4.92,470142.25,-28.554016,-1.6194556,0.907805,39.17826180165982,0.369499,28.287449,38.690445,-682.344,0.0036057327,-793.0308,-818.1845
47,1.4686584e-06,10.52874,22862,0.036162008,100,0.9391895,10.0,12.361277,7.747156,326.43547105789185,6.1149406,,[-1.745  0.348 -1.573  1.855 -3.038],9.9999695,4700,5.16,528358.06,-30.884617,-1.61875,0.6303814,41.576470999027464,0.787395,74.07552,27.001991,-475.06827,0.0024911321,-620.33655,-822.8208
48,1.5640259e-06,11.332135,23365,0.021675,100,1.0136298,10.0,5.867183,8.167474,333.2333881855011,6.015443,,[-1.748  0.343 -1.58   1.832 -3.038],9.999999,4800,5.03,611177.56,-19.731668,-1.6217544,0.81061625,40.27883901083015,0.37721342,30.433893,37.57441,-611.54114,0.0013585233,-732.8452,-821.7437
49,1.0299683e-06,12.839109,23872,0.032264404,100,0.8743298,10.0,10.695021,18.034159,340.06839179992676,6.045886,,[-1.748  0.346 -1.578  1.854 -3.041],9.999995,4900,5.07,450877.12,-29.984375,-1.6262902,0.7123138,40.67631336755339,0.7260786,57.262505,37.22351,-536.26715,0.004136714,-677.5822,-822.9213
50,6.4849854e-07,13.68691,24384,0.020535532,100,0.7345843,10.0,5.2489276,4.242691,347.92161536216736,6.084441,,[-1.746  0.363 -1.59   1.816 -3.045],9.9999895,5000,5.12,320060.7,-30.4535,-1.6266338,0.74101603,41.17614029206903,0.33606756,26.31583,64.07533,-559.5195,0.023591358,-702.6623,-831.26263
51,-3.4332277e-07,13.42601,24895,0.012148267,100,0.66588956,10.0,1.6642096,4.8220367,358.54496812820435,6.0769663,,[-1.745  0.364 -1.594  1.793 -3.046],9.999988,5100,5.11,263617.88,-30.362526,-1.6240985,0.94466233,41.07661751218857,0.12614597,4.047694,46.06015,-716.2241,0.06877602,-799.8988,-826.56665
52,-2.3269654e-06,12.900728,25420,0.029435443,100,0.95521045,10.0,9.137942,5.6106577,364.0616638660431,6.181669,,[-1.74   0.353 -1.585  1.788 -3.043],9.999998,5200,5.25,544897.2,-31.72126,-1.6191161,0.83598953,42.47687441219264,0.6717177,58.166004,44.768818,-634.81616,0.006200983,-759.9535,-830.3857
53,4.196167e-07,13.330853,25939,0.010436191,100,0.1375215,10.0,1.017177,1.5387675,370.31126594543457,6.1375093,,[-1.741  0.365 -1.585  1.803 -3.038],9.999993,5300,5.19,11577.529,-31.136301,-1.6236482,0.97707516,41.87682096664353,0.10190593,1.0537918,45.254536,-742.8875,0.6975343,-811.58325,-828.72626
54,-2.4986266e-06,11.853829,26460,0.018659197,100,0.7534129,10.0,4.3295994,5.429412,378.5190269947052,6.1524506,,[-1.749  0.368 -1.595  1.8   -3.043],9.999998,5400,5.21,338775.47,-31.348482,-1.6230528,0.7673769,42.07712618305039,0.28045475,22.403028,45.050495,-581.9858,0.020293392,-705.5882,-829.3013
55,-1.4877319e-06,12.391943,26971,0.0187823,100,0.78853357,10.0,4.475882,4.440056,386.09487748146057,6.0772896,,[-1.75   0.374 -1.593  1.817 -3.042],9.999998,5500,5.11,368698.62,-20.496098,-1.6219904,0.82368153,41.07747433644899,0.288686,21.611385,46.064465,-622.9194,0.0070209242,-738.3491,-826.53284
56,3.604889e-06,13.219375,27457,0.0272113,100,0.93844306,10.0,8.635109,8.531742,391.8980438709259,5.8752832,,[-1.749  0.37  -1.595  1.798 -3.041],9.999972,5600,4.86,506970.94,-27.956718,-1.6237046,0.8178608,38.57687000722163,0.65622824,54.484825,39.27424,-611.255,0.010077273,-747.2099,-816.4808
57,1.0681152e-06,14.7938175,27977,0.08329297,100,0.94157094,10.0,30.497618,6.4082265,397.16419291496277,6.145115,,[-1.754  0.366 -1.607  1.777 -3.043],9.999994,5700,5.2,533331.5,-31.211271,-1.581955,0.6966493,41.977283004712724,3.1041973,436.17682,45.24484,-527.78766,0.0055734757,-689.3236,-829.0754
58,-2.784729e-06,14.3662,28504,0.050822426,100,0.6780791,10.0,15.952732,5.0058846,404.0697863101959,6.1951857,,[-1.659  0.47  -1.54   1.67  -3.001],9.999993,5800,5.27,270627.9,-31.88872,-1.5361586,0.69025713,42.67429296216487,1.8113399,291.7821,44.500946,-522.74915,0.021308495,-649.8456,-830.4668
59,3.3187866e-06,13.330981,29003,0.027239839,100,1.1929474,10.0,8.2289095,10.476667,410.96029472351074,5.9831696,,[-1.599  0.599 -1.461  1.549 -2.955],9.999992,5900,4.99,829789.5,-29.209919,-1.5204041,0.8451655,39.87798318001221,0.64147395,83.01115,47.234524,-636.24133,0.009570117,-746.18884,-822.1583
60,-3.8146972e-08,12.768587,29499,0.01024931,100,0.3885871,10.0,1.1099181,3.7727628,417.9111740589142,5.9582644,,[-1.61   0.532 -1.476  1.624 -2.939],9.999977,6000,4.96,85571.734,-28.92603,-1.5106561,0.97763,39.57643888093035,0.10257086,1.3602605,38.26155,-736.38153,0.41366,-803.33405,-818.61505
61,-2.0217894e-06,14.872892,30027,0.013022539,100,0.725052,10.0,1.8546627,3.4871294,423.78701543807983,6.203307,,[-1.614  0.534 -1.477  1.63  -2.93 ],9.999995,6100,5.28,319075.47,-31.981503,-1.519426,0.9298186,42.776717824352005,0.13519958,5.2557287,53.55082,-709.52673,0.088432,-796.3894,-832.3435
62,2.1743774e-06,12.67273,30532,0.025068665,100,1.1278143,10.0,7.4990144,7.291915,431.22377824783325,6.0305796,,[-1.602  0.521 -1.466  1.622 -2.938],9.9999895,6200,5.05,760556.5,-19.912579,-1.5015333,0.80372876,40.47718937402669,0.47225764,40.1814,46.60374,-606.2171,0.007583448,-723.0284,-823.75854
63,8.773804e-07,12.07326,31045,0.0645288,100,0.92339057,10.0,25.197678,5.5077887,440.13835191726685,6.0921125,,[-1.585  0.485 -1.43   1.672 -2.92 ],9.999999,6300,5.13,503541.12,-30.57182,-1.3979814,0.6936642,41.27626267858441,1.9582583,240.55856,36.650974,-523.46716,0.02006992,-681.53864,-823.42664
64,3.4713746e-06,11.709819,31574,0.022715028,100,1.0767208,10.0,6.213175,5.919026,448.4365646839142,6.2103395,,[-1.601  0.587 -1.434  1.572 -2.817],9.999997,6400,5.29,702197.56,-32.123997,-1.3871733,0.80554295,42.87634269872604,0.40063268,28.735857,35.116398,-612.4532,0.0019089337,-717.69653,-826.71765
65,1.5258789e-06,13.053985,32083,0.01998008,100,0.81877816,10.0,5.0248566,5.909076,455.5378351211548,6.0614824,,[-1.618  0.586 -1.461  1.545 -2.806],9.999974,6500,5.09,399053.53,-30.178432,-1.3876884,0.8306003,40.8764097703411,0.34205452,23.022966,46.221596,-628.4758,0.0115036955,-752.88324,-823.5897
66,2.0599366e-06,13.625924,32581,0.0107187545,100,0.4649426,10.0,1.2413559,3.3580768,464.38051748275757,5.9748716,,[-1.612  0.581 -1.458  1.52  -2.807],9.999971,6600,4.98,128671.65,-29.109161,-1.3485156,0.97150475,39.777358315277155,0.1074006,1.5581994,47.377605,-732.98083,0.17002645,-801.5298,-820.36163
67,1.3732911e-06,13.016569,33095,0.025651759,100,0.9386862,10.0,7.5638943,5.1148973,471.1273112297058,6.1000767,,[-1.609  0.56  -1.46   1.545 -2.767],9.999998,6700,5.14,523755.0,-30.660282,-1.3751148,0.82800615,41.37719524053556,0.49164626,34.51473,45.82885,-627.50134,0.001520758,-743.9798,-824.63837
68,,15.122031,33621,0.025126943,100,1.1332325,10.0,7.2235694,7.269248,479.777991771698,6.188777,,[-1.608  0.563 -1.456  1.577 -2.794],9.999999,6800,5.26,779072.2,-21.899006,-1.4383653,0.71462625,42.57648142001307,0.47905925,37.349663,53.77914,-540.45013,0.0019045005,-651.4274,-830.4636
69,3.0517579e-06,15.123577,34148,0.020325718,100,0.97505784,10.0,5.0834303,7.1411533,489.9308273792267,6.195924,,[-1.626  0.601 -1.511  1.519 -2.857],9.999986,6900,5.27,562010.4,-31.8783,-1.4251481,0.88519734,42.67622322996999,0.35326615,30.456402,35.37579,-674.34235,0.030352471,-785.5384,-826.64606
70,-6.67572e-07,12.30102,34658,0.018101104,100,1.0595698,10.0,4.220933,9.500341,496.06056332588196,6.0695944,,[-1.613  0.614 -1.503  1.536 -2.844],9.9999895,7000,5.1,672943.3,-20.392387,-1.4176023,0.7870881,40.97744016535537,0.2576085,15.218496,64.308334,-595.2238,0.02176522,-703.52594,-828.6863
71,-2.4604797e-06,12.523439,35175,0.026008252,100,0.8029906,10.0,7.785351,4.0753436,503.9685366153717,6.1223335,,[-1.612  0.604 -1.491  1.568 -2.837],10.0,7100,5.17,390498.38,-30.953186,-1.4305745,0.74658865,41.676232237250076,0.54502404,37.891617,36.253574,-564.8024,0.011952668,-711.1524,-823.70905
72,1.411438e-06,12.211182,35674,0.017535603,100,0.8338665,10.0,4.0196114,4.8911433,512.2043545246124,5.9823484,,[-1.614  0.606 -1.481  1.599 -2.849],9.9999895,7200,4.99,411212.44,-29.225101,-1.428739,0.853228,39.87593104905073,0.25842538,18.673857,38.016655,-642.7586,0.017948385,-744.54596,-818.6174
73,-2.670288e-06,12.896796,36191,0.016569283,100,0.9244066,10.0,3.4496517,7.079516,519.9632952213287,6.122616,,[-1.612  0.598 -1.477  1.579 -2.848],9.999987,7300,5.17,510615.5,-21.067059,-1.423828,0.8593953,41.67692875985439,0.22875737,16.604303,36.296055,-652.78845,0.03512939,-750.7335,-823.83795
74,-9.918213e-07,16.371176,36715,0.023910342,100,1.0579299,10.0,6.6831093,6.2425976,527.8381731510162,6.173479,,[-1.615  0.608 -1.477  1.595 -2.843],9.99999,7400,5.24,675660.1,-31.56876,-1.438137,0.8726297,42.37449420851596,0.48204893,57.323265,63.031677,-664.67554,0.017618295,-790.49255,-832.54816
75,-3.8146972e-08,13.252942,37251,0.040036704,100,1.1849242,10.0,14.167141,7.779948,535.5673151016235,6.2596025,,[-1.611  0.617 -1.471  1.618 -2.857],9.999991,7500,5.36,852275.6,-32.77497,-1.4434427,0.7631569,43.57570983926817,0.8803832,62.63196,43.694763,-581.6759,0.0057469816,-724.31555,-831.3441
76,-1.9836425e-06,14.891259,37752,0.023712358,100,0.6662377,10.0,6.7749696,4.048284,545.8076725006104,5.997758,,[-1.547  0.558 -1.401  1.688 -2.862],9.999936,7600,5.01,265486.3,-39.358833,-1.4478016,0.66543615,40.07422691861373,0.45470718,36.811863,65.236946,-499.54556,0.0177712,-638.08875,-826.2059
77,1.3732911e-06,13.3022995,38260,0.015241351,100,0.9053104,10.0,2.9633868,5.3310604,553.0345423221588,6.053787,,[-1.547  0.548 -1.403  1.666 -2.867],9.999985,7700,5.08,487140.0,-30.078022,-1.4647553,0.91964513,40.77658265177049,0.18870905,9.772883,64.46202,-695.2638,0.025441978,-793.04614,-828.3343
78,-3.8146973e-06,14.429566,38783,0.012697871,100,0.8550767,10.0,1.8384409,7.519484,559.7569687366486,6.165756,,[-1.541  0.557 -1.401  1.636 -2.884],9.99996,7800,5.23,433435.4,-31.497597,-1.472677,0.9301051,42.27335109718174,0.13125697,3.924604,71.98331,-706.5165,0.05477139,-793.79816,-834.6621
79,-7.6293946e-07,15.298299,39310,0.028429883,100,1.0036181,10.0,8.909324,6.9568377,568.2089705467224,6.19596,,[-1.531  0.555 -1.386  1.653 -2.892],9.999991,7900,5.27,601765.4,-31.876484,-1.4502164,0.81785315,42.676333354294854,0.66524535,82.68728,44.575195,-621.3261,0.009426932,-751.70306,-829.4249
