EpisodesSoFar,EpRewMean,MeanEntropy,ReturnStepMaxmin,StdIW,Iteration,MeanIW,InitialReturnMax,StdD2w0t,MeanD2w0t,Bound,InitialReturnStd,EpLenMean,MinD2w0t,MinIW,InitialBound,MaxIW,ReturnMeanIW,TimeElapsed,EmpiricalD2,Weights,J_sample_variance,InitialReturnMin,InitialReturnMean,ReturnStepMax,MaxD2w0t,TimestepsSoFar,EpThisIter
1700,65.36636575021144,-0.7155555,7.338561,0.9101343,17,0.66751206,102.16345,1.3785219,0.048318,-642.4412,23.349075,7.54,,0.00032584398,-857.55255,16.554256,-522.13007,81.12495708465576,15.0732,[-1.186  0.383 -0.485  0.459 -2.062],524891.0,-53.303215,5.340576e-07,8.66928,169.99895,11152,100
1800,66.86531491941416,-0.5905804,7.3902035,0.7004578,18,0.78449905,75.2738,0.49379146,0.03671101,-738.5166,25.952997,7.69,,0.046485383,-854.8203,3.837677,-626.64514,86.2329568862915,7.7916994,[-1.186  0.411 -0.509  0.353 -2.135],324099.84,-54.640785,-1.1825562e-06,8.695101,33.16447,11921,100
1900,67.26655723955679,-0.65061945,7.404027,0.27519783,19,0.94841766,108.81608,0.12992753,0.016245292,-820.95667,26.374004,7.73,,0.36246836,-860.59186,2.2461536,-755.89355,90.96267533302307,1.0925614,[-1.194  0.347 -0.44   0.454 -2.01 ],46866.086,-55.00569,8.468628e-06,8.702013,1.7974545,12694,100
2000,55.666980903129605,-1.0161526,6.9458103,1.0520892,20,0.67472446,68.28616,0.35455012,0.031931218,-646.40765,22.48603,6.57,,3.6757797e-06,-838.79645,5.621134,-527.48346,95.68817615509033,4.346944,[-1.184  0.404 -0.448  0.41  -2.07 ],704513.1,-44.155914,-3.0517579e-06,8.472904,28.264656,13351,100
2100,67.7636520710858,-1.0483304,7.4199734,1.2926569,21,0.8300255,82.7668,0.7162492,0.037763294,-775.07947,20.64335,7.78,,0.0016968332,-856.85754,8.61396,-662.918,100.64691138267517,9.906892,[-1.21   0.379 -0.447  0.39  -2.435],1132739.2,-45.73885,5.41687e-06,8.709981,65.41133,14129,100
2200,65.76395493123164,-1.0525917,7.3519754,0.5178981,22,0.9320107,76.19827,0.13616626,0.016615896,-803.0302,22.348204,7.58,,0.19166388,-853.7374,4.577056,-742.4178,106.15761756896973,1.3048754,[-1.21   0.33  -0.415  0.483 -2.467],171649.67,-43.822018,-2.3651123e-06,8.675982,3.2152414,14887,100
2300,68.76348174427288,-1.0723025,7.4526606,0.97159153,23,0.8000031,55.995857,0.59963673,0.031616483,-721.8316,23.98774,7.88,,0.0045300676,-853.18054,7.8337116,-634.2664,111.61147356033325,7.0098805,[-1.186  0.302 -0.378  0.483 -2.471],607282.7,-46.59462,-4.959106e-07,8.72633,87.865204,15675,100
2400,68.26129482589909,-1.0659105,7.4358416,0.7171986,24,0.7152457,56.448303,0.7163862,0.035936344,-675.8175,23.932272,7.83,,0.008890643,-852.7634,4.0161986,-568.43805,116.68467283248901,8.984073,[-1.167  0.277 -0.362  0.45  -2.491],347028.2,-56.00936,2.2125244e-06,8.7179165,75.1804,16458,100
2500,68.76148454986536,-1.0429976,7.452155,0.18824647,25,0.9663739,115.7112,0.12764956,0.016144155,-837.7012,27.534216,7.88,,0.5979847,-863.00214,1.9002837,-773.69543,121.3024353981018,1.0507977,[-1.167  0.26  -0.366  0.414 -2.485],25063.066,-56.37539,4.4250487e-06,8.726077,1.4386945,17246,100
2600,69.15936216454985,-1.0839493,7.464487,1.2317094,26,0.7220179,73.18336,1.0864527,0.044007465,-682.9075,27.653067,7.92,,3.479058e-05,-856.64465,14.619648,-571.2955,126.33462834358215,12.346441,[-1.141  0.293 -0.337  0.382 -2.462],1003659.56,-46.858604,3.4332274e-06,8.732243,96.40717,18038,100
2700,71.66102453004585,-1.0478821,7.5424795,0.99458873,27,0.81578064,168.68185,0.514963,0.032532707,-778.13,32.594448,8.17,,0.016757071,-872.68414,7.4674735,-655.6597,132.0697467327118,6.978091,[-1.14   0.288 -0.335  0.328 -2.503],685315.5,-49.021343,1.411438e-06,8.771239,56.155724,18855,100
2800,67.46261966126355,-1.0366572,7.409708,0.63343984,28,0.8297991,74.573326,0.2669622,0.023115253,-750.35,23.08565,7.75,,0.009100459,-855.21234,3.491494,-660.2956,136.1134033203125,3.5012014,[-1.12   0.281 -0.308  0.38  -2.467],265051.47,-45.400303,3.0517577e-07,8.704854,23.392296,19630,100
2900,77.96089868857044,-1.0672628,7.7183867,0.77115804,29,0.7070493,115.352715,2.554829,0.06945524,-694.9603,29.32139,8.8,,0.007154161,-869.8442,16.035194,-566.0555,140.18413376808167,20.820076,[-1.11   0.267 -0.304  0.349 -2.456],391510.16,-55.010674,,8.859193,394.9992,20510,100
3000,63.76505420711475,-1.0571595,7.280509,0.9190417,30,0.7505839,86.65858,1.8717684,0.05237248,-706.19415,23.504448,7.38,,0.005786645,-853.30255,5.6415033,-591.433,144.84145426750183,17.074203,[-1.218  0.267 -0.355  0.42  -2.486],533509.8,-41.90453,1.7166137e-06,8.640252,281.0382,21248,100
3100,69.2593592644335,-1.0244511,7.467683,0.7293056,31,0.8121161,72.94132,0.4077349,0.028775962,-751.80884,24.32437,7.93,,0.034438133,-856.6252,3.7367961,-651.5148,149.32413792610168,5.400812,[-1.202  0.296 -0.367  0.341 -2.476],361318.75,-47.051613,-2.4795531e-06,8.733841,35.960808,22041,100
3200,68.06248206876148,-1.0563018,7.4295883,0.7593111,32,0.7862577,99.77089,0.5084384,0.031859517,-731.9746,27.964323,7.81,,0.0040269126,-859.9825,5.2707324,-628.4163,153.7182638645172,6.9337115,[-1.215  0.301 -0.371  0.387 -2.443],390428.7,-55.70494,1.0681152e-06,8.714787,37.861263,22822,100
3300,71.25957910191619,-0.97997993,7.530031,0.70901155,33,0.92448014,88.27513,0.19192709,0.021381224,-824.9635,28.260134,8.13,,0.11212974,-861.0028,5.2177954,-742.32544,158.3312430381775,2.2556376,[-1.23   0.316 -0.374  0.431 -2.475],341793.7,-48.811676,-3.6621093e-06,8.765016,12.896498,23635,100
3400,63.16732134309204,-1.0736164,7.258832,1.3637395,34,0.83332545,61.178345,0.8332824,0.040667463,-763.2844,20.521051,7.32,,0.00041588416,-848.1459,10.487694,-658.8251,163.2375147342682,11.282234,[-1.25   0.337 -0.373  0.446 -2.399],1206761.2,-41.408676,-3.4332274e-06,8.6294155,78.25285,24367,100
3500,67.46464642405063,-1.0777776,7.4102345,0.94347656,35,0.8113555,116.92343,1.2025892,0.04232986,-759.96826,26.884361,7.75,,0.0024020937,-861.9718,4.62638,-643.294,168.07184958457947,12.071948,[-1.23   0.358 -0.353  0.368 -2.493],572916.06,-45.290947,1.2969971e-06,8.705116,158.06659,25142,100
3600,65.66175008357138,-1.0698243,7.347888,0.2950865,36,0.90944546,76.33178,0.15192918,0.017024627,-799.3704,23.890003,7.57,,0.16844194,-853.65936,2.5373719,-725.5933,172.67517757415771,1.2668916,[-1.231  0.341 -0.362  0.326 -2.497],58405.176,-43.68282,-4.5013426e-06,8.6739435,8.538121,25899,100
3700,72.35919181024754,-1.006834,7.562913,0.93818575,37,0.7824107,87.20707,2.172791,0.069744915,-750.46063,28.922945,8.24,,0.004981105,-861.7409,7.4231987,-623.2133,176.42394590377808,22.892563,[-1.214  0.297 -0.339  0.349 -2.489],579187.25,-59.69622,5.722046e-07,8.781456,290.11172,26723,100
3800,82.55176547370303,-0.9928043,7.8297567,0.772787,38,0.8116026,127.44884,0.5105229,0.03546449,-748.52386,36.446926,9.26,,0.0051623313,-874.05725,5.4535875,-648.9174,181.7696762084961,6.722571,[-1.162  0.313 -0.336  0.279 -2.426],397653.28,-59.004753,-1.8310546e-06,8.914877,44.45343,27649,100
3900,82.25508675979016,-0.98128474,7.8234224,1.3464774,39,0.81366795,127.74746,0.8925908,0.046322796,-786.14374,37.487682,9.23,,0.015214058,-874.03143,9.633218,-660.45374,187.6072371006012,11.530457,[-1.128  0.31  -0.322  0.222 -2.412],1283104.5,-68.57356,-5.1879883e-06,8.911711,90.537094,28572,100
4000,72.65772221709129,-1.0615236,7.571396,0.8111177,40,0.8551895,128.53232,0.4684802,0.029931694,-786.90826,33.631737,8.27,,0.0030537508,-868.2368,4.124009,-682.2293,192.94660758972168,4.933154,[-1.1    0.292 -0.276  0.296 -2.4  ],427019.97,-49.923462,-3.929138e-06,8.785698,52.34358,29399,100
4100,86.35516239947414,-1.088241,7.91601,0.5997465,41,0.8831189,155.34802,0.16700457,0.022477603,-789.4461,38.94333,9.64,,0.015052764,-879.35315,5.100069,-707.476,196.85636234283447,1.6373277,[-1.066  0.249 -0.28   0.271 -2.48 ],235739.8,-62.40455,-5.645752e-06,8.958005,4.9781327,30363,100
4200,82.05403463886503,-1.1826103,7.818469,0.47255185,42,0.9081642,151.41078,0.16148135,0.02176767,-820.42395,34.555855,9.21,,0.036174588,-876.9406,2.4267488,-733.913,202.42450881004333,1.3164203,[-1.022  0.252 -0.249  0.233 -2.507],153447.44,-58.613636,8.888244e-06,8.909234,3.352981,31284,100
4300,83.16007164035628,-1.185547,7.8455114,0.6654514,43,0.64545125,150.27429,3.0792992,0.09503234,-674.05585,30.617619,9.32,,0.00048906065,-877.2213,7.7500052,-511.08777,208.11915707588196,31.550022,[-0.973  0.229 -0.216  0.231 -2.602],287827.16,-59.783344,-4.9591063e-06,8.922755,333.66412,32216,100
4400,96.2456625134952,-1.2358392,8.108309,0.8493214,44,0.8092988,123.18379,0.644393,0.04483667,-770.79816,43.825897,10.63,,0.0027357126,-877.7972,5.4220123,-644.92017,213.83703351020813,7.847381,[-0.976  0.219 -0.231  0.176 -2.604],488348.28,-71.239685,1.2969971e-06,9.054154,51.817265,33279,100
4500,102.94340632789982,-1.191515,8.220072,1.1443971,45,0.8385529,108.78457,0.6242304,0.048021298,-796.9,36.847282,11.3,,0.044199936,-876.2706,8.923574,-677.96356,219.81803941726685,8.225237,[-0.993  0.214 -0.254  0.121 -2.655],886075.1,-77.6478,-1.5258789e-06,9.110036,49.091766,34409,100
4600,91.24216973606373,-1.2022815,8.014251,0.8728763,46,0.6730817,135.39032,1.1725081,0.059771065,-676.98505,39.37689,10.13,,0.00049123756,-878.1728,8.645415,-533.91473,224.61568093299866,14.701944,[-0.979  0.228 -0.187  0.156 -2.611],508232.88,-76.75697,9.727478e-06,9.007125,167.96906,35422,100
4700,108.14080215725004,-1.1954197,8.297936,0.7425826,47,0.9204968,135.70006,0.18000722,0.027460232,-833.05865,44.70434,11.82,,0.08803767,-880.2831,4.9288282,-746.8603,230.76289820671082,1.6409923,[-1.     0.262 -0.217  0.069 -2.621],392447.56,-81.97284,-4.5013426e-06,9.148968,3.8126357,36604,100
4800,98.34034153037561,-1.2030232,8.143978,0.4369718,48,0.88325924,152.26294,0.18016715,0.024766626,-813.3712,47.167435,10.84,,0.08655764,-881.96423,4.097067,-712.0977,235.93120503425598,1.4073482,[-0.96   0.237 -0.198  0.108 -2.614],126907.516,-72.9777,7.6293944e-08,9.071988,9.345485,37688,100
4900,111.9419137337965,-1.2817085,8.351134,0.53174055,49,0.88890845,176.96988,0.22252092,0.031418998,-821.2362,44.04038,12.2,,0.060473956,-885.02856,3.7133613,-714.90466,240.9509677886963,1.689657,[-0.969  0.214 -0.215  0.104 -2.622],194653.78,-85.40425,8.392334e-07,9.175567,7.390809,38908,100
5000,110.23910538651118,-1.3907126,8.327366,0.84334344,50,0.75870407,149.10663,0.30302727,0.03893094,-736.5088,45.68214,12.03,,0.004946213,-881.9191,5.306369,-614.2066,246.84446382522583,3.4347167,[-1.001  0.186 -0.223  0.102 -2.701],500659.16,-74.01242,6.866455e-06,9.163683,14.51854,40111,100
5100,100.54798440356562,-1.3726739,8.182277,0.33142352,51,0.904916,180.19768,0.23755252,0.027048433,-831.97906,48.919624,11.06,,0.042622466,-885.64545,2.1456344,-732.2451,253.46344184875488,1.4937564,[-0.957  0.19  -0.192  0.135 -2.81 ],77649.375,-84.74695,-1.3732911e-06,9.091138,21.439758,41217,100
5200,100.24139475792316,-1.271483,8.176142,0.6190173,52,0.8274941,135.18457,0.3622424,0.039087262,-797.3896,44.651253,11.03,,0.08642085,-879.8989,7.5571227,-670.08563,258.4832797050476,4.447158,[-0.956  0.159 -0.171  0.151 -2.792],265947.5,-84.72055,5.7983398e-06,9.08807,27.820024,42320,100
5300,100.84531097342018,-1.2831076,8.18671,0.48173925,53,0.8132782,157.66975,0.45410797,0.038486812,-781.94244,47.002026,11.09,,0.009888007,-882.91034,7.3512945,-660.71545,264.3204050064087,3.334576,[-0.943  0.148 -0.166  0.193 -2.69 ],166096.44,-75.24394,1.0528564e-05,9.093355,26.953083,43429,100
5400,85.45062142352222,-1.2852497,7.895421,0.7523307,54,0.7056464,148.1756,0.39202747,0.03274527,-689.61053,34.008034,9.55,,0.017867044,-877.9021,6.510382,-568.51324,268.91836643218994,5.088927,[-0.941  0.188 -0.183  0.204 -2.702],394879.56,-61.779064,6.4849855e-06,8.947709,38.437153,44384,100
5500,82.96019576616872,-1.2303407,7.8409033,1.1380248,55,0.6733614,102.753654,0.7077421,0.05030614,-662.83905,35.085873,9.3,,0.011144964,-870.7492,15.358531,-533.7474,274.28582406044006,11.039933,[-0.931  0.168 -0.172  0.266 -2.704],799734.1,-69.3285,1.2969971e-06,8.920451,72.07248,45314,100
5600,69.75788575546716,-1.2017678,7.483183,0.20552507,56,0.97485745,123.040375,0.12776011,0.016266366,-846.49695,31.262207,7.98,,0.6642107,-865.012,2.2461514,-780.745,279.2680289745331,1.0352764,[-0.863  0.11  -0.065  0.334 -2.649],27218.512,-57.19214,9.155273e-07,8.7415905,1.3500854,46112,100
5700,70.35697406487456,-1.2042282,7.501734,1.0935355,57,0.6582941,97.7496,0.7891033,0.04509929,-647.2545,32.126625,8.04,,0.0095560085,-861.8017,8.253638,-521.6568,281.52161622047424,11.89891,[-0.889  0.11  -0.07   0.343 -2.621],787473.44,-57.720337,-3.0899048e-06,8.750867,65.02732,46916,100
5800,78.15441206733396,-1.2841549,7.7220907,0.9330275,58,0.5523104,98.695015,1.6943278,0.0679233,-585.53406,30.99194,8.82,,0.000114075345,-867.48096,8.089016,-432.3871,286.8979506492615,20.42455,[-0.932  0.149 -0.148  0.263 -2.623],557354.56,-55.14334,-3.013611e-06,8.861045,196.5973,47798,100
5900,97.35150243429145,-1.2098602,8.128772,0.90489733,59,0.77960616,114.008736,0.56443125,0.047149844,-766.87427,40.06915,10.74,,0.019828282,-876.6124,5.76733,-633.6044,293.19989347457886,8.519275,[-0.979  0.175 -0.214  0.185 -2.703],582647.56,-72.430435,3.0517579e-06,9.064385,51.21531,48872,100
6000,89.65297174566511,-1.2831972,7.9845514,0.7064765,60,0.8943093,197.02441,0.25686702,0.030208396,-826.564,40.419098,9.97,,0.005703985,-885.2924,5.870346,-719.6046,298.6711685657501,2.3422472,[-0.942  0.151 -0.173  0.244 -2.629],324267.97,-65.354706,3.3569336e-06,8.992275,13.918617,49869,100
6100,87.34474001013515,-1.376327,7.9352684,0.99746406,61,0.74848735,146.76326,1.58518,0.06398668,-755.23083,39.40528,9.74,,0.00042861787,-878.5219,4.989657,-601.8913,303.6123023033142,16.207117,[-0.908  0.126 -0.127  0.222 -2.702],682065.7,-53.513176,-2.4795531e-06,8.967633,195.40009,50843,100
6200,99.84507007385464,-1.3745576,8.170168,0.6652308,62,0.91414547,151.04543,0.18479444,0.025879648,-832.37946,48.36308,10.99,,0.016983194,-882.0808,4.372595,-739.3902,309.62605714797974,1.7778978,[-0.905  0.159 -0.127  0.129 -2.795],297123.9,-74.26849,-1.1444092e-06,9.085084,11.400043,51942,100
6300,95.74783910358862,-1.3597556,8.099781,0.36688456,63,0.9409597,139.11697,0.17702478,0.02401724,-848.88275,41.245995,10.58,,0.04866465,-879.729,2.5315733,-763.78467,314.5805687904358,1.406142,[-0.897  0.155 -0.117  0.159 -2.794],98081.56,-70.91054,,9.0498905,9.816959,53000,100
6400,90.74807703687529,-1.2827145,8.005573,0.5620999,64,0.72882396,136.03986,0.3123262,0.034328897,-703.3144,44.933605,10.08,,0.046699032,-878.41876,3.146101,-585.55505,319.8970170021057,4.4332423,[-0.888  0.117 -0.12   0.189 -2.779],216104.56,-76.045105,4.8065185e-06,9.002787,19.825571,54008,100
6500,95.24727899376377,-1.3432809,8.090652,0.43306345,65,0.93197346,184.94086,0.1781631,0.02507504,-846.06476,46.14775,10.53,,0.0074988804,-885.38293,2.9756932,-752.69257,325.87786626815796,1.4209975,[-0.913  0.149 -0.15   0.135 -2.702],122551.98,-60.39891,-4.4631956e-06,9.045325,4.185742,55061,100
6600,103.34551213246752,-1.334076,8.226723,0.97291744,66,0.624882,147.5691,1.3884795,0.090396896,-687.87726,41.5962,11.34,,0.003067159,-881.5925,5.146185,-500.6029,331.2634196281433,23.547344,[-0.934  0.12  -0.165  0.136 -2.762],657277.44,-77.79285,2.4414062e-06,9.113361,104.576065,56195,100
6700,97.34486187876848,-1.3774159,8.127535,1.051456,67,0.8301815,121.991806,0.27133408,0.03420779,-774.7737,40.533924,10.74,,0.009671105,-877.65704,6.1568623,-674.5293,337.1375892162323,3.4506516,[-0.898  0.078 -0.116  0.222 -2.753],776571.1,-72.39765,8.010864e-06,9.063767,14.221628,57269,100
6800,89.3478514190637,-1.3998655,7.977435,0.87098354,68,0.5935069,204.44952,1.4430803,0.060457118,-638.475,43.960304,9.94,,0.0052918307,-886.1395,7.4113045,-477.75995,343.1503324508667,14.654128,[-0.817  0.05  -0.03   0.26  -2.796],530759.25,-64.90237,4.8065185e-06,8.988717,150.32065,58263,100
6900,83.05698572760572,-1.5996032,7.842532,0.82964903,69,0.76064736,102.58082,0.40368,0.038092736,-730.82,33.120647,9.31,,0.000101491096,-870.6682,15.092258,-612.86237,349.3911771774292,4.164571,[-0.825  0.04  -0.004  0.329 -2.819],456739.12,-59.610348,-6.790161e-06,8.921266,30.997404,59194,100
7000,86.2509131715942,-1.621995,7.912964,0.60151136,70,0.90819263,155.44887,0.16294521,0.021940254,-813.8135,39.619736,9.63,,0.021018438,-879.31573,4.6566634,-731.38403,355.4231114387512,1.5463747,[-0.817 -0.007 -0.03   0.328 -3.018],241168.97,-72.15955,-9.002685e-06,8.956482,5.0278506,60157,100
7100,81.65090935488399,-1.5983086,7.8082705,1.245613,71,0.6928436,128.26292,0.8680403,0.05646706,-691.93134,35.988636,9.17,,0.002736242,-873.7161,9.251318,-553.4902,360.5780749320984,13.364881,[-0.825 -0.014 -0.035  0.31  -3.041],1064141.4,-58.195316,-1.7929077e-06,8.904134,84.35948,61074,100
7200,82.25147397193297,-1.6139417,7.8226404,0.8563221,72,0.9044822,225.01529,0.20881355,0.025208887,-834.6631,40.830463,9.23,,0.011727918,-885.6512,6.541825,-727.0438,366.5534653663635,2.5600088,[-0.897  0.033 -0.093  0.253 -3.017],487324.72,-58.507263,3.2043456e-06,8.91132,9.997762,61997,100
7300,95.74570394938381,-1.6699411,8.099375,0.83659005,73,0.49852934,146.74857,1.379172,0.09048623,-573.9387,39.114525,10.58,,4.5387118e-05,-880.5877,15.0945215,-396.69336,371.7357659339905,22.88398,[-0.888  0.042 -0.106  0.214 -3.033],483783.06,-80.89405,-8.087158e-06,9.049687,91.974915,63055,100
7400,92.55487795550631,-1.7057686,8.041887,0.45060122,74,0.9210578,141.9664,0.17542878,0.023730868,-825.73816,39.0245,10.26,,0.04219269,-879.436,4.55242,-742.9554,378.642156124115,1.4106071,[-8.241e-01  7.899e-03  2.310e-03  2.640e-01 -3.089e+00],133726.38,-77.98236,-1.7547608e-06,9.020944,6.9278283,64081,100
7500,89.25065162043445,-1.7106513,7.9759617,0.64882165,75,0.78302646,80.21874,0.86038494,0.045003574,-750.4263,31.937351,9.93,,0.0058337655,-869.4626,4.5295334,-635.285,384.0198926925659,7.283908,[-0.86  -0.035 -0.035  0.297 -3.125],297487.56,-55.570343,4.043579e-06,8.987981,102.709694,65074,100
7600,89.85667094682557,-1.7216846,7.9893227,0.3568044,76,0.9638597,159.56601,0.14850587,0.021102687,-860.14984,36.720142,9.99,,0.14062995,-880.9119,2.170674,-779.9837,388.8959412574768,1.1450219,[-0.863 -0.022 -0.041  0.328 -3.13 ],88655.42,-65.71582,3.3569336e-06,8.994661,2.505834,66073,100
7700,83.05507742808068,-1.5957795,7.842125,0.43157828,77,0.82236123,102.51614,0.25411922,0.03123426,-774.72504,32.18198,9.31,,0.18344256,-870.6154,2.9035978,-663.91907,393.4147093296051,2.2305834,[-0.855 -0.025 -0.029  0.317 -3.141],129583.28,-59.638382,1.5258789e-06,8.921062,15.162227,67004,100
7800,88.65395628994466,-1.5655303,7.9643297,0.60531855,78,0.9199004,129.8211,0.22765449,0.026974862,-834.3978,37.274345,9.87,,0.08895719,-876.7373,5.183222,-744.38715,398.77625250816345,1.913194,[-0.913 -0.028 -0.092  0.333 -3.015],259031.64,-64.595375,-4.234314e-06,8.982164,11.308363,67991,100
7900,83.44999556883346,-1.4524844,7.8502684,0.9587672,79,0.8596057,157.95773,0.3359045,0.0377386,-816.78754,36.83208,9.35,,0.085023016,-878.41034,6.7199345,-691.6898,403.73316621780396,5.0088778,[-0.919  0.004 -0.106  0.334 -2.985],607718.4,-59.813866,-3.3569336e-06,8.925134,12.473898,68926,100
8000,92.55024797123014,-1.5638043,8.040988,1.4085008,80,0.56164265,85.643974,2.4108574,0.110523134,-636.5917,34.849308,10.26,,0.0010640493,-871.30884,11.200142,-438.6289,409.3668520450592,33.879017,[-0.961  0.021 -0.171  0.307 -2.871],1311031.0,-58.491005,-8.850097e-06,9.020493,249.38435,69952,100
8100,96.54550496182796,-1.5752953,8.1136055,0.6872061,81,0.93827987,160.95685,0.1703471,0.02436454,-846.265,36.85082,10.66,,0.060977925,-882.3973,4.8462996,-758.62384,414.96176314353943,1.5659659,[-1.035  0.034 -0.297  0.255 -2.983],325957.53,-71.82762,-5.4931643e-06,9.056803,6.144313,71018,100
