EpLenMean,MeanEntropy,MeanIWNorm,MaxIWNorm,Bound,ReturnStepMax,MeanIW,TimeElapsed,EmpiricalD2,InitialReturnMax,InitialReturnMin,StdIWNorm,StdIW,MinIWNorm,MinIW,MaxIW,ReturnMeanIW,InitialReturnStd,ESSClassic,EpThisIter,InitialBound,Weights,EpisodesSoFar,EpRewMean,Iteration,TimestepsSoFar,J_sample_variance,ReturnStepMaxmin,ESSRenyi,InitialReturnMean
56.14,0.5725763,0.010062944,0.03777592,-43.85351,10.0,1.0062945,117.89805364608765,1.2919372,464.04794,-412.1946,0.006560875,0.6560875,0.0021515538,0.21515538,3.777592,20.74599,108.68236,70.17137,100,-56.834026,[-1.657  0.836 -2.818 -1.626 -0.828],1300,551.2177288457312,13,38887,17552.203,9.637257,77.403145,1.15966795e-05
56.18,0.50490236,0.009959588,0.07057016,-21.209002,10.0,0.99595886,131.05120825767517,1.7574581,275.11212,-166.60278,0.009704705,0.97047055,0.0007425708,0.07425708,7.057017,23.459135,81.090256,51.29596,100,-33.694206,[-1.673  0.896 -2.83  -1.639 -0.846],1400,551.6013141432276,14,44505,24838.62,9.636934,56.90036,1.2207031e-05
59.89,0.5100097,0.009917556,0.023709906,-41.83558,9.999999,0.99175566,144.85389852523804,1.0885662,365.14014,-142.10889,0.0028929913,0.28929913,0.0051490427,0.51490426,2.3709908,4.8231153,84.6072,92.15816,100,-44.72036,[-1.704  0.945 -2.871 -1.651 -0.914],1500,588.6995871584124,15,50494,7890.2656,9.659373,91.86396,-8.239746e-06
59.55,0.49241632,0.009696459,0.03344196,-29.283373,9.999999,0.969646,158.94190645217896,1.243554,304.60376,-148.4831,0.005402696,0.54026955,0.0028086284,0.28086284,3.3441963,12.318529,82.75099,76.30953,100,-37.306156,[-1.713  0.975 -2.884 -1.66  -0.909],1600,585.3018158430668,16,56449,12211.733,9.657504,80.41468,3.234863e-05
63.97,0.47778422,0.009881816,0.023584044,-29.370941,10.0,0.9881816,172.6868953704834,1.1103053,268.93527,-156.76385,0.003400673,0.3400673,0.0042684833,0.42684832,2.3584044,5.335862,89.41871,89.41116,100,-32.93766,[-1.727  1.009 -2.934 -1.718 -0.927],1700,629.4977438827887,17,62846,8106.7656,9.681036,90.065315,4.8828126e-05
63.1,0.45825085,0.009676349,0.017942207,-52.054153,10.0,0.967635,186.80383920669556,1.0852927,253.01376,-456.40945,0.0029067474,0.29067478,0.003840628,0.38406283,1.7942208,6.179454,90.81492,91.723045,100,-55.89852,[-1.741  1.04  -2.949 -1.714 -0.941],1800,620.7936936889338,18,69156,9424.994,9.676514,92.141045,-2.1362305e-06
64.95,0.4335764,0.009806637,0.021141531,-25.802517,10.0,0.9806638,201.29488611221313,1.1714996,267.4652,-177.76715,0.0036774823,0.36774823,0.0032312947,0.32312948,2.1141531,9.653015,82.18139,87.67128,100,-32.757683,[-1.769  1.072 -2.959 -1.718 -0.961],1900,639.28958006877,19,75651,7294.0396,9.685602,85.36068,-1.6784668e-05
64.83,0.40805116,0.010403464,0.04296104,-48.64003,10.0,1.0403465,216.0202341079712,1.3253099,215.10608,-456.8017,0.00674428,0.674428,0.0018765291,0.18765292,4.296104,15.766824,85.41775,70.409775,100,-55.94658,[-1.788  1.108 -2.986 -1.735 -0.985],2000,638.0884284434286,20,82134,11756.008,9.684982,75.45405,-2.2277833e-05
69.78,0.36057487,0.01042265,0.041617434,-49.05284,10.0,1.0422649,231.69498991966248,1.4276052,250.84952,-488.9752,0.00794069,0.79406905,0.001259499,0.1259499,4.1617436,22.501589,99.57993,63.273365,100,-59.887,[-1.788  1.137 -2.996 -1.715 -1.011],2100,687.5898329536853,21,89112,20954.023,9.707371,70.04738,-1.3427734e-05
70.71,0.36353064,0.010148778,0.013984975,-31.717546,10.0,1.0148778,247.12994813919067,1.0274144,278.31436,-178.28348,0.001513013,0.15130131,0.0076234005,0.76234007,1.3984976,2.8329332,82.831604,97.82574,100,-34.086445,[-1.784  1.153 -3.006 -1.716 -1.058],2200,696.881645775372,22,96183,7694.2764,9.710995,97.3317,-3.4484863e-05
71.06,0.32724714,0.009825224,0.07175767,-16.161823,10.0,0.9825224,262.7533485889435,2.026998,248.19897,-159.24292,0.010853707,1.0853707,0.00032045873,0.032045875,7.1757665,27.116684,86.40272,45.0387,100,-30.39802,[-1.836  1.2   -3.034 -1.745 -1.055],2300,700.3769164774598,23,103289,28160.973,9.712286,49.334038,2.4719238e-05
76.73,0.3556005,0.010283415,0.034996036,-38.456234,9.999999,1.0283415,279.6963891983032,1.1552651,339.29272,-158.86115,0.00504361,0.504361,0.004118361,0.41183612,3.4996037,6.208113,89.06843,80.60931,100,-41.55469,[-1.842  1.249 -3.047 -1.72  -1.092],2400,757.0770357024682,24,110962,17177.441,9.733552,86.56022,1.0681152e-05
73.63,0.4554098,0.032874107,2.2581604,139.13063,10.0,3.287411,296.87070298194885,30.18151,339.309,-133.1102,0.22473118,22.473118,0.00016638293,0.016638294,225.81604,367.43356,80.80899,2.0950105,100,-41.556667,[-1.846  1.259 -3.047 -1.721 -1.063],2500,726.080427661063,25,118325,12974639.0,9.722422,3.3132868,3.1433105e-05
77.7,0.4314717,0.010765344,0.13069446,-22.73016,10.0,1.0765344,313.96118354797363,1.9966235,275.21777,-177.65372,0.014384513,1.4384514,0.0013279978,0.13279977,13.069447,24.8987,83.29507,35.90154,100,-33.70714,[-1.777  1.25  -3.043 -1.774 -0.963],2600,766.7745325216337,26,126095,21008.533,9.736813,50.084557,1.5258789e-05
79.12,0.4102295,0.010340579,0.11056278,-2.6116219,10.0,1.0340579,330.93505454063416,2.9872048,283.3487,-149.21631,0.01737633,1.7376329,0.00017905943,0.017905943,11.056278,57.367397,94.70635,26.152327,100,-34.703014,[-1.743  1.266 -3.057 -1.824 -0.987],2700,780.9701003371258,27,134007,108413.21,9.741426,33.476112,-2.7160644e-05
80.72,0.43203768,0.0102478275,0.029705757,-29.91394,10.0,1.0247827,348.68034863471985,1.246471,285.42487,-141.30692,0.004973752,0.4973752,0.0036297804,0.36297804,2.9705758,9.114263,82.6931,80.934845,100,-34.957294,[-1.765  1.327 -3.079 -1.753 -1.009],2800,796.9492918813273,28,142079,14198.615,9.746027,80.226494,-2.9296874e-05
86.35,0.4294215,0.010499357,0.035617065,-31.385391,10.0,1.0499357,366.73860144615173,1.2658801,299.48328,-198.64081,0.005870202,0.5870202,0.002661929,0.2661929,3.5617065,9.88271,97.078285,76.185005,100,-36.679066,[-1.745  1.333 -3.06  -1.754 -0.987],2900,853.2472301279721,29,150714,10807.835,9.762543,78.99642,-3.0517579e-06
80.78,0.4153599,0.009971581,0.018724691,-62.886845,10.0,0.9971583,384.23906421661377,1.0723284,231.22571,-540.3971,0.0027406754,0.27406755,0.0038414353,0.38414353,1.8724692,5.649754,99.88286,92.97641,100,-66.18487,[-1.742  1.36  -3.07  -1.771 -0.99 ],3000,797.5589661091531,30,158792,10977.232,9.746464,93.25501,-8.239746e-06
86.19,0.3753294,0.014026302,0.118126616,-27.100613,10.0,1.4026302,401.4702627658844,1.8604155,181.50482,-359.7166,0.01650095,1.650095,0.0004077335,0.04077335,11.812662,32.990616,88.49531,41.946568,100,-44.056084,[-1.756  1.377 -3.081 -1.761 -1.004],3100,851.6468400653462,31,167411,53566.39,9.7620945,53.751434,2.5024414e-05
84.43,0.3284847,0.035585843,2.9528768,187.88641,10.0,3.558585,419.8438010215759,36.41859,198.90155,-558.5245,0.29346249,29.346249,9.300743e-06,0.0009300743,295.2877,600.6957,94.53085,1.4491379,100,-68.40501,[-1.776  1.41  -3.089 -1.716 -1.044],3200,834.0426012992244,32,175854,34497230.0,9.75704,2.7458503,-7.3242186e-06
92.39,0.3048091,0.009936945,0.026403284,-20.008308,10.0,0.9936945,439.40556740760803,1.4267709,213.09216,-195.65161,0.0056527387,0.5652739,0.0022955046,0.22955047,2.6403284,11.165529,87.788956,75.55138,100,-26.098368,[-1.722  1.461 -3.069 -1.693 -1.09 ],3300,913.6503372219252,33,185093,13298.999,9.778145,70.08833,-1.3427734e-05
94.18,0.3048407,0.01007895,0.0159392,-69.979645,10.0,1.007895,459.0185215473175,1.0356382,240.74426,-593.6602,0.0020163988,0.20163988,0.0066165156,0.66165155,1.5939201,4.0128403,117.01444,96.15162,100,-72.70826,[-1.735  1.487 -3.075 -1.664 -1.114],3400,931.532000595868,34,194511,14617.8955,9.781971,96.558815,-2.2277833e-05
93.72,0.28177163,0.0097448835,0.0558961,-8.428387,10.0,0.9744884,477.7197825908661,2.2396266,222.2638,-185.40152,0.011488282,1.1488284,0.00035148,0.035148002,5.58961,32.309845,74.689125,41.84425,100,-27.221643,[-1.746  1.506 -3.084 -1.675 -1.114],3500,926.9295618469864,35,203883,17797.322,9.780848,44.6503,4.272461e-06
97.81,0.28243706,0.009939385,0.0124769695,-72.86176,10.0,0.9939384,497.73796248435974,1.0146886,234.10754,-605.23114,0.0011582471,0.11582472,0.0067809117,0.67809117,1.247697,1.8060193,122.33418,98.66024,100,-74.125404,[-1.716  1.52  -3.09  -1.697 -1.137],3600,967.8293733707974,36,213664,15132.055,9.790007,98.5524,-3.4179688e-05
96.4,0.29785115,0.010156851,0.1284462,-19.95694,10.0,1.0156851,517.1771688461304,1.7891937,197.38861,-160.93912,0.013704689,1.3704691,0.0016829332,0.16829333,12.844621,12.379814,75.7146,35.45315,100,-24.175028,[-1.717  1.522 -3.103 -1.709 -1.137],3700,953.7402295953331,37,223304,12074.024,9.787167,55.891098,4.2419433e-05
102.9,0.18272878,0.015154799,0.6561664,27.471481,10.0,1.5154797,537.2668931484222,13.466909,184.12048,-146.21707,0.066728264,6.6728272,1.4601356e-06,0.00014601357,65.61664,110.2241,81.5281,4.904992,100,-22.550058,[-1.703  1.539 -3.12  -1.742 -1.121],3800,1018.7262372464688,38,233594,1498834.6,9.800346,7.4256086,4.272461e-06
96.83,0.20512672,0.011106113,0.050869208,-19.253218,10.0,1.1106113,557.1130473613739,1.4767351,217.39154,-129.06131,0.008301206,0.8301207,0.002613357,0.2613357,5.0869207,13.101648,80.32245,64.15711,100,-26.6249,[-1.714  1.532 -3.15  -1.777 -1.236],3900,958.0430471044117,39,243277,15556.616,9.788172,67.71695,1.7700195e-05
98.42,0.2098007,0.009914964,0.020202188,-23.161608,10.0,0.99149656,576.7803800106049,1.0579412,195.93402,-179.46951,0.002460996,0.24609962,0.005657679,0.5657679,2.0202188,1.5207279,76.65572,94.1967,100,-23.996946,[-1.745  1.559 -3.144 -1.753 -1.214],4000,973.9403038440843,40,253119,6330.0396,9.791544,94.52321,-2.532959e-05
95.73,0.2158109,0.010052592,0.018447751,-19.417097,10.0,1.005259,596.4309692382812,1.0877227,168.039,-123.504944,0.002863319,0.2863319,0.004093789,0.40937892,1.8447752,2.047107,63.01487,92.49577,100,-20.580496,[-1.734  1.559 -3.129 -1.753 -1.209],4100,947.0388854342043,41,262692,4452.717,9.785652,91.9352,-3.6621093e-06
94.54,0.20421195,0.010351842,0.024806794,-69.01461,10.0,1.0351844,615.3059194087982,1.0831695,259.2931,-592.4426,0.0030658706,0.30658707,0.004180386,0.41803864,2.4806795,6.501589,137.79175,91.935875,100,-72.55913,[-1.735  1.569 -3.137 -1.775 -1.203],4200,935.1383860171527,42,272146,23569.398,9.782946,92.321655,-1.5258789e-05
98.34,0.18725607,0.010630805,0.09929883,-13.209362,10.0,1.0630805,634.8599259853363,1.700354,180.59204,-132.26273,0.012072742,1.2072742,0.0009530448,0.09530448,9.929883,15.631878,68.019615,43.674362,100,-22.117922,[-1.732  1.578 -3.099 -1.767 -1.215],4300,973.1359472619366,43,281980,11727.853,9.791292,58.811283,-3.967285e-06
100.65,0.15558259,0.01104687,0.038699284,-64.228355,10.0,1.1046871,654.9330220222473,1.324057,250.18457,-608.42163,0.006999281,0.69992805,0.0016863282,0.16863282,3.8699286,21.515625,106.42518,71.35483,100,-74.51618,[-1.76   1.613 -3.117 -1.73  -1.232],4400,996.2333510524533,44,292045,19004.31,9.796028,75.52545,-5.3710937e-05
104.08,0.13273354,0.010746642,0.025125457,-71.131805,10.0,1.0746644,675.5518748760223,1.1457655,234.31982,-631.58923,0.004339224,0.43392244,0.004123188,0.41231883,2.5125458,11.667789,102.62147,85.982025,100,-77.35361,[-1.76   1.624 -3.12  -1.723 -1.263],4500,1030.5287580890138,45,302453,13993.677,9.802658,87.27789,-3.7231446e-05
98.99,0.1397562,0.010345515,0.01596372,-72.89526,10.0,1.0345516,695.2320764064789,1.0306969,214.78741,-604.58234,0.001953001,0.19530012,0.0062632035,0.62632036,1.596372,2.2785497,98.1593,96.55895,100,-74.04591,[-1.754  1.626 -3.116 -1.726 -1.286],4600,979.6276971730778,46,312352,11407.613,9.792486,97.021736,-3.6621093e-06
102.89,0.06750675,0.014618415,0.26755473,3.2535095,10.0,1.4618416,715.3648178577423,5.1434803,245.69092,-135.53052,0.03802581,3.8025813,8.778533e-05,0.008778533,26.755474,71.49732,77.7556,12.87601,100,-30.090881,[-1.755  1.633 -3.117 -1.728 -1.279],4700,1018.6273310871236,47,322641,169239.92,9.800346,19.44209,-1.0986329e-05
109.85,0.058360152,0.009968125,0.016649917,-76.64904,10.0,0.9968126,737.098179101944,1.045137,184.57861,-649.86633,0.0024606225,0.24606226,0.0056100087,0.5610009,1.6649917,4.7194614,109.021286,94.25652,100,-79.59209,[-1.741  1.654 -3.121 -1.72  -1.351],4800,1088.2228317863735,48,333626,12742.931,9.812922,95.68123,-4.1503907e-05
108.59,0.047891907,0.010812277,0.08813596,-11.838301,10.0,1.0812278,758.2164137363434,2.0549924,198.15778,-155.5752,0.011363769,1.1363769,0.0010101486,0.10101486,8.813596,22.952295,78.859726,47.51466,100,-24.26923,[-1.751  1.669 -3.13  -1.728 -1.361],4900,1075.6369290788123,49,344485,34706.832,9.811014,48.66198,4.333496e-05
113.56,0.018632978,0.01018804,0.02954295,-20.218643,10.0,1.0188041,779.9982712268829,1.2141511,192.18475,-143.76562,0.0052294848,0.52294844,0.0027236643,0.27236643,2.9542952,5.7172346,72.40495,79.14691,100,-23.537685,[-1.753  1.693 -3.115 -1.693 -1.371],5000,1125.3082738080768,50,355841,7103.931,9.818779,82.36207,4.3945314e-05
108.15,0.0098104635,0.010204604,0.03858459,-20.282866,10.0,1.0204604,800.9528472423553,1.2760419,199.44171,-131.17902,0.005985096,0.59850967,0.0026999721,0.2699972,3.858459,7.309829,71.19037,74.405136,100,-24.426466,[-1.754  1.693 -3.116 -1.7   -1.4  ],5100,1071.221620075683,51,366656,8700.489,9.809963,78.36733,5.493164e-05
109.05,-0.0046671596,0.010042645,0.016998108,-26.601147,10.0,1.0042645,821.7281322479248,1.0809343,228.58917,-115.11786,0.0028206077,0.2820608,0.0037296403,0.37296402,1.6998109,2.5060835,71.76073,92.68837,100,-27.996317,[-1.745  1.699 -3.13  -1.716 -1.409],5200,1080.2255168682473,52,377561,5401.495,9.811602,92.512566,2.746582e-05
111.91,-0.072135426,0.009796831,0.0819032,-6.556164,10.0,0.979683,843.0804059505463,2.55363,190.69049,-129.97064,0.013686193,1.3686193,0.00017988296,0.017988296,8.19032,30.76487,68.800545,33.879753,100,-23.354763,[-1.747  1.705 -3.129 -1.71  -1.424],5300,1108.8178917311307,53,388752,29730.488,9.816284,39.15994,-4.2114258e-05
114.68,-0.035552755,0.0119199185,0.08168651,-3.0836601,10.0,1.1919918,864.7674713134766,2.8461442,228.0249,-134.75085,0.013338312,1.3338312,0.0011308568,0.11308568,8.168652,44.03103,79.68506,44.40208,100,-27.927214,[-1.745  1.702 -3.136 -1.718 -1.491],5400,1136.5390391939509,54,400220,64985.81,9.8210945,35.135254,2.1972657e-05
112.93,-0.05545309,0.010153965,0.0352339,-26.860306,10.0,1.0153965,886.9945621490479,1.302491,248.36469,-126.824646,0.006209168,0.6209168,0.0025004267,0.25004268,3.52339,7.8551493,71.49821,72.783676,100,-30.418404,[-1.726  1.705 -3.144 -1.74  -1.454],5500,1119.0328479215561,55,411513,9815.539,9.818209,76.77596,-6.530762e-05
117.05,-0.06426077,0.008904354,0.08780003,-13.183338,10.0,0.89043534,909.6095080375671,2.4070413,178.28967,-122.5343,0.011947605,1.1947604,0.0005887443,0.058874432,8.780004,20.694336,71.70501,35.709824,100,-21.835957,[-1.741  1.718 -3.151 -1.721 -1.474],5600,1160.2232888672495,56,423218,33741.504,9.824453,41.54478,-2.0141602e-05
115.86,-0.15275545,0.013529003,0.4090718,35.025658,10.0,1.3529003,932.1458156108856,9.597887,201.24426,-158.90027,0.045035675,4.5035677,5.4096486e-06,0.0005409649,40.90718,111.38409,78.22374,8.277408,100,-24.647291,[-1.726  1.732 -3.147 -1.703 -1.483],5700,1148.317501059761,57,434804,702931.25,9.822531,10.41896,-1.2207031e-06
119.21,-0.13749516,0.012389084,0.17916022,1.3429909,10.0,1.2389084,954.6984786987305,4.8723216,211.25684,-102.88623,0.022293577,2.2293577,0.00017402653,0.017402653,17.916023,58.45459,68.84265,23.595856,100,-25.873623,[-1.711  1.741 -3.156 -1.723 -1.572],5800,1181.8316802132906,58,446725,188452.61,9.82777,20.524097,-4.9438477e-05
116.7,-0.23746824,0.015577504,0.7836805,36.66466,10.0,1.5577503,977.3614058494568,9.1430645,164.0315,-130.67877,0.079188,7.9188004,1.7845985e-05,0.0017845986,78.36805,97.41081,70.530716,3.7255304,100,-20.089645,[-1.678  1.731 -3.157 -1.757 -1.556],5900,1156.7409138192966,59,458395,923257.1,9.824224,10.937252,2.8686523e-05
116.78,-0.24173802,0.009972788,0.011452158,-81.413895,10.0,0.997279,999.9495916366577,1.004302,194.51306,-666.72473,0.00070672896,0.0706729,0.007961496,0.79614955,1.1452159,0.41833326,93.11413,99.50031,100,-81.6568,[-1.683  1.741 -3.159 -1.735 -1.656],6000,1157.5508015786527,60,470073,8705.488,9.824518,99.57164,-2.9296874e-05
114.62,-0.29345053,0.010321244,0.08444846,-9.902046,10.0,1.0321244,1021.9401829242706,1.8127927,168.06897,-108.91382,0.010373514,1.0373514,0.0010741476,0.10741477,8.444846,17.812466,59.198948,49.74742,100,-20.58419,[-1.684  1.742 -3.16  -1.737 -1.661],6100,1135.9442134934939,61,481535,14409.751,9.821093,55.163506,-2.8076172e-05
121.93,-0.2798732,0.010657503,0.029478801,-18.873972,10.0,1.0657502,1044.7511863708496,1.1766912,174.61023,-98.926025,0.0048179193,0.48179194,0.004165016,0.41650164,2.9478803,4.323818,69.23056,83.031265,100,-21.385353,[-1.685  1.747 -3.163 -1.747 -1.712],6200,1209.0464616432978,62,493728,6412.7764,9.831863,84.98406,-5.3100586e-05
115.78,-0.26585987,0.010055056,0.024104893,-19.244978,10.0,1.0055056,1067.052051782608,1.1068759,168.27753,-104.77466,0.0035175723,0.35175723,0.004236251,0.4236251,2.4104893,2.4381156,56.06648,89.09623,100,-20.60973,[-1.683  1.752 -3.164 -1.74  -1.699],6300,1147.546311238671,63,505306,3638.689,9.822922,90.34437,-2.5024414e-05
117.69,-0.26082784,0.010207239,0.01831928,-23.151743,10.0,1.0207238,1089.4660918712616,1.0450487,198.49219,-92.886475,0.0022653798,0.22653799,0.0066718333,0.66718334,1.8319281,1.7000277,57.768425,95.305565,100,-24.310207,[-1.685  1.749 -3.167 -1.748 -1.685],6400,1166.6424672391192,64,517075,3427.0596,9.825731,95.689316,2.3193359e-05
121.24,-0.26805884,0.008714213,0.042940415,-19.921,10.0,0.8714213,1112.5299208164215,1.3659484,216.51392,-115.87732,0.006332643,0.6332643,0.0015656983,0.15656984,4.2940416,11.070929,74.42164,65.44086,100,-26.517492,[-1.693  1.758 -3.174 -1.744 -1.68 ],6500,1202.1329414958918,65,529199,7030.5884,9.830675,73.209206,-6.1035156e-05
121.41,-0.29282096,0.012528454,0.34516102,0.5220642,10.0,1.2528453,1135.849766254425,5.394659,173.14569,-122.94098,0.036392942,3.6392937,0.0002930006,0.029300062,34.5161,49.775818,69.94832,10.595468,100,-21.205973,[-1.694  1.773 -3.184 -1.74  -1.687],6600,1203.8402212564122,66,541340,191139.8,9.831034,18.536852,-4.0283205e-05
119.32,-0.2658762,0.024119025,1.4659516,7.660324,10.0,2.4119024,1158.3957550525665,7.6730437,195.42505,-683.31396,0.14586405,14.586408,0.0007009952,0.070099525,146.59515,239.47972,96.79939,2.6613867,100,-83.688484,[-1.71   1.791 -3.184 -1.685 -1.712],6700,1182.9246722824637,67,553272,5160341.5,9.827814,13.032638,4.5776367e-05
117.37,-0.26599884,0.009675163,0.017358573,-76.29528,10.0,0.96751624,1181.3181564807892,1.1032213,185.12,-673.9378,0.003032411,0.3032411,0.002819835,0.2819835,1.7358574,10.40027,120.043945,91.05531,100,-82.54014,[-1.738  1.819 -3.193 -1.652 -1.685],6800,1163.3895786350135,68,565009,11824.121,9.82435,90.64365,4.760742e-05
120.23,-0.2691562,0.010033058,0.014422674,-78.73868,10.0,1.0033058,1204.845386505127,1.0473558,183.19257,-669.99677,0.0020554562,0.20554563,0.0048766015,0.48766017,1.4422674,5.2393026,126.185844,95.97196,100,-82.05742,[-1.735  1.815 -3.196 -1.662 -1.685],6900,1192.000975486278,69,577032,12864.978,9.828711,95.47854,8.972168e-05
120.01,-0.2742829,0.009893924,0.0118293995,-82.028015,10.0,0.9893924,1227.5407729148865,1.0071418,218.19897,-673.6475,0.000796386,0.0796386,0.008060361,0.8060361,1.18294,0.7707144,105.08826,99.356255,100,-82.50468,[-1.734  1.815 -3.202 -1.67  -1.688],7000,1189.7962854853445,70,589033,10394.431,9.828325,99.29088,-3.631592e-05
124.5,-0.37679514,0.018437527,0.5155172,23.122017,10.0,1.8437529,1250.9886775016785,10.217379,161.58105,-186.83057,0.060140792,6.014079,1.787854e-05,0.0017878539,51.551716,96.26343,71.02751,8.591225,100,-22.881933,[-1.735  1.816 -3.205 -1.672 -1.693],7100,1234.6871789311306,71,601483,706339.9,9.83437,9.787246,4.4555665e-05
127.7,-0.37817413,0.010108122,0.0155417025,-24.52552,10.0,1.0108123,1275.308203458786,1.0180213,206.08813,-127.589355,0.0015496892,0.15496892,0.0076436135,0.7643614,1.5541703,0.9414362,66.83312,97.70355,100,-25.24055,[-1.759  1.846 -3.221 -1.694 -1.796],7200,1266.704251328834,72,614253,5525.753,9.838793,98.22977,-1.0375977e-05
117.51,-0.41456893,0.011288955,0.04267316,-14.655294,10.0,1.1288955,1298.567668914795,1.4518256,193.0597,-167.26794,0.007524207,0.75242066,0.0013098603,0.13098603,4.267316,13.834837,66.11498,69.24075,100,-23.644905,[-1.764  1.851 -3.23  -1.693 -1.797],7300,1164.8021193567981,73,626004,10692.451,9.824768,68.87879,-1.7089844e-05
