EpRewMean,Bound,TimestepsSoFar,ReturnStepMaxmin,MeanIW,MeanEntropy,InitialReturnStd,EpisodesSoFar,StdIW,MeanD2w0t,TimeElapsed,InitialReturnMax,StdD2w0t,InitialReturnMin,MinD2w0t,MinIW,MaxD2w0t,EmpiricalD2,InitialReturnMean,Weights,ReturnStepMax,EpThisIter,EpLenMean,Iteration,MaxIW,ReturnMeanIW,InitialBound,J_sample_variance
1598.1562229157366,-473.28607,74581,9.871391,0.73621887,0.65867245,187.7732,960,0.3429746,0.44527206,194.1152560710907,175.37262,0.66814244,-729.8482,,0.17703904,2.593397,1.8293728,1.2207031e-05,[-0.241  0.75  -1.667 -2.583 -0.785],10.0,20,160.85,48,2.3239834,-176.36787,-499.15002,44800.566
1877.962073778906,-425.1667,78358,9.888403,0.7278388,0.65156853,100.00243,980,0.35874894,0.521252,202.01229548454285,168.71954,0.70206344,-182.14984,,0.09063527,3.5528426,2.1921048,7.019043e-05,[-0.24   0.723 -1.645 -2.616 -0.76 ],10.0,20,188.85,49,2.133183,-132.3225,-447.87256,15095.581
1505.171893637023,-405.2928,81389,9.86371,0.52120787,0.62145615,132.33852,1000,0.53514117,0.54768884,208.6229441165924,263.30896,1.0524857,-241.27008,,0.01805498,12.468296,5.3838835,-3.6621095e-05,[-0.24   0.657 -1.683 -2.529 -0.767],9.999998,20,151.55,50,3.153993,-87.98409,-537.95386,14768.692
1544.1351217446968,-480.02393,84498,9.86665,0.70819217,0.5766548,165.42989,1020,0.54719245,0.49510753,215.09236574172974,227.03217,0.8054953,-490.33585,,0.08714175,4.5451546,2.439659,-1.6784668e-05,[-0.19   0.641 -1.673 -2.501 -0.797],10.0,20,155.45,51,3.2328293,-174.09288,-523.3164,42332.43
1785.0011123081815,-401.18246,88089,9.883059,0.58177453,0.5620121,133.13486,1040,0.4747443,0.70493484,222.6393539905548,217.31238,1.2626286,-181.65662,,0.028173046,16.421518,6.454271,1.5258789e-05,[-0.171  0.639 -1.669 -2.497 -0.842],10.0,20,179.55,52,2.6008446,-82.298546,-487.18213,7297.5156
2128.83365665845,-338.02042,92368,9.900294,0.5226208,0.53836924,105.41298,1060,0.40944177,0.67655957,231.38514018058777,122.12976,0.94408953,-396.96494,,0.0077234,5.844922,3.499976,1.9836425e-05,[-0.143  0.669 -1.679 -2.488 -0.857],9.999999,20,213.95,53,2.6048384,-46.13679,-405.52264,3171.8384
2126.9993933737837,-366.3437,96643,9.9017515,0.6949161,0.5169066,140.00642,1080,0.6139748,0.8847918,240.09060549736023,155.15118,1.7843215,-334.3623,,0.01206764,26.981617,10.061117,-3.0517579e-06,[-0.171  0.683 -1.694 -2.501 -0.881],9.999999,20,213.75,54,5.749494,-60.127754,-431.47287,7510.9966
2177.979003472486,-386.80078,101020,9.903856,0.6208836,0.48056522,209.41765,1100,0.36049074,0.6862813,248.74182629585266,140.96228,0.8353303,-821.2998,,0.054666266,3.1542482,2.2501376,1.8310548e-05,[-0.13   0.685 -1.712 -2.487 -0.902],10.0,20,218.85,55,1.9522727,-89.84237,-429.37662,35468.508
3010.4106350622424,-327.41843,107061,9.933204,1.0905249,0.48032594,56.023346,1120,0.5779754,0.6655342,260.63054513931274,64.03406,0.5439669,-131.9679,,0.33117476,1.5531228,1.3510311,3.3569337e-05,[-0.131  0.723 -1.72  -2.526 -0.938],9.999999,20,302.05,56,5.8175125,-52.286144,-332.91495,1825.5298
2461.8807787306655,-405.74213,112006,9.914108,0.77500266,0.46146488,250.24115,1140,0.4124653,0.8024674,270.49428129196167,174.63806,0.9579136,-817.74915,,0.13682938,5.936117,2.7331078,1.8310548e-05,[-0.121  0.722 -1.727 -2.55  -0.939],10.0,20,247.25,57,3.8753974,-112.46252,-443.47577,46443.16
2422.362301517613,-359.39166,116872,9.912556,0.5887021,0.44287676,161.01591,1160,0.42464557,0.8998331,280.33169746398926,132.16406,1.2126424,-596.3176,,0.031312138,10.105565,3.9150925,-2.1362304e-05,[-0.097  0.674 -1.767 -2.516 -0.957],10.0,20,243.3,58,3.061928,-63.756947,-404.7071,10414.925
3258.7767062885587,-327.4699,123408,9.943569,0.9483506,0.43878877,141.74168,1180,0.47335818,0.7381832,293.03255677223206,73.79797,0.5472773,-588.739,,0.27189785,1.6951181,1.4553394,,[-0.073  0.639 -1.784 -2.506 -0.976],10.0,20,326.8,59,2.6752057,-50.91682,-343.14737,11889.019
3306.777199044186,-347.9938,130036,9.956415,0.7274737,0.41580147,237.05013,1200,0.4953349,1.0790799,305.90567779541016,120.48016,0.9043457,-862.8843,,0.08118382,4.4537,2.4688578,5.1879884e-05,[-0.065  0.654 -1.835 -2.507 -0.98 ],10.0,20,331.4,60,3.8880672,-61.48393,-390.4613,28446.37
4103.16267996517,-281.88052,138255,9.969172,0.94581854,0.4143435,36.521122,1220,0.49918425,1.1119852,321.7870178222656,22.344604,0.77089936,-116.461426,,0.09244555,6.1897545,2.8622048,-3.0517578e-05,[-0.054  0.634 -1.905 -2.52  -1.003],10.0,20,410.95,61,4.464062,-5.808786,-292.9605,123.40529
4542.276483645976,-288.45807,147349,9.979242,0.8453346,0.41794068,108.12608,1240,0.31853124,1.13198,338.9455623626709,27.864685,0.4192418,-470.73965,,0.13894658,2.2820234,1.6831506,6.2561034e-05,[-0.035  0.634 -1.914 -2.522 -1.005],10.0,20,454.7,62,2.3247726,-11.511984,-298.97845,1763.3884
4122.690627369421,-278.98123,155612,9.957375,0.8094692,0.41829786,20.91593,1260,0.32885516,1.0378442,354.56999588012695,15.513977,0.5768353,-68.49872,,0.14548141,3.7273874,2.1377351,-9.155274e-06,[-0.044  0.62  -1.947 -2.523 -1.001],10.0,20,413.15,63,2.0357807,-3.86554,-285.57062,46.715126
4425.931246880586,-297.22742,164473,9.979388,0.95579004,0.4124145,114.892914,1280,0.28932822,0.9701375,371.2452871799469,32.824585,0.35357338,-497.16098,,0.42372385,1.3639001,1.18712,-2.2888184e-05,[-0.03   0.618 -1.952 -2.52  -1.001],9.999999,20,443.05,64,2.0231204,-22.367313,-303.95255,5554.811
4748.454887618145,-274.02725,173978,9.982998,1.0210433,0.41177207,7.300205,1300,0.1625308,0.9787264,389.11042881011963,3.4708252,0.22735642,-25.088684,,0.37591583,1.3247664,1.0995926,-5.7983398e-05,[-0.031  0.605 -1.98  -2.519 -1.007],10.0,20,475.25,65,1.558373,-1.5246915,-274.7775,20.68067
