InitialReturnStd,InitialReturnMax,MeanIWNorm,StdIWNorm,J_sample_variance,MinIWNorm,InitialReturnMin,MinIW,ReturnStepMaxmin,Weights,MeanIW,InitialBound,Bound,Iteration,ReturnStepMax,TimestepsSoFar,ESSClassic,EmpiricalD2,EntropyCoefficient,InitialReturnMean,MaxIWNorm,EpThisIter,ReturnMeanIW,MaxIW,EpRewMean,EpLenMean,StdIW,TimeElapsed,ESSRenyi,MeanEntropy,EpisodesSoFar
127.77461,136.9812,0.010128026,0.0028270052,12271.68,0.004185551,-798.73,0.41855508,9.892839,[-0.492  1.309 -2.166 -2.022 -1.013],1.0128026,-93.764786,-89.06434,50,10.0,602912,92.77196,1.0685081,10.0,-5.6762696e-05,0.018230679,100,8.094166,1.8230679,1927.8069376222538,193.82,0.28270054,1091.992071390152,93.58843,0.39609113,5000
200.55275,184.33173,0.010023675,0.001100144,38356.785,0.0069571543,-807.1149,0.6957154,9.896944,[-0.488  1.307 -2.177 -2.031 -1.023],1.0023675,-94.8901,-93.11213,51,10.0,623035,98.80972,1.0126122,10.0,-2.0751953e-05,0.013826966,100,2.4418736,1.3826966,2001.922006281091,201.23,0.11001441,1119.7321848869324,98.754486,0.39183968,5100
152.81694,148.24573,0.010006678,0.0005097789,22697.662,0.008777599,-833.35,0.87775993,9.897068,[-0.489  1.311 -2.185 -2.038 -1.027],1.0006678,-98.145676,-96.8232,52,10.0,643224,99.74115,1.00242,10.0,5.065918e-05,0.011054278,100,1.4556904,1.1054279,2008.500438857479,201.89,0.050977893,1152.0084974765778,99.75859,0.39086422,5200
168.27768,164.9704,0.010107831,0.0028040183,28187.809,0.0049461154,-828.29553,0.49461156,9.9002285,[-0.49   1.315 -2.197 -2.041 -1.028],1.0107831,-97.536415,-93.95954,53,10.0,663835,92.85425,1.056164,10.0,1.7089844e-05,0.019137492,100,6.494322,1.9137492,2050.807275722844,206.11,0.28040186,1186.9243834018707,94.68227,0.3801071,5300
141.45557,174.53369,0.01015043,0.0020438454,18996.06,0.0061438996,-808.6679,0.61438996,9.8927,[-0.493  1.325 -2.205 -2.046 -1.039],1.0150431,-95.2401,-90.277565,54,10.0,682900,96.10357,1.0412533,10.0,2.4414063e-05,0.015679333,100,7.052099,1.5679333,1896.263529653866,190.65,0.20438455,1216.2959353923798,96.03811,0.37337676,5400
99.617195,125.93683,0.010476718,0.0021340554,10652.827,0.006679897,-847.6827,0.66798973,9.897093,[-0.493  1.336 -2.22  -2.054 -1.046],1.0476719,-100.085686,-98.3849,55,10.0,702978,96.016136,1.0349854,10.0,5.3100586e-05,0.020449324,100,3.4582796,2.0449324,1997.4601872749572,200.78,0.21340552,1247.468778371811,96.61972,0.377679,5500
106.80606,137.97632,0.010234506,0.004260963,13993.721,0.0050114887,-845.2943,0.5011489,9.9037895,[-0.49   1.334 -2.224 -2.062 -1.041],1.0234505,-99.7502,-95.05055,56,10.0,724282,85.227264,1.1186787,10.0,7.93457e-06,0.0348024,100,10.778315,3.48024,2120.13978581509,213.04,0.4260963,1281.3928644657135,89.391174,0.3669162,5600
119.58465,140.97339,0.010172572,0.0025244257,15734.063,0.005938361,-831.2671,0.5938361,9.897936,[-0.487  1.336 -2.225 -2.048 -1.052],1.0172572,-98.1399,-95.50584,57,10.0,744566,94.198906,1.0468994,10.0,-4.4555665e-05,0.017437361,100,4.9009576,1.7437361,2018.0385887773125,202.84,0.25244257,1310.5347528457642,95.52016,0.37622577,5700
102.1766,135.68585,0.010225808,0.0025966114,10544.223,0.004518207,-703.3295,0.45182073,9.902327,[-0.487  1.339 -2.231 -2.056 -1.043],1.0225809,-82.377655,-78.45447,58,10.0,765873,93.94267,1.0499705,10.0,1.15966795e-05,0.017821033,100,6.1015387,1.7821033,2120.283114727342,213.07,0.25966117,1342.077463388443,95.24077,0.37099108,5800
131.82191,150.59912,0.009934622,0.0018224893,18650.463,0.006702304,-837.73376,0.6702304,9.896597,[-0.485  1.348 -2.242 -2.067 -1.048],0.99346215,-98.89104,-97.745476,59,10.0,785921,96.74423,1.0286027,10.0,6.652832e-05,0.019422175,100,2.574524,1.9422176,1994.4246690927894,200.48,0.18224894,1374.048003911972,97.21926,0.37380102,5900
115.83738,137.58093,0.009977396,0.0021117432,14250.249,0.006447792,-840.1796,0.6447792,9.901028,[-0.483  1.353 -2.241 -2.064 -1.045],0.9977396,-99.16251,-95.904396,60,10.0,806873,95.712395,1.0406574,10.0,5.340576e-05,0.016864508,100,5.341569,1.686451,2084.8223493220903,209.52,0.21117432,1404.9530420303345,96.0931,0.37255988,6000
