MinIW,Weights,Bound,MaxD2w0t,InitialReturnMean,ReturnMeanIW,EpRewMean,TimestepsSoFar,MeanEntropy,InitialBound,EmpiricalD2,TimeElapsed,StdIW,J_sample_variance,ReturnStepMax,InitialReturnMax,EpisodesSoFar,MeanD2w0t,StdD2w0t,InitialReturnMin,InitialReturnStd,ReturnStepMaxmin,MinD2w0t,Iteration,MeanIW,EpThisIter,MaxIW,EpLenMean
0.08350605,[-0.035  0.584 -2.216 -2.663 -0.711],-172.53726,2.294703,-1.0986329e-05,-47.878616,3689.2104502049474,260398,0.69633305,-183.97896,1.6153947,380.0239372253418,0.56199706,14839.769,9.979557,64.48242,3200,0.9344357,0.5836904,-899.1954,132.34439,9.959114,,32,1.035597,100,5.6008034,369.68
0.044894807,[-0.026  0.6   -2.271 -2.648 -0.723],-178.54065,3.2607076,-0.00010925293,-52.082626,3924.892142260067,299714,0.6712079,-188.63744,2.1464646,411.63961458206177,0.5784689,26821.645,9.983041,68.74414,3300,1.1934367,0.7233871,-914.59106,180.19725,9.966082,,33,0.9756178,100,7.0177402,393.16
0.029791927,[-0.015  0.579 -2.31  -2.64  -0.748],-170.70721,3.1265216,1.0070801e-05,-43.225037,4100.416289498011,340764,0.64604276,-187.20757,2.2296624,446.5525269508362,0.7760974,18364.02,9.988948,66.65607,3400,1.3062606,0.73061895,-926.6593,175.07474,9.977896,,34,1.0202713,100,9.451714,410.5
0.120940275,[-0.013  0.558 -2.42  -2.634 -0.773],-133.296,2.1472783,6.1035157e-06,-9.310153,4478.386637420113,385588,0.63019025,-137.59464,1.567282,482.2786753177643,0.41002914,756.4116,9.99118,16.81488,3500,1.1213098,0.42376542,-288.67767,45.28426,9.982361,,35,0.9325932,100,4.0450215,448.24
0.2276334,[-0.004  0.54  -2.44  -2.628 -0.789],-167.79059,1.34834,9.58252e-05,-44.757114,4394.442559817164,429567,0.6171877,-172.88686,1.2320001,519.0515418052673,0.32994562,30158.69,9.992279,51.989502,3600,0.98584044,0.37199357,-941.3514,177.45444,9.984558,,36,0.9544212,100,3.299436,439.79
0.071921416,[-0.006  0.551 -2.479 -2.636 -0.802],-164.23912,1.9905578,7.3242186e-06,-39.671604,4522.448207254773,474823,0.6044963,-171.58224,1.5226278,554.9618377685547,0.48538837,28939.82,9.993179,50.598938,3700,1.1412821,0.40863916,-942.7565,187.6126,9.986359,,37,0.9566364,100,5.535827,452.56
0.25939152,[-0.008  0.532 -2.521 -2.639 -0.814],-136.33412,1.4478612,2.8076172e-05,-13.107292,4671.809592272096,521571,0.59154856,-139.61295,1.2849492,592.3457963466644,0.37202033,4477.673,9.99377,18.557617,3800,1.0675687,0.2953171,-664.401,88.46244,9.987539,,38,0.98442155,100,3.509536,467.48
0.04294543,[-0.006  0.517 -2.547 -2.635 -0.827],-162.69954,2.0801883,5.432129e-05,-36.696613,4515.607968588296,566756,0.5654253,-171.17831,1.8911493,628.194620847702,0.6939918,22060.605,9.993772,50.107666,3900,1.2901771,0.5002829,-943.2264,179.43704,9.987543,,39,0.8992067,100,12.778923,451.85
0.16468449,[-0.008  0.524 -2.572 -2.633 -0.854],-138.34514,1.4130067,6.7749024e-05,-15.345015,4748.701377339781,614263,0.55425775,-142.44089,1.2228153,665.9755022525787,0.30359477,8077.253,9.995977,21.133423,4000,1.0579965,0.2527334,-942.5472,120.20667,9.991955,,40,0.9779809,100,2.339657,475.07
0.15028384,[-0.007  0.509 -2.605 -2.624 -0.865],-142.07982,1.9053253,-4.8217775e-05,-17.958975,4634.488467903474,660636,0.5435123,-148.44643,1.4678401,730.2286863327026,0.4993931,11295.533,9.994138,27.359192,4100,1.1258012,0.3462345,-965.9992,127.79195,9.988276,,41,0.9803059,100,4.9235888,463.73
