Weights,TimestepsSoFar,MeanD2w0t,EpLenMean,InitialReturnStd,StdIW,MaxIW,TimeElapsed,MeanIW,Iteration,MinIW,ReturnMeanIW,ReturnStepMaxmin,MeanEntropy,EntropyCoefficient,MaxD2w0t,StdD2w0t,J_sample_variance,EpRewMean,EpThisIter,Bound,EpisodesSoFar,InitialBound,InitialReturnMin,InitialReturnMean,ReturnStepMax,EmpiricalD2,InitialReturnMax,MinD2w0t
[-0.556  0.108 -1.498 -1.484 -0.544],4202,0.08746384,34.7,155.24814,0.33303508,4.072647,29.495241165161133,0.8288565,11,0.34179324,-557.9342,9.413907,0.89123523,10.0,2.4016883,0.3265086,49675.203,336.83122939734824,20,-835.30505,220,-930.6641,-270.4666,-1.373291e-05,9.999997,1.3803002,290.7008,
[-0.615  0.118 -1.554 -1.63  -0.528],4851,0.13550459,32.45,116.714386,0.29063797,3.2057147,32.63552141189575,0.37851983,12,0.0035337918,-256.33243,9.37198,0.77301043,10.0,9.551861,0.59501433,43558.49,314.3099178740861,20,-633.01526,240,-927.07733,-251.61922,-3.8146973e-06,9.999972,3.86515,228.21826,
[-0.52   0.128 -1.556 -1.767 -0.646],5828,0.15382986,48.85,121.38676,0.5479845,2.885507,36.78881883621216,0.73993134,13,0.01609153,-433.96646,9.58154,0.6881148,10.0,4.837195,0.5027647,146600.55,478.27896396201834,20,-758.05975,260,-850.12024,-186.15167,-2.5177002e-05,9.999997,2.25916,258.4297,
[-0.588  0.144 -1.508 -1.743 -0.731],6547,0.13215388,35.95,140.83852,0.6128679,6.7811337,40.03354549407959,0.5970794,14,0.08967552,-377.4936,9.433724,0.67771685,10.0,24.883276,0.7045737,149125.8,349.3211399724188,20,-727.38055,280,-926.2569,-262.0302,3.8146973e-05,9.999997,6.456511,313.25513,
[-0.487  0.17  -1.663 -1.9   -0.741],7484,0.12484375,46.85,91.14794,0.72089094,3.2430756,43.87418794631958,0.7947481,15,0.02949135,-495.9857,9.562376,0.6550246,10.0,5.5343294,0.4198993,293601.1,458.24849096236403,20,-788.15314,300,-860.58075,-100.71292,9.155274e-06,9.999994,2.8159206,297.87952,
[-0.504  0.114 -1.636 -1.879 -0.764],8356,0.17464368,43.6,124.43871,0.61946326,8.233189,46.99243354797363,0.57214093,16,0.07462073,-311.879,9.530347,0.6693113,10.0,64.03725,1.184084,111000.0,425.7613795148526,20,-667.18726,320,-880.8266,-295.78714,3.2043456e-05,9.999993,10.83898,283.62476,
[-0.464  0.195 -1.68  -1.988 -0.75 ],9398,0.1889574,52.1,129.88374,0.41592428,3.419681,50.50154972076416,0.52248716,17,0.015207385,-299.92197,9.6065235,0.6878017,10.0,20.063961,0.79046804,92624.61,510.7498288553405,20,-634.1363,340,-841.8898,-366.62082,3.0517579e-06,9.999998,7.335946,325.84747,
[-0.474  0.115 -1.666 -1.942 -0.731],10207,0.18911967,40.45,59.79553,0.31785563,2.7987747,54.11130404472351,0.3594112,18,0.018071268,-216.74654,9.492744,0.55562526,10.0,7.7167454,0.71730655,36686.22,394.2401122568659,20,-592.51794,360,-866.1457,-102.44168,1.5258789e-05,9.9999695,4.153626,128.26602,
[-0.527  0.136 -1.69  -2.093 -0.863],11119,0.10919731,45.6,97.70214,0.51243293,2.4225643,57.514039754867554,0.8288137,19,0.18622681,-500.32364,9.550297,0.50834304,10.0,2.0561514,0.34827098,115086.305,445.7466355578469,20,-777.4132,380,-863.63654,-213.2728,1.0681152e-05,9.999994,1.470176,254.15945,
[-0.592  0.167 -1.696 -2.045 -0.911],12018,0.1735323,44.95,119.34234,0.63997114,5.77767,61.13763737678528,0.6122406,20,0.06333381,-339.14072,9.544852,0.5374201,10.0,37.592052,0.91097087,150004.7,439.2702694690033,20,-700.07605,400,-883.7097,-203.25705,-1.1444092e-05,9.999988,8.977868,366.4394,
[-0.549  0.233 -1.702 -2.066 -0.882],12971,0.20020825,47.65,76.2978,0.77639174,5.2076397,64.13245487213135,0.5735224,21,0.046498064,-314.33206,9.568962,0.5291316,10.0,37.548626,1.0986222,271808.12,466.2302869969446,20,-653.0776,420,-838.06213,-101.74161,1.5258789e-06,9.99999,10.762759,155.3841,
[-0.535  0.308 -1.737 -2.1   -0.89 ],14165,0.215969,59.7,82.49173,0.5679976,2.7440553,67.80309844017029,0.44264638,22,0.007964244,-206.14062,9.656361,0.47814327,10.0,9.278815,0.7424082,101751.87,586.7424131271137,20,-545.14954,440,-787.3916,-108.05588,-6.1035157e-06,10.0,6.9807053,205.90768,
[-0.575  0.271 -1.728 -2.09  -0.941],15298,0.21957555,56.65,111.31135,0.48921552,3.8131492,71.02830791473389,0.38340333,23,0.027727172,-173.67232,9.638643,0.46710753,10.0,48.621143,1.1307012,78165.19,556.2645486584244,20,-519.50757,460,-812.3027,-194.23183,-7.6293946e-07,10.0,11.266962,256.0579,
[-0.53   0.326 -1.736 -2.094 -0.952],16509,0.22279786,60.55,95.011894,0.6407037,15.328026,74.8668839931488,0.49142402,24,0.04185806,-227.37935,9.6620655,0.42404288,10.0,16.35092,0.83327925,117739.516,595.2690096071212,20,-588.1208,480,-790.23846,-116.938354,9.155274e-06,10.0,8.192709,247.29858,
[-0.471  0.345 -1.738 -2.123 -0.995],17907,0.18815559,69.9,98.899765,0.4796275,2.3211677,79.04239082336426,0.84854853,25,0.34057114,-396.90622,9.707354,0.4782975,10.0,2.418573,0.47782838,47825.645,688.7719856884186,20,-695.3624,500,-746.4626,-157.8645,-1.0681152e-05,9.999998,1.678601,214.83618,
[-0.477  0.352 -1.724 -2.097 -0.941],18957,0.20346998,52.5,113.402565,0.5114574,3.297961,82.22795867919922,0.52200156,26,0.007849965,-284.72775,9.609943,0.40572542,10.0,8.500938,0.70123506,108607.664,514.7608534714493,20,-644.3853,520,-826.92126,-384.36264,9.155274e-06,9.999994,5.5017705,220.64627,
[-0.455  0.388 -1.748 -2.156 -1.013],20276,0.21800159,65.95,95.18635,0.46760553,11.00404,86.24055409431458,0.3966243,27,0.011890886,-138.53203,9.690112,0.3864741,10.0,9.852404,0.71043724,22019.854,649.2814870676881,20,-474.0349,540,-766.69226,-131.84003,7.6293945e-06,9.999999,6.5002418,254.31345,
[-0.404  0.398 -1.748 -2.171 -1.032],21719,0.20790069,72.15,98.60107,0.53978336,3.1905093,90.70404410362244,0.71977293,28,0.08548014,-307.04147,9.717829,0.39746696,10.0,2.9711456,0.52384204,55831.24,711.3206368718727,20,-613.64923,560,-734.314,-169.87375,,9.999998,1.972825,190.68472,
[-0.453  0.468 -1.747 -2.12  -1.021],23279,0.19829465,78.0,97.54442,0.38862023,2.1683965,95.56475925445557,0.8978891,29,0.35282618,-396.37558,9.738069,0.42785797,10.0,2.1004798,0.4686479,43353.92,769.7845429831198,20,-690.03503,580,-714.20337,-150.54504,1.5258789e-05,9.999997,1.5125264,233.07422,
[-0.463  0.48  -1.744 -2.206 -0.991],24707,0.25464952,71.4,74.41976,0.55507684,3.3878279,98.94145154953003,0.40491572,30,0.018177915,-150.84773,9.714503,0.3903793,10.0,7.0986385,0.7446857,49909.824,703.8076906133203,20,-492.21536,600,-734.93427,-124.44382,1.2207031e-05,9.999999,5.7727337,205.7164,
[-0.422  0.5   -1.739 -2.166 -1.029],26276,0.29021558,78.45,76.05295,0.36181232,3.1758657,102.91649556159973,0.435916,31,0.03184989,-152.72655,9.740018,0.3902218,10.0,15.566646,0.91190755,16383.329,774.3021159578867,20,-492.46735,620,-700.5342,-115.54675,3.0517579e-06,9.999999,7.001001,141.35583,
[-0.344  0.449 -1.727 -2.191 -1.029],28060,0.30116606,89.2,106.14748,0.33613515,1.7773521,107.99921798706055,0.53168625,32,0.02554566,-201.02376,9.771897,0.4430147,10.0,6.7649403,0.72470415,20147.756,881.8266967066083,20,-534.1845,640,-671.32855,-196.96124,7.6293945e-06,9.999999,3.6502185,216.07202,
[-0.381  0.464 -1.747 -2.193 -0.976],29837,0.3585928,88.85,156.9031,0.45386094,4.6445107,112.4599449634552,0.50763583,33,0.009972291,-195.70146,9.770974,0.42450547,10.0,13.271008,1.11998,62277.91,878.3255172817628,20,-548.8164,660,-681.8131,-523.2091,-8.0871585e-05,9.999999,10.693916,233.01874,
[-0.41   0.416 -1.729 -2.155 -0.994],31393,0.34341532,77.8,115.41871,0.44057032,4.5283995,117.20002102851868,0.5162674,34,0.011360044,-220.23808,9.737531,0.42242616,10.0,15.305432,1.076645,54493.047,767.7898665861529,20,-595.05994,680,-720.7692,-144.4076,3.3569337e-05,9.999999,9.146773,250.93933,
[-0.386  0.32  -1.668 -2.005 -0.997],32764,0.24520311,68.55,108.900925,0.35360214,3.6579428,121.25723266601562,0.39904955,35,0.011896031,-162.25652,9.701713,0.4004895,10.0,10.884911,0.8074305,26059.787,675.2761410543836,20,-510.56726,700,-759.9203,-161.87964,6.1035157e-06,9.999999,7.538546,280.83563,
[-0.429  0.3   -1.662 -1.939 -1.018],34119,0.16594751,67.75,107.11555,0.5209854,3.755496,124.60605669021606,0.82175565,36,0.1361887,-403.06216,9.69734,0.35231668,10.0,1.9577935,0.42364246,88108.414,667.247288397935,20,-694.3175,720,-763.423,-158.22781,-1.2207031e-05,10.0,1.4666167,282.0718,
[-0.407  0.268 -1.631 -1.896 -1.067],35332,0.2141665,60.65,84.065926,0.57406193,4.748858,128.14719009399414,0.59651726,37,0.009972305,-306.3683,9.66295,0.30959842,10.0,8.245635,0.671295,106741.07,596.2788550155506,20,-646.91315,740,-790.36993,-105.51288,3.5095214e-05,9.999999,4.35085,257.48596,
[-0.38   0.191 -1.625 -1.892 -1.109],36425,0.18745542,54.65,155.49194,0.5970012,6.422524,130.975661277771,0.59225595,38,0.05454143,-335.62344,9.625499,0.3071494,10.0,9.443442,0.7086539,163168.47,536.2665692570142,20,-659.43646,760,-822.0823,-399.38516,-2.4414063e-05,9.999995,7.0238533,195.73642,
[-0.413  0.16  -1.62  -1.886 -1.112],37507,0.21889296,54.1,77.52875,0.54567945,13.758301,134.1194405555725,0.40122467,39,0.04435218,-179.34468,9.621017,0.30746457,10.0,28.61669,1.0599462,47458.836,530.7484780178917,20,-518.5809,780,-805.4237,-90.86395,1.2207031e-05,9.999996,11.790891,126.003845,
[-0.363  0.191 -1.625 -1.869 -1.111],38579,0.19708863,53.6,75.12108,0.5152475,5.0452967,137.91827821731567,0.4667132,40,0.0357857,-241.68729,9.61728,0.2671626,10.0,11.354023,0.6954796,89697.484,525.7428584819401,20,-574.92303,800,-817.74677,-101.88931,1.0681152e-05,9.999991,5.313571,205.8924,
[-0.346  0.124 -1.621 -1.856 -1.152],39675,0.21021537,54.8,94.920425,0.5399748,4.0276575,141.649178981781,0.48512486,41,0.07145332,-245.76778,9.625423,0.25007978,10.0,31.116402,1.0212196,108889.14,537.7364156940108,20,-614.3109,820,-818.3789,-98.25351,-1.5258789e-06,9.999994,11.189853,232.62354,
[-0.25   0.108 -1.611 -1.805 -1.169],40824,0.15460028,57.45,117.26589,0.49112916,2.7841742,144.96051287651062,0.7610871,42,0.073861316,-412.06836,9.642188,0.2764305,10.0,6.030732,0.4648146,90334.45,564.2217513283128,20,-727.4755,840,-822.31323,-134.63495,-1.8310548e-05,9.999999,2.4389172,361.86475,
[-0.302  0.132 -1.609 -1.757 -1.143],41968,0.17048992,57.2,88.74738,0.46979445,4.646851,148.74967193603516,0.5957868,43,0.1199083,-308.6412,9.641588,0.32147157,10.0,4.9135237,0.51163054,77825.58,561.7494441884394,20,-625.8783,860,-810.4526,-119.59903,-1.5258789e-05,10.0,3.1108563,280.59286,
[-0.288  0.084 -1.593 -1.723 -1.097],43028,0.17741525,53.0,65.6539,0.5056994,3.0626245,152.5872757434845,0.5049567,44,0.081299305,-246.8449,9.613222,0.35825253,10.0,14.56105,0.7032037,58091.83,519.7501909748951,20,-577.4792,880,-809.75073,-113.948975,-2.746582e-05,9.999996,6.7489424,130.8183,
[-0.218  0.078 -1.58  -1.76  -1.061],44286,0.24068448,62.9,123.46785,0.4834515,3.724721,156.2228524684906,0.4153291,45,0.044860836,-185.07071,9.674135,0.34930372,10.0,16.581274,0.9760393,83097.1,618.751432951182,20,-542.2475,900,-789.6259,-149.94937,3.6621095e-05,9.999998,11.141452,280.1231,
[-0.164  0.098 -1.58  -1.752 -1.07 ],45415,0.21140838,56.45,116.26923,0.68171084,5.03677,160.23309445381165,0.56223685,46,0.0119942045,-291.49844,9.637383,0.30779204,10.0,8.550976,0.75482905,168914.3,554.2651492216236,20,-640.3796,920,-807.4006,-329.71844,1.8310548e-05,9.999999,7.026178,195.00653,
[-0.135  0.131 -1.594 -1.753 -1.111],46746,0.30613777,66.55,106.63501,0.64794254,2.8892949,164.00378251075745,0.5683865,47,0.018541932,-278.0571,9.695427,0.325714,10.0,14.884522,1.1004418,135294.55,655.3653190596111,20,-662.56793,940,-774.2255,-104.19476,-1.8310548e-05,10.0,10.020044,329.81836,
[-0.141  0.072 -1.584 -1.671 -1.093],48013,0.21010908,63.35,108.87677,0.7185321,5.096216,167.759375333786,0.61756426,48,0.025598448,-285.57208,9.677364,0.29148346,10.0,6.1381655,0.61202943,135346.86,623.2804302155707,20,-622.7033,960,-784.30273,-128.11008,1.373291e-05,10.0,3.998708,274.3281,
[-0.124  0.102 -1.572 -1.597 -1.127],49218,0.16285056,60.25,141.52943,0.56056625,6.189434,171.89725852012634,0.7593133,49,0.11739758,-386.8669,9.662195,0.25355828,10.0,8.751895,0.49142817,90129.82,592.323612960279,20,-695.9021,980,-805.45807,-380.99063,-3.5095214e-05,10.0,2.324302,288.1728,
[-0.199  0.167 -1.565 -1.615 -1.165],50478,0.27643213,63.0,139.8667,0.3987847,2.7893167,175.6462857723236,0.49220282,50,0.0144948885,-243.18741,9.677185,0.21583992,10.0,15.073742,0.9639038,50175.33,619.8312753942364,20,-622.25604,1000,-786.4719,-427.44193,3.2043456e-05,10.0,8.273115,237.83081,
[-0.189  0.217 -1.551 -1.576 -1.203],52105,0.27339125,81.35,149.98969,0.42409736,3.959672,180.58634281158447,0.43460184,51,0.017634634,-150.1888,9.749998,0.17597964,10.0,5.267632,0.67284,19251.023,803.3312063541019,20,-489.9246,1020,-722.7562,-236.10156,4.5776367e-05,10.0,3.2374625,320.508,
[-0.189  0.254 -1.545 -1.529 -1.243],53767,0.30647787,83.1,141.91316,0.666195,5.260137,184.90275979042053,0.53582335,52,0.011600153,-162.94653,9.75554,0.16122316,10.0,11.225453,0.931359,32950.477,820.8425741644311,20,-511.12262,1040,-711.55524,-212.01053,-1.373291e-05,9.999997,8.269377,286.36072,
[-0.159  0.275 -1.539 -1.538 -1.258],55981,0.44188666,110.7,134.31854,0.5283239,9.184534,189.6148624420166,0.51265246,53,0.029429961,-130.37997,9.815839,0.13416588,10.0,16.678967,1.20005,19197.783,1096.8064486279739,20,-472.86716,1060,-617.81323,-160.82654,5.950928e-05,9.999999,8.037981,243.55646,
[-0.113  0.245 -1.552 -1.496 -1.285],58325,0.4461186,117.2,127.91745,0.65912986,6.8755007,194.1213059425354,0.68274015,54,0.078647465,-171.30817,9.826729,0.12726405,10.0,11.513788,1.0616399,35453.418,1161.846088510843,20,-508.82855,1080,-593.0409,-242.2872,-5.0354003e-05,10.0,7.245211,223.80945,
[-0.089  0.262 -1.556 -1.472 -1.292],61146,0.51052076,141.05,158.90175,0.37697276,2.39964,200.40338158607483,0.43372545,55,0.036881737,-76.70223,9.855598,0.11353935,10.0,11.842604,1.0891669,8025.0493,1400.3157401373098,20,-395.23495,1100,-548.9316,-319.04318,-3.0517579e-06,10.0,6.239151,235.13177,
[-0.065  0.273 -1.539 -1.517 -1.305],64671,0.5665417,176.25,64.11056,0.4514329,4.5472093,206.77828645706177,0.76158184,56,0.19856393,-101.3583,9.883541,0.10704974,10.0,5.525534,0.8490708,3490.5361,1752.2366419159741,20,-409.03976,1120,-441.18774,-144.58783,9.155274e-06,10.0,3.1795588,103.02161,
[-0.057  0.303 -1.542 -1.512 -1.312],69126,0.85878366,222.75,111.78529,0.98790216,9.462421,213.46447324752808,0.892633,57,0.07126117,-58.01189,9.906121,0.10350811,10.0,25.6678,1.5733932,5565.7017,2217.0441714469716,20,-358.24197,1140,-415.1148,-211.06256,-4.5776367e-05,9.999999,6.7339196,144.68903,
[-0.037  0.306 -1.55  -1.508 -1.315],74979,1.1344872,292.65,86.865875,0.7546845,9.628724,224.3133351802826,0.87838596,58,0.06734173,-29.173573,9.937875,0.102373004,10.0,23.247244,1.7620778,758.3674,2917.408156710388,20,-317.1663,1160,-354.55463,-231.42218,4.8828126e-05,9.999999,6.075195,86.50928,
[-0.02   0.306 -1.554 -1.511 -1.317],83148,1.1613849,408.45,45.535557,0.45605546,3.5869818,237.19131016731262,0.866096,59,0.09862222,-5.7750316,9.969421,0.09976193,10.0,6.0836086,0.82044435,115.46259,4078.249784594254,20,-281.26974,1180,-296.68256,-125.410706,-2.4414063e-05,10.0,2.7623281,27.100098,
[-0.008  0.304 -1.555 -1.513 -1.319],91979,0.89777863,441.55,18.819881,0.1536515,1.4815456,250.5057888031006,1.0372641,60,0.65197325,-8.826518,9.977856,0.09918201,10.0,1.0678403,0.32689252,295.5384,4410.606405538996,20,-280.476,1200,-281.65787,-50.998047,,10.0,1.0380313,11.641907,
[-0.006  0.308 -1.562 -1.515 -1.32 ],101566,0.96984255,479.35,7.6804304,0.13259587,1.513754,265.9768018722534,0.9554789,61,0.59771454,-1.6720196,9.987513,0.095502846,10.0,1.0325161,0.20141847,26.44792,4790.501423276164,20,-273.1014,1220,-273.5762,-30.654297,2.1362304e-05,10.0,1.0240539,3.0617676,
[-0.005  0.31  -1.563 -1.514 -1.323],110575,1.0919403,450.45,140.99408,0.47921762,4.1519628,277.8585548400879,0.9746286,62,0.12727153,-18.39905,9.9817295,0.080461875,10.0,1.7676477,0.39095134,5152.222,4500.38085215573,20,-294.25174,1240,-307.46732,-612.17773,4.8828126e-05,10.0,1.4672644,37.20813,
[-0.01   0.306 -1.587 -1.506 -1.338],119161,1.2698274,429.3,242.95303,0.81003183,6.687203,292.5856876373291,1.0322242,63,0.049747225,-41.804268,9.984129,0.059743132,10.0,2.5526967,0.60263175,16811.049,4289.587931096043,20,-324.77408,1260,-356.57303,-848.90234,3.3569337e-05,10.0,1.9594692,86.037964,
[-0.01   0.313 -1.623 -1.486 -1.359],128524,1.0962213,468.15,43.68405,0.35477123,2.2281868,306.6698577404022,1.0102477,64,0.22003284,-3.908601,9.989811,0.056689832,10.0,2.545501,0.3553724,240.08029,4679.107496998264,20,-277.66116,1280,-283.58853,-187.3374,-9.765625e-05,10.0,1.5071814,12.586853,
[-1.268e-03  3.114e-01 -1.628e+00 -1.486e+00 -1.362e+00],137284,0.9765723,438.0,145.05069,0.4114573,3.676013,318.68189573287964,1.0308031,65,0.31108254,-35.175434,9.985018,0.054558698,10.0,1.6732303,0.38308156,13279.861,4376.713188876013,20,-309.36743,1300,-315.41733,-618.01587,-6.1035157e-06,10.0,1.2471026,44.587402,
[-9.986e-05  2.983e-01 -1.641e+00 -1.483e+00 -1.364e+00],146509,1.0990766,461.25,94.02524,0.44402128,3.0033674,331.4689338207245,0.8988031,66,0.1851008,-10.801044,9.989227,0.050026912,10.0,1.8342259,0.35241818,1187.1844,4610.010125713375,20,-286.3845,1320,-302.5676,-290.06372,-3.6621095e-05,10.0,1.4076847,31.506409,
[ 0.005  0.298 -1.686 -1.507 -1.369],155962,1.1732656,472.65,94.06517,0.39327246,4.723648,344.17699670791626,0.957401,67,0.305607,-8.6751585,9.991791,0.051044405,10.0,3.575109,0.43706623,1181.4215,4724.553863622895,20,-284.0243,1340,-293.86987,-409.66846,2.4414063e-05,10.0,1.5727097,22.665161,
[-0.004  0.306 -1.697 -1.51  -1.368],165541,0.97959435,478.95,10.059594,0.13718082,1.212753,357.1792161464691,0.961633,68,0.46792275,-1.5913765,9.985649,0.052964166,10.0,1.189333,0.20698923,33.87604,4786.056278733557,20,-273.5569,1360,-274.53433,-40.74646,3.3569337e-05,10.0,1.0610287,3.6505737,
[-1.123e-03  3.057e-01 -1.704e+00 -1.508e+00 -1.366e+00],174666,1.0605072,456.25,216.014,0.5341498,4.6297855,370.94548296928406,1.0934565,69,0.23899248,-42.299747,9.98601,0.036362782,10.0,1.5048336,0.3434377,34723.74,4559.302497547772,20,-317.94443,1380,-322.94077,-941.32605,4.272461e-05,10.0,1.3308073,52.025696,
[ 0.002  0.304 -1.705 -1.507 -1.383],184474,0.9993898,490.4,4.6258025,0.14044411,1.2509344,384.65213203430176,0.9798774,70,0.35353023,-0.3076091,9.992964,0.03756973,10.0,1.1265869,0.14165187,3.0257025,4902.266208556548,20,-272.25458,1400,-272.77344,-19.728638,8.850098e-05,10.0,1.0449015,1.3444214,
[ 0.005  0.303 -1.705 -1.507 -1.381],194284,0.99659646,490.5,8.360613,0.13471277,1.3261724,396.9521746635437,1.0049518,71,0.3815745,-0.6694485,9.994808,0.03791779,10.0,1.136757,0.13985388,11.165102,4903.717300327366,20,-272.70026,1420,-273.52417,-36.440674,3.3569337e-05,10.0,1.0362136,2.0421143,
[ 0.009  0.303 -1.706 -1.507 -1.381],203651,1.1439947,468.35,73.020775,0.5204852,4.874326,410.2571852207184,1.0807328,72,0.23617737,-4.8737035,9.992853,0.030172052,10.0,3.1707397,0.41580233,326.3294,4681.819719606938,20,-280.24374,1440,-291.50134,-311.4748,1.2207031e-05,10.0,1.5518942,20.135132,
[-7.521e-04  3.009e-01 -1.714e+00 -1.508e+00 -1.389e+00],213266,1.0191677,480.75,17.374874,0.21522896,1.448669,422.9004023075104,0.97675467,73,0.19500937,-1.465395,9.992624,0.028881498,10.0,1.465718,0.2167458,41.916954,4805.719510892481,20,-274.11935,1460,-276.4315,-73.77307,2.4414063e-05,10.0,1.1687845,4.9802246,
[ 0.005  0.3   -1.717 -1.508 -1.39 ],223097,0.9860783,491.55,6.4562907,0.05114037,1.137428,437.39221596717834,0.9886926,74,0.79810953,-1.1173056,9.995028,0.02948421,10.0,1.0088089,0.12930042,27.915348,4914.268735452399,20,-272.96906,1480,-273.1895,-28.138367,-1.8310548e-05,10.0,1.0061077,1.6056519,
[ 0.005  0.298 -1.721 -1.503 -1.389],233097,0.99993986,500.0,0.110322356,0.0005380529,1.0014383,451.05842542648315,0.9999211,75,0.9978378,-0.03326791,0.012989998,0.029512146,10.0,0.99999976,3.439891e-05,0.012811112,4999.20451667063,20,-271.7984,1500,-271.80032,-0.2290039,,10.0,0.9998808,0.14434814,0.9998808
[ 0.005  0.298 -1.721 -1.503 -1.389],242633,1.1089748,476.8,151.88797,0.28966826,3.4129796,465.29591274261475,0.8858568,76,0.3736623,-19.643173,9.994299,0.03469848,10.0,2.188411,0.29820397,7767.2173,4766.63497110894,20,-295.40137,1520,-306.56256,-662.064,-4.8828126e-05,10.0,1.354593,35.04364,
[-1.371e-03  2.913e-01 -1.739e+00 -1.498e+00 -1.384e+00],252633,1.0,500.0,0.08298517,0.0045458903,1.0195216,479.56980061531067,1.0001982,77,0.98785114,-0.026038721,0.016665459,0.034926295,10.0,1.0000033,9.827546e-07,0.007256203,4999.224118956865,20,-271.73865,1540,-271.74088,-0.13195801,6.408691e-05,10.0,1.0000017,0.10534668,1.0
[-1.389e-03  2.913e-01 -1.739e+00 -1.498e+00 -1.384e+00],262126,1.1378789,474.65,65.10627,0.39433125,5.368982,491.75136828422546,0.980105,78,0.2614903,-4.6784196,9.990591,0.034861445,10.0,3.0434334,0.39102426,328.60135,4744.260381128613,20,-279.03253,1560,-287.01398,-283.65887,-6.1035157e-06,10.0,1.5227711,15.720459,
[-0.009  0.297 -1.747 -1.499 -1.384],271374,1.0188062,462.4,27.484009,0.24266197,1.6381221,505.948712348938,0.96526825,79,0.28258657,-4.541803,9.988495,0.034998536,10.0,1.7649214,0.31533068,178.89348,4621.332629051722,20,-277.90253,1580,-281.11264,-113.72833,1.2207031e-05,10.0,1.3153926,9.925232,
