EpLenMean,MeanD2w0t,MinIW,InitialReturnStd,MaxD2w0t,EpisodesSoFar,EmpiricalD2,InitialReturnMean,EpRewMean,Iteration,InitialReturnMax,InitialReturnMin,MeanIW,MaxIW,MinD2w0t,Weights,TimeElapsed,Bound,InitialBound,ReturnStepMax,MeanEntropy,ReturnStepMaxmin,StdIW,ReturnMeanIW,TimestepsSoFar,EpThisIter,StdD2w0t,J_sample_variance
172.52,0.9051519,0.01711801,206.97156,43.34263,1100,8.00272,6.225586e-05,1714.7071117298076,11,226.83612,-728.9171,0.8096453,11.793413,,[-0.066  0.331 -2.009 -1.274 -0.821],105.32513999938965,-300.5089,-359.51935,9.939204,0.55982894,9.878408,0.7982145,-155.52727,76484,100,2.2696073,51232.35
265.79,1.6840087,0.0024062563,198.19792,43.29252,1200,7.8658295,2.380371e-05,2648.215310094629,12,152.82086,-830.49335,0.9436847,25.39872,,[-0.033  0.326 -2.043 -1.297 -0.859],138.02475786209106,-228.73349,-270.5636,9.963606,0.5309314,9.927212,1.2126484,-92.27502,103063,100,3.0458348,29366.566
333.48,1.1761497,0.10442355,221.65344,3.8684757,1300,2.52367,2.9907227e-05,3326.7576575008325,13,117.7041,-855.7485,1.0220075,9.862613,,[-0.006  0.29  -2.079 -1.306 -0.888],194.8587806224823,-203.9722,-236.81354,9.975994,0.5056795,9.951988,0.9403351,-74.27099,136411,100,0.97514224,30189.084
373.22,1.4775918,0.023281842,241.40381,5.5320883,1400,3.049042,-3.540039e-05,3726.310345488068,14,114.35248,-878.9853,0.9697615,6.0274167,,[-0.002  0.314 -2.146 -1.367 -0.913],237.62755918502808,-193.36293,-234.36723,9.984335,0.48697945,9.96867,0.71215385,-63.01634,173733,100,1.1104082,28441.066
421.94,1.625971,0.0123189865,153.60384,5.3634195,1500,3.2358117,1.4648437e-05,4214.510651819532,15,51.85486,-921.6179,0.91893315,6.2904525,,[-0.007  0.341 -2.265 -1.435 -0.932],297.4662835597992,-156.38535,-172.34335,9.988567,0.45614228,9.977135,0.71823543,-27.34091,215927,100,1.0056411,9944.774
469.39,1.1442531,0.052419677,88.14797,2.449213,1600,1.511142,-2.1972657e-05,4691.637975771112,16,18.39038,-776.7776,1.0263764,3.457654,,[ 0.003  0.335 -2.296 -1.455 -0.963],369.47090125083923,-135.50925,-139.63527,9.995358,0.44449148,9.990717,0.3978431,-12.023024,262866,100,0.34800398,3402.7627
465.75,1.0196146,0.17358035,60.06255,1.539692,1700,1.2072834,-4.2114258e-05,4655.013280594831,17,16.29773,-443.03278,0.98547155,2.0904112,,[ 0.012  0.329 -2.311 -1.468 -0.974],440.6681914329529,-133.10251,-137.46126,9.994845,0.44238284,9.989691,0.2944009,-10.4149475,309441,100,0.2876029,2766.703
482.69,1.0637017,0.18185593,60.01365,1.5558593,1800,1.2280822,1.6479493e-05,4825.132822470725,18,10.237854,-473.35712,0.95042235,2.6993647,,[ 0.019  0.344 -2.334 -1.489 -0.977],514.2275280952454,-127.70887,-131.61702,9.996515,0.43637085,9.993031,0.29879192,-5.1746454,357710,100,0.21869925,852.97095
491.16,1.012751,0.35654393,21.368498,1.1369418,1900,1.0661538,3.112793e-05,4910.036568835238,19,3.1279297,-205.25513,0.990953,1.8619981,,[ 0.01   0.353 -2.362 -1.5   -0.983],588.8084082603455,-123.975784,-124.53311,9.997002,0.4322806,9.994003,0.17155151,-2.032769,406826,100,0.13770865,172.89197
485.23,0.992267,0.44674888,99.49629,1.1422126,2000,1.050367,-6.0424805e-05,4850.646173974786,20,12.487061,-980.8562,1.0032755,1.5405402,,[ 0.007  0.362 -2.376 -1.509 -0.987],662.8889126777649,-133.40149,-133.88393,9.9967785,0.42788512,9.993557,0.13612898,-11.556559,455349,100,0.17422852,9987.291
481.77,1.1144904,0.15702802,67.75417,1.3493546,2100,1.3198752,7.93457e-05,4816.020588209213,21,12.680725,-465.98737,1.0109947,3.1155553,,[ 0.011  0.364 -2.38  -1.513 -0.991],737.5234725475311,-130.4202,-134.05888,9.996694,0.411717,9.993387,0.42022312,-7.0131955,503526,100,0.23634456,1310.0264
482.01,1.1046025,0.19996305,152.5006,2.3617785,2200,1.3444717,5.0048828e-05,4818.819741694553,22,27.611145,-955.75854,1.0503862,5.15641,,[ 0.011  0.36  -2.397 -1.519 -1.007],807.0561578273773,-146.56898,-149.08528,9.997531,0.40478477,9.995062,0.3997224,-23.815817,551727,100,0.25889647,20273.674
481.4,1.0221361,0.23517253,138.41313,1.7519687,2300,1.1761035,-3.90625e-05,4812.268531918654,23,21.57367,-971.774,1.0000827,1.7881159,,[ 1.108e-03  3.746e-01 -2.423e+00 -1.537e+00 -1.014e+00],859.3435037136078,-142.00282,-142.94708,9.996608,0.4020751,9.993216,0.2247226,-20.031847,599867,100,0.21849364,19025.967
480.41,1.09403,0.06883316,145.4157,2.7352734,2400,1.3326569,5.3710937e-05,4802.629700227276,24,25.72528,-967.6281,1.0033011,2.0539088,,[ 0.009  0.374 -2.429 -1.542 -1.017],895.0539109706879,-144.44112,-147.15082,9.997128,0.39469782,9.994255,0.29458976,-21.768423,647908,100,0.28752124,19087.629
497.2,1.0058044,0.2987089,5.0581694,1.1000712,2500,1.024968,-8.056641e-05,4971.006325432408,25,0.6717529,-49.93329,0.9947413,1.320828,,[ 0.021  0.374 -2.45  -1.549 -1.024],934.1739549636841,-121.95719,-122.22003,9.998195,0.3940191,9.996389,0.105636634,-0.2233047,697628,100,0.0766643,2.810052
476.24,1.3872814,0.09710096,132.33206,3.9996696,2600,2.0476344,-2.0751953e-05,4760.938718163617,26,26.494263,-927.529,1.0392711,8.893459,,[ 0.025  0.373 -2.45  -1.549 -1.025],976.5392644405365,-135.42831,-147.91728,9.997119,0.37784863,9.994238,0.6463447,-9.676017,745252,100,0.461167,3713.5032
494.78,1.0366322,0.2983354,98.82716,1.1391869,2700,1.0976977,-8.4228515e-05,4946.869084071184,27,10.045044,-983.31604,0.9828375,1.9409277,,[ 0.012  0.385 -2.508 -1.584 -1.041],1047.2958846092224,-130.96814,-131.59724,9.998331,0.36892352,9.996662,0.20324877,-8.788409,794730,100,0.1103331,7689.3906
490.02,0.989365,0.67789185,139.05681,1.0264273,2800,1.0189652,-1.7089844e-05,4899.312612334097,28,19.97052,-973.3975,1.0041007,1.5319865,,[ 0.01   0.39  -2.508 -1.59  -1.05 ],1119.8632044792175,-141.4101,-141.52292,9.998396,0.36498982,9.996792,0.10063786,-19.64756,843732,100,0.14130582,19096.252
496.89,1.0060984,0.6513403,10.807081,1.1202937,2900,1.0280851,-3.601074e-05,4968.00521317253,29,1.210083,-107.50592,0.99795467,1.9213376,,[ 0.009  0.389 -2.508 -1.59  -1.054],1194.2865672111511,-122.63959,-122.77271,9.998406,0.36352023,9.996813,0.109621555,-0.8965611,893421,100,0.08074112,73.111595
492.1,1.0152069,0.25242344,98.42374,1.4115669,3000,1.0844518,6.713867e-06,4920.117879512636,30,11.121521,-972.27563,1.0008969,1.5367355,,[ 0.005  0.391 -2.509 -1.59  -1.055],1262.832375049591,-131.98734,-132.66762,9.998422,0.36326048,9.996843,0.1573478,-10.153,942631,100,0.13697363,9703.545
500.0,1.0,1.0,0.07263153,1.0,3100,1.0,2.380371e-05,4999.299996381128,31,0.0982666,-0.23132324,1.0,1.0,1.0,[ 0.012  0.39  -2.51  -1.591 -1.056],1302.481926202774,-0.2538345,-0.2538345,0.017437935,0.36326048,0.016249657,,-0.041667517,992631,100,,0.0053287195
492.85,1.0075971,0.45724034,97.92152,1.1961844,3200,1.0491158,-1.8310546e-06,4927.612967900945,32,10.455566,-972.9397,1.000853,1.462575,,[ 0.012  0.39  -2.51  -1.591 -1.056],1339.358453989029,-131.65506,-132.0015,9.99841,0.36049157,9.99682,0.14207365,-9.804044,1041916,100,0.123120636,8957.876
499.7,0.9994,1.0,0.26603538,1.0,3300,1.0,2.380371e-05,4996.203225848089,33,0.13098145,-2.5736084,1.0,1.0,,[ 0.016  0.391 -2.521 -1.6   -1.058],1379.8191530704498,-121.70029,-121.70029,9.998619,0.36049157,9.997238,,-0.04731187,1091886,100,0.024487833,0.07148891
500.0,1.0,1.0,0.07927365,1.0,3400,1.0,6.713867e-06,4999.309092580251,34,0.11010742,-0.21936035,1.0,1.0,1.0,[ 0.016  0.391 -2.521 -1.6   -1.058],1417.5394797325134,-0.28961658,-0.28961658,0.019272804,0.36049157,0.01811409,,-0.055124804,1141886,100,,0.0063482313
494.35,1.0355657,0.41075057,20.071949,1.6739237,3500,1.1089387,-2.9296874e-05,4942.628768373068,35,2.6088867,-191.30127,0.98853,4.462747,,[ 0.016  0.391 -2.521 -1.6   -1.058],1455.5054802894592,-123.22101,-124.17286,9.998454,0.3565308,9.996908,0.2628838,-1.2024438,1191321,100,0.12603611,79.21584
490.91,1.0318534,0.28092623,98.41839,1.3393666,3600,1.1161673,5.9814454e-05,4908.116588634266,36,11.278748,-972.11084,0.9818429,1.7974194,,[ 0.008  0.395 -2.525 -1.603 -1.062],1493.0355198383331,-131.81409,-132.80661,9.998199,0.34996203,9.996399,0.20013171,-9.690018,1240412,100,0.14762476,8528.708
500.0,1.0,1.0,0.07262186,1.0,3700,1.0,4.699707e-05,4999.333384217538,37,0.1027832,-0.22998047,1.0,1.0,1.0,[ 0.014  0.398 -2.536 -1.61  -1.069],1533.309233903885,-0.27673453,-0.27673453,0.018579483,0.34996203,0.017472267,,-0.05067836,1290412,100,,0.0053269747
492.26,1.0108117,0.57351834,97.27144,1.1538707,3800,1.055845,-3.112793e-05,4921.759148160165,38,10.839355,-962.67,0.972127,1.8980296,,[ 0.014  0.398 -2.536 -1.61  -1.069],1589.4911918640137,-132.02687,-132.39989,9.998511,0.34497082,9.997023,0.1557102,-10.082212,1339638,100,0.12809525,8985.159
495.04,1.0112939,0.46278602,95.87876,1.0738333,3900,1.0403666,3.540039e-05,4949.622303516089,39,9.7369995,-953.9814,0.9844645,1.521966,,[ 0.011  0.402 -2.537 -1.607 -1.074],1664.2600905895233,-130.15977,-131.32085,9.998637,0.3410883,9.997274,0.1414361,-8.190576,1389142,100,0.10201577,6666.42
500.0,1.0,1.0,0.059138544,1.0,4000,1.0,8.544922e-05,4999.3592561729965,40,0.090270996,-0.16845703,1.0,1.0,1.0,[ 0.011  0.405 -2.586 -1.611 -1.078],1741.7972457408905,-0.2622669,-0.2622669,0.018390656,0.3410883,0.017323494,,-0.038508203,1439142,100,,0.0035324702
495.02,0.9934856,0.7872771,97.837975,1.008909,4100,1.0069089,3.967285e-05,4949.467203489662,41,9.914551,-973.47534,1.0007433,1.3085002,,[ 0.011  0.405 -2.586 -1.611 -1.078],1816.1951377391815,-131.36192,-131.50276,9.998738,0.34155965,9.997477,0.05699884,-9.664025,1488644,100,0.09966817,9311.981
495.04,1.0121346,0.502477,95.87886,1.0598397,4200,1.043037,4.1503907e-05,4949.666802121521,42,9.739319,-953.9822,0.98141897,1.6900151,,[ 0.011  0.406 -2.603 -1.615 -1.077],1892.3882064819336,-130.45221,-131.32632,9.998741,0.33644816,9.997482,0.14843756,-8.495739,1538148,100,0.10211994,7165.6265
493.01,1.0139161,0.54425204,97.849846,1.062116,4300,1.0566039,7.93457e-06,4929.21495641574,43,10.242859,-973.14636,1.0017194,1.9084337,,[ 0.01   0.406 -2.638 -1.611 -1.082],1967.3585793972015,-131.40628,-131.79771,9.998427,0.3291248,9.996855,0.17150782,-9.420919,1587449,100,0.12184299,8503.105
500.0,1.0,1.0,0.05913502,1.0,4400,1.0,-7.263184e-05,4999.389005958258,44,0.09326172,-0.14782715,1.0,1.0,1.0,[ 0.011  0.405 -2.637 -1.608 -1.09 ],2021.3406031131744,-0.25689337,-0.25689337,0.017011642,0.3291248,0.016020775,,-0.0499131,1637449,100,,0.0035331962
500.0,1.0,1.0,0.057693616,1.0,4500,1.0,-1.586914e-05,4999.400619935837,45,0.09857178,-0.15716553,1.0,1.0,1.0,[ 0.011  0.405 -2.637 -1.608 -1.09 ],2058.8172426223755,-0.26004574,-0.26004574,0.016990662,0.3291248,0.016013145,,-0.05332074,1687449,100,,0.0033632617
500.0,1.0,1.0,0.06491338,1.0,4600,1.0,5.9814454e-05,4999.415399683652,46,0.08679199,-0.23840332,1.0,1.0,1.0,[ 0.011  0.405 -2.637 -1.608 -1.09 ],2122.5449557304382,-0.2694849,-0.2694849,0.01810646,0.3291248,0.017157555,,-0.049184006,1737449,100,,0.004255653
495.01,0.9904142,0.90476596,98.82995,1.0019717,4700,1.0008342,8.4228515e-05,4949.382455866618,47,10.033203,-983.3452,0.99723923,1.0923431,,[ 0.011  0.405 -2.637 -1.608 -1.09 ],2195.903507232666,-131.61356,-131.61812,9.998781,0.3284834,9.997562,0.02109239,-9.953904,1786950,100,0.09944085,9848.109
500.0,1.0,1.0,0.05787965,1.0,4800,1.0,-7.3242186e-06,4999.405191565969,48,0.09313965,-0.17578125,1.0,1.0,1.0,[ 0.011  0.405 -2.637 -1.608 -1.09 ],2270.6338589191437,-0.24421386,-0.24421386,0.016036987,0.3284834,0.01507473,,-0.049092192,1836950,100,,0.0033830663
490.36,1.1145346,0.30578363,120.16437,4.1381497,4900,1.3425409,2.8686523e-05,4902.813602415474,49,17.040161,-966.3536,0.98941875,12.824367,,[ 0.011  0.405 -2.637 -1.608 -1.09 ],2342.8990314006805,-135.81468,-138.6099,9.998614,0.32272437,9.997229,0.45225358,-13.0646105,1885986,100,0.24225184,9754.876
498.3,1.0050215,0.53915375,3.0029995,1.1042215,5000,1.0214306,8.056641e-05,4982.351741836185,50,0.38739014,-29.873962,0.99632233,1.1886297,,[-8.935e-05  4.037e-01 -2.668e+00 -1.614e+00 -1.096e+00],2395.769011735916,-121.902374,-121.98669,9.998937,0.32266098,9.997873,0.07726224,-0.19615854,1935816,100,0.05985139,2.802143
499.77,0.99954,1.0,0.18445092,1.0,5100,1.0,5.6152345e-05,4997.031874183764,51,0.10211182,-1.7399292,1.0,1.0,,[ 0.003  0.404 -2.668 -1.614 -1.096],2433.1841275691986,-121.69949,-121.69949,9.998888,0.32266098,9.997776,,-0.0432454,1985793,100,0.021443253,0.034367535
491.87,0.99783874,0.36161077,97.87187,1.1358305,5200,1.0360984,2.8686523e-05,4917.742825238517,52,10.471008,-972.9373,0.98572546,1.4651542,,[ 0.003  0.404 -2.668 -1.614 -1.096],2470.6669924259186,-131.68985,-131.99069,9.998282,0.32079345,9.996565,0.12072827,-9.946355,2034980,100,0.1294406,9525.092
498.63,1.0021865,0.54739976,1.9649321,1.0583589,5300,1.0118335,6.0424805e-05,4985.625003375754,53,0.29693604,-19.542236,0.9933494,1.1416415,,[ 0.006  0.402 -2.668 -1.609 -1.098],2508.444718360901,-121.82901,-121.88463,9.998877,0.32092237,9.997753,0.06766793,-0.14067657,2084843,100,0.052961163,1.1901053
499.86,0.99972,1.0,0.12124309,1.0,5400,1.0,2.8076172e-05,4997.915220256513,54,0.09161377,-1.0010376,1.0,1.0,,[ 0.008  0.403 -2.668 -1.609 -1.098],2546.482327222824,-121.68942,-121.68942,9.998859,0.32092237,9.997719,,-0.033523858,2134829,100,0.016730966,0.014850188
499.48,0.99896,1.0,0.46978578,1.0,5500,1.0,1.8310548e-05,4994.1369621738295,55,0.12731934,-4.638855,1.0,1.0,,[ 0.008  0.403 -2.668 -1.609 -1.098],2583.7445402145386,-121.7285,-121.7285,9.998904,0.32092237,9.997808,,-0.072048604,2184777,100,0.03223176,0.22292271
492.73,1.0443547,0.34890842,66.0503,1.1688472,5600,1.1158354,,4926.426596256715,56,7.2614136,-655.3148,1.0106553,2.0497382,,[ 0.008  0.403 -2.668 -1.609 -1.098],2620.633736848831,-127.27526,-128.81543,9.998456,0.31384078,9.996912,0.23968919,-4.7535334,2234050,100,0.13173714,1909.4077
500.0,1.0,1.0,0.06385569,1.0,5700,1.0,-5.6152345e-05,4999.427600085243,57,0.09277344,-0.20690918,1.0,1.0,1.0,[ 0.009  0.417 -2.682 -1.617 -1.105],2659.346915245056,-0.27433008,-0.27433008,0.018318176,0.31384078,0.017409325,,-0.05145324,2284050,100,,0.004118317
500.0,1.0,1.0,0.05493914,1.0,5800,1.0,-4.0283205e-05,4999.419418437628,58,0.08685303,-0.15270996,1.0,1.0,1.0,[ 0.009  0.417 -2.682 -1.617 -1.105],2696.7439806461334,-0.260682,-0.260682,0.017291069,0.31384078,0.016360283,,-0.05030193,2334050,100,,0.003048796
500.0,1.0,1.0,0.061135113,1.0,5900,1.0,6.1035156e-05,4999.417433415205,59,0.08312988,-0.1798706,1.0,1.0,1.0,[ 0.009  0.417 -2.682 -1.617 -1.105],2734.864357948303,-0.2755155,-0.2755155,0.018500328,0.31384078,0.017567635,,-0.050422404,2384050,100,,0.0037753882
491.57,1.0167259,0.20738961,98.94801,1.3419207,6000,1.0814759,-6.1035155e-07,4914.830099558154,60,10.771606,-982.60803,0.99932414,1.6359035,,[ 0.009  0.417 -2.682 -1.617 -1.105],2771.580519914627,-131.7384,-132.31973,9.998462,0.308844,9.996923,0.20038356,-9.821602,2433207,100,0.13897201,9171.275
494.38,0.9985267,0.60115206,97.833565,1.0239143,6100,1.0195875,-7.751465e-05,4943.026850888559,61,9.985596,-973.41254,1.0024179,1.3207878,,[ 0.014  0.413 -2.683 -1.612 -1.11 ],2809.954069375992,-131.36064,-131.5567,9.998661,0.3073732,9.997322,0.09108887,-9.58536,2482645,100,0.10661571,9098.913
500.0,1.0,1.0,0.054007903,1.0,6200,1.0,-9.1552734e-05,4999.438994001511,62,0.07562256,-0.16064453,1.0,1.0,1.0,[ 0.015  0.412 -2.693 -1.618 -1.112],2848.492401599884,-0.23662078,-0.23662078,0.015958786,0.3073732,0.015069008,,-0.042450596,2532645,100,,0.002944965
495.02,0.9988039,0.64742595,97.8377,1.0197308,6300,1.0174358,-6.1035156e-05,4949.534526455649,63,9.925842,-973.4726,1.0069588,1.4416268,,[ 0.015  0.412 -2.693 -1.618 -1.112],2885.708842754364,-131.36778,-131.521,9.998886,0.30361563,9.997772,0.09843128,-9.601407,2582147,100,0.1003087,9160.058
500.0,1.0,1.0,0.05619449,1.0,6400,1.0,-3.4179688e-05,4999.4360470997535,64,0.076538086,-0.20452881,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],2923.7069272994995,-0.2576893,-0.2576893,0.017173767,0.30361563,0.016283989,,-0.048736453,2632147,100,,0.0031896401
500.0,1.0,1.0,0.05802333,1.0,6500,1.0,1.0375977e-05,4999.458587345272,65,0.08239746,-0.19451904,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],2961.087483882904,-0.27483082,-0.27483082,0.018345833,0.30361563,0.01749897,,-0.05161746,2682147,100,,0.0034009465
500.0,1.0,1.0,0.059813984,1.0,6600,1.0,-1.8920899e-05,4999.452946334428,66,0.0793457,-0.22338867,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],2998.8560461997986,-0.26746753,-0.26746753,0.017651558,0.30361563,0.016789436,,-0.052701406,2732147,100,,0.0036141144
500.0,1.0,1.0,0.06818947,1.0,6700,1.0,-1.2207031e-05,4999.430742324389,67,0.099243164,-0.1843872,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],3036.5115299224854,-0.28150734,-0.28150734,0.01862812,0.30361563,0.017718315,,-0.05485942,2782147,100,,0.0046977075
500.0,1.0,1.0,0.05994479,1.0,6800,1.0,-2.380371e-05,4999.429944076208,68,0.08905029,-0.17175293,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],3073.921454191208,-0.2681638,-0.2681638,0.017846107,0.30361563,0.016940117,,-0.051030606,2832147,100,,0.0036299343
500.0,1.0,1.0,0.06493438,1.0,6900,1.0,9.765625e-06,4999.428544054894,69,0.091552734,-0.24304199,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],3111.7265331745148,-0.28492054,-0.28492054,0.01875019,0.30361563,0.017840385,,-0.056787398,2882147,100,,0.004258704
495.01,0.99002,0.99988717,98.83108,1.0,7000,1.0,-2.4414062e-06,4949.437328839402,70,10.019043,-983.3567,1.0000049,1.0002699,,[ 0.015  0.408 -2.695 -1.614 -1.115],3148.8723390102386,-131.6186,-131.61862,9.998888,0.3036156,9.997776,3.5338162e-05,-9.962354,2931648,100,0.099399015,9866.219
500.0,1.0,1.0,0.048762836,1.0,7100,1.0,-1.7700195e-05,4999.464292073581,71,0.07171631,-0.17102051,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],3186.458506345749,-0.24481104,-0.24481104,0.016270638,0.3036156,0.015429497,,-0.04684655,2981648,100,,0.0024019554
500.0,1.0,1.0,0.057183303,1.0,7200,1.0,-9.82666e-05,4999.441781796763,72,0.08514404,-0.20336914,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],3224.019442796707,-0.24822432,-0.24822432,0.016461372,0.3036156,0.015576363,,-0.047939174,3031648,100,,0.0033042778
500.0,1.0,1.0,0.061120782,1.0,7300,1.0,-3.173828e-05,4999.429140174931,73,0.078552246,-0.15771484,1.0,1.0,1.0,[ 0.015  0.408 -2.695 -1.614 -1.115],3261.514249563217,-0.24504814,-0.24504814,0.01621151,0.3036156,0.015305519,,-0.04780305,3081648,100,,0.0037734392
495.03,1.0142038,0.51688325,96.85452,1.0591254,7400,1.0484588,3.8452148e-05,4949.6388529865335,74,9.819275,-963.68994,1.0073946,1.8066336,,[ 0.015  0.408 -2.695 -1.614 -1.115],3298.61608338356,-131.04306,-131.4259,9.998901,0.2975821,9.997803,0.14724892,-9.091461,3131151,100,0.10258901,8205.531
500.0,1.0,1.0,0.064035766,1.0,7500,1.0,2.0141602e-05,4999.46214576788,75,0.066345215,-0.25494385,1.0,1.0,1.0,[ 0.014  0.407 -2.705 -1.607 -1.121],3337.4425592422485,-0.28283554,-0.28283554,0.01910305,0.2975821,0.018270493,,-0.050409153,3181151,100,,0.004140685
498.53,1.0025319,0.40318248,2.252466,1.068521,7600,1.0130583,,4984.670512243639,76,0.2975464,-22.406128,1.0017332,1.204372,,[ 0.014  0.407 -2.705 -1.607 -1.121],3374.793860435486,-121.820816,-121.9085,9.998979,0.29747736,9.997957,0.07453761,-0.12332052,3231004,100,0.054855768,0.9605694
500.0,1.0,1.0,0.05539006,1.0,7700,1.0,-9.155274e-06,4999.44016072981,77,0.087402344,-0.15576172,1.0,1.0,1.0,[ 0.017  0.407 -2.705 -1.607 -1.121],3412.3159613609314,-0.23908457,-0.23908457,0.016031265,0.29747736,0.015145302,,-0.044032533,3281004,100,,0.0030991423
500.0,1.0,1.0,0.0616307,1.0,7800,1.0,6.469726e-05,4999.458315724421,78,0.0836792,-0.17999268,1.0,1.0,1.0,[ 0.017  0.407 -2.705 -1.607 -1.121],3450.0215713977814,-0.28807664,-0.28807664,0.019411087,0.29747736,0.01856327,,-0.05190237,3331004,100,,0.0038366297
500.0,1.0,1.0,0.052312117,1.0,7900,1.0,-6.286621e-05,4999.460916452291,79,0.074401855,-0.18121338,1.0,1.0,1.0,[ 0.017  0.407 -2.705 -1.607 -1.121],3487.48087477684,-0.22991286,-0.22991286,0.015717506,0.29747736,0.014875412,,-0.038678303,3381004,100,,0.0027644725
495.02,0.993629,0.7598647,97.83881,1.0086588,8000,1.0071595,5.1879884e-05,4949.554084003348,80,9.908386,-973.48364,1.005952,1.2147734,,[ 0.017  0.407 -2.705 -1.607 -1.121],3524.639211177826,-131.3587,-131.51588,9.998929,0.2972333,9.997858,0.0624473,-9.656398,3430506,100,0.09968408,9276.824
500.0,1.0,1.0,0.057687074,1.0,8100,1.0,-5.3710937e-05,4999.479549718129,81,0.068237305,-0.27459717,1.0,1.0,1.0,[ 0.018  0.408 -2.721 -1.612 -1.122],3563.450498819351,-0.27408102,-0.27408102,0.018716812,0.2972333,0.017911911,,-0.046353992,3480506,100,,0.0033607164
