MaxIWNorm,StdIW,J_sample_variance,MeanIW,EpLenMean,TimestepsSoFar,TimeElapsed,Bound,InitialReturnMean,ReturnStepMax,MinIW,ReturnStepMaxmin,MaxIW,StdIWNorm,ESSRenyi,InitialBound,EpThisIter,MeanEntropy,MinIWNorm,EpRewMean,ReturnMeanIW,MeanIWNorm,Iteration,EpisodesSoFar,InitialReturnStd,InitialReturnMin,Weights,EmpiricalD2,InitialReturnMax,ESSClassic,EntropyCoefficient
91.56568,399.0003,5039186400.0,92.1418,101.25,33512,92.2129123210907,11364.288,3.6621095e-05,10.0,3.1838854e-07,9.798832,1831.3136,19.950016,0.0050713522,-67.02704,20,0.29991636,1.5919428e-08,1002.315754889942,15859.036,4.60709,27,540,102.5993,-141.73352,[-0.53   0.779 -2.352 -2.315 -0.96 ],3943.7214,261.5238,1.0125879,10.0
0.08626887,0.2840873,14887.009,1.0893866,127.35,36059,98.3289623260498,-59.79674,1.2207031e-05,10.0,0.66419554,9.840366,1.7253774,0.014204365,18.737818,-63.78079,20,0.3046653,0.03320978,1263.335212128999,6.149068,0.05446933,28,560,107.12153,-138.77942,[-0.487  0.826 -2.371 -2.324 -1.119],1.0673602,243.84595,18.72651,10.0
1.493514,6.426042,1191831.0,1.9885098,122.8,38515,103.6582989692688,42.576885,,10.0,0.009386733,9.834494,29.870277,0.32130215,1.143954,-41.46279,20,0.3067347,0.00046933666,1217.8376473553608,225.61661,0.099425495,29,580,71.80743,-126.59979,[-0.486  0.829 -2.382 -2.3   -1.114],17.48322,162.52551,1.7477698,10.0
0.22476077,0.94016236,17911.883,1.0783876,113.0,40775,108.92605400085449,-21.546541,-6.1035157e-06,9.999999,0.067176886,9.820382,4.4952154,0.047008116,11.779375,-52.12895,20,0.29678136,0.0033588444,1119.8513812915994,47.40797,0.053919386,30,600,91.51857,-171.86603,[-0.536  0.827 -2.401 -2.262 -1.112],1.6978829,201.54834,11.363158,10.0
0.14373298,0.5574271,13947.108,1.01261,121.35,43202,114.13993954658508,-46.73441,-2.1362304e-05,9.999999,0.40177557,9.8326025,2.8746595,0.02787136,16.195593,-53.434578,20,0.30879927,0.020088779,1203.3431557696344,12.855424,0.0506305,31,620,100.61927,-129.86407,[-0.526  0.846 -2.406 -2.241 -1.122],1.2349038,205.95233,15.34879,10.0
0.08850507,0.3529853,10631.876,1.0851061,115.3,45508,119.154625415802,-35.940903,-3.0517579e-06,10.0,0.6164069,9.823837,1.7701013,0.017649265,17.71501,-48.029797,20,0.31939468,0.030820346,1142.8439802741345,15.17972,0.054255307,32,640,77.76607,-157.54883,[-0.527  0.865 -2.408 -2.223 -1.11 ],1.1289861,186.65576,18.086119,10.0
0.08448535,0.3001585,8545.118,0.85008353,123.35,47975,124.43310403823853,-50.39313,-1.2207031e-05,9.999999,0.4318795,9.835156,1.689707,0.015007925,17.857235,-54.88525,20,0.32714856,0.021593975,1223.3332386369261,7.8004556,0.042504184,33,660,89.36603,-129.51611,[-0.533  0.884 -2.429 -2.268 -1.1  ],1.1199943,212.0752,17.78292,10.0
0.1757971,0.7613977,11001.906,1.0606363,116.0,50295,129.29331707954407,-43.188347,-9.155274e-06,10.0,0.45555058,9.824972,3.515942,0.038069885,16.427176,-50.74945,20,0.3299866,0.02277753,1149.8483741702917,13.118558,0.053031813,34,680,84.20689,-114.60559,[-0.524  0.871 -2.427 -2.29  -1.092],1.2174947,197.25653,13.1984,10.0
0.19686495,0.9005285,19193.008,0.92444736,111.6,52527,134.21392464637756,-27.491373,-2.1362304e-05,10.0,0.08704604,9.818043,3.937299,0.045026425,12.230795,-41.85733,20,0.32756838,0.0043523023,1105.8466320020905,26.977945,0.046222366,35,700,83.911835,-125.38068,[-0.509  0.854 -2.444 -2.324 -1.089],1.6352167,164.89069,10.262082,10.0
0.068273105,0.19500971,7902.583,0.98748696,117.15,54870,139.36969780921936,-45.894753,-5.7983398e-05,10.0,0.5861154,9.826675,1.3654621,0.009750485,18.872217,-49.848045,20,0.3164137,0.029305771,1161.3473648306683,5.629058,0.04937435,36,720,78.873405,-120.54578,[-0.489  0.856 -2.449 -2.348 -1.091],1.0597589,193.98022,19.249306,10.0
