Iteration,J_sample_variance,Bound,StdD2w0t,MinD2w0t,ReturnMeanIW,MaxD2w0t,MinIW,EmpiricalD2,Weights,InitialReturnMax,ReturnStepMax,InitialReturnMin,InitialReturnMean,MeanIW,EpisodesSoFar,EpRewMean,StdIW,EpLenMean,InitialBound,MeanD2w0t,TimeElapsed,ReturnStepMaxmin,InitialReturnStd,MeanEntropy,TimestepsSoFar,MaxIW,EpThisIter
23,57292.207,-298.81134,0.91598845,,-163.87566,9.070158,0.027557718,3.035375,[-0.182  0.694 -1.066 -2.437 -1.103],206.56348,9.9425955,-786.78125,7.507324e-05,0.9019844,2300,1787.873466139516,0.91945726,179.82,-321.9168,0.5964122,362.5623893737793,9.885191,156.88911,0.28200954,187062,11.62269,100
24,36109.76,-271.9441,0.8236319,,-140.17186,8.1213875,0.056694202,2.6441903,[-0.161  0.676 -1.086 -2.449 -1.137],166.61145,9.946875,-563.2446,-6.713867e-06,0.9484478,2400,1970.569688401819,0.82887495,198.11,-285.8048,0.59522283,394.4418423175812,9.893749,123.83626,0.2622051,206873,9.150339,100
25,26026.201,-241.96046,1.8735756,,-103.37317,27.774733,0.032307696,6.0170355,[-0.151  0.699 -1.092 -2.439 -1.157],177.10175,9.951873,-796.3934,-3.7841797e-05,0.7976311,2500,2130.491123131611,0.79330593,214.08,-293.47852,0.97459805,428.0191648006439,9.903746,174.28108,0.2708759,228281,15.664662,100
26,26362.115,-236.50046,1.24239,,-102.10589,13.444311,0.049254335,3.3006744,[-0.121  0.639 -1.167 -2.362 -1.148],155.02454,9.957849,-828.3219,9.9487304e-05,0.7570708,2600,2399.2341690779967,0.5666379,240.94,-272.09665,0.92360365,466.32261395454407,9.915697,192.73813,0.29199016,252375,4.949543,100
27,42565.367,-246.17029,1.7345612,,-106.59529,27.204954,0.02112286,8.79816,[-0.139  0.681 -1.22  -2.432 -1.127],148.581,9.956074,-834.6897,-7.446289e-05,0.9265572,2700,2355.996593920582,0.9359792,236.64,-265.53073,1.0714867,503.471661567688,9.9121475,180.20268,0.303442,276039,19.91954,100
28,22970.408,-228.1993,2.522616,,-85.953384,31.712496,0.0041007637,6.896094,[-0.122  0.712 -1.277 -2.427 -1.116],146.47546,9.95876,-609.41724,-3.479004e-05,0.7457267,2800,2485.498792364617,0.7079345,249.58,-263.6376,1.466193,541.8073372840881,9.9175205,186.11722,0.27208558,300997,11.867307,100
29,18430.645,-198.62917,3.4138181,,-60.452404,53.861534,0.0012987088,14.463941,[-0.104  0.682 -1.33  -2.452 -1.147],107.67407,9.969199,-885.6833,6.591797e-05,0.76484835,2900,2939.9968476061563,1.0508949,294.91,-225.98135,1.8669326,587.3895976543427,9.938398,173.36293,0.23843539,330488,24.29755,100
30,14007.755,-189.33835,1.8940344,,-54.41468,24.40387,0.016814388,9.8234625,[-0.129  0.682 -1.355 -2.462 -1.18 ],101.22998,9.961043,-602.8824,-4.9438477e-05,0.83888704,3000,2621.13916042145,0.76989084,263.14,-218.6799,1.1886178,627.8958351612091,9.922087,93.64512,0.26269758,356802,9.067928,100
31,18586.48,-184.7666,1.3032758,,-57.46998,15.187509,0.026104165,6.0845933,[-0.105  0.68  -1.376 -2.476 -1.156],84.56555,9.967517,-634.0134,3.7231446e-05,0.9444121,3100,2958.6366859532427,0.8702034,296.83,-202.67116,1.0156285,673.2803032398224,9.935034,116.60296,0.2640666,386485,14.826879,100
32,12661.893,-169.15384,1.1235547,,-40.967323,12.1699295,0.010085699,4.1603255,[-0.082  0.682 -1.411 -2.497 -1.155],93.21527,9.974007,-890.1807,4.272461e-05,0.915915,3200,3349.1401454229326,0.8706674,335.79,-212.03941,1.1843289,724.1827256679535,9.948013,180.00972,0.24512689,420064,10.12599,100
33,14761.812,-155.08798,0.6571541,,-30.355656,3.581638,0.041016966,2.2959964,[-0.067  0.686 -1.55  -2.529 -1.174],48.89441,9.977828,-934.47815,-7.5683594e-05,0.844605,3300,3773.869257846219,0.49191874,378.23,-168.1692,1.0118418,767.5575203895569,9.955656,126.52069,0.23119049,457887,3.993209,100
34,4995.454,-141.73344,0.51411664,,-18.615294,3.9204073,0.05324415,1.9016248,[-0.056  0.697 -1.592 -2.527 -1.188],31.293945,9.985958,-638.0945,-6.408691e-05,0.97769386,3400,4274.4306848410015,0.4611001,428.05,-151.4506,1.0430645,822.2331900596619,9.971916,101.13155,0.222335,500692,7.7772126,100
35,1093.418,-131.22699,0.46682903,,-7.588743,3.5701044,0.0703987,1.8759913,[-0.045  0.702 -1.668 -2.534 -1.197],18.504517,9.99052,-450.54492,-3.967285e-05,0.96197736,3500,4518.038539793695,0.41039845,452.24,-139.15514,1.1201515,887.6011312007904,9.981039,67.78909,0.21443151,545916,3.2801044,100
36,18609.809,-141.74779,0.21811974,,-19.867226,1.4519753,0.24197848,1.1400838,[-0.036  0.714 -1.729 -2.546 -1.205],21.33722,9.99505,-972.03235,-1.15966795e-05,0.9758837,3600,4785.542687302582,0.1971874,478.8,-142.51503,1.0003737,958.4568021297455,9.990101,137.55127,0.21058036,593796,2.3979077,100
37,18712.008,-155.25497,0.9303196,,-29.88871,10.563679,0.025278004,2.877823,[-0.03   0.71  -1.741 -2.539 -1.208],47.747253,9.993964,-935.6429,6.713867e-06,0.9364782,3700,4560.672465939314,0.7081704,456.35,-168.80345,1.4167006,1025.151107788086,9.987928,179.06334,0.20080502,639431,16.841059,100
38,4205.5586,-131.78192,0.23140289,,-10.084298,1.0415016,0.62194926,1.0186626,[-0.044  0.714 -1.8   -2.554 -1.218],12.357788,9.993575,-720.96265,6.713867e-06,0.99525374,3800,4717.67905837033,0.086287655,472.08,-133.35806,0.9511638,1094.9266126155853,9.98715,75.13213,0.20104961,686639,1.3555536,100
39,1257.8477,-127.93994,0.23504095,,-5.48026,1.3628742,0.23735063,1.174954,[-0.043  0.716 -1.826 -2.555 -1.218],9.017395,9.993137,-520.9252,-3.4179688e-05,0.9962511,3900,4761.831999994916,0.3174765,476.52,-129.97112,1.0279064,1170.9498772621155,9.986275,54.28931,0.19245617,734291,3.1090112,100
40,6.503264,-122.41865,0.18435052,,-0.5630216,1.6993911,0.2786674,1.1878405,[-0.039  0.703 -1.846 -2.544 -1.226],1.637146,9.994748,-18.350647,-9.765625e-06,0.98442394,4000,4869.839307160889,0.1905423,487.25,-122.76934,1.0237404,1245.060793876648,9.989496,4.1996555,0.19213948,783016,2.2583916,100
41,8253.224,-131.22816,0.1369342,,-9.25733,1.1755877,0.33779675,1.0825069,[-0.033  0.704 -1.846 -2.544 -1.227],10.406494,9.996758,-972.9907,-0.00011108399,0.99954593,4100,4912.805101801123,0.18853547,491.45,-131.76761,1.0169569,1317.4303426742554,9.993517,97.81925,0.18950342,832161,2.1649458,100
42,4034.0225,-133.02989,0.21090841,,-10.368287,1.3542442,0.19445279,1.1846234,[-0.029  0.699 -1.84  -2.53  -1.229],16.688904,9.996512,-694.6349,-2.6245118e-05,0.9863703,4200,4820.327453851738,0.30386603,482.21,-138.02733,1.0477107,1390.214233636856,9.993025,99.23641,0.1826302,880382,2.9642298,100
43,9216.029,-131.66953,0.15028654,,-9.851448,1.2635252,0.31356928,1.0793748,[-0.033  0.7   -1.886 -2.537 -1.236],10.651428,9.996733,-972.7421,-6.0424805e-05,0.9932639,4300,4894.497592222884,0.15431736,489.62,-132.01073,1.0053792,1464.6588099002838,9.993465,97.82231,0.18128562,929344,1.7034786,100
44,12198.644,-138.45901,0.22345488,,-15.775327,1.5309323,0.265869,1.2143801,[-0.029  0.698 -1.892 -2.542 -1.238],18.998901,9.996348,-974.37854,5.3710937e-05,0.98081976,4400,4804.849116335422,0.28279638,480.67,-140.3135,1.0539856,1537.3383855819702,9.992697,123.499054,0.17315257,977411,2.291016,100
45,0.92569464,-121.81542,0.05598613,,-0.1437314,1.0433059,0.6434611,1.009356,[-0.024  0.688 -1.908 -2.54  -1.246],0.32440186,9.998253,-13.593384,-7.5683594e-05,0.99964976,4500,4983.5275007878845,0.056986164,498.45,-121.84913,1.000195,1613.3047769069672,9.996506,1.4241167,0.17347363,1027256,1.2855928,100
46,0.11075902,-121.68763,0.030318854,,-0.03781409,1.0,1.0,1.0,[-0.022  0.688 -1.908 -2.54  -1.245],0.15100098,9.99836,-3.0870972,-1.8310546e-06,1.0,4600,4994.470864137428,,499.54,-121.68763,0.99908,1687.1212224960327,9.996719,0.33114216,0.17347363,1077210,1.0,100
47,22263.787,-148.1142,0.1976773,,-26.12139,1.0797567,0.45576328,1.05686,[-0.022  0.688 -1.908 -2.54  -1.245],27.781738,9.997159,-965.6,4.333496e-05,0.9709972,4700,4808.140880645692,0.1549973,480.96,-149.18248,0.98987556,1757.8367035388947,9.994318,154.13019,0.16668828,1125306,1.7488036,100
48,0.13706033,-121.715454,0.032538503,,-0.06412886,1.0,1.0,1.0,[-0.023  0.686 -1.924 -2.539 -1.252],0.16741943,9.998484,-3.3607788,-2.6245118e-05,1.0,4800,4993.827928397589,,499.47,-121.715454,0.99894,1834.1601243019104,9.996967,0.36835355,0.16668828,1175253,1.0,100
49,17920.658,-141.07115,0.1595942,,-19.12105,1.0677643,0.33881173,1.0518155,[-0.023  0.686 -1.924 -2.539 -1.252],20.015198,9.997486,-963.3773,6.1035155e-07,1.0038288,4900,4875.768339567856,0.1696087,487.71,-141.4615,1.0008136,1905.7941629886627,9.994972,137.63058,0.1607092,1224024,1.9813423,100
50,2.6125813,-121.89721,0.05787329,,-0.20029837,1.0681137,0.50731456,1.0163864,[-0.022  0.681 -1.924 -2.529 -1.258],0.40905762,9.998597,-27.32196,-3.8452148e-05,0.99685705,5000,4982.891992292132,0.07703331,498.37,-121.9664,1.0025034,1980.8814878463745,9.997194,2.7481658,0.16051935,1273861,1.2889185,100
51,16473.52,-140.47029,0.15725943,,-18.261015,1.1039517,0.47989067,1.095448,[-0.02   0.682 -1.924 -2.529 -1.258],19.823547,9.997766,-973.5592,3.6621095e-05,0.9971122,5100,4887.201076185066,0.20251432,488.84,-141.2909,1.0244501,2053.2365753650665,9.995531,136.98132,0.15154618,1322745,2.2000852,100
52,28668.81,-151.36848,0.17299177,,-29.650763,1.0198684,0.74878645,1.0114152,[-0.019  0.68  -1.936 -2.522 -1.267],29.979553,9.997899,-963.4043,6.1035156e-05,1.0005735,5200,4846.380193704312,0.07458633,484.75,-151.46066,0.9751155,2127.5252435207367,9.995798,169.42749,0.1490605,1371220,1.3373207,100
53,2641.4338,-127.58111,0.109611176,,-5.1852384,1.2751374,0.26671395,1.1061084,[-0.019  0.677 -1.936 -2.518 -1.27 ],7.2683105,9.998528,-704.09406,2.746582e-05,0.96554875,5300,4952.565054468977,0.22068454,495.34,-128.81624,1.0453373,2201.540609359741,9.997055,70.76422,0.14599268,1420754,1.9974477,100
54,8.89774,-122.052704,0.077899724,,-0.3833731,1.0078106,0.8292177,1.0040765,[-0.022  0.685 -1.951 -2.514 -1.273],0.57470703,9.998032,-34.695618,7.263184e-05,1.0055263,5400,4968.511649120535,0.04123069,496.96,-122.079124,0.99585485,2277.0114431381226,9.996063,3.5422235,0.14464982,1470450,1.1882422,100
55,7719.4297,-130.82918,0.10856179,,-8.832572,1.100454,0.34049124,1.0583855,[-0.023  0.686 -1.954 -2.513 -1.274],10.007324,9.998506,-973.3983,1.7700195e-05,1.0179212,5500,4944.250705826624,0.17126197,494.51,-131.55142,1.0169678,2350.5835564136505,9.997011,97.831345,0.13830459,1519901,1.9232004,100
56,0.022184953,-121.71493,0.015489562,,-0.059676938,1.0,1.0,1.0,[-0.021  0.687 -1.981 -2.517 -1.281],0.14337158,9.998806,-0.9888916,2.4414062e-06,1.0,5600,4998.088702723108,,499.88,-121.71493,0.99976,2426.362720966339,9.997612,0.14820272,0.13830459,1569889,1.0,100
57,8941.463,-131.3288,0.10230436,,-9.491562,1.0406038,0.65360975,1.0285828,[-0.021  0.687 -1.981 -2.517 -1.281],9.977905,9.998512,-973.4326,4.4555665e-05,1.003413,5700,4948.151759094046,0.11813926,494.9,-131.51894,1.0043292,2498.945939064026,9.997025,97.833755,0.13429575,1619379,1.4941607,100
58,2231.3228,-127.4044,0.13476719,,-5.135313,1.1679394,0.41204333,1.0885133,[-0.022  0.686 -1.983 -2.521 -1.285],7.3427124,9.997728,-675.7378,7.446289e-05,1.0265753,5800,4917.872991914712,0.21421003,491.91,-128.80602,1.0291197,2572.330950498581,9.995457,67.95068,0.13024904,1668570,1.9267279,100
59,0.677278,-121.80515,0.059503518,,-0.12487616,1.0718136,0.5328408,1.0138196,[-0.022  0.689 -1.997 -2.51  -1.289],0.31713867,9.998382,-13.503357,-5.126953e-05,0.99992555,5900,4981.776030154382,0.07458504,498.27,-121.85059,1.0012329,2648.414470911026,9.996763,1.4347866,0.1302071,1718397,1.273981,100
60,0.3841791,-121.77455,0.035473224,,-0.12052376,1.0,1.0,1.0,[-0.02   0.689 -1.997 -2.51  -1.289],0.19934082,9.998706,-6.0217896,-4.5166016e-05,1.0,6000,4992.943540064107,,499.37,-121.77455,0.99874,2722.176899433136,9.997412,0.6167165,0.1302071,1768334,1.0,100
61,9838.823,-131.62985,0.1021549,,-9.972692,1.0010153,0.9349459,1.0006433,[-0.02   0.689 -1.997 -2.51  -1.289],10.073181,9.998639,-983.3088,-3.8452148e-05,0.9968819,6100,4946.511224641226,0.019010909,494.73,-131.63882,0.98977256,2794.9076569080353,9.997278,98.826546,0.13053983,1817807,1.1058547,100
62,19510.418,-141.58267,0.14515595,,-19.92037,1.0174754,0.70023483,1.0039212,[-0.02   0.688 -1.997 -2.509 -1.288],20.08197,9.998317,-973.31024,-4.760742e-05,1.0029138,6200,4891.770135831178,0.038933642,489.27,-141.60141,0.9801008,2867.808828353882,9.996634,139.0464,0.13142413,1866734,1.1787331,100
63,0.0695579,-121.717476,0.028273115,,-0.0659444,1.0,1.0,1.0,[-0.018  0.688 -1.997 -2.509 -1.288],0.171875,9.998501,-2.159607,-1.4648437e-05,1.0,6300,4995.139281717783,,499.6,-121.717476,0.9992,2941.461594104767,9.997002,0.26240903,0.13142413,1916694,1.0,100
64,0.013859556,-0.28400338,,1.0,-0.067775235,1.0,1.0,1.0,[-0.018  0.688 -1.997 -2.509 -1.288],0.12750244,0.01777172,-0.3862915,-0.00011413574,1.0,6400,4999.315244522403,,500.0,-0.28400338,1.0,3014.738490819931,0.016625404,0.11714551,0.13142413,1966694,1.0,100
65,9686.796,-131.59737,0.09981225,,-9.898887,1.0135818,0.77301216,1.007989,[-0.018  0.688 -1.997 -2.509 -1.288],10.07251,9.998655,-983.30554,0.00010253906,1.0012779,6500,4949.320525028037,0.062418252,495.01,-131.6437,0.993841,3087.1598167419434,9.997311,98.82601,0.12886097,2016195,1.3219675,100
66,0.20189698,-121.757286,0.0316063,,-0.1030828,1.0,1.0,1.0,[-0.019  0.687 -1.997 -2.508 -1.29 ],0.18127441,9.99872,-4.3046265,2.0141602e-05,1.0,6600,4994.246162466292,,499.5,-121.757286,0.999,3160.508774995804,9.99744,0.447088,0.12886097,2066145,1.0,100
67,18264.584,-141.10844,0.14864689,,-19.300991,1.0468626,0.68473834,1.0268677,[-0.019  0.687 -1.997 -2.508 -1.29 ],19.909424,9.998425,-963.5031,-1.0375977e-05,1.0138478,6700,4889.417005390507,0.11770792,489.03,-141.44072,0.9909911,3232.528927087784,9.996849,137.6483,0.12909396,2115048,1.6093826,100
68,0.009091174,-0.27236947,,1.0,-0.07383643,1.0,1.0,1.0,[-0.018  0.689 -2.014 -2.518 -1.29 ],0.13330078,0.016317368,-0.22735596,2.0141602e-05,1.0,6800,4999.352145704963,,500.0,-0.27236947,1.0,3307.9297688007355,0.01525116,0.094873585,0.12909396,2165048,1.0,100
69,9865.219,-131.63089,0.099394634,,-9.975851,0.99999976,0.99588597,0.99988246,[-0.018  0.689 -2.014 -2.518 -1.29 ],10.048767,9.998846,-983.3387,2.2583008e-05,0.99985045,6900,4949.411395191371,0.00061778916,495.01,-131.63193,0.9900005,3380.7476077079773,9.997692,98.829315,0.12913218,2214549,1.0024577,100
70,8581.24,-131.23668,0.10432303,,-9.30963,1.0498605,0.5322137,1.0457186,[-0.018  0.689 -2.014 -2.518 -1.29 ],9.976746,9.998554,-973.42664,6.713867e-06,1.0050001,7000,4947.469687568806,0.1620265,494.83,-131.53128,1.0123538,3453.717060804367,9.997108,97.83323,0.122680925,2264032,1.6961927,100
71,0.010553682,-0.27509266,,1.0,-0.082361266,1.0,1.0,1.0,[-0.019  0.688 -2.018 -2.52  -1.296],0.14422607,0.01584053,-0.2387085,6.713867e-05,1.0,7100,4999.368199076124,,500.0,-0.27509266,1.0,3528.399538755417,0.014813423,0.10221158,0.122680925,2314032,1.0,100
72,20382.516,-146.78221,0.18512785,,-24.59644,1.1309457,0.4250162,1.0902984,[-0.019  0.688 -2.018 -2.52  -1.296],26.910767,9.99797,-956.49634,7.080078e-05,0.9936196,7200,4840.308588762147,0.22703633,484.14,-148.39644,1.0121908,3599.614320039749,9.995939,153.22931,0.11750994,2362446,2.413773,100
73,9593.715,-131.54866,0.106267534,,-9.875439,1.0077649,0.82039905,1.0039837,[-0.02   0.683 -2.027 -2.503 -1.301],10.001526,9.998755,-973.4001,4.2114258e-05,0.9979961,7300,4942.363332529537,0.041177236,494.31,-131.57932,0.99040127,3674.27077126503,9.997511,97.83302,0.11901824,2411877,1.2092515,100
74,1.5058155,-121.87748,0.056979477,,-0.177269,1.0730215,0.4683031,1.0178957,[-0.019  0.682 -2.027 -2.501 -1.3  ],0.3875122,9.9987755,-25.565857,5.6152345e-05,0.99776256,7400,4983.575170690138,0.077833585,498.43,-121.96715,1.003349,3748.3928146362305,9.997551,2.571722,0.11877869,2461720,1.258146,100
75,9668.406,-131.53345,0.09930148,,-9.878836,1.0,1.0,1.0,[-0.017  0.682 -2.027 -2.502 -1.3  ],9.959595,9.998754,-973.44714,-8.544922e-06,1.0,7500,4949.473167919348,,495.02,-131.53345,0.99004,3821.371795654297,9.997507,97.835175,0.11877869,2511222,1.0,100
76,0.0085266065,-0.2687137,,1.0,-0.07106252,1.0,1.0,1.0,[-0.017  0.682 -2.027 -2.502 -1.3  ],0.1227417,0.016244888,-0.27941895,-0.00011779785,1.0,7600,4999.3939801289525,,500.0,-0.2687137,1.0,3894.585022211075,0.015264511,0.091878034,0.11877869,2561222,1.0,100
77,9627.378,-131.54044,0.09937736,,-9.8765135,1.001702,0.90926653,1.0014796,[-0.017  0.682 -2.027 -2.502 -1.3  ],9.981079,9.998749,-973.4268,-0.00012756347,0.99857056,7700,4949.469558218583,0.026994478,495.02,-131.55171,0.9907862,3967.3795335292816,9.997498,97.83312,0.11985316,2610724,1.1189611,100
78,0.0077093877,-0.30561155,,1.0,-0.07504168,1.0,1.0,1.0,[-0.017  0.682 -2.027 -2.5   -1.299],0.11364746,0.018950462,-0.2821045,-4.5776367e-05,1.0,7800,4999.4155477750555,,500.0,-0.30561155,1.0,4041.6917686462402,0.018027306,0.08736917,0.11985316,2660724,1.0,100
79,0.34807295,-121.77879,0.0465823,,-0.113139026,1.0239636,0.65717566,1.0048175,[-0.017  0.682 -2.027 -2.5   -1.299],0.24694824,9.998562,-8.373535,-0.00012390137,0.99998987,7900,4988.369281131424,0.04414466,498.92,-121.798744,0.9996503,4115.091578245163,9.997124,0.87353903,0.120011955,2710616,1.1907597,100
80,9525.837,-131.50748,0.09958043,,-9.818553,1.0070378,0.8270142,1.0053236,[-0.015  0.682 -2.027 -2.5   -1.299],9.964905,9.998769,-973.4345,-1.2207031e-05,0.9961476,8000,4949.480273752577,0.050487652,495.02,-131.54663,0.9926975,4187.977286815643,9.997538,97.8339,0.118063085,2760118,1.2428967,100
81,0.014117552,-0.2867528,,1.0,-0.06854048,1.0,1.0,1.0,[-0.016  0.681 -2.027 -2.501 -1.301],0.12249756,0.0179348,-0.43414307,-5.1879884e-05,1.0,8100,4999.382708577519,,500.0,-0.2867528,1.0,4260.335763931274,0.016934395,0.1182215,0.118063085,2810118,1.0,100
