Weights,InitialReturnMin,EmpiricalD2,MeanEntropy,EpRewMean,MaxD2w0t,StdIW,MaxIW,InitialReturnStd,InitialReturnMean,MinIW,ReturnMeanIW,MeanIW,J_sample_variance,InitialBound,MeanD2w0t,MinD2w0t,ReturnStepMaxmin,EpThisIter,StdD2w0t,ReturnStepMax,Iteration,Bound,EpisodesSoFar,EntropyCoefficient,TimestepsSoFar,TimeElapsed,InitialReturnMax,EpLenMean
[-0.092  0.676 -1.704 -2.26  -0.638],-449.5244,4.1223135,0.73076993,1656.885573158873,19.634108,0.7012075,7.133978,259.13458,3.0517579e-06,0.017181387,-131.88264,0.6125568,14751.471,-564.3801,0.83224374,,9.872694,20,1.7125756,9.999998,27,-444.81693,540,10.0,42966,112.87681126594543,298.9109,166.75
[-0.112  0.648 -1.736 -2.244 -0.688],-644.0856,2.990972,0.7055187,1714.9744416786355,11.478007,0.53561157,4.337867,333.5768,-1.5258789e-05,0.017946297,-221.93033,0.7646957,91838.36,-598.04974,0.68963015,,9.878002,20,1.2569276,10.0,28,-517.21387,560,10.0,46417,119.45095205307007,330.8756,172.55
[-0.133  0.697 -1.779 -2.236 -0.713],-640.65076,4.595023,0.65311813,1580.5143895160131,21.256166,0.46550667,2.9082923,306.3879,3.6621095e-05,0.01021521,-167.91508,0.5354697,53673.234,-611.2373,0.9270002,,9.868189,20,2.0691242,10.0,29,-487.03802,580,10.0,49599,126.0071029663086,350.03918,159.1
[-0.151  0.69  -1.819 -2.194 -0.766],-856.6019,1.7803205,0.6738466,2661.677428071545,2.4908905,0.32454088,1.9038401,214.20648,4.5776367e-05,0.092638895,-108.964134,0.69131416,49317.203,-398.52048,0.68377763,,9.922737,20,0.6623527,10.0,30,-384.1528,600,10.0,54943,135.0745348930359,136.66522,267.2
[-0.162  0.667 -1.818 -2.165 -0.745],-533.4518,9.458243,0.67486596,2047.3744145679927,26.698559,0.40277988,2.105082,228.353,6.1035157e-06,0.0014353457,-106.20373,0.5302634,24936.438,-475.3352,0.92255247,,9.901579,20,1.93479,9.999998,31,-397.4186,620,10.0,59058,142.44037532806396,214.49329,205.75
[-0.203  0.652 -1.837 -2.164 -0.744],-457.2836,1.56096,0.68493223,1688.0117720672763,2.7208838,0.43259856,2.739515,172.02626,-2.4414063e-05,0.06622553,-163.30713,0.8539081,16636.041,-491.65833,0.42981738,,9.876507,20,0.62105554,9.999998,32,-443.78525,640,10.0,62455,148.9130141735077,183.27411,169.85
[-0.224  0.711 -1.9   -2.202 -0.734],-150.06183,7.030257,0.6641092,1656.101256527462,12.135847,0.67492324,4.7763224,85.20538,-1.2207031e-05,0.06968605,-99.12252,0.6555188,23628.639,-460.48892,0.6087796,,9.875204,20,1.1617458,10.0,33,-403.6029,660,10.0,65788,154.74048733711243,121.803955,166.65
[-0.18   0.724 -1.91  -2.19  -0.755],-506.3213,4.928821,0.6907168,1742.1128506917607,8.398787,0.5429819,2.8184,193.20421,-1.8310548e-05,0.06320693,-148.1397,0.75552005,42407.96,-486.26718,0.61759055,,9.881466,20,1.0426806,10.0,34,-445.0285,680,10.0,69293,162.17743110656738,182.92328,175.25
[-0.147  0.725 -1.998 -2.226 -0.728],-766.8582,11.4698925,0.6656491,2030.9685089227219,51.608074,0.5892719,5.650168,235.7924,-1.0681152e-05,0.051703073,-128.82652,0.8063272,33523.656,-476.85944,1.1435367,,9.901708,20,2.9644966,9.999999,35,-430.43634,700,10.0,73375,169.13300490379333,216.25201,204.1
[-0.102  0.703 -2.036 -2.244 -0.753],-409.04633,1.7864403,0.6588182,2829.6994225083195,2.5297132,0.7271101,6.8600254,130.99178,-2.1362304e-05,0.18266228,-72.06277,1.0508639,11953.918,-372.58594,0.7024466,,9.937993,20,0.6411824,9.999999,36,-344.45404,720,10.0,79052,179.70878052711487,110.09039,283.85
[-0.088  0.724 -2.169 -2.286 -0.76 ],-841.7542,2.4178586,0.64012176,3127.760927983029,3.8327284,0.4018125,3.633668,285.26547,1.8310548e-05,0.10909439,-107.79046,0.72276413,87698.445,-404.4018,0.8567625,,9.944285,20,0.73986983,9.999999,37,-381.50003,740,10.0,85325,189.64221024513245,141.53925,313.65
[-0.065  0.721 -2.185 -2.285 -0.779],-806.6486,3.200882,0.6011518,2969.245981684129,6.3390274,0.67548096,5.217036,275.37915,2.4414063e-05,0.010838904,-87.501884,0.7807681,29482.477,-439.53568,1.279174,,9.941212,20,1.3337847,10.0,38,-378.79343,760,10.0,91281,200.41521763801575,176.65332,297.8
[-0.073  0.746 -2.25  -2.296 -0.818],-870.8873,1.6701149,0.5837201,3466.0922234602194,2.1484902,0.3976185,2.7008243,228.31097,-3.6621095e-05,0.12034329,-71.27274,0.8148623,41012.484,-366.4671,0.90425086,,9.954479,20,0.6278637,10.0,39,-346.50262,780,10.0,98229,210.45267176628113,102.48889,347.4
[-0.065  0.766 -2.296 -2.3   -0.835],-57.883057,1.9340843,0.5857107,4416.055274854853,3.7277944,0.330502,2.4074929,18.504477,-1.5258789e-05,0.19516104,-4.275807,0.96641034,106.22521,-276.41208,1.034123,,9.97765,20,0.48433527,10.0,40,-272.23343,800,10.0,107071,224.1880497932434,11.19458,442.1
[-0.047  0.768 -2.306 -2.3   -0.833],-698.0038,1.1623573,0.57948834,4009.061414333074,1.2439073,0.2710436,2.0925605,171.54509,-3.3569337e-05,0.40060884,-48.44208,0.9637004,19088.127,-330.3003,0.87427264,,9.967945,20,0.4359223,10.0,41,-317.2712,820,10.0,115102,236.3456597328186,65.5788,401.55
[-0.045  0.751 -2.365 -2.265 -0.839],-391.8474,1.2519512,0.56500256,4456.557869500883,1.3309062,0.40951595,2.9240437,90.92855,4.5776367e-05,0.31728292,-15.480868,0.95336545,3129.946,-292.87762,1.0004518,,9.9845915,20,0.35580102,9.999999,42,-285.08554,840,10.0,124022,250.53414344787598,27.273193,446.0
[-0.041  0.758 -2.4   -2.275 -0.854],-475.4654,1.979316,0.55147094,4395.545935925437,3.1132128,0.345571,3.4487298,140.78384,4.5776367e-05,0.23810062,-23.556648,0.8519494,4529.503,-314.58234,1.16962,,9.982047,20,0.53793186,9.999999,43,-296.02365,860,10.0,132821,264.6462345123291,48.95349,439.95
[-0.055  0.753 -2.455 -2.281 -0.867],-98.95215,2.2066567,0.5505925,4517.073133473822,4.7587667,0.4540983,3.6450012,27.981306,2.4414063e-05,0.100540325,-1.6613114,0.99120235,22.54065,-278.04547,1.1301869,,9.980434,20,0.5488728,10.0,44,-270.3955,880,10.0,141864,276.89009308815,12.33429,452.15
[-0.036  0.752 -2.462 -2.281 -0.868],-691.915,5.129636,0.54518867,4584.536785813128,49.339516,0.34106687,2.5479488,166.67172,-7.93457e-05,0.0416978,-24.33892,0.72215694,9269.816,-315.0536,1.686715,,9.991457,20,2.5945325,10.0,45,-297.5715,900,10.0,151037,292.51394176483154,48.82245,458.65
[-0.065  0.739 -2.501 -2.259 -0.874],-33.57257,1.9814523,0.5451876,4347.681973129756,3.3714254,0.66918045,4.6831026,13.561487,-2.746582e-05,0.06900768,-2.0402563,1.0270591,30.737576,-275.75488,1.040985,,9.970997,20,0.49774742,10.0,46,-270.7124,920,10.0,159745,306.1125431060791,10.483765,435.4
[-0.048  0.736 -2.508 -2.252 -0.874],-50.95465,1.5047618,0.54467815,4727.111227867822,2.3105881,0.3032464,3.1176217,12.968145,-4.5776367e-05,0.24385431,-1.0060401,1.0038828,12.88067,-271.09756,1.0556312,,9.987804,20,0.30744335,10.0,47,-268.56116,940,10.0,169205,319.74307513237,4.9783325,473.0
[-0.034  0.735 -2.516 -2.254 -0.874],-18.322205,1.0082716,0.54388976,4879.18991053337,1.0232038,0.06880143,1.2154269,4.613773,-3.0517578e-05,0.73655534,-1.0343369,1.0178101,18.618683,-267.82535,0.97945935,,9.990564,20,0.15263562,10.0,48,-267.72562,960,10.0,178968,333.46539998054504,1.5546265,488.15
[-0.032  0.733 -2.516 -2.255 -0.875],-695.54266,1.7952276,0.5275878,4698.682793254128,3.262509,0.5155508,3.3284955,159.61656,2.4414063e-05,0.11953062,-20.475327,1.001197,6358.059,-303.98547,1.2185836,,9.9922905,20,0.4270277,10.0,49,-292.5406,980,10.0,188369,344.69535756111145,37.658936,470.05
[-0.046  0.737 -2.555 -2.251 -0.891],-21.989014,1.0991927,0.52779436,4890.694818701728,1.2581303,0.13255635,1.3913206,5.1131163,5.7983398e-05,0.41111565,-0.36262894,0.99877656,5.7235727,-267.9153,1.0028057,,9.9906025,20,0.15308753,10.0,50,-267.39767,1000,10.0,198155,357.3097667694092,1.5125732,489.3
[-0.039  0.737 -2.556 -2.252 -0.891],-893.5346,1.5290805,0.5110245,4290.281004570824,1.7767613,0.60692716,4.5845985,262.49127,-7.93457e-05,0.087530695,-67.19952,1.0808542,43675.355,-355.6089,1.0898088,,9.978052,20,0.47158846,10.0,51,-341.20685,1020,10.0,206745,369.08059191703796,89.788025,429.5
[-0.038  0.702 -2.569 -2.22  -0.908],-56.443176,1.286511,0.5126575,4805.201947758834,1.7776655,0.22713847,1.5085876,13.533496,3.3569337e-05,0.29641774,-1.1117715,0.9591881,19.58889,-270.6714,1.0329467,,9.990463,20,0.23676528,10.0,52,-268.82306,1040,10.0,216360,381.46165561676025,4.11322,480.75
[-0.028  0.701 -2.575 -2.224 -0.906],-20.713928,1.1372602,0.5129197,4799.229816610025,1.5126016,0.23676506,1.6011068,6.2815447,-3.0517579e-06,0.2636143,-0.4837441,1.0048351,3.9842916,-269.17224,1.0007116,,9.988491,20,0.21352234,10.0,53,-267.8827,1060,10.0,225964,395.12934827804565,2.7200317,480.2
[-0.02   0.7   -2.576 -2.223 -0.906],-6.289734,1.0004938,0.5133682,4964.074249220868,1.0006016,0.016211994,1.0554391,1.4478736,3.3569337e-05,0.94319546,-0.27595463,1.0002993,2.0784283,-267.21875,0.9933449,,9.994289,20,0.08279974,10.0,54,-267.21103,1080,10.0,235895,409.49588894844055,0.46740723,496.55
[-0.02   0.7   -2.576 -2.223 -0.906],-289.945,1.355224,0.51175994,4807.200898929531,1.9635483,0.2987616,3.1397595,66.518005,2.746582e-05,0.29593617,-4.4563713,0.88172615,408.49466,-282.12515,1.099382,,9.994623,20,0.26068097,10.0,55,-274.45087,1100,10.0,245512,420.1358745098114,15.382263,480.85
[-0.033  0.69  -2.604 -2.228 -0.907],-893.8876,1.0460587,0.50791025,4444.347788891123,1.0593634,0.16759278,1.629877,296.31042,3.0517579e-06,0.5992898,-97.37423,1.0210379,89917.14,-365.78345,0.9123537,,9.985851,20,0.32187676,10.0,56,-365.0616,1120,10.0,254407,431.9131681919098,99.46332,444.75
[-0.032  0.679 -2.594 -2.209 -0.911],-54.243774,1.1726482,0.50828195,4874.148990352806,1.4590373,0.20947883,1.714179,12.451352,1.8310548e-05,0.2868268,-0.811312,1.0040306,17.439932,-269.756,1.0247742,,9.992428,20,0.17750043,10.0,57,-268.3364,1140,10.0,264159,445.2921497821808,3.0706787,487.6
[-0.024  0.678 -2.595 -2.211 -0.911],-34.853577,1.279011,0.5086118,4715.257426672577,1.5854754,0.29945028,2.1697469,13.413087,5.7983398e-05,0.11593313,-0.85241526,0.9341296,7.882149,-272.3321,1.0154784,,9.990515,20,0.27072522,10.0,58,-268.7277,1160,10.0,273594,456.43537402153015,5.7330933,471.75
[-0.013  0.677 -2.596 -2.212 -0.91 ],-52.765015,1.1224252,0.50780666,4860.687379409583,1.5360963,0.21201947,1.4431201,12.148244,6.713867e-05,0.21193898,-0.55768734,0.9461344,8.486853,-269.80292,1.011365,,9.992571,20,0.18080097,10.0,59,-268.0454,1180,10.0,283319,468.52389001846313,3.1171875,486.25
[-0.006  0.677 -2.596 -2.212 -0.911],-0.28234863,1.0,0.5080152,4999.187788511461,1.0000004,0.004709958,1.0184683,0.08548569,4.8828126e-05,0.9888153,-0.029678494,0.9990305,0.007707222,-267.01343,1.0,1.0,0.01388073,20,5.0505925e-08,10.0,60,-267.01144,1200,10.0,293319,482.2577075958252,0.099365234,500.0
[-0.006  0.677 -2.596 -2.212 -0.911],-942.0768,1.0967782,0.50994724,4663.306024093741,1.594986,0.18024221,1.2924691,216.22876,-7.019043e-05,0.21572396,-49.781902,0.9424983,49100.184,-317.97473,0.9639629,,9.992756,20,0.26641354,10.0,61,-317.07745,1220,10.0,302649,495.27961683273315,51.272095,466.5
[ 2.112e-03  6.745e-01 -2.601e+00 -2.210e+00 -9.090e-01],-0.26837158,1.0,0.5099867,4999.192222207496,1.0,0.0009060988,1.0025744,0.106784314,-2.1362304e-05,0.99787456,-0.029078526,1.0000634,0.012006832,-266.99146,1.0,1.0,0.01596737,20,,10.0,62,-266.99112,1240,10.0,312649,510.4722857475281,0.11151123,500.0
[ 2.110e-03  6.745e-01 -2.601e+00 -2.210e+00 -9.090e-01],-508.509,1.6150589,0.5040286,4779.600584614571,3.5584185,0.3956974,2.1090584,116.66002,-1.373291e-05,0.101908304,-12.208173,0.94374806,3011.957,-293.66623,1.1839153,,9.994165,20,0.43172163,10.0,63,-282.21588,1260,10.0,322211,523.7835383415222,26.92212,478.1
[ 0.018  0.657 -2.646 -2.203 -0.915],-0.27563477,1.0,0.50408965,4999.205474674464,1.0,0.0013682775,1.0030651,0.107818045,-1.8310548e-05,0.99557483,-0.044568785,0.9996501,0.012236091,-267.06616,1.0,1.0,0.016482353,20,,10.0,64,-267.06555,1280,10.0,332211,537.4428734779358,0.13909912,500.0
[ 0.018  0.657 -2.646 -2.203 -0.915],-0.28753662,1.0001196,0.50444967,4999.0465845258495,1.0001208,0.0072755944,1.0235262,0.11368161,3.0517578e-05,0.9785384,-0.066952996,0.99995166,0.013625487,-267.08783,1.0000603,1.0000002,0.015419006,20,3.4540815e-05,10.0,65,-267.08597,1300,10.0,342211,549.2005848884583,0.13391113,500.0
[ 0.018  0.657 -2.646 -2.203 -0.914],-943.59143,1.0045623,0.50647014,4749.213681073169,1.0053145,0.047674492,1.191796,216.47472,-7.324219e-05,0.8525231,-49.45693,1.0134162,49101.523,-316.5879,0.95238113,,9.994613,20,0.21826525,9.999999,66,-316.51932,1320,10.0,351712,562.826548576355,49.77124,475.05
[ 0.018  0.656 -2.646 -2.201 -0.912],-0.13787842,1.0,0.50653577,4999.092608337534,1.0,0.0011553272,1.0031623,0.07315449,-1.2207031e-05,0.9965144,-0.015106425,1.0000814,0.005632912,-267.0123,1.0,1.0,0.0141506195,20,,10.0,67,-267.01163,1340,10.0,361712,575.773360490799,0.117370605,500.0
[ 0.018  0.656 -2.646 -2.201 -0.912],-2.4750366,1.0,0.50653577,4982.1895590176955,1.0,,1.0,0.5707406,-3.6621095e-05,1.0,-0.053587038,1.0,0.34287012,-267.0501,0.9967,,9.99477,20,0.057351198,10.0,68,-267.0501,1360,10.0,371679,590.5117106437683,0.21801758,498.35
[ 0.018  0.656 -2.646 -2.201 -0.912],-192.10779,1.1516762,0.5028026,4827.1438630971825,1.3580649,0.20427124,2.1429543,44.07257,-6.408691e-05,0.45360214,-4.4963536,0.99028665,422.0001,-277.01773,1.0299221,,9.994406,20,0.20374928,10.0,69,-272.872,1380,10.0,381336,603.7294554710388,10.21814,482.85
[ 0.007  0.66  -2.67  -2.207 -0.916],-0.31707764,0.9999404,0.50282633,4999.197244499768,0.9999999,0.0006720455,1.0023708,0.10768431,3.967285e-05,0.9986951,-0.049818475,1.000046,0.012211023,-267.08368,0.99997616,0.9999404,0.016644478,20,1.8229006e-05,10.0,70,-267.08264,1400,10.0,391336,617.1411213874817,0.14349365,500.0
[ 0.007  0.66  -2.67  -2.207 -0.916],-0.16827393,1.0,0.50282633,4999.331779603555,1.0,,1.0,0.06286971,-7.324219e-05,1.0,-0.021318387,1.0,0.004161255,-267.05496,1.0,1.0,0.012379646,20,,10.0,71,-267.05496,1420,10.0,401336,630.5798292160034,0.06402588,500.0
[ 0.007  0.66  -2.67  -2.207 -0.916],-0.29626465,1.0,0.50286746,4999.234224191334,1.0,0.0007932418,1.0024345,0.07840821,1.2207031e-05,0.99790776,-0.024569023,0.9999287,0.0064776954,-267.05817,1.0,1.0,0.015938759,20,,10.0,72,-267.05777,1440,10.0,411336,642.7186026573181,0.0692749,500.0
[ 0.007  0.66  -2.67  -2.207 -0.916],-0.19433594,1.0,0.5030097,4999.2582921686535,1.0000001,0.0033517918,1.0104022,0.08392372,7.019043e-05,0.9890872,-0.030465042,0.9990938,0.007408866,-267.06366,1.0,1.0,0.014739037,20,2.7906179e-08,10.0,73,-267.06226,1460,10.0,421336,654.7013027667999,0.10064697,500.0
[ 0.007  0.66  -2.67  -2.207 -0.916],-0.13946533,0.9999404,0.5030707,4999.200528167569,0.9999999,0.0011993069,1.0036933,0.077670574,-2.4414063e-05,0.9969047,-0.036346216,1.0002623,0.0063510467,-267.0681,0.99997616,0.9999404,0.014923096,20,1.8229006e-05,10.0,74,-267.06674,1480,10.0,431336,670.9818394184113,0.111694336,500.0
[ 0.007  0.66  -2.67  -2.207 -0.916],-0.28552246,1.0,0.5030707,4999.2053330696335,1.0,,1.0,0.11153235,-3.967285e-05,1.0,-0.058975257,1.0,0.013092826,-267.09018,1.0,1.0,0.0164814,20,,10.0,75,-267.09018,1500,10.0,441336,683.9380102157593,0.12866211,500.0
[ 0.007  0.66  -2.67  -2.207 -0.916],-0.1126709,1.0,0.5030707,4999.212310457668,1.0,,1.0,0.05672223,-2.4414063e-05,1.0,-0.014367056,1.0,0.0033858698,-267.04556,1.0,1.0,0.01507473,20,,10.0,76,-267.04556,1520,10.0,451336,696.7093071937561,0.10357666,500.0
[ 0.007  0.66  -2.67  -2.207 -0.916],-915.41547,1.1216339,0.49444702,4750.761559517334,1.1580528,0.25635725,2.0191102,210.01073,-1.2207031e-05,0.39578888,-40.084755,1.0313162,32276.236,-315.13705,1.0100149,,9.994814,20,0.23357749,10.0,77,-308.98212,1540,10.0,460840,708.7103781700134,48.27899,475.2
[ 0.004  0.666 -2.728 -2.216 -0.924],-943.5824,1.0587695,0.4884037,4749.276168942402,1.0742693,0.14604041,1.4589968,216.47266,1.2207031e-05,0.58425003,-47.66021,0.986415,45567.43,-316.70987,0.9799115,,9.994873,20,0.22525583,10.0,78,-315.72836,1560,10.0,470341,723.0725615024567,49.747314,475.05
[ 0.004  0.655 -2.732 -2.202 -0.931],-943.59436,1.0617573,0.4831337,4749.309474275468,1.0868791,0.18833886,1.6928436,216.47542,3.6621095e-05,0.5345027,-47.51694,0.95639485,45304.266,-316.76538,0.98116565,,9.995016,20,0.2256519,10.0,79,-315.66333,1580,10.0,479842,737.6262669563293,49.76642,475.05
