AvgVanillaIw,ESSClassic,BatchSize,Bound,Delta,ESSRenyi,VanillaAvgRet,VarRet,J,VarJ,eRenyi2,EpsThisIter,MinNormIw,VarNormIw,IterType,VarDiscRet,MaxVanillaIw,AvgNormIw,MinVanillaIw,VarVanillaIw,MaxNormIw,AvgEpLen,AvgDiscRet,AvgRet
1.0,299.999969474,500,408.144,0.8,500.0,475.394309614,35923.7196853,448.271,161.602,1.0,100,0.00333333,5.43914e-20,2,35923.7196853,1.0,0.00333333,1.0,,0.00333333,51.34,475.394309614,475.394309614
1.0,400.0,500,414.469,0.8,500.0,452.065859553,25880.4513058,449.219,161.228,1.0,100,0.0025,5.4346e-20,2,25880.4513058,1.0,0.0025,1.0,,0.0025,48.79,452.065859553,452.065859553
6.57403,1.33052897662,500,848.156,0.8,19.1101849302,456.576744716,32946.6741443,1007.14,1419.35,26.1641,100,2.37336e-10,0.00150217,1,32946.6741443,2848.79,0.002,7.80127e-07,16230.1,0.866679,49.25,456.576744716,456.576744716
1.0,100.0,500,463.774,0.8,500.0,539.395694869,46296.3648487,539.396,214.087,1.0,100,0.01,3.50449e-18,2,46296.3648487,1.0,0.01,1.0,,0.01,58.19,539.395694869,539.395694869
1.0,200.000000102,500,493.142,0.8,500.0,553.832836878,38485.3969394,546.614,204.986,1.0,100,0.005,2.1793e-19,2,38485.3969394,1.0,0.005,1.0,,0.005,59.73,553.832836878,553.832836878
1.0,299.999969474,500,482.28,0.8,500.0,484.591262761,23265.4924696,525.94,191.168,1.0,100,0.00333333,5.43914e-20,2,23265.4924696,1.0,0.00333333,1.0,,0.00333333,52.29,484.591262761,484.591262761
1.0,400.0,500,481.86,0.8,500.0,523.053172286,59413.5403847,525.218,205.22,1.0,100,0.0025,5.4346e-20,2,59413.5403847,1.0,0.0025,1.0,,0.0025,56.43,523.053172286,523.053172286
1.08558,12.0299355813,500,723.367,0.8,26.609176402,529.721024832,53738.0212516,891.474,2988.52,18.7905,100,2.7996e-14,0.000162577,1,53738.0212516,140.409,0.002,1.51959e-11,47.8986,0.25868,57.15,529.721024832,529.721024832
1.0,100.0,500,562.056,0.8,500.0,640.383793888,77442.6520368,640.384,276.89,1.0,100,0.01,3.50449e-18,2,77442.6520368,1.0,0.01,1.0,,0.01,69.21,640.383793888,640.383793888
1.0,200.000000102,500,561.105,0.8,500.0,622.208996053,95968.143379,631.296,293.123,1.0,100,0.005,2.1793e-19,2,95968.143379,1.0,0.005,1.0,,0.005,67.23,622.208996053,622.208996053
1.0,299.999969474,500,572.878,0.8,500.0,627.975115238,80919.4023691,630.189,289.804,1.0,100,0.00333333,5.43914e-20,2,80919.4023691,1.0,0.00333333,1.0,,0.00333333,67.81,627.975115238,627.975115238
1.0,400.0,500,585.578,0.8,500.0,650.275021995,93896.7447246,635.211,293.777,1.0,100,0.0025,5.4346e-20,2,93896.7447246,1.0,0.0025,1.0,,0.0025,70.26,650.275021995,650.275021995
5.30369,1.3187718907,500,1255.97,0.8,12.506748503,615.479925915,76542.7934069,1536.66,1905.09,39.9784,100,2.60769e-12,0.00151559,1,76542.7934069,2308.57,0.002,6.91518e-09,10658.1,0.870554,66.48,615.479925915,615.479925915
1.0,100.0,500,722.387,0.8,500.0,837.684930933,134363.391196,837.685,364.719,1.0,100,0.01,3.50449e-18,2,134363.391196,1.0,0.01,1.0,,0.01,90.52,837.684930933,837.684930933
1.0,200.000000102,500,785.036,0.8,500.0,895.443277371,132819.905521,866.564,364.815,1.0,100,0.005,2.1793e-19,2,132819.905521,1.0,0.005,1.0,,0.005,96.91,895.443277371,895.443277371
1.0,299.999969474,500,787.034,0.8,500.0,827.674859183,118499.223921,853.601,358.005,1.0,100,0.00333333,5.43914e-20,2,118499.223921,1.0,0.00333333,1.0,,0.00333333,89.4,827.674859183,827.674859183
1.0,400.0,500,825.042,0.8,500.0,969.95865007,160236.397691,882.69,371.917,1.0,100,0.0025,5.4346e-20,2,160236.397691,1.0,0.0025,1.0,,0.0025,105.07,969.95865007,969.95865007
5.06381,1.34600518218,500,1843.77,0.8,13.1253852212,840.646109316,114454.936243,2162.02,2800.46,38.0941,100,9.74832e-12,0.00148485,1,114454.936243,2181.25,0.002,2.46818e-08,9518.71,0.861506,90.92,840.646109316,840.646109316
1.0,100.0,500,927.184,0.8,500.0,1023.57718292,160464.93021,1023.58,398.573,1.0,100,0.01,3.50449e-18,2,160464.93021,1.0,0.01,1.0,,0.01,110.99,1023.57718292,1023.57718292
1.0,200.000000102,500,915.379,0.8,500.0,1011.7884027,224531.7612,1017.68,436.587,1.0,100,0.005,2.1793e-19,2,224531.7612,1.0,0.005,1.0,,0.005,109.95,1011.7884027,1011.7884027
1.0,299.999969474,500,942.089,0.8,500.0,1041.49228692,243037.625129,1025.62,455.412,1.0,100,0.00333333,5.43914e-20,2,243037.625129,1.0,0.00333333,1.0,,0.00333333,112.94,1041.49228692,1041.49228692
1.0,400.0,500,953.41,0.8,500.0,1026.14005473,191244.110239,1025.75,450.426,1.0,100,0.0025,5.4346e-20,2,191244.110239,1.0,0.0025,1.0,,0.0025,111.24,1026.14005473,1026.14005473
2.80943,1.85993045525,500,1511.01,0.8,21.3860902142,1011.7987081,159413.375691,1823.86,3022.36,23.3797,100,7.5566e-10,0.00107346,1,159413.375691,1028.12,0.002,1.06149e-06,2118.17,0.731904,109.65,1011.7987081,1011.7987081
1.0,100.0,500,1187.35,0.8,500.0,1315.60812703,217454.686885,1315.61,463.983,1.0,100,0.01,3.50449e-18,2,217454.686885,1.0,0.01,1.0,,0.01,142.57,1315.60812703,1315.60812703
1.0,200.000000102,500,1158.85,0.8,500.0,1331.68211271,275624.402463,1323.65,494.104,1.0,100,0.005,2.1793e-19,2,275624.402463,1.0,0.005,1.0,,0.005,144.42,1331.68211271,1331.68211271
1.0,299.999969474,500,1190.05,0.8,500.0,1326.53399863,203689.675105,1324.61,479.561,1.0,100,0.00333333,5.43914e-20,2,203689.675105,1.0,0.00333333,1.0,,0.00333333,143.8,1326.53399863,1326.53399863
1.0,400.0,500,1192.39,0.8,500.0,1261.84070356,178250.516724,1308.92,466.197,1.0,100,0.0025,5.4346e-20,2,178250.516724,1.0,0.0025,1.0,,0.0025,136.88,1261.84070356,1261.84070356
12.1941,1.152543519,500,3869.48,0.8,16.2579762967,1400.64123246,222496.552786,4447.48,4482.16,30.7541,100,1.62183e-09,0.00173476,1,222496.552786,5679.02,0.002,9.88832e-06,64487.7,0.931439,151.79,1400.64123246,1400.64123246
1.0,100.0,500,1410.77,0.8,500.0,1642.97855305,526977.190521,1642.98,722.293,1.0,100,0.01,3.50449e-18,2,526977.190521,1.0,0.01,1.0,,0.01,178.27,1642.97855305,1642.97855305
1.0,200.000000102,500,1473.04,0.8,500.0,1631.5004819,376624.748269,1637.24,668.817,1.0,100,0.005,2.1793e-19,2,376624.748269,1.0,0.005,1.0,,0.005,176.84,1631.5004819,1631.5004819
1.0,299.999969474,500,1527.19,0.8,500.0,1710.76507816,582321.074249,1661.75,701.126,1.0,100,0.00333333,5.43914e-20,2,582321.074249,1.0,0.00333333,1.0,,0.00333333,185.57,1710.76507816,1710.76507816
1.0,400.0,500,1533.1,0.8,500.0,1613.27441281,504814.968237,1649.63,702.898,1.0,100,0.0025,5.4346e-20,2,504814.968237,1.0,0.0025,1.0,,0.0025,175.17,1613.27441281,1613.27441281
2.69639,1.9337944839,500,3527.45,0.8,7.14305255412,1617.61957134,387548.489295,4399.44,4293.41,69.9981,100,7.98102e-21,0.0010323,1,387548.489295,932.833,0.002,1.076e-17,1876.34,0.691912,175.68,1617.61957134,1617.61957134
1.0,100.0,500,2324.05,0.8,500.0,2557.16947976,910396.566819,2557.17,949.364,1.0,100,0.01,3.50449e-18,2,910396.566819,1.0,0.01,1.0,,0.01,276.68,2557.16947976,2557.16947976
1.0,200.000000102,500,2389.24,0.8,500.0,2550.98674736,1095716.32356,2554.08,996.512,1.0,100,0.005,2.1793e-19,2,1095716.32356,1.0,0.005,1.0,,0.005,275.87,2550.98674736,2550.98674736
1.0,299.999969474,500,2446.07,0.8,500.0,2634.2608403,854841.11181,2580.81,972.394,1.0,100,0.00333333,5.43914e-20,2,854841.11181,1.0,0.00333333,1.0,,0.00333333,285.16,2634.2608403,2634.2608403
1.0,400.0,500,2452.57,0.8,500.0,2534.60544505,857705.83172,2569.26,960.127,1.0,100,0.0025,5.4346e-20,2,857705.83172,1.0,0.0025,1.0,,0.0025,274.61,2534.60544505,2534.60544505
3.3961,1.89452707779,500,3880.34,0.8,20.8754461865,2517.58376322,688264.01338,4391.11,4088.6,23.9516,100,2.97057e-15,0.00105378,1,688264.01338,1231.7,0.002,5.04419e-12,3038.45,0.725361,272.49,2517.58376322,2517.58376322
1.0,100.0,500,3370.96,0.8,500.0,3604.51459616,992638.56955,3604.51,991.318,1.0,100,0.01,3.50449e-18,2,992638.56955,1.0,0.01,1.0,,0.01,389.6,3604.51459616,3604.51459616
1.0,200.000000102,500,3411.05,0.8,500.0,3547.86935144,1178610.84171,3576.19,1037.1,1.0,100,0.005,2.1793e-19,2,1178610.84171,1.0,0.005,1.0,,0.005,383.32,3547.86935144,3547.86935144
1.0,299.999969474,500,3467.89,0.8,500.0,3655.81512251,909440.075482,3602.73,1009.24,1.0,100,0.00333333,5.43914e-20,2,909440.075482,1.0,0.00333333,1.0,,0.00333333,395.01,3655.81512251,3655.81512251
1.0,400.0,500,3477.65,0.8,500.0,3569.49729231,905545.162896,3594.42,994.112,1.0,100,0.0025,5.4346e-20,2,905545.162896,1.0,0.0025,1.0,,0.0025,385.63,3569.49729231,3569.49729231
1.12938,28.9790988609,500,4246.27,0.8,60.377448881,3728.43600309,878063.046795,4546.84,539.223,8.28124,100,8.12345e-20,6.51455e-05,1,878063.046795,76.0339,0.002,4.58725e-17,20.7734,0.134647,402.56,3728.43600309,3728.43600309
1.0,100.0,500,4257.68,0.8,500.0,4491.25975949,258213.657336,4491.26,505.6,1.0,100,0.01,3.50449e-18,2,258213.657336,1.0,0.01,1.0,,0.01,483.14,4491.25975949,4491.25975949
1.0,200.000000102,500,4377.09,0.8,500.0,4593.24417107,68618.3601381,4542.25,405.441,1.0,100,0.005,2.1793e-19,2,68618.3601381,1.0,0.005,1.0,,0.005,493.99,4593.24417107,4593.24417107
1.0,299.999969474,500,4394.93,0.8,500.0,4504.86015571,173283.435602,4529.79,408.757,1.0,100,0.00333333,5.43914e-20,2,173283.435602,1.0,0.00333333,1.0,,0.00333333,484.9,4504.86015571,4504.86015571
1.0,400.0,500,4395.92,0.8,500.0,4461.60252314,267534.88062,4512.74,438.632,1.0,100,0.0025,5.4346e-20,2,267534.88062,1.0,0.0025,1.0,,0.0025,480.35,4461.60252314,4461.60252314
0.978363,286.584685739,500,4484.11,0.8,296.05597184,4500.60857866,237603.812656,4619.91,141.377,1.68887,100,4.46552e-06,2.98471e-06,1,237603.812656,4.31601,0.002,0.00218445,0.714237,0.00882291,484.39,4500.60857866,4500.60857866
1.0,100.0,500,4365.04,0.8,500.0,4598.63475263,76576.9308372,4598.63,275.338,1.0,100,0.01,3.50449e-18,2,76576.9308372,1.0,0.01,1.0,,0.01,494.58,4598.63475263,4598.63475263
1.0,200.000000102,500,4457.55,0.8,500.0,4646.88218848,1798.91926027,4622.76,198.439,1.0,100,0.005,2.1793e-19,2,1798.91926027,1.0,0.005,1.0,,0.005,499.62,4646.88218848,4646.88218848
1.0,299.999969474,500,4482.99,0.8,500.0,4608.13253206,36728.1831968,4617.88,196.01,1.0,100,0.00333333,5.43914e-20,2,36728.1831968,1.0,0.00333333,1.0,,0.00333333,495.78,4608.13253206,4608.13253206
1.0,400.0,500,4495.19,0.8,500.0,4594.38336597,94341.6441056,4612.01,228.622,1.0,100,0.0025,5.4346e-20,2,94341.6441056,1.0,0.0025,1.0,,0.0025,493.73,4594.38336597,4594.38336597
0.965458,407.437058119,500,4521.5,0.8,414.590347901,4575.99547774,102391.935782,4636.24,89.1542,1.20601,100,5.04318e-05,9.10552e-07,1,102391.935782,2.3702,0.002,0.0243449,0.212183,0.00490999,492.14,4575.99547774,4575.99547774
1.0,100.0,500,4413.47,0.8,500.0,4646.92345827,2051.64626432,4646.92,45.0681,1.0,100,0.01,3.50449e-18,2,2051.64626432,1.0,0.01,1.0,,0.01,499.42,4646.92345827,4646.92345827
1.0,200.000000102,500,4482.83,0.8,500.0,4649.12581702,777.03832126,4648.02,37.4354,1.0,100,0.005,2.1793e-19,2,777.03832126,1.0,0.005,1.0,,0.005,499.73,4649.12581702,4649.12581702
1.0,299.999969474,500,4499.59,0.8,500.0,4607.37246773,77279.4374859,4634.47,163.718,1.0,100,0.00333333,5.43914e-20,2,77279.4374859,1.0,0.00333333,1.0,,0.00333333,495.47,4607.37246773,4607.37246773
1.0,400.0,500,4517.17,0.8,500.0,4632.49522989,32067.5436661,4633.98,167.452,1.0,100,0.0025,5.4346e-20,2,32067.5436661,1.0,0.0025,1.0,,0.0025,498.09,4632.49522989,4632.49522989
1.00106,468.698684968,500,4538.58,0.8,470.863476777,4633.54071507,32334.2994782,4646.24,51.9813,1.06188,100,0.000173074,2.67669e-07,1,32334.2994782,1.55195,0.002,0.0866292,0.0670598,0.0031006,498.08,4633.54071507,4633.54071507
1.0,100.0,500,4419.02,0.8,500.0,4652.51138678,132.898434905,4652.51,11.4704,1.0,100,0.01,3.50449e-18,2,132.898434905,1.0,0.01,1.0,,0.01,500.0,4652.51138678,4652.51138678
1.0,200.000000102,500,4465.23,0.8,500.0,4608.31368772,68803.4699758,4630.41,186.043,1.0,100,0.005,2.1793e-19,2,68803.4699758,1.0,0.005,1.0,,0.005,495.36,4608.31368772,4608.31368772
1.0,299.999969474,500,4502.57,0.8,500.0,4651.4979128,143.637698136,4637.44,152.384,1.0,100,0.00333333,5.43914e-20,2,143.637698136,1.0,0.00333333,1.0,,0.00333333,500.0,4651.4979128,4651.4979128
1.0,400.0,500,4518.5,0.8,500.0,4628.88506013,25847.0998998,4635.3,154.358,1.0,100,0.0025,5.4346e-20,2,25847.0998998,1.0,0.0025,1.0,,0.0025,497.63,4628.88506013,4628.88506013
0.999015,458.889188338,500,4536.07,0.8,459.498081291,4620.66104259,59768.1711195,4645.04,71.1888,1.08814,100,0.000353347,3.59068e-07,1,59768.1711195,1.8536,0.002,0.176499,0.0895902,0.00371086,496.68,4620.66104259,4620.66104259
1.0,100.0,500,4409.19,0.8,500.0,4642.77754402,9515.419159,4642.78,97.0581,1.0,100,0.01,3.50449e-18,2,9515.419159,1.0,0.01,1.0,,0.01,498.96,4642.77754402,4642.77754402
1.0,200.000000102,500,4476.46,0.8,500.0,4640.47299604,15672.205812,4641.62,111.666,1.0,100,0.005,2.1793e-19,2,15672.205812,1.0,0.005,1.0,,0.005,498.71,4640.47299604,4640.47299604
1.0,299.999969474,500,4506.92,0.8,500.0,4642.09225165,7031.60595781,4641.78,103.118,1.0,100,0.00333333,5.43914e-20,2,7031.60595781,1.0,0.00333333,1.0,,0.00333333,498.91,4642.09225165,4642.09225165
1.0,400.0,500,4527.33,0.8,500.0,4651.1367755,340.928211819,4644.12,89.8652,1.0,100,0.0025,5.4346e-20,2,340.928211819,1.0,0.0025,1.0,,0.0025,499.92,4651.1367755,4651.1367755
1.00001,486.430731912,500,4542.88,0.8,486.438296921,4650.44780593,480.737431307,4648.79,48.1872,1.02788,100,0.000913821,1.11807e-07,1,480.737431307,1.39036,0.002,0.456916,0.0279526,0.00278068,499.82,4650.44780593,4650.44780593
1.0,100.0,500,4421.49,0.8,500.0,4655.06912651,122.200480192,4655.07,10.999,1.0,100,0.01,3.50449e-18,2,122.200480192,1.0,0.01,1.0,,0.01,500.0,4655.06912651,4655.06912651
1.0,200.000000102,500,4488.64,0.8,500.0,4652.55340784,245.668842251,4653.81,13.5528,1.0,100,0.005,2.1793e-19,2,245.668842251,1.0,0.005,1.0,,0.005,499.99,4652.55340784,4652.55340784
1.0,299.999969474,500,4515.1,0.8,500.0,4642.25359898,12257.4068784,4649.96,64.7849,1.0,100,0.00333333,5.43914e-20,2,12257.4068784,1.0,0.00333333,1.0,,0.00333333,498.84,4642.25359898,4642.25359898
1.0,400.0,500,4534.02,0.8,500.0,4653.3761439,111.344440919,4650.81,56.3698,1.0,100,0.0025,5.4346e-20,2,111.344440919,1.0,0.0025,1.0,,0.0025,500.0,4653.3761439,4653.3761439
1.00717,494.234350453,500,4547.71,0.8,494.198653224,4651.96550496,344.405698959,4652.78,22.529,1.01174,100,0.000761427,4.67567e-08,1,344.405698959,1.21793,0.002,0.383442,0.0118573,0.00241854,499.86,4651.96550496,4651.96550496
1.0,100.0,500,4418.11,0.8,500.0,4651.68818575,141.929914671,4651.69,11.8537,1.0,100,0.01,3.50449e-18,2,141.929914671,1.0,0.01,1.0,,0.01,500.0,4651.68818575,4651.68818575
1.0,200.000000102,500,4487.16,0.8,500.0,4652.9656039,108.290000985,4652.33,11.1475,1.0,100,0.005,2.1793e-19,2,108.290000985,1.0,0.005,1.0,,0.005,500.0,4652.9656039,4652.9656039
1.0,299.999969474,500,4517.59,0.8,500.0,4652.69725587,118.603978234,4652.45,11.046,1.0,100,0.00333333,5.43914e-20,2,118.603978234,1.0,0.00333333,1.0,,0.00333333,500.0,4652.69725587,4652.69725587
1.0,400.0,500,4535.88,0.8,500.0,4653.33745638,105.92936916,4652.67,10.8571,1.0,100,0.0025,5.4346e-20,2,105.92936916,1.0,0.0025,1.0,,0.0025,500.0,4653.33745638,4653.33745638
1.00076,498.632189556,500,4548.76,0.8,498.714482397,4654.76396653,97.1017668704,4653.36,10.4622,1.00258,100,0.00147899,1.09961e-08,1,97.1017668704,1.1485,0.002,0.740055,0.00275319,0.00229526,500.0,4654.76396653,4654.76396653
1.0,100.0,500,4412.76,0.8,500.0,4646.10403293,5997.31129909,4646.1,77.0541,1.0,100,0.01,3.50449e-18,2,5997.31129909,1.0,0.01,1.0,,0.01,499.24,4646.10403293,4646.10403293
1.0,200.000000102,500,4484.64,0.8,500.0,4653.26398819,116.339045769,4649.68,55.1278,1.0,100,0.005,2.1793e-19,2,116.339045769,1.0,0.005,1.0,,0.005,500.0,4653.26398819,4653.26398819
1.0,299.999969474,500,4516.64,0.8,500.0,4655.1781967,119.574119394,4651.52,45.5216,1.0,100,0.00333333,5.43914e-20,2,119.574119394,1.0,0.00333333,1.0,,0.00333333,500.0,4655.1781967,4655.1781967
1.0,400.0,500,4535.44,0.8,500.0,4654.41680908,103.906974315,4652.24,39.7675,1.0,100,0.0025,5.4346e-20,2,103.906974315,1.0,0.0025,1.0,,0.0025,500.0,4654.41680908,4654.41680908
1.00014,497.580628319,500,4548.27,0.8,497.361412651,4653.18735115,158.992360131,4653.02,28.0456,1.00531,100,0.00145757,1.94875e-08,1,158.992360131,1.15887,0.002,0.728884,0.00487323,0.00231741,500.0,4653.18735115,4653.18735115
1.0,100.0,500,4420.0,0.8,500.0,4653.58322712,139.221918438,4653.58,11.7401,1.0,100,0.01,3.50449e-18,2,139.221918438,1.0,0.01,1.0,,0.01,500.0,4653.58322712,4653.58322712
1.0,200.000000102,500,4461.34,0.8,500.0,4599.43970384,74059.5041806,4626.51,193.549,1.0,100,0.005,2.1793e-19,2,74059.5041806,1.0,0.005,1.0,,0.005,494.26,4599.43970384,4599.43970384
1.0,299.999969474,500,4500.33,0.8,500.0,4652.53559214,134.516553755,4635.19,158.648,1.0,100,0.00333333,5.43914e-20,2,134.516553755,1.0,0.00333333,1.0,,0.00333333,500.0,4652.53559214,4652.53559214
1.0,400.0,500,4523.04,0.8,500.0,4653.93255227,110.980253172,4639.87,137.732,1.0,100,0.0025,5.4346e-20,2,110.980253172,1.0,0.0025,1.0,,0.0025,500.0,4653.93255227,4653.93255227
1.01386,477.039974254,500,4542.2,0.8,476.878254211,4652.03773173,140.050451684,4649.2,53.9665,1.04849,100,0.00031981,1.92909e-07,1,140.050451684,1.51261,0.002,0.162121,0.0495734,0.00298387,500.0,4652.03773173,4652.03773173
1.0,100.0,500,4420.45,0.8,500.0,4654.02107394,174.470258628,4654.02,13.1425,1.0,100,0.01,3.50449e-18,2,174.470258628,1.0,0.01,1.0,,0.01,500.0,4654.02107394,4654.02107394
1.0,200.000000102,500,4483.23,0.8,500.0,4642.76645385,8781.05971611,4648.39,66.8181,1.0,100,0.005,2.1793e-19,2,8781.05971611,1.0,0.005,1.0,,0.005,499.05,4642.76645385,4642.76645385
1.0,299.999969474,500,4515.27,0.8,500.0,4653.58760139,131.822949281,4650.13,55.0085,1.0,100,0.00333333,5.43914e-20,2,131.822949281,1.0,0.00333333,1.0,,0.00333333,500.0,4653.58760139,4653.58760139
1.0,400.0,500,4530.58,0.8,500.0,4639.09179104,24275.8485913,4647.37,91.1073,1.0,100,0.0025,5.4346e-20,2,24275.8485913,1.0,0.0025,1.0,,0.0025,498.37,4639.09179104,4639.09179104
0.999651,488.971923027,500,4545.63,0.8,489.458100394,4652.90387599,128.088240466,4651.21,42.7105,1.02154,100,0.000658671,9.03931e-08,1,128.088240466,1.31773,0.002,0.32922,0.0225825,0.00263638,500.0,4652.90387599,4652.90387599
1.0,100.0,500,4418.4,0.8,500.0,4651.89723785,97.8146298729,4651.9,9.84056,1.0,100,0.01,3.50449e-18,2,97.8146298729,1.0,0.01,1.0,,0.01,500.0,4651.89723785,4651.89723785
