J,VarRet,delta,EpsThisIter,renyi2,MaxVanillaIw,VarNormIw,ESSClassic,BatchSize,MinVanillaIw,VanillaAvgRet,AvgEpLen,AvgNormIw,AvgRet,VarDiscRet,SamplesThisIter,ESSRenyi,IterType,MinNormIw,Bound,VarVanillaIw,AvgDiscRet,MaxNormIw,AvgVanillaIw,VarJ
-11355.6,5596.70898222,0.5,426,nan,7.41745,9.80963e-11,4.80841849668,100,5.35225e-15,-82.6409427989,117.370892019,1.30412e-05,-82.6409427989,5596.70898222,50000,nan,1,6.52518e-20,-77.9422,0.659994,-82.6409427989,9.04297e-05,1.0697,439.754
-10944.8,2369.80525665,0.5,475,nan,8.9257,8.80576e-11,3.85452168342,100,8.45666e-11,-72.7607137215,105.263157895,1.16959e-05,-72.7607137215,2369.80525665,50000,nan,1,9.43112e-16,-76.2108,0.708009,-72.7607137215,9.9542e-05,1.04874,461.257
-10885.4,2611.80297153,0.5,492,nan,7.78371,5.64244e-11,4.43432787525,100,2.85666e-06,-70.3589922141,101.62601626,1.12918e-05,-70.3589922141,2611.80297153,50000,nan,1,2.9577e-11,-75.6848,0.52635,-70.3589922141,8.05903e-05,1.0906,468.142
-11136.1,774.292602834,0.5,505,42.8074,5.70329,3.11908e-11,4.93391701911,100,7.20288e-05,-67.2869465404,99.0099009901,1.10011e-05,-67.2869465404,774.292602834,50000,2.56445905994e-17,1,7.56956e-10,-77.3315,0.282421,-67.2869465404,5.99363e-05,1.04682,284.822
-11442.5,2490.13924546,0.5,481,nan,4.29213,3.71942e-11,3.74247675675,100,1.07052e-06,-71.8538900378,103.95010395,1.155e-05,-71.8538900378,2490.13924546,50000,nan,1,1.25936e-11,-78.9352,0.268764,-71.8538900378,5.04923e-05,0.981817,307.656
-10747.5,3344.72741962,0.5,464,nan,9.22124,9.02596e-11,3.79378153576,100,4.71304e-12,-74.8226845458,107.75862069,1.19732e-05,-74.8226845458,3344.72741962,50000,nan,1,5.20083e-17,-75.0214,0.741223,-74.8226845458,0.000101756,1.08502,489.401
-10110.8,115.788845797,0.5,563,inf,18.3032,9.78766e-11,4.98877885926,100,0.000209181,-60.4440050728,88.809946714,9.86777e-06,-60.4440050728,115.788845797,50000,,1,1.72582e-09,-62.9618,1.43791,-60.4440050728,0.000151008,1.19604,196.763
-11010.0,1671.71723924,0.5,502,nan,4.60609,3.2571e-11,3.74119414724,100,1.03616e-08,-67.7465043375,99.6015936255,1.10668e-05,-67.7465043375,1671.71723924,50000,nan,1,1.12938e-13,-74.6983,0.27416,-67.7465043375,5.02049e-05,1.01534,238.938
-10377.4,1742.66987151,0.5,526,nan,4.928,4.05058e-11,4.40362695026,100,3.30537e-07,-65.291138471,95.0570342205,1.05619e-05,-65.291138471,1742.66987151,50000,nan,1,3.28951e-12,-71.0515,0.408974,-65.291138471,4.90435e-05,1.06128,282.254
-9947.54,98.4126182743,0.5,566,nan,34.0244,2.47183e-10,8.56304323017,100,2.73666e-19,-60.3174775456,88.3392226148,9.81547e-06,-60.3174775456,98.4126182743,50000,nan,1,1.73029e-24,-58.1691,6.18331,-60.3174775456,0.000215124,1.55243,138.569
-10571.2,348.424178976,0.5,548,43.3299,4.64014,2.56493e-11,5.44923045719,100,0.00731992,-62.4429504594,91.2408759124,1.01379e-05,-62.4429504594,348.424178976,50000,1.52073699035e-17,1,6.94128e-08,-72.1287,0.285239,-62.4429504594,4.40012e-05,1.06909,197.148
-10452.4,319.890875637,0.5,562,42.6898,5.3124,1.37974e-11,4.34467840152,100,0.0108629,-60.7255809981,88.9679715302,9.88533e-06,-60.7255809981,319.890875637,50000,2.88434388136e-17,1,1.06175e-07,-73.2558,0.144424,-60.7255809981,5.1924e-05,1.01138,186.25
-10114.2,89.6571001814,0.5,568,nan,20.5713,1.45929e-10,6.79855089395,100,9.96688e-10,-60.1539241658,88.0281690141,9.78091e-06,-60.1539241658,89.6571001814,50000,nan,1,7.46461e-15,-59.3793,2.60163,-60.1539241658,0.000154067,1.30596,97.6808
-10915.4,293.138425505,0.5,543,inf,4.66177,1.09921e-11,3.81576025672,100,0.0171509,-62.7458096869,92.0810313076,1.02312e-05,-62.7458096869,293.138425505,50000,,1,1.78951e-07,-77.2992,0.100969,-62.7458096869,4.86404e-05,0.980575,185.193
-10072.5,142.027661404,0.5,557,nan,40.7035,1.70075e-10,5.89543759493,100,1.68454e-17,-61.2810527502,89.7666068223,9.97407e-06,-61.2810527502,142.027661404,50000,nan,1,1.27203e-22,-59.3429,2.9827,-61.2810527502,0.00030736,1.32086,196.494
-10613.5,285.422277907,0.5,562,inf,2.91558,1.05589e-11,3.82707500738,100,0.0238473,-60.9309343846,88.9679715302,9.88533e-06,-60.9309343846,285.422277907,50000,,1,2.34058e-07,-75.697,0.10961,-60.9309343846,2.8616e-05,1.00718,173.415
-10580.4,2506.53138371,0.5,530,nan,3.75055,2.51608e-11,4.08999109694,100,1.10705e-05,-65.6963861543,94.3396226415,1.04822e-05,-65.6963861543,2506.53138371,50000,nan,1,1.1314e-10,-74.6845,0.240894,-65.6963861543,3.83305e-05,1.02566,312.328
-9961.91,68.5530351812,0.5,576,nan,14.7197,1.24098e-10,5.91758670595,100,5.63584e-05,-59.1054180659,86.8055555556,9.64506e-06,-59.1054180659,68.5530351812,50000,nan,1,4.28428e-10,-59.9934,2.14747,-59.1054180659,0.000111897,1.26878,125.437
-10031.3,262.939148126,0.5,570,inf,8.07533,3.20715e-11,4.03221459547,100,0.019795,-59.4721316064,87.7192982456,9.74659e-06,-59.4721316064,262.939148126,50000,,1,1.79309e-07,-69.9958,0.390867,-59.4721316064,7.31486e-05,1.07599,352.758
-9900.26,920.278424896,0.5,555,nan,8.51767,4.77356e-11,4.75750759654,100,2.30683e-08,-60.9324673987,90.0900900901,1.001e-05,-60.9324673987,920.278424896,50000,nan,1,2.1295e-13,-65.4011,0.56017,-60.9324673987,7.86289e-05,1.08436,278.263
-10479.1,183.121628885,0.5,570,inf,3.32188,1.19417e-11,4.04780337647,100,0.022416,-59.9049003577,87.7192982456,9.74659e-06,-59.9049003577,183.121628885,50000,,1,2.10395e-07,-71.9474,0.135553,-59.9049003577,3.11789e-05,1.03843,151.282
-10839.0,1237.89123001,0.5,505,nan,5.22525,4.48157e-11,4.99761793489,100,1.58473e-07,-66.9007780249,99.0099009901,1.10011e-05,-66.9007780249,1237.89123001,50000,nan,1,1.71186e-12,-72.5442,0.384066,-66.9007780249,5.64443e-05,1.01841,234.212
-9983.33,94.8151120716,0.5,567,nan,36.4388,1.66936e-10,6.46601746715,100,6.99779e-16,-60.1098506142,88.1834215168,9.79816e-06,-60.1098506142,94.8151120716,50000,nan,1,5.20141e-21,-58.5805,3.02155,-60.1098506142,0.000270847,1.31821,196.621
nan,144.200498697,0.5,567,nan,9.0985e+20,9.79709e-07,9.99999761918,100,,-59.7859433049,88.1834215168,9.79816e-06,-59.7859433049,144.200498697,50000,nan,1,,nan,inf,-59.7859433049,0.099999,8.91495e+16,nan
-10519.2,2405.95595341,0.5,527,inf,4.83404,3.2018e-11,4.5782422049,100,3.57757e-05,-66.5201726101,94.8766603416,1.05419e-05,-66.5201726101,2405.95595341,50000,,1,3.72088e-10,-74.1961,0.295992,-66.5201726101,5.02769e-05,1.01358,315.92
-9886.2,89.2353946547,0.5,566,nan,28.436,2.50801e-10,5.30697132187,100,2.5052e-35,-60.2765221095,88.3392226148,9.81547e-06,-60.2765221095,89.2353946547,50000,nan,1,1.60041e-40,-57.5372,6.1454,-60.2765221095,0.000181659,1.53646,147.504
-9117.6,71.6705913438,0.5,575,nan,868.873,5.99116e-09,2.53361106203,100,,-59.2560320164,86.9565217391,9.66183e-06,-59.2560320164,71.6705913438,50000,nan,1,,-55.7625,419.978,-59.2560320164,0.00328169,2.5581,374.696
-10622.9,1766.3126912,0.5,522,nan,3.83158,2.52295e-11,4.06047661825,100,1.98789e-05,-65.1535252814,95.785440613,1.06428e-05,-65.1535252814,1766.3126912,50000,nan,1,2.09734e-10,-73.7605,0.226649,-65.1535252814,4.04255e-05,1.00874,280.321
-10123.4,334.13588927,0.5,572,inf,5.41768,2.07455e-11,4.39707675429,100,0.0197777,-59.5930089688,87.4125874126,9.71251e-06,-59.5930089688,334.13588927,50000,,1,1.85575e-07,-72.608,0.235634,-59.5930089688,5.08342e-05,1.03511,269.402
nan,71.9257671707,0.5,568,nan,1.24596e+18,9.77631e-07,10.0000000992,100,,-59.7757367375,88.0281690141,9.78091e-06,-59.7757367375,71.9257671707,50000,nan,1,,nan,1.51826e+32,-59.7757367375,0.0999809,1.21889e+14,nan
-9327.98,61.5293553729,0.5,588,nan,68.5311,7.20791e-10,2.43456096592,100,,-58.0966125517,85.0340136054,9.44822e-06,-58.0966125517,61.5293553729,50000,nan,1,,-54.5616,32.2725,-58.0966125517,0.000323874,1.99922,171.894
-8433.25,78.8569872719,0.5,588,nan,10105.7,3.1554e-08,6.81477901355,100,,-58.0012241705,85.0340136054,9.44822e-06,-58.0012241705,78.8569872719,50000,nan,1,,-52.8318,14505.9,-58.0012241705,0.0149047,6.40612,382.156
-9687.38,106.965121401,0.5,580,nan,44.5927,1.67622e-10,5.55174667615,100,2.48112e-33,-58.7256934102,86.2068965517,9.57854e-06,-58.7256934102,106.965121401,50000,nan,1,1.88854e-38,-56.9734,2.89318,-58.7256934102,0.000339423,1.25841,240.739
-6803.26,81.9592375593,0.5,567,nan,5.54693e+13,7.37696e-07,9.91775855468,100,,-59.5773004481,88.1834215168,9.79816e-06,-59.5773004481,81.9592375593,50000,nan,1,,-41.0706,3.03937e+23,-59.5773004481,0.0864171,6.28923e+09,238.478
-10311.5,67.4570545493,0.5,546,nan,30.9446,3.12232e-10,5.5377332506,100,2.3774e-08,-62.1316416817,91.5750915751,1.0175e-05,-62.1316416817,67.4570545493,50000,nan,1,1.50907e-13,-60.0607,7.7493,-62.1316416817,0.000196423,1.60298,113.469
-9880.42,67.6261717946,0.5,567,nan,88.8978,3.33416e-10,5.91512061594,100,3.53618e-37,-59.9984835097,88.1834215168,9.79816e-06,-59.9984835097,67.6261717946,50000,nan,1,2.15239e-42,-56.2356,8.99903,-59.9984835097,0.000541111,1.60971,221.481
-9808.24,69.9728190434,0.5,558,nan,66.5118,6.48627e-10,3.44522743946,100,,-60.8992296256,89.605734767,9.95619e-06,-60.8992296256,69.9728190434,50000,nan,1,,-56.3897,23.1153,-60.8992296256,0.000352327,1.87952,186.237
-10219.8,84.2570188034,0.5,566,nan,20.232,1.41086e-10,5.64182374752,100,4.32634e-13,-60.5366098377,88.3392226148,9.81547e-06,-60.5366098377,84.2570188034,50000,nan,1,3.19017e-18,-59.9499,2.59476,-60.5366098377,0.000149187,1.33112,100.578
-10387.5,281.087187171,0.5,572,inf,4.56541,1.00092e-11,4.17350122385,100,0.0135722,-59.5919393937,87.4125874126,9.71251e-06,-59.5919393937,281.087187171,50000,,1,1.30157e-07,-74.2765,0.108835,-59.5919393937,4.37822e-05,1.01278,186.318
-10374.2,263.022422287,0.5,571,inf,4.82793,1.23114e-11,4.11414802116,100,0.0152252,-59.6118412313,87.5656742557,9.72952e-06,-59.6118412313,263.022422287,50000,,1,1.43643e-07,-73.2094,0.138314,-59.6118412313,4.55493e-05,1.03127,215.169
-10650.0,2348.64044284,0.5,530,nan,3.96242,2.22315e-11,6.04667091219,100,1.87905e-07,-65.578235861,94.3396226415,1.04822e-05,-65.578235861,2348.64044284,50000,nan,1,2.02051e-12,-75.2863,0.192275,-65.578235861,4.26073e-05,0.974829,293.645
-7360.87,80.2894166124,0.5,578,nan,2.69988e+21,9.44746e-07,9.99925281526,100,,-59.0268486413,86.5051903114,9.61169e-06,-59.0268486413,80.2894166124,50000,nan,1,,-47.9076,inf,-59.0268486413,0.0991426,2.61749e+17,259.759
-10329.5,285.796096785,0.5,572,inf,3.80626,1.1647e-11,4.05957700484,100,0.0144014,-59.4636056643,87.4125874126,9.71251e-06,-59.4636056643,285.796096785,50000,,1,1.36377e-07,-73.9633,0.129878,-59.4636056643,3.60444e-05,1.02563,196.373
-10679.7,722.415936963,0.5,518,nan,7.43594,6.11657e-11,3.95275167684,100,1.69262e-28,-65.6225016723,96.5250965251,1.0725e-05,-65.6225016723,722.415936963,50000,nan,1,1.77175e-33,-68.0565,0.558243,-65.6225016723,7.78355e-05,1.0246,257.086
-10628.1,1691.52423791,0.5,515,nan,5.47026,3.623e-11,5.12822329983,100,8.97772e-07,-65.790166727,97.0873786408,1.07875e-05,-65.790166727,1691.52423791,50000,nan,1,9.36352e-12,-72.3613,0.33306,-65.790166727,5.70533e-05,1.0343,336.156
-10306.3,152.928962822,0.5,574,inf,4.68146,1.61191e-11,4.28529889949,100,0.0115461,-59.2920739243,87.1080139373,9.67867e-06,-59.2920739243,152.928962822,50000,,1,1.09975e-07,-69.1471,0.177674,-59.2920739243,4.45902e-05,1.01615,141.48
-8995.1,65.1672884233,0.5,587,nan,622.407,2.56888e-09,3.4958797245,100,,-58.6949811472,85.1788756388,9.46432e-06,-58.6949811472,65.1672884233,50000,nan,1,,-53.0809,382.913,-58.6949811472,0.00161212,3.65399,208.039
-9698.27,48.9627583163,0.5,579,nan,118.426,4.20239e-10,5.50349341329,100,,-58.7507882151,86.3557858377,9.59509e-06,-58.7507882151,48.9627583163,50000,nan,1,,-55.2511,11.8553,-58.7507882151,0.000705082,1.6116,197.139
-7064.13,83.89645638,0.5,579,nan,1.42747e+21,9.4876e-07,9.99979170977,100,,-58.8608317349,86.3557858377,9.59509e-06,-58.8608317349,83.89645638,50000,nan,1,,-44.404,inf,-58.8608317349,0.0994416,1.37736e+17,249.191
-10811.6,2282.58471736,0.5,517,nan,4.33475,2.70155e-11,5.08686099894,100,4.27778e-06,-66.9843979248,96.7117988395,1.07458e-05,-66.9843979248,2282.58471736,50000,nan,1,4.58412e-11,-75.6015,0.235255,-66.9843979248,4.64516e-05,1.00277,302.152
-6877.69,100.632024702,0.5,575,nan,4.18245e+17,9.62785e-07,9.99996944393,100,,-59.4486913683,86.9565217391,9.66184e-06,-59.4486913683,100.632024702,50000,nan,1,,-45.7039,1.68999e+31,-59.4486913683,0.0998282,4.04797e+13,304.189
-10509.5,2478.24211085,0.5,528,nan,5.33347,3.19105e-11,4.70389749535,100,3.56103e-10,-66.0641020666,94.696969697,1.05219e-05,-66.0641020666,2478.24211085,50000,nan,1,3.64814e-15,-74.1494,0.304046,-66.0641020666,5.46395e-05,1.02706,396.849
-9173.23,69.6801552198,0.5,589,nan,585.099,2.47398e-09,10.0514580622,100,,-57.9871206481,84.8896434635,9.43218e-06,-57.9871206481,69.6801552198,50000,nan,1,,-53.9641,118.776,-57.9871206481,0.00267032,2.06671,277.338
-8077.73,70.2348426592,0.5,587,nan,9.79178e+06,7.86479e-07,10.0526516676,100,,-58.0986549641,85.1788756388,9.46432e-06,-58.0986549641,70.2348426592,50000,nan,1,,-52.5072,9.10391e+09,-58.0986549641,0.0910104,1018.26,302.395
-10665.1,2414.33213962,0.5,528,nan,4.37253,2.21831e-11,5.35640736992,100,1.45489e-07,-65.9041041005,94.696969697,1.05219e-05,-65.9041041005,2414.33213962,50000,nan,1,1.53727e-12,-74.8336,0.198691,-65.9041041005,4.62014e-05,0.995798,311.495
-7767.8,205.866081495,0.5,588,nan,2477.55,1.52265e-08,4.1442492085,100,2.67329e-17,-58.0534892332,85.0340136054,9.44822e-06,-58.0534892332,205.866081495,50000,nan,1,8.30345e-23,-53.711,1578.24,-58.0534892332,0.00769547,3.04185,667.254
-10739.7,428.465888777,0.5,533,inf,6.66482,2.3968e-11,4.78880534363,100,0.00111249,-63.3451557258,93.808630394,1.04232e-05,-63.3451557258,428.465888777,50000,,1,1.1521e-08,-71.8606,0.223483,-63.3451557258,6.90212e-05,1.00648,202.865
-9898.67,61.7581851924,0.5,568,nan,51.8881,3.37746e-10,6.33342880718,100,2.33431e-27,-59.9587455131,88.0281690141,9.78091e-06,-59.9587455131,61.7581851924,50000,nan,1,1.40301e-32,-57.2516,9.34935,-59.9587455131,0.000311869,1.62733,163.107
-9848.89,61.7835426684,0.5,576,nan,73.7675,3.12671e-10,5.3803950173,100,1.60334e-31,-59.2650469215,86.8055555556,9.64506e-06,-59.2650469215,61.7835426684,50000,nan,1,9.81406e-37,-56.2555,8.34526,-59.2650469215,0.000451532,1.57573,173.583
-9387.81,80.6324286504,0.5,588,nan,329.676,8.00224e-10,6.29635486007,100,5.35118e-19,-58.2945028329,85.0340136054,9.44822e-06,-58.2945028329,80.6324286504,50000,nan,1,3.17615e-24,-55.5574,22.7147,-58.2945028329,0.00195677,1.59183,346.382
-6416.9,88.646674485,0.5,598,nan,1.52859e+15,9.28858e-07,10.0000021347,100,,-57.0352873927,83.6120401338,9.29023e-06,-57.0352873927,88.646674485,50000,nan,1,,-38.2561,2.17055e+26,-57.0352873927,0.0999953,1.42016e+11,303.393
-9103.73,139.253357355,0.5,595,nan,36.0874,1.75084e-10,3.88450948711,100,0.00020414,-57.3008234386,84.0336134454,9.33707e-06,-57.3008234386,139.253357355,50000,nan,1,1.55313e-09,-59.0627,3.02475,-57.3008234386,0.000274558,1.22725,610.561
-7087.22,128.732599228,0.5,576,nan,25884.9,2.61446e-08,4.31121811717,100,,-58.9310399862,86.8055555556,9.64506e-06,-58.9310399862,128.732599228,50000,nan,1,,-51.6255,168914.0,-58.9310399862,0.0101837,24.5159,384.527
-7268.59,113.735826785,0.5,569,nan,1.61791e+11,9.23798e-07,9.99501190839,100,,-59.7347072353,87.8734622144,9.76372e-06,-59.7347072353,113.735826785,50000,nan,1,,-45.4286,2.55682e+18,-59.7347072353,0.0972507,1.62434e+07,321.821
