BatchSize,MaxVanillaIw,ESSRenyi,VarNormIw,VarJ,VanillaAvgRet,AvgRet,MinVanillaIw,J,AvgEpLen,AvgNormIw,MaxNormIw,ESSClassic,VarRet,VarVanillaIw,Bound,eRenyi2,MinNormIw,VarDiscRet,AvgVanillaIw,AvgDiscRet
100,1.000108,100.0,2.1416629e-13,0.08973176,4999.923193579996,4999.923193579996,0.9998938,4999.924,500.0,0.01,0.010001044,99.99998855595109,0.008135115570752843,2.1413604e-09,4579.1133,1.0,0.009998901,0.008135115570752843,1.0000037,4999.923193579996
100,1.0,100.0,3.5044917e-18,0.23207033,4999.918057662036,4999.918057662036,1.0,4999.918,500.0,0.009999998,0.01,100.0,0.05439911142683419,,4579.1074,1.0,0.01,0.05439911142683419,1.0,4999.918057662036
100,1.0022191,99.99996423722592,6.196775e-11,0.058326405,4999.9477080294255,4999.9477080294255,0.9977395,4999.948,500.0,0.010000002,0.010021561,99.99992752534756,0.0034375135384437203,6.197525e-07,4579.1377,1.0000004,0.009976768,0.0034375135384437203,1.0000628,4999.9477080294255
100,1.0,100.0,3.5044917e-18,0.06495108,4999.938378862832,4999.938378862832,1.0,4999.9385,500.0,0.009999998,0.01,100.0,0.004257139279399922,,4579.128,1.0,0.01,0.004257139279399922,1.0,4999.938378862832
100,1.0,100.0,3.5044917e-18,0.06549186,4999.938220597356,4999.938220597356,1.0,4999.938,500.0,0.009999998,0.01,100.0,0.0043324028797709115,,4579.1274,1.0,0.01,0.0043324028797709115,1.0,4999.938220597356
100,1.0,100.0,3.5044917e-18,0.0701315,4999.94285947614,4999.94285947614,1.0,4999.943,500.0,0.009999998,0.01,100.0,0.004968814238395181,,4579.1323,1.0,0.01,0.004968814238395181,1.0,4999.94285947614
100,1.0,100.0,3.5044917e-18,0.09752724,4999.92884447354,4999.92884447354,1.0,4999.929,500.0,0.009999998,0.01,100.0,0.009608417578061041,,4579.1187,1.0,0.01,0.009608417578061041,1.0,4999.92884447354
100,1.1929618,97.14098712083542,4.1263124e-06,54.92726,4966.324062525124,4966.324062525124,0.15975317,4994.461,496.65,0.01,0.012162294,96.07527345495082,112926.75296262439,0.039699424,4567.503,1.0294316,0.00162869,112926.75296262439,0.98086905,4966.324062525124
100,1.0,100.0,3.5044917e-18,0.06501426,4999.94039538731,4999.94039538731,1.0,4999.9404,500.0,0.009999998,0.01,100.0,0.004266088185422454,,4579.13,1.0,0.01,0.004266088185422454,1.0,4999.94039538731
100,1.3277572,95.31917678744023,4.771454e-06,115.015686,4951.635424707693,4951.635424707693,0.23851436,4988.472,495.18,0.01,0.01321801,95.48933107608104,233296.99893397212,0.04814552,4557.453,1.0491068,0.002374444,233296.99893397212,1.0045061,4951.635424707693
100,1.0005738,99.99998807907247,1.251703e-11,0.08605019,4999.937170649076,4999.937170649076,0.99866337,4999.9375,500.0,0.01,0.010005886,100.00001525901666,0.007492940778906124,1.2516514e-07,4579.127,1.0000001,0.0099867815,0.007492940778906124,0.9999852,4999.937170649076
100,1.0007524,99.99998807907247,1.6845665e-11,0.055306647,4999.943548756678,4999.943548756678,0.9984074,4999.944,500.0,0.010000002,0.0100078415,99.9999618518304,0.003091500574877965,1.684484e-07,4579.1333,1.0000001,0.009984391,0.003091500574877965,0.99996835,4999.943548756678
100,1.0011985,99.99995231630692,5.9443395e-11,0.056485984,4999.942575623608,4999.942575623608,0.9975838,4999.943,500.0,0.01,0.010010645,99.99992371631241,0.0032261210384081094,5.945958e-07,4579.1323,1.0000005,0.009974503,0.0032261210384081094,1.0001339,4999.942575623608
100,1.0,100.0,3.5044917e-18,0.05214965,4999.94953625193,4999.94953625193,1.0,4999.9497,500.0,0.009999998,0.01,100.0,0.002746187428035145,,4579.139,1.0,0.01,0.002746187428035145,1.0,4999.94953625193
100,1.0,100.0,3.5044917e-18,0.06479058,4999.92871823638,4999.92871823638,1.0,4999.9287,500.0,0.009999998,0.01,100.0,0.004240036448342091,,4579.118,1.0,0.01,0.004240036448342091,1.0,4999.92871823638
100,1.1488793,98.78255905298084,1.5520019e-06,43.312386,4987.447835938455,4987.447835938455,0.34575367,4995.623,498.76,0.01,0.011495142,98.48677791928363,15624.62624687368,0.0155028775,4572.2275,1.0123245,0.0034594475,15624.62624687368,0.99944764,4987.447835938455
100,1.0,100.0,3.5044917e-18,0.057925697,4999.941499421434,4999.941499421434,1.0,4999.9414,500.0,0.009999998,0.01,100.0,0.003386814397160747,,4579.131,1.0,0.01,0.003386814397160747,1.0,4999.941499421434
100,1.0003036,100.0,7.572478e-13,0.0502794,4999.946229199571,4999.946229199571,0.9998468,4999.9463,500.0,0.010000002,0.010002918,99.99999618534825,0.002556529580615166,7.573358e-09,4579.1357,1.0,0.0099983495,0.002556529580615166,1.0000119,4999.946229199571
100,1.0,100.0,3.5044917e-18,0.0568094,4999.949009458042,4999.949009458042,1.0,4999.949,500.0,0.009999998,0.01,100.0,0.0032591865936581533,,4579.1387,1.0,0.01,0.0032591865936581533,1.0,4999.949009458042
